"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",31.03703125,"Up",148265000,-99516000,48749000,-34410000,-20092000,-11080000,14339000,-7273000,-6988000,-285000,7066000,7066000,-1403000,5663000,5663000,5663000,5663000,10144000,10144000,124566000,124566000,118179000,18857000,11322000,271746000,150532000,462644000,344671000,83217000,2473000,11455000,613176000,884922000,101725000,43223000,30324000,28178000,102565000,2.33e+08,59981000,53257000,6724000,292981000,395546000,325833000,153386000,10750000,489376000,489376000,884922000,5663000,8764000,-21952000,-70000,-7595000,-6745000,-5779000,2218000,1185000,1185000,-81000,3322000,-10052000,-10052000,-88000,-10140000,23103000,2.33e+08,17691000,0.3288,0.09671,0.0382,0.01157,0.0064,3.12396,2.6495,0.80827,0.2633,0.23844,0.23195,6.24274,20.60531,0.74488,0.00724,0.02261,9.64619,15.54195
"12","2013_Q3",35.5290625,"Up",171331000,-114029000,57302000,-40167000,-22248000,-14097000,17135000,-2124000,-1445000,-679000,15011000,15011000,-5259000,9752000,9752000,9752000,9752000,10184000,10184000,138597000,138597000,122162000,17478000,9572000,288421000,149214000,459647000,344909000,79973000,2676000,11261000,608861000,897282000,97840000,42675000,18915000,36250000,98685000,2.37e+08,58490000,51990000,6500000,295490000,394175000,329412000,163138000,11150000,503107000,503107000,897282000,9752000,9089000,4000000.00000001,-23879000,-1038000,-4812000,-3807000,4e+06,1394000,1394000,-607000,4787000,-57999.9999999963,-57999.9999999963,98000,40000,26224000,2.37e+08,2792000,0.33445,0.10001,0.05692,0.01938,0.01087,0.2863,2.92264,0.78348,0.26413,0.40779,0.38666,7.16446,21.03818,0.11675,0.01221,0.0035,8.64918,13.237
"13","2013_Q4",38.619375,"Up",167730000,-111853000,55877000,-38875000,-21569000,-13806000,17002000,-1458000,-1515000,57000,15544000,15544000,-4473000,11071000,11071000,11071000,11071000,4973000,4973000,130966000,130966000,122823000,16671000,8028000,275433000,147431000,461847000,346614000,77518000,2762000,14551000,609278000,884711000,90862000,36478000,11177000,43207000,91743000,2.1e+08,58511000,51732000,6779000,268511000,360254000,336515000,174209000,14326000,524457000,524457000,884711000,11071000,8805000,4523000,309000,24708000,-3396000,-4261000,-2.7e+07,3634000,3634000,-2336000,-25702000,-5255000,-5255000,44000,-5211000,25807000,2.1e+08,27193000,0.33314,0.10137,0.066,0.02111,0.01251,2.45624,3.00222,0.68691,0.23737,0.46037,0.43561,6.9748,21.80876,1.13078,0.01396,0.03429,7.94463,12.05899
"14","2014_Q1",43.8859016393443,"Up",176619000,-119234000,57385000,-44522000,-24198000,-15094000,12863000,-952000,-1313000,361000,11911000,11217000,-1436000,9781000,9781000,9781000,9781000,35465000,35465000,113679000,113679000,118358000,15031000,6717000,282533000,145773000,462397000,346656000,76122000,2933000,16398000,608170000,890703000,91189000,46508000,0,44681000,91802000,197500000,59346000,52012000,7334000,256846000,348648000,344939000,183990000,14358000,542055000,542055000,890703000,9781000,9308000,4989000,16602000,40680000,-3605000,-4437000,-12500000,6594000,6594000,141000,-5765000,30478000,30478000,14000,30492000,22171000,197500000,36604000,0.32491,0.07283,0.05538,0.01804,0.01098,3.74236,3.07763,0.6432,0.22173,0.40331,0.37274,7.28266,22.35094,1.50932,0.01224,0.04582,7.30842,12.59698
"15","2014_Q2",46.9987301587302,"Up",174281000,-116685000,57596000,-35072000,-21755000,-13531000,22524000,-463000,-1084000,621000,22061000,22061000,-7139000,14922000,14922000,14922000,14922000,38325000,38325000,117221000,117221000,118083000,11132000,5165000,284761000,145186000,460430000,347251000,72922000,2949000,17020000,605616000,890377000,69377000,43122000,1889000,24366000,69996000,1.95e+08,58559000,51440000,7119000,253559000,323555000,353013000,198912000,15617000,566822000,566822000,890377000,14922000,9252000,-905000,-16268000,7001000,-5974000,-3443000,-2500000,3445000,3445000,-1608000,-663000,2895000,2895000,-35000,2860000,31776000,1.95e+08,16673000,0.33048,0.12924,0.08562,0.02633,0.01676,1.11734,4.06825,0.57082,0.21901,0.60624,0.58076,7.08056,23.02844,0.67738,0.01819,0.02032,4.93061,6.95591
"16","2014_Q3",46.89890625,"Down",172081000,-113611000,58470000,-38931000,-21877000,-12793000,19539000,-1407000,-1073000,-334000,18132000,18132000,-5784000,12348000,12348000,12348000,12348000,51193000,51193000,124562000,124562000,120612000,14769000,8898000,311136000,143457000,457174000,347126000,69397000,3136000,17227000,600631000,911767000,77924000,43899000,495000,33530000,78542000,192500000,57263000,50526000,6737000,249763000,328305000,357612000,211260000,15310000,583462000,583462000,911767000,12348000,9309000,2470000,-4612000,19515000,-5998000,-6324000,-2500000,1908000,1908000,479000,-113000,13078000,13078000,-210000,12868000,28848000,192500000,24022000,0.33978,0.11355,0.07176,0.02116,0.01354,1.94542,3.9614,0.56268,0.21113,0.49714,0.47674,6.92813,23.4907,0.96715,0.01482,0.02883,4.89833,7.23205
"17","2014_Q4",48.0078125,"Up",171699000,-113581000,58118000,-41935000,-22121000,-13638000,16183000,2717000,-1051000,3768000,18900000,18900000,-4888000,14012000,14012000,14012000,14012000,61582000,61582000,121615000,121615000,128727000,15011000,9121000,326935000,142336000,462016000,354583000,68763000,2933000,15449000,604352000,931287000,89346000,44989000,2559000,41798000,89959000,1.9e+08,54266000,50593000,3673000,244266000,334225000,360460000,225272000,12050000,597062000,597062000,931287000,14012000,9382000,-645000,5418000,28167000,-4057000,-15102000,-2500000,352000,352000,70000,-2078000,10987000,10987000,-598000,10389000,25565000,1.9e+08,31814000,0.33849,0.09425,0.08161,0.02347,0.01505,2.27048,3.63427,0.55978,0.20402,0.56275,0.54052,6.89582,23.97936,1.27772,0.01665,0.03781,5.0232,7.93536
"18","2015_Q1",52.0688524590164,"Up",169726000,-112512000,57214000,-39806000,-24849000,-9883000,17408000,-4292000,-1044000,-3248000,13116000,17486000,-3310000,14176000,14176000,14176000,14176000,76824000,76824000,124953000,124953000,129242000,19664000,11780000,350683000,144925000,459514000,354393000,65337000,2626000,16870000,604439000,955122000,96823000,46436000,2003000,48384000,108661000,175363000,57736000,53195000,4541000,233099000,341760000,366098000,239448000,9123000,613362000,613362000,955122000,14176000,9254000,6246000,-3083000,26593000,-8794000,-11053000,-2500000,2573000,2573000,404000,477000.000000001,16017000,16017000,-775000,15242000,26662000,186613000,18095000,0.3371,0.10257,0.08352,0.02311,0.01484,1.27645,3.22731,0.55719,0.19538,0.5682,0.53734,6.80292,24.58463,0.72528,0.01653,0.0211,4.11781,6.30681
"19","2015_Q2",53.4749206349206,"Up",161320000,-108922000,52398000,-43009000,-22609000,-12545000,9389000,431000,-1120000,1551000,9820000,9820000,-1812000,8008000,8008000,8008000,8008000,67019000,67019000,110429000,110429000,137989000,20877000,10733000,336314000,151350000,459056000,354061000,61950000,2704000,20053000,610406000,946720000,74363000,43074000,428000,30861000,87451000,172500000,58302000,52356000,5946000,230802000,318253000,376769000,247456000,6698000,628467000,628467000,946720000,8008000,9178000,789000,-10644000,7331000,-15380000,-17380000,-2500000,4207000,4207000,-855000,852000,-9197000,-9197000,-608000,-9805000,18567000,1.85e+08,-5645000,0.32481,0.0582,0.04964,0.01274,0.00846,-0.70492,3.84574,0.5064,0.19541,0.31697,0.30543,6.38537,24.87599,-0.22344,0.00919,-0.00648,6.35434,12.56587
"20","2015_Q3",54.8634375,"Up",174890000,-116939000,57951000,-44917000,-24104000,-13063000,13034000,-1099000,-1206000,107000.000000001,11935000,11935000,-2652000,9283000,9283000,9283000,9283000,72338000,72338000,122101000,122101000,140093000,20874000,12279000,355406000,152713000,458012000,354107000,58572000,2654000,22391000,610725000,966131000,84289000,44858000,1761000,37670000,98627000,168750000,57152000,51087000,6065000,225902000,324529000,380319000,256739000,6823000,641602000,641602000,966131000,9283000,9016000,3635000,-6771000,15163000,-6794000,-8603000,-2499999.99999999,849000,849000,284000,-1367000,5193000,5193000,126000,5319000,22050000,182500000,11137000,0.33136,0.07453,0.05308,0.01447,0.00961,1.19971999999999,3.60354,0.50581,0.1889,0.36443,0.35279,6.8657,25.18753,0.43721,0.01053,0.01264,4.99601,8.4519
"21","2015_Q4",54.8134375,"Down",146637000,-94991000,51646000,-50451000,-22308000,-14299000,1195000,-1189000,-5825000,4636000,6000,6000,16000,22000,22000,22000,22000,68594000,68594000,108278000,108278000,164236000,23153000,12103000,364261000,156009000,463352000,354139000,55329000,2415000,31181000,619361000,983622000,102100000,56277000,2567000,43256000,117439000,1.65e+08,55328000,51137000,4191000,220328000,337767000,383717000,256761000,7656000,645855000,645855000,983622000,22000,8747000,4825000,-5103000,8491000,-9133000,-10892000,-2500000,932000,932000,253000,-1315000,-3716000,-3716000,-28000,-3744000,9942000,1.8e+08,-4310000,0.3522,0.00815,0.00015,3e-05,2e-05,-195.90909,3.1017,0.52298,0.183,0.00086,0.00083,5.74236,25.29194,-0.16878,2e-05,-0.00489,11.20559,93.22678
"22","2016_Q1",37.9595081967213,"Down",317567000,-244427000,73140000,-83612000,-33509000,-13088000,-10472000,-30339000,-25362000,-4977000,-40811000,-37461000,12554000,-24907000,-24907000,-24907000,-24907000,82478000,82478000,207342000,207342000,252166000,32618000,20888000,574604000,379492000,2028040000,1013570000,893977000,3587000,26618000,2407532000,2982136000,184840000,84362000,3221000,97257000,213840000,1685053000,232618000,221804000,10814000,1917671000,2131511000,620501000,231854000,1370000,850625000,850625000,2982136000,-24907000,17691000,25503000,-36793000,-18506000,-12563000,-436684000,525075000,595000,595000,-55930000,469740000,14550000,14550000,-666000,13884000,7219000,1714053000,-54691000,0.23031,-0.03298,-0.07843,-0.02928,-0.00835,2.19581000000002,2.68707,2.50582,0.57477,-0.85359,-0.94063,10.88341,29.15196,-1.87433,-0.0089,-0.01955,226.01122,-155.80357
"23","2016_Q2",32.9321875,"Down",332238000,-240770000,91468000,-80334000,-41888000,-17306000,11134000,-23896000,-27617000,3721000,-12762000,-12762000,102000,-12660000,-12660000,-12660000,-12660000,54123000,54123000,183563000,183563000,267380000,29340000,18241000,534406000,381460000,1997117000,979501000,894553000,3537000,29238000,2378577000,2912983000,187509000,83306000,3447000,100756000,216509000,1733547000,230470000,218969000,11501000,1964017000,2180526000,627374000,90466000,20497000,732457000,732457000,2912983000,-12660000,22413000,-1359000,21464000,29858000,-18768000,-19131000,47750000,0,0,-87838000,-40088000,-29361000,-29361000,1006000,-28355000,33547000,1762547000,36141000,0.27531,0.03351,-0.03811,-0.01728,-0.00435,-2.85474,2.46829,2.977,0.60507,-0.41214,-0.41214,10.81574,23.84455,1.17654,-0.00465,0.01326,50.92628,153.44207
"24","2016_Q3",25.5815625,"Down",348382000,-252351000,96031000,-66762000,-37628000,-13640000,29269000,-28582000,-27908000,-674000,687000,687000,-1457000,-770000,-770000,-770000,-770000,36590000,36590000,192121000,192121000,276279000,28903000,22358000,533893000,383229000,1985415000,980839000,880254000,2699000,31335000,2368644000,2902537000,188282000,99135000,2347000,86800000,217282000,1727856000,233926000,220440000,13486000,1961782000,2179064000,630108000,89696000,9549000,723473000,723473000,2902537000,-770000,22635000,6018000,-23987000,3896000,-11634000,-14151000,-7250000,610000,610000,0,-6639999.99999994,-16895000,-16895000,-638000,-17533000,51904000,1756856000,17740000,0.27565,0.08401,-0.00221,-0.00106,-0.00027,-23.03896,2.45714,3.01195,0.60528,-0.02503,-0.0250300000000001,11.32324,23.51458,0.57659,-0.000279999999999999,0.00654,33.14323,58.77433
"25","2016_Q4",25.1647619047619,"Down",346567000,-248658000,97909000,-61047000,-36265000,-11412000,36862000,-28145000,-27870000,-275000,8717000,8717000,2741000,11458000,11458000,11458000,11458000,44995000,44995000,191409000,191409000,262232000,26503000,23246000,525139000,381671000,1974157000,977335000,872659000,3081000,30794000,2355828000,2880967000,170891000,86290000,2641000,81960000,199891000,1717164000,222887000,207183000,15704000,1940051000,2139942000,632440000,101154000,13311000,741025000,741025000,2880967000,11458000,22366000,-2674000,6895000,38045000,-16566000,-17603000,-12250000,113000,113000,0,-12137000,8305000,8305000,1e+05,8405000,59228000,1746164000,46816000,0.28251,0.10636,0.03306,0.01546,0.00398,4.08588,2.62713,2.88781,0.6061,0.37223,0.3678,11.25876,24.07332,1.52089,0.00423,0.01727,28.72238,46.14967
"26","2017_Q1",34.941935483871,"Up",48315000,3956000.00000003,52271000,-36613000,-20663000,-5541000,15658000,16698000,15064000,1634000,32356000,31523000,-4673000,26850000,7933000,7933000,7933000,52116000,52116000,204626000,204626000,225151000,35414000,22026000,517307000,372042000,1943194000,967326000,940060000,3970000,31838000,2315236000,2832543000,153876000,77896000,3699000,72281000,185220000,1698819000,223265000,208579000,14686000,1922084000,2107304000,637986000,109087000,-1.6e+07,725239000,725239000,2832543000,7933000,23110000,13062000,-10372000,33733000,-11317000,-12415000,-17250000,2098000,2098000,1871000,-13281000,8037000,8037000,-916000,7121000,38768000,1730163000,21752000,1.08188,0.32408,0.16419,0.01094,0.0028,2.74196,2.79293,2.90567,0.61082,0.25719,0.25382,1.56638,23.51237,0.7052,0.00296,0.00812,43.28433,107.16867
"27","2017_Q2",39.7960317460317,"Up",345413000,-254187000,91226000,-64681000,-39499000,-13411000,26545000,-30342000,-28893000,-1449000,-3797000,-4195000,-144000,-4339000,-4339000,-4339000,-4339000,54881000,54881000,213610000,213610000,231292000,28343000,20664000,528126000,371933000,1936826000,969413000,931595000,3978000,31840000,2308759000,2836885000,169948000,90713000,3873000,75362000,204121000,1668239000,223867000,208542000,15325000,1892106000,2096227000,647828000,105050000,-7714000,740658000,740658000,2836885000,-4339000,24606000,7852000,10506000,38625000,-12328000,-12588000,-29151000,7449000,7449000,-1789000,-23491000,2546000,2546000,219000,2765000,51151000,1702412000,49473000,0.26411,0.07685,-0.01256,-0.00586,-0.00153,-11.40194,2.58732,2.83022,0.6001,-0.1399,-0.1399,11.13661,23.87987,1.59508,-0.00163,0.01855,32.20917,62.06559
"28","2017_Q3",45.7626984126984,"Up",202239000,-122262000,79977000,-46557000,-30441000,-9466000,33420000,-11247000,-4532000,-6715000,22173000,17746000,-9e+05,16846000,2990000,2990000,2990000,46533000,46533000,212607000,212607000,235562000,29391000,21367000,524093000,373094000,1947744000,981333000,934672000,4181000,27558000,2320838000,2844931000,170168000,95123000,2279000,72766000,195949000,1639499000,226350000,210361000,15989000,1865849000,2061798000,652396000,108040000,27203000,783133000,783133000,2844931000,2990000,24859000,15259000,-4568000,38540000,-10110000,-9675000,-39688000,1276000,1276000,-9.31322574615479e-10,-38412000,-9547000,-9547000,1199000,-8348000,58279000,1665280000,44501000,0.39546,0.16525,0.01478,0.00382,0.00105,14.88328,2.67464,2.63276,0.58535,0.0955199999999999,0.09349,6.4609,25.01863,1.42167,0.00112,0.01664,27.77582,48.43648
"29","2017_Q4",48.715873015873,"Up",286168000,-196982000,89186000,-53360000,-35064000,-12227000,35826000,-18298000,-15808000,-2490000,17528000,19434000,448000,19882000,13690000,13690000,13690000,43637000,43637000,221520000,221520000,246972000,16171000,16167000,528300000,374436000,1950736000,987316000,930644000,4308000,28468000,2325172000,2853472000,176948000,94404000,5419000,77125000,205073000,1601829000,223141000,207005000,16136000,1824970000,2030043000,662761000,121730000,43592000,823429000,823429000,2853472000,13690000,25119000,-521000,117000,38405000,-11157000,-12439000,-37687000,8349000,8349000,-76000,-29414000,-3448000,-3448000,552000,-2896000,60945000,1629954000,49457000,0.31166,0.12519,0.04784,0.01663,0.0048,3.61264,2.57616,2.46535,0.57122,0.43331,0.42551,9.05767,26.06283,1.56539,0.00511,0.01848,26.02867,44.27837
