"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",49.7642857142857,"Down",60959000,-41668000,19291000,-31618000,-19769000,-4850000,-14919000,-5550000,-6299000,-12327000,-2693000,-2693000,-15020000,-15020000,4041000,-10979000,-10979000,-10979000,-10979000,49598000,49598000,33488000,33488000,3711000,14480000,3529000,10951000,101277000,14481000,14481000,394737000,193617000,166052000,35068000,409218000,510495000,41608000,16542000,25066000,13910000,13910000,56328000,225933000,45121000,22693000,271054000,327382000,264455000,-77477000,183113000,183113000,510495000,-10979000,6299000,-18194000,-3772000,-26646000,-1019000,-1630000,-161375000,326912000,1037000,1037000,-111078000,216871000,28850000,28850000,28850000,-6028000,226743000,-14860000,0.31646,-0.20222,-0.1801,-0.05996,-0.02151,1.35349,1.79799,1.78787,0.44416,-0.53859,-0.53859,2.99045,8.98293,-0.72898,-0.02413,-0.03266,-29.38703,-14.37049
"12","2019_Q3",57.23140625,"Up",76255000,-45156000,31099000,-35859000,-21584000,-6871000,-14713000,-5197000,-9078000,-4760000.00000001,-4308000,-4308000,-9068000,-9068000,2539000,-6529000,-6529000,-6529000,-6529000,52137000,52137000,32950000,32950000,3683000,14226000,3346000,10880000,102996000,14435000,14435000,390279000,202144000,150922000,37213000,404714000,507710000,39210000,11132000,28078000,12610000,12610000,52368000,220198000,51202000,31979000,271400000,323768000,271813000,-84006000,183942000,183942000,507710000,-6529000,9078000,8489999.99999999,-258000,10781000,-2489000,-3988000,-6513000,18456999.9999999,499000,499000,-20401000,-1444999.99999997,2823000,2823000,2823000,4318000,220746000,-968000,0.40783,-0.0624200000000001,-0.08562,-0.03549,-0.01286,0.14826,1.96677,1.76016,0.43479,-0.31876,-0.31876,3.72292,8.98042,-0.0472600000000001,-0.01432,-0.00211999999999996,39.04794,-35.42206
"13","2019_Q4",46.828125,"Down",74270000,-46441000,27829000,-35593000,-20549000,-6884000,-13665000,-5902000,-9142000,-7764000,-4441000,-4441000,-12205000,-12205000,4101000,-8104000,-8104000,-8104000,-8104000,47302000,47302000,30984000,30984000,3814000,14585000,3175000,11410000,96685000,15537000,15537000,386511000,196419000,150790000,39302000,402048000,498733000,39016000,11001000,28015000,4214000,4214000,43564000,223208000,47195000,32824000,270403000,313967000,280741000,-92110000,184766000,184766000,498733000,-8104000,9142000,7675000,341000,9054000,-2896000,-3667000,-6563000,-216000,967000,967000,-8875000,-8124000,-5633000,-5633000,-5633000,1378000,223542000,-5278000,0.3747,-0.10454,-0.10912,-0.04386,-0.01625,0.65128,2.21938,1.69927,0.44822,-0.39161,-0.39161,3.58897,8.92851,-0.25505,-0.01779,-0.01159,127.8955,-22.69964
"14","2020_Q1",54.1341935483871,"Up",73223000,-48090000,25133000,-29115000,-14268000,-6668000,-7600000,-5090000,-9757000,-3982000,-4544000,-4544000,-8526000,-12342000,5518000,-6824000,-6824000,-6824000,-6824000,42478000,42478000,29123000,29123000,3700000,19237000,4299000,14938000,94538000,15798000,15798000,382055000,189413000,150760000,41882000,397853000,492391000,35528000,8622000,26906000,4350000,4350000,40003000,226294000,40546000,31890000,266840000,306843000,288347000,-98934000,185548000,185548000,492391000,-6824000,9757000,3187000,-5124000,996000,-2272000,-4202000,-6474000,-211000,1199000,1199000,2000,990000,-4488000,-4488000,-4488000,5775000,226419000,-7139000,0.34324,-0.05438,-0.09319,-0.03678,-0.01386,1.04616,2.36327,1.65371,0.45984,-0.32607,-0.32607,3.49881,8.86603,-0.34112,-0.01508,-0.01578,31.8512600000001,-46.19312
"15","2020_Q2",57.2026984126984,"Up",72827000,-48073000,24754000,-37248000,-22507000,-5540000,-16967000,-4828000,-9913000,-12494000,-4610000,-4610000,-17104000,-17804000,3367000,-14437000,-14437000,-14437000,-14437000,38134000,38134000,36237000,36237000,5135000,14158000,4615000,9543000,93664000,15612000,15612000,378575000,182591000,150760000,45224000,394187000,487851000,35666000,10354000,25312000,4635000,4635000,40311000,229444000,38695000,33406000,268139000,308450000,296728000,-113371000,179401000,179401000,487851000,-14437000,9913000,7722000,-3995000,-797000,-763000,-4228000,-4991000,-49000,1153000,1153000,2734591.11774636,1104000,-4684000,-4684000,-4684000,-2581000,229454000,-10706000,0.3399,-0.17156,-0.19824,-0.08047,-0.02959,0.74157,2.32353,1.71933,0.47034,-0.67542,-0.67542,3.40713,8.39307,-0.50087,-0.03226,-0.02392,-74.12631,-15.31295
"16","2020_Q3",49.80015625,"Down",76834000,-51698000,25136000,-35386000,-21354000,-5027000,-16327000,-3821000,-10211000,-10250000,-4668000,-4668000,-14918000,-14818000,508000,-14310000,-14310000,-14310000,-14310000,38752000,38752000,36896000,36896000,4103000,13882000,4173000,9709000,93633000,15531000,15531000,373378000,175768000,150760000,46850000,388909000,482542000,34197000,7253000,26944000,4579000,4579000,38784000,232658000,37677000,32896000,270335000,309119000,305060000,-127681000,173423000,173423000,482542000,-14310000,10211000,9879000,-1595000,4185000,-684000,-4670000,-5354000,-3000,1159000,1159000,-3826868.14016416,1156000,-12999.9999999991,-12999.9999999991,-12999.9999999991,-38999.9999999991,232666000,-2826000,0.32715,-0.1334,-0.18625,-0.08252,-0.02966,0.19748,2.41422,1.78246,0.48217,-0.66383,-0.66383,3.56428,8.04499,-0.1311,-0.03225,-0.00637,-4972.15385,-18.91844
"17","2020_Q4",37.95515625,"Down",70506000,-49248000,21258000,-37950000,-20650000,-5030000,-15620000,-5101000,-12199000,-16692000,-4722000,-4722000,-21414000,-23419000,1830000,-21589000,-21589000,-21589000,-21589000,28721000,28721000,32343000,32343000,4194000,10931000,3196000,7735000,76189000,15284000,15284000,366761000,167477000,150760000,48524000,382045000,458234000,28915000,7272000,21643000,5057000,5057000,33978000,235938000,23612000,20661000,259550000,293528000,317994000,-149270000,164706000,164706000,458234000,-21589000,12199000,9172000,2178000,1960000,-1090000,-4836000,-5926000,-2000,913000,913000,-6535000,-5624000,-9590000,-9590000,-9590000,-4493000,235944000,-5235000,0.30151,-0.23675,-0.3062,-0.13108,-0.04711,0.24248,2.2423,1.78213,0.5149,-0.99114,-0.99114,3.23688,7.56153,-0.24033,-0.05089,-0.01234,-46.1213,-12.41451
"18","2021_Q1",47.7206557377049,"Up",77052000,-55793000,21259000,-39561000,-22414000,-5950000,-16464000,-4430000,-12717000,-18302000,-6743000,-6743000,-25045000,-30093000,-537000,-30630000,-30630000,-30630000,-30630000,23362000,23362000,32516000,32516000,4261000,33073000,3739000,29334000,93212000,15070000,15070000,406158000,183094000,170862000,52202000,421228000,514440000,43213000,11245000,31968000,29003000,29003000,72220000,249285000,24406000,21052000,273691000,345911000,352447000,-179900000,168529000,168529000,514440000,-30630000,12717000,19111000,-1728000,-530000,-554000,-5102000,-12463000,9998000,718000,718000,-1485000,9231000,-3762000,-3762000,-3762000,-5585000,249289000,-7330000,0.2759,-0.23753,-0.39752,-0.18175,-0.05954,0.23931,1.29067,2.05253,0.48458,-1.35844,-1.35844,3.41726,7.47426,-0.32509,-0.06926,-0.01658,-40.4524600000002,-12.34439
"19","2021_Q2",44.7522222222222,"Down",58778000,-43979000,14799000,-25507000,-17647000,-2967000,-14680000,-3059000,-4801000,-10708000,-2547000,-2547000,-13255000,-13255000,-121000,-13376000,-19492000,-19492000,-19492000,16899000,16899000,29365000,29365000,4084000,34535000,3933000,30602000,84883000,14240000,14240000,403467000,175755000,170835000,56877000,417707000,502590000,41894000,6730000,35164000,19653000,19653000,61548000,335816000,21602000,20539000,357418000,418966000,288700000,-200784000,83624000,83624000,502590000,-19492000,11625000,9344000,-5555000,-4078000,-522000,-5863000,-6385000,7497000,2226000,2226000,-7599000,2124000,-8339000,-8339000,-8339000,917000,335817000,-5039000,0.25178,-0.18218,-0.33162,-0.23309,-0.03878,0.25852,1.37913,5.01012,0.66817,-0.84709,-0.84709,2.5544,3.63416,-0.21899,-0.0442,-0.01143,347.78408,-29.78315
"20","2021_Q3",36.8375,"Down",64297000,-47620000,16677000,-28482000,-19191000,-2539000,-16652000,-4311000,-4980000,-11805000,-2182000,-2182000,-13987000,-13987000,-80999.9999999999,-14068000,-21081000,-21081000,-21081000,12265000,12265000,35262000,35262000,4866000,37362000,4462000,32900000,89755000,13477000,13477000,400662000,168686000,170835000,61141000,414139000,503894000,51160000,10267000,40893000,14512000,14512000,65672000,341142000,21303000,20151000,362445000,428117000,301934000,-221865000,75777000,75777000,503894000,-21081000,11619000,12982000,1458000,4978000,-448000,-8148000,-8596000,4999000,856000,856000,-5508000,346999.999999999,-3271000,-3271000,-3271000,-185999.999999999,341142000,905000,0.25937,-0.1836,-0.32787,-0.2782,-0.04184,-0.04293,1.36672,5.6497,0.67701,-0.91615,-0.91615,2.79424,3.29314,0.03933,-0.04811,0.00207,-1768.15591,-27.85913
"21","2021_Q4",18.20890625,"Down",67910000,-51215000,16695000,-26139000,-17112000,-2844612.37501949,-17738989.7976391,-3699000,-5328000,-9444000,-2230000,-2230000,-11674000,-11674000,-82000,-11756000,-17111000,-17111000,-17111000,11347000,11347000,31736000,31736000,5127000,40040000,5344000,34696000,88250000,13234000,13234000,399494000,161626000,170835000,67033000,412728000,500978000,48462000,13019000,35443000,16858000,16858000,65320000,346469000,21941000,20715000,368410000,433730000,310516000,-238976000,67248000,67248000,500978000,-17111000,12099000,8629000,-1500000,2117000,-641000,-8638000,-9279000,5e+06,601000,601000,0,5601000,-1561000,-1561000,-1561000,2655000,346469000,596000,0.24584,-0.13907,-0.25197,-0.25445,-0.03416,-0.03483,1.35104,6.44971,0.69159,-0.73659,-0.73659,2.92336,2.89486,0.02566,-0.03928,0.00137,126.22298,-35.48518
"22","2022_Q1",8.97564516129032,"Down",140275000,-90542000,49733000,-87097000,-45778000,-2867980.60228513,-17093357.1439521,-8722000,-32597000,-37364000,-2148000,-2148000,-39512000,-39512000,-343000,-39855000,-21371000,-21371000,-21371000,9395000,9395000,21405000,21405000,5444000,53651000,3812000,35328000,89895000,11778000,12384391.7970991,397745000,45358000,115323000,49506000,409523000,499418000,49867000,8870000,40997000,24053000,11673000,73920000,348799000,20943000,15968000,369742000,443662000,320395000,-260347000,55756000,55756000,499418000,-21371000,12363000,10169000,11274000,12435000,-1739000,-9195000,-10934000,2e+06,389000,389000,-3545000,-1156000,345000,345000,345000,-25001000,348799000,-15123000,0.35454,-0.26636,-0.15235,-0.3833,-0.04279,0.70764,1.21611,7.95721,0.69841,-0.89272,-0.89272,5.85965,2.32907,-0.63173,-0.05023,-0.03554,-13.5756200000003,-9.08372
"23","2022_Q2",3.75112903225806,"Down",67110000,-52721000,14389000,-28234000,-18527000,-2649000,-15878000,-3965000,-5742000,-13845000,-2269000,-2269000,-16114000,-20176000,-216000,-20392000,-28193000,-28193000,-28193000,14449000,14449000,22439000,22439000,4900000,247332000,3643000,40762000,289120000,11139000,11139000,206544000,43664000,115323000,47557000,217683000,506803000,49129000,9537000,39592000,27074000,12124000,76203000,376830000,17538000,15860000,394368000,470571000,329064000,-288540000,36232000,36232000,506803000,-28193000,13073000,14160000,-14775000,-15735000,-217000,-8749000,-8966000,27700000,60000,60000,-350000.000000001,27410000,2709000,2709000,2709000,-772000,376830000,-15548000,0.21441,-0.2063,-0.4201,-0.77812,-0.05563,0.55148,3.79408,12.98772,0.74354,-1.20122,-1.20122,2.85936,1.54374,-0.66246,-0.06547,-0.03611,-469.40544,-26.17414
"24","2022_Q3",4.2884375,"Up",72597000,-56631000,15966000,-26054000,-17322000,-2172000,-15150000,-3243000,-5489000,-10088000,-2444000,-2444000,-12532000,-12532000,-159000,-12691000,-49610000,-49610000,-49610000,26522000,26522000,20324000,20324000,5798000,213660000,3534000,46502000,266304000,10126000,10126000,208038000,41970000,115323000,50745000,218164000,484468000,65981000,15802000,50179000,30947000,11789000,154128000,319963000,17060000,16026000,337023000,491151000,335759000,-338150000,-6683000,-6683000,484468000,-49610000,5489000,42168000,26528000,24575000,-254000,-9121000,-9375000,0,2.91038304567337e-11,0,0,0,15200000,15200000,15200000,-4599000,377163000,21834000,0.21993,-0.13896,-0.68336,7.42331,-0.1024,-0.44011,1.72781,-73.49259,0.77851,-2.07056,-2.07056,3.02996,-0.27893,0.91128,-0.12801,0.05634,-76.24288,-34.75823
