"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",37.3377049180328,"Up",-5042174,-1194675,-1194675,-3847499,-5042174,1485,1485,-5040689,-5047915,-5047915,-5047915,-5047915,-5047915,43489935,43489935,322493,322493,43812428,1046514,242023.000000001,242023,1288537,45100965,5062097,2087770,2974327,5062097,0,-4.65661287307739e-10,1498754,6560851,499276387,-8034244,-452702029,38540114,38540114,45100965,-5047915,48359,136072,3508260,-1355224,-528853,-528853,-528853,-528853.000000001,21849867,21849867,21849867,-4993815,1498754,-0.13098,-0.11192,8.655,0.17023,0.03323,-0.77107,-0.77107,5.88702,-0.12608,8.40864,8.32799
"33","2018_Q2",67.4953125,"Up",-3000354,-1303122,-1303122,-1697232,-3000354,6729,6729,-2993625,-3590910,-3590910,-3590910,-3590910,-3590910,51209625,49887600,876026,876026,52085651,1200830,17875538,70694,19076368,71162019,2044067,1581931,462136,2044067,0,0,1498931,3542998,530186641,-8034244,-455060627,67619021,67619021,71162019,-3590910,315963,857502,-2985426,-5402871,-155144,-155144,-155144,-19327100,5920243,5920243,6397665,-2684391,1498931,-0.05311,-0.05046,25.48138,0.0524,0.02106,-0.50424,-0.50424,9.49505,-0.05195,18.51843,16.56828
"34","2018_Q3",69.8,"Up",-5771818,-4042347,-4042347,-1729471,-5771818,13072,13072,-5758746,-5859784,-5859784,-5859784,-5859784,-5859784,67436665,66215678,977658,977658,68414323,1617053,17679554,221923,19296607,87710930,2634483,2089680,544803,2634483,55195.0000000001,55195,1554303,4188786,553016441,-8034244,-460920411,83522144,83522144,87710930,-5859784,423108,1653394,404816,-3378466,-571301,-571301,-571301,-571300.999999996,17327854,17327854,16328078,-5348710,1499108,-0.07016,-0.06681,25.96879,0.05015,0.01709,-0.68049,-0.68049,9.6993,-0.06888,12.32775,11.42405
"35","2018_Q4",37.8753968253968,"Down",-8710828,-6904531,-6904531,-1806297,-8710828,10199,10199,-8700629,-8756306,-8756306,-8756306,-8756306,-8756306,100032133,98867087,1343667,1343667,101375800,1594189,17338853,228431,18933042,120308842,5421586,1740611,3680975,6920871,66567,66567,66567,6987438,592257118,-8034244,-469676722,113321404,113321404,120308842,-8756311,455230,1766819,2441063,-4093199,-134623,-135222,-135222,-134623,33307581,33307581,32651409,-8255598,1499285,-0.07727,-0.07278,14.64784,0.06166,0.01246,-1.00701,-1.00701,13.0324,-0.07622,11.93528,11.31154
"36","2019_Q1",34.844262295082,"Down",-9021000,-5747000,-5747000,-3274000,-9021000,10000,10000,-9011000,-9264000,-9264000,-9264000,-9264000,-9264000,85117009,84204809,7164902,7164902,92564620,1750630,19094751,310024,20845381,113410001,2374482,968048,1406434,3873944,73590.9999999999,73590.9999999999,73591,3947535,597664315,-8034244,-478941285,109462466,109462466,113410001,-9264563,476633,2719435,-9640897,-15709392,-269455,-269446,-269446,-1740468,-14643291,-14643291,-14662278,-8544367,1499462,-0.08463,-0.08169,23.89416,0.03606,0.01322,-0.97795,-0.97795,11.55539,-0.08343,9.78628,9.26921
"37","2019_Q2",31.9269841269841,"Down",-8277000,-5710000,-5710000,-2567000,-8277000,120000,49000,-8157000,-8160000,-8160000,-8160000,-8177000,-8177000,100691209,99733620,6993387,6993387,107684596,1902170,21473535,3123873,23375705,131060301,3504287,1383376,2120911,5003926,1843212,1843212,1843212,6847138,600259931,-8034244,-487114906,104196246,124213163,131060301,-8159262,525553,1887167,527775,-5218767,-252041,-252071,-252071,-252041,15244520,15244520,15528811,-7751447,1499639,-0.06583,-0.06239,21.52002,0.05512,0.01144,-0.85489,-0.85489,10.89352,-0.06411,12.79652,11.984
"38","2019_Q3",32.1015625,"Up",-9961000,-6983000,-6983000,-2978000,-9961000,8e+05,320000,-9161000,-15251000,-15251000,-15251000,-15471000,-15471000,70968516,70251858,8968099,8968099,80609312,1335330,21247858,3056164,36480948,117090260,4682775,2321499,2361276,6182532,1633261,1633261,1633261,7815793,601526978,-8034244,-502428077,89037633,109274467,117090260,-15251270,873766,7516491,-1596809,-8457822,-79367,-79366,-79366,-19966253,-28425574,-28425574,-29481762,-9087234,1499757,-0.14158,-0.13213,13.03824,0.07152,0.01281,-1.61632,-1.61632,9.30213,-0.13763,7.64465,6.97407
"39","2019_Q4",32.4296875,"Up",-10781000,-8951000,-7976000,-1830000,-10642000,1132000,414000,-9510000,-9669000,-9669000,-9669000,-9891000,-9891000,63798000,63241000,4356000,4356000,73362000,1374000,20296000,3028000,35708000,109070000,6948000,4827000,2121000,6948000,1292000,1292000,1292000,8240000,604342000,-8034000,-512074000,80371000,100830000,109070000,-9669468,343681,2912342,1665034,-4748411,-58592,-58563,-58563,-58706,-5627946,-5627946,-7011049,-10298319,0,-0.0981,-0.09068,10.55872,0.08172,0,-1.03148,-1.03148,8.38143,-0.09685,6.19499,5.99493
"40","2020_Q1",23.8556451612903,"Down",-10760000,-8795000,-6667000,-1965000,-10703000,-168000,279000,-10871000,-12282000,-12282000,-12282000,-12493000,-12493000,54246000,53621000,4641000,1420000,64722000,985000,22886000,9212000,37909000,102631000,7947000,5113000,2834000,7947000,1019000,1019000,1019000,8966000,607665000,-8034000,-523908000,72995000,93665000,102631000,-12282000,410000,3622000,3432000,-4818000,-6663000,-37000,-37000,-7781000,-10447000,-10447000,-9620000,-10293000,1.16415321826935e-10,-0.13338,-0.12173,8.14421,0.09572,1.73472347597681e-18,-1.29417,-1.29416999999999,7.56166,-0.13194,5.27018,5.0683
"41","2020_Q2",21.7301587301587,"Down",-8335000,-5318000,-4058000,-3017000,-8140000,553000,190000,-7587000,-8233000,-8233000,-8233000,-8441000,-8441000,54495000,53885000,1420000,1420000,59796000,826000,24825000,8536000,39689000,99485000,7541000,5452000,2089000,7541000,704000,704000,704000,8245000,613982000,-8034000,-532032000,70362000,91240000,99485000,-8233000,523000,2865000,211000,-4634000,449000,-1000,-1000,449000,753000,753000,264000,-7617000,0,-0.09251,-0.08485,7.92945,0.09037,0,-0.85459,-854.58577,7.12361,-0.09181,7.15439,6.69472
"42","2020_Q3",18.83515625,"Down",-7504000,-5642000,-4085000,-1862000,-7350000,65000,153000,-7285000,-8498000,-8498000,-8498000,-8694000,-8694000,45822000,44888000,6924000,1407000,55780000,809000,21417000,8274000,35789000,91569000,4179000,1825000,2354000,4179000,2977000,781000,2977000,7156000,615627000,-8034000,-540364000,63339000,84413000,91569000,-8498000,516000,3513000,-1921000,-6390000,-101999.999999999,-102000,-102000,-3184000,-9088000,-9088000,-8997000,-6834000,1.45519152283669e-11,-0.10299,-0.09494,13.34769,0.08477,0,-0.86147,-0.435580000000073,6.2761,-0.09949,6.705,6.23429
"43","2020_Q4",21.73359375,"Up",-10212000,-7409000,-5347000,-2803000,-7798000,-74000,432000,-7872000,-16756000,-16756000,-16756000,-16953000,-16953000,76388000,74592000,2092000,1794000,83278000,984000,22407000,9392000,50960000,134238000,5555000,2697000,2858000,5555000,15885000,13615000,15885000,21440000,657879000,-8034000,-556811000,91527000,112798000,134238000,-16756000,445000,11023000,-1542000,-6830000,986000,-264000,-264000,-5415000,28719000,28719000,29704000,-7353000,0,-0.1503,-0.12629,14.99154,0.19007,0,-1.43582,-1.43582,7.7518,-0.13174,10.38868,9.79585
"44","2021_Q1",28.0803278688525,"Up",-12895000,-9107000,-6171000,-3788000,-10025000,-851000,91000,-10876000,-14024000,-14024000,-14024000,-14199000,-14199000,66373000,57064000,1651000,1651000,74025000,2062000,22205000,8995000,53709000,127734000,6684000,3260000,3424000,7976000,16185000,13834000,16185000,24161000,659486000,-8034000,-570501000,81540000,103573000,127734000,-14024000,475000,5583000,-66000,-8032000,-132000,-1132000,-1132000,-12569000,-19836000,-19836000,-17528000,-9550000,1292000,-0.13709,-0.11116,9.28097,0.23328,0.01011,-1.14469,-1.14468999999999,6.57358,-0.1173,6.81476,6.49187
"45","2021_Q2",16.8222222222222,"Down",-13475000,-8217000,-5502000,-5258000,-10097000,345000,106000,-9752000,-13684000,-13684000,-13684000,-13883000,-13883000,79065000,68117000,1117000,1117000,89014000,1876000,22333000,9499000,59079000,148093000,7979000,5741000,2238000,9970000,15927000,13596000,15927000,25897000,691417000,-8034000,-583836000,100032000,122196000,148093000,-13684000,516000,6278000,-1111000,-8001000,-981000,-981000,-981000,-12067000,11122000,11122000,11053000,-9581000,1991000,-0.11361,-0.09375,8.92818,0.21193,0.01344,-1.1122,-1.1122,8.01378,-0.09908,8.04446,7.63336
"46","2021_Q3",13.5234375,"Down",-11103000,-8848000,-4157162.74394973,-2255000,-6923000,185000,76000,-6738000,-6744000,-6744000,-6744000,-6946000,-6946000,72945000,60357000,1318000,1318000,83505000,3348000,22994000,10303000,61021000,144526000,8007000,5519000,2488000,10021000,17008000,14654000,17008000,27029000,691938000,-8034000,-590263000,94800000,117497000,144526000,-6744000,465000,1450000,-2511000,-7340000,-227000,-227000,-227000,-977000,-8317000,-8317000,-7760000,-6458000,2014000,-0.05912,-0.04806,8.333,0.23004,0.01394,-0.49657,-0.496569999999999,6.77725,-0.05088,10.98343,10.2457
"47","2021_Q4",9.95671875,"Down",-11587000,-8692000,-3098416.99193297,-2895000,-6892000,560000,79000,-6332000,-10019000,-10019000,-10019000,-10224000,-10224000,62629000,53126000,2190000,2190000,71964000,6778000,23355000,10997000,64310000,136274000,8874000,6324000,2550000,9958000,16802000,14460000,16802000,26760000,693440000,-8034000,-599968000,86607000,109514000,136274000,-10019000,421000,5580000,158000,-3860000,-2512000,-940990.148581355,-940990.148581355,-2906000,-7229000,-7229000,-7231000,-6471000,1084000,-0.09336,-0.07503,7.22675,0.24435,0.00795,-0.73092,-0.73092,6.19155,-0.08025,9.51089,8.92992
"48","2022_Q1",7.8541935483871,"Down",-16728000,-12714000,-3197212.74394973,-4014000,-11370000,110000,60000,-11260000,-5395000,-5395000,-5395000,-5601000,-5601000,48572000,38704000,1688000,1688000,61970000,12712000,23488000,11285000,76328000,138298000,13186000,4789000,8397000,13186000,17153000,14325000,17153000,30339000,696225000,-8034000,-605643000,84502000,107959000,138298000,-5395000,413000,-2905000,246000,-7641000,-5215000,-2217221.00364268,-2217221.00364268,-4741000,-13467000,-13467000,-14422000,-10957000,0,-0.05188,-0.0405,4.69968,0.28102,0,-1.50468,-1.50468,22.70101,-0.04477,4.43297,4.27194
"49","2022_Q2",4.34451612903226,"Down",-12594000,-8602000,-5325000,-3992000,-7290000,445000,74000,-6845000,-8400000,-8400000,-8400000,-8596000,-8596000,37484000,29259000,1404000,1404000,52695000,14580000,21969000,10069000,76869000,129564000,13872000,7171000,6701000,13872000,16977000,14156000,16977000,30849000,695554000,-9068000,-613626000,74989000,98715000,129564000,-8400000,433000,3771000,-42000,-4238000,-2288000,-2288000,-2288000,-2288000,-9526000,-9526000,-9445000,-6857000,0,-0.08708,-0.06635,3.79866,0.31251,0,-0.61489,-0.61489,5.36412,-0.0743,5.46653,5.14184
"50","2022_Q3",3.2171875,"Down",-12769000,-8918000,-10353228.7600838,-3851000,-7746000,1406000,40000,-6340000,-7493000,-7493000,-7493000,-7680000,-7680000,24567000,18862000,1666000,1666000,42284000,14853000,20049000,9097000,76573000,118857000,12174000,4598000,7576000,12174000,16078000,13420000,17079000,29253000,696742000,-9068000,-620571000,66943000,89604000,118857000,-7493000,334000,3411000,-5735000,-9483000,707000,569000,569000,-961000,-9443000,-9443000,-10397000,-7412000,1001000,-0.08571,-0.06462,3.4733,0.32647,0.00842,-0.56445,-0.56445,4.92006,-0.07199,3.17944,3.04234
