"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2018_Q3",6.99444444444444,"Down",-7601000,-1883000,-5718000,-7211000,254000,254000,337000,-6957000,-8160000,-7907000,-7907000,-7907000,-7907000,69945000,3569000,1850000,1850000,71795000,1197000,1329000,73124000,1335000,750000,585000,3426000,6577000,89401000,-22799000,66547000,66547000,73124000,-7907000,90000,1149000,-547000,-7215000,90000,-160000,-160000,3338000,-5.82076609134674e-11,-5.82076609134674e-11,-4.65661287307739e-10,-3877000,-3877000,-3877000,-7121000,5122000,-0.11882,-0.10813,20.95593,0.09883,0.07005,-0.57094,-0.57094,4.80519,-0.11025,9.10308,8.98946
"14","2018_Q4",4.93269841269841,"Down",-12386000,-1857000,-10529000,-12386000,247000,247000,329000,-12139000,-12139000,-12139000,-12139000,-12139000,-12139000,61982000,11473000,1098000,1098000,63080000,1296000,1428000,64508000,4754000,440000,4314000,6867000,9524000,89947000,-34938000,54984000,54984000,64508000,-12139000,109000,502000,4156000,-7372000,-208000,-208000,-208000,15774000,2000,2000,-498000,7904000,7904000,7904000,-12277000,4665000,-0.22077,-0.18818,9.18596,0.17321,0.07232,-0.87638,-0.87638,3.96958,-0.20342,4.66865,4.62756
"15","2019_Q1",6.23245901639344,"Up",-11445000,-2514000,-8931000,-11445000,249000,249000,325000,-11196000,-11196000,-11135000,-11135000,-11135000,-11135000,52303000,10711000,1242000,1242000,53545000,1196000,1328000,54873000,6079000,1716000,4363000,8127000,10282000,90678000,-46074000,44591000,44591000,54873000,-11135000,109000,553000,1075000,-9398000,-9000,-9000,-9000,9136000,-9.31322574615479e-10,-9.31322574615479e-10,-499999.999999999,-762000,-762000,-762000,-11336000,4203000,-0.24971,-0.20292,6.58853,0.23058,0.0766,-0.80381,-0.80381,3.21891,-0.2282,4.24312,4.20271
"16","2019_Q2",5.77555555555556,"Down",-12695000,-2345000,-10350000,-12695000,314000,314000,384000,-12381000,-12381000,-12381000,-12381000,-12381000,-12381000,63956000,41437000,939000,939000,64895000,1221000,2210000,67105000,6114000,743000,5371000,8848000,10522000,115050000,-58455000,56583000,56583000,67105000,-12381000,305000,657000,196000,-11223000,-121000,-121000,-121000,19099000,23618000,23618000,23118000,30994000,30994000,30980000,-12390000,3738000,-0.21881,-0.1845,7.33443,0.18596,0.0557,-0.7006,-0.7006,3.20186,-0.20525,4.86021,4.74344
"17","2019_Q3",4.2909375,"Down",-12719000,-2553000,-10166000,-12152000,296000,296000,357000,-11856000,-11856000,-11856000,-11856000,-11856000,-11856000,55565000,15468000,1657000,1657000,57222000,1176000,12865000,70087000,7917000,2399000,5518000,12556000,24666000,115723000,-70311000,45421000,45421000,70087000,-11856000,-76000,661000,3394000,-7877000,-79000,-79000,-79000,-17587000,-8999.99999999627,-8999.99999999627,-509000,-25973000,-25973000,-25969000,-12228000,3270000,-0.26102,-0.16916,4.55734,0.54305,0.04666,-0.63806,-0.63806,2.44446,-0.19889,4.27666,4.30341
"18","2019_Q4",3.1171875,"Down",-11999000,-2467000,-9532000,-11710000,235000,235000,301000,-11475000,-11475000,-11475000,-11475000,-11475000,-11475000,46588000,17395000,5866000,5734000,52454000,1201000,12285000,64739000,11603000,5778000,5825000,13672000,29908000,116610000,-81786000,34831000,34831000,64739000,-11475000,115000,768000,17000,-10575000,-135000,-135000,-135000,10863000,2000,2000,1646000,1934000,1934000,1927000.00000001,-11595000,4886000,-0.32945,-0.17725,3.8366,0.85866,0.07547,-0.6172,-0.6172,1.87344,-0.2247,3.59655,3.56123
"19","2020_Q1",3.11322580645161,"Down",-7901000,-2102000,-5799000,-7017000,877000,65000,206000,-6140000,-6140000,-6140000,-6140000,-6140000,-6140000,40520000,16123000,1782000,1650000,42302000,1552000,11791000,54093000,6828000,1543000,5285000,8681000,24619000,117390000,-87926000,29474000,29474000,54093000,-6140000,124000,751000,-406000,-5671000,-486000,-486000,-486000,4388000,0,0,0,-1283000,-1283000,-1272000,-6893000,4927000,-0.20832,-0.11351,4.87294,0.83528,0.09108,-0.33028,-0.33028,1.58545,-0.13397,5.16364,5.0724
"20","2020_Q2",4.32650793650794,"Up",-6656000,-1778000,-4878000,-5565000,32000.0000000001,32000,152000,-5533000,-5533000,-5533000,-5533000,-5533000,-5533000,35683000,24446000,2405000,2273000,38088000,1669000,11761000,49849000,3019000,468000,2551000,5105000,24990000,118436000,-93459000,24859000,24859000,49849000,-5533000,135000,989000,-5285000,-9694000,-56000.0000000001,-56000,-56000,13130000,-18262300.8066883,-18262300.8066883,5e+06,8436000,8436000,8323000,-5430000,9911000,-0.22258,-0.111,7.46092,1.00527,0.19882,-0.29767,-0.29767,1.33738,-0.11903,4.74622,4.63109
"21","2020_Q3",9.1428125,"Up",-10440000,-3344000,-7096000,-9752000,-182000,-182000,44000,-9934000,-9934000,-9928000,-9928000,-9928000,-9928000,90218000,88220000,1018000,1018000,91236000,1531000,11459000,102695000,4372000,548000,3824000,28179000,86467000,119670000,-103387000,16228000,16228000,102695000,-9928000,144000,1296000,63007000,54519000,-198000,-198000,-198000,9057000,1999.99999999255,1999.99999999255,2000,63578000,63578000,63642000,-9608000,9992000,-0.61178,-0.09667,3.23773,5.32826,0.0973,-0.53408,-0.53408,0.87299,-0.13302,8.34992,8.22662
"22","2020_Q4",9.81484375,"Up",-8884000,-2728000,-6156000,-6971000,834000,-208000,6000,-6137000,-6137000,-6137000,-6137000,-6137000,-6137000,141075000,141075000,1475000,1475000,142550000,1695000,11483000,154033000,5807000,742000,5065000,35849000,86565000,177033000,-109524000,67468000,67468000,154033000,-6137000,140000,1038000,-432999.999999985,-5391999.99999999,-59999.9999999999,-59999.9999999999,-59999.9999999999,1843000,56390000,56390000,56390000,52841000,52841000,52855000,-6831000,10059000,-0.09096,-0.03984,3.9764,1.28305,0.0653,-0.27515,-0.27515,3.02492,-0.05135,19.17962,18.79443
"23","2021_Q1",12.4675409836066,"Up",-12104000,-3049000,-9055000,-6461000,119000,-172000,43000,-6342000,-6342000,-6342000,-6342000,-6342000,-6342000,105581000,34959000,1520000,1520000,107101000,1785000,36989000,144090000,6359000,582000,5777000,41167000,81932000,177947000,-115866000,62158000,62158000,144090000,-6342000,159000,1186000,-4352000,-9349000,-488000,-488000,-488000,-96849000,-11000,-11000,-11000,-106209000,-106209000,-106116000,-6302000,10128000,-0.10203,-0.04401,2.60162,1.31812,0.07029,-0.26619,-0.26619,2.60794,-0.06014,15.14646,14.77372
"24","2021_Q2",10.8674603174603,"Down",-13693000,-3256000,-10437000,-10489000,-154000,-154000,63000,-10643000,-10643000,-10643000,-10643000,-10643000,-10643000,96814000,12629000,3668000,3668000,100482000,1674000,29495000,129977000,4419000,466000,3953000,43367000,76683000,179746000,-126509000,53294000,53294000,129977000,-10643000,165000,1887000,-7380000,-15971000,-39000,-39000,-39000,-6546000,202000,202000,202000,-22315000,-22315000,-22330000,-10324000,10200000,-0.1997,-0.08188,2.31702,1.43887,0.07848,-0.44588,-0.44588,2.23168,-0.11779,8.38958,8.2576
"25","2021_Q3",9.2140625,"Down",-17924000,-3290000,-14634000,-10731000,-167000,-167000,51000,-10898000,-10898000,-11029000,-11029000,-11029000,-11029000,91060000,18813000,3333000,3333000,139736000,1527000,20082000,159818000,6007000,1393000,4614000,60246000,115987000,181300000,-137538000,43831000,43831000,159818000,-11029000,162000,1748000,-5563000,-14682000,-30000,-30000,-30000,20866000,9000,9000,9000.00000000745,6193000,6193000,6184000,-10569000,10274000,-0.25163,-0.06901,2.31942,2.64623,0.06429,-0.46205,-0.46205,1.83524,-0.10591,7.64367,7.52828
"26","2021_Q4",12.38875,"Up",-21779000,-3470000,-18309000,-13263000,-151000,-151000,40986.4817474873,-13414000,-13414000,-13494000,-13494000,-13494000,-13494000,180628000,76099000,3121000,3121000,183749000,1372000,49731000,233480000,10492000,1839000,8653000,63933000,110655000,273813000,-151032000,122825000,122825000,233480000,-13494000,155000,1899000,41574000,30134000,0,-64676.6860987825,-64676.6860987825,-62515000,90880000,90880000,89680000,57299000,57299000,57286000,-13108000,9141000,-0.10986,-0.0578,2.87409,0.90092,0.03915,-0.5583,-0.5583,5.08051,-0.07749,13.08262,12.92973
"27","2022_Q1",8.64725806451613,"Down",-19906000,-4544000,-15362000,-15376000,-89000,-85000,63182.3065665828,-15465000,-15465000,-15167000,-15167000,-15167000,-15167000,162303000,67907000,4710000,4710000,192013000,1716000,63887000,255900000,12766000,3349000,9417000,69778000,134997000,287375000,-166199000,120903000,120903000,255900000,-15167000,138000,1676000,-1376000,-14729000,-49000,-17303.3456992253,-17303.3456992253,-4285000,12073000,12073000,10873000,-8141000,-8141000,-8192000,-15238000,8002000,-0.12545,-0.05927,2.75177,1.11657,0.03127,-0.57477,-0.57477,4.58178,-0.07951,10.12607,10.03518
"28","2022_Q2",8.61967741935484,"Down",-21086000,-4775000,-16311000,-7457000,-66000,-9000,145000,-7523000,-7523000,-7527000,-7527000,-7527000,-7527000,171869000,34889000,4095000,4095000,176096000,1728000,57842000,233938000,11106000,1903000,9203000,68165000,118511000,290184000,-173726000,115427000,115427000,233938000,-7527000,148000,2734000,10094000,5449000,-26000,-26000,-26000,-37803000,550000,550000,-650000,-33004000,-33004000,-33018000,-7309000,6858000,-0.06521,-0.03218,2.58338,1.02672,0.02932,-0.25641,-0.25641,3.93109,-0.04417,22.57641,22.12834
"29","2022_Q3",8.24171875,"Down",-21781000,-4194000,-17587000,-16489000,169000,184000,314000,-16320000,-16320000,-18098000,-18098000,-18098000,-18098000,167860000,24360000,3112000,3112000,172289000,1596000,43537000,215826000,14337000,1812000,12525000,62618000,116290000,292699000,-191824000,99536000,99536000,215826000,-18098000,156000,2763000,-890000,-16069000,-215000,-215000,-215000,6564000,180000.000000002,180000.000000002,-1020000,-10525000,-10525000,-10529000,-16333000,5707000,-0.18182,-0.08385,2.75143,1.16832,0.02644,-0.5968,-0.5968,3.28133,-0.11462,9.92794,9.83401
