"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",13.97078125,"Up",45382000,33669000,37843000,-4174000,11713000,7475000,4236000,-2307000,43075000,-31616000,-974000,-30642000,11459000,11459000,14552000,-2222000,12330000,12330000,12330000,12330000,261124000,528499000,3336046000,-45936000,3381982000,37975000,4919000,175820000,135480000,4479863000,3638564000,2361025000,1277539000,204977000,23535000,68173000,3935249000,155534000,-40692000,444115000,-14343000,544614000,544614000,4479863000,14454000,-510000,-19782000,-37155000,-52697000,-4460000,-33791000,-58000,-38344000,-76587000,-76587000,-76587000,228512000,0.2525,0.27169,0.02264,0.00275,7.22576,0.05101,0.41625,0.41551,1.53207,18.3858,0.15057,0.00375,0.36172,-2.84597
"12","2013_Q3",17.304375,"Up",47463000,34596000,38553000,-3957000,12867000,8465000,4402000,-1023000,46440000,-28386000,-1171000,-27215000,18054000,18054000,18054000,-3951000,14103000,14103000,14103000,14103000,247432000,539356000,3397128000,-46105000,3443233000,37473000,4506000,175820000,127044000,4528759000,3648628000,2371816000,1276812000,244770000,22965000,65544000,3981907000,155665000,-40276000,453258000,-21795000,546852000,546852000,4528759000,30767000,-314000,-23379000,-65335000,-89028000,-4458000,39138000,9900999.99999999,44569000,-13692000,-13692000,-13692000,267735000,0.38038,0.29714,0.02579,0.00311,7.28151,0.05912,0.47558,0.4752,1.60055,18.44096,0.15033,0.0041,0.3161,1.12457
"13","2013_Q4",18.48484375,"Up",47816000,35274000,38581000,-3307000,12542000,8312000,4227000,-3419000,44397000,-27943000,-996000,-26947000,16454000,16454000,16454000,-4207000,12247000,12247000,12247000,12247000,234928000,548163000,3463352000,-47983000,3511335000,37792000,4128000,175820000,123945000,4588128000,3694203000,2411496000,1282707000,253909000,22390000,62198000,4032700000,155828000,-40276000,461044000,-21168000,555428000,555428000,4588128000,22696000,-1150000,-8987000,-74678000,-84815000,-4461000,8564000,45512000,49615000,-12504000,-12504000,-12504000,276299000,0.34411,0.25613,0.02205,0.00267,7.26053,0.06022,0.41294,0.41256,1.61223,18.72758,0.15041,0.00364,0.36425,2.51434
"14","2014_Q1",17.7644262295082,"Down",46966000,35654000,38779000,-3125000,11312000,7863000,3449000,-1562000,45404000,-28609000,-1043000,-27566000,16795000,16795000,15957000,-4098000,11859000,11859000,11859000,11859000,108356000,569905000,3519944000,-46255000,3566199000,36615000,3759000,175820000,118791000,4533190000,3672308000,2398126000,1274182000,219466000,21810000,48300000,3961884000,156133000,-40291000,468158000,-12694000,571306000,571306000,4533190000,18159000,-216000,-25766000,-57161000,-83143000,-4758000,-34937000,-21948000,-61588000,-126572000,-126572000,-126572000,241276000,0.3576,0.2525,0.02076,0.00262,6.93478,0.05322,0.3999,0.3994,1.58375,19.26509,0.16045,0.00367,0.40121,7.91426
"15","2014_Q2",18.0673015873016,"Up",47007000,35591000,38665000,-3074000,11416000,7966000,3449000,-289000,46718000,-28914000,-663000,-28251000,17804000,17804000,17804000,-3771000,14033000,14033000,14033000,14033000,185303000,612806000,3581280000,-46616000,3627896000,36239000,3443000,175820000,112096000,4706987000,3868281000,2475495000,1392786000,184053000,21226000,49776000,4123336000,156318000,-40809000,477790000,-9648000,583651000,583651000,4706987000,22365000,-393000,-38961000,-61083000,-100437000,-4758000,-36158000,195935000,155019000,76947000,76947000,76947000,205279000,0.37875,0.29853,0.02404,0.00298,7.06473,0.04361,0.47312,0.47252,1.58482,19.67752,0.16041,0.00399,0.33906,1.122
"16","2014_Q3",18.846875,"Up",48626000,36855000,39872000,-3017000,11771000,8135000,3596000,1134000,49760000,-30165000,-875000,-29290000,19595000,19595000,19595000,-4875000,14720000,14720000,14720000,14720000,130235000,649836000,3678499000,-46580000,3725079000,36665000,3146000,175820000,113829000,4788030000,3865246000,2473528000,1391718000,255888000,20636000,49073000,4190843000,156563000,-38627000,485277000,-6026000,597187000,597187000,4788030000,21405000,-1262000,-32123000,-106207000,-139592000,-5052000,71246000,-3075000,63119000,-55067999.9999999,-55067999.9999999,-55067999.9999999,276524000,0.40297,0.30272,0.02465,0.00307,7.01764,0.05775,0.49589,0.4956,1.6381,20.11794,0.17019,0.00413,0.34321,7.46563
"17","2014_Q4",20.96625,"Up",49460000,37529000,40605000,-3076000,11931000,8464000,3467000,-1453000,48007000,-28440000,-950000,-27490000,19567000,19567000,19567000,-4906000,14661000,14661000,14661000,14661000,143831000,677451000,3753873000,-47316000,3801189000,37240000,2886000,175820000,115643000,4906744000,3901101000,2528037000,1373064000,333703000,20042000,46001000,4300847000,156809000,-38649000,494909000,-7172000,605897000,605897000,4906744000,14688000,-1467000,-30104000,-77504000,-109075000,-5048000,77218000,35813000,107983000,13596000,13596000,13596000,353745000,0.39561,0.29642,0.0242,0.00299,7.09831,0.07209,0.49375,0.49339,1.66569,20.4051,0.17,0.00402,0.34431,10.72796
"18","2015_Q1",22.2350819672131,"Up",49287000,38067000,41381000,-3314000,11220000,8118000,3102000,-1107000,48180000,-29032000,-1229000,-27803000,19148000,19148000,18459000,-3963000,14496000,14496000,14496000,14496000,109580000,702525000,3820835000,-47911000,3868746000,38166000,2631000,175820000,115129000,4964686000,3908842000,2448311000,1460531000,366224000,19442000,61789000,4356297000,156811000,-38649000,504060000,-13833000,608389000,608389000,4964686000,19645000,-1861000,-21515000,-64568000,-87944000,-5345000,31814000,7725999.99999999,34048000,-34251000,-34251000,-34251000,385666000,0.3885,0.29411,0.02383,0.00292,7.16038,0.07768,0.48818,0.48774,1.65984,20.48869,0.18,0.004,0.36872,14.41853
"19","2015_Q2",21.89,"Down",52343000,40259000,43916000,-3657000,12084000,8221000,3863000,-1207000,51136000,-31320000,-523000,-30797000,19816000,19816000,17515000,-4680000,12835000,12835000,12835000,12835000,124737000,734567000,4635592000,-48106000,4683698000,49660000,7996000,290617000,128124000,5971293000,4828531000,3033299000,1795232000,296913000,18838000,64753000,5209035000,299476000,-36765000,509575000,-10028000,762258000,762258000,5971293000,19290000,-842000,16000,-26564000,-43737000,-5357000,-152262000,197302000,39604000,15157000,15157000,15157000,315751000,0.37858,0.24521,0.01684,0.00215,6.83369,0.05288,0.41096,0.41058,1.67594,24.40626,0.17152,0.00305,0.41737,9.63938
"20","2015_Q3",24.0925,"Up",62194000,48811000,52610000,-3799000,13383000,8827000,4590000,-2059000,60135000,-34583000,-801000,-33782000,25552000,25552000,24686000,-6498000,18188000,18188000,18188000,18188000,146582000,745938000,4749684000,-48814000,4798498000,49032000,7479000,291204000,143809000,6133728000,4859415000,3044116000,1815299000,322829000,118228000,62027000,5362499000,300035000,-36341000,521056000,-13521000,771229000,771229000,6133728000,5930000,-1596000,-17555000,-115681000,-134832000,-6251000,125360000,31641000,150747000,21845000,21845000,21845000,441057000,0.41084,0.29244,0.02358,0.00297,6.95319,0.07191,0.52486,0.52443,1.79477,22.25583,0.18039,0.00398,0.34369,11.52454
"21","2015_Q4",25.6496875,"Up",62077000,49596000,53669000,-4073000,12481000,8880000,3601000,-3207000,58870000,-33829000,-946000,-32883000,25041000,25041000,25041000,-6406000,18635000,18635000,18635000,18635000,115347000,739940000,4876056000,-49907000,4925963000,49106000,7e+06,291683000,136206000,6215338000,4877409000,3095435000,1781974000,368590000,117613000,63923000,5427535000,300467000,-36370000,533442000,-9736000,787803000,787803000,6215338000,36419000,-1035000,10873000,-134768000,-124930000,-6278000,45147000,18383000,57276000,-31235000,-31235000,-31235000,486203000,0.40339,0.30019,0.02365,0.003,6.88946,0.07823,0.53765,0.53714,1.79103,22.72945,0.18113,0.00401,0.33689,14.80995
"22","2016_Q1",20.892131147541,"Down",61970000,48885000,53353000,-4468000,13085000,9271000,3814000,-3915000,58055000,-33818000,-736000,-33082000,24237000,24237000,24237000,-6814000,17423000,17423000,17423000,17423000,99399000,731138000,4979465000,-48147000,5027612000,49127000,6525000,291764000,160936000,6318354000,4876611000,3043661000,1832950000,463705000,117043000,68758000,5526117000,300871000,-36405000,544228000,-16457000,792237000,792237000,6318354000,-1055000.00000001,-1193000,-6785000,-104537000,-102238000,-6601000,94363000,-528000,87345000,-15948000,-15948000,-15948000,580748000,0.39111,0.28115,0.02199,0.00276,6.97533,0.09191,0.502,0.50128,1.78552,22.82644,0.19019,0.0038,0.37887,19.86009
"23","2016_Q2",20.3684375,"Down",63388000,49637000,55019000,-5382000,13751000,8537000,5214000,-5014000,58374000,-38416000,-947000,-37469000,19958000,19958000,22024000,-5931000,16093000,16093000,16093000,16093000,121669000,747905000,5126401000,-50347000,5176748000,48395000,6067000,291670000,137055000,6479162000,5017925000,3161899000,1856026000,460644000,116468000,73324000,5668361000,301602000,-33914000,551229000,-8116000,810801000,810801000,6479162000,25666000,-465000,-8140000,-127127000,-135732000,-6601000,-3636000,142573000,132336000,22270000,22270000,22270000,577112000,0.31485,0.25388,0.01985,0.00248,6.99106,0.08907,0.4643,0.46325,1.8288,23.3923,0.19044,0.0035,0.41018,22.82007
"24","2016_Q3",21.79015625,"Up",62157000,49709000,55851000,-6142000,12448000,8564000,3884000,-4849000,57308000,-34753000,-781000,-33972000,22555000,22555000,22555000,-5496000,17059000,17059000,17059000,17059000,94991000,754470000,5336051000,-52213000,5388264000,47025000,5657000,291670000,144341000,6674205000,5120318000,3199531000,1920787000,644098000,15888000,68851000,5849155000,302150000,-33484000,561132000,-4748000,825050000,825050000,6674205000,18328000,-892000,-2568000,-219239000,-222699000,-6610000,82874000,101545000,177693000,-26678000,-26678000,-26678000,659986000,0.36287,0.27445,0.02068,0.00256,7.08946,0.09889,0.49197,0.4907,1.79257,23.794,0.19063,0.00355,0.38748,25.04966
"25","2016_Q4",27.1977777777778,"Up",64903000,51455000,57808000,-6353000,13448000,8936000,4512000,-2516000,62387000,-34438000,-817000,-33621000,27949000,27949000,27949000,-7368000,20581000,20581000,20581000,20581000,125163000,742651000,5364441000,-53793000,5418234000,47122000,5282000,291670000,141876000,6718205000,5145431000,3148837000,1996594000,651568000,15303000,67196000,5879498000,302733000,-33575000,575192000,-5643000,838707000,838707000,6718205000,28397000,-1367000,9475000,-31850000,-23742000,-6613000,6884000,25245000,25517000,30172000,30172000,30172000,666871000,0.43063,0.3171,0.02454,0.00306,7.01019,0.09926,0.59333,0.59194,1.87108,24.17895,0.19065,0.00405,0.32132,19.38202
"26","2017_Q1",29.8495161290323,"Up",65380000,52458000,59096000,-6638000,12922000,8874000,4048000,-5586000,59794000,-35625000,-921000,-34704000,24169000,24169000,24169000,-6510000,17659000,17659000,17659000,17659000,139486000,765568000,5558644000,-52775000,5611419000,44999000,4910000,291670000,137776000,6943053000,5272377000,3072083000,2200294000,756451000,14713000,57556000,6101097000,303424000,-33575000,585891000,-13784000,841956000,841956000,6943053000,24414000,-779000,-38019000,-195682000,-234480000,-6960000,104179000,127055000,224389000,14323000,14323000,14323000,771164000,0.36967,0.2701,0.02097,0.00254,7.24634,0.11107,0.50908,0.50715,1.88482,24.27244,0.20065,0.00355,0.39413,26.13588
"27","2017_Q2",28.7752380952381,"Down",66874000,53878000,61150000,-7272000,12996000,8260000,4366000,-5183000,61691000,-36808000,-1068000,-35740000,24883000,24883000,24883000,-6695000,18188000,18188000,18188000,18188000,104705000,785772000,5691010000,-55816000,5746826000,45322000,4552000,291670000,142067000,7065098000,5435325000,3148895000,2286430000,702606000,14118000,57869000,6209918000,304426000,-31755000,595105000,-12596000,855180000,855180000,7065098000,30307000,-729000,-19080000,-146703000,-166512000,-6960000,-54440000,163018000,101424000,-34781000,-34781000,-34781000,716724000,0.37209,0.27197,0.02127,0.00257,7.26153,0.10145,0.5243,0.52096,1.92775,24.65188,0.20063,0.00356,0.38267,24.59587
"28","2017_Q3",30.4284126984127,"Up",72836000,56571000,64915000,-8344000,16265000,8468000,4180000,-4869000,67967000,-36598000,-931000,-35667000,31369000,31369000,31369000,-8604000,22765000,22765000,22765000,22765000,125863000,761837000,5702468000,-55351000,5757819000,45019000,4191000,291670000,155118000,7086166000,5409862000,3123475000,2286387000,737108000,13518000,54616000,6215104000,305267000,-31851000,610504000,-12858000,871062000,871062000,7086166000,21812000,-2016000,25483000,-24884000,-1417000,-6967000,33902000,-25677000,763000,21158000,21158000,21158000,750626000,0.43068,0.31255,0.02613,0.00321,7.13509,0.10593,0.65558,0.65217,2.09751,25.08463,0.20063,0.0042,0.30604,19.91657
"29","2017_Q4",33.6946031746032,"Up",71007000,57456000,66722000,-9266000,13551000,8679000,4872000,-2849000,68158000,-36554000,-869000,-35685000,31604000,31604000,31604000,-8883000,22721000,22721000,22721000,22721000,114440000,769593000,5764046000,-56712000,5820758000,42888000,3956000,291670000,183586000,7170179000,5404280000,3018615000,2385665000,809502000,12911000,55910000,6282603000,305777000,-31880000,626283000,-12604000,887576000,887576000,7170179000,31312000,-525000,-9750000,-91660000,-101935000,-6972000,32827000,33344000,59200000,-11423000,-11423000,-11423000,822413000,0.44508,0.31998,0.0256,0.00317,7.07838,0.1147,0.65382,0.64991,2.04329,25.54082,0.20063,0.00414,0.30685,22.40137
"30","2018_Q1",34.0345901639344,"Up",70478000,57828000,67855000,-10027000,12650000,8838000,4799000,-982000,69496000,-37947000,-1228000,-36719000,31549000,31549000,31549000,-22255000,9294000,9294000,9294000,9294000,117152000,770441000,5705059000,-56390000,5761449000,42702000,3677000,291670000,129554000,7060255000,5427891000,2894023000,2533868000,635780000,47301000,65252000,6176224000,306432000,-32081000,628107000,-18427000,884031000,884031000,7060255000,30805000,-1002000,-6735000,60782000,57449000,-7670000,-101061000,22501000,-85542000,2712000,2712000,2712000,683081000,0.44764,0.13187,0.01051,0.00132,6.98643,0.09675,0.26745,0.26524,2.02808,25.43896,0.22071,0.0024,0.82526,17.9381
"31","2018_Q2",36.661875,"Up",68851000,56932000,68029000,-11097000,11919000,8960000,2959000,-2472000,66379000,-36082000,-1051000,-35031000,30297000,30297000,32170000,-6007000,26163000,26163000,26163000,26163000,112849000,760279000,5671567000,-59046000,5730613000,41635000,3126000,287446000,128427000,7005329000,5387094000,2779344000,2607750000,615236000,46684000,60908000,6109922000,306944000,-31509000,649925000,-29953000,895407000,895407000,7005329000,37791000,-2e+05,-5461000,29278000,28157000,-7669000,-21161000,-40764000,-70251000,-4303000,-4303000,-4303000,661920000,0.44004,0.37999,0.02922,0.00373,6.82363,0.09449,0.75275,0.74753,1.98094,25.76212,0.22065,0.00483,0.29312,18.12295
"32","2018_Q3",38.3271428571429,"Up",70654000,58402000,71581000,-13179000,12252000,9153000,3099000,-9345000,61309000,-35863000,-888000,-34975000,25446000,25446000,25446000,-4010000,21436000,21436000,21436000,21436000,137933000,761463000,5725601000,-60517000,5786118000,40889000,2909000,287446000,141105000,7097346000,5393533000,2715699000,2677834000,690343000,46062000,60275000,6190213000,307211000,-31245000,662112000,-30945000,907133000,907133000,7097346000,26702000,-494000,-3533000,-69825000,-73852000,-8722000,74485000,6471000,72234000,25084000,25084000,25084000,736405000,0.36015,0.30339,0.02363,0.00302,6.82393,0.10376,0.6161,0.61145,2.03069,26.07216,0.25068,0.00425,0.40689,23.5193
"33","2018_Q4",34.3349206349206,"Down",71304000,59262000,73627000,-14365000,12042000,8921000,3121000,-462000,70842000,-37085000,-1181000,-35904000,33757000,33757000,33757000,-2876000,30881000,30881000,30881000,30881000,132650000,756161000,5747251000,-60556000,5807807000,41403000,2725000,287446000,137727000,7105363000,5467509000,2688201000,2779308000,625819000,45434000,46820000,6185582000,300011000,-31338000,684361000,-33253000,919781000,919781000,7105363000,20692000,-1759000,1359000,-18054000,-18454000,-8724000,-65152000,74007000,-7521000,-5283000,-5283000,-5283000,671253000,0.47342,0.43309,0.03357,0.00435,6.72506,0.09447,0.88741,0.88183,2.04901,26.43112,0.2507,0.00557,0.2825,15.9553
"34","2019_Q1",34.2652459016393,"Down",72810000,59842000,76589000,-16747000,12968000,8825000,4143000,-2716000,70094000,-36415000,-1012000,-35403000,33679000,33679000,31806000,-4952000,26854000,26854000,26854000,26854000,155489000,758772000,5885652000,-60996000,5946648000,41730000,2601000,287446000,120531000,7252221000,5673922000,2770701000,2903221000,534002000,70314000,38222000,6316460000,300671000,-43622000,701819000,-23107000,935761000,935761000,7252221000,42832000,-1584000,9411000,-141102000,-137815000,-9424000,-66937000,206439000,117822000,22839000,22839000,22839000,604316000,0.46256,0.36882,0.0287,0.0037,6.75008,0.08333,0.77269,0.7711,2.09501,26.92522,0.27116,0.005,0.35093,13.32661
"35","2019_Q2",33.4944444444444,"Down",71718000,60356000,78590000,-18234000,11362000,8175000,3187000,-5649000,66069000,-38919000,-1184000,-37735000,27150000,27150000,27150000,-4222000,22928000,22928000,22928000,22928000,116820000,754821000,5874043000,-61409000,5935452000,42199000,2418000,287446000,151515000,7229262000,5833401000,2709001000,3124400000,304046000,70418000,78241000,6286106000,301275000,-57266000,716078000,-16931000,943156000,943156000,7229262000,30459000,-1757000,10756000,14702000,23701000,-9317000,-229852000,159503000,-92829000,-38669000,-38669000,-38669000,374464000,0.37857,0.3197,0.02431,0.00317,6.66497,0.0518,0.66623,0.66376,2.08394,27.40573,0.27073,0.00446,0.40636,9.48965
"36","2019_Q3",31.61171875,"Down",73728000,60827000,79624000,-18797000,12901000,8775000,4126000,-2205000,71523000,-39734000,-1145000,-38589000,31789000,31789000,31171000,-5070000,26101000,26101000,26101000,26101000,122876000,743494000,5971721000,-61479000,6033200000,41688000,2255000,287446000,165125000,7334605000,5856700000,2651980000,3204720000,354773000,69791000,88388000,6369652000,301651000,-57756000,730577000,-9519000,964953000,964953000,7334605000,28437000,-793000,20066000,-102984000,-83711000,-9242000,50100000,23322000,61330000,6056000,6056000,6056000,424564000,0.43117,0.35402,0.02705,0.00356,6.601,0.05789,0.76359,0.76252,2.15694,28.23001,0.27038,0.00482,0.35409,9.49033
