"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",23.2771875,"Up",185150000,-129651000,55499000,-35376000,-32442000,-2934000,20123000,-2558000,-2605000,47000,17565000,17245000,-5386000,11859000,11859000,11880000,11880000,66171000,66171000,103103000,103103000,123034000,17644000,7317000,710000,309952000,137008000,167364000,87232000,1114000,5459000,304372000,614324000,63269000,46747000,16522000,10904000,31297000,31297000,105470000,217143000,54787000,39374000,15194000,271930000,377400000,153064000,112928000,-30286000,235706000,236924000,614324000,11859000,6833000,1908000,-11305000,9295000,-4499000,-4499000,-20296000,132461429.441703,-20296000,-15500000,-15500000,-3483000,-18983000,26956000,228047000,16538000,0.29975,0.10868,0.06416,0.05014,0.01934,1.39209,2.93877,1.59292,0.37122,0.44439,0.44383,6.9259,8.81704,0.61864,0.02286,0.03182,6.00519,8.04433
"12","2013_Q3",23.24546875,"Down",181095000,-126676000,54419000,-35842000,-32628000,-3214000,18577000,-2802000,-2658000,-144000,15775000,15537000,-4861000,10676000,10676000,10689000,10689000,61507000,61507000,99218000,99218000,119881000,17684000,6709000,1387000,298290000,136377000,165723000,87173000,1042000,5594000,302100000,600390000,63146000,45177000,17969000,11883000,29654000,29654000,104683000,195372000,53789000,39172000,14412000,249161000,353844000,153982000,120906000,-29547000,245341000,246546000,600390000,10676000,7054000,1977000,3979000,23686000,-5476000,-5476000,-21611000,5.96046447753906e-08,-23763000,-5553000,-5553000,889000,-4664000,25631000,207255000,28995000,0.3005,0.10258,0.05902,0.04335,0.0178,2.7126,2.84946,1.4352,0.3452,0.39972,0.39776,6.77219,9.17471,1.08429,0.0253,0.05712,5.6864,7.84562
"13","2013_Q4",26.08375,"Up",175443000,-121785000,53658000,-34674000,-31672000,-3002000,18984000,-3253000,-2567000,-686000,15731000,15634000,-5176000,10458000,10458000,10501000,10501000,70272000,70272000,99773000,99773000,120571000,16787000,6274000,867000,307403000,136196000,164915000,88115000,1173000,4490000,301111000,608514000,67731000,47454000,20277000,12800000,33384000,33384000,113915000,181085000,53563000,39444000,13923000,234648000,348563000,153446000,128722000,-23258000,258910000,259951000,608514000,10458000,7042000,2082000,9606000,29188000,-4386000,-4386000,-14237000,-1166000,-18103000,6699000,6699000,2066000,8765000,26026000,193885000,36422000,0.30584,0.10821,0.05985,0.0404,0.01726,3.46843,2.69853,1.34088,0.31862,0.39218,0.39014,6.55225,9.66948,1.36025,0.02602,0.07178,4.7496,6.51143
"14","2014_Q1",29.7777049180328,"Up",180530000,-128725000,51805000,-36799000,-33413000,-3386000,15006000,-3630000,-2756000,-874000,11376000,10920000,-3728000,7192000,7192000,7205000,7205000,63604000,63604000,109084000,109084000,143665000,32852000,18066000,5032000,349205000,157535000,228936000,104339000,934000,4895000,386471000,735676000,88126000,51180000,23983000,16924000,35023000,34979000,140073000,261348000,63931000,53813000,10118000,325279000,465352000,154498000,133231000,-18396000,269333000,270324000,735676000,7192000,6995000,5575000,7694000,27456000,-12884000,-115644000,83527000,-678000,80153000,-8035000,-8035000,1367000,-6668000,22001000,278272000,20539000,0.28696,0.08312,0.03991,0.02665,0.00979,2.85066,2.49302,1.72146,0.37825,0.2687,0.26876,6.73268,10.04449,0.76598,0.01616,0.03353,9.75719,14.30548
"15","2014_Q2",30.6820634920635,"Up",210138000,-148342000,61796000,-42151000,-38262000,-3889000,19645000,-3553000,-3019000,-534000,16092000,16092000,-4729000,11363000,11363000,11365000,11365000,61849000,61849000,120673000,120673000,139727000,28667000,17108000,1823000,350916000,156134000,227442000,105217000,926000,4651000,383576000,734492000,88085000,52452000,22446000,17784000,36225000,36180000,142094000,249147000,63539000,53868000,9671000,312686000,454780000,155240000,141889000,-18445000,278684000,279712000,734492000,11363000,8064000,4597000,-4951000,19073000,-5617000,-5617000,-12043000,-132000,-14871000,-1415000,-1415000,-340000,-1755000,27709000,266931000,21870000,0.29407,0.09349,0.05408,0.04063,0.01547,1.92433,2.4696,1.62589,0.36342,0.42513,0.41412,7.86062,10.42472,0.81809,0.02304,0.03584,7.40128,10.4394
"16","2014_Q3",29.29015625,"Down",215198000,-148728000,66470000,-44511000,-40499000,-4012000,21959000,-3197000,-2972000,-225000,18762000,18762000,-5944000,12818000,12818000,12797000,12797000,69168000,69168000,125412000,125412000,136301000,26688000,14192000,2754000,357569000,155905000,225225000,105847000,925000,4220000,381130000,738699000,84197000,53339000,23958000,18824000,36008000,35962000,139029000,247964000,63501000,53882000,9619000,311465000,450494000,153289000,151444000,-17612000,287121000,288205000,738699000,12818000,7962000,1891000,-4013000,18658000,-5306000,-5306000,-558000.000000015,0,-6172000.00000001,7180000,7180000,139000,7319000,29921000,266788000,26546000,0.30888,0.10204,0.05947,0.0444,0.01732,2.07439,2.5719,1.5631,0.36116,0.4755,0.4595,7.99606,10.66849,0.98636,0.02507,0.04292,6.60473,8.9995
"17","2014_Q4",26.01890625,"Down",202520000,-140187000,62333000,-42885000,-39067000,-3818000,19448000,-2687000,-3e+06,313000,16761000,15118000,-8170000,6948000,6948000,6946000,6946000,42994000,42994000,117872000,117872000,135383000,20507000,8195000,1918000,316756000,152776000,225265000,104653000,894000,4188000,378041000,694797000,72196000,43914000,24194000,14532000,38693000,38649000,125421000,237062000,62993000,53822000,9171000,300055000,425476000,142868000,155198000,-29724000,268342000,269321000,694797000,6948000,8096000,3641000,5622000,24307000,-5267000,-20359000,-12285000,-1315000,-26750000,-22802000,-22802000,-3372000,-26174000,27544000,251594000,36069000,0.30779,0.09603,0.0343,0.02579,0.01,5.19277,2.52554,1.57981,0.36211,0.26006,0.25372,7.58246,10.04688,1.35044,0.01745,0.06177,7.57334,10.72604
"18","2015_Q1",23.5814754098361,"Down",191961000,-133691000,58270000,-42446000,-38643000,-3803000,15824000,-2554000,-3003000,449000,13270000,13146000,-4093000,9053000,9053000,9059000,9059000,47503000,47503000,106458000,106458000,132736000,14864000,8617000,6247000,301561000,156366000,218475000,102087000,2066000,3592000,374841000,676402000,70741000,44298000,23254000,15176000,33591000,33591000,119508000,240576000,56676000,45185000,11491000,297252000,416760000,139113000,161061000,-41415000,258759000,259642000,676402000,9053000,8015000,2145000,3248000,22461000,-11012000,-11012000,4730000,289000,-6172000,5277000,5277000,-768000,4509000,23839000,255752000,20168000,0.30355,0.08243,0.04719,0.03489,0.01339,2.22629,2.52335,1.60513,0.37811,0.34189,0.33625,7.24463,9.7656,0.76114,0.027,0.03525,8.73564,13.16033
"19","2015_Q2",24.9290476190476,"Up",193361000,-134888000,58473000,-41064000,-36302000,-4762000,17409000,-2127000,-2956000,829000,15282000,13526000,-4136000,9390000,9390000,9398000,9398000,47426000,47426000,113047000,113047000,127598000,20839000,8445000,3276000,308910000,151694000,204471000,97751000,934000,3207000,356165000,665075000,68604000,47491000,18085000,15743000,30721000,30598000,115068000,241901000,62666000,51916000,10750000,304567000,419635000,135537000,167281000,-58097000,244721000,245440000,665075000,9390000,7505000,2148000,-6269000,12774000,-7731000,-7731000,6768000,-128000,-1096000,3947000,3947000,-4024000,-77000,24914000,257644000,15050000,0.3024,0.09003,0.0486,0.03829,0.01413,1.6014,2.68459,1.70973,0.38739,0.35761,0.35657,7.35772,9.31206,0.57268,0.02223,0.0266,8.43775,12.07525
"20","2015_Q3",22.3721875,"Down",196610000,-136624000,59986000,-39686000,-35152000,-4534000,20300000,-3728000,-2978000,-750000,16572000,13985000,-4360000,9625000,9625000,9680000,9680000,42277000,42277000,117334000,117334000,126956000,21331000,8400000,3795000,307898000,153536000,204835000,99014000,935000,3006000,358371000,666269000,70738000,47486000,20702000,13804000,33423000,33298000,117965000,233857000,61832000,52255000,9577000,295689000,413654000,133417000,173010000,-53812000,252615000,252615000,666269000,9625000,7627000,3347000,-3259000,17340000,-5751000,-5751000,-12751000,-878000,-17077000,-5488000,-5488000,339000,-5149000,27927000,247661000,23277000,0.3051,0.10325,0.04923,0.03832,0.01453,2.40465,2.61008,1.63749,0.37171,0.37048,0.36923,7.52488,9.66836,0.89088,0.01722,0.04141,7.35432,10.11744
"21","2015_Q4",23.4684375,"Up",183053000,-127253000,55800000,-38489000,-34279000,-4210000,17311000,-3609000,-2924000,-685000,13702000,13051000,-2830000,10221000,10221000,10221000,10221000,49649000,49649000,104400000,104400000,126036000,23885000,11089000,3634000,303970000,152760000,201337000,98314000,902000,2641000,354097000,658067000,70404000,46565000,21691000,12713000,37971000,37849000,121088000,227189000,61718000,51893000,9825000,288907000,409995000,127100000,179322000,-58350000,248072000,248072000,658067000,10221000,7537000,1893000,13780000,33431000,-4498000,-4498000,-8850000,-1054000,-20135000,8798000,8798000,-1426000,7372000,24848000,239902000,36960000,0.30483,0.09457,0.05584,0.0412,0.01553,3.61608,2.51032,1.65273,0.36456,0.39293,0.39345,7.03725,9.53683,1.42088,0.02578,0.06724,7.65667,10.9903
"22","2016_Q1",21.6193442622951,"Down",173628000,-119424000,54204000,-37796000,-33484000,-4312000,16408000,-3663000,-3306000,-357000,12745000,10525000,-4418000,6107000,6107000,6107000,6107000,50320000,50320000,94720000,94720000,121156000,20960000,11217000,5146000,287156000,145413000,199763000,97309000,3201000,3184000,345176000,632332000,66172000,40297000,22312000,3187000,34990000,34990000,104349000,231568000,53848000,44185000,9663000,285416000,389765000,124860000,181539000,-63832000,242567000,242567000,632332000,6107000,7452000,3114000,6598000,23271000,-3725000,-3725000,-5658000,-1006000,-17475000,2071000,2071000,-1400000,671000,23860000,234755000,31151000,0.31218,0.0945,0.03517,0.02518,0.00966,5.10087,2.75188,1.60683,0.37125,0.23638,0.23594,6.72039,9.38872,1.20572,0.02618,0.05865,7.72988,11.24055
"23","2016_Q2",25.25140625,"Up",180453000,-125823000,54630000,-38100000,-33536000,-4564000,16530000,-2618000,-2896000,278000,13912000,12359000,-3549000,8810000,8810000,8810000,8810000,44843000,44843000,103869000,103869000,119434000,20009000,12704000,2479000,288155000,147526000,200249000,98490000,3292000,2848000,347775000,635930000,58150000,37258000,17833000,1963000,37701000,37701000,97814000,232839000,54706000,44527000,10179000,287545000,385359000,123773000,186441000,-59643000,250571000,250571000,635930000,8810000,7238000,2992000,-12990000,6050000,-5653000,-5653000,-2377000,-91000,-4627000,-4230000,-4230000,-1247000,-5477000,23768000,234802000,8674000,0.30274,0.0916,0.04882,0.03516,0.01385,0.98456,2.94595,1.53792,0.36923,0.34227,0.34202,7.01061,9.73469,0.33699,0.01631,0.01606,7.99222,11.49177
"24","2016_Q3",25.76734375,"Up",182674000,-124474000,58200000,-40384000,-35870000,-4514000,17816000,-2699000,-2904000,205000,15117000,13476000,-4127000,9349000,9349000,9349000,9349000,34330000,34330000,103271000,103271000,120567000,18128000,11981000,1419000,276296000,145569000,196118000,97766000,3199000,2656000,341687000,617983000,67576000,44647000,19908000,708000,34737000,34737000,103021000,210470000,54502000,44302000,10200000,264972000,367993000,122677000,191907000,-64594000,249990000,249990000,617983000,9349000,7511000,1986000,5636000,24482000,-5208000,-5208000,-23563000,-11999.9999999999,-29710000,-10436000,-10436000,-77000,-10513000,25327000,211178000,29882000,0.3186,0.09753,0.05118,0.0374,0.01513,3.19628,2.68194,1.47203,0.34172,0.36437,0.36199,7.11957,9.74316,1.16463,0.0257,0.05795,6.98259,9.92636
"25","2016_Q4",30.5055555555556,"Up",173132000,-118957000,54175000,-40409000,-36142000,-4267000,13766000,-2860000,-2815000,-45000,10906000,7509000,-2196000,5313000,5313000,5313000,5313000,39765000,39765000,104671000,104671000,121443000,17862000,10486000,2644000,283741000,142748000,193969000,97775000,3197000,2489000,336717000,620458000,67877000,41845000,22141000,4e+05,36721000,36721000,104998000,209754000,54831000,44299000,10532000,264585000,369583000,122229000,193344000,-64698000,250875000,250875000,620458000,5313000,7870000,2404000,775000,16362000,-4823000,-4823000,-2218000,-1185000,-7606000,3933000,3933000,1502000,5435000,21636000,210154000,19784000,0.31291,0.07951,0.03069,0.02118,0.00856,3.7237,2.70235,1.47318,0.33871,0.2071,0.20551,6.74873,9.77918,0.77119,0.01782,0.03835,7.87525,12.37752
"26","2017_Q1",35.413064516129,"Up",172647000,-117520000,55127000,-39276000,-34944000,-4332000,15851000,-3495000,-3064000,-431000,12356000,541000.000000001,1127000,1668000,1668000,1668000,1668000,69118000,69118000,120319000,120319000,139840000,14910000,10429000,607000,344187000,177043000,348594000,188841000,2510000,2560000,525637000,869824000,92853000,60845000,31302000,43690000,35080000,35080000,171623000,325969000,88884000,61084000,27800000,414853000,586476000,168326000,191108000,-76086000,283348000,283348000,869824000,1668000,7279000,9326000,11474000,29747000,-3257000,-191224000,196297000,-699000,191715000,30238000,30238000,-885000,29353000,23130000,369659000,30220000,0.3193,0.09181,0.00966,0.00589,0.00192,18.11751,2.00548,2.06981,0.42498,0.06459,0.06403,6.68553,10.97227,1.17023,0.00748,0.04073,12.99356,18.96038
"27","2017_Q2",37.9534920634921,"Up",215435000,-149268000,66167000,-46607000,-40384000,-6223000,19560000,-1175000,-1705000,530000,18385000,14690000,-4364000,10326000,10326000,10326000,10326000,52937000,52937000,132618000,132618000,139444000,24069000,17448000,2714000,349068000,178504000,349956000,192861000,1333000,2389000,528460000,877528000,91944000,60942000,24010000,340000,35882000,35882000,128166000,317649000,84266000,52767000,31499000,401915000,530081000,221765000,197038000,-71356000,347447000,347447000,877528000,10326000,8806000,5842000,-21952000,3022000,-7333000,-7333000,-8726000,-1117000,-13747000,-18058000,-18058000,1877000,-16181000,28366000,317989000,3445000,0.30713,0.09079,0.04793,0.02972,0.01177,0.33362,2.72356,1.52565,0.36237,0.359,0.35734,7.49,12.07965,0.11977,0.01898,0.0046,9.344,13.55072
"28","2017_Q3",41.0298412698413,"Up",223357000,-151231000,72126000,-47779000,-41619000,-6160000,24347000,-1895000,-2031000,136000,22452000,21254000,-5870000,15384000,15384000,15384000,15384000,58981000,58981000,137797000,137797000,142696000,25275000,14891000,6417000,364749000,185034000,361304000,198986000,1363000,2189000,546338000,911087000,91927000,57451000,26736000,371000,40129000,40129000,132427000,308009000,101872000,56132000,45740000,409881000,542308000,222942000,207439000,-61602000,368779000,368779000,911087000,15384000,8809000,1812000,-3071000,22934000,-4200000,-4199999.99999997,-10833000,-223000,-15452000,3282000,3282000,2762000,6044000.00000001,33156000,308380000,31755000,0.32292,0.109,0.06888,0.04172,0.01689,2.06416,2.75434,1.47055,0.33847,0.53079,0.52708,7.70648,12.72398,1.09564,0.02539,0.04076,7.52199,10.24352
"29","2017_Q4",44.5906349206349,"Up",214623000,-145610000,69013000,-47060000,-41009000,-6051000,21953000,-2507000,-1811000,-696000,19446000,18766000,-5489000,13277000,13277000,13277000,13277000,53151000,53151000,136511000,136511000,153014000,24857000,16671000,7822000,367533000,190455000,368043000,203574000,1383000,2147000,558498000,926031000,98272000,59624000,29761000,380000,38137000,38137000,136789000,295223000,110454000,57471000,52983000,405677000,542466000,222634000,215766000,-54835000,383565000,383565000,926031000,13277000,9288000,1687000,-6919000,17333000,-5624000,-5624000,-13390000,-1703000,-20049000,-8340000,-8340000,2510000,-5830000,31241000,295603000,24187000,0.32155,0.10229,0.06186,0.03461,0.01434,1.82172,2.68686,1.41427,0.31922,0.45799,0.45911,7.40335,13.23094,0.83432,0.02309,0.03063,7.7607,11.04414
