"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",41.34234375,"Up",102079000,-48602000,53477000,-35958000,-29454000,-6504000,17519000,-10067000,-10067000,7452000,7452000,-1569000,5883000,5883000,5883000,5883000,110543000,110543000,89558000,89558000,44018000,11835000,5074000,255954000,35994000,405706000,121492000,277690000,149000,6375000,441700000,697654000,59036000,29779000,29257000,22583000,22583000,81797000,32723000,10133000,83208000,165005000,509997000,22262000,634000,532649000,532649000,697654000,5883000,5992000,5524000,-10952000,6447000,-2468000,-2472000,-2295000,-52949000,-55417000,-38000,4122000,4386000,-44584000,-44584000,-732000,-45316000,23511000,50663000,11660000,0.52388,0.17162,0.05763,0.01104,0.00843,1.98198,3.12914,0.30978,0.07262,0.06407,0.06407,1.11171,5.80089,0.12698,0.00955,0.01893,-2.54689,-3.418
"12","2013_Q3",49.4778125,"Up",120787000,-58204000,62583000,-45787000,-36189000,-9598000,16796000,-2662000,-2662000,14134000,14134000,-4791000,9343000,9343000,9343000,9343000,349255000,349255000,111459000,111459000,49771000,11676000,4883000,522161000,36466000,445738000,139629000,297938000,316000,7855000,482204000,1004365000,64334000,35126000,29208000,25637000,25637000,90150000,33172000,10717000,65234000,155384000,819474000,31605000,-1839000,848981000,848981000,1004365000,9343000,7336000,4933000,-24664000,-3052000,-714000,-2592000,-1456000,-33250000,-35464000,-57000,5099000,277256000,238740000,238740000,-27999.9999999999,238712000,24132000,32241000,3545000,0.51813,0.13905,0.07735,0.011,0.0093,0.37943,5.79214,0.18302,0.0321,0.09705,0.09705,1.25464,8.81857,0.03682,0.01022,0.00387999999999999,-13.13667,-18.87437
"13","2013_Q4",70.108125,"Up",135717000,-64280000,71437000,-42867000,-32054000,-10813000,28570000,-2651000,-2651000,25919000,25919000,-8279000,17640000,17640000,17657000,17657000,345356000,345356000,113993000,113993000,66110000,15731000,9830000,541190000,41038000,481254000,145073000,324389000,327000,11465000,522292000,1063482000,78579000,46534000,32045000,25611000,25611000,104374000,38657000,11354000,57321000,161695000,845106000,49262000,3988000,898094000,901787000,1063482000,17640000,8758000,8257000,-9528000,25127000,-2166000,-2166000,-1977000,-26870000,-31637000,-3585000,6515000,3075000,-3435000,-3435000,-464000,-3899000,37328000,18848000,33913000,0.52637,0.21051,0.1301,0.01958,0.0166,1.92065,5.1851,0.17931,0.01772,0.17222,0.17222,1.32371,8.7595,0.33077,0.01841,0.03535,-8.747,-11.42835
"14","2014_Q1",74.5859016393443,"Up",154817000,-74720000,80097000,-62121000,-45547000,-16574000,17976000,-1475000,-1475000,16501000,16501000,-5248000,11253000,11253000,11224000,11224000,306316000,306316000,132121000,132121000,75148000,13270000,7203000,526855000,45208000,525793000,141709000,370066000,548000,13470000,571001000,1097856000,80159000,51729000,28430000,30110000,30110000,110456000,34915000,15201000,53608000,164064000,866656000,60487000,5789000,932646000,933792000,1097856000,11253000,8358000,6613000,-29562000,-3338000,-1390000,-1390000,-1244000,-49249000,-51239000,3523000,10139000,13979000,-40598000,-40598000,1558000,-39040000,26334000,18880000,630000.000000007,0.51737,0.11611,0.0725,0.01202,0.01022,0.05613,4.76982,0.1757,0.0172,0.10902,0.10902,1.50381,9.05921,0.00611999999999996,0.01137,0.000640000000000002,-10.91501,-15.98999
"15","2014_Q2",51.334126984127,"Down",147758000,-72286000,75472000,-65955000,-48720000,-17235000,9517000,-1048000,-1048000,8469000,8469000,-3559000,4910000,4910000,4877000,4877000,306704000,306704000,141990000,141990000,86030000,21530000,14554000,556254000,48982000,524821000,150946000,359918000,649000,13308000,573803000,1130057000,91770000,56414000,35356000,30504000,30504000,122464000,35086000,20679000,53816000,176280000,881879000,65364000,5795000,952737000,953777000,1130057000,4910000,12486000,1388000,-18476000,308000,-3761000,-3761000,-3551000,-2e+06,-5861000,-44000,5448000,5888000,335000,335000,53000,388000,22003000,18920000,3325000,0.51078,0.06441,0.03301,0.00511,0.00432,0.68177,4.54218,0.18482,0.01674,0.0471,0.0471,1.42698,9.2011,0.03211,0.00484,0.0033,-13.07931,-30.23894
"16","2014_Q3",52.145,"Up",151512000,-79114000,72398000,-68036000,-50322000,-17714000,4362000,-1476000,-1476000,2886000,2886000,-694000,2192000,2192000,2125000,2125000,570262000,570262000,137432000,137432000,90204000,22210000,14105000,820108000,59671000,596591000,177783000,404073000,762000,13973000,656262000,1476370000,93983000,65440000,28543000,33263000,33263000,127440000,44325000,22506000,63091000,190531000,1210128000,67489000,7466000,1284767000,1285839000,1476370000,2192000,11904000,7343000,-2417000,19022000,-5586000,-5586000,-5414000,-51526000,-57312000,-44000,920000,301578000,263288000,263288000,270000,263558000,16266000,18960000,8957000,0.47784,0.02879,0.01403,0.00165,0.00144,4.21506,6.43525,0.14818,0.01284,0.01997,0.01997,1.42366,12.07215,0.08416,0.00158,0.00664,-33.89291,-126.38744
"17","2014_Q4",36.08671875,"Down",166944000,-87146000,79798000,-71590000,-53656000,-17934000,8208000,-3955000,-3955000,4253000,4253000,-1113000,3140000,3140000,3084000,3084000,377335000,377335000,155543000,155543000,104888000,29212000,14398000,666978000,78734000,757529000,228339000,515014000,1174000,13002000,836263000,1503241000,93292000,57130000,36162000,35685000,35685000,129754000,60942000,24861000,70059000,199813000,1235427000,70573000,-3267000,1302375000,1303428000,1503241000,3140000,15173000,4559000,-14304000,8568000,-7983000,-7983000,-7818000,-190764000,-198747000,-229000,502000,419000,-189760000,-189760000,-3167000,-192927000,23381000,9894000,2207000,0.47799,0.04917,0.01847,0.00237,0.00205,0.71563,5.14033,0.1533,0.00658,0.02783,0.02783,1.50673,11.75439,0.01992,0.00224,0.00161,-15.71537,-44.7662
"18","2015_Q1",29.4304918032787,"Down",187438000,-97672000,89766000,-85538000,-63026000,-22512000,4228000,-2449000,-2449000,1779000,1779000,-75000,1704000,1704000,1551000,1551000,284862000,284862000,168441000,168441000,96645000,30742000,15769000,580690000,81881000,867739000,251561000,589537000,816000,25825000,949620000,1530310000,107932000,64378000,43554000,39210000,39210000,147826000,70582000,39903000,79487000,227313000,1245574000,72124000,-24406000,1292918000,1302997000,1530310000,1704000,15625000,7784000,-1900000,23213000,-6150000,-6150000,-5944000,-101071000,-113521000,-379000,783000,697000,-89611000.0000001,-89611000.0000001,-2862000,-92473000.0000001,19853000,9589000,11878000,0.47891,0.02256,0.00827,0.00119,0.00101,7.65828,3.9282,0.17445,0.00627,0.01393,0.01393,1.68373,11.61411,0.1067,0.00112,0.00859,-13.86556,-65.10714
"19","2015_Q2",24.1190476190476,"Down",160722000,-81738000,78984000,-96508000,-74292000,-22216000,-17524000,-2567000,-2567000,-20091000,-20091000,6943000,-13148000,-13148000,-13181000,-13181000,199896000,199896000,153107000,153107000,114602000,40002000,21247000,507607000,82737000,923083000,293481000,607570000,878000,21154000,1005820000,1513427000,113143000,58717000,54426000,45667000,45667000,159373000,65144000,33756000,73725000,233098000,1256564000,58943000,-44973000,1270306000,1280329000,1513427000,-13148000,19470000,3965000,-11224000,-937000,-3896000,-3896000,-3693000,-77984000,-82480000,-176000,447000,631000,-82786000,-82786000,-2180000,-84966000,1946000,9144000,-20117000,0.49143,-0.10903,-0.08201,-0.0103,-0.00871,1.52621,3.18503,0.18206,0.00604,-0.11797,-0.11797,1.43847,11.36932,-0.18005,-0.00973,-0.01485,-98.02261,10.88519
"20","2015_Q3",13.8803125,"Down",170504000,-88877000,81627000,-105469000,-79738000,-25731000,-23842000,-89000,-89000,-23931000,-23931000,10096000,-13835000,-13835000,-13696000,-13696000,171217000,171217000,149492000,149492000,130735000,51336000,29237000,502780000,86984000,936189000,287486000,627131000,705000,20867000,1023173000,1525953000,109051000,63687000,45364000,47211000,47211000,156790000,64656000,33503000,73142000,229932000,1266974000,45247000,-30384000,1281602000,1296021000,1525953000,-13835000,22425000,7157999.99999999,-21164000,-5416000,-8860000,-8860000,-8503000,-13815000,-23825000,-350000,1e+05,332000,-28909000,-28909000,230000,-28679000,-1417000,9014000,-41537000,0.47874,-0.13983,-0.08033,-0.01057,-0.00897999999999999,3.03278,3.20671,0.17741,0.00591,-0.12226,-0.12226,1.5221,11.44093,-0.3708,-0.01,-0.03033,114.4693,6.80324999999999
"21","2015_Q4",10.32125,"Down",151574000,-80536000,71038000,-105675000,-83212000,-22463000,-34637000,-1373000,-1373000,-36010000,-36010000,3524000,-32486000,-32486000,-32249000,-32249000,157453000,157453000,134492000,134492000,138181000,50923000,25898000,481049000,88540000,911920000,267182000,622431000,705000,21602000,1000460000,1481509000,98085000,48508000,49577000,43108000,43108000,141716000,68673000,41793000,77045000,218761000,1275677000,12998000,-39445000,1248818000,1262748000,1481509000,-32486000,22010000,13454000,-7233000,-4255000,-6027000,-6027000,-5868000,0,-8027000,-262000,-80000,-536000,-12818000,-12818000,-946000,-13764000,-12627000,8895000,-29411000,0.46867,-0.22852,-0.21276,-0.02554,-0.02177,0.912,3.39446,0.17324,0.006,-0.28791,-0.28791,1.35322,11.14917,-0.26257,-0.02406,-0.02194,11.76511,4.289
"22","2016_Q1",10.3122950819672,"Down",183363000,-123203000,60160000,-88902000,-66542000,-22360000,-28742000,-9e+06,-9e+06,-37742000,-574921000,-29535000,-604456000,-604456000,-596366000,-596366000,155643000,155643000,157406000,157406000,105877000,13541000,13541000,432467000,85995000,373497000,157466000,187875000,1900000,26256000,459492000,891959000,101568000,46869000,54699000,43374000,43374000,145471000,74783000,56839000,82970000,228441000,1279851000,-583368000,-39548000,655909000,663518000,891959000,-604456000,19164000,588447000,4622000,7777000,-4523000,-4523000,-4335000,-4.65661287307739e-10,-6523000,-261000,-1575000,-2584000,-1330000,-1330000,-480000,-1810000,-9578000,8716000,20056000,0.32809,-0.15675,-3.25238,-0.89879,-0.6686,-0.0336299999999999,2.97287,0.34429,0.00977,-5.31919,-5.31919,1.63548,5.85027,0.17889,-0.79833,0.02685,15.34005,5.11193
"23","2016_Q2",14.45875,"Up",152555000,-75042000,77513000,-94272000,-73967000,-20305000,-16759000,126000,126000,-16633000,-16633000,-1179000,-17812000,-17812000,-17788000,-17788000,169774000,169774000,134793000,134793000,113953000,13995000,13995000,432515000,92300000,371899000,151366000,191641000,3299000,25593000,464199000,896714000,93408000,41229000,52179000,54022000,54022000,147985000,76168000,59317000,84258000,232243000,1291518000,-601156000,-31729000,656797000,664471000,896714000,-17812000,15089000,12963000,7878000,18118000,-4477000,-4477000,-4246000,10004900.9920904,-4477000,-262000,-2079551.47414175,-1072000,12569000,12569000,1562000,14131000,-1670000,8645000,2910000,0.5081,-0.10986,-0.1166,-0.02677,-0.01984,-0.16359,2.92269,0.34952,0.00964,-0.15854,-0.15854,1.35971,5.85396,0.02594,-0.02374,0.00388,96.48443,9.61448
"24","2016_Q3",14.99921875,"Up",158111000,-77700000,80411000,-84128000,-63228000,-20900000,-3717000,208000,208000.000000001,-3509000,-3509000,-1700000,-5209000,-5209000,-4648000.00000006,-4648000.00000006,176248000,176248000,125095000,125095000,123157000,15997000,15997000,440497000,87258000,356556000,141081000,187569000,2789000,25117000,443814000,884311000,93112000,42356000,50756000,49711000,49711000,143387000,73603000,58077000,81520000,224907000,1298744000,-605804000,-38273000,652334000,659404000,884311000,-5209000,15346000,6406000,-3621000,12922000,-3910000,-3910000,-3351000,21082805.1825411,-4910000,-262000,-1307000,-759000,7253000,7253000,-779000,6474000,11629000,8481000,5798000,0.50857,-0.02351,-0.0293999999999989,-0.00705000000000004,-0.00525999999999996,-1.24742,3.07208,0.34108,0.00959,-0.0421099999999997,-0.0421100000000006,1.43244,5.90995,0.05253,-0.00627000000000002,0.00782,-14.42661,45.13506
"25","2016_Q4",14.6715873015873,"Down",156362000,-87425000,68937000,-90954000,-64814000,-26140000,-22017000,-1624000,-1624000,-23641000,-23641000,2214000,-21427000,-21427000,-21213000,-21213000,179358000,179358000,120630000,120630000,113717000,15196000,15196000,428901000,80837000,352610000,133518000,189018000,5374000,24700000,433447000,862348000,83859000,37113000,46746000,43174000,43174000,127614000,75364000,60338000,83145000,210759000,1307017000,-627017000,-33995000,644711000,651589000,862348000,-21427000,15296000,24373000,-11042000,7200000,-4417000,-4417000,-4417000,20736056.7817213,-4417000,-262000,-2e+05,-462000,2321000,2321000,789000,3110000,-6721000,8362000,-24394000,0.44088,-0.14081,-0.13567,-0.03256,-0.0246,1.14996,3.36092,0.32345,0.0097,-0.1911,-0.1911,1.40859,5.80789,-0.21975,-0.02885,-0.03317,25.44205,7.76654
"26","2017_Q1",15.6909677419355,"Up",165937000,-83047000,82890000,-78817000,-57767000,-21050000,4073000,-102000,-102000,3971000,3971000,1212000,5183000,5183000,5230000,5230000,184947000,184947000,127114000,127114000,103331000,17558000,17558000,432950000,79978000,336225000,121501000,181230000,8123000,25371000,416203000,849153000,95701000,40514000,55187000,34132000,34132000,130405000,75589000,57988000,83176000,213581000,1307543000,-621787000,-53225000,629873000,635572000,849153000,5183000,14804000,3675000,-4419000,19243000,-4545000,-4895000,-4553000,-3533000,-8078000,-269000,-1364000,-1633000,9532000,9532000,-3941000,5591000,18877000,8159000,8701000,0.49953,0.02455,0.03152,0.00822999999999999,0.00616,1.66367,3.32004,0.33605,0.00961,0.04704,0.04704,1.49259,5.66565,0.07826,0.00727,0.0121,-9.36526,-43.40486
"27","2017_Q2",18.9357142857143,"Up",156431000,-76245000,80186000,-89257000,-66405000,-22852000,-9071000,201000,201000,-8870000,-8870000,-1041000,-9911000,-9911000,-9971000,-9971000,161662000,161662000,124581000,124581000,105105000,17909000,17909000,409257000,84803000,371570000,122594000,215156000,7958000,25862000,456373000,865630000,89488000,40752000,48736000,51628000,51628000,141700000,73152000,54863000,80606000,222306000,1307676000,-621552000,-44874000,637504000,643324000,865630000,-9911000,14973000,6270000,8056000,19388000,-5876000,-5900000,-5620000,-34291000,-40167000,-120000,-4294000,-4414000,-25193000,-25193000,1926000,-23267000,5902000,8038000,9123000,0.5126,-0.05799,-0.06374,-0.0155,-0.01152,-0.91495,2.88819,0.34556,0.00929,-0.0896,-0.0896,1.40563,5.72836,0.08198,-0.01376,0.01259,-26.02914,16.93573
"28","2017_Q3",14.6444444444444,"Down",159467000,-78794000,80673000,-87537000,-63088000,-24449000,-6864000,933000,933000,-5931000,-5931000,-2067000,-7998000,-7998000,-8416000,-8416000,153991000,153991000,126287000,126287000,110816000,20748000,20748000,411842000,87316000,376087000,115011000,225104000,7983000,27989000,463403000,875245000,92260000,46448000,45812000,47543000,47543000,140416000,73318000,56068000,80678000,221094000,1314995000,-629968000,-32560000,647839000,654151000,875245000,-7998000,15602000,6766000,-15179000,-809000,-5667000,-5914000,-5623000,0,-7317000,-170000,-882000,-1052000,-9178000,-9178000,1676000,-7502000,8738000,7973000,-10041000,0.50589,-0.04304,-0.05278,-0.01287,-0.00962,1.19308,2.93301,0.33799,0.00911,-0.07555,-0.07555,1.43151,5.81554,-0.09014,-0.01144,-0.01365,-16.71069,21.27302
"29","2017_Q4",10.2846031746032,"Down",152907000,-94385000,58522000,-90857000,-66497000,-24360000,-32335000,-1257000,-1257000,-33592000,-33592000,-3723000,-37315000,-37315000,-37670000,-37670000,138332000,138332000,122420000,122420000,100578000,21344000,21344000,382674000,91473000,367227000,106632000,227820000,5173000,27602000,458700000,841374000,102254000,46388000,55866000,42560000,42560000,145446000,65173000,48529000,72403000,217849000,1320189000,-667638000,-27706000,617692000,623525000,841374000,-37315000,15571000,24226000,-3385000,-903000,-10133000,-10133000,-9829000,-2250000,-13083000,-7000,-2524000,-2531000,-16517000,-16517000,671000,-15846000,-16764000,7862000,-26559000,0.38273,-0.21147,-0.24636,-0.06041,-0.04477,0.70504,2.63104,0.34938,0.00934,-0.3372,-0.3372,1.36874,5.52923,-0.23774,-0.05408,-0.03813,7.78275,4.03495
