"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.7385483870968,"Down",3.5023e+10,-2.0029e+10,1.4994e+10,-3.421e+09,-2.545e+09,-8.76e+08,1.1573e+10,2.88e+08,2.88e+08,1.1861e+10,1.1861e+10,-3.037e+09,8.824e+09,8.824e+09,8.824e+09,8.824e+09,2.7654e+10,7.945e+09,1.9709e+10,7.657e+09,7.657e+09,1.122e+09,1.551e+10,1.3201e+10,5.1943e+10,1.0487e+10,8.9567e+10,1.0899e+10,5.438e+09,1.10953e+11,1.62896e+11,2.7238e+10,1.6808e+10,5.822e+09,5.822e+09,3.306e+10,1.809e+10,1.556e+10,1.809e+10,5.115e+10,1.5573e+10,9.5641e+10,5.32e+08,1.11746e+11,1.11746e+11,1.62896e+11,8.824e+09,8.35e+08,1.599e+09,-1.069e+09,1.0189e+10,-2.963e+09,-2.963e+09,-9.339e+09,2.673e+10,-3.6069e+10,0,-8e+06,-1.231e+10,5.6e+07,-1.11e+08,-5.5e+07,-2.176e+09,-2.176e+09,-2.176e+09,1.2408e+10,0,1.1413e+10,0.42812,0.33044,0.25195,0.07896,0.05417,1.2934,1.57117,0.45773,0,0.33652,0.3328,1.33565,4.2616,0.43525,4,0.06796,0.0879,-2.22872,-2.38953
"12","2013_Q1",14.3886666666667,"Down",3.5966e+10,-2.1565e+10,1.4401e+10,-3.457e+09,-2.551e+09,-9.06e+08,1.0944e+10,-50999999.9999999,-50999999.9999999,1.0893e+10,1.0893e+10,-2.67e+09,8.223e+09,8.223e+09,8.223e+09,8.223e+09,2.9129e+10,1.0746e+10,1.8383e+10,1.093e+10,1.093e+10,7.91e+08,1.6803e+10,1.422e+10,5.7653e+10,1.5452e+10,9.2122e+10,1.0837e+10,5.478e+09,1.18411e+11,1.76064e+11,3.2589e+10,2.1175e+10,5.953e+09,5.953e+09,3.8542e+10,1.9312e+10,1.6664e+10,1.9312e+10,5.7854e+10,1.6422e+10,1.01289e+11,4.99e+08,1.1821e+11,1.1821e+11,1.76064e+11,8.223e+09,9.81e+08,7.87e+08,-8.55e+08,9.136e+09,-3.501e+09,-3.501e+09,-820000000.000001,2.9321e+10,-3.0141e+10,0,8e+06,-4.313e+09,2.32e+08,2.34e+08,-2.022e+09,2.801e+09,2.801e+09,2.801e+09,1.1925e+10,5.96046447753906e-08,1.0239e+10,0.40041,0.30429,0.22863,0.06956,0.0467,1.24517,1.49585,0.48942,-2.16840434497101e-19,0.313,0.30976,1.36903,4.49961,0.38974,3,0.07789,0.07445,-2.44268,-2.66164
"13","2013_Q2",13.37765625,"Down",5.4512e+10,-3.3452e+10,2.106e+10,-3.85e+09,-2.84e+09,-1.01e+09,1.721e+10,4.62e+08,4.62e+08,1.7672e+10,1.7672e+10,-4.594e+09,1.3078e+10,1.3078e+10,1.3078e+10,1.3078e+10,3.982e+10,1.6154e+10,2.3666e+10,1.1598e+10,1.1598e+10,1.455e+09,1.9475e+10,1.658e+10,7.2348e+10,1.5422e+10,9.7292e+10,1.1026e+10,5.183e+09,1.2374e+11,1.96088e+11,3.9605e+10,2.6398e+10,7.274e+09,7.274e+09,4.6879e+10,2.1863e+10,1.8925e+10,2.1863e+10,6.8742e+10,1.7167e+10,1.09567e+11,6.12e+08,1.27346e+11,1.27346e+11,1.96088e+11,1.3078e+10,1.588e+09,1.724e+09,7.036e+09,2.3426e+10,-2.455e+09,-2.455e+09,-1.073e+10,2.6462e+10,-3.7192e+10,-2.84e+08,-5.2e+07,-1.3521e+10,-1.874e+09,-1.3e+08,-4.497e+09,5.408e+09,5.408e+09,5.408e+09,1.8798e+10,0,2.7973e+10,0.38634,0.31571,0.23991,0.1027,0.06669,2.13894,1.54329,0.5398,0,0.49746,0.4931,2.07352,4.84396,1.06403,3,0.10436,0.18748,-2.11831,-2.31377
"14","2013_Q3",14.51765625,"Up",4.3603e+10,-2.7254e+10,1.6349e+10,-3.791e+09,-2.672e+09,-1.119e+09,1.2558e+10,3.47e+08,3.47e+08,1.2905e+10,1.2905e+10,-3.358e+09,9.547e+09,9.547e+09,9.547e+09,9.547e+09,3.9137e+10,1.2053e+10,2.7084e+10,7.084e+09,7.084e+09,1.245e+09,1.5871e+10,1.2629e+10,6.3337e+10,1.5026e+10,1.0555e+11,1.083e+10,5.294e+09,1.31406e+11,1.94743e+11,2.8243e+10,1.4912e+10,7.265e+09,7.265e+09,3.5508e+10,2.3745e+10,2.0868e+10,2.3745e+10,5.9253e+10,1.7954e+10,1.16572e+11,9.64e+08,1.3549e+11,1.3549e+11,1.94743e+11,9.547e+09,1.692e+09,1.353e+09,-87999999.999999,1.2504e+10,-2.299e+09,-2.299e+09,-1.2002e+10,3.1969e+10,-4.3971e+10,-15000000.0000001,-4.1e+07,-1.4357e+10,1.99e+08,43999999.9999999,-2.248e+09,-4.101e+09,-4.101e+09,-4.101e+09,1.425e+10,4.76837158203125e-07,1.5221e+10,0.37495,0.28801,0.21895,0.07046,0.04902,1.59432,1.78374,0.43732,3.46944695195361e-18,0.36287,0.36041,1.6573,5.14982,0.57853,4,0.0756,0.09559,-2.74646,-3.1165
"15","2013_Q4",16.6440625,"Up",3.5323e+10,-2.2299e+10,1.3024e+10,-3.823e+09,-2.645e+09,-1.178e+09,9.201e+09,2.34e+08,2.34e+08,9.435e+09,9.435e+09,-2.535e+09,6.9e+09,6.9e+09,6.9e+09,6.9e+09,4.2606e+10,1.1248e+10,3.1358e+10,8.839e+09,8.839e+09,1.697e+09,1.5077e+10,1.1884e+10,6.8219e+10,1.6327e+10,1.04014e+11,1.1296e+10,5.421e+09,1.31637e+11,1.99856e+11,2.8986e+10,1.5516e+10,7.333e+09,7.333e+09,3.6319e+10,2.3225e+10,2.0553e+10,4.0183e+10,7.6502e+10,1.9024e+10,1.04564e+11,-2.34e+08,1.23354e+11,1.23354e+11,1.99856e+11,6.9e+09,1.694e+09,1.145e+09,-1.911e+09,7.828e+09,-2.016e+09,-2.016e+09,-4.252e+09,3.7266e+10,-4.1518e+10,-1.44e+08,-9.5e+07,-6.507e+09,-1.594e+10,-2.71e+08,-2.126e+09,-8.05e+08,-8.05e+08,-8.05e+08,1.0895e+10,1.6958e+10,9.503e+09,0.36871,0.26048,0.19534,0.05594,0.03452,1.37725,1.87833,0.62018,0.08485,0.26826,0.26662,1.3733,4.7958,0.36946,5,0.05938,0.05811,-2.35411,-2.78752
"16","2014_Q1",16.8567213114754,"Up",3.7472e+10,-2.3601e+10,1.3871e+10,-3.841e+09,-2.673e+09,-1.168e+09,1.003e+10,1.13e+08,1.13e+08,1.0143e+10,1.0143e+10,-2.631e+09,7.512e+09,7.512e+09,7.512e+09,7.512e+09,4.0546e+10,1.4259e+10,2.6287e+10,1.3102e+10,1.3102e+10,1.764e+09,1.7874e+10,1.4421e+10,7.3286e+10,1.6597e+10,1.06215e+11,1.0902e+10,5.146e+09,1.33714e+11,2.07e+11,3.6223e+10,2.2367e+10,7.435e+09,7.435e+09,4.3658e+10,2.2833e+10,2.0208e+10,3.9793e+10,8.3451e+10,1.9764e+10,1.04256e+11,-4.71e+08,1.23549e+11,1.23549e+11,2.07e+11,7.512e+09,1.783e+09,-8.28e+08,1.441e+09,9.908e+09,-2.306e+09,-2.306e+09,2.942e+09,2.875e+10,-2.5808e+10,-5.3e+07,2.8e+07,611000000.000001,-4.715e+09,-24000000.0000001,-7.508e+09,3.011e+09,3.011e+09,3.011e+09,1.1813e+10,1.696e+10,1.3579e+10,0.37017,0.26767,0.20047,0.0608,0.03629,1.80764,1.67864,0.67545,0.08193,0.29672,0.2951,1.48014,4.88017,0.53637,5,0.06294,0.08313,-1.99661,-2.35155
"17","2014_Q2",18.9665079365079,"Up",5.7594e+10,-3.5748e+10,2.1846e+10,-4.383e+09,-3.053e+09,-1.33e+09,1.7463e+10,2.46e+08,2.46e+08,1.7709e+10,1.7709e+10,-4.637e+09,1.3072e+10,1.3072e+10,1.3072e+10,1.3072e+10,4.0711e+10,1.4077e+10,2.6634e+10,1.42e+10,1.42e+10,2.122e+09,2.3314e+10,1.9572e+10,8.0347e+10,1.5488e+10,1.18131e+11,1.1218e+10,5.091e+09,1.44837e+11,2.25184e+11,4.5412e+10,2.9588e+10,8.357e+09,8.357e+09,5.3769e+10,2.477e+10,2.1699e+10,4.1731e+10,9.55e+10,2.0559e+10,1.09431e+11,-3.06e+08,1.29684e+11,1.29684e+11,2.25184e+11,1.3072e+10,2.144e+09,1.934e+09,5.52e+09,2.267e+10,-2.044e+09,-2.044e+09,-1.2539e+10,3.5858e+10,-4.8397e+10,-5.25e+08,5e+06,-1.5103e+10,-4.895e+09,-8.5e+07,-7.749e+09,-1.82e+08,-1.82e+08,-1.82e+08,1.9607e+10,1.6961e+10,2.772e+10,0.37931,0.30321,0.22697,0.1008,0.05805,2.12056,1.4943,0.73641,0.07532,0.521,0.51789,2.29549,5.16875,1.10482,4,0.09241,0.16171,-1.2113,-1.36002
"18","2014_Q3",21.9865625,"Up",4.5646e+10,-2.7699e+10,1.7947e+10,-4.354e+09,-2.932e+09,-1.422e+09,1.3593e+10,2.25e+08,2.25e+08,1.3818e+10,1.3818e+10,-3.595e+09,1.0223e+10,1.0223e+10,1.0223e+10,1.0223e+10,4.135e+10,1.8949e+10,2.2401e+10,9.7e+09,9.7e+09,1.829e+09,1.7662e+10,1.3648e+10,7.0541e+10,1.512e+10,1.09239e+11,1.1089e+10,5.106e+09,1.35448e+11,2.05989e+11,3.4898e+10,1.8914e+10,8.31e+09,8.31e+09,4.3208e+10,2.564e+10,2.2476e+10,4.2602e+10,8.581e+10,2.1496e+10,9.8934e+10,-2.51e+08,1.20179e+11,1.20179e+11,2.05989e+11,1.0223e+10,1.887e+09,1.502e+09,-74000000.000001,1.3538e+10,-1.486e+09,-1.486e+09,1.3289e+10,5.5252e+10,-4.1963e+10,-3.4e+07,-2.8e+07,1.1741e+10,-1.7764e+10,1.8e+07,-2.0407e+10,4.872e+09,4.872e+09,4.872e+09,1.548e+10,1.6962e+10,1.7515e+10,0.39318,0.29779,0.22396,0.08506,0.04963,1.71329,1.63259,0.71402,0.08234,0.41738,0.41512,1.86362,4.90663,0.7151,6,0.07915,0.1076,-1.57545,-1.79416
"19","2014_Q4",24.48734375,"Up",3.7432e+10,-2.2697e+10,1.4735e+10,-4.453e+09,-2.85e+09,-1.603e+09,1.0282e+10,2.02e+08,2.02e+08,1.0484e+10,1.0484e+10,-2.736e+09,7.748e+09,7.748e+09,7.748e+09,7.748e+09,3.7805e+10,1.2977e+10,2.4828e+10,1.0788e+10,1.0788e+10,1.594e+09,1.7762e+10,1.3878e+10,6.7949e+10,1.7585e+10,1.26685e+11,1.0301e+10,4.16e+09,1.54571e+11,2.2252e+11,3.5799e+10,2.0535e+10,8.396e+09,8.396e+09,4.6205e+10,2.6345e+10,2.3287e+10,5.5375e+10,1.0158e+11,2.2139e+10,9.8715e+10,8.6e+07,1.2094e+11,1.2094e+11,2.2252e+11,7.748e+09,1.946e+09,1.819e+09,-1.258e+09,1.0255e+10,-2.431e+09,-2.431e+09,-1.9474e+10,5.0828e+10,-7.0302e+10,-3.39e+08,3e+07,-2.2214e+10,-4.906e+09,-2.1e+08,5.987e+09,-5.972e+09,-5.972e+09,-5.972e+09,1.2228e+10,3.104e+10,1.1275e+10,0.39365,0.27468,0.20699,0.06406,0.03482,1.45521,1.4706,0.83992,0.13949,0.32215,0.32007,1.55639,5.02858,0.4688,6,0.05953,0.06323,-0.55324,-0.65795
"20","2015_Q1",27.2918032786885,"Up",4.2123e+10,-2.6114e+10,1.6009e+10,-4.844e+09,-3.158e+09,-1.686e+09,1.1165e+10,3.07e+08,3.07e+08,1.1472e+10,1.1472e+10,-3.005e+09,8.467e+09,8.467e+09,8.467e+09,8.467e+09,2.5077e+10,1.3844e+10,1.1233e+10,1.746e+10,1.746e+10,2.111e+09,2.3883e+10,1.9565e+10,6.8531e+10,2.0624e+10,1.30162e+11,1.2522e+10,3.764e+09,1.63308e+11,2.31839e+11,4.8649e+10,3.0196e+10,8.491e+09,8.491e+09,6.3448e+10,2.7857e+10,2.4826e+10,5.6844e+10,1.20292e+11,2.3313e+10,8.7152e+10,1.082e+09,1.11547e+11,1.11547e+11,2.31839e+11,8.467e+09,1.969e+09,-4.5e+07,2.859e+09,1.325e+10,-3.852e+09,-3.852e+09,9.707e+09,6.6173e+10,-5.6466e+10,-2.877e+09,1.9e+07,2996999999.99999,-1.6705e+10,-1.42e+08,-1.538e+10,8.67e+08,8.67e+08,8.67e+08,1.3134e+10,3.5295e+10,1.5146e+10,0.38005,0.26506,0.20101,0.07591,0.03652,1.78883,1.08011,1.0784,0.15224,0.35672,0.35444,1.77469,4.69961,0.63812,6,0.06466,0.0867,0.77798,0.91518
"21","2015_Q2",29.0220634920635,"Up",7.4599e+10,-4.4858e+10,2.9741e+10,-5.495e+09,-3.6e+09,-1.895e+09,2.4246e+10,1.7e+08,1.7e+08,2.4416e+10,2.4416e+10,-6.392e+09,1.8024e+10,1.8024e+10,1.8024e+10,1.8024e+10,3.2463e+10,1.9478e+10,1.2985e+10,1.6709e+10,1.6709e+10,2.283e+09,3.1948e+10,2.6902e+10,8.3403e+10,2.0392e+10,1.45492e+11,1.2607e+10,3.608e+09,1.78491e+11,2.61894e+11,6.0725e+10,3.8001e+10,8.987e+09,8.987e+09,7.3611e+10,3.2451e+10,2.8971e+10,6.4955e+10,1.38566e+11,2.4187e+10,9.7178e+10,1.963e+09,1.23328e+11,1.23328e+11,2.61894e+11,1.8024e+10,2.575e+09,3.085e+09,1.0038e+10,3.3722e+10,-3.265e+09,-3.265e+09,-1.7942e+10,2.6973e+10,-4.4915e+10,-2.3e+07,6.5e+07,-2.1165e+10,-4.95e+09,-2.48e+08,-6.923e+09,5.634e+09,5.634e+09,5.634e+09,2.6821e+10,3.6403e+10,3.9986e+10,0.39868,0.32502,0.24161,0.14615,0.06882,2.21849,1.13302,1.12356,0.139,0.77117,0.76609,3.19177,5.27667,1.71083,7,0.10836,0.20806,0.1469,0.1625
"22","2015_Q3",26.72265625,"Down",5.801e+10,-3.4354e+10,2.3656e+10,-5.378e+09,-3.46e+09,-1.918e+09,1.8278e+10,2.86e+08,2.86e+08,1.8564e+10,1.8564e+10,-4.995e+09,1.3569e+10,1.3569e+10,1.3569e+10,1.3569e+10,3.3096e+10,1.4489e+10,1.8607e+10,1.0905e+10,1.0905e+10,2.396e+09,2.1494e+10,1.6353e+10,6.7891e+10,2.0151e+10,1.60443e+11,1.2709e+10,3.937e+09,1.93303e+11,2.61194e+11,4.5986e+10,2.3159e+10,8.944e+09,8.944e+09,5.8729e+10,3.3387e+10,2.9816e+10,7.3459e+10,1.32188e+11,2.5376e+10,1.0092e+11,2.71e+09,1.29006e+11,1.29006e+11,2.61194e+11,1.3569e+10,2.479e+09,6.09e+08,2.424e+09,1.9081e+10,-2.476e+09,-2.476e+09,-1.9786e+10,2.7822e+10,-4.7608e+10,-91999999.9999995,2.3e+07,-2.2331e+10,-6.741e+09,-3e+06,-1.739e+09,-4.989e+09,-4.989e+09,-4.989e+09,2.0757e+10,4.3871e+10,2.57e+10,0.40779,0.31508,0.23391,0.10518,0.05195,1.89402,1.156,1.02467,0.16796,0.5855,0.58138,2.50311,5.56655,1.10894,7,0.07908,0.1246,0.5191,0.58951
"23","2015_Q4",26.15609375,"Down",4.9605e+10,-2.9924e+10,1.9681e+10,-5.598e+09,-3.564e+09,-2.034e+09,1.4083e+10,3.9e+08,3.9e+08,1.4473e+10,1.4473e+10,-3.796e+09,1.0677e+10,1.0677e+10,1.0677e+10,1.0677e+10,3.4703e+10,1.5319e+10,1.9384e+10,1.037e+10,1.037e+10,2.042e+09,2.3838e+10,1.8828e+10,7.0953e+10,2.1149e+10,1.68145e+11,1.2904e+10,4.081e+09,2.02198e+11,2.73151e+11,4.9198e+10,2.6474e+10,9.088e+09,9.088e+09,6.5285e+10,3.477e+10,3.1296e+10,8.2189e+10,1.47474e+11,2.6327e+10,9.8252e+10,1.098e+09,1.25677e+11,1.25677e+11,2.73151e+11,1.0677e+10,3.084e+09,1.797e+09,-5.7e+08,1.4988e+10,-2.089e+09,-2.089e+09,-9.245e+09,3.5756e+10,-4.5001e+10,-1.15e+08,4.6e+07,-1.1403e+10,-9.985e+09,-3.97e+08,-2.755e+09,8.3e+08,8.3e+08,8.3e+08,1.7167e+10,5.4418e+10,1.8304e+10,0.39675,0.2839,0.21524,0.08496,0.03909,1.71434,1.08682,1.17344,0.19922,0.46585,0.46236,2.16431,5.4834,0.79862,7,0.0639,0.08519,1.14842,1.39991
"24","2016_Q1",22.9224590163934,"Down",5.1501e+10,-3.0953e+10,2.0548e+10,-5.925e+09,-3.705e+09,-2.22e+09,1.4623e+10,4.39e+08,4.39e+08,1.5062e+10,1.5062e+10,-3.938e+09,1.1124e+10,1.1124e+10,1.1124e+10,1.1124e+10,4.1601e+10,2.112e+10,2.0481e+10,1.6849e+10,1.6849e+10,2.349e+09,2.8579e+10,2.8579e+10,8.9378e+10,2.2471e+10,1.64065e+11,1.4431e+10,5.422e+09,2.00967e+11,2.90345e+11,6.0671e+10,3.549e+10,8.94e+09,8.94e+09,8.061e+10,3.7051e+10,3.3427e+10,9.038e+10,1.7099e+11,2.7416e+10,9.2284e+10,-3.45e+08,1.19355e+11,1.19355e+11,2.90345e+11,1.1124e+10,3.119e+09,-5.23e+08,-2.45e+08,1.3475e+10,-3.658e+09,-3.658e+09,2.556e+09,3.1434e+10,-2.8878e+10,-1.13e+08,-1.6e+08,-1.375e+09,-1.3034e+10,-1.02e+08,-6.299e+09,5.801e+09,5.801e+09,5.801e+09,1.7742e+10,6.4328e+10,1.7777e+10,0.39898,0.28394,0.216,0.0932,0.03831,1.59808,1.10877,1.43262,0.22156,0.49248,0.4894,2.28005,5.28408,0.78702,8,0.06382,0.08054,1.28097,1.5542
"25","2016_Q2",22.9921875,"Up",7.5872e+10,-4.5449e+10,3.0423e+10,-6.252e+09,-3.848e+09,-2.404e+09,2.4171e+10,4.02e+08,4.02e+08,2.4573e+10,2.4573e+10,-6.212e+09,1.8361e+10,1.8361e+10,1.8361e+10,1.8361e+10,3.8074e+10,1.6689e+10,2.1385e+10,1.2953e+10,1.2953e+10,2.451e+09,2.2741e+10,2.2741e+10,7.6219e+10,2.23e+10,1.77665e+11,1.71e+10,7.974e+09,2.17065e+11,2.93284e+11,5.7344e+10,3.3312e+10,8.989e+09,8.989e+09,7.6092e+10,3.5721e+10,3.2175e+10,8.8925e+10,1.65017e+11,2.8253e+10,1.01494e+11,-1.48e+09,1.28267e+11,1.28267e+11,2.93284e+11,1.8361e+10,2.954e+09,2.67e+09,3.478e+09,2.7463e+10,-4.006e+09,-4.006e+09,-1.606e+10,3.1776e+10,-4.7836e+10,-2.12e+08,-1.72e+08,-2.045e+10,-6.862e+09,-3.73e+08,-1.1444e+10,-4.431e+09,-4.431e+09,-4.431e+09,2.7125e+10,6.2963e+10,3.2809e+10,0.40098,0.31858,0.242,0.14315,0.0626,1.78689,1.00167,1.28651,0.21468,0.82574,0.82055,3.41217,5.76851,1.47551,5,0.09399,0.14456,0.91757,1.02971
"26","2016_Q3",24.63421875,"Up",5.0557e+10,-3.0636e+10,1.9921e+10,-5.934e+09,-3.423e+09,-2.511e+09,1.3987e+10,1.55e+08,1.55e+08,1.4142e+10,1.4142e+10,-3.626e+09,1.0516e+10,1.0516e+10,1.0516e+10,1.0516e+10,5.5283e+10,2.1514e+10,3.3769e+10,1.2229e+10,1.2229e+10,2.281e+09,1.7799e+10,1.7799e+10,8.7592e+10,2.3203e+10,1.77645e+11,1.6837e+10,7.745e+09,2.17685e+11,3.05277e+11,4.8306e+10,2.5098e+10,9.461e+09,9.461e+09,6.8265e+10,3.7181e+10,3.3859e+10,1.06555e+11,1.7482e+11,2.9484e+10,1.02021e+11,-1.048e+09,1.30457e+11,1.30457e+11,3.05277e+11,1.0516e+10,2.477e+09,2.548e+09,-3.94e+09,1.1601e+10,-2.599e+09,-2.599e+09,-1.0983e+10,2.7423e+10,-3.8406e+10,-5.4e+07,-2.4e+07,-1.366e+10,-6.421e+09,-1.14e+08,6.884e+09,4.825e+09,4.825e+09,4.825e+09,1.6464e+10,7.9872e+10,1.3551e+10,0.39403,0.27666,0.208,0.08061,0.03445,1.28861,1.28312,1.34006,0.26164,0.47675,0.47447,2.29205,5.9144,0.61435,5,0.05421,0.05475,1.4935,1.75799
"27","2016_Q4",26.5206349206349,"Up",4.2358e+10,-2.6252e+10,1.6106e+10,-6.001e+09,-3.441e+09,-2.56e+09,1.0105e+10,3.64e+08,3.64e+08,1.0469e+10,1.0469e+10,-2.673e+09,7.796e+09,7.796e+09,7.796e+09,7.796e+09,6.1756e+10,1.8237e+10,4.3519e+10,1.1714e+10,1.1714e+10,1.831e+09,1.846e+10,1.846e+10,9.3761e+10,2.5448e+10,1.69764e+11,1.6629e+10,7.862e+09,2.11841e+11,3.05602e+11,4.7138e+10,2.6318e+10,8.352e+09,8.352e+09,7.1486e+10,3.8636e+10,3.5572e+10,1.07575e+11,1.79061e+11,3.0106e+10,9.6542e+10,-1.07e+08,1.26541e+11,1.26541e+11,3.05602e+11,7.796e+09,2.526e+09,3.153e+09,-2.841e+09,1.0634e+10,-2.905e+09,-2.905e+09,-1.84e+08,2.5642e+10,-2.5826e+10,-1.256e+09,-1.25e+08,-4.47e+09,-1.0166e+10,-4.83e+08,-9.441e+09,-3.277e+09,-3.277e+09,-3.277e+09,1.2631e+10,8.4935e+10,9.558e+09,0.38024,0.23856,0.18405,0.06161,0.02551,1.22601,1.3116,1.41504,0.27793,0.35807,0.35613,1.94551,5.81204,0.439,5,0.04391,0.03821,1.83509,2.29381
"28","2017_Q1",30.9445161290323,"Up",4.6852e+10,-2.9039e+10,1.7813e+10,-6.052e+09,-3.482e+09,-2.57e+09,1.1761e+10,4.27e+08,4.27e+08,1.2188e+10,1.2188e+10,-3.174e+09,9.014e+09,9.014e+09,9.014e+09,9.014e+09,6.7155e+10,2.0484e+10,4.6671e+10,1.5754e+10,1.5754e+10,2.132e+09,2.1828e+10,2.1828e+10,1.06869e+11,2.701e+10,1.7043e+11,1.7377e+10,8.757e+09,2.14817e+11,3.21686e+11,5.9321e+10,3.7294e+10,8.08e+09,8.08e+09,7.9006e+10,3.9004e+10,3.6074e+10,1.14431e+11,1.93437e+11,3.1251e+10,9.6364e+10,6.34e+08,1.28249e+11,1.28249e+11,3.21686e+11,9.014e+09,2.548e+09,7.77e+08,4.194e+09,1.6533e+10,-3.224e+09,-3.224e+09,-4.795e+09,2.6953e+10,-3.1748e+10,1.225e+09,-6.03e+08,-7.397e+09,-5.778e+09,-6e+08,-6.889e+09,2.247e+09,2.247e+09,2.247e+09,1.4309e+10,8.7032e+10,1.8453e+10,0.3802,0.25102,0.19239,0.07029,0.02802,2.04715,1.35267,1.50829,0.27055,0.41989,0.41783,2.18245,5.97406,0.85957,5,0.04761,0.07257,1.38913,1.69008
"29","2017_Q2",34.8825396825397,"Up",7.8351e+10,-4.8175e+10,3.0176e+10,-6.817e+09,-3.946e+09,-2.871e+09,2.3359e+10,8.21e+08,8.21e+08,2.418e+10,2.418e+10,-6.289e+09,1.7891e+10,1.7891e+10,1.7891e+10,1.7891e+10,6.0452e+10,1.6371e+10,4.4081e+10,1.4057e+10,1.4057e+10,2.712e+09,2.6111e+10,2.6111e+10,1.03332e+11,2.651e+10,1.85638e+11,1.5661e+10,7.39e+09,2.27809e+11,3.31141e+11,6.2249e+10,3.851e+10,7.889e+09,7.889e+09,8.413e+10,4.1064e+10,3.7901e+10,1.14621e+11,1.98751e+11,3.2144e+10,1.00001e+11,2.45e+08,1.3239e+11,1.3239e+11,3.31141e+11,1.7891e+10,2.987e+09,2.708e+09,3.648e+09,2.7234e+10,-3.42e+09,-3.42e+09,-1.5581e+10,3.8691e+10,-5.4272e+10,-1.7e+07,-1.04e+08,-1.9122e+10,-1.0851e+10,-6.29e+08,-1.2225e+10,-4.113e+09,-4.113e+09,-4.113e+09,2.6346e+10,8.7549e+10,3.2863e+10,0.38514,0.29813,0.22834,0.13514,0.05403,1.83685,1.22824,1.50125,0.26439,0.84413,0.83948,3.69674,6.24639,1.55053,5,0.08054,0.12591,1.02851,1.16002
"30","2017_Q3",36.7531746031746,"Up",5.2896e+10,-3.2305e+10,2.0591e+10,-6.494e+09,-3.718e+09,-2.776e+09,1.4097e+10,5.87e+08,5.87e+08,1.4684e+10,1.4684e+10,-3.655e+09,1.1029e+10,1.1029e+10,1.1029e+10,1.1029e+10,6.7101e+10,1.5157e+10,5.1944e+10,1.1579e+10,1.1579e+10,2.91e+09,2.04e+10,2.04e+10,1.0199e+11,2.7163e+10,1.8974e+11,1.5639e+10,7.549e+09,2.32542e+11,3.34532e+11,5.1669e+10,2.8573e+10,7.682e+09,7.682e+09,7.3342e+10,4.2577e+10,3.947e+10,1.27108e+11,2.0045e+11,3.3579e+10,1.00925e+11,-4.22e+08,1.34082e+11,1.34082e+11,3.34532e+11,1.1029e+10,2.332e+09,2.587e+09,-3.378e+09,1.257e+10,-2.889e+09,-2.889e+09,-1.1357e+10,3.4192e+10,-4.5549e+10,-50000000.0000002,9.4e+07,-1.4202e+10,-6.888e+09,-1.59e+08,417999999.999998,-1.214e+09,-1.214e+09,-1.214e+09,1.6429e+10,9.8522e+10,1.3817e+10,0.38927,0.2665,0.2085,0.08226,0.03297,1.25279,1.39061,1.49498,0.29451,0.52762,0.52402,2.53053,6.41444,0.661,5,0.051,0.05021,1.91253,2.22891
