"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"18","2017_Q3",7.91492063492063,"Up",27331000,-23295000,-23295000,4036000,-4020000,-2620000,-118000,-1474000,16000.0000000005,10034000,-628000,10155000,507000,10050000,10050000,-3641999.99999999,6408000,6408000,6408000,6408000,1958000,1958000,6602000,1736000,34933000,468000,55001000,1711000,59224000,94157000,7079000,1617000,10092000,10092000,17171000,3310000,3310000,3310000,20481000,114904000,-28255000,73676000,73676000,94157000,6408000,118000,-5440000,-4413000,-3327000,-105000,9138000,9033000,0,-338000,-13311000,-7605000,-7605000,-7605000,134000,0,-742000,0.14767,0.000589999999999924,0.234460000000001,0.0869799999999988,0.0680600000000001,-0.11579,2.03442,0.277989999999999,-4.33680868994202e-19,0.29306,0.292870000000001,1.24993,3.36943,-0.0339299999999996,0.0832399999999999
"19","2017_Q4",8.58269841269841,"Up",5098000,-2041000,-2041000,3057000,-4197000,-2793000,-87000,-1317000,-1140000,10518000,-678000,12120000,-924000,9378000,9378000,-3586000,5792000,5792000,5792000,5792000,1631000,1631000,4562000,1759000,33016000,443000,52602000,2292000,56115000,89131000,7095000,1317000,5181000,5181000,12276000,2247000,2247000,2247000,14523000,110095000,-22463000,74608000,74608000,89131000,5792000,87000,-7365000,-1447000,-2933000,-96000,11050000,10893000,0,-1000,-10510000,-2550000,-2550000,-2550000,-1053000,0,990000,0.59965,-0.22362,1.13613,0.07763,0.06498,0.17093,2.68948,0.19466,0,0.27835,0.27774,0.245,3.58554,0.04758,0.21144
"20","2018_Q1",7.77967213114754,"Down",3791000,-648000,-648000.000000002,3143000,-4205000,-2825000,-102000,-1278000,-1062000,16316000,-971000,17754000,-467000,15254000,18523000,-11538000,6985000,6985000,6985000,6985000,1113000,1113000,5008000,1761000,36888000,410000,40969000,1503000,45730000,82618000,2384000,1e+06,4494000,4494000,6878000,2285000,2285000,2285000,9163000,105330000,-15478000,73455000,73455000,82618000,6985000,102000,-4589000,-5166000,-2668000,-85000,15512000,15427000,-5.82076609134674e-11,-284000,-8889000,3870000,3870000,3870000,-960000,-5.82076609134674e-11,5327000,0.82907,-0.28014,1.84252,0.09509,0.08455,0.76263,5.36319,0.12474,-4.33680868994202e-19,0.33682,0.33785,0.1828,3.54205,0.25687,0.1613
"21","2018_Q2",9.47921875,"Up",3899000,-563000,-563000,3336000,-5048000,-3384000,-116000,-1548000,-1712000,11943000,-336000,12253000,26000,10231000,10231000,-2569000,7662000,7662000,7662000,7662000,1522000,1522000,4880000,1650000,41159000,337000,38192000,2006000,41683000,82842000,2060000,1297000,3212000,3212000,5272000,265000,265000,265000,5537000,100210000,-4866000,77305000,77305000,82842000,7662000,116000,-7768000,129000,139000,-74000,11050000,10976000,0,-267000,-7051000,4064000,4064000,4064000,-1596000,0,1028000,0.8556,-0.43909,1.96512,0.09911,0.09249,0.13417,7.80709,0.07163,0,0.37372,0.37223,0.19018,3.77061,0.05014,0.16506
"22","2018_Q3",9.88047619047619,"Up",4273000,-704000,-704000,3569000,-5138000,-3337000,-72000,-1729000,-1569000,15511000,-412000,15889000,34000,13942000,13942000,1349000,15291000,15291000,15291000,15291000,1087000,1087000,5734000,2211000,3.9e+07,269000,40560000,2043000,45872000,84872000,2859000,1323000,1100000,1100000,3959000,293000,293000,293000,4252000,95703000,10425000,80620000,80620000,84872000,15291000,72000,-17216000,-1733000,-3586000,-57000,14450000,13643000,0,-92000,-12635000,-2578000,-2578000,-2578000,-1497000,-9.31322574615479e-10,-4636000,0.83524,-0.36719,3.57852,0.18967,0.18017,-0.30318,9.85097,0.05274,3.46944695195361e-18,0.76219,0.75717,0.21299,4.01854,-0.23108,0.25169
"23","2018_Q4",9.18365079365079,"Down",5147000,-954000,-954000,4193000,-4161000,-3139000,-74000,-948000,32000,9402000,-399000,9715000,86000,9434000,9434000,-3931000,5503000,5503000,5503000,5503000,817000,817000,6735000,2631000,39466000,229000,38078000,2070000,43690000,83156000,2630000,660000,627000,627000,3257000,295000,295000,295000,3552000,96274000,10896000,79604000,79604000,83156000,5503000,74000,-4989000,-1452000,-864000,-60000,8075000,8015000,0,-348000,-7416000,-265000,-265000,-265000,106000,0,2525000,0.81465,0.00622,1.06917,0.06913,0.06618,0.45884,12.11729,0.04462,0,0.27897,0.27687,0.26092,4.03549,0.128,0.13158
"24","2019_Q1",10.3603278688525,"Up",10626000,-4032000,-4032000,6594000,-9745000,-4138000,-461000,-5146000,-3151000,15421000,-765000,16351000,-165000,12270000,12270000,-5272000,6998000,6998000,6998000,6998000,9554000,9554000,9854000,5570000,59776000,42697000,50557000,13188000,99888000,159664000,14514000,6235000,2138000,2138000,40719000,940000,940000,50998000,91717000,96773000,12914000,67947000,67947000,159664000,6998000,461000,-10629000,-2408000,-5578000,-276000,13600000,-49177000,67900000,-2174000,46613000,-8142000,-8142000,-8142000,-2690000,74125000,-101999.999999999,0.62055,-0.29654,0.65857,0.10299,0.04383,-0.01458,1.46801,1.34983,0.46426,0.36233,0.3593,0.55017,3.51802,-0.00528000000000001,0.08347
"25","2019_Q2",11.4901587301587,"Up",19329000,-14108000,-14108000,5221000,-8776000,-4698000,-2102000,-1976000,-3555000,19656000,-2034000,21690000,0,16101000,16101000,-1699000,14402000,14402000,14402000,14402000,7772000,7772000,9724000,5504000,56219000,42423000,49101000,19691000,137592000,193811000,8564000,4785000,7095000,7095000,39825000,4071000,4071000,48070000,87895000,96845000,51504000,105916000,105916000,193811000,14402000,2102000,-2106000,1620000,16018000,-1087000,-324000,-2072000,-6e+06,-589000,-11853000,2093000,2093000,2093000,-1453000,68165000,779000,0.27011,-0.18392,0.7451,0.13598,0.07431,0.05409,1.41165,0.82986,0.35171,0.78837,0.78132,1.05808,5.7979,0.04264,0.1065
"26","2019_Q3",12.26421875,"Up",15577000,-12292000,-12292000,3285000,-7545000,-5219000,-757000,-1569000,-4260000,19008000,-2057000,20935000,130000,14748000,14748000,-6634000,8114000,8114000,8114000,8114000,5606000,5606000,9787000,5598000,48611000,44825000,45233000,21553000,138461000,187072000,10081000,6631000,5552000,5552000,39658000,5449000,5449000,39653000,79311000,97377000,54955000,107761000,107761000,187072000,8114000,757000,3135000,2548000,14554000,-2710000,-197000.000000002,-2906999.99999999,-1e+07,-346000,-17092000,-5445000,-5445000,-5445000,-3503000,58229000,2969000,0.21089,-0.27348,0.5209,0.0753,0.04337,0.36591,1.22576,0.73599,0.31127,0.44656,0.44119,0.85729,5.93071,0.1634,0.07421
"27","2019_Q4",11.51953125,"Down",19133000,-11939000,-11939000,7194000,-9585000,-3982000,-2043000,-3560000,-2391000,12909000,-1729000,14426000,212000,10518000,10518000,-6595000,3923000,3923000,3923000,3923000,6771000,6771000,10452000,6070000,49295000,44168000,41154000,23363000,129433000,178728000,10731000,6838000,4287000,4287000,39090000,6062000,6062000,32338000,71428000,97729000,54237000,107300000,107300000,178728000,3923000,2043000,12643000,-1583000,17026000,-2633000,-1562000,-4195000,-8e+06,-451000,-13096000,-265000,-265000,-265000,-348000,50348000,2031000,0.376,-0.12497,0.20504,0.03656,0.02195,0.51772,1.26106,0.66568,0.2817,0.21657,0.21369,1.05625,5.9236,0.11212,0.05176
"28","2020_Q1",9.59016129032258,"Down",16047000,-11104000,-11104000,4943000,-9630000,-4318000,-2469000,-2843000,-4687000,10856000,-1354000,12125000,85000,6169000,6169000,2929000,9098000,9098000,9098000,9098000,7430000,7430000,12078000,7832000,47048000,44001000,43595000,25331000,126751000,173799000,11070000,8046000,4311000,4311000,39313000,5760000,5760000,26194000,65507000,98489000,57336000,108292000,108292000,173799000,9098000,2469000,7214000,-4117000,14664000,-1421000,-2643000,-4064000,-6e+06,-263000,-13675000,-3075000,-3075000,-3075000,-2218000,44366000,-10685000,0.30803,-0.29208,0.56696,0.08401,0.05235,-1.17443,1.19675,0.60491,0.25527,0.50365,0.497,0.88834,5.99491,-0.59151,0.08612
"29","2020_Q2",5.76190476190476,"Down",12263000,-11491000,-11491000,772000,-9413000,-5073000,-2297000,-2043000,-8641000,7106000,-1210000,8273000,43000,-1535000,-1535000,-358000,-1893000,-1893000,-1893000,-1893000,5641000,5641000,10650000,7605000,42074000,45525000,42272000,24992000,118109000,160183000,10509000,8458000,4275000,4275000,38976000,5238000,5238000,19427000,58403000,98619000,50853000,101780000,101780000,160183000,-1893000,2297000,-5851000,18684000,13237000,-1289000,-447000,-1736000,-6340000,-376000,-11393000,108000,108000,108000,-6344000,38381000,11409000,0.06295,-0.70464,-0.15437,-0.0186,-0.01182,-6.02694,1.07948,0.57382,0.23961,-0.10557,-0.10557,0.68386,5.67589,0.63624,0.01805
"30","2020_Q3",4.2728125,"Down",11483000,-7416000,-7416000,4067000,-9029000,-6274000,-1733000,-1022000,-4962000,7354000,-962000,8168000,148000,2392000,-23711000,-103000,-23814000,-23814000,-23814000,-23814000,5319000,5319000,22439000,18959000,60575000,26053000,23622000,18881000,72755000,133330000,10332000,7174000,3377000,3377000,39292000,4816000,4816000,14936000,54228000,99755000,27039000,79102000,79102000,133330000,-23814000,1733000,30897000,2032000,10848000,-2900000,-60000,-2960000,-6336000,3303000,-3343000,4545000,4545000,4545000,-3229000,35703000,-3994000,0.35418,-0.43212,-2.07385,-0.30105,-0.17861,0.16772,1.54166,0.68555,0.26778,-1.32183,-1.32183,0.63738,4.39065,-0.22169,-0.19649
"31","2020_Q4",5.09078125,"Up",19471000,-23852000,-23852000,-4381000,1556000,4654000,-1777000,-1321000,-2825000,8654000,-881000,9518000,17000,5829000,5829000,-854000,4975000,4975000,4975000,4975000,10273000,10273000,20514000,16888000,56235000,29823000,46711000,41206000,99419000,155654000,11644000,7530000,4102000,4102000,40106000,25712000,25712000,31198000,71304000,100028000,32014000,84350000,84350000,155654000,4975000,1777000,-7869000,11950000,10833000,-690000,-216000,-906000,-6350000,-153000,-6631000,3296000,3296000,3296000,-1048000,29846000,11066000,-0.225,-0.14509,0.25551,0.05898,0.03196,2.22432,1.40216,0.84533,0.19175,0.27495,0.27495,1.0761,4.66177,0.61158,0.03647
"32","2021_Q1",5.60114754098361,"Up",24146000,-7640000,-7640000,16506000,-16085000,-1535000,-2730000,-11820000,421000,4076000,-867000,5019000,-76000,4497000,5626000,-5196000,430000,430000,430000,430000,13125000,13125000,38982000,4597000,61989000,29433000,47557000,34989000,84682000,146671000,11106000,7849000,12996000,12996000,42543000,13473000,13473000,18918000,61461000,100448000,32454000,85210000,85210000,146671000,430000,2730000,50416000,-34446000,19130000,-1806000,-58000.0000000001,-1864000,-6334000,-5999.99999999953,-6363000,10903000,10903000,10903000,3151000,23886000,-27905000,0.68359,0.01744,0.0178100000000002,0.00504999999999994,0.00292999999999997,-64.89535,1.45709,0.72129,0.16285,0.0237100000000002,0.02371,1.33153,4.69891,-1.53882,0.00369999999999995
"33","2021_Q2",6.16380952380952,"Up",22607000,-16453000,-16453000,6154000,-5824000,-1915000,-2106000,-1803000,330000,17896000,-837000,18312000,421000,18226000,18226000,-4489000,13737000,13737000,13737000,13737000,10349000,10349000,7484000,3420000,68107000,29777000,50933000,41576000,83463000,151570000,10122000,7908000,14888000,14888000,34923000,13208000,13208000,17495000,52418000,100653000,46191000,99152000,99152000,151570000,13737000,2106000,-14143000,20247000,21947000,-473000,5359000,4886000,-10315000,-216000,-10531000,16302000,16302000,16302000,2436000,14200000,26699000,0.27222,0.0146,0.60764,0.13854,0.09063,1.94358,1.9502,0.52866,0.09369,0.75619,0.75172,1.24447,5.45811,1.46972,0.10854
