"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",4.73634920634921,"Down",111813,-4103638,-2150871,-1952767,-4196261,-36562,-4232823,485868,-3746955,-3746955,-3746955,-3746955,-2775593,-6522548,18517450,18485950,124082,124082,1001840,1001840,19643372,1803921,320749,320749,2124670,21768042,2868779,565413,2303366,3218344,1072536,1004689,1072536,4290880,201728145,-184251049,17477162,17477162,21768042,-3746955,231015,-122304,387637,-3250607,0,-31499.9999999998,16329787,16329787,15110899,11828792,11828792,11828792,-3965246,0,-37.52928,-58.33443,-0.3732,-0.29964,6.10357,0.24551,0,-5.27078,-5.27078,0.09035,14.12301,-0.35163,4.66994,4.41285
"31","2018_Q4",4.5584126984127,"Down",88361,-3495641,-1665200,-1830441,-3433957,88240,-3345717,-423851,-3769568,-3769568,-3769568,-3769568,-6060,-3775628,15065913,15065913,128577,128577,849082,849082,16043572,1627605,249645,249645,1877250,17920822,2194360,476300,1718060,2666611,1274456,1204109,1274456,3941067,202006372,-188026677,13979755,13979755,17920822,-3769568,218279,280112,-208302,-3479479,27942,59442,3.72529029846191e-09,3.72529029846191e-09,0,-3420037,-3420037,-3420037,-3215678,0,-38.86281,-42.72958,-0.27008,-0.21068,6.01647,0.28191,0,-1.09827,-1.09827,0.0257,4.06647,-0.24751,4.68514,4.38733
"32","2019_Q1",3.57655737704918,"Down",78015,-4181500,-1684535,-2496965,-4103485,-93025,-4196510,38031.9999999998,-4158478,-4158478,-4158478,-4158478,-6060,-4164538,11453133,11453133,167755,167755,1144377,1144377,12765265,1304433,102798,102798,1407231,14172496,2478682,664840,1813842,2965318,1122986,1090671,1122986,4088304,202275347,-192191215,10084192,10084192,14172496,-4158478,157713,455608,-67623,-3612780,3.63797880709171e-12,0,1833740,1833740,0,-3612780,-3612780,-3612780,-3945772,0,-52.59867,-53.38125,-0.41298,-0.29385,4.30486,0.40542,0,-1.07427,-1.07427,0.02012,2.60126,-0.3716,2.90263,2.79107
"33","2019_Q2",3.20634920634921,"Down",161958,-4123721,-1475122,-2648599,-3961763,66753,-3895010,-9761,-3904771,-3904771,-3904771,-3904771,-274329,-4179100,11330079,11330079,115676,115676,890725,890725,12336480,293361,1903359,1903359,2196720,14533200,2488484,466747,2021737,3284730,1562289,1520213,1562289,4847019,207660749,-196370315,9686181,9686181,14533200,-3904771,45911,296040,202774,-3360046,-5274,-5274,3282266,3282266,3242266,-123054,-123054,-123054,-3915852,0,-24.46167,-25.8036,-0.43145,-0.28756,3.75571,0.50041,0,-1.02264,-1.02264,0.03963,2.37019,-0.37153,2.89339,2.85986
"34","2019_Q3",1.9459375,"Down",138285,-4358244,-1527904,-2830340,-4219959,70867,-4149092,23789,-4125303,-4125303,-4125303,-4125303,-6060,-4131363,10791270,10791270,122281,122281,906466,906466,11820017,252053,1795893,1795893,2047946,13867963,2877955,525690,2352265,3694057,1325671,1307384,1325671,5019728,210714087,-200501678,8848235,8848235,13867963,-4125303,41308,349599,291283,-3443113,3.63797880709171e-12,-2.91038304567337e-11,2904304,2904304,2904304,-538809,-538809,-538809,-4178651,0,-30.51639,-29.87571,-0.46691,-0.29791,3.19974,0.56731,0,-0.78718,-0.78718,0.02635,1.68591,-0.40607,2.58248,2.5572
"35","2019_Q4",1.42546875,"Down",-148188,-4059288,-1240464,-2818824,-4207476,52596,-4154880,13331,-4141549,-4141549,-4141549,-4141549,-6060,-4147609,9032206,9032206,152038,152038,792540,792540,9976784,271401,1674278,1674278,1945679,11922463,3334520,492367,2842153,4170814,1095669,1090713,1095669,5266483,212471173,-204649287,6655980,6655980,11922463,-4141549,285609,383117,285346,-3187477,-62348,-62348,1490761,1490761,1490761,-1759064,-1759064,-1759064,-3921867,0,28.39283,27.98883,-0.62314,-0.34788,2.39205,0.79124,0,-0.71075,-0.71075,-0.02539,1.14059,-0.53506,2.30304,2.1467
"36","2020_Q1",1.41354838709677,"Down",92577,-4381873,-1517400,-2864473,-4289296,45931,-4243365,829,-4242536,-4242536,-4242536,-4242536,-6060,-4248596,10195292,10195292,203480,203480,954957,954957,11353729,877823,854994,854994,1732817,13086546,3916365,656304,3260061,4781744,993458,989331,993458,5775202,217180840,-208897883,7311344,7311344,13086546,-4242536,121404,531326,312942,-3276864,1.45519152283669e-11,-4.65661287307739e-10,4439950,4439950,4439950,1163086,1163086,1163086,-4167892,1.81898940354586e-12,-46.3322,-45.89257,-0.5811,-0.32465,2.37439,0.7899,0,-0.48693,-0.48693,0.01061,0.83795,-0.51158,2.44615,2.37691
"37","2020_Q2",2.04603174603175,"Up",68000,-4192000,-1486000,-2706000,-4124000,33000,-4091000,2000,-4089000,-4089000,-4089000,-4089000,-6000,-4095000,9277025,9277025,106432,106432,899451,899451,10282908,758503,773992,773992,1532495,11815403,4010708,598985,3411723,4881300,790685,788665,790685,5671985,219814519,-212992505,6143418,6143418,11815403,-4089000,119000,468000,128000,-3374000,-31878.7008928809,-13718447.5278908,2456000,2456000,2456000,-918000,-918000,-918000,-4005000,0,-60.64706,-60.22059,-0.66657,-0.34658,2.10659,0.92326,4.33680868994202e-19,-0.41321,-0.41321,0.00686,0.6199,-0.59056,2.31636,2.24952
"38","2020_Q3",6.6034375,"Up",42000,-4144000,-1669000,-2475000,-4102000,22000,-4080000,-44000,-4124000,-4124000,-4124000,-4124000,-3273000,-7397000,27754813,27754813,109334,109334,954986,954986,28819133,655367,654479,654479,1309846,30128979,4013692,1155531,2858161,4962029,548641,502477,782911,5744940,247537858,-220389581,24384039,24384039,30128979,-4124000,115000,573000,-855000,-4291000,-127346.138610832,-23035554.8267048,22472000,22472000,22769000,18478000,18478000,18478000,-3987000,305000,-97.66667,-176.11905,-0.30335,-0.24551,5.80793,0.2356,0.01012,-0.51041,-0.51041,0.0029,1.6825,-0.29309,6.88483,6.69181
"39","2020_Q4",17.57546875,"Up",137000,-4500000,-1645000,-2855000,-4363000,10000,-4353000,-144000,-4497000,-4497000,-4497000,-4497000,-6000,-4503000,36405432,36405432,204366,204366,1578859,1578859,38188657,682859,578933,578933,1261792,39450449,4253536,610236,3643300,5442070,485829,295630,485829,5927899,260817376,-224892172,33522550,33522550,39450449,-4497000,115000,868000,-12000,-3526000,-154000,-153999.999999999,12330000,12330000,12330000,8650000,8650000,8650000,-4248000,305000,-31.84672,-32.86861,-0.13433,-0.11414,7.0173,0.17683,0.00773,-0.19225,-0.19225,0.00585,1.43117,-0.13123,8.49822,8.27422
