"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",6.19828125,"Down",37662000,-23290000,14372000,-7075000,-1976000,-539000,-4560000,7297000,-376000,-376000,6921000,6921000,-1453000,5468000,5468000,5468000,5468000,18402000,18402000,6790000,6790000,7097000,1817000,147000,34106000,171040000,234079000,-63039000,17116000,12366000,12366000,200522000,234628000,9972000,9972000,9972000,11400000,45005000,36652000,8353000,56405000,66377000,87461000,80586000,168251000,168251000,234628000,11400000,0.3816,0.19375,0.14519,0.0325,0.0233,3.42018,0.39451,0.04859,0.19166,0.19018,1.32013,5.89754,0.02434,-0.95957
"12","2013_Q3",6.4146875,"Up",40736000,-22262000,18474000,-6771000,-1674000,-447000,-4650000,11703000,-447000,-447000,11256000,11256000,-3091000,8165000,8165000,8165000,8165000,14836000,14836000,9069000,9069000,7917000,612000,612000,32434000,172901000,240579000,-67678000,17822000,16487000,16487000,207210000,239644000,10089000,10089000,10089000,11400000,42840000,38591000,4249000,54240000,64329000,87590000,87592000,175315000,175315000,239644000,11400000,0.45351,0.28729,0.20044,0.04657,0.03407,3.21479,0.36693,0.04757,0.28546,0.28207,1.42419,6.12925,0.03557,-0.2936
"13","2013_Q4",6.2921875,"Down",37660000,-23407000,14253000,-7447000,-1936000,-739000,-4772000,6806000,-308000,-308000,6498000,6498000,-1668000,4830000,4830000,4830000,4830000,13713000,13713000,9904000,9904000,6731000,3994000,403000,34342000,177199000,249617000,-72418000,19889000,15191000,15191000,212279000,246621000,10111000,10111000,10111000,11400000,45413000,40778000,4635000,56813000,66924000,88210000,91264000,179697000,179697000,246621000,11400000,0.37847,0.18072,0.12825,0.02688,0.01958,3.3965,0.37243,0.04622,0.16883,0.16739,1.31641,6.28135,0.02532,-0.33985
"14","2014_Q1",6.97016393442623,"Up",37812000,-25152000,12660000,-7321000,-2083000,-635000,-4603000,5339000,-416000,-416000,4923000,4923000,-963000,3960000,3960000,3960000,3960000,16228000,16228000,10577000,10577000,7604000,5761000,291000,40170000,182341000,259886000,-77545000,21306000,15382000,15382000,219029000,259199000,10357000,10357000,10357000,1.6e+07,50722000,43304000,7418000,66722000,77079000,88159000,93582000,182120000,182120000,259199000,1.6e+07,0.33481,0.1412,0.10473,0.02174,0.01528,3.87854,0.42323,0.06173,0.13827,0.14231,1.32025,6.35894,0.02057,-0.0427000000000002
"15","2014_Q2",7.70031746031746,"Up",35767000,-23005000,12762000,-7595000,-1971000,-665000,-4959000,5167000,-465000,-465000,4702000,4702000,-1176000,3526000,3526000,3526000,3526000,19898000,18277000,10690000,10690000,9131000,3617000,142000,43336000,180786000,263258000,-82472000,22106000,16805000,16805000,219697000,263033000,9945000,9945000,9945000,1.6e+07,50914000,43248000,7666000,66914000,76859000,88633000,97128000,186174000,186174000,263033000,1.6e+07,0.35681,0.14446,0.09858,0.01894,0.01341,4.35757,0.41283,0.06083,0.12261,0.12261,1.24377,6.47404,0.01393,-0.7544
"16","2014_Q3",10.99328125,"Up",38460000,-26096000,12364000,-8457000,-2738000,-526000,-5193000,3907000,-397000,-397000,3510000,3510000,-442000,3068000,3068000,3068000,3068000,22778000,21025000,10653000,10653000,9057000,422000.000000001,82000.0000000001,42910000,181317000,268922000,-87605000,23242000,1.7e+07,1.7e+07,221559000,264469000,11688000,11688000,11688000,1.6e+07,47790000,40899000,6891000,63790000,75478000,89428000,98996000,188991000,188991000,264469000,1.6e+07,0.32148,0.10159,0.07977,0.01623,0.0116,3.67129,0.39937,0.0605,0.10664,0.10664,1.33686,6.56926,0.01214,-1.73483
"17","2014_Q4",9.6328125,"Down",66322000,-52588000,13734000,-10206000,-2511000,-716000,-6979000,3528000,-1825000,-1825000,1703000,-7209000,1441000,-5768000,-5768000,-5768000,-5768000,23738000,22018000,35698000,35698000,32785000,14914000,4173000,107135000,457423000,551946000,-94523000,24022000,22377000,22377000,503822000,610957000,29512000,29512000,49200000,325938000,52931000,39237000,13694000,378869000,428069000,90399000,92029000,182888000,182888000,610957000,325938000,0.20708,0.0532,-0.08697,-0.03154,-0.00944,2.17754,2.34061,0.53349,-0.20047,-0.20047,2.30509,6.35646,-0.01027,85.6576
"18","2015_Q1",10.0381967213115,"Up",100622000,-68002000,32620000,-17405000,-4819000,-455000,-12131000,15215000,-6372000,-6372000,8843000,9698000,-305000,9393000,9393000,9393000,9393000,15125000,13469000,27297000,27297000,34641000,7346000,1555000,84409000,457610000,564218000,-106608000,18717000,18849000,18849000,495176000,579585000,28105000,28105000,49980000,284470000,55260000,41581000,13679000,339730000,389710000,90507000,99003000,189875000,189875000,579585000,284470000,0.32418,0.15121,0.09335,0.04947,0.01621,1.68886,2.05246,0.49082,0.32608,0.32608,3.49309,6.59151,0.02001,17.7026
"19","2015_Q2",8.74571428571429,"Down",98001000,-66152000,31849000,-15390000,-3344000,-708000,-11338000,16459000,-5456000,-5456000,11003000,11003000,-3412000,7591000,7591000,7591000,7591000,13467000,11797000,29817000,29817000,38263000,4977000,612000,86524000,454299000,572105000,-117806000,18894000,16819000,16819000,490012000,576536000,29029000,29029000,53092000,267908000,58530000,43577000,14953000,326438000,379530000,91349000,105394000,197006000,197006000,576536000,267908000,0.32499,0.16795,0.07746,0.03853,0.01317,1.6297,1.92649,0.46469,0.2621,0.2621,3.38378,6.80222,0.01679,15.45908
"20","2015_Q3",6.44890625,"Down",95253000,-68280000,26973000,-14342000,-3080000,-492000,-10770000,12631000,-3323000,-3323000,9308000,9308000,-2455000,6853000,6853000,6853000,6853000,18134000,16489000,25642000,25642000,29960000,8251000,1315000,81987000,457633000,585996000,-128363000,18704000,17304000,17304000,493641000,575628000,28056000,28056000,54306000,251345000,67205000,46897000,20308000,318550000,372856000,91558000,111049000,202772000,202772000,575628000,251345000,0.28317,0.1326,0.07195,0.0338,0.01191,1.50972,1.83879,0.43664,0.23611,0.23611,3.28187,6.98636,0.01544,18.46338
"21","2015_Q4",5.4640625,"Down",82013000,-56995000,25018000,-14032000,-3003000,-381000,-10648000,10986000,-5176000,-5176000,5810000,5810000,-666000,5144000,5144000,5144000,5144000,20930000,19503000,26124000,26124000,23686000,6302000,1467000,77042000,451252000,590201000,-138949000,18632000,16472000,16472000,486356000,563398000,28922000,28922000,55172000,239783000,61096000,46883000,14213000,300879000,356051000,92413000,114995000,207347000,207347000,563398000,239783000,0.30505,0.13395,0.06272,0.02481,0.00913,1.3964,1.71717,0.4256,0.17709,0.17709,2.82346,7.13833,0.01248,19.92108
"22","2016_Q1",4.25524590163934,"Down",64853000,-46470000,18383000,-14834000,-3190000,-458000,-11186000,3549000,-1602000,-1602000,1947000,1449000,-905000,544000,544000,544000,544000,17273000,15930000,16675000,16675000,26170000,6497000,1185000,66615000,445235000,595199000,-149964000,17112000,11416000,11416000,473763000,540378000,26184000,26184000,51040000,219502000,63016000,49033000,13983000,282518000,333558000,92567000,114341000,206820000,206820000,540378000,219502000,0.28346,0.05472,0.00839,0.00263,0.00101,1.30515,1.61279,0.4062,0.0187,0.0187,2.22931,7.10942,0.00356,56.98197
"23","2016_Q2",4.01875,"Down",75885000,-49777000,26108000,-12363000,-2762000,-419000,-9182000,13745000,-5596000,-5596000,8149000,7900000,-1738000,6162000,6162000,6162000,6162000,15232000,13751000,19239000,19239000,24045000,3758000,1315000,62274000,450394000,609483000,-159089000,14909000,20010000,20010000,485313000,547587000,19898000,19898000,44156000,225598000,65387000,50003000,15384000,290985000,335141000,93103000,119309000,212446000,212446000,547587000,225598000,0.34405,0.18113,0.0812,0.02901,0.01125,1.41032,1.57753,0.41199,0.21066,0.21066,2.59427,7.26286,0.01461,15.30491
"24","2016_Q3",5.38234375,"Up",68564000,-45397000,23167000,-12180000,-2729000,-395000,-9056000,10987000,-4497000,-4497000,6490000,6235000,-382000,5853000,5853000,5853000,5853000,17871000,16217000,18948000,18948000,23135000,4913000,1702000,64867000,443327000,611419000,-168092000,15082000,20745000,20745000,479154000,544021000,14393000,14393000,38814000,219330000,67546000,51153000,16393000,286876000,325690000,93751000,123962000,218331000,218331000,544021000,219330000,0.33789,0.16024,0.08537,0.02681,0.01076,1.67123,1.49173,0.40316,0.2001,0.2001,2.34399,7.46405,0.01396,18.33612
"25","2016_Q4",7.93,"Up",65767000,-46940000,18827000,-10881000,-2585000,-354000,-7942000,7946000,-2601000,-2601000,5345000,5085000,-763000,4322000,4322000,4322000,4322000,14520000,12818000,19106000,19106000,23251000,6602000,3121000,63479000,439991000,615974000,-175983000,15002000,21611000,21611000,476604000,540083000,16725000,16725000,43334000,206037000,68489000,52186000,16303000,274526000,317860000,94486000,127081000,222223000,222223000,540083000,206037000,0.28627,0.12082,0.06572,0.01945,0.008,1.46488,1.43036,0.38149,0.14776,0.14776,2.24837,7.59711,0.01112,24.10232
"26","2017_Q1",7.99532258064516,"Up",71234000,-50663000,20571000,-12334000,-2444000,-505000,-9385000,8237000,-2148000,-2148000,6089000,-10736000,6909000,-3827000,-3827000,-3827000,-3827000,11551000,9788000,22307000,22307000,20191000,28701000,9647000,82750000,422760000,592339000,-169579000,11699000,14114000,14114000,448573000,531323000,19918000,19918000,48714000,204944000,60775000,45174000,15601000,265719000,314433000,94110000,122052000,216890000,216890000,531323000,204944000,0.28878,0.11563,-0.05372,-0.01764,-0.0072,1.69869,1.44973,0.38572,-0.13067,-0.13067,2.43227,7.40567,-0.00544,23.47857
"27","2017_Q2",6.82873015873016,"Down",63553000,-39692000,23861000,-12500000,-2658000,-139000,-9703000,11361000,-3091000,-3091000,8270000,8063000,-649000,7414000,7414000,7414000,7414000,15541000,13762000,16008000,16008000,30185000,28289000,12980000,90023000,416400000,594523000,-178123000,11930000,14298000,14298000,442628000,532651000,19201000,19201000,50185000,196651000,61890000,45806000,16084000,258541000,308726000,94891000,128260000,223925000,223925000,532651000,196651000,0.37545,0.17876,0.11666,0.03311,0.01392,1.79382,1.3787,0.36919,0.25207,0.25207,2.16071,7.61313,0.01787,15.94138
"28","2017_Q3",5.94079365079365,"Down",64312000,-44079000,20233000,-15954000,-6578000,-275000,-9101000,4279000,-3342000,-3342000,937000,723000,-334000,389000.000000002,389000.000000002,389000.000000002,389000.000000002,11931000,10079000,17105000,17105000,33229000,22406000,11170000,84671000,417519000,604678000,-187159000,11957000,13772000,13772000,443248000,527919000,19904000,19904000,53075000,188359000,61071000,44783000,16288000,249430000,302505000,97212000,127446000,225414000,225414000,527919000,188359000,0.31461,0.06654,0.00604999999999997,0.00172999999999999,0.000739999999999999,1.59531,1.342,0.3568,0.01319,0.0131900000000001,2.17985,7.64038,0.00335,41.23113
"29","2017_Q4",5.19380952380952,"Down",74468000,-54354000,20114000,-12740000,-2859000,-152000,-9729000,7374000,-3229000,-3229000,4145000,3926000,-10000,3916000,3916000,3916000,3916000,11331000,9407000,16776000,16776000,25664000,20197000,10401000,73968000,418790000,615595000,-196805000,11952000,14271000,14271000,445013000,518981000,19822000,19822000,52993000,174066000,62945000,47325000,15620000,237011000,290004000,98036000,130120000,228977000,228977000,518981000,174066000,0.2701,0.09902,0.05259,0.0171,0.00755,1.39581,1.26652,0.3354,0.131,0.131,2.49115,7.65989,0.01107,22.06876
"30","2018_Q1",6.16426229508197,"Up",69300000,-52025000,17275000,-13133000,-2883000,-288000,-9962000,4142000,-2751000,-2751000,1391000,1170000,20187000,21357000,21357000,21357000,21357000,14390000,12483000,16762000,16762000,22847000,13687000,5482000,67686000,423957000,627348000,-203391000,11890000,14660000,14660000,450507000,518193000,21115000,21115000,54286000,165773000,48811000,28728000,20083000,214584000,268870000,98172000,150236000,249323000,249323000,518193000,165773000,0.24928,0.05977,0.30818,0.08566,0.04121,1.24684,1.0784,0.31991,0.71584,0.71584,2.32278,8.35673,0.04871,36.54829
"31","2018_Q2",6.6246875,"Up",66864000,-46640000,20224000,-14936000,-3890000,-217000,-10829000,5288000,-2708000,-2708000,2580000,2298000,-166000,2132000,2132000,2132000,2132000,16244000,14449000,14827000,14827000,32083000,20341000,12210000,83495000,416789000,630978000,-214189000,3770000,14778000,14778000,435337000,518832000,24903000,24903000,58074000,154975000,49596000,29097000,20499000,204571000,262645000,100140000,152047000,252187000,256187000,518832000,154975000,0.30246,0.07909,0.03189,0.00832,0.00411,1.43773,1.02521,0.2987,0.07117,0.07117,2.23215,8.41886,0.00731,26.23506
"32","2018_Q3",5.92952380952381,"Down",57243000,-38874000,18369000,-13909000,-2474000,-315000,-11120000,4460000,-4315000,-4315000,145000,-146000,123000,-23000,-23000,-23000,-23000,11976000,10185000,11627000,11627000,45860000,23142000,15633000,92605000,412316000,637547000,-225231000,3697000,14798000,14798000,430811000,523416000,25785000,25785000,47534000,170362000,50202000,28993000,21209000,220564000,268098000,100529000,150789000,251318000,255318000,523416000,170362000,0.3209,0.07791,-0.000399999999999984,-8.99999999999877e-05,-3.9999999999994e-05,1.94818,1.05006,0.32548,-0.000770000000000007,-0.000770000000000007,1.90931,8.38258,0.00255,35.51256
"33","2018_Q4",5.52650793650794,"Down",79722000,-60230000,19492000,-13613000,-2519000,-279000,-10815000,5879000,-3261000,-3261000,2618000,2325000,589000,2914000,2914000,2914000,2914000,18791000,16903000,15938000,15938000,40317000,22125000,15885000,97171000,409923000,645812000,-235889000,3654000,15288000,15288000,428865000,526036000,26671000,26671000,50226000,168462000,49963000,28608000,21355000,218425000,268651000,100918000,152467000,253385000,257385000,526036000,168462000,0.2445,0.07374,0.03655,0.01132,0.00554,1.93468,1.04377,0.32025,0.09656,0.09656,2.64173,8.39635,0.00872,25.45858
"34","2019_Q1",5.15032786885246,"Down",89728000,-69619000,20109000,-14735000,-2958000,-374000,-11403000,5374000,-6004000,-6004000,-630000,-931000,3529000,2598000,2598000,2598000,2598000,17344000,15502000,18428000,18428000,30152000,19054000,11368000,84978000,412638000,637368000,-224730000,3666000,14217000,14217000,430521000,515499000,26421000,26421000,51813000,155655000,49157000,26441000,22716000,204812000,256625000,101044000,153830000,254874000,258874000,515499000,155655000,0.22411,0.05989,0.02895,0.01004,0.00504,1.64009,0.99131,0.30195,0.08608,0.08608,2.9729,8.44457,0.00827,25.73707
"35","2019_Q2",5.16793650793651,"Up",89313000,-62419000,26894000,-15002000,-2984000,-280000,-11738000,11892000,-4619000,-4619000,7273000,6964000,36000,7e+06,7e+06,7e+06,7e+06,10737000,8690000,15502000,15502000,33910000,16078000,9667000,76227000,413187000,649627000,-236440000,3632000,14123000,14123000,430942000,507169000,29527000,29527000,56757000,134348000,50937000,26634000,24303000,185285000,242042000,101538000,159589000,261127000,265127000,507169000,134348000,0.30112,0.13315,0.07838,0.0264,0.0138,1.34304,0.91293,0.2649,0.23144,0.23144,2.95298,8.63372,0.0183,10.39447
"36","2019_Q3",4.56796875,"Down",72310000,-54001000,18309000,-15779000,-3475000,-208000,-12096000,2530000,-5369000,-5369000,-2839000,-3153000,-191000,-3344000,-3344000,-3344000,-3344000,8480000,6406000,20239000,20239000,42457000,10110000,4101000,81286000,413815000,661223000,-247408000,3500000,14294000,14294000,431609000,512895000,32094000,32094000,61161000,137703000,52979000,26747000,26232000,190682000,251843000,102049000,155003000,257052000,261052000,512895000,137703000,0.2532,0.03499,-0.04625,-0.01281,-0.00652,1.32905,0.96472,0.26848,-0.11056,-0.11056,2.39081,8.49899,-0.00465,51.07628
"37","2019_Q4",2.9915625,"Down",83096000,-71363000,11733000,-15051000,-2926000,-347000,-11778000,-3318000,-3558000,-3558000,-6876000,-7196000,3473000,-3723000,-3723000,-3723000,-3723000,8384000,6361000,21722000,21722000,39003000,14153000,7568000,83262000,407817000,666938000,-259121000,3315000,14417000,14417000,425549000,508811000,37106000,37106000,68439000,133697000,50168000,23700000,26468000,183865000,252304000,102468000,150039000,252507000,256507000,508811000,133697000,0.1412,-0.03993,-0.0448,-0.01451,-0.00732,1.21659,0.98361,0.26276,-0.12308,-0.12308,2.74716,8.34789,-0.00564,-37.76763
"38","2020_Q1",1.58338709677419,"Down",78743000,-60083000,18660000,-16813000,-3463000,-390000,-12960000,1847000,-2452000,-2452000,-604999.999999999,-78816000,19029000,-59787000,-59787000,-59787000,-59787000,8799000,8799000,25580000,25580000,40072000,7997000,1678000,82448000,329716000,550496000,-220780000,3139000,10324000,10324000,343179000,425627000,31800000,31800000,64844000,140594000,24659000,4884000,19775000,165253000,230097000,102519000,89011000,191530000,195530000,425627000,173638000,0.23697,0.02346,-0.75927,-0.30577,-0.14047,1.27148,1.17679,0.40796,-1.97486,-1.97486,2.60101,6.32655,-0.14866,89.24689
"39","2020_Q2",0.76984126984127,"Down",62483000,-48469000,14014000,-13858000,-2978000,-253000,-10627000,156000,-5659000,-5714000,-5503000,-5836000,2176000,-3660000,-3660000,-3660000,-3660000,7918000,7918000,12703000,12703000,48296000,7234000,1519000,76151000,328277000,559647000,-231370000,3306000,7955000,7955000,339538000,415689000,38247000,38247000,73129000,127123000,24484000,3233000,21251000,151607000,224736000,102838000,84115000,186953000,190953000,415689000,127123000,0.22429,0.0025,-0.05858,-0.01917,-0.0088,1.04132,1.17692,0.30581,-0.12032,-0.12032,2.05401,6.14573,-0.00708,764.13462
"40","2020_Q3",0.72421875,"Down",50850000,-36165000,14685000,-13103000,-2678000,-208000,-10217000,1582000,-1603000,-2834000,-21000,-363999.999999993,617999.999999998,253999.999999993,253999.999999993,253999.999999993,253999.999999993,7375000,7375000,13494000,13494000,51580000,8165000,2682000,80614000,319464000,560428000,-240964000,3412000,8169000,8169000,331045000,411659000,32801000,32801000,71560000,125015000,23577000,2614000,20963000,148592000,220152000,103138000,84369000,187507000,191507000,411659000,129463000,0.28879,0.03111,0.00499999999999997,0.00133000000000002,0.000619999999999983,1.12652,1.14958,0.31449,0.00835000000000007,0.00835000000000007,1.67149,6.16353,0.000740000000000007,77.1732000000001
"41","2020_Q4",0.9184375,"Up",65247000,-46570000,18677000,-12620000,-3131000,-174000,-9315000,6057000,-2448000,-2329000,3609000,1462000,461000,1923000,1923000,1923000,1923000,5302000,5302000,15846000,15846000,45975000,9014000,4771000,76137000,312487000,562621000,-250134000,3293000,8290000,8290000,324070000,400207000,33526000,33526000,69997000,113725000,22765000,2228000,20537000,136490000,206487000,103428000,86292000,189720000,193720000,400207000,115885000,0.28625,0.09283,0.02947,0.00993,0.00481,1.08772,1.0659,0.28956,0.06312,0.06312,2.14163,6.22727,0.00579,18.25706
"42","2021_Q1",1.70377049180328,"Up",65661000,-54753000,10908000,-12425000,-2807000,-133000,-9485000,-1517000,-2266000,-2153000,-3783000,-4140000,-597000,-4737000,-4737000,-4737000,-4737000,8041000,8041000,14414000,14414000,33566000,7312000,3282000,63333000,309358000,561603000,-252245000,3181000,8258000,8258000,320797000,384130000,31409000,31409000,71210000,101817000,21843000,2824000,19019000,123660000,194870000,103705000,81555000,185260000,189260000,384130000,141618000,0.16613,-0.0231,-0.07214,-0.02503,-0.01233,0.88938,1.02964,0.36867,-0.15543,-0.15543,2.15452,6.07888,-0.01343,-88.05339
