"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",21.8046774193548,"Up",204608000,-119981000,84627000,-23102000,-824000,-16354000,61525000,1297000,118000,62822000,62822000,-8094000,54728000,54728000,15035000,15035000,318926000,318926000,23158000,23158000,16653000,16653000,358737000,8397000,54256000,177410000,167791000,9619000,240063000,598800000,213983000,14326000,131591000,133376000,133376000,347359000,347359000,-543000,211845000,251441000,598800000,54728000,824000,22190000,59917000,137659000,-133000,13000,-88000,-18952000,-19645000,117926000,117926000,-1771000,116155000,62349000,0,130227000,0.41361,0.3007,0.07348,0.0598,0.02511,8.66159,1.03276,1.38147,0,0.70542,0.56907,9.59994,9.93949,6.11008,0.8892,0.13517,0.51792,1.26053,-5.11517,-5.18368
"12","2017_Q2",22.7877777777778,"Up",173258000,-101726000,71532000,-28498000,-857000,-22170000,43034000,3342000,238000,46376000,46376000,-6997000,39379000,39379000,15278000,15278000,156327000,156327000,34504000,34504000,16001000,16001000,206832000,9338000,52197000,286674000,273285000,13389000,348209000,555041000,64111000,18056000,46055000,217729000,217729000,281840000,281840000,-297000,266020000,273201000,555041000,39379000,857000,24903000,-90369000,-25230000,-1798000,5045000.00000001,3650000,-129154000,-141821000,-163401000,-163401000,771000,-162630000,43891000,0,-41279000,0.41286,0.24838,0.08818,0.05592,0.02753,-2.70186,0.73386,1.03162,0,0.584,0.46407,6.62277,10.16858,-1.57788,4.9369,0.52867,-0.15109,8.45359,-3.56171,-3.63264
"13","2017_Q3",25.2607936507937,"Up",172149000,-100808000,71341000,-28633000,-822000,-21073000,42708000,16365000,17695000,59073000,59073000,-9549000,49524000,49524000,19730000,19730000,179884000,179884000,27927000,27927000,19849000,19849000,227660000,9704000,106874000,283568000,266641000,16927000,400146000,627806000,145685000,4834000,84951000,210881000,210881000,356566000,356566000,74000,277635000,271240000,627806000,49524000,822000,28848000,18659000,97853000,-1215000,-50364000,-51979000,-26150000,-23232000,22642000,22642000,911000,23553000,43530000,0,70523000,0.41441,0.24809,0.11461,0.07274,0.03143,3.5744,0.63848,1.31458,0,0.69254,0.57052,6.04258,9.74523,2.47542,0.91789,0.16915,0.26,1.32539,-4.13241,-4.21195
"14","2017_Q4",28.7634920634921,"Up",170041000,-99694000,70347000,-30468000,-891000,-23150000,39879000,17746000,14955000,57625000,57625000,-14354000,43271000,43271000,19205000,19205000,127600000,127600000,50540000,50540000,21765000,21765000,199905000,10345000,162100000,422739000,405730000,17009000,595184000,795089000,120509000,9768000,110741000,327508000,327508000,448017000,448017000,543000,335929000,347072000,795089000,43271000,891000,13631000,4868000,62661000,-1540000,-37695000,-38933000,-76980000,-76753000,-53025000,-53025000,906000,-52119000,40770000,0,58452000,0.41371,0.23453,0.11294,0.05533,0.02415,3.04358,0.4462,1.29085,0,0.58851,0.47876,5.21067,10.29407,1.79118,2.35894,0.27713,0.16841,4.00833,-3.12975,-3.19968
"15","2018_Q1",33.3168852459016,"Up",169167000,-99156000,70011000,-31350000,-974000,-23839000,38661000,148616000,144840000,187277000,187277000,-192927000,-5650000,-5650000,-24813000,-24813000,213191000,213191000,56725000,56725000,14419000,14419000,284335000,10458000,154956000,249319000,2.34e+08,15319000,414733000,699068000,163475000,18323000,145152000,191337000,191337000,354812000,354812000,352000,324950000,344256000,699068000,-5650000,974000,57428000,45147000,97899000,-1094000,18847000,17829000,-23410000,-30706000,85022000,85022000,483000,85505000,39635000,0,276615000,0.41386,0.22854,-0.14668,-0.07208,-0.03549,-11.14799,0.80137,1.03066,0,-0.70683,-0.57593,4.81893,9.2566,7.87972,0.66686,-0.00408,0.80352,-0.94346,-5.37886,-5.51437
"16","2018_Q2",38.30390625,"Up",219418000,-127177000,92241000,-37172000,-1055000,-28984000,55069000,1475000.00000006,587000.00000003,56544000,56544000,-2563000,53981000,53981000,33325000,33325000,130990000,130990000,45260000,45260000,28047000,28047000,204297000,10479000,85185000,327851000,313469000,14382000,423515000,627812000,72714000,16457000,56257000,254921000,254921000,327635000,327635000,1738000,329953000,300177000,627812000,53981000,1055000,44669000,-92302000,7402999.99999999,-1059000,67338000,66483000,-137029000,-157588000,-83702000,-83702000,1396000,-82306000,56124000,0,-34673999.9999999,0.42039,0.25098,0.15188,0.11102,0.05308,-1.04048,0.62355,1.09147,0,0.92135,0.74726,6.06637,9.12239,-0.958649999999998,3.78852,0.56751,-0.11551,4.1119,-2.33394,-2.37865
"17","2018_Q3",40.0255555555556,"Up",220405000,-128109000,92296000,-36651000,-1100000,-28234000,55645000,3512000,1286000,59157000,59157000,-6027000,53130000,53130000,35690000,35690000,132868000,132868000,63790000,63790000,73336000,73336000,269994000,11395000,117836000,328251000,313923000,14328000,457482000,727476000,119372000,6228000,113144000,254993000,254993000,374365000,374365000,457000,377312000,353111000,727476000,53130000,1100000,26753000,-18391000,62592000,-2074000,-30507000,-32592000,-30116000,-27169000,2831000,2831000,-995000,1836000,56745000,0,42307000,0.41876,0.25247,0.16193,0.10107,0.04906,1.1854,0.72121,1.06019,0,0.8557,0.72267,5.28443,9.04644,1.01435,0.72206,0.18636,0.11981,0.84382,-2.34149,-2.38778
"18","2018_Q4",29.4922222222222,"Down",207723000,-120701000,87022000,-34110000,-1135000,-25561000,52912000,1617000,1090000,54529000,54529000,-9641000.00000001,44888000,44888000,32449000,32449000,86894000,86894000,54679000,54679000,37301000,37301000,178874000,12004000,204689000,427452000,412897000,14555000,644145000,823019000,159192000,16902000,142290000,336882000,336882000,496074000,496074000,-34000,370472000,326945000,823019000,44888000,1135000,27854000,88718000,162595000,-1755000,-85998000,-87580000,-1.19e+08,-119592000,-44577000,-44577000,-1179000,-45756000,54047000,0,150651000,0.41893,0.25472,0.15621,0.09925,0.03943,4.6427,0.36058,1.5173,0,0.70915,0.60608,4.53964,8.0964,3.29237,2.60066,0.46322,0.46078,3.66729,-1.60775,-1.64224
"19","2019_Q1",30.4001639344262,"Up",238294000,-137876000,100418000,-37263000,-1335000,-57792000,63155000,5067000,8708000,68222000,68222000,-12217000,56005000,56005000,39216000,39216000,261100000,261100000,54412000,54412000,23658000,23658000,339170000,12731000,143924000,418550000,402859000,15691000,575205000,914375000,217525000,19784000,197741000,325097000,325097000,542622000,542622000,291000,404361000,371753000,914375000,56005000,1335000,27465000,73494000,158299000,-2032000,65005000,62973000,-27682000,-47392000,173880000,173880000,223000,174103000,64490000,0,148169000,0.4214,0.26503,0.16457,0.10549,0.04289,3.77828,0.62506,1.45963,0,0.79659,0.70992,4.84043,8.21373,3.00974,0.5623,0.17995,0.39857,0.70589,-4.04869,-4.13427
"20","2019_Q2",26.4060317460317,"Down",137783000,-90161000,47622000,-37993000,-1155000,-28876000,9629000,2090000,1377000,11719000,11719000,4458000,16177000,16177000,13570000,13570000,69132000,69132000,44425000,44425000,22369000,22369000,135926000,13509000,70603000,461652000,392449000,69203000,545764000,681690000,13288000,1419000,11869000,380724000,380724000,394012000,394547000,712000,346381000,287143000,681690000,16177000,1155000,53244000,-192922000,-122346000,-2172000,71314000,69142000,-113734000,-140212000,-193416000,-193416000,1126000,-192290000,10784000,0,-188768000,0.34563,0.06989,0.09849,0.04726,0.01991,-13.91069,0.34498,1.37404,0,0.2809,0.24624,2.8521,7.17006,-3.90748,2.35429,0.44252,-0.65618,8.38128,-6.41061,-7.17956
"21","2019_Q3",25.13265625,"Down",153523000,-84485000,69038000,-35159000,-1290000,-25992000,33879000,5022000,4303000,38901000,38901000,-1234000,37667000,37667000,29459000,29459000,108360000,108360000,42802000,42802000,16356000,16356000,167518000,14633000,62007000,470611000,406732000,63879000,547251000,714769000,24444000,6414000,18030000,377148000,377148000,401592000,401911000,667000,369066000,312858000,714769000,37667000,1290000,11123000,21835000,71915000,-2415000,9300000,6885000,-31803000,-39071000,39729000,39729000,-168000,39561000,35169000,0,55823000,0.44969,0.22068,0.19189,0.09416,0.04121,1.89494,0.41713,1.28464,0,0.59478,0.54119,3.09967,7.45153,1.12708,0.64211,0.19561,0.17825,1.07957,-3.08112,-3.19844
"22","2019_Q4",24.61609375,"Down",231700000,-141697000,90003000,-35720000,-1284000,-26592000,54283000,14301000,15733000,68584000,68584000,-13886000,54698000,54698000,40615000,40615000,48943000,48943000,96332000,96332000,28116000,28116000,173391000,14282000,159697000,458867000,393437000,65430000,632846000,806237000,71840000,6393000,65447000,369605000,369605000,441445000,441657000,412000,413936000,364580000,806237000,54698000,1284000,31643000,-28458000,59167000,-945000,-112345000,-85026000,-32585000,-33046000,-58905000,-58905000,-495000,-59400000,55567000,0,40050000,0.38845,0.23428,0.17529,0.1114,0.05038,0.986090000000001,0.39278,1.21141,0,0.78784,0.72664,4.49446,8.02943,0.77688,0.63208,0.20066,0.10979,0.802290000000001,-0.880789999999999,-0.90163
"23","2020_Q1",25.2156451612903,"Up",223528000,-172096000,51432000,-34680000,-1236000,-57127000,16752000,11549000,11549000,28301000,28301000,-1151000,27150000,27150000,21451000,21451000,167812000,167812000,45074000,45074000,23230000,23230000,236116000,13992000,213231000,608360000,400496000,207864000,835583000,1071699000,179238000,16107000,163131000,498634000,498634000,677872000,677872000,1432000,442827000,393827000,1071699000,27150000,1236000,6219000,165966000,200571000,-935000,-60582000,-42874000,-31056000,-40363000,117334000,117334000,1596000,118930000,17988000,0,184170000,0.23009,0.07494,0.09597,0.05447,0.02002,8.58561,0.34832,1.72124,0,0.41169,0.37888,4.28996,8.49876,3.5346,0.59603,0.13333,0.46764,1.44776,-9.32911,-10.01743
"24","2020_Q2",24.7055555555556,"Down",153706000,-95120000,58586000,-34144000,-1199000,-24553000,24442000,-1660000,-1660000,22782000,22782000,7344000,30126000,30126000,25130000,25130000,124158000,124158000,38351000,38351000,30869000,30869000,193378000,25934000,58881000,611493000,408095000,203398000,696308000,889686000,37202000,24778000,12424000,499928000,499928000,537130000,537130000,128000,415608000,352556000,889686000,30126000,1199000,34149000,-138567000,-73093000,-13139000,153097000,139958000,-88689000,-108506000,-41641000,-41641000,-2176000,-43817000,25641000,0,-133409000,0.38116,0.15902,0.16349,0.07128,0.02825,-5.30875,0.36002,1.52353,0,0.47715,0.44016,2.91848,7.89132,-2.53309,1.68398,0.32284,-0.37841,3.52921,-4.84217,-5.0797
"25","2020_Q3",25.08375,"Up",159938000,-149616000,10322000,-27474000,-1076000,-18835000,-17152000,-3277000,-3277000,-20429000,-20429000,11385000,-9044000,-9044000,-5732000,-5732000,92950000,92950000,45531000,45531000,25311000,25311000,163792000,33378000,138991000,637783000,437532000,200251000,810152000,973944000,95058000,10603000,84455000,518243000,518243000,613301000,613301000,50000,420677000,360643000,973944000,-9044000,1076000,24614000,59292000,75938000,-8519000,-80553000,-89272000,-17081000,-17743000,-31077000,-31077000,-7000,-31084000,-16076000,0,23312000,0.06454,-0.10724,-0.03584,-0.01589,-0.00589,-4.06699,0.26707,1.70058,0,-0.10193,-0.09612,2.84421,7.48097,0.41456,0.30375,0.03147,0.06464,-2.97994,5.78191,5.41919
"26","2020_Q4",32.48140625,"Up",207604000,-127148000,80456000,-28498000,-941000,-43512000,51958000,-1631000,-1631000,50327000,50327000,-8534000,41793000,41793000,32951000,32951000,85513000,85513000,65281000,65281000,27458000,27458000,178252000,4.2e+07,219534000,626135000,430279000,195856000,887669000,1065921000,127028000,10123000,116905000,524250000,524250000,651278000,651278000,-359000,468085000,414643000,1065921000,41793000,941000,43167000,14694999.9999999,100596000,-9551000,-80025000,-89576000,-17101000,-18053000,-7033000,-7033000,-489000,-7522000,52899000,0,66577000,0.38755,0.25027,0.15872,0.07947,0.03091,2.02048,0.2737,1.5707,0,0.57919,0.54019,3.64911,8.22765,1.17024,0.30059,0.12071,0.16056,0.518980000000001,-1.61653,-1.64581
"27","2021_Q1",45.3,"Up",422028000,-188919000,233109000,-26648000,-1492000,-25156000,206461000,10972000,10972000,217433000,217433000,-61870000,155563000,155563000,126482000,126482000,202477000,202477000,89297000,89297000,24727000,24727000,316501000,49977000,211826000,618140000,424345000,177069000,879943000,1196444000,245084000,25026000,220058000,310273000,310273000,555357000,751971000,-201000,479948000,444473000,1196444000,155563000,1492000,70746000,97973000,325774000,-9450000,8389000,-1061000,-160049000,-207488000,117225000,117225000,-90000,117135000,207953000,0,358346000,0.55235,0.48921,0.2997,0.28457,0.10571,2.83318,0.56991,1.69183,0,2.09146,1.9408,6.97849,7.93624,5.92547,2.64651,0.44695,0.55897,1.26539,-0.97367,-0.9807
"28","2021_Q2",47.4547619047619,"Up",263866000,-156499000,107367000,-34924000,-1449000,-33475000,72443000,3179000,3179000,75622000,75622000,176000,75798000,75798000,66529000,66529000,155402000,155402000,71824000,71824000,62184000,62184000,289410000,52067000,118427000,611193000,423281000,187912000,781687000,1071097000,84472000,24583000,59889000,526045000,526045000,610517000,610517000,-856000,481517000,460580000,1071097000,75798000,1449000,72742000,-172956000,-22967000,-3539000,94323000,90854000,-39685000,-113896000,-46009000,-46009000,-792000,-46801000,73892000,0,-102779000,0.4069,0.27454,0.25213,0.14445,0.06211,-1.54488,0.47404,1.32554,0,1.09184,1.00254,4.33043,7.90241,-1.68676,0.65129,0.23061,-0.22315,0.59651,-2.1031,-2.14516
"29","2021_Q3",53.6915625,"Up",360907000,-214017000,146890000,-28672000,-1637000,-27035000,118218000,2762000,2762000,120980000,120980000,-27778000,93202000,93202000,79341000,79341000,196451000,196451000,72212000,72212000,44545000,44545000,313208000,56992000,130369000,607445000,421384000,186061000,794806000,1108014000,194749000,7391000,187358000,528472000,528472000,723221000,723221000,954000,412196000,384793000,1108014000,93202000,1637000,27336000,132650000,254825000,-6562000,-9291000,-15853000,-178649000,-200361000,38611000,38611000,2434000,41045000,119855000,0,273721000,0.407,0.32756,0.21984,0.20619,0.07161,3.44993,0.43307,1.87951,0,1.3021,1.19561,5.92302,6.76475,4.49217,2.93189,0.67046,0.71135,2.25166,-1.63907,-1.66177
"30","2021_Q4",61.68921875,"Up",490821000,-307590000,183231000,-31083000,-1947000,-29136000,152148000,30435000,30435000,182583000,182583000,-42119000,140464000,140464000,120295000,120295000,278701000,278701000,100783000,100783000,47140000,47140000,426624000,56836000,338628000,597442000,417132000,163902000,992906000,1419530000,410914000,21019000,389895000,311517000,311517000,722431000,913638000,-1691000,516776000,505892000,1419530000,140464000,1947000,4892000,167976000,315279000,-1789000,-195445000,-168070000,-41255000,-61690000,85519000,85519000,-3314000,82205000,154095000,0,362401000,0.37332,0.30999,0.24509,0.23779,0.08474,3.0126,0.59054,1.80599,0,1.90869,1.76192,7.78773,8.19955,5.75012,0.65458,0.23175,0.51987,0.34295,-1.80863,-1.83178
"31","2022_Q1",48.9216129032258,"Down",425017000,-235803000,189214000,-36106000,-2209000,-33897000,153108000,4020000,4020000,157128000,157128000,-43614000,113514000,113514000,99048000,99048000,520213000,520213000,41870000,41870000,39998000,12300000,602081000,59163000,263341000,631096000,448123000,164083000,953600000,1555681000,573590000,69883000,503707000,503792000,499253000,1077382000,1077382000,-560000,489068000,478299000,1555681000,113514000,2209000,51514000,222606000,389843000,-4536000,80591000,76055000,-220374000,-226594000,239304000,239304000,1977000,241281000,155317000,0,417001000,0.44519,0.36024,0.23304,0.20708,0.06367,4.21009,0.55884,2.25253,0,1.57157,1.45072,6.74363,7.75991,6.61644,3.49662,0.66783,0.87184,2.22492,-3.34936,-3.39769
"32","2022_Q2",41.6879032258065,"Down",302088000,-176637000,125451000,-36024000,-2039000,-33985000,89427000,-2235000,-2235000,87192000,87192000,-13598000,73594000,73594000,65715000,65715000,130420000,130420000,39273000,39273000,38353000,38353000,208046000,59583000,228346000,601304000,422636000,160137000,889233000,1097279000,152269000,52316000,99952999.9999999,312688000,312688000,464957000,652364000,-1247000,437057000,444915000,1097279000,73594000,2039000,65944000,-414031000,-272454000,-2458000,29818000,27360000,-45647000,-143724000,-388818000,-388818000,-1141000,-389959000,91466000,0,-311425000,0.41528,0.29603,0.21754,0.1477,0.05989,-4.73902,0.44745,1.46627,0,1.02175,0.93533,4.69693,6.79546,-4.84211,0.709730000000001,0.17612,-0.49251,0.69462,-1.42589,-1.4584
"33","2022_Q3",40.5675,"Down",242520000,-140092000,102428000,-40229000,-1841000,-38388000,62199000,-3046000,-3046000,59153000,59153000,-15296000,43857000,43857000,38963000,38963000,138803000,138803000,50145000,50145000,46920000,46920000,235868000,58076000,191896000,630634000,428276000,157408000,880606000,1116474000,161021000,13250000,147771000,313941000,313941000,474962000,671333000,-5470000,435010000,445141000,1116474000,43857000,1841000,36159000,-24342000,57515000,-336000,33061000,32725000,-42490000,-77392000,12848000,12848000,-4469000,8379000,64040000,0,54658000,0.42235,0.25647,0.16066,0.08753,0.0349,1.40282,0.4966,1.50814,0,0.58776,0.55811,3.65845,6.56218,0.82452,0.64097,0.12697,0.0852,1.09052,-2.16744,-2.2316
