"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",155.630634920635,"Down",1.891e+09,-1.109e+09,7.82e+08,-3.06e+08,-2.39e+08,-6.7e+07,4.76e+08,-1.11e+08,-1.12e+08,1e+06,3.65e+08,-6e+06,3.59e+08,-8.9e+07,2.7e+08,2.7e+08,2.7e+08,2.7e+08,1.17e+08,1.17e+08,1.203e+09,1.203e+09,9.4e+07,9.2e+07,9.2e+07,1.506e+09,4.8e+08,1.3122e+10,7.98e+08,8.228e+09,1.3602e+10,1.5108e+10,1.329e+09,8.59e+08,4.7e+08,9e+08,2.229e+09,8.086e+09,1.629e+09,1.509e+09,1.2e+08,9.715e+09,1.1944e+10,2.352e+09,1e+06,2.351e+09,3.458e+09,-1.96e+08,3.164e+09,3.164e+09,1.5108e+10,2.7e+08,3.9e+08,-4.6e+07,3.93e+08,1.007e+09,-8.32e+08,-6e+06,-8.27e+08,-1.69e+08,-1.68e+08,-1e+06,-3.38e+08,-1.58e+08,-1.58e+08,-3e+06,-1.61e+08,8.66e+08,8.986e+09,5.16e+08,0.41354,0.25172,0.14278,0.08534,0.01787,1.91111,0.67564,3.77497,0.59478,3.23524,3.20669,22.65865,37.91219,6.1829,0.0196,0.03745,10.24134,18.63235
"33","2018_Q4",120.433015873016,"Down",2.116e+09,-1.178e+09,9.38e+08,-3.4e+08,-2.65e+08,-7.5e+07,5.98e+08,-1.18e+08,-1.18e+08,0,4.8e+08,-2e+07,4.6e+08,-1.27e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,6.5e+07,6.5e+07,1.438e+09,1.438e+09,1.04e+08,8.5e+07,8.5e+07,1.692e+09,5.29e+08,1.4133e+10,8.95e+08,8.925e+09,1.4662e+10,1.6354e+10,1.191e+09,6.88e+08,5.03e+08,8.96e+08,2.087e+09,9.182e+09,1.751e+09,1.628e+09,1.23e+08,1.0933e+10,1.302e+10,2.381e+09,1e+06,2.38e+09,3.791e+09,-1.78e+08,3.334e+09,3.334e+09,1.6354e+10,3.33e+08,4.18e+08,-9e+06,-2.68e+08,4.74e+08,-6.45e+08,-7.47e+08,-1.388e+09,1.074e+09,-2.11e+08,0,8.63e+08,-5.1e+07,-5.1e+07,-1e+06,-5.2e+07,1.016e+09,1.0078e+10,2.3e+08,0.44329,0.28261,0.15737,0.09988,0.02036,0.69069,0.81073,3.90522,0.61624,4.04401,4.00375,25.69708,40.48868,2.79316,0.02196,0.01517,9.85531,16.74415
"34","2019_Q1",123.491639344262,"Up",2.306e+09,-1.308e+09,9.98e+08,-3.97e+08,-3.02e+08,-9.5e+07,6.01e+08,-1.38e+08,-1.42e+08,4e+06,4.63e+08,-3.8e+07,4.25e+08,-1.15e+08,3.1e+08,3.1e+08,3.1e+08,3.1e+08,4.3e+07,4.3e+07,1.545e+09,1.545e+09,1.09e+08,6.4e+07,6.4e+07,1.761e+09,6.14e+08,1.5758e+10,1.084e+09,9.616e+09,1.6372e+10,1.8133e+10,1.213e+09,5.36e+08,6.77e+08,9.03e+08,2.116e+09,1.0844e+10,1.77e+09,1.687e+09,8.3e+07,1.2614e+10,1.473e+10,2.409e+09,1e+06,2.408e+09,4.101e+09,-2.37e+08,3.403e+09,3.403e+09,1.8133e+10,3.1e+08,4.7e+08,-1.8e+07,-3.2e+07,7.3e+08,1e+06,-2.161e+09,-2.158e+09,1.638e+09,-2.11e+08,-2.3e+07,1.404e+09,-2.4e+07,-2.4e+07,2e+06,-2.2e+07,1.071e+09,1.1747e+10,1.155e+09,0.43278,0.26062,0.13443,0.0911,0.0171,3.72581,0.83223,4.32853,0.64782,3.84845,3.80317,28.62747,42.246,14.33856,0.01832,0.06826,10.9281,19.47421
"35","2019_Q2",126.929682539683,"Up",2.117e+09,-1.356e+09,7.61e+08,-3.84e+08,-2.8e+08,-1.04e+08,3.77e+08,-1.48e+08,-1.51e+08,3e+06,2.29e+08,-9e+06,2.2e+08,-4.5e+07,1.75e+08,1.75e+08,1.75e+08,1.75e+08,5.2e+07,5.2e+07,1.487e+09,1.487e+09,1.23e+08,5.8e+07,5.8e+07,1.72e+09,5.8e+08,1.6286e+10,1.089e+09,1.0076e+10,1.6866e+10,1.8586e+10,1.308e+09,5.57e+08,7.51e+08,9.3e+08,2.238e+09,1.0676e+10,2.297e+09,1.714e+09,5.83e+08,1.2973e+10,1.5211e+10,2.395e+09,1e+06,2.394e+09,4.276e+09,-2.16e+08,3.375e+09,3.375e+09,1.8586e+10,1.75e+08,4.99e+08,-2.7e+07,2e+07,6.67e+08,-9.9e+07,-1.73e+08,-2.65e+08,-1.45e+08,-2.39e+08,-9e+06,-3.93e+08,9e+06,9e+06,0,9e+06,8.76e+08,1.1606e+10,8.42e+08,0.35947,0.17808,0.08266,0.05185,0.00942,4.81143,0.76854,4.50696,0.62445,2.204,2.18622,26.66213,42.50576,10.6044,0.01013,0.04873,13.1895,30.64721
"36","2019_Q3",121.24265625,"Down",2.29e+09,-1.379e+09,9.11e+08,-3.76e+08,-2.71e+08,-1.05e+08,5.35e+08,-1.78e+08,-1.8e+08,2e+06,3.57e+08,-6e+06,3.51e+08,-8.1e+07,2.7e+08,2.7e+08,2.7e+08,2.7e+08,7.5e+07,7.5e+07,1.525e+09,1.525e+09,1.35e+08,1.05e+08,1.05e+08,1.84e+09,5.78e+08,1.6629e+10,1.019e+09,1.0476e+10,1.7207e+10,1.9047e+10,1.54e+09,7.52e+08,7.88e+08,9.95e+08,2.535e+09,1.07e+10,2.334e+09,1.743e+09,5.91e+08,1.3034e+10,1.5569e+10,2.416e+09,1e+06,2.415e+09,4.546e+09,-1.94e+08,3.478e+09,3.478e+09,1.9047e+10,2.7e+08,5.04e+08,-1e+06,1.5e+08,9.23e+08,-7.23e+08,-21999999.9999998,-7.41e+08,5.6e+07,-2.05e+08,-1e+07,-1.59e+08,2.3e+07,2.3e+07,2.3283064365387e-10,2.3e+07,1.039e+09,1.1695e+10,5.47e+08,0.39782,0.23362,0.1179,0.07763,0.01418,2.02593,0.72584,4.47642,0.61401,3.45017,3.44243,29.26256,44.44331,6.98979,0.01542,0.03124,11.18383,21.71963
"37","2019_Q4",145.24203125,"Up",2.488e+09,-1.455e+09,1.033e+09,-3.75e+08,-2.73e+08,-1.02e+08,6.58e+08,-1.46e+08,-1.47e+08,1e+06,5.12e+08,-2e+06,5.1e+08,-1.19e+08,3.91e+08,3.91e+08,3.91e+08,3.91e+08,6e+07,6e+07,1.595e+09,1.595e+09,1.3e+08,9.6e+07,9.6e+07,1.881e+09,5.87e+08,1.6937e+10,9.61e+08,1.0833e+10,1.7524e+10,1.9405e+10,1.67e+09,8.39e+08,8.31e+08,9.73e+08,2.643e+09,1.0691e+10,2.421e+09,1.8e+09,6.21e+08,1.3112e+10,1.5755e+10,2.43e+09,1e+06,2.429e+09,4.937e+09,-2.17e+08,3.65e+09,3.65e+09,1.9405e+10,3.91e+08,5.19e+08,-1.12e+08,1.94e+08,9.92e+08,-6.96e+08,-5.2e+07,-7.43e+08,-5.5e+07,-2.1e+08,1e+06,-2.64e+08,-1.5e+07,-1.5e+07,0,-1.5e+07,1.177e+09,1.1664e+10,7.94e+08,0.41519,0.26447,0.15715,0.10712,0.02015,2.03069,0.71169,4.31644,0.60108,5.09945,5.0883,32.44865,47.60352,10.3554,0.02205,0.04477,9.85896,17.63526
"38","2020_Q1",132.561129032258,"Down",2.456e+09,-1.491e+09,9.65e+08,-3.64e+08,-2.68e+08,-9.6e+07,6.01e+08,-1.66e+08,-1.7e+08,4e+06,4.35e+08,-2e+06,4.33e+08,-9.5e+07,3.38e+08,3.38e+08,3.38e+08,3.38e+08,5.2e+07,5.2e+07,1.53e+09,1.53e+09,1.2e+08,1.4e+08,1.4e+08,1.842e+09,1.0391e+10,6.737e+09,8.95e+08,6.88e+08,1.7128e+10,1.897e+10,1.201e+09,4.54e+08,7.47e+08,9.97e+08,2.198e+09,1.0431e+10,2.511e+09,1.887e+09,6.24e+08,1.2942e+10,1.514e+10,2.441e+09,1e+06,2.44e+09,5.275e+09,-1.86e+08,3.83e+09,3.83e+09,1.897e+10,3.38e+08,5.16e+08,-4.7e+07,-3.65e+08,4.42e+08,3.6e+07,-2e+06,3.9e+07,-2.74e+08,-2.05e+08,-1e+07,-4.89e+08,-8e+06,-8e+06,-2247204.89051085,-8e+06,1.117e+09,1.1428e+10,8.83e+08,0.39292,0.24471,0.13762,0.08825,0.01782,2.61243,0.83803,3.953,0.60242,4.5048,4.47581,32.73314,51.04557,11.76847,0.01902,0.04969,10.18442,18.92845
"39","2020_Q2",126.863015873016,"Down",2.125e+09,-1.398e+09,7.27e+08,-3.67e+08,-2.67e+08,-1e+08,3.6e+08,-1.32e+08,-1.36e+08,4e+06,2.28e+08,-2e+06,2.26e+08,-5.3e+07,1.73e+08,1.73e+08,1.73e+08,1.73e+08,5.13e+08,5.13e+08,1.413e+09,1.413e+09,1.15e+08,1.73e+08,1.73e+08,2.214e+09,6e+08,1.6054e+10,8.23e+08,1.0109e+10,1.6654e+10,1.8868e+10,1.142e+09,4.84e+08,6.58e+08,8.54e+08,1.996e+09,1.0743e+10,2.494e+09,1.878e+09,6.16e+08,1.3237e+10,1.5233e+10,2.436e+09,1e+06,2.435e+09,5.448e+09,-2.92e+08,3.635e+09,3.635e+09,1.8868e+10,1.73e+08,5.26e+08,-7.1e+07,1.6e+07,6.44e+08,-4.4e+07,-5111088.29605558,-3.9e+07,1.42e+08,-2.75e+08,-9e+06,-1.42e+08,4.63e+08,4.63e+08,-2e+06,4.61e+08,8.86e+08,1.1597e+10,9.11e+08,0.34212,0.16941,0.08141,0.04759,0.00917,5.2659,1.10922,4.19065,0.61464,2.33654,2.32946,28.70031,49.09442,12.30399,0.00976,0.05139,12.51016,30.78889
"40","2020_Q3",168.1096875,"Up",1.939e+09,-1.238e+09,7.01e+08,-3.17e+08,-2.22e+08,-9.5e+07,3.84e+08,-1.3e+08,-1.3e+08,0,2.54e+08,-3e+06,2.51e+08,-3.9e+07,2.12e+08,2.12e+08,2.12e+08,2.12e+08,1.27e+08,1.27e+08,1.226e+09,1.226e+09,1.07e+08,1.62e+08,1.62e+08,1.622e+09,6.09e+08,1.5669e+10,7.61e+08,9.773e+09,1.6278e+10,1.79e+10,1.115e+09,3.16e+08,7.99e+08,8.06e+08,1.921e+09,9.599e+09,2.473e+09,1.82e+09,6.53e+08,1.2072e+10,1.3993e+10,2.451e+09,1e+06,2.45e+09,5.66e+09,-2.47e+08,3.907e+09,3.907e+09,1.79e+10,2.12e+08,4.9e+08,-5.9e+07,1.74e+08,8.17e+08,-7e+06,-2000000.00000001,-2e+06,-1.202e+09,0,-1e+06,-1.203e+09,-3.88e+08,-3.88e+08,2e+06,-3.86e+08,8.74e+08,1.0405e+10,1.08e+09,0.36153,0.19804,0.10933,0.05426,0.01184,5.09434,0.84435,3.58152,0.58128,2.93788,2.93328,26.87047,54.14282,14.96653,0.01263,0.06434,11.75973,26.76562
"41","2020_Q4",211.265625,"Up",2.187e+09,-1.301e+09,8.86e+08,-3.29e+08,-2.32e+08,-9.7e+07,5.57e+08,-2.76e+08,-2.78e+08,2e+06,2.81e+08,-6e+06,2.75e+08,-6.7e+07,2.08e+08,2.08e+08,2.08e+08,2.08e+08,1.74e+08,1.74e+08,1.324e+09,1.324e+09,1.08e+08,1.22e+08,1.22e+08,1.728e+09,9.639e+09,6.541e+09,7.01e+08,6.93e+08,1.618e+10,1.7908e+10,1.216e+09,5.41e+08,6.75e+08,7e+08,1.916e+09,9.351e+09,2.48e+09,1.818e+09,6.62e+08,1.1831e+10,1.3747e+10,2.464e+09,1e+06,2.463e+09,5.868e+09,-2.14e+08,4.161e+09,4.161e+09,1.7908e+10,2.08e+08,4.92e+08,8.8e+07,3.9e+07,8.27e+08,-2.65e+08,0,-2.45e+08,-5.18e+08,-5e+06,-1.3e+07,-5.36e+08,4.6e+07,4.6e+07,1e+06,4.7e+07,1.049e+09,1.0051e+10,8.9e+08,0.40512,0.25469,0.09511,0.04999,0.01161,4.27885,0.90188,3.30377,0.56126,2.88156,2.87055,30.29799,57.64515,12.32977,0.01246,0.05332,9.41563,17.7325
"42","2021_Q1",283.197049180328,"Up",2.279e+09,-1.41e+09,8.69e+08,-3.53e+08,-2.58e+08,-9.5e+07,5.16e+08,-1.23e+08,-1.25e+08,2e+06,3.93e+08,-6e+06,3.87e+08,-9e+07,2.97e+08,2.97e+08,2.97e+08,2.97e+08,2.02e+08,2.02e+08,1.315e+09,1.315e+09,1.25e+08,3.75e+08,3.75e+08,2.017e+09,9.309e+09,6.542e+09,6.48e+08,726000000.000001,1.5851e+10,1.7868e+10,1.186e+09,4.66e+08,7.2e+08,7.04e+08,1.89e+09,8.978e+09,2.455e+09,1.768e+09,6.87e+08,1.1433e+10,1.3323e+10,2.483e+09,1e+06,2.482e+09,6.165e+09,-1.46e+08,4.545e+09,4.545e+09,1.7868e+10,2.97e+08,4.8e+08,-5.4e+07,-3.53e+08,3.7e+08,5.8e+07,1.49011611938477e-08,6.3e+07,-4.07e+08,-5000000.00000001,0,-4.12e+08,20999999.9999999,20999999.9999999,7e+06,27999999.9999999,9.96e+08,9.682e+09,7.91e+08,0.38131,0.22642,0.13032,0.06535,0.01662,2.6633,1.0672,2.93135,0.54186,4.1109,4.08438,31.54456,62.90919,10.94855,0.0178,0.04742,9.51807,18.37209
"43","2021_Q2",322.910793650794,"Up",2.057e+09,-1.343e+09,7.14e+08,-3.41e+08,-2.5e+08,-9.1e+07,3.73e+08,-9.7e+07,-9.9e+07,2e+06,2.76e+08,-1e+06,2.75e+08,-7.2e+07,2.03e+08,2.03e+08,2.03e+08,2.03e+08,2.78e+08,2.78e+08,1.254e+09,1.254e+09,1.14e+08,3.58e+08,3.58e+08,2.004e+09,9.06e+09,6.478e+09,5.92e+08,7.19e+08,1.5538e+10,1.7542e+10,1.256e+09,5.62e+08,6.94e+08,5.85e+08,1.841e+09,8.497e+09,2.459e+09,1.773e+09,6.86e+08,1.0956e+10,1.2797e+10,2.474e+09,1e+06,2.473e+09,6.368e+09,-1.4e+08,4.745e+09,4.745e+09,1.7542e+10,2.03e+08,4.66e+08,-8.6e+07,1.75e+08,7.58e+08,-4e+07,-1e+06,-3.4e+07,-6.19e+08,-3e+07,3330782.15538924,-6.49e+08,7.5e+07,7.5e+07,1e+06,7.6e+07,8.39e+08,9.082e+09,1.046e+09,0.34711,0.18133,0.09869,0.04278,0.01157,5.15271,1.08854,2.69694,0.51773,2.80627,2.7933,28.43595,65.59485,14.4599,0.01246,0.06423,10.49344,23.60322
"44","2021_Q3",335.68078125,"Up",2.287e+09,-1.412e+09,8.75e+08,-3.91e+08,-3.01e+08,-9e+07,4.84e+08,-1.04e+08,-1e+08,-4e+06,3.8e+08,-3e+06,3.77e+08,-8.4e+07,2.93e+08,2.93e+08,2.93e+08,2.93e+08,3.36e+08,3.36e+08,1.4e+09,1.4e+09,1.74e+08,2.44e+08,2.44e+08,2.154e+09,1.0243e+10,7.244e+09,5.76e+08,8.23e+08,1.7487e+10,1.9641e+10,1.692e+09,8.97e+08,7.95e+08,8.52e+08,2.544e+09,9.308e+09,2.695e+09,1.911e+09,7.84e+08,1.2003e+10,1.4547e+10,2.507e+09,1e+06,2.506e+09,6.661e+09,-1.17e+08,5.094e+09,5.094e+09,1.9641e+10,2.93e+08,4.75e+08,-5.3e+07,4.61e+08,1.176e+09,-7.46e+08,-1.434e+09,-2.174e+09,1.049e+09,-2e+06,-4273988.22901957,1.047e+09,4.9e+07,4.9e+07,9e+06,5.8e+07,9.59e+08,1.016e+10,7.58e+08,0.3826,0.21163,0.12812,0.05752,0.01492,2.58703,0.8467,2.85571,0.51729,4.05043,4.0317,31.61547,70.41942,10.47859,0.01632,0.04223,10.244,20.29752
"45","2021_Q4",356.51140625,"Up",2.596e+09,-1.493e+09,1.103e+09,-4.24e+08,-3.26e+08,-9.8e+07,6.79e+08,-1.29e+08,-1.32e+08,3e+06,5.5e+08,0,5.5e+08,-1.41e+08,4.09e+08,4.09e+08,4.09e+08,4.09e+08,3.2e+08,3.2e+08,1.602e+09,1.602e+09,1.66e+08,1.12e+08,1.12e+08,2.2e+09,1.1167e+10,6.939e+09,6.62e+08,8.19e+08,1.8106e+10,2.0306e+10,1.864e+09,1.057e+09,8.07e+08,8.88e+08,2.752e+09,9.216e+09,2.855e+09,2.081e+09,7.74e+08,1.2071e+10,1.4823e+10,2.539e+09,1e+06,2.538e+09,7.07e+09,-1.69e+08,5.483e+09,5.483e+09,2.0306e+10,4.09e+08,5.1e+08,-2.5e+07,1.93e+08,1.087e+09,-1e+09,0,-9.95e+08,-9.4e+07,-1e+06,-8e+06,-1.03e+08,-1.1e+07,-1.1e+07,-5e+06,-1.6e+07,1.189e+09,1.0104e+10,5.23e+08,0.42488,0.26156,0.15755,0.07459,0.02014,1.27873,0.79942,2.70345,0.49759,5.64769,5.62756,35.84695,75.71217,7.22186,0.02218,0.02836,8.22876,14.40943
"46","2022_Q1",326.523709677419,"Down",2.776e+09,-1.615e+09,1.161e+09,-4.15e+08,-3.22e+08,-9.3e+07,7.46e+08,-1.01e+08,-9.3e+07,-8e+06,6.45e+08,-1e+06,6.44e+08,-1.63e+08,4.81e+08,4.81e+08,4.81e+08,4.81e+08,1.44e+08,1.44e+08,1.677e+09,1.677e+09,1.64e+08,1.66e+08,1.66e+08,2.151e+09,1.1172e+10,6.969e+09,6.15e+08,8.26e+08,1.8141e+10,2.0292e+10,1.697e+09,8.16e+08,8.81e+08,9.06e+08,2.603e+09,8.779e+09,2.919e+09,2.154e+09,7.65e+08,1.1698e+10,1.4301e+10,2.568e+09,1e+06,2.567e+09,7.551e+09,-1.71e+08,5.991e+09,5.991e+09,2.0292e+10,4.81e+08,5.32e+08,-1.35e+08,-2.1e+08,6.68e+08,-4.14e+08,-1000000.00000024,-4.08e+08,-4.34e+08,-1000000.00000001,0,-4.35e+08,-1.75e+08,-1.75e+08,-1e+06,-1.76e+08,1.278e+09,9.685e+09,8.17e+08,0.41823,0.26873,0.17327,0.08029,0.0237,1.69854,0.82635,2.38708,0.47728,6.63448,6.59808,38.28966,82.63448,11.26897,0.02587,0.04394,7.46557,12.78954
"47","2022_Q2",294.225,"Down",2.524e+09,-1.532e+09,9.92e+08,-4.2e+08,-3.23e+08,-9.7e+07,5.72e+08,-8.9e+07,-9.4e+07,5e+06,4.83e+08,-2848221.8045392,4.83e+08,-1.16e+08,3.67e+08,3.67e+08,3.67e+08,3.67e+08,1.01e+08,1.01e+08,1.607e+09,1.607e+09,1.79e+08,1.23e+08,1.23e+08,2.01e+09,1.1229e+10,6.93e+09,5.83e+08,8.3e+08,1.8159e+10,2.0169e+10,1.637e+09,8.28e+08,8.09e+08,9.6e+08,2.597e+09,8.528e+09,2.96e+09,2.188e+09,7.72e+08,1.1488e+10,1.4085e+10,2.536e+09,1e+06,2.535e+09,7.918e+09,-1.51e+08,6.084e+09,6.084e+09,2.0169e+10,3.67e+08,5.32e+08,-9.8e+07,8.5e+07,8.86e+08,-3.21e+08,-7.7e+07,-3.94e+08,-2.17e+08,-3.18e+08,3064150.19374926,-5.35e+08,-4.3e+07,-4.3e+07,6664294.30816821,-4.3e+07,1.104e+09,9.488e+09,9.84e+08,0.39303,0.22662,0.1454,0.06032,0.0182,2.6812,0.77397,2.31509,0.47042,5.06207,5.03429,34.81379,83.91724,13.57241,0.0198,0.0531,8.50272,16.41084
"48","2022_Q3",293.45275,"Down",2.771e+09,-1.621e+09,1.15e+09,-4.34e+08,-3.43e+08,-9.1e+07,7.16e+08,-1.07e+08,-1.13e+08,6e+06,6.09e+08,-1e+06,6.08e+08,-1.15e+08,4.93e+08,4.93e+08,4.93e+08,4.93e+08,6.8e+07,6.8e+07,1.744e+09,1.744e+09,1.99e+08,1.53e+08,1.53e+08,2.164e+09,1.167e+10,6.986e+09,5.33e+08,8.43e+08,1.8656e+10,2.082e+10,1.963e+09,1.065e+09,8.98e+08,6e+07,2.023e+09,9.761e+09,2.99e+09,2.204e+09,7.86e+08,1.2751e+10,1.4774e+10,2.571e+09,1e+06,2.57e+09,8.411e+09,-2.17e+08,6.046e+09,6.046e+09,2.082e+10,4.93e+08,5.48e+08,-5.2e+07,1.65e+08,1.154e+09,-7.72e+08,-2.35e+08,-9.98e+08,3.23e+08,-5.01e+08,-9e+06,-1.87e+08,-3.1e+07,-3.1e+07,-2e+06,-3.3e+07,1.264e+09,9.821e+09,7.72e+08,0.41501,0.25839,0.17791,0.08154,0.02368,1.56592,1.0697,2.4436,0.47171,6.8,6.76269,38.22069,83.3931,10.64828,0.02614,0.04094,7.71598,13.62151
