"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",69.6459016393443,"Down",893000,-19500000,-4372000,-15128000,-18607000,575000,-18032000,-18032000,-18032000,-18032000,-18032000,-18032000,99679000,49886000,2055000,1417000,101734000,3861000,1171000,1171000,5032000,106766000,17202000,3309000,13893000,9000,2318000,2318000,19529000,375000,8276000,8276000,8651000,28180000,296134000,-217545000,78586000,78586000,106766000,-18032000,432000,1325000,2463000,-13812000,-195000,-195000,-195000,20037000,-2000,139000,139000,137000,6362000,6362000,6362000,-18175000,384000,-0.22946,-0.16889,5.20938,0.35859,0.0036,-5.34976,-5.34976,0.26494,23.31502,-0.20668,5.46327,5.33643
"12","2019_Q2",69.631746031746,"Down",454000,-17427000,-4865000,-12562000,-16973000,512000,-16461000,-16461000,-16461000,-16461000,-16461000,-16461000,75866000,22129000,1897000,1259000,77763000,3897000,6768000,6768000,10665000,88428000,11718000,2632000,9086000,221000,3040000,3040000,14979000,1531000,7900000,7900000,9431000,24410000,298016000,-234006000,64018000,64018000,88428000,-16461000,517000,1503000,-5886000,-20327000,-591000,-591000,-591000,-4229000,-40000.0000000001,2999.99999999627,2999.99999999627,-115000,-24671000,-24671000,-24671000,-16456000,1752000,-0.25713,-0.18615,5.19147,0.3813,0.01981,-4.87497,-4.87497,0.13445,18.95912,-0.22344,4.50377,4.36658
"13","2019_Q3",94.43828125,"Up",462000,-20671000,-5196000,-15475000,-20209000,754000,-19455000,-19455000,-19455000,-19455000,-19455000,-19455000,121718000,101740000,2650000,2012000,124368000,5443000,22016000,22016000,27459000,151827000,11816000,1759000,10057000,226000,3290000,3290000,15332000,16955000,7625000,7625000,24580000,39912000,365372000,-253461000,111915000,111915000,151827000,-19455000,587000,2567000,-1798000,-18099000,-1320000,-1320000,-1320000,32682000,4584000,60366000,60366000,65028000,79611000,79611000,79611000,-19622000,17181000,-0.17384,-0.12814,8.11166,0.35663,0.11316,-4.66357,-4.66357,0.11075,26.82722,-0.1423,5.32754,5.17279
"14","2019_Q4",60.6578125,"Down",558000,-20947000,-5016000,-15931000,-20389000,596000,-19793000,-19793000,-19793000,-19793000,-19793000,-19793000,108138000,33364000,2882000,2244000,111020000,11147000,21664000,21664000,32811000,143831000,19247000,8043000,11204000,231000,3092000,3092000,22570000,19073000,7614000,7614000,26687000,49257000,367807000,-273254000,94574000,94574000,143831000,-19793000,582000,2898000,5089000,-11224000,-2570000,-2570000,-2570000,-57140000,-55000,42999.9999999851,42999.9999999851,-12000.0000000149,-68376000,-68376000,-68376000,-19807000,19304000,-0.20929,-0.13761,4.91892,0.52083,0.13421,-4.65817,-4.65817,0.13132,22.25744,-0.16292,4.48498,4.35696
"15","2020_Q1",67.8362903225807,"Up",508000,-20678000,-6401000,-14277000,-20170000,441000,-19729000,-19729000,-19729000,-19729000,-19729000,-19729000,91416000,41441000,3097000,2649000,114513000,15210000,20255000,20255000,35465000,149978000,16499000,5853000,10646000,1278000,5739000,5739000,23516000,24639000,22639000,22639000,47278000,70794000,372143000,-292983000,79184000,79184000,149978000,-19729000,835000,1942000,6349000,-10603000,-8047000,-8157000,-8157000,16953000,-4694000,5783000,5783000,1089000,7439000,7439000,7439000,-19335000,25917000,-0.24915,-0.13155,4.86958,0.89404,0.17281,-4.59728,-4.59728,0.11837,18.45158,-0.15445,3.38759,3.24735
"16","2020_Q2",89.7595238095238,"Up",2379000,-19718000,-5149000,-14569000,-17339000,113000,-17226000,-17226000,-17226000,-17226000,-17226000,-17226000,121876000,116873000,3819000,2184000,125695000,15756000,19949000,19949000,35705000,161400000,11479000,4636000,6843000,247000,8082000,8082000,19808000,44368000,20681000,20681000,65049000,84857000,386749000,-310209000,76543000,76543000,161400000,-17226000,678000,2515000,14279000,246000,-1797000,-1797000,-1797000,43203000,19656000,12037000,12037000,31693000,75142000,75142000,75142000,-16661000,44615000,-0.22505,-0.10673,6.34567,1.10862,0.27643,-3.92177,-3.92177,0.54162,17.42624,-0.12145,4.63724,4.45591
"17","2020_Q3",113.6078125,"Up",3187000,-19929000,-5133000,-14796000,-16742000,-454000,-17196000,-17196000,-17196000,-17196000,-17196000,-17196000,108674000,108674000,3775000,2166000,112451000,15361000,20004000,20004000,35365000,147816000,11524000,2803000,8721000,253000,11423000,11423000,23200000,45467000,16743000,16743000,62210000,85410000,389811000,-327405000,62406000,62406000,147816000,-17196000,692000,2869000,1204000,-12431000,-988000,-988000,-988000,4012000,-74000,294000,294000,220000,-8199000,-8199000,-8199000,-16050000,45720000,-0.27555,-0.11633,4.84703,1.36862,0.3093,-3.76286,-3.76286,0.69739,13.6558,-0.13771,3.92237,3.76024
"18","2020_Q4",91.24609375,"Down",3828000,-22825000,-5151000,-17674000,-18997000,-489000,-19486000,-19486000,-19486000,-19486000,-19486000,-19486000,93133000,93133000,5428000,3118000,98563000,15020000,19752000,19752000,34772000,133335000,15225000,4940000,10285000,259000,12579000,12579000,28063000,45114000,14218000,14218000,59332000,87395000,392831000,-346891000,45940000,45940000,133335000,-19486000,701000,2868000,662000.000000002,-15255000,-522000,-522000,-522000,-522000,-61000,296999.999999996,296999.999999996,236000.000000007,-15541000,-15541000,-15541000,-18296000,45373000,-0.42416,-0.14614,3.5122,1.90237,0.34029,-4.25563,-4.25563,0.83601,10.03304,-0.18465,2.61041,2.51408
"19","2021_Q1",103.887704918033,"Up",5699000,-34918000,-5892000,-29026000,-29219000,-536000,-29755000,-30130000,-30130000,-30130000,-30130000,-30130000,173984000,173984000,4566000,2242000,178557000,14213000,20480000,20480000,34693000,213250000,14687000,3603000,11084000,1728000,12209000,12209000,28624000,64485000,29588000,29588000,94073000,122697000,467518000,-377021000,90553000,90553000,213250000,-30130000,703000,3561000,-4058000,-29924000,-29000,-29000,-29000,-29000,19857000,91154000,91154000,110804000,80851000,80851000,80851000,-28516000,66213000,-0.33273,-0.14129,6.23802,1.35497,0.31049,-6.17488,-6.17488,1.16796,18.54657,-0.16168,3.77932,3.68839
"20","2021_Q2",59.1880952380952,"Down",4827000,-25768000,-5739000,-20029000,-20941000,-957000,-21898000,-14228000,-14228000,-14228000,-14228000,-14228000,222142000,222142000,4535000,1913000,226677000,13927000,20023000,20023000,33950000,260627000,12787000,3660000,9127000,1796000,12786000,12786000,27369000,64171000,19207000,19207000,83378000,110747000,541129000,-391249000,149880000,149880000,260627000,-14228000,666000,-4508000,-3920000,-21990000,-262000,-262000,-262000,-262000.000000001,-64000,70510000,70510000,70410000,48158000,48158000,48158000,-20275000,65967000,-0.09493,-0.05459,8.28225,0.7389,0.25311,-2.31803,-2.31803,0.78642,24.41852,-0.06053,7.70284,7.45786
"21","2021_Q3",48.81875,"Down",5162000,-31307000,-5521000,-25786000,-26145000,-956000,-27101000,-22490000,-22490000,-22490000,-22490000,-22490000,182029000,160915000,4178000,2001000,186207000,13784000,20479000,20479000,47527000,233734000,13634000,3671000,9963000,1866000,12123000,12123000,27623000,63853000,12281000,12281000,76134000,103757000,543735000,-413739000,129977000,129977000,233734000,-22490000,684000,-1899000,-2749000,-26454000,-428000,-428000,-428000,-34845000,-65000,137000,137000,72000,-61227000,-61227000,-61227000,-25461000,65719000,-0.17303,-0.09622,6.74101,0.79827,0.28117,-3.66408,-3.66408,0.841,21.17591,-0.10814,4.56816,4.44865
"22","2021_Q4",40.4890625,"Down",5697000,-32608000,-5346000,-27262000,-26911000,-952000,-27863000,-26027000,-26027000,-26027000,-26027000,-26027000,145584000,115420000,7687000,4055000,153271000,13458000,20197000,20197000,54772000,208043000,15947000,4108000,11839000,1938000,11995000,11995000,29880000,63529000,8574000,8574000,72103000,101983000,545770000,-439766000,106060000,106060000,208043000,-26027000,7e+05,607000,-3407000,-28127000,-310000,-391361.939822457,-391361.939822457,-17301000,-67000,0,0,-67000,-45495000,-45495000,-45495000,-26211000,65467000,-0.2454,-0.1251,5.12955,0.96156,0.31468,-4.17134,-4.17134,0.91306,16.98843,-0.14451,3.05662,2.97711
"23","2022_Q1",17.8846774193548,"Down",7802000,-33225000,-6430000,-26795000,-25423000,-955000,-26378000,-23813000,-23813000,-23813000,-23813000,-23813000,130369000,92302000,6216000,3237000,136585000,12844000,20468000,20468000,46350000,182935000,19316000,3692000,15624000,2011000,10181000,10668439.3908857,31508000,63180000,3029000,3029000,66209000,97717000,548876000,-463579000,85218000,85218000,182935000,-23813000,708000,662000,-526000,-22969000,-245000,-256403.052614291,-256403.052614291,-245000,-69000,170000,170000,96000,-23118000,-23118000,-23118000,-24715000,65191000,-0.27944,-0.13017,4.33493,1.14667,0.35636,-3.69029,-3.69029,1.20907,13.20621,-0.1552,2.63718,2.56374
"24","2022_Q2",9.35467741935484,"Down",5467000,-32120000,-6949000,-25171000,-26653000,-941000,-27594000,-25146000,-25146000,-25146000,-25146000,-25146000,110261000,69575000,6216000,3034000,116477000,12554000,20412000,20412000,35604000,152081000,16090000,2841000,13249000,3730000,7773000,7773000,27593000,61165000,581000,581000,61746000,89339000,551679000,-488725000,62742000,62742000,152081000,-25146000,681000,742000,-6294000,-30017000,-128000,-128000,-128000,7383000,-70000,1000,1000,-93000.0000000005,-22727000,-22727000,-22727000,-25972000,64895000,-0.40078,-0.16535,4.22125,1.42391,0.42671,-3.99598,-3.99598,0.86877,9.9607,-0.19612,1.74673,1.7021
"25","2022_Q3",8.12375,"Down",6276000,-40045000,-6945000,-33100000,-33769000,-868000,-34637000,-34481000,-34481000,-34481000,-34481000,-34481000,86284000,59064000,5661000,3369000,91945000,11994000,22295000,22295000,34289000,126234000,26603000,6124000,20479000,8733000,3591000,3591000,38927000,55863000,425000,425000,56288000,95215000,554476000,-523206000,31019000,31019000,126234000,-34481000,661000,2855000,4787000,-26178000,-111000,-111000,-111000,15889000,-72000,109000,109000,-222000,-10511000,-10511000,-10511000,-33108000,64596000,-1.11161,-0.27315,2.36199,3.06957,0.51172,-5.46784,-5.46784,0.99522,4.90902,-0.35903,0.65507,0.64225
