"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",70.9367741935484,"Up",577400000,-346900000,230500000,-49800000,-49800000,180700000,-16100000,-24100000,3700000,4400000,-1e+05,164600000,164600000,-73900000,90700000,90700000,-6e+05,90100000,-1e+05,9e+07,1.87e+08,1.87e+08,200800000,200800000,123600000,1.71e+08,35300000,682400000,5551600000,59700000,130500000,130500000,5741800000,6424200000,436300000,436300000,51800000,51800000,488100000,1.557e+09,1065900000,8.92e+08,173900000,2622900000,3.111e+09,6100000,917600000,1100000,916500000,2096200000,-2300000,3017600000,295600000,3313200000,6424200000,90700000,49800000,39700000,25700000,205900000,-95300000,-1600000,-96900000,-21500000,-14300000,2e+05,-27500000,81500000,81500000,81500000,230500000,1608800000,234800000,0.3992,0.31295,0.15587,0.02716,0.01401,2.60889,1.39807,0.93897,0.25043,0.82013,0.81724,5.26158,27.44239,2.13962,0.19592,5,0.01862,0.03921,0.23889,6.16833,7.86829
"12","2013_Q1",88.1685,"Up",568400000,-342900000,225500000,-51900000,-51900000,173600000,-21200000,-23800000,-1400000,4200000,-2e+05,152400000,150300000,-57800000,92500000,92500000,-7e+05,91800000,2.91038304567337e-11,91800000,72600000,72600000,183600000,183600000,125600000,140500000,48400000,522300000,5684800000,51500000,137300000,137300000,5873600000,6395900000,364600000,364600000,60200000,60200000,424800000,1547600000,1022800000,894200000,128600000,2570400000,2995200000,6100000,926400000,1100000,925300000,2166500000,-2400000,3096600000,304100000,3400700000,6395900000,92500000,51900000,65400000,-52600000,157200000,-218300000,-5399999.99999999,-223700000,-4.3e+07,-12200000,8e+05,-47900000,-114400000,-114400000,-114400000,225500000,1607800000,12400000,0.39673,0.30542,0.16151,0.02699,0.01435,0.135079999999999,1.22952,0.88076,0.25138,0.83608,0.83348,5.17678,28.14714,0.11293,0.39163,6,0.02235,0.00206,0.46841,6.80798,8.84332
"13","2013_Q2",98.465,"Up",552800000,-336800000,2.16e+08,-53100000,-53100000,162900000,-4400000,-23700000,13500000,5500000,3e+05,158500000,158500000,-54300000,104200000,104200000,-4e+05,103800000,-1e+05,103700000,63700000,63700000,202400000,202400000,140400000,136500000,48800000,5.43e+08,5745700000,56600000,128200000,128200000,5930500000,6473500000,356900000,356900000,162500000,162500000,519400000,1431100000,1035900000,909400000,126500000,2.467e+09,2986400000,6100000,931700000,1100000,930600000,2246600000,-1800000,3182600000,304500000,3487100000,6473500000,104200000,53100000,20300000,-5.2e+07,125600000,-109800000,-1.3e+07,-122800000,0,-14500000,4e+05,-11700000,-8900000,-8900000,-8900000,2.16e+08,1593600000,108500000,0.39074,0.29468,0.18759,0.02974,0.01602,1.04629,1.04544,0.85641,0.24617,0.94352,0.94046,5.02971,28.90171,0.9872,0,6,0.01695,0.01774,0,7.08287,9.39165
"14","2013_Q3",99.734375,"Up",579300000,-345300000,2.34e+08,-54700000,-54700000,179300000,-3.8e+07,-19200000,-22200000,3500000,-99999.9999999999,141300000,29900000,-14200000,15700000,15700000,-3e+05,15400000,0,15400000,3e+07,3e+07,199600000,199600000,139100000,1.75e+08,85900000,543700000,6063500000,3.8e+07,84700000,84700000,6186200000,6729900000,356300000,356300000,48300000,48300000,404600000,1765700000,1076300000,944300000,1.32e+08,2.842e+09,3246600000,6100000,936300000,1100000,935200000,2238200000,-2100000,3178500000,304800000,3483300000,6729900000,15700000,54700000,158300000,-27900000,200800000,-151800000,-169600000,-321400000,-23800000,2.15e+08,5e+05,86900000,-33700000,-33700000,-33700000,2.34e+08,1.814e+09,68500000,0.40394,0.30951,0.02658,0.00442,0.00229,4.44805,1.3438,0.93205,0.26954,0.14004,0.13959,5.26804,28.84918,0.62293,0.21643,4,0.00615,0.01075,1.54545,7.62393,9.9498
"15","2013_Q4",108.7315625,"Up",621600000,-364100000,257500000,-57200000,-57200000,200300000,-15600000,-18300000,-1400000,4800000,-7e+05,184700000,182300000,-63300000,1.19e+08,1.19e+08,-6e+05,118400000,-1e+05,118300000,95900000,95900000,211500000,211500000,135400000,174900000,78200000,617700000,6120400000,42600000,100300000,100300000,6263300000,6.881e+09,4.03e+08,4.03e+08,51800000,51800000,454800000,1728600000,1114900000,985400000,129500000,2843500000,3298300000,6100000,940400000,1100000,939300000,2332900000,-2100000,3277300000,305400000,3582700000,6.881e+09,1.19e+08,57200000,26200000,43700000,246100000,-1.14e+08,-5600000,-119600000,-23800000,-33600000,0,-60600000,65900000,65900000,65900000,257500000,1780400000,250500000,0.41425,0.32223,0.19032,0.03302,0.01719,2.1175,1.35818,0.92062,0.25874,1.07549,1.07182,5.65111,29.73926,2.27736,0.21637,6,0.02194,0.03867,0.20118,6.54175,8.40989
"16","2014_Q1",93.9381967213115,"Down",615600000,-361200000,254400000,-58300000,-58300000,196100000,-9800000,-19400000,4900000,5e+06,-3e+05,186300000,180900000,-66500000,114400000,114400000,-6e+05,113800000,1.45519152283669e-11,113800000,429500000,429500000,198300000,198300000,121300000,193300000,61700000,942400000,6356300000,41100000,95600000,95600000,6.493e+09,7435400000,398600000,398600000,3.32e+08,3.32e+08,730600000,1856900000,1171300000,1044600000,126700000,3028200000,3758800000,6100000,943600000,1100000,942500000,2422900000,-2e+06,3370600000,3.06e+08,3676600000,7435400000,114400000,58300000,25700000,27400000,225800000,-2.11e+08,-58500000,-269500000,-23600000,408300000,6e+05,377300000,333600000,333600000,333600000,254400000,2188900000,137300000,0.41326,0.31855,0.18486,0.03095,0.01531,1.2065,1.2899,1.02236,0.29439,1.03432,1.03081,5.59514,30.57969,1.24791,0.2145,6,0.01953,0.01951,0.20738,6.91588,8.97195
"17","2014_Q2",94.3387301587302,"Up",607400000,-355600000,251800000,-61900000,-61900000,189900000,-10400000,-18700000,3100000,5700000,-5e+05,179500000,1.43e+08,-4.9e+07,9.4e+07,9.4e+07,-3e+05,93700000,-1e+05,93600000,167500000,167500000,195600000,195600000,131800000,196800000,71200000,691700000,6540900000,40800000,87600000,87600000,6669300000,7.361e+09,374400000,374400000,199900000,24900000,574300000,1857300000,1190100000,1067400000,122700000,3047400000,3621700000,6100000,943300000,1100000,942200000,2485600000,-2e+06,3.433e+09,306300000,3739300000,7.361e+09,9.4e+07,61900000,29700000,-42300000,143300000,-96600000,-143300000,-239900000,-23800000,-140600000,2e+05,-165400000,-2.62e+08,-2.62e+08,-2.62e+08,251800000,2057200000,161900000,0.41455,0.31264,0.1541,0.02503,0.01272,1.7297,1.20442,0.96855,0.27947,0.85024,0.8478,5.5175,31.1293,1.47067,0.21619,6,0.0168,0.02317,0.25427,7.50477,9.95103
"18","2014_Q3",104.43609375,"Up",649700000,-371600000,278100000,-63900000,-63900000,214200000,-9500000,-17900000,5300000,5900000,-2800000,204700000,196300000,-66100000,130200000,130200000,-4e+05,129800000,0,129800000,190200000,190200000,213100000,213100000,125800000,179100000,55800000,708200000,6825800000,38900000,77800000,77800000,6942500000,7650700000,383200000,383200000,345800000,24800000,7.29e+08,1852400000,1227500000,1097900000,129600000,3079900000,3808900000,6100000,946500000,1100000,945400000,2584500000,-2e+06,3535100000,306700000,3841800000,7650700000,130200000,63900000,40700000,18200000,2.53e+08,-167800000,-171900000,-339700000,-3.1e+07,140600000,2e+05,109400000,22699999.9999999,22699999.9999999,22700000,278100000,2198200000,194600000,0.42804,0.32969,0.19978,0.03379,0.01697,1.49923,0.97147,0.99144,0.28732,1.17829,1.17576,5.89779,32.03522,1.76652,0.28141,7,0.02213,0.02678,0.23883,7.22042,9.37442
"19","2014_Q4",109.7253125,"Up",677500000,-383100000,294400000,-6.5e+07,-6.5e+07,229400000,-25800000,-17900000,-12500000,5e+06,-4e+05,203600000,203600000,-65200000,138400000,138400000,-3e+05,138100000,-1e+05,1.38e+08,285800000,285800000,208500000,208500000,122800000,163200000,47800000,780300000,6909400000,43300000,8.4e+07,8.4e+07,7036700000,7.817e+09,424100000,424100000,336800000,24800000,760900000,1846100000,1256900000,1.128e+09,128900000,3.103e+09,3863900000,6100000,950700000,1100000,949600000,2691600000,-2300000,3646100000,3.07e+08,3953100000,7.817e+09,138400000,6.5e+07,24700000,57400000,285500000,-132900000,-10300000,-143200000,-30900000,-16900000,9e+05,-46700000,95600000,95600000,95600000,294400000,2182900000,284100000,0.43454,0.3386,0.20369,0.03491,0.01765,2.0587,1.0255,0.97744,0.27925,1.25247,1.24954,6.14892,33.03625,2.57846,0.28045,6,0.02285,0.03843,0.22391,6.44395,8.26983
"20","2015_Q1",104.267213114754,"Down",642500000,-361300000,281200000,-67300000,-67300000,213900000,-43700000,-18300000,-31400000,4500000,1500000,170200000,170200000,-28500000,141700000,141700000,-7e+05,1.41e+08,2.91038304567337e-11,1.41e+08,3.48e+08,3.48e+08,181600000,181600000,1.11e+08,77600000,77600000,718200000,7154700000,36400000,67100000,67100000,7258200000,7976400000,423900000,423900000,474900000,24800000,898800000,1826500000,1.187e+09,1056200000,130800000,3013500000,3912300000,6100000,950900000,1100000,949800000,2801700000,-3200000,3755500000,308600000,4064100000,7976400000,141700000,67300000,58200000,-4.3e+07,224200000,-270900000,10800000,-260100000,-30900000,132500000,7e+05,98100000,62200000,62200000,62200000,281200000,2301400000,-4200000,0.43767,0.33292,0.21946,0.03469,0.01768,-0.0297900000000002,0.79907,0.96265,0.28853,1.27921,1.27612,5.82904,34.01619,-0.0381000000000005,0.28034,6,0.02276,-0.000559999999999998,0.21915,6.94666,9.1323
"21","2015_Q2",91.0780952380952,"Down",603100000,-346800000,256300000,-68500000,-68500000,187800000,-26600000,-18600000,-11600000,4400000,-8e+05,161200000,151600000,-50400000,101200000,101200000,-4e+05,100800000,-1e+05,100700000,38400000,38400000,204400000,204400000,127300000,145300000,61500000,515400000,7.306e+09,40100000,79100000,79100000,7425200000,7940600000,390300000,390300000,268100000,55100000,658400000,1833600000,1310100000,1164700000,145400000,3143700000,3802100000,6100000,9.61e+08,1100000,959900000,2.866e+09,-3600000,3829500000,3.09e+08,4138500000,7940600000,101200000,68500000,36300000,-43500000,162500000,-177100000,-56700000,-233800000,-3.1e+07,-214800000,3900000,-238300000,-309600000,-309600000,-309600000,256300000,2101700000,86100000,0.42497,0.31139,0.16697,0.02433,0.01268,0.85501,0.78281,0.91871,0.26468,0.91289,0.91109,5.46737,34.66082,0.78053,0.28103,5,0.01744,0.0114,0.30785,8.05033,10.98669
"22","2015_Q3",87.36640625,"Down",585800000,-328200000,257600000,-70800000,-70800000,186800000,-24400000,-17700000,-10500000,5e+06,-1200000,162400000,162400000,-50200000,112200000,112200000,-4e+05,111800000,0,111800000,50900000,50900000,195300000,195300000,134100000,143200000,7.2e+07,523500000,7419100000,36600000,73100000,73100000,7528800000,8052300000,384100000,384100000,317100000,25200000,701200000,1828500000,1325100000,1179400000,145700000,3153600000,3854800000,6100000,963200000,1100000,962100000,2922600000,-3800000,3888100000,309400000,4197500000,8052300000,112200000,70800000,45500000,6500000,2.35e+08,-183100000,-26600000,-209700000,-36500000,43500000,-20600000,-12800000,12500000.0000001,12500000.0000001,12499999.9999999,257600000,2145600000,131200000,0.43974,0.31888,0.19085,0.02663,0.01388,1.17352,0.74658,0.91836,0.26646,1.01329,1.01163,5.30933,35.18408,1.18912,0.33081,5,0.01934,0.01711,0.32648,8.1316,11.2136
"23","2015_Q4",79.344375,"Down",631900000,-340600000,291300000,-71400000,-71400000,219900000,-4.8e+07,-21900000,-3e+07,5e+06,-1100000,171900000,171900000,-4e+07,131900000,131900000,-3e+05,131600000,-1e+05,131500000,116600000,116600000,196300000,196300000,127700000,140900000,71100000,581500000,7616500000,4e+07,84500000,84500000,7.741e+09,8322500000,440100000,440100000,25300000,25300000,465400000,2319500000,1353300000,1210400000,142900000,3672800000,4138200000,6100000,959800000,1100000,958700000,2913300000,-4600000,3874600000,309700000,4184300000,8322500000,131900000,71400000,40400000,3e+07,273700000,-162600000,-87900000,-250500000,-36500000,199300000,-115400000,42500000,65700000,65700000,65700000,291300000,2344800000,198700000,0.46099,0.348,0.2081,0.03143,0.0158,1.51103,1.24946,0.98898,0.28174,1.19881,1.19653,5.76068,35.26693,1.81144,0.33275,6,0.02131,0.02521,0.27757,7.64916,10.13279
"24","2016_Q1",72.8345901639344,"Down",5.98e+08,-305200000,292800000,-73900000,-73900000,218900000,-24600000,-23700000,-4500000,3900000,-3e+05,194300000,186700000,-46700000,1.4e+08,1.4e+08,-7e+05,139300000,1.45519152283669e-11,139300000,136600000,136600000,171900000,171900000,137900000,90600000,90600000,5.37e+08,7705400000,34700000,63900000,63900000,7.804e+09,8.341e+09,401500000,401500000,356100000,276100000,757600000,2.045e+09,1313700000,1191100000,122600000,3358700000,4116300000,6100000,948200000,1100000,947100000,2964700000,-4700000,3914300000,310400000,4224700000,8.341e+09,1.4e+08,73900000,68500000,-44400000,2.38e+08,-160600000,-17700000,-1.79e+08,-36100000,74800000,-57900000,-3.9e+07,2e+07,2e+07,2e+07,292800000,2401100000,134500000,0.48963,0.36605,0.23294,0.03297,0.0167,0.96554,0.70882,0.97434,0.28787,1.28386,1.28131,5.51147,36.01994,1.23962,0.33272,5,0.02209,0.01694,0.25915,7.73395,10.34491
"25","2016_Q2",85.30984375,"Up",562700000,-300500000,262200000,-74300000,-74300000,187900000,-2.3e+07,-23600000,-3500000,3900000,2e+05,164900000,164900000,-56800000,108100000,108100000,-3e+05,107800000,-1e+05,107700000,39200000,39200000,175400000,175400000,141100000,95800000,95800000,451500000,7757100000,38200000,69200000,69200000,7864500000,8.316e+09,350900000,350900000,329800000,275800000,680700000,2038800000,1344400000,1.228e+09,116400000,3383200000,4063900000,6100000,948600000,1100000,947500000,2991500000,-4800000,3941400000,310700000,4252100000,8.316e+09,108100000,74300000,-25900000,3500000,1.6e+08,-120900000,-15600000,-136500000,-35800000,-33900000,-5.1e+07,-120900000,-97400000,-97400000,-97400000,262200000,2368600000,201600000,0.46597,0.33393,0.1914,0.02533,0.01295,1.87187,0.66329,0.95574,0.28482,0.9967,0.99469,5.20744,36.41874,1.86568,0.33131,6,0.01802,0.02531,0.3324,8.88406,12.39702
"26","2016_Q3",89.08296875,"Up",568500000,-272900000,295600000,-75700000,-75700000,219900000,-46100000,-24400000,-2.4e+07,3e+06,-7e+05,173800000,173800000,-53300000,120500000,120500000,-4e+05,120100000,0,120100000,293600000,293600000,176900000,176900000,141200000,112100000,112100000,723800000,7847800000,34700000,71100000,71100000,7953600000,8677400000,405200000,405200000,275500000,275500000,680700000,2281800000,1383200000,1268700000,114500000,3.665e+09,4345700000,6100000,951400000,1100000,950300000,3068500000,-5400000,4020600000,311100000,4331700000,8677400000,120500000,75700000,38400000,23500000,258100000,-135600000,-11200000,-146800000,-35800000,189300000,-7999999.99999999,143100000,254400000,254400000,254400000,295600000,2557300000,236800000,0.51996,0.38681,0.21126,0.02773,0.01384,1.97169,1.06332,1.00323,0.29471,1.11493,1.113,5.27757,37.26792,2.19829,0.33234,6,0.01885,0.02863,0.29808,7.65798,10.29422
