"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",3.85761904761905,"Up",-3695000,-1568000,-2127000,-3624000,90000,90000,90000,-3534000,-3534000,-3534000,-3534000,-3534000,-3534000,15137000,15137000,419000,369000,15556000,88000,276000,276000,364000,15920000,726000,242000,484000,898000,1014000,140402000,-125496000,14906000,14906000,15920000,-3534000,10000,726000,-956000,-3754000,-42000,-42000,-42000,-42000,-3796000,-3796000,-3796000,-3614000,0,-0.23709,-0.22198,17.32294,0.06803,0,-0.23907,-0.23907,1.00839,-0.23525,4.18843,4.17688
"12","2019_Q3",4.35640625,"Up",-3770000,-1713000,-2057000,-3720000,86000,86000,86000,-3634000,-3634000,-3634000,-3634000,-3634000,-3634000,19118000,19118000,337000,304000,19473000,86000,242000,242000,328000,19801000,1107000,211000,896000,1266000,1344000,147587000,-129130000,18457000,18457000,19801000,-3634000,11000,821000,395000,-2407000,-9000,-9000,-9000,-9000,3981000,3981000,3981000,-3709000,1.77635683940025e-15,-0.19689,-0.18353,15.38152,0.07282,2.64697796016969e-23,-0.23558,-0.23558,1.19649,-0.19606,5.15449,5.13925
"13","2019_Q4",3.1790625,"Down",-3225000,-1479000,-1746000,-3175000,89000,89000,89000,-3086000,-3086000,-3086000,-3086000,-3086000,-3086000,16800000,16800000,179000,179000,17166000,74000,209000,209000,283000,17449000,1093000,205000,888000,1240000,1280000,148385000,-132216000,16169000,16169000,17449000,-3086000,12000,832000,-76000,-2318000,0,0,0,0,-2318000,-2318000,-2318000,-3163000,0,-0.19086,-0.17686,13.84355,0.07916,0,-0.18609,-0.18609,0.97503,-0.19039,5.31141,5.29134
"14","2020_Q1",4.09741935483871,"Up",-3215000,-1397000,-1818000,-3106000,60000,60000,60000,-3046000,-3046000,-3046000,-3046000,-3046000,-3046000,14871000,14871000,132000,132000,15003000,63000,174000,174000,237000,15240000,1279000,315000,964000,1468000,1468000,149034000,-135262000,13772000,13772000,15240000,-3046000,11000,684000,422000,-1929000,-4.54747350886464e-13,-2.27373675443232e-13,-2.27373675443232e-13,-4.54747350886464e-13,-1929000,-1929000,-1929000,-3095000,-1.4210854715202e-14,-0.22117,-0.19987,10.22003,0.10659,-4.2351647362715e-22,-0.18331,-0.18331,0.82879,-0.22117,4.80485,4.78783
"15","2020_Q2",6.8547619047619,"Up",-3732000,-1670000,-2062000,-3683000,38000,38000,38000,-3645000,-3645000,-3645000,-3645000,-3645000,-3645000,11390000,11390000,118000,118000,11508000,56000,588000,588000,644000,12152000,977000,548000,429000,1093000,1093000,149966000,-138907000,11059000,11059000,12152000,-3645000,10000,804000,-811000,-3642000,-3000,-3000,-3000,-3000,-3481000,-3481000,-3481000,-3673000,0,-0.3296,-0.29995,10.52882,0.09883,0,-0.21748,-0.21748,0.65984,-0.3296,3.10101,3.09259
"16","2020_Q3",10.52171875,"Up",-3781000,-1695000,-2086000,-3781000,2000,2000,2000,-3779000,-3779000,-3779000,-3779000,-3779000,-3779000,17965000,17965000,255000,255000,18220000,53000,552000,552000,605000,18825000,1169000,586000,583000,1247000,1247000,160264000,-142686000,17578000,17578000,18825000,-3779000,11000,802000,17000,-2949000,-8000,-8000,-8000,-8000,6575000,6575000,6575000,-3770000,-2.27373675443232e-13,-0.21498,-0.20074,14.61107,0.07094,0,-0.21025,-0.21025,0.97797,-0.21498,4.76525,4.75139
"17","2020_Q4",10.44859375,"Down",-3579000,-1530000,-2049000,-3579000,1000,1000,1000,-3578000,-3578000,-3578000,-3578000,-3578000,-3578000,25297000,25297000,181000,181000,25478000,87000,1198000,1198000,1285000,26763000,1308000,563000,745000,1400000,2031000,170996000,-146264000,24732000,24732000,26763000,-3578000,11000,864000,177000,-2526000,-45000,-45000,-45000,-45000,7332000,7332000,7332000,-3568000,0,-0.14467,-0.13369,18.19857,0.08212,0,-0.18491,-0.18491,1.27814,-0.14107,7.08997,7.06818
"18","2021_Q1",29.2534426229508,"Up",-3877000,-1650000,-2227000,-3877000,1000,1000,1000,-3876000,-3876000,-3876000,-3876000,-3876000,-3876000,37942000,37942000,132000,132000,38074000,153000,1168000,1168000,1321000,39395000,1358000,442000,916000,1448000,2050000,187485000,-150140000,37345000,37345000,39395000,-3876000,9000,850000,66999.9999999999,-2950000,-75000,-75000,-75000,-75000,12645000,12645000,12645000,-3868000,3.63797880709171e-12,-0.10379,-0.09839,26.2942,0.05489,1.0842021724855e-19,-0.18524,-0.18524,1.78479,-0.10214,9.8092,9.78643
"19","2021_Q2",20.5428571428571,"Down",-4008000,-1779000,-2229000,-3608000,2000,2000,2000,-3606000,-3606000,-3620000,-3620000,-3620000,-3620000,36738000,36738000,811000,811000,37615000,164000,1510000,1510000,1674000,39289000,992000,508000,484000,1187000,2075000,190974000,-153760000,37214000,37214000,39289000,-3620000,13000,771000,-1102000,-3938000,-24000,-24000,-24000,-24000,-1204000,-1204000,-1204000,-3595000,0,-0.09728,-0.09214,31.68913,0.05576,0,-0.16388,-0.16388,1.68465,-0.09501,10.21919,10.18237
"20","2021_Q3",21.69328125,"Up",-3712000,-1643000,-2069000,-3712000,3000,3000,3000,-3709000,-3709000,-3726000,-3726000,-3726000,-3726000,34341000,34341000,659000,659000,3.5e+07,206000,1462000,1462000,1668000,36668000,917000,411000,506000,1130000,1979000,192175000,-157486000,34689000,34689000,36668000,-3726000,13000,895000,122000,-2696000,-55000,-55000,-55000,-55000,-2397000,-2397000,-2397000,-3699000,5.82076609134674e-11,-0.10741,-0.10161,30.97345,0.05705,-1.73472347597681e-18,-0.16867,-0.16867,1.57035,-0.10485,9.28386,9.25135
"21","2021_Q4",23.49125,"Up",-4136000,-1904000,-2232000,-4136000,-50000,-50000,-2049.8156396775,-4186000,-4186000,-4203000,-4203000,-4203000,-4203000,31789000,31789000,429000,429000,32218000,208000,7225000,7225000,7433000,39651000,1070000,321000,749000,2905000,8169000,193171000,-161689000,31482000,31482000,39651000,-4203000,21000,1067000,345000,-2770000,-23000,-68343.639999434,-68343.639999434,-23000,-2552000,-2552000,-2552000,-4115000,0,-0.1335,-0.106,11.09053,0.25948,0,-0.18574,-0.18574,1.39122,-0.11438,7.72515,7.68593
"22","2022_Q1",14.9674193548387,"Down",-4073000,-1824000,-2249000,-4073000,-74000,-74000,-5731.70086161295,-4147000,-4147000,-4165000,-4165000,-4165000,-4165000,28699000,28699000,309000,309000,29008000,196000,6856000,6856000,7052000,36060000,1142000,338000,804000,2753000,7679000,194235000,-165854000,28381000,28381000,36060000,-4165000,20000,958000,150000,-3037000,-7000,-46164.1345450943,-46164.1345450943,-7000,-3090000,-3090000,-3090000,-4053000,4158000,-0.14675,-0.1155,10.53687,0.27057,0.11531,-0.18406,-0.18406,1.25419,-0.12505,6.05502,6.02529
"23","2022_Q2",11.0101612903226,"Down",-4312000,-1973000,-2339000,-4018000,-68000,-68000,3000,-4086000,-4086000,-4086000,-4086000,-4086000,-4086000,24451000,24451000,846000,846000,25597000,192000,6487000,6487000,6679000,32276000,881000,380000,501000,2494000,7089000,195127000,-169940000,25187000,25187000,32276000,-4086000,20000,1095000,-1140000,-4111000,-16000,-16000,-16000,-16000,-4248000,-4248000,-4248000,-3998000,0,-0.16223,-0.1266,10.26343,0.28145,0,-0.1796,-0.1796,1.10707,-0.1372,6.11581,6.08537
"24","2022_Q3",11.828125,"Up",-4447000,-2014000,-2433000,-4447000,-34000,-34000,35000,-4481000,-4481000,-4481000,-4481000,-4481000,-4481000,21838000,21838000,650000,650000,22488000,176000,6118000,6118000,6294000,28782000,1157000,434000,723000,2795000,7032000,196171000,-174421000,21750000,21750000,28782000,-4481000,19000,1227000,731000,-2504000,-3000,-3000,-3000,-3000,-2613000,-2613000,-2613000,-4428000,0,-0.20602,-0.15569,8.0458,0.32331,0,-0.19537,-0.19537,0.94829,-0.17243,4.9318,4.91073
