"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",88.13734375,"Up",3.23e+08,-9e+06,3.14e+08,-2.14e+08,-1.59e+08,-1.4e+07,-4.1e+07,1e+08,-2e+06,-2e+06,9.8e+07,9.8e+07,-3e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.38e+08,5.87e+08,3.2e+07,3.2e+07,8.55e+08,1.41e+08,7.52e+08,1.13e+08,6.07e+08,3.2e+07,9.76e+08,1.831e+09,2.52e+08,2.7e+07,2.25e+08,6.1e+07,6.1e+07,3.86e+08,1.39e+08,2.8e+07,1.11e+08,4.19e+08,8.05e+08,6.33e+08,5.38e+08,1.026e+09,1.026e+09,1.831e+09,6.8e+07,1.4e+07,9e+06,1.5e+07,6.7e+07,6.7e+07,1.58e+08,-2.2e+07,-2.2e+07,1.17e+08,-9e+06,-1e+06,-1e+07,2.65e+08,2.65e+08,3e+06,2.68e+08,1.14e+08,3.53e+08,1.89e+08,0.97214,0.3096,0.21053,0.06628,0.03714,2.77941,2.21503,0.7846,0.19279,0.47652,0.46645,2.26347,7.18986,1.32445,0.0448,0.12451,-2.5,-2.85
"12","2014_Q4",69.4740625,"Down",3.54e+08,-1.1e+07,3.43e+08,-2.59e+08,-1.95e+08,-1.8e+07,-4.6e+07,8.4e+07,-9e+06,-2e+06,7.5e+07,7.5e+07,-2.1e+07,5.4e+07,5.4e+07,5.4e+07,5.4e+07,5.76e+08,4.91e+08,3.6e+07,3.6e+07,7.92e+08,1.61e+08,9.65e+08,2e+08,7.28e+08,3.7e+07,1.164e+09,1.956e+09,2.81e+08,1.8e+07,2.63e+08,6e+07,6e+07,4.17e+08,1.83e+08,4.9e+07,1.34e+08,4.53e+08,8.7e+08,6.53e+08,5.92e+08,1.086e+09,1.086e+09,1.956e+09,5.4e+07,1.8e+07,1.6e+07,1.7e+07,-2.9e+07,-2.9e+07,5.9e+07,-1.3e+07,-1.3e+07,-1.35e+08,-5e+06,-6e+06,-1.1e+07,-8.7e+07,-8.7e+07,-9e+06,-96000000.0000001,1.02e+08,3.46e+08,8.1e+07,0.96893,0.23729,0.15254,0.04972,0.02761,1.5,1.89928,0.8011,0.17689,0.37804,0.36968,2.47826,7.60281,0.56706,0.03344,0.05015,-2.2549,-2.7381
"13","2015_Q1",69.9714754098361,"Up",2.88e+08,-1.2e+07,2.76e+08,-2.16e+08,-1.49e+08,-2.1e+07,-4.6e+07,6e+07,-5e+06,-3e+06,5.5e+07,5.5e+07,-1.9e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,5.63e+08,4.55e+08,2.3e+07,2.3e+07,7.37e+08,1.95e+08,9.85e+08,2.14e+08,7.34e+08,3.7e+07,1.211e+09,1.948e+09,2.46e+08,1.9e+07,2.27e+08,5.7e+07,5.7e+07,3.81e+08,1.83e+08,2.9e+07,1.54e+08,4.42e+08,8.23e+08,6.73e+08,6.28e+08,1.125e+09,1.125e+09,1.948e+09,3.6e+07,2.1e+07,3.3e+07,1.7e+07,-9e+06,-9e+06,8.1e+07,-2.6e+07,-2.6e+07,-8.8e+07,-8e+06,-1.9e+07,-2.6e+07,-3.3e+07,-3.3e+07,-3e+06,-3.6e+07,8.1e+07,3.37e+08,6.5e+07,0.95833,0.20833,0.125,0.032,0.01848,1.80556,1.93438,0.73156,0.173,0.25185,0.24711,2.0148,7.87033,0.45473,0.02188,0.03951,-2.79012,-3.76667
"14","2015_Q2",72.3849206349206,"Up",3.63e+08,-1.3e+07,3.5e+08,-2.6e+08,-1.9e+08,-2.1e+07,-4.9e+07,9e+07,-4e+06,-2e+06,8.6e+07,8.6e+07,-2.3e+07,6.3e+07,6.3e+07,6.3e+07,6.3e+07,6.23e+08,5.05e+08,4.2e+07,4.2e+07,8.94e+08,2.26e+08,9.55e+08,1.96e+08,7.2e+08,3.9e+07,1.2e+09,2.094e+09,2.95e+08,2.6e+07,2.69e+08,7.7e+07,7.7e+07,4.52e+08,2.13e+08,3.9e+07,1.74e+08,4.63e+08,9.15e+08,6.92e+08,6.91e+08,1.179e+09,1.179e+09,2.094e+09,6.3e+07,2.1e+07,1.4e+07,1.6e+07,999999.999999993,999999.999999993,9.9e+07,-3.1e+07,-3.1e+07,-3.4e+07,-8e+06,-3e+06,-3e+06,6.2e+07,6.2e+07,-1.2e+07,5e+07,1.11e+08,3.3e+08,1.04e+08,0.96419,0.24793,0.17355,0.05344,0.03009,1.65079,1.97788,0.77608,0.15759,0.44011,0.43189,2.53589,8.2364,0.72654,0.03659,0.06039,-2.63964,-3.25556
"15","2015_Q3",67.36171875,"Down",4.05e+08,-1.6e+07,3.89e+08,-3.1e+08,-2.37e+08,-2.3e+07,-5e+07,7.9e+07,3e+06,-2e+06,8.2e+07,8.2e+07,-2.4e+07,5.8e+07,5.8e+07,5.8e+07,5.8e+07,7.11e+08,5.83e+08,5.8e+07,3.4e+07,1.012e+09,2.47e+08,9.83e+08,1.99e+08,7.43e+08,4.1e+07,1.265e+09,2.277e+09,4.33e+08,3.8e+07,3.95e+08,8.8e+07,8.8e+07,5.22e+08,2.27e+08,4.9e+07,1.78e+08,5.14e+08,1.036e+09,6.87e+08,7.49e+08,1.241e+09,1.241e+09,2.277e+09,5.8e+07,2.3e+07,-1e+06,1.8e+07,1.2e+08,1.2e+08,2e+08,-2.3e+07,-2.3e+07,-7.3e+07,-4.2e+07,-1.7e+07,-5.8e+07,6.9e+07,6.9e+07,9e+06,7.8e+07,1.02e+08,2.88e+08,2.23e+08,0.96049,0.19506,0.14321,0.04674,0.02547,3.84483,1.9387,0.83481,0.12648,0.40359,0.39737,2.8182,8.63551,1.55175,0.03303,0.12699,-4.14706,-5.35443
"16","2015_Q4",71.8503125,"Up",4.15e+08,-1.7e+07,3.98e+08,-3.1e+08,-2.33e+08,-2.4e+07,-5.3e+07,8.8e+07,9e+06,-3e+06,9.7e+07,9.7e+07,-2.3e+07,7.4e+07,7.4e+07,7.4e+07,7.4e+07,6.86e+08,5.67e+08,3.3e+07,3.3e+07,9.43e+08,2.47e+08,9.64e+08,1.86e+08,7.35e+08,4.3e+07,1.255e+09,2.198e+09,2.88e+08,1.7e+07,2.71e+08,6.7e+07,6.7e+07,3.56e+08,2.29e+08,4.2e+07,1.87e+08,5.16e+08,8.72e+08,7.07e+08,8.23e+08,1.326e+09,1.326e+09,2.198e+09,7.4e+07,2.4e+07,3.2e+07,1.8e+07,-9e+07,-9e+07,4e+07,-3.9e+07,-3.9e+07,-1.9e+07,-7.45058059692383e-09,-3.3e+07,-3.2e+07,-1.1e+07,-1.1e+07,-5e+06,-1.6e+07,1.12e+08,2.88e+08,6e+06,0.95904,0.21205,0.17831,0.05581,0.03367,0.0810799999999992,2.64888,0.65762,0.13103,0.51341,0.50745,2.87929,9.19984,0.0416300000000003,0.04015,0.00326000000000001,-3.55357,-4.52273
"17","2016_Q1",58.9350819672131,"Down",3.09e+08,-1.2e+07,2.97e+08,-3.22e+08,-2.42e+08,-2.5e+07,-5.5e+07,-2.5e+07,-1e+06,-3e+06,-2.6e+07,-2.6e+07,2.9e+07,3e+06,3e+06,3e+06,3e+06,6.61e+08,6.14e+08,2.4e+07,2.4e+07,8.65e+08,2.47e+08,9.79e+08,1.76e+08,7.32e+08,4.6e+07,1.263e+09,2.128e+09,2.47e+08,1e+07,2.37e+08,6.4e+07,6.4e+07,3.12e+08,2.04e+08,1.5e+07,1.89e+08,4.04e+08,7.16e+08,7.41e+08,8.26e+08,1.412e+09,1.412e+09,2.128e+09,3e+06,2.5e+07,4.6e+07,2e+07,5e+06,5e+06,7.9e+07,-1.6e+07,-1.6e+07,6.8e+07,-9e+07,-8e+06,-9.6e+07,5.1e+07,5.1e+07,-4e+06,4.7e+07,0,2.01e+08,-4e+07,0.96117,-0.08091,0.00971,0.00212,0.00141,-13.33333,2.77244,0.50708,0.09445,0.02078,0.02052,2.14053,9.78131,-0.27709,0.00165,-0.02201,-5.02450164696564,18.4
"18","2016_Q2",57.69578125,"Down",3.52e+08,-1.6e+07,3.36e+08,-2.94e+08,-2.09e+08,-2.4e+07,-6.1e+07,4.2e+07,-4e+06,-4e+06,3.8e+07,3.8e+07,-9000000.00000001,2.9e+07,2.9e+07,2.9e+07,2.9e+07,6.92e+08,6.53e+08,2.8e+07,2.8e+07,9.64e+08,2.52e+08,9.81e+08,1.72e+08,7.37e+08,7.2e+07,1.25e+09,2.214e+09,3.38e+08,1.5e+07,3.23e+08,9.3e+07,9.3e+07,4.32e+08,2.08e+08,1.6e+07,1.92e+08,3.18e+08,7.5e+08,7.58e+08,8.53e+08,1.464e+09,1.464e+09,2.214e+09,2.9e+07,2.4e+07,2.1e+07,1.9e+07,5e+07,5e+07,1.24e+08,-1.7e+07,-1.7e+07,1.1e+07,-9e+07,-9e+06,-9.8e+07,3.7e+07,3.7e+07,2e+06,3.9e+07,6.6e+07,1.11e+08,1.08e+08,0.95455,0.11932,0.08239,0.01981,0.0131,3.72414,2.23148,0.5123,0.05014,0.19939,0.19741,2.42016,10.06566,0.74255,0.01626,0.06057,-8.80303,-13.83333
"19","2016_Q3",57.23171875,"Down",3.91e+08,-2e+07,3.71e+08,-3.24e+08,-2.37e+08,-2.4e+07,-6.3e+07,4.7e+07,-2e+06,-2e+06,4.5e+07,4.5e+07,-1e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,8.53e+08,7.66e+08,2.4e+07,2.4e+07,1.107e+09,2.56e+08,9.84e+08,1.69e+08,7.33e+08,8.2e+07,1.278e+09,2.385e+09,4.77e+08,2.5e+07,4.52e+08,9.7e+07,9.7e+07,5.75e+08,2.14e+08,1.8e+07,1.96e+08,3.05e+08,8.8e+08,7.83e+08,8.88e+08,1.505e+09,1.505e+09,2.385e+09,3.5e+07,2.4e+07,1.7e+07,2.4e+07,1.63e+08,1.63e+08,2.39e+08,-1.9e+07,-1.9e+07,-8.7e+07,-1.9e+07,-2e+06,-3.1e+07,1.21e+08,1.21e+08,-8e+06,1.13e+08,7.1e+07,9.2e+07,2.25e+08,0.94885,0.1202,0.08951,0.02326,0.01468,6.42857,1.92522,0.58472,0.03857,0.24017,0.238,2.68301,10.32718,1.54393,0.01933,0.12424,-10.71831,-16.19149
"20","2016_Q4",48.9506349206349,"Down",4.21e+08,-1.9e+07,4.02e+08,-3.35e+08,-2.48e+08,-2.6e+07,-6.1e+07,6.7e+07,-4e+06,-4e+06,6.3e+07,6.3e+07,-8e+06,5.5e+07,5.5e+07,5.5e+07,5.5e+07,7.27e+08,6.11e+08,1.8e+07,1.8e+07,9.66e+08,2.62e+08,1.02e+09,1.78e+08,7.44e+08,5.4e+07,1.311e+09,2.277e+09,3.05e+08,1.1e+07,2.94e+08,6.9e+07,6.9e+07,4.5e+08,2.27e+08,2e+07,2.07e+08,2.47e+08,6.97e+08,8.08e+08,9.44e+08,1.58e+09,1.58e+09,2.277e+09,5.5e+07,2.6e+07,1.6e+07,2.1e+07,-1.84e+08,-1.84e+08,-8.7e+07,-2.1e+07,-2.1e+07,-6.4e+07,1999999.99999999,-2e+06,-6e+06,-1.57e+08,-1.57e+08,0,-1.57e+08,9.3e+07,9.6e+07,-1.04e+08,0.95487,0.15914,0.13064,0.03481,0.02415,-1.89091,2.14667,0.44114,0.04216,0.37754,0.3736,2.88994,10.84584,-0.7139,0.0289,-0.05465,-6.78495,-9.41791
"21","2017_Q1",42.2117741935484,"Down",3.16e+08,-1.6e+07,3e+08,-2.9e+08,-2.05e+08,-2.7e+07,-5.8e+07,1e+07,-5e+06,-2e+06,5e+06,5e+06,-4e+06,1e+06,1e+06,1e+06,1e+06,7.3e+08,6.12e+08,3.1e+07,3.1e+07,9.5e+08,2.6e+08,1.012e+09,1.67e+08,7.36e+08,6.7e+07,1.288e+09,2.238e+09,2.79e+08,1.4e+07,2.65e+08,6.4e+07,6.4e+07,4.23e+08,2.22e+08,1.2e+07,2.1e+08,3.13e+08,7.36e+08,8.31e+08,9.45e+08,1.502e+09,1.502e+09,2.238e+09,1e+06,2.7e+07,2.1e+07,2.1e+07,-4e+06,-4e+06,4.5e+07,-1.5e+07,-1.5e+07,-2.3e+07,7.7e+07,-2e+06,-8e+06,1.4e+07,1.4e+07,-1.1e+07,3e+06,3.7e+07,1.71e+08,2.2e+07,0.94937,0.03165,0.00316,0.00067,0.00045,22,2.24586,0.49001,0.07641,0.0069,0.00683,2.18056,10.36455,0.15181,0.00053,0.01161,-15.10811,-55.9
"22","2017_Q2",36.8149206349206,"Down",3.72e+08,-1.7e+07,3.55e+08,-3.28e+08,-2.42e+08,-2.7e+07,-5.9e+07,2.7e+07,-2e+06,-3e+06,2.5e+07,2.5e+07,-1.2e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,7.46e+08,7.31e+08,2.5e+07,2.5e+07,1.003e+09,2.62e+08,1.006e+09,1.61e+08,7.41e+08,6.7e+07,1.271e+09,2.274e+09,3.58e+08,1.2e+07,3.46e+08,8.7e+07,8.7e+07,4.52e+08,2.28e+08,1.3e+07,2.15e+08,4.38e+08,8.9e+08,8.43e+08,9.58e+08,1.384e+09,1.384e+09,2.274e+09,1.3e+07,2.7e+07,2.5e+07,1.9e+07,6.9e+07,6.9e+07,1.34e+08,-1.8e+07,-1.8e+07,9.8e+07,4.6e+07,-1.3e+07,-1.14e+08,1.18e+08,1.18e+08,1e+06,1.19e+08,5.4e+07,2.17e+08,1.17e+08,0.9543,0.07258,0.03495,0.00939,0.00572,9,2.21903,0.64306,0.09543,0.09051,0.08983,2.58995,9.63574,0.81458,0.00711,0.06397,-9.7963,-19.59259
"23","2017_Q3",36.1634920634921,"Down",4.24e+08,-2e+07,4.04e+08,-3.58e+08,-2.67e+08,-2.7e+07,-6.4e+07,4.6e+07,-2e+06,-4e+06,4.4e+07,4.4e+07,-1.7e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,9.04e+08,8.87e+08,2.4e+07,2.4e+07,1.18e+09,2.66e+08,1.022e+09,1.56e+08,7.5e+08,6.9e+07,1.292e+09,2.472e+09,5.24e+08,7e+06,5.17e+08,9e+07,9e+07,6.21e+08,2.37e+08,1.5e+07,2.22e+08,4.97e+08,1.118e+09,8.73e+08,9.85e+08,1.354e+09,1.354e+09,2.472e+09,2.7e+07,2.7e+07,2e+07,2.8e+07,1.47e+08,1.47e+08,2.21e+08,-1.7e+07,-1.7e+07,-2e+07,4.8e+07,-1e+06,-5.3e+07,1.48e+08,1.48e+08,8e+06,1.56e+08,7.3e+07,2.67e+08,2.2e+08,0.95283,0.10849,0.06368,0.01994,0.01092,8.14815,1.90016,0.8257,0.10801,0.19221,0.19157,3.0184,9.63893,1.56615,0.01453,0.11841,-8.72603,-13.84783
