"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",15.9433333333333,"Up",1003973,-11131993,-3187528,-7944465,-10128020,2958,2958,-10125062,-10125062,-10125062,-10125062,-10125062,-10125062,24956255,24956255,1287317,1287317,26868572,1960197,206155,206155,2166352,29034924,5066554,3273673,1792881,5178799,0,0,0,5178799,133769465,-109913340,23856125,23856125,29034924,-10125062,254041,1880893,-502596,-8492724,-532713,-532713,20103060,20103060,19790380,10764943,10764943,10764943,-9873979,0,-0.42442,-0.34872,5.18819,0.21708,0,-0.56493,-0.56493,0.05602,1.33106,-0.42442,2.52748,2.46408
"12","2017_Q1",15.9820967741935,"Up",129786,-14744905,-4993146,-9751759,-14615119,3885,3885,-14611234,-14611234,-14611234,-14611234,-14611234,-14611234,31258637,31258637,1455369,1455369,32863506,2209475,185959,185959,2395434,35258940,6575758,4707763,1867995,6707717,0,0,0,6707717,153075797,-124524574,28551223,28551223,35258940,-14611234,329223,4122463,1536866,-8622682,-279001,-279001,15204065,15204065,15204065,6302382,6302382,6302382,-14285896,0,-0.51176,-0.4144,4.89936,0.23494,4.2351647362715e-22,-0.74753,-0.74753,0.00663999999999999,1.46073,-0.51176,2.18808,2.13879
"13","2017_Q2",14.8444444444444,"Down",575368,-13051387,-4698203,-8353184,-12476019,3605,3605,-12472414,-12473140,-12473140,-12473140,-12473140,-12473140,21446888,21446888,728154,728154,22427042,1959154,165763,165763,2124917,24551959,4606455,2953642,1652813,4662821,0,0,0,4662821,156886852,-136997714,19889138,19889138,24551959,-12473140,326563,3559113,-1420181,-10007645,-76968,-76968,272864,272864,272864,-9811749,-9811749,-9811749,-12149456,0,-0.62713,-0.50803,4.80976,0.23444,0,-0.60889,-0.60889,0.02809,0.97091,-0.62713,1.76526,1.71905
"14","2017_Q3",13.0412698412698,"Down",299506,-13220879,-4528876,-8692003,-12921373,2363,2363,-12919010,-12919010,-12919010,-12919010,-12919010,-12919010,13084360,13084360,900084,900084,14234944,1944157,135948,135948,2080105,16315049,4023567,2377871,1645696,4052703,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,4052703,162179070,-149916724,12262346,12262346,16315049,-12919010,355422,4386159,-770929,-8948358,-340425,-340425,926255,926255,926255,-8362528,-8362528,-8362528,-12565951,5.55111512312578e-17,-1.05355,-0.79185,3.51246,0.3305,0,-0.62582,-0.62582,0.01451,0.59401,-1.05355,1.04126,1.01261
"15","2017_Q4",10.484126984127,"Down",250000,-13001623,-4258189,-8743434,-12751623,3375,3375,-12748248,-12748248,-12748248,-12748248,-12748248,-12748248,20223859,20223859,800715,800715,21275074,1724500,109376,109376,1833876,23108950,3828746,2169930,1658816,3857882,0,0,0,3857882,181916040,-162664972,19251068,19251068,23108950,-12748248,317411,4588912,-89076,-7931001,-97754,-97754,15168254,15168254,15168254,7139499,7139499,7139499,-12434212,0,-0.66221,-0.55166,5.5147,0.2004,0,-0.58055,-0.58055,0.01138,0.87669,-0.66221,1.62647,1.58598
"16","2018_Q1",19.7124590163934,"Up",29135,-11267948,-3825901,-7442047,-11238813,2336,2336,-11236477,-11236477,-11236477,-11236477,-11236477,-11236477,12795254,12795254,1107094,1107094,13902348,1413917,89180,89180,1503097,15405445,3646715,2024690,1622025,3646715,-2.8421709430404e-14,-2.8421709430404e-14,-2.8421709430404e-14,3646715,185660179,-173901449,11758730,11758730,15405445,-11236477,310584,3350145,32454,-7543294,-299501,-299501,414190,414190,414190.000000007,-7428605,-7428605,-7428605,-10928229,3.46944695195361e-18,-0.95559,-0.72938,3.81229,0.31013,-1.65436122510606e-24,-0.50422,-0.50422,0.00131,0.52765,-0.95559,1.17084,1.13849
"17","2018_Q2",17.50015625,"Down",25000,-13474163,-4752611,-8721552,-13449163,5706,5706,-13443457,-13443457,-13443457,-13443457,-13443457,-13443457,44857735,44857735,735073,735073,45617808,1353008,68984,68984,1421992,47039800,4086516,1904031,2182485,4086516,0,0,0,4086516,230298190,-187344906,42953284,42953284,47039800,-13443457,299520,4629404,786822,-7727711,-238611,-238611,40028803,40028803,40028803,32062481,32062481,32062481,-13149643,0,-0.31298,-0.28579,11.16301,0.09514,0,-0.5479,-0.5479,0.00102,1.7506,-0.31298,3.41133,3.33536
"18","2018_Q3",12.9303174603175,"Down",205773,-12510139,-4870165,-7639974,-12304366,5995,5995,-12298371,-12298371,-12298371,-12298371,-12298371,-12298371,37076181,37076181,670734,670734,37952688,1387902,48788,48788,1436690,39389378,4219535,2385992,1833543,4219535,-2.27373675443232e-13,-2.27373675443232e-13,-2.27373675443232e-13,4219535,234813120,-199643277,35169843,35169843,39389378,-12298371,275295,4363076,16585,-7643415,-310189,-310189,172050,172050,172050,-7781554,-7781554,-7781554,-12029071,2.16840434497101e-19,-0.34969,-0.31223,8.99452,0.11998,0,-0.48267,-0.48267,0.00808,1.3803,-0.34969,3.08221,3.01325
"19","2018_Q4",8.12619047619048,"Down",228000,-12879961,-4437263,-8442698,-12651961,6670,6670,-12645291,-12645291,-12645291,-12645291,-12645291,-12645291,28551870,28551870,605490,605490,29366133,1154996,125060,125060,1280056,30646189,3738661,1819968,1918693,3753161,0,0,0,3753161,239181596,-212288568,26893028,26893028,30646189,-12645291,245899,3872852,-500598,-9027138,-12993,-12993,515820,515820,515820,-8524311,-8524311,-8524311,-12406062,0,-0.47021,-0.41262,7.82437,0.13956,0,-0.49123,-0.49123,0.00886,1.04471,-0.47021,2.30145,2.25671
"20","2019_Q1",7.24114754098361,"Down",56050,-12579970,-4512509,-8067461,-12523920,70917,70917,-12453003,-12453003,-12453003,-12453003,-12453003,-12453003,20106485,20106485,637708,637708,20788743,1219016,2409.99999999999,2409.99999999999,1221426,22010169,3639734,1861385,1778349,3639734,-3.63797880709171e-12,-3.63797880709171e-12,-3.63797880709171e-12,3639734,243112006,-224741571,18370435,18370435,22010169,-12453003,234006,3969206,121032,-8128759,-298026,-298026,-18600.0000000019,-18600.0000000019,-18599.9999999981,-8445385,-8445385,-8445385,-12289914,0,-0.67788,-0.56578,5.71161,0.19813,0,-0.47555,-0.47555,0.00214,0.70152,-0.67788,1.63602,1.60545
"21","2019_Q2",4.86698412698413,"Down",66500,-11162041,-4361363,-6800678,-11095541,76073,76073,-11019468,-11019468,-11019468,-11019468,-11019468,-11019468,36129119,36129119,777429,490295,36973198,1144897,2410,2410,1147307,38120505,3713825,1855306,1858519,4045086,0,0,0,4045086,269836458,-235761039,34075419,34075419,38120505,-11019468,235368,3298685,116238,-7369177,-161249,-161249,23892426,23892426,23553060,16022634,16022634,16022634,-10860173,0,-0.32338,-0.28907,9.14027,0.11871,0,-0.39441,-0.39441,0.00238,1.21963,-0.32338,3.32675,3.25618
"22","2019_Q3",3.88328125,"Down",47500,-9994156,-4479139,-5515017,-9946656,142660,142660,-9803996,-9803996,-9803996,-9803996,-9803996,-9803996,29208245,29208245,607576,486360,29863321,914964,2409.99999999994,2409.99999999994,917374,30780695,3438377,1327261,2111116,3565917,5.82076609134674e-11,5.82076609134674e-11,5.82076609134674e-11,3565917,272779813,-245565035,27214778,27214778,30780695,-9803996,241495,2963850,-456083,-7054734,-11562,-11562,145422,145422,145421.999999996,-6920874,-6920874,-6920874,-9705161,0,-0.36025,-0.31851,8.37465,0.13103,0,-0.32187,-0.32187,0.00156,0.89348,-0.36025,3.00956,2.93649
"23","2019_Q4",2.476875,"Down",40500,-8342569,-3152513,-5190056,-8302069,117842,117842,-8184227,-8184227,-8184227,-8184227,-8184227,-8184227,22800024,22800024,596543,596543,23482067,750685,2246746,2246746,2997431,26479498,2908981,1305235,1603746,3591144,1610319,1610319,1610319,5201463,275027297,-253749262,21278035,21278035,26479498,-8184227,175403,2406047,-942129,-6544906,-11124,-11124,147809,147809,147809,-6408221,-6408221,-6408221,-8126666,0,-0.38463,-0.30908,6.53888,0.24445,0,-0.26612,-0.26612,0.00132,0.69189,-0.35757,2.80558,2.74631
"24","2020_Q1",1.48854838709677,"Down",45643,-9509277,-3786218,-5723059,-9463634,79699,79699,-9383935,-9391398,-9391398,-9391398,-9391398,-9391398,21684089,21684089,450231,450231,22197464,626524,2059986,2059986,2686510,24883974,3734616,1671519,2063097,4468907,1402193,1402193,1402193,5871100,282153534,-263140660,19012874,19012874,24883974,-9391398,128962,2806803,803305,-5652328,-12264,-12264,-466398,-466398,4548657,-1115935,-1115935,-1115935,-9334672,-1.05879118406788e-22,-0.49395,-0.37741,4.96709,0.3088,5.04870979341448e-29,-0.29442,-0.29442,0.00143,0.59604,-0.46002,2.32296,2.29131
"25","2020_Q2",1.95587301587302,"Up",61475,-8675606,-4100303,-4575303,-8653675,55939,55939,-8597736,-8597736,-8597736,-8597736,-8597736,-8597736,19963917,19963917,352019,352019,20375109,504825,1871541,1871541,2376366,22751475,2473296,1038251,1435045,3248118,1191981,1191981,1191981,4440099,290049772,-271738396,18311376,18311376,22751475,-8597736,121699,2497744,-1361818,-7340111,24411.1429382605,24411.1431094666,5619939,5619939,5619939,-1720172,-1720172,-1720172,-8531976,0,-0.46953,-0.3779,6.2729,0.24248,0,-0.24694,-0.24694,0.00177,0.52594,-0.44083,2.33989,2.30699
"26","2020_Q3",3.2634375,"Up",114375,-8240020,-3909587,-4330433,-8212640,7974,7974,-8204666,-8204666,-8204666,-8204666,-8204666,-8204666,23408940,23408940,662958,662958,24177124,408895,1681393,1681393,2090288,26267412,2974619,1340982,1633637,3790379,979660,979660,979660,4770039,301440435,-279943062,21497373,21497373,26267412,-8204666,95930,2260055,-27052.0000000005,-5875733,47925.9026095066,47925.9027117939,9320756,9320756,9320756,3445023,3445023,3445023,-8116710,0,-0.38166,-0.31235,6.37855,0.22189,0,-0.20188,-0.20188,0.00281,0.52895,-0.36502,2.88404,2.85036
"27","2020_Q4",2.19984375,"Down",61500,-7621558,-3617916,-4003642,-7560058,3221,3221,-7556837,-7556837,-7556837,-7556837,-7556837,-7556837,17303234,17303234,3947466,781598,21277050,346836,1489526,1489526,1836362,23113412,2449067,1045466,1403601,3306175,765209,765209,765209,4071384,306541927,-287499899,19042028,19042028,23113412,-7556837,69361,2164609,-897229,-6220096,-7302,-7302.00000000003,121692,121692,121692,-6105706,-6105706,-6105706,-7490697,0,-0.39685,-0.32695,6.43555,0.21381,0,-0.18039,-0.18039,0.00147,0.45455,-0.38152,2.30996,2.28877
"28","2021_Q1",3.8544262295082,"Up",90000,-7562791,-3406047,-4156744,-7472791,4078,4078,-7468713,-7472847,-7472847,-7472847,-7472847,-7472847,50729661,50729661,636702,636702,51442213,402711,1294901,1294901,1697612,53139825,2673126,1096839,1576287,3510557,576762,576762,576762,4087319,344024638,-294972746,49052506,49052506,53139825,-7472847,69320,1765358,282564,-5355605,-129329,-129329,-14644841,-14644841,38911361,33426427,33426427,33426427,-7403471,0,-0.15234,-0.14063,14.65358,0.08333,0,-0.15186,-0.15186,0.00183,0.99679,-0.15057,6.85215,6.78858
"29","2021_Q2",3.02539682539683,"Down",145065,-8672852,-4081608,-4591244,-8527787,2024,2024,-8525763,-8525763,-8525763,-8525763,-8525763,-8525763,44758397,44758397,742193,742193,45657365,449664,1098987,1098987,1548651,47206016,3207053,1450767,1756286,4029610,386424,386424,386424,4416034,346288491,-303498509,42789982,42789982,47206016,-8525763,64774,2342140,142299,-5976550,-111727,-111727,117013,117013,117013,-5971264,-5971264,-5971264,-8463013,0,-0.19925,-0.18061,11.33047,0.1032,0,-0.13848,-0.13848,0.00236,0.69501,-0.19746,5.28871,5.24854
"30","2021_Q3",2.385625,"Down",184960,-11201799,-5098105,-6103694,-11016839,1010,1010,-11015829,-11015829,-11015829,-11015829,-11015829,-11015829,38226214,38226214,647471,647471,38995655,479330,900965,900965,1380295,40375950,3260079,1652541,1607538,4059063,194176,194176,194176,4253239,350636419,-314514338,36122711,36122711,40375950,-11015829,61611,4426346,-33268.0000000001,-6561140,-91277,-91277,120234,120234,120234.000000007,-6532183.00000001,-6532183.00000001,-6532183.00000001,-10955228,2.58493941422821e-26,-0.30496,-0.27283,9.60706,0.11774,-2.46519032881566e-32,-0.17892,-0.17892,0.003,0.58671,-0.30333,3.48931,3.4698
"31","2021_Q4",1.72375,"Down",201364,-8649553,-3912394,-4737159,-8448189,835,835,-8447354,-12464526,-12464526,-12464526,-12464526,-12464526,28282188,28282188,708776,708776,29167647,518068,711193,711193,1229261,30396908,3620174,922233,2697941,4397383,136503.700987597,136503.700987597,136503.700987597,4397383,352977756,-326978864,25999525,25999525,30396908,-12464526,68976,2427542,6895,-9961113,-107714,-107714,124801,124801,124801,-9944026,-9944026,-9944026,-8379213,0,-0.47941,-0.41006,6.63296,0.16913,0,-0.19198,-0.19198,0.0031,0.40044,-0.47941,3.37528,3.34772
"32","2022_Q1",1.15596774193548,"Down",225404,-9648202,-4507719,-5140483,-9422798,1623,1623,-9421175,-9421175,-9421175,-9421175,-9421175,-9421175,49071414,49071414,874886,874886,50229902,510197,630976,630976,1141173,51371075,3704713,1205957,2498756,4346384,40413.0000000001,40413.0000000001,40413.0000000001,4386797,383384317,-336400039,46984278,46984278,51371075,-9421175,62888,3420316,-283615,-6221586,-55017,-55017,22077.9999999999,22077.9999999999,27065829,20789226,20789226,20789226,-9359910,-1.61558713389263e-27,-0.20052,-0.18339,11.55671,0.09337,1.54074395550979e-33,-0.14511,-0.14511,0.00347,0.72365,-0.20035,5.24272,5.20773
"33","2022_Q2",1.01467741935484,"Down",215961,-7168256,-3641110,-3527146,-7155544,2826,2826,-7152718,-7152718,-7152718,-7152718,-7152718,-7152718,42774171,42774171,431670,431670,43473245,484567,444240,444240,928807,44402052,3187568,934913,2252655,3642357,27012,27012,27012,3669369,384284669,-343552757,40732683,40732683,44402052,-7152718,70119,983642,-258014,-6356971,-44489,-44489,104217,104217,104217,-6297243,-6297243,-6297243,-7085425,0,-0.1756,-0.16109,11.93547,0.09008,0,-0.09806,-0.09806,0.00296,0.55843,-0.17549,6.03692,5.97777
"34","2022_Q3",1.20609375,"Up",232971,-6392941,-3183031,-3209910,-6431354,47049,47049,-6384305,-7017749,-7017749,-7017749,-7017749,-7017749,35669685,35669685,1265895,1265895,37198016,495395,2330708,2330708,2826103,40024119,3226515,1008932,2217583,3969360,1615527,1615527,1615527,5584887,385008963,-350570506,34439232,34439232,40024119,-7017749,57192,866155,-1002575,-7096977,-68020,-68020,60511,60511,60510.9999999963,-7104486,-7104486,-7104486,-6374162,-2.01948391736579e-28,-0.20377,-0.17534,9.37129,0.16217,0,-0.09621,-0.09621,0.00319,0.47214,-0.19464,5.59598,5.54622
