"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",29.6925396825397,"Up",184268000,-70175000,114093000,-70791000,-23844000,-15884000,-31063000,43302000,-6831000,-7711000,880000,36471000,36471000,-13596000,22875000,22875000,22875000,22875000,21351000,21351000,45376000,45376000,6256000,78144000,10407000,67737000,151127000,1817751000,2667635000,-849884000,417165000,2615000,414550000,2234916000,2386043000,137914000,84052000,12733000,41129000,63230000,2837000,2837000,203981000,555536000,974514000,237341000,282973000,454200000,1530050000,1734031000,334693000,317319000,652012000,652012000,2386043000,22875000,16245000,-579000,25677000,64218000,-50251000,-50251000,-50251000,-51928000,-8275000,-18402000,5001000,-21765000,-9475000,-9475000,-9475000,59547000,618766000,48569000,0.61917,0.23499,0.12414,0.03508,0.00959,2.12323,0.74089,2.65951,0.25933,0.47685,0.47686,3.84124,13.5918,1.01247,0.1725,0.01387,0.02163,0.36175,10.03266,13.79648
"12","2017_Q1",31.2085483870968,"Up",150930000,-51160000,99770000,-61950000,-12564000,-15827000,-33559000,37820000,-15874000,-7858000,-8016000,21946000,21800000,-6710000,15090000,15090000,15090000,15090000,25492000,25492000,30305000,30305000,6292000,79980000,7262000,72718000,142069000,1859277000,2717339000,-858062000,410399000,2615000,407784000,2269676000,2411745000,122163000,77813000,5661000,38689000,123308000,4759000,4759000,250230000,531745000,970299000,222691000,298924000,448684000,1502044000,1752274000,335336000,324135000,659471000,659471000,2411745000,15090000,16257000,33794000,-28526000,36615000,-62137000,-62532000,-62532000,-61599000,-8274000,35869000,1571000,29059000,4075000,4075000,4075000,54077000,655053000,-29876000,0.66103,0.25058,0.09998,0.02288,0.00626,-1.97985,0.56775,2.65709,0.27161,0.3146,0.31458,3.14667,13.749,-0.62287,0.1725,0.01023,-0.01308,0.54831,11.64194,16.64625
"13","2017_Q2",32.4238095238095,"Up",122036000,-42068000,79968000,-70299000,-22746000,-19201000,-28352000,9669000,-9311000,-8216000,-1095000,358000,1137000,-5000,1132000,1132000,1132000,1132000,11990000,11990000,24685000,24685000,6405000,85125000,12767000,72358000,128205000,1888005000,2766232000,-878227000,424088000,2615000,421473000,2312093000,2440298000,118937000,69276000,12583000,37078000,166239000,8197000,8197000,293373000,521715000,973877000,224851000,299464000,449562000,1495592000,1788965000,334700000,316633000,651333000,651333000,2440298000,1132000,19658000,-1098000,-5395000,14297000,-51853000,-51853000,-51853000,-52239000,-8634000,32714000,1739000,24700000,-13242000,-13242000,-13242000,29327000,687954000,-27916000,0.65528,0.07923,0.00928,0.00174,0.00046,-24.66078,0.437,2.74662,0.28191,0.02359,0.02359,2.54326,13.57396,-0.58178,0.17993,0.00422,-0.01207,7.62721,23.0492,69.91044
"14","2017_Q3",34.3790476190476,"Up",171132000,-64131000,107001000,-69724000,-21413000,-19218000,-29093000,37277000,-8773000,-8515000,-257999.999999999,28504000,29383000,-10852000,18531000,18531000,18531000,18531000,29103000,29103000,39027000,39027000,6518000,95932000,14682000,81250000,170580000,1928612000,2826187000,-897575000,433834000,2615000,431219000,2362446000,2533026000,128074000,84222000,5842000,38010000,226210000,6743000,6743000,361027000,519875000,990290000,227186000,310936000,452168000,1510165000,1871192000,335314000,326520000,661834000,661834000,2533026000,18531000,19670000,-1768000,-15004000,21429000,-56859000,-56859000,-56859000,-57239000,-8644000,57879000,4143000,53261000,17451000,17451000,17451000,56947000,746085000,-4064000,0.62525,0.21783,0.10828,0.028,0.00732,-0.219309999999997,0.47249,2.82728,0.29454,0.3859,0.3859,3.56377,13.78247,-0.08463,0.18001,0.01133,-0.00169,0.46646,12.59034,19.2339
"15","2017_Q4",39.3815873015873,"Up",211731000,-75261000,136470000,-75789000,-22749000,-19231000,-33809000,60681000,-9748000,-8577000,-1171000,50933000,52038000,-18189000,33849000,33849000,33849000,33849000,28341000,28341000,46963000,46963000,6344000,98837000,12544000,86293000,180485000,1981924000,2892666000,-910742000,440695000,2615000,438080000,2422619000,2603104000,144701000,89394000,12763000,42544000,231115000,4545000,4545000,380361000,519700000,1015320000,227819000,329506000,457995000,1535020000,1915381000,335996000,351727000,687723000,687723000,2603104000,33849000,19688000,-1768000,22293000,74062000,-71730000,-71730000,-71730000,-73354000,-8642000,4610000,2766000,-1389000,-681000,-681000,-681000,80369000,750815000,49121000,0.64454,0.28659,0.15987,0.04922,0.013,1.45118,0.47451,2.78511,0.28843,0.70494,0.70494,4.4095,14.32249,1.02299,0.17998,0.01732,0.02002,0.25531,8.98946,11.9061
"16","2018_Q1",36.6398360655738,"Down",171214000,-60407000,110807000,-76072000,-26418000,-19133000,-30521000,34735000,-9176000,-8620000,-556000,25559000,27209000,-7781000,19428000,19428000,19428000,19428000,94776000,94776000,32451000,32451000,6463000,94183000,11180000,83003000,227873000,2047965000,2970179000,-922214000,468872000,2615000,466257000,2516837000,2744710000,140636000,93955000,6122000,40559000,291020000,59303000,59303000,490959000,515793000,1038737000,252141000,194617000,591979000,1554530000,2045489000,336709000,362512000,699221000,699221000,2744710000,19428000,19576000,23581000,-24531000,38054000,-78086000,-78752000,-78752000,-23739000,-8643000,55968000,4343000,51522000,65837000,65837000,65837000,54311000,806813000,-40525000,0.64718,0.20287,0.11347,0.02779,0.00708,-2.08591,0.46414,2.92538,0.29395,0.40462,0.40462,3.56584,14.56255,-0.84401,0.18001,0.01103,-0.01592,0.44487,13.11036,20.49912
"17","2018_Q2",36.11109375,"Down",134553000,-47606000,86947000,-76817000,-26319000,-20715000,-29783000,10130000,-12267000,-8703000,-3564000,-2137000,-1226000,464000,-762000,-762000,-762000,-762000,34702000,34702000,28161000,28161000,6478000,96444000,12977000,83467000,165785000,2083038000,3025611000,-942573000,467684000,2615000,465069000,2550722000,2716507000,127087000,73556000,12342000,41189000,281024000,56206000,56206000,464317000,515670000,1055209000,256520000,192313000,606376000,1570879000,2035196000,336106000,345205000,681311000,681311000,2716507000,-762000,21207000,226000,7581000,28252000,-70650000,-70650000,-70650000,-70650000,-9003000,-10224000,2845000,-17621000,-60019000,-60019000,-60019000,31337000,796694000,-32196000,0.64619,0.07529,-0.00566,-0.00112,-0.000279999999999999,42.25197,0.35705,2.98718,0.29328,-0.01587,-0.01587,2.80144,14.18511,-0.67033,0.18745,0.00325,-0.01271,-11.81496,24.31605,75.22132
"18","2018_Q3",38.0904761904762,"Up",174938000,-65373000,109565000,-77856000,-24383000,-20953000,-32520000,31709000,-13563000,-9830000,-3733000,18146000,18856000,-4051000,14805000,14805000,14805000,14805000,33668000,33668000,44700000,44700000,6714000,104488000,15180000,89308000,189570000,2130264000,3094616000,-964352000,469680000,2615000,467065000,2599944000,2789514000,135859000,93032000,5751000,37076000,430124000,56317000,56317000,622300000,414530000,1066752000,256431000,196109000,614212000,1481282000,2103582000,336719000,349213000,685932000,685932000,2789514000,14805000,21375000,-1030000,-13831000,21319000,-63250000,-63250000,-63250000,-63250000,-9014000,47960000,2042000,40863000,-1068000.00000003,-1068000.00000003,-1068000.00000003,53084000,844654000,-19946000,0.62631,0.18126,0.08463,0.02158,0.00531,-1.34725,0.30463,3.06675,0.3028,0.30798,0.30798,3.63908,14.26885,-0.41492,0.18751,0.00917,-0.00768,0.60885,15.27741,25.57589
"19","2018_Q4",41.2315873015873,"Up",221288000,-78818000,142470000,-83355000,-26493000,-21009000,-35853000,59115000,-12484000,-10315000,-2169000,46631000,47654000,-11481000,36173000,36173000,36173000,36173000,66421000,66421000,50785000,50785000,6563000,111770000,12576000,99194000,235539000,2185742000,3169726000,-983984000,455581000,2615000,452966000,2641323000,2876862000,158678000,102938000,13111000,42629000,179912000,43300000,43300000,381890000,714310000,1068628000,235501000,199143000,633984000,1782938000,2164828000,337441000,374593000,712034000,712034000,2876862000,36173000,21549000,-1716000,13926000,69932000,-78956000,-78956000,-78956000,-80390000,-9012000,49148000,3281000,43285000,32827000,32827000,32827000,80664000,894222000,27115000,0.64382,0.26714,0.16347,0.0508,0.01257,0.74959,0.61677,3.04034,0.31083,0.75248,0.75248,4.60326,14.81182,0.56405,0.18747,0.01689,0.01014,0.24914,10.26234,14.00323
"20","2019_Q1",47.0645901639344,"Up",167417000,-61050000,106367000,-78192000,-23586000,-21104000,-33502000,28175000,-13363000,-9006000,-4357000,14812000,16172000,-804000,15368000,15368000,15368000,15368000,47176000,47176000,30037000,30037000,6586000,104903000,11981000,92922000,188702000,2232723000,3229446000,-996723000,416279000,2615000,413664000,2649002000,2837704000,138942000,95580000,5674000,37688000,170011000,12213000,12213000,321166000,710027000,1076354000,193538000,213033000,669783000,1786381000,2107547000,338104000,392053000,730157000,730157000,2837704000,15368000,21576000,26409000,-3837000,59516000,-58792000,-58851000,-58851000,-58792000,-9014000,-14033000,3147000,-20049000,-19325000,-19325000,-19325000,49751000,880038000,-12074000,0.63534,0.16829,0.09179,0.02105,0.00542,-0.78566,0.58755,2.88643,0.31012,0.31973,0.31973,3.48306,15.19072,-0.2512,0.18753,0.00908,-0.00449,0.586540000000001,16.74061,29.56032
"21","2019_Q2",47.2001587301587,"Up",126111000,-45592000,80519000,-83034000,-29097000,-22368000,-31569000,-2515000,-8821000,-10244000,1423000,-11336000,-9803000,2163000,-7640000,-7640000,-7640000,-7640000,60234000,60234000,27552000,27552000,6444000,98495000,17230000,81265000,192725000,2259559000,3281149000,-1021590000,448378000,2615000,445763000,2707937000,2900662000,133949000,83280000,12181000,38488000,230110000,19984000,19984000,384043000,710602000,1091888000,200953000,211382000,679553000,1802490000,2186533000,339209000,374920000,714129000,714129000,2900662000,-7640000,22893000,-3787000,8675000,20141000,-59881000,-59881000,-59881000,-59881000,-9493000,59774000,4254000,52915000,13175000,13175000,13175000,20378000,940712000,-32991000,0.63848,-0.01994,-0.06058,-0.0107,-0.00263,4.31819,0.50183,3.06182,0.32431,-0.15888,-0.15888,2.62261,14.85108,-0.68608,0.19742,0.00067,-0.01201,-1.24254,43.20728,-350.09066
"22","2019_Q3",50.480625,"Up",179031000,-64635000,114396000,-83062000,-25434000,-22326000,-35302000,31334000,-11216000,-11254000,38000,20118000,21804000,-4808000,16996000,16996000,16996000,16996000,54560000,54560000,43345000,43345000,6989000,101136000,17120000,84016000,206030000,2302205000,3346165000,-1043960000,456360000,2615000,453745000,2758565000,2964595000,143122000,97376000,6311000,39435000,170412000,17855000,17855000,331389000,807693000,1102349000,201476000,216880000,683993000,1910042000,2241431000,340755000,382409000,723164000,723164000,2964595000,16996000,22851000,-2579000,-14018000,23250000,-62055000,-62055000,-62055000,-62055000,-9507000,37310000,4946000,32995000,-5810000,-5810000,-5810000,54185000,978105000,-17080000,0.63897,0.17502,0.09493,0.0235,0.00573,-1.00494,0.62172,3.09948,0.32993,0.35308,0.35308,3.71927,15.02335,-0.35483,0.1975,0.00945,-0.00609,0.55937,17.04429,29.47421
"23","2019_Q4",49.36546875,"Down",232537000,-80568000,151969000,-88208000,-26779000,-22273000,-39156000,63761000,-11341000,-9251000,-2090000,52420000,54288000,-11864000,42424000,42424000,42424000,42424000,51257000,51257000,45624000,45624000,7804000,107371000,14395000,92976000,212056000,2343254000,3411219000,-1067965000,467944000,2615000,465329000,2811198000,3023254000,166677000,108593000,14410000,43674000,160380000,6887000,6887000,333944000,807478000,1124037000,203557000,229237000,691243000,1931515000,2265459000,342469000,415326000,757795000,757795000,3023254000,42424000,22778000,-2154000,21904000,84952000,-73006000,-73006000,-73006000,-75222000,-9507000,-10283000,6506000,-12987000,-3257000,-3257000,-3257000,86539000,967858000,47301000,0.65353,0.2742,0.18244,0.05598,0.01403,1.11496,0.635,2.98954,0.32014,0.88124,0.88124,4.83033,15.74116,0.98255,0.19748,0.01822,0.0166,0.22409,10.59177,14.3755700000001
"24","2020_Q1",49.2703225806452,"Down",176878000,-64546000,112332000,-89220000,-27307000,-22253000,-39660000,23112000,-10240000,-10472000,232000.000000001,12872000,14498000,-3162000,11336000,11336000,11336000,11336000,42653000,42653000,32058000,32058000,7745000,102256000,14965000,87291000,184712000,2406370000,3550485000,-1144115000,520226000,2615000,517611000,2926596000,3111308000,157291000,108463000,5810000,43018000,196968000,4462000,4462000,358721000,786754000,1185927000,258907000,222590000,704430000,1972681000,2331402000,362760000,417146000,779906000,779906000,3111308000,11336000,22766000,20222000,-13873000,40451000,-78800000,-78828000,-78828000,-78800000,-9516000,15835000,4502000,29824000,-8525000,-8525000,-8525000,45878000,983722000,-43633000,0.63508,0.13067,0.06409,0.01454,0.00364,-3.84906,0.51492,2.98934,0.31618,0.23466,0.23466,3.66139,16.14411,-0.90321,0.19698,0.00707,-0.01479,0.83945,20.51242,40.71777
"25","2020_Q2",45.0247619047619,"Down",125563000,-53976000,71587000,-82447000,-29680000,-24492000,-28275000,-10860000,-15911000,-9854000,-6057000,-26771000,-25157000,4850000,-20307000,-20307000,-20307000,-20307000,140406000,140406000,32729000,32729000,8135000,88812000,18265000,70547000,270082000,2446971000,3616418000,-1169447000,523792000,2615000,521177000,2970763000,3240845000,152689000,99019000,14545000,39125000,356964000,3474000,3474000,513127000,786467000,1186111000,260337000,218451000,707323000,1972578000,2485705000,368616000,386524000,755140000,755140000,3240845000,-20307000,25093000,3103000,-3822000,4067000,-65270000,-65270000,-65270000,-65270000,-10315000,159803000,4275000,158901000,97698000,97698000,97698000,14233000,1143431000,-59709000,0.57013,-0.08649,-0.16173,-0.02689,-0.00627,2.94032,0.52635,3.29171,0.35282,-0.41799,-0.41799,2.5845,15.5433,-1.22901,0.21232,-0.00324,-0.01936,-0.50795,70.47179,-92.35958
