"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",7.06229508196721,"Up",-13185536,-6036282,-7149254,-12413646,-1105126,-1105126,-13518772,821613,-12697159,-12199659,-12199659,-12199659,-12649761,1717391,1717391,1585089,1585089,3302480,18489976,491039,491039,18981015,22283495,11924207,3609607,1856129,6458471,5199774,14918052,32042033,3551743,7500225,4741963,11051968,43094001,190762441,-216307363,-20810506,-20810506,22283495,-12199659,824405,3629568,-648498,-8394184,-261349,-160968,-160968,-422317,-10079277,-10079277,-10079277,-11589241,8751517,0.60785,-0.56767,0.10307,-2.07078,0.39274,-1.3948,-1.3948,-2.81665,2.77482,-0.60695,-0.56664
"12","2019_Q2",2.32968253968254,"Down",-11324913,-2903988,-8420925,-10257315,-1120849,-1120849,-11378164,1636320,-9741844,-9741844,-9741844,-9741844,-9892352,227716,227716,2077791,2077791,2305507,15941866,462326,462326,16404192,18709699,11073270,4696258,1856129,4520883,5011747,11450804,27535821,3487070,9156148,4455307,12643218,40179039,203344201,-229698465,-21469340,-21469340,18709699,-9741844,823077,2035753,-2920672,-9803686,-3357700,11885833,11885833,8528133,-1511986,-1511986,-1489675,-9434238,8498817,0.46077,-0.52873,0.08373,-1.87146,0.45425,-1.00496,-1.00496,-2.67732,2.59344,-0.87671,-0.80636
"13","2019_Q3",1.92875,"Down",-8346777,-1849158,-6497619,-7705637,-1053877,-1053877,-8759514,-1485282,-10244796,-10244796,-10244796,-10244796,-11289962,155468,155468,1974664,1974664,2130132,14601716,440339,440339,15042055,17172187,12156233,5112803,1856129,5187301,4883163,9952811,26992207,3464160,9762787,5645794,13226947,40219154,211857099,-239943261,-23046967,-23046967,17172187,-10244796,816541,2759633,414865,-6253757,-1685177,7922484,7922484,6237307,-66586,-66586,-72248,-6889096,8347323,0.48987,-0.65746,0.07892,-1.7451,0.4861,-0.97926,-0.97926,-2.43612,2.28687,-1.1891,-1.0631
"14","2019_Q4",1.16375,"Down",-6228011,-1834545,-4393466,-5644163,-1081779,-1081779,-6725942,1507558,-5218384,-4440884,-4440884,-4440884,-4599012,14026832,14026832,4782750,4782750,18809582,13921160,483353,483353,14404513,33214095,9316902,2987622,1856129,4473151,4866598,9034392,23217892,3409881,7944585,4411440,11354466,34572358,237828559,-244384145,-1358263,-1358263,33214095,-4440884,833387,-1068831,-5639828,-10316156,-1827665,26156503,26156503,24328838,13861945,13861945,13871364,-4810776,8276479,3.38595,-0.13847,0.81013,-25.45336,0.24919,-0.20006,-0.20006,-0.28517,-0.30943,1.19531,1.01881
"15","2020_Q1",0.829354838709677,"Down",-7275373,-2782132,-4493241,-1421836,-210183,-210183,-1632019,-11097745,-12729764,-10096263,-10096263,-10096263,-9428814,8015528,8015528,5486033,4986033,13501561,3175960,457476,457476,3633436,17134997,8760239,2277817,1859434,4622988,4638668,6891290,20290197,50285,7564472,7564472,7614757,27904954,238351047,-254480408,-10769957,-10769957,17134997,-10096263,888868,8340250,-5049244,-5916389,-73197,4351,4351,-68846,-5985236,-5985236,-6011304,-532968,4688953,0.87547,-0.55027,0.66542,-2.591,0.27365,-0.33193,-0.33193,-0.56781,-6.35593,6.2416,2.33963
"16","2020_Q2",0.891746031746032,"Up",-8184026,-2336724,-5847302,-8184026,-597665,-597665,-8781691,-7821257,-16602948,-16602948,-16602948,-16602948,-18477684,1333559,1333559,5207497,4707497,6541056,587184.000000001,3294855,3294855,3882039,10423095,9030198,2567995,1859434,4602769,3661436,7408765,20100399,8264517,7464903,7464903,15729420,35829819,240151095,-271083356,-25406724,-25406724,10423095,-16602948,175341,8196456,1557475,-6673676,-66571.0000000002,58278,58278,-8293,-6681969,-6681969,-6681969,-8008685,11925953,0.72728,-1.77276,0.32542,-1.41025,1.14419,-0.61796,-0.61796,-1.03448,3.07149,-1.32261,-1.29428
"17","2020_Q3",1.11453125,"Up",-6340389,-1957175,-4383214,-6340389,-696151,-696151,-7036540,1336473,-5700067,-5700067,-5700067,-5700067,-17459591,4652923,4652923,4833089,4833089,9486012,523409,3160434,3160434,3683843,13169855,12629078,3306553,1859434,7463091,3661864,7414697,23705639,6493178,3495720,3495720,9988898,33694537,256258741,-276783423,-20524682,-20524682,13169855,-5700067,176282,-911869,-647404,-7083058,-135600,10538022,10538022,10402422,3319364,3319364,3319364,-6164107,10155042,0.85066,-1.32572,0.40016,-1.64166,0.77108,-0.36528,-0.36528,-0.42941,2.53998,-0.89261,-0.86779
"18","2020_Q4",1.045,"Down",-11774882,-3286739,-8488143,-11774882,-443624,-443624,-12218506,5932482,-6286024,-3014867,-3014867,-3014867,-3014867,23953080,23953080,4282298,4282298,28235378,368155,1639427,1639427,2007582,30242960,14196511,5008923,1859434,7328154,4034631,222798,18453940,544924,278654,278654,823578,19277518,290763732,-279798290,10965442,10965442,30242960,-3014867,122297,-3793896,730972,-5955494,873780,25281871,25281871,26155651,19300157,19300157,19300157,-11652585,4579555,-0.27494,-0.0996900000000001,1.53005,1.75802,0.15143,-0.03329,-0.03329,0.12107,-0.19053,1.66259,1.64533
"19","2021_Q1",1.91459016393443,"Up",-10013716,-2390377,-7623339,-10013716,-19031,-19031,-10032747,110326,-9922421,-9921616,-9921616,-9921616,-9921616,12535986,12535986,5407882,5407882,17943868,327249,1461434,1461434,1788683,19732551,12008757,2394818,1856629,7757310,3662785,217264,15888806,904200,113254,113254,1017454,16906260,292546197,-289719906,2826291,2826291,19732551,-9921616,80149,674367,-2910765,-12077865,-30685,691456,691456,660771,-11417094,-11417094,-11417094,-9933567,4566985,-3.51047,-0.5028,1.12934,5.98178,0.23144,-0.08135,-0.08135,0.02317,-1.32173,0.80223,0.79581
"20","2021_Q2",2.31952380952381,"Up",-14190935,-2242354,-11948581,-14190935,-159663,-159663,-14350598,-105316,-14455914,-14455914,-14455914,-14455914,-14455914,5568452,5568452,5462876,5462876,11031328,286343,1200312,1200312,1486655,12517983,11529157,3334171,1856629,6338357,425525,168649,12123331,10657864,211770,211770,10869634,22992965,293700838,-304175820,-10474982,-10474982,12517983,-14455914,81116,676741,373409,-13324648,6365146,24253194.3425252,24253194.3425252,6357114,-6967534,-6967534,-6967534,-14109819,11083389,1.38004,-1.15481,0.90993,-2.19504,0.8854,-0.11873,-0.11873,-0.08604,-17.62536,-0.39086,-0.38862
"21","2021_Q3",2.41234375,"Up",-12625284,-4095891,-8529393,-12625284,-250409,-250409,-12875693,-228828,-13104521,-13106521,-13106521,-13106521,-13106521,37168854,37168854,6623987,6623987,43792841,245437,1073536,1073536,1318973,45111814,12686094,6332256,1856629,4497209,11184734,26972,23897800,129171,433671,433671,562842,24460642,337933513,-317282341,20651172,20651172,45111814,-13106521,82167,1781479,-503284,-11746159,-18755,43365316,43365316,43346561,31600402,31600402,31600402,-12543117,11313905,-0.63466,-0.29053,1.83251,1.18447,0.2508,-0.08714,-0.08714,0.1373,-0.40454,2.06129,2.04787
"22","2021_Q4",1.78359375,"Down",-11474996,-2929717,-8545279,-11474996,-256873,-256873,-11731869,-464678,-12196547,-12196547,-12196547,-12196547,-12196547,19692035,19692035,12205296,12205296,31897331,204531,315552,315552,984737,32882068,8020074,2671501,1856629,3491944,11549425,69179,19638678,1703066.89062367,494154,494154,494153.999999998,20132832,342228124,-329478888,12749236,12749236,32882068,-12196547,48183,1911249,-9955202,-20192317,-19231.9999999991,2734730,2734730,2715498.00000001,-17476819,-17476819,-17476819,-11426813,11549425,-0.95665,-0.37092,1.62421,1.57914,0.35124,-0.07242,-0.07242,0.0757,-0.491939999999999,0.71259,0.7096
"23","2022_Q1",1.56129032258065,"Down",-13435520,-3500763,-9934757,-13435520,-269182,-269182,-13704702,300336,-13404366,-13404366,-13404366,-13404366,-13404366,14477324,14477324,7030823,7030823,21508147,163625,286019,286019,1303304,22811451,5778699,2196349,1856629,1725721,904200,69318,6752217,10885854,565931,565931,11451785,18204002,347490703,-342883254,4607449,4607449,22811451,-13404366,50674,1357850,3005678,-8990164,-19722,3795175,3795175,3775453,-5214711,-5214711,-5214711,-13384846,11790054,-2.90928,-0.58762,3.18535,3.95099,0.51685,-0.07879,-0.07879,0.02708,-0.79019,0.20077,0.20001
"24","2022_Q2",1.43741935483871,"Down",-13149681,-3277205,-9872476,-13149681,-351534,-351534,-13501215,-961514,-14462729,-14462729,-14462729,-14462729,-14462729,70150924,70150924,7316327,7316327,77467251,122718,258170,258170,1210893,78678144,7165778,2545503,1856629,2763646,-19315807.6774665,12782740,19948518,9604391,301814,301814,9906205,29854723,406169404,-357345983,48823421,48823421,78678144,-14462729,50868,2510278,911325,-10990258,9591332,57672526,57672526,66663858,55673600,55673600,55673600,-13098813,9604391,-0.29623,-0.18382,3.88336,0.611480000000001,0.12207,-0.08587,-0.08587,0.28989,-0.24626,4.62229,4.60441
"25","2022_Q3",1.1625,"Down",-18909580,-6689914,-12219666,-18909580,-418327,-418327,-19327907,-374642,-19702549,-19704549,-19704549,-19704549,-19704549,58424097,58424097,8123275,8123275,66547372,81812,233148,233148,1138921,67686293,31347725,4159987,1856629,25331109,-49725996.0323996,63593,31411318,-14782685.9750021,312294,312294,312294,31723612,413013213,-377050532,35962681,35962681,67686293,-19704549,51085,4555825,763267,-14334372,-308327,2915872,2915872,2607545,-11726827,-11726827,-11726827,-18858495,0,-0.54792,-0.29112,2.11858,0.88213,0,-0.10472,-0.10472,0.19113,-0.5432,3.09803,3.08966
