"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q4",16.280625,"Down",3404227,-1211678,2192549,-654027,1538522,47739,47739,1586261,1879091,-602300,1276791,1276791,1276791,1276791,10633853,1935750,8698103,2376054,2376054,1121591,413982,99784,14545480,1330013,7006514,-5676501,1334451,15879931,940155,136095,704436,940155,153724,153724,153724,1093879,459644,14223050,14786052,14786052,15879931,1276791,47490,0,-1299454,24827,-144816,-47815,-192631,-167804,-167804,-167804,1586012,0,744042,0.64407,0.45194,0.37506,0.08635,0.0804,0.58274,15.47136,0.07398,0,0.27778,0.27778,0.74062,3.21685,0.16187,0.08546,0.0498,-6.70477,-6.91173
"14","2014_Q1",17.9552459016393,"Up",4431934,-1624684,2807250,-653040,2154210,92901,92901,2247111,2439182,-719853,1719329,1719329,1719329,1719329,10497467,1634262,8863205,1790747,1790747,1610747,408257,130001,14307218,1334501,7059819,-5725318,1343648,15650866,1245352,385699,728015,1245352,169587,169587,169587,1414939,459644,13644160,14235927,14235927,15650866,1719329,48818,-28486,426315,2165976,-53305,-115941,-169246,-301488,-301488,-301488,2203028,0,3295891,0.63341,0.48607,0.38794,0.12077,0.10986,1.91696,11.48849,0.09939,0,0.37406,0.37406,0.96421,3.09716,0.71705,0.27889,0.22879,-4.76502,-4.873
"15","2014_Q2",19.6469841269841,"Up",3959492,-1432918,2526574,-615642,1910932,33819,33819,1944751,1969153,-633400,1335753,1335753,1335753,1335753,11457886,973186,10484700,2689091,2689091,1663653,374711,145260,16185341,1292477,7063946,-5771469,1331139,17516480,1675297,209008,860840,1685297,200869,200869,200869,1886166,459644,14979913,15630314,15630314,17516480,1335753,46151,17582,-507274,892212,-4127,-1549161,-1553288,-661076,-661076,-661076,1957083,0,2079082,0.63811,0.48262,0.33735,0.08546,0.07626,1.55649,9.60385,0.12067,0,0.29061,0.29061,0.86143,3.40053,0.45232,0.08437,0.13133,-5.85457,-5.99597
"16","2014_Q3",16.2303125,"Down",2980136,-1104254,1875882,-623942,1251940,53933,53933,1305873,1305873,-404600,901273,901273,901273,901273,10960428,1880108,9080320,1250626,1250626,1728955,594546,159559,14534555,1274771,6958435,-5683664,1324413,15858968,1190855,105466,1077304,1190855,250125,250125,250125,1440980,459644,13674895,14417988,14417988,15858968,901273,45727,-1979,647906,1592927,-28021,1548307,1520286,906922,906922,906922,1297667,0,2322152,0.62946,0.42009,0.30243,0.06251,0.05683,2.57652,12.20514,0.09994,0,0.19608,0.19608,0.64836,3.13677,0.50521,0.21186,0.15831,-8.44626,-8.75476
"17","2014_Q4",13.3565625,"Down",2516620,-1301172,1215448,-671600,543848,51078,51078,594926,594926,-183500,411426,411426,411426,411426,11297003,1237658,10059345,1164575,1164575,1616106,559992,104105,14637676,1239582,6967889,-5728307,1292640,15930316,923713,197523,713705,923713,224816,224816,224816,1148529,459644,14086321,14781787,14781787,15930316,411426,44643,0,-37104,418965,-9454,-1051961,-1061415,-642450,-642450,-642450,588491,0,725433,0.48297,0.2161,0.16348,0.02783,0.02583,1.76322,15.84656,0.0777,0,0.08951,0.08951,0.54752,3.21592,0.15783,0.02742,0.04834,-19.19656,-20.77235
"18","2015_Q1",12.9140983606557,"Down",3993431,-1479363,2514068,-729813,1784255,100762,100762,1885017,1885018,-483054,1401964,1401964,1401964,1401964,11412884,2023383,9389501,1593260,1593260,1237154,419773,165691,14663071,1207903,6980877,-5772974,1275945,15939016,974970,141111,833859,974970,227108,227108,227108,1202078,459644,14017425,14736938,14736938,15939016,1401964,44667,21595,108422,1576648,-12988,692925.000000001,679937,785725,785725,785725,1828922,0,2407410,0.62955,0.4468,0.35107,0.09513,0.08796,1.71717,15.03951,0.08157,0,0.30501,0.30501,0.86881,3.20616,0.52376,0.19198,0.16088,-6.24022,-6.39644
"19","2015_Q2",13.1457142857143,"Up",4372393,-1679202,2693191,-627235,2065956,53454,53454,2119410,2119410,-658900,1460510,1460510,1460510,1460510,13319559,977493,12342066,2278018,2278018,992201,400414,152781,16990192,1167338,6983020,-5815682,1246030,18236222,1712796,208261,852385,1712796,260724,260724,260724,1973520,459644,15477935,16262702,16262702,18236222,1460510,42708,-12326,319056,1809948,-2143,-2853695,-2855838,-1045890,-1045890,-1045890,2108664,0,3084477,0.61595,0.4725,0.33403,0.08981,0.08009,2.11192,9.91957,0.12135,0,0.31775,0.31775,0.95126,3.53811,0.67106,0.08839,0.18667,-6.31659,-6.44716
"20","2015_Q3",12.70125,"Down",4124091,-1403942,2720149,-600532,2119617,72894,72894,2192511,2192511,-682000,1510511,1510511,1510511,1510511,12113377,1859046,10254331,2044292,2044292,1142765,438076,192643,15738510,1146716,7005662,-5858946,1217408,16955918,1362558,178033,1002575,1362558,212322,212322,212322,1574880,459644,14690227,15381038,15381038,16955918,1510511,43264,-5672,-296738,1251365,-22642,1951049,1928407,881553,881553,881553,2162881,0,2525501,0.65958,0.51396,0.36627,0.09821,0.08908,1.67195,11.55071,0.10239,0,0.32863,0.32863,0.89724,3.34629,0.54945,0.24425,0.16196,-5.60057,-5.71489
"21","2015_Q4",12.77546875,"Up",3620365,-1330842,2289523,-595719,1693804,74133,74133,1767937,1767937,-550400,1217537,1217537,1217537,1217537,12977470,1220370,11757100,2183543,2183543,1289109,478394,134107,16928516,1111820,7013951,-5902131,1183327,18111843,1450320,537079,784605,1450320,154091,154091,154091,1604411,459644,15929657,16507432,16507432,18111843,1217537,43185,1958,-217072,1045608,-8289,-1675995,-1684284,-638676,-638676,-638676,1736989,0,2062028,0.6324,0.46785,0.3363,0.07376,0.06722,1.69361,11.67226,0.09719,0,0.26489,0.26489,0.78765,3.59135,0.44861,0.07307,0.12376,-7.47124,-7.66173
"22","2016_Q1",14.6847540983607,"Up",1889395,-788172,1101223,-687015,414208,132224,132224,546432,545553,-127182,418371,418371,418371,418371,11799959,1080489,10719470,934754,934754,1293642,489605,160533,14517960,1096113,7021542,-5925429,1170231,15688191,988367,96814.9999999999,785623,988367,118010,118010,118010,1106377,459432,14050021,14581814,14581814,15688191,418371,44327,-29085,659438,1093051,-29499,966964,937465.000000001,-139881,-139881,-139881,458535,0,1215656,0.58284,0.21923,0.22143,0.02869,0.02667,2.90569,14.68884,0.07587,0,0.09119,0.09119,0.41182,3.17828,0.26497,0.18433,0.0827,-25.73404,-28.488
"23","2016_Q2",12.28296875,"Down",2262576,-897725,1364851,-645122,719729,43312,43312,763041,763041,-237950,525091,525091,525091,525091,12678461,1261308,11417153,1295747,1295747,1528456,437071,203766,15939735,1062653,7027412,-5964759,1133066,17072801,1696818,348223,1100783,1696818,169373,169373,169373,1866191,459432,14575112,15206610,15206610,17072801,525091,43036,10180,165177,743484,-5870,-556795,-562665,180819,180819,180819,762765,0,1160022,0.60323,0.3181,0.23208,0.03453,0.03076,2.20918,9.3939,0.12272,0,0.11429,0.11429,0.49247,3.30987,0.25249,0.03415,0.07544,-16.62171,-17.6156
"24","2016_Q3",10.62328125,"Down",2139165,-1007666,1131499,-623224,508275,82906,82906,591181,591181,-185800,405381,405381,405381,405381,10874990,252957,10622033,1326665,1326665,1649453,491210,185588,14342318,1129026,7138236,-6009210,1195733,15538051,1241282,95695.0000000001,1035517,1241282,211334,211334,211334,1452616,459432,13372481,14085435,14085435,15538051,405381,48156,-6912.00000000001,-665730,-219105,-110824,925449,814625,-1008351,-1008351,-1008351,556431,0,-34323,0.52894,0.2376,0.1895,0.02878,0.02609,-0.0846699999999996,11.55444,0.10313,0,0.08824,0.08824,0.46561,3.06584,-0.00746999999999992,0.14054,-0.00240000000000001,-19.54418,-21.39588
"25","2016_Q4",10.9814285714286,"Up",3457633,-1594198,1863435,-618994,1244441,64644,64644,1309085,1309085,-408950,900135,900135,900135,900135,12100811,1027009,11073802,1827347,1827347,1271490,381626,148321,15581274,1097111,7145485,-6048374,1160111,16741385,1455716,110468,898546,1455716,241515,241515,241515,1697231,459432,14272616,15044154,15044154,16741385,900135,42871,-2205,201301,1142102,-7249,-360801,-368050,774052,774052,774052,1287312,0,1890314,0.53893,0.35991,0.26033,0.05983,0.05377,2.10003,10.70351,0.11282,0,0.19592,0.19592,0.75259,3.27451,0.41145,0.05889,0.12367,-9.40006,-9.72389
"26","2017_Q1",10.9638709677419,"Down",2917493,-1383055,1534438,-617321,917117,115643,115643,1032760,1032760,-282225,750535,750535,750535,750535,10642310,424301,10218009,1597997,1597997,1255813,218052,135320,13714172,1090591,7188231,-6097640,1152268,14866440,1045951,82821,848328,1045951,0,0,0,1045951,459432,13185423,13820489,13820489,14866440,750535,52972,67949,-247493,623963,-42746,649071,606325,-602708,-602708,-602708,970089,0,962075,0.52594,0.31435,0.25725,0.05431,0.05049,1.28185,13.11168,0.07568,0,0.16336,0.16336,0.63502,3.00817,0.20941,0.18693,0.06961,-10.97045,-11.60409
"27","2017_Q2",10.8442857142857,"Down",2786388,-1264096,1522292,-653209,869083,52872,52872,921955,921955,-287520,634435,634435,634435,634435,11647522,1245017,10402505,1872691,1872691,1263246,195969,195969,14979428,1046054,7189836,-6143782,1101642,16081070,1496857,124131,1053136,1496857,42386,42386,42386,1539243,459432,13819858,14541827,14541827,16081070,634435,49849,0,190862,875146,-1605,-52825,-54430,820716,820716,820716,918932,0,1395709,0.54633,0.3119,0.22769,0.04363,0.03945,2.19992,10.00725,0.10585,0,0.13809,0.13809,0.60649,3.16518,0.30379,0.0435,0.0957,-12.67506,-13.40208
"28","2017_Q3",12.2277777777778,"Up",3774751,-1667113,2107638,-576880,1530758,68690,68690,1599448,1603554,-499405,1104149,1104149,1104149,1104149,10977026,705076,10271950,2187780,2187780,765947,197136,197136,14127889,999911,7189836,-6189925,1051794,15179683,1324477,85470,1015464,1324477,75182,75182,75182,1399659,459432,12994393,13780024,13780024,15179683,1104149,49848,-4106.00000000001,4115,1154006,-7.27595761418343e-12,231119,231119,-539941,-539941,-539941,1580606,0,2084126,0.55835,0.40553,0.29251,0.08013,0.07274,1.88754,10.66677,0.10157,0,0.24033,0.24033,0.82161,2.99936,0.45363,0.21863,0.15042,-6.94482,-7.17097
"29","2017_Q4",13.6988888888889,"Up",3177792,-1110806,2066986,-597788,1469198,64054,64054,1533252,1583448,-493125,1090323,1090323,1090323,1090323,12250510,643479,11607031,1958653,1958653,1211726,143866,143866,15564755,971703,7208282,-6236579,1019880,16584635,1582568,348281,917619,1582568,94405,94405,94405,1676973,459432,14084716,14907662,14907662,16584635,1090323,50360,-50196,94709,1185196,-18446,-1228347,-1246793,-61597,-61597,-61597,1519558,0,2088946,0.65045,0.46233,0.34311,0.07314,0.06574,1.9159,9.83513,0.11249,0,0.23732,0.23732,0.69168,3.2448,0.45468,0.07268,0.13924,-8.06189,-8.33823
"30","2018_Q1",13.8877049180328,"Up",3229274,-1259337,1969937,-603362,1366575,129549,129549,1496124,1441822,-426439,1015383,1015383,1015383,1015383,8446289,724721,7721568,1905415,1905415,1340523,158295,157964,11850522,942887,7226380,-6283493,1002358,12852880,1422383,354285,881327,1422383,33855,33855,33855,1456238,459432,10471185,11396642,11396642,12852880,1015383,50620,-6478,-281586,777939,-18098,3903584,3885486,81242,81242,81242,1417195,0,1543950,0.61002,0.42318,0.31443,0.08909,0.079,1.52056,8.33146,0.12778,0,0.22101,0.22101,0.70288,2.48059,0.33606,0.4897,0.13507,-5.95986,-6.18063
"31","2018_Q2",14.16296875,"Up",3519512,-1450931,2068581,-625778,1442803,46782,46782,1489585,1341598,-281736,1059862,1059862,1059862,1059862,9954819,1071148,8883671,1811787,1811787,1429170,224555,224224,13420331,911104,7228263,-6317159,951869,14372200,1910223,284699,1128636,1910223,5473,5473,5473,1915696,459432,11997072,12456504,12456504,14372200,1059862,49152,119606,441561,1670181,-26500,-1297254,-1323754,346427,346427,346427,1491955,0,2188752,0.58775,0.40994,0.30114,0.08509,0.07374,2.06513,7.02553,0.15379,0,0.23069,0.23069,0.76606,2.71128,0.4764,0.08505,0.17563,-6.67233,-6.89964
"32","2018_Q3",14.301746031746,"Up",3959218,-1610173,2349045,-625705,1723340,57777,57777,1781117,1762861,-370199,1392662,1392662,1392662,1392662,8677388,3856089,4821299,2151949,2151949,1500369,197990,197659,12527696,882059,7242315,-6360256,919118,13446814,1893169,473337,1268044,1893169,1640,1640,1640,1894809,459432,11092573,11552005,11552005,13446814,1392662,46804,14422,-407716,1046172,-14052,4044115,4030063,2784941,2784941,2784941,1770144,0,1718575,0.59331,0.43527,0.35175,0.12056,0.10357,1.23402,6.61732,0.16402,0,0.30313,0.30313,0.86176,2.51441,0.37407,0.31886,0.14875,-4.90208,-5.03522
"33","2018_Q4",13.4871428571429,"Down",3414002,-1267076,2146926,-617631,1529295,38048,38048,1567343,1666488,-349964,1316524,1316524,1316524,1316524,9942704,725420,9217284,1688173,1688173,1465718,147474,141716,13244069,863772,7268263,-6404491,897125,14141194,1250634,122974,990871,1250634,22030,22030,22030,1272664,459432,12409098,12868530,12868530,14141194,1316524,47940,-78755,-93592,1192117,-25948,-4296838,-4322786,-3130669,-3130669,-3130669,1577235,0,1807659,0.62886,0.44795,0.38562,0.10231,0.0931,1.37305,10.58988,0.0989,0,0.28655,0.28655,0.74309,2.80097,0.39346,0.10213,0.14023,-6.30388,-6.5015
"34","2019_Q1",15.7401639344262,"Up",2876669,-1339115,1537554,-653149,884405,89379,89379,973784,694907,-111624,583283,583283,583283,583283,8172331,550135,7622196,1672567,1672567,1482151,360051,159364,11687100,827925,7276756,-6448831,857572,12544672,1366151,186797,1040635,1366151,253583,253583,253583,1619734,459432,10465506,10924938,10924938,12544672,583283,48046,286377,124236,1041942,-8493.00000000001,1316211,1307718,-175284.999999999,-175284.999999999,-175284.999999999,932451,0,1159818,0.53449,0.30744,0.20276,0.05339,0.0465,1.98843,8.55476,0.14826,0,0.12696,0.12696,0.62614,2.37792,0.25245,0.27805,0.10375,-8.76435,-9.24048
"35","2019_Q2",15.6266666666667,"Down",3282024,-1390051,1891973,-645621,1246352,44167,44167,1290519,1547713,-325019,1222694,1222694,1222694,1222694,9948187,499256,9448931,1604860,1604860,1324771,263956,227432,13141774,802518,7289748,-6487230,828459,13970233,1558162,142492,1276951,1558162,264439,264439,264439,1822601,459432,11688200,12147632,12147632,13970233,1222694,42105,-246338,513193,1531654,-12992,-1569541,-1582533,-50879,-50879,-50879,1288457,0,2113677,0.57647,0.37975,0.37254,0.10065,0.08752,1.7287,8.43415,0.15004,0,0.26613,0.26613,0.71437,2.64405,0.46006,0.09851,0.17029,-7.72101,-7.98184
"36","2019_Q3",16.08609375,"Up",3177692,-1365617,1812075,-595939,1216136,49941,49941,1266077,1352926,-274116,1078810,1078810,1078810,1078810,8602585,910705,7691880,1533255,1533255,1300791,261296,229816,11697927,782782,7308411,-6525629,805017,12502944,1594867,90452,1363766,1594867,208511,208511,208511,1803378,459432,10240134,10699566,10699566,12502944,1078810,42105,-142777,133020,1111158,-18663,1843900,1825237,411449,411449,411449,1258241,0,1646714,0.57025,0.38271,0.33949,0.10083,0.08628,1.52642,7.33474,0.16855,0,0.23481,0.23481,0.69166,2.32887,0.35842,0.33038,0.15096,-6.83699,-7.0737
"37","2019_Q4",15.99640625,"Down",3317370,-1386948,1930422,-648976,1281446,47320,47320,1328766,1354265,-284394,1069871,1069871,1069871,1069871,9539278,1794583,7744695,1618908,1618908,1273992,268879,170568,12701057,814079,7381418,-6567339,832609,13533666,1529493,307845,1080999,1529493,234736,234736,234736,1764229,459432,11310005,11769437,11769437,13533666,1069871,45415,726,-131811,984201,-73007,-27316,-100323,883878,883878,883878,1326861,0,1406437,0.58191,0.38628,0.32251,0.0909,0.07905,1.31459,8.3041,0.1499,0,0.23287,0.23287,0.72206,2.56174,0.30613,0.08912,0.11716,-7.18936,-7.44415
"38","2020_Q1",13.9806451612903,"Down",3821998,-1514737,2307261,-655230,1652031,61901,61901,1713932,1775466,-385130,1390336,1390336,1390336,1390336,7915827,1048311,6867516,2098411,2098411,1217277,335766,170466,11567281,780707,7390525,-6609818,795531,12362812,1343059,71385,1129126,1343059,386855,386855,386855,1729914,459432,10173466,10632898,10632898,12362812,1390336,46185,94868,-682291,849098,-9107,938713,929606,-746272,-746272,-746272,1698216,0,1391948,0.60368,0.43224,0.36377,0.13076,0.11246,1.00116,8.61264,0.16269,0,0.30262,0.30262,0.8319,2.31436,0.30297,0.3553,0.12631,-4.66126,-4.79157
