"","YQ","p","d","revenue","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",11.506875,"Up",103864000,-84677000,-84677000,19187000,908000,908000,20095000,20095000,-2360000,17735000,17735000,-17036000,699000,699000,137417000,112074000,25343000,27103000,27103000,30811000,8301000,195331000,6405000,45303000,43632000,51708000,247039000,1164000,1164000,65074000,65074000,66238000,43577000,43577000,43577000,109815000,210049000,-44141000,0,165908000,-28684000,137224000,247039000,17735000,530000,23519000,12659000,54443000,-704000,-160000,-2932000,-78000,-53809000,-58144000,-6633000,-6633000,-6633000,19717000,0,34032000,0.18473,0.00673,0.00509,0.00283,48.6867,2.94893,0.80026,0,0.05058,0.05058,7.51532,12.00465,2.46246,0.01595,0.18823,-6.96947,-7.16198
"12","2014_Q4",10.07453125,"Down",104795000,-80785000,-80785000,24010000,-1214000,-1214000,22796000,22796000,-2976000,19820000,19820000,-19392000,428000,428000,144639000,118857000,25782000,24322000,24322000,30218000,7562000,199179000,6650000,45457000,43839000,52107000,251286000,2222000,2222000,57684000,57684000,59906000,41604000,41604000,41604000,101510000,213207000,-45905000,0,167302000,-17526000,149776000,251286000,19820000,636000,22830000,-4935000,38351000,-820000,-1711000,-2531000,-52000,-26793000,-29037000,6783000,6783000,6783000,24646000,0,21867000,0.22911,0.00408,0.00286,0.0017,51.09112,3.32486,0.67775,0,0.03073,0.03073,7.52296,12.01018,1.56978,0.01369,0.11426,-5.86866,-6.02411
"13","2015_Q1",8.17081967213115,"Down",89869000,-18856000,-18856000,71013000,-229000,-229000,70784000,70784000,-2248000,68536000,68536000,-60427000,8109000,8109000,151907000,124992000,26915000,23704000,23704000,26889000,5919000,202500000,7456000,47517000,45983000,54973000,257473000,2906000,2906000,63591000,63591000,66497000,42265000,42265000,42265000,108762000,209421000,-41087000,0,168334000,-19623000,148711000,257473000,68536000,674000,-24627000,6274000,50857000,-1397000,-1438000,-2835000,-55000,-39639000,-41887000,6135000,6135000,6135000,71687000,0,78812000,0.79018,0.09023,0.05453,0.03149,9.71908,3.04525,0.73136,0,0.61376,0.57823,6.8021,12.74103,5.9652,0.05394,0.41268,-2.11903,-2.13914
"14","2015_Q2",7.88396825396825,"Down",90426000,-52592000,-52592000,37834000,756000,756000,38590000,38590000,-2479000,36111000,36111000,-32802000,3309000,3309000,105587000,80377000,25210000,21889000,21889000,31158000,7972000,158634000,7327000,43324000,41848000,50651000,209285000,1661000,1661000,46686000,46686000,48347000,42231000,42231000,42231000,90578000,205112000,-39972000,-1000,165139000,-46432000,118707000,209285000,36111000,642000,710999.999999985,-16953000,20511000,-374000,1767000,1393000,-51000,-26851000,-66519000,-44615000,-44615000,-44615000,38476000,0,23628000,0.4184,0.03659,0.02788,0.01581,7.14053,3.28115,0.76304,0,0.2378,0.2378,6.4985,11.86778,1.69803,0.04101,0.14681,-2.74423,-2.7908
"15","2015_Q3",6.64078125,"Down",86973000,-53185000,-53185000,33788000,-1499000,-1499000,32289000,32289000,-2081000,30208000,30208000,-26705000,3503000,3503000,120173000,94600000,25573000,19942000,19942000,28997000,7933000,169112000,6994000,42684000,41267000,49678000,218790000,1159000,1159000,53026000,53026000,54185000,42254000,42254000,42254000,96439000,205419000,-38834000,-1000,166584000,-44233000,122351000,218790000,30208000,613000,4104000,9827000,44752000,-76000,-89000,-165000,-43000,-26733000,-30364000,14223000,14223000,14223000,34401000,0,46233000,0.38849,0.04028,0.02863,0.01601,13.19812,3.12101,0.78822,0,0.25018,0.25018,6.21141,11.89704,3.30185,0.03461,0.28087,-3.4933,-3.55668
"16","2015_Q4",6.01640625,"Down",70646000,-39913000,-39913000,30733000,-6007000,-6007000,24726000,24726000,1600000,26326000,26326000,-22784000,3542000,3542000,117909000,94183000,23726000,17618000,17618000,23678000,6767000,159205000,6445000,44978000,43619000,51423000,210628000,870000,870000,46710000,46710000,47580000,41604000,41604000,41604000,89184000,205627000,-37649000,-2000,167976000,-46532000,121444000,210628000,26326000,713000,4912000,-3613000,28338000,-105000,-81000,-186000,-72000,-26131000,-28569000,-417000.000000007,-417000,-417000,31446000,0,26128000,0.43503,0.05014,0.02917,0.01682,7.37662,3.34605,0.73436,0,0.04325,0.04325,0.862699999999999,2.05126,0.31907,0.03623,0.16025,-3.74957,-3.83656
"17","2016_Q1",5.33983606557377,"Down",69998000,-43801000,-43801000,26197000,-211000,-211000,25986000,25986000,-1679000,24307000,24307000,-21447000,2860000,2860000,140158000,117591000,22567000,15807000,15807000,20583000,4638000,176548000,6299000,47949000,46649000,54248000,230796000,1141000,1141000,53418000,53418000,54559000,41457000,41457000,41457000,96016000,205908000,-37149000,-3000,168756000,-33976000,134780000,230796000,24307000,504000,2398000,7908000,35117000,-299000,1330000,1031000,-67000,-10309000,-12740000,23408000,23408000,23408000,26701000,0,35989000,0.37425,0.04086,0.02122,0.01239,12.58357,3.23591,0.71239,0,0.20821,0.2048,5.09594,12.28564,2.62004,0.02964,0.20421,-5.24917,-5.35015
"18","2016_Q2",6.4975,"Up",62042000,-39262000,-39262000,22780000,1078000,1078000,23858000,23858000,-1674000,22184000,22184000,-19766000,2418000,2418000,147934000,126970000,20964000,15016000,15016000,11616000,4260000,174566000,5972000,46997000,45755000,52969000,227535000,1036000,1036000,39066000,39066000,40102000,41330000,41330000,41330000,81432000,206121000,-37080000,0,169041000,-22938000,146103000,227535000,22184000,508000,1168000,-8480000,15380000,-120000,2319000,6218000,-60000,-9798000,-12219000,9379000,9379000,9379000,23288000,0,16362000,0.36717,0.03897,0.01655,0.01063,6.76675,4.35305,0.55736,0,0.17167,0.17167,4.40486,12.00157,1.16167,0.0255,0.0873,-6.35237,-6.49403
"19","2016_Q3",6.02921875,"Down",64505000,-41542000,-41542000,22963000,280000,280000,23243000,23243000,-1545000,21698000,21698000,-19093000,2605000,2605000,136725000,117664000,19061000,17209000,17209000,11577000,4482000,165511000,6315000,59490000,44855000,65805000,231316000,1990000,1990000,44687000,44687000,46677000,45862000,45862000,45862000,92539000,203959000,-36880000,3000,167082000,-28305000,138777000,231316000,21698000,625000,1554000,3910000,27787000,-27000,2115000,-7244000,-49000,-11308000,-29849000,-9306000,-9306000,-9306000,23588000,0,29016000,0.35599,0.04038,0.01877,0.01126,11.13858,3.54588,0.66682,0,0.18289,0.18289,4.52871,11.73034,2.03713,0.02687,0.15715,-5.79638,-5.95414
"20","2016_Q4",5.67349206349206,"Down",63305000,-41613000,-41613000,21692000,-142000,-142000,21550000,21550000,-1565000,19985000,19985000,-17727000,2258000,2258000,142312000,123708000,18604000,17240000,17240000,10202000,3572000,169754000,6065000,58747000,44437000,64812000,234566000,2523000,2523000,46411000,46411000,48934000,42843000,42843000,42843000,91777000,204035000,-37027000,4000,167012000,-24223000,142789000,234566000,19985000,819000,544000,855000,22203000,-93000,369999.999999999,291000,-45000,-1.4e+07,-16450000,6044000,6044000.00000001,6044000.00000001,22511000,0,24838000,0.34266,0.03567,0.01581,0.00963,11,3.46904,0.64275,0,0.15929,0.15929,4.46586,11.78188,1.7522,0.02512,0.1338,-6.32189,-6.56058
"21","2017_Q1",5.1541935483871,"Down",59085000,-37312000,-37312000,21773000,358000,358000,22131000,22131000,-3590000,18541000,18541000,-16548000,1993000,1993000,138289000,100819000,37470000,15434000,15434000,11644000,4883000,165367000,5680000,49552000,41905000,55232000,220599000,2053000,2053000,45325000,45325000,47378000,38743000,38743000,38743000,86121000,200308000,-37383000,-13000,162912000,-28434000,134478000,220599000,18541000,529000,6203000,-945000,24328000,-71000,-19866000,-19937000,-46000,-24828000,-27280000,-22889000,-22889000,-22889000,22302000,0,24876000,0.3685,0.03373,0.01482,0.00903,12.48169,3.49038,0.64041,0,0.14996,0.14091,4.44585,12.2583,1.87179,0.0254,0.14361,-6.20074,-6.3514
"22","2017_Q2",3.94603174603175,"Down",55485000,-38770000,-38770000,16715000,1142000,1142000,17857000,17857000,-1343000,16514000,16514000,-14617000,1897000,1897000,144187000,100568000,43619000,13959000,13959000,10974000,4440000,169120000,5444000,48492000,40856000,53936000,223056000,2021000,2021000,51641000,51641000,53662000,38492000,38492000,38492000,92154000,198585000,-36685000,-19000,161881000,-30979000,130902000,223056000,16514000,439000,853000,-10236000,7570000,-191000,-5184000,-5375000,-49000,0,-2446000,-250999.999999993,-251000,-251000,17154000,0,8070000,0.30125,0.03419,0.01449,0.0085,4.25409,3.15158,0.70399,0,0.13343,0.13343,3.90273,11.38645,0.56763,0.02535,0.04764,-8.40544,-8.6262
"23","2017_Q3",3.09587301587302,"Down",51536000,-36551000,-36551000,14985000,846000,846000,15831000,15831000,-1242000,14589000,14589000,-12904000,1685000,1685000,138209000,92958000,45251000,11727000,11727000,9838000,3850000,159774000,5599000,47547000,39922000,53146000,212920000,1315000,1315000,36218000,36218000,37533000,38393000,38393000,38393000,75926000,198637000,-36074000,-28000,162535000,-25541000,136994000,212920000,14589000,436000,984000,6632000,22641000,-559000,-1031000,-1270000,-48000,-17931000,-28981000,-7610000,-7610000,-7610000,15421000,0,22736000,0.29077,0.0327,0.0123,0.00791,13.49318,4.25689,0.55423,0,0.11784,0.11784,3.60421,11.36701,1.59006,0.01644,0.12963,-8.96239,-9.22316
"24","2017_Q4",3.10063492063492,"Up",48838000,-37094000,-37094000,11744000,847000,847000,12591000,12591000,-739000,11852000,11852000,-10331000,1521000,1521000,141644000,103322000,38322000,11041000,11041000,9190000,2977000,161875000,5536000,47176000,39563000,52712000,214587000,1915000,1915000,35935000,35935000,37850000,35596000,35596000,35596000,73446000,198686000,-35706000,-30000,162950000,-21809000,141141000,214587000,11852000,453000,-38999.9999999995,-1160000,11106000,-307000,7639000,7332000,-37000,-6831000,-8074000,10364000,10364000,10364000,12197000,0,11469000,0.24047,0.03114,0.01078,0.00709,7.54043,4.27675,0.52037,0,0.01945,0.01945,0.62445,2.08349,0.14664,0.01543,0.06489,-11.61302,-12.06097
"25","2018_Q1",3.01032786885246,"Down",45668000,-37344000,-37344000,8324000,13274000,13274000,21598000,21598000,-16028000,5570000,5570000,-7086000,-1516000,-1516000,148666000,78262000,70404000,15337000,15337000,4870000,4870000,168873000,5407000,30900000,23298000,36307000,205180000,1612000,1612000,42560000,42560000,44172000,22648000,22648000,22648000,66820000,198791000,-38424000,-86000,160281000,-21921000,138360000,205180000,5570000,435000,2776000,6323000,15104000,748000,-31994000,-31246000,-33000,-7683000,-8918000,-25060000,-25060000,-25060000,8759000,0,31858000,0.18227,-0.0332,-0.01096,-0.00739,-21.01451,3.82308,0.48294,0,-0.10703,-0.10648,3.22422,11.31605,2.24922,-0.00194,0.19787,-16.97294,-17.85992
"26","2018_Q2",2.77796875,"Down",42224000,-35008000,-35008000,7216000,534999.999999998,535000,7751000,7751000,-478000,7273000,7273000,-6059000,1214000,1214000,138558000,69455000,69103000,13521000,13521000,5727000,5727000,157806000,5183000,31991000,22792000,37174000,194980000,1716000,1716000,30813000,30813000,32529000,22369000,22369000,22369000,54898000,198560000,-38165000,-113000,160282000,-20200000,140082000,194980000,7273000,557000,-839999.999999999,-10706000,-3716000,2067000,904000,2971000,-33000,-4908000,-8062000,-8806999.99999999,-8807000,-8807000,7773000,0,-388000,0.1709,0.02875,0.00867,0.00623,-0.319600000000001,4.85124,0.3919,0,0.08481,0.01551,2.94993,11.19792,-0.0271099999999995,0.01488,-0.00238999999999998,-17.82555,-19.2015
"27","2018_Q3",2.54936507936508,"Down",41120000,-34770000,-34770000,6350000,332000,332000,6682000,6682000,-492000,6190000,6190000,-5424000,766000,766000,146574000,77198000,69376000,12863000,12863000,5104000,5104000,164541000,5737000,31833000,22508000,37570000,202111000,2367000,2367000,35314000,35314000,37681000,22172000,22172000,22172000,59853000,198641000,-38626000,-113000,159902000,-17644000,142258000,202111000,6190000,4e+05,670000,6126000,13386000,-823000,-293000,-1116000,-33000,-3273000,-4527000,7743000,7743000,7743000,6750000,0,12545000,0.15443,0.01863,0.00538,0.00379,16.37728,4.36668,0.42074,0,0.05214,0.05208,2.79882,10.88366,0.85387,0.01208,0.07629,-21.71467,-23.08252
"28","2018_Q4",1.87888888888889,"Down",40548000,-36015000,-36015000,4533000,719000,719000,5252000,5252000,-274000,4978000,4978000,-4198000,780000,780000,146699000,76706000,69993000,13276000,13276000,4099000,4099000,164074000,5478000,31096000,22275000,36574000,200648000,1828000,1828000,33341000,33341000,35169000,20996000,20996000,20996000,56165000,198726000,-39072000,-103000,159551000,-15068000,144483000,200648000,4978000,376000,412000,-2459000,3307000,-38000,-458000,-495999.999999998,-32000,-2045000,-3303000,-492000.000000002,-492000.000000002,-492000.000000002,4909000,0,2686000,0.11179,0.01924,0.0054,0.00389,3.44359,4.6653,0.38873,0,0.05292,0.00998999999999999,2.75078,10.82396,0.18222,0.01212,0.01623,-29.88368,-32.36245
"29","2019_Q1",2.04983606557377,"Up",37439000,-32156000,-32156000,5283000,664000,664000,5947000,5947000,-1403000,4544000,4544000,-4107000,437000,437000,150776000,59586000,91190000,11447000,11447000,5221000,5221000,167444000,5649000,29466000,20795000,35115000,202559000,1845000,1845000,34431000,34431000,36276000,20040000,20040000,20040000,56316000,198757000,-38865000,-77000,159815000,-13572000,146243000,202559000,4544000,386000,1940000,2991000,9861000,-530000,-22337000,-22867000,-23000,-2863000,-4114000,-17120000,-17120000,-17120000,5669000,0,9533000,0.14111,0.01167,0.00299,0.00216,21.81465,4.61583,0.38509,0,0.02963,0.02987,2.53879,10.83729,0.64645,0.01001,0.05733,-26.59658,-28.53984
"30","2019_Q2",1.88238095238095,"Down",34797000,-33513000,-33513000,1284000,1875000,1875000,3159000,3159000,-242000,2917000,2917000,-2356000,561000,561000,142414000,54308000,88106000,10751000,10751000,6182000,6182000,159347000,5710000,49575000,20712000,55285000,214632000,1979000,1979000,25999000,25999000,27978000,37746000,37746000,37746000,65724000,198968000,-38516000,-56000,160396000,-11488000,148908000,214632000,2917000,403000,498000,-10695000,-6877000,-520000,4072000,3552000,-27000,-1620000,-1953000,-5278000,-5278000,-5278000,1687000,0,-9286000,0.0369,0.01612,0.00377,0.00261,-16.55258,5.69544,0.44137,0,0.03758,0.00714,2.3311,10.74517,-0.62208,0.00464,-0.04975,-84.41849,-110.91433
"31","2019_Q3",1.6634375,"Down",34294000,-31819000,-31819000,2475000,1075000,1075000,3550000,3550000,-331000,3219000,3219000,-2805000,414000,414000,146788000,57169000,89619000,12231000,12231000,6086000,5849000,165105000,5961000,49494000,20460000,55455000,220560000,1712000,1712000,32414000,32414000,34126000,37704000,37704000,37704000,71830000,198460000,-38372000,-34000,160054000,-11324000,148730000,220560000,3219000,393000,629000,4688000,8929000,-448000,-1147000,-1595000,-34000,-877000,-4277000,3057000,2861000,2861000,2868000,0,7439000,0.07217,0.01207,0.00278,0.00188,17.9686,4.8381,0.48296,0,0.02711,0.0053,2.24589,10.48184,0.48718,0.0039,0.0399,-51.18131,-59.30828
"32","2019_Q4",1.6578125,"Down",34178000,-30749000,-30749000,3429000,3298000,3298000,6727000,6727000,-150000,6577000,6577000,-5753000,824000,824000,153041000,88383000,64658000,10767000,10767000,4918000,4918000,168726000,6206000,48567000,20367000,54773000,223499000,1612000,1612000,31417000,31417000,33029000,37434000,37434000,37434000,70463000,198585000,-37842000,-35000,160708000,-7672000,153036000,223499000,6577000,406000,-1823000,1505000,6665000,2341000,24991000,27332000,-43000,-2624000,-2979000,31018000,31214000,31214000,3835000,0,7831000,0.10033,0.02411,0.00538,0.00369,9.50364,5.10842,0.46043,0,0.05388,0.05328,2.23492,10.5088,0.51207,0.00596,0.04111,-39.90639,-44.63138
"33","2020_Q1",1.60806451612903,"Down",32732000,-37212000,-37212000,-4480000,-1335000,-3012000,-5815000,-3131000,275000,-2856000,-2856000,2490000,-366000,-366000,157555000,67088000,90467000,10182000,10182000,5607000,5607000,173344000,4565000,48302000,20668000,52867000,226211000,27815000,1614000,10759000,10759000,38574000,38016000,38016000,38016000,76590000,198676000,-38478000,-50000,160148000,-10527000,149621000,226211000,-2856000,2561000,24000,6519000,6248000,-3640000,-25374000,-26112000,-37000,-1083000,-1431000,-21295000,-21295000,-21295000,-1919000,0,685000,-0.13687,-0.01118,-0.00245,-0.00162,-1.87158,4.4938,0.51189,0,-0.0238,-0.00138,2.1286,10.41463,0.04455,-0.00029,0.00365,82.10266,35.16853
"34","2020_Q2",2.7652380952381,"Up",31109000,-29173000,-29173000,1936000,355000,355000.000000001,2291000,-2391000,3226000,834999.999999998,834999.999999998,23000,858000,858000,146062000,75019000,71043000,9506000,9506000,13614000,13614000,169182000,4e+06,46118000,19311000,50118000,219300000,1305000.00000001,1305000,31267000,31267000,32572000,35749000,35749000,35749000,68321000,198885000,-37953000,-134000,160798000,-9819000,150979000,219300000,834999.999999998,378000,2215000,-12404000,-8976000,95000.0000000009,17163000,17258000,-30000,-2000,-351000.000000004,7930999.99999999,7931000,7931000,2314000,0,-13221000,0.06223,0.02758,0.00568,0.00391,-15.40909,5.19409,0.45252,0,0.05426,0.01101,1.96731,10.16875,-0.83609,0.0063,-0.0708,-63.121,-75.44525
"35","2020_Q3",3.54921875,"Up",30346000,-27293000,-27293000,3053000,360000,360000,3413000,5743000,-1460000,4283000,4283000,-2737000,1546000,1546000,64746000,40577000,24169000,11373000,11373000,13158000,13158000,89277000,3658000,47322000,21671000,50980000,140257000,1239000,1239000,35844000,35844000,37083000,34082000,34082000,34082000,71165000,112463000,-36407000,-112000,75944000,-6852000,69092000,140257000,4283000,418000,931000,2854000,8486000,-278000,48470000,48192000,-11000,3.72529029846191e-09,-91120000,-34442000,-34442000,-34442000,3471000,0,7507000,0.10061,0.05095,0.02238,0.01102,4.85576,2.40749,1.03,0,0.09583,0.03376,1.88103,4.70747,0.46533,0.01814,0.07276,-18.65341,-21.20734
