"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",20.2759375,"Up",46625000,-16808000,29817000,-29229000,-8893000,-3118000,-17218000,588000,5000,593000,593000,-52000,541000,541000,541000,541000,32218000,32218000,10811000,10811000,11683000,2830000,54712000,11273000,99664000,25566000,65644000,8454000,110937000,165649000,22953000,2492000,20461000,9982000,6229000,3753000,32935000,4021000,4021000,4021000,36956000,176354000,-10925000,-36736000,128693000,128693000,165649000,541000,3118000,1656000,-1560000,3755000,-1370000,-1370000,-310000,56000,-150000,2235000,2235000,2235000,3706000,0,828000,0.63951,0.01261,0.0116,0.0042,0.00327,1.5305,1.66121,0.28716,0,0.01671,0.01579,1.44016,3.97508,0.02558,0.00408,0.00624,-8.69347,-54.79252
"12","2013_Q3",27.7628125,"Up",51632000,-19638000,31994000,-30237000,-9962000,-3081000,-17194000,1757000,186000,1943000,1943000,-825000,1118000,1118000,1118000,1118000,39679000,39679000,12800000,12800000,13597000,4220000,66076000,11211000,98743000,32045748.2871427,65644000,33099000,109954000,176030000,27794000,4103000,23691000,5848000,5848000,6150006.34455634,33642000,7781000,7781000,7781000,41423000,181369000,-11144000,-35618000,134607000,134607000,176030000,1118000,3081000,481000,1732000,6412000,-1771000,-1771000,1929000,2149000,2820000,7461000,7461000,7461000,4838000,0,5624000,0.61965,0.03403,0.02165,0.00831,0.00635,5.03040999999999,1.96409,0.30773,0,0.03423,0.03172,1.58075,4.1211,0.17218,0.00785,0.0395,-8.20153,-22.58338
"13","2013_Q4",36.45296875,"Up",69880000,-30154000,39726000,-37515000,-11985000,-4467000,-21063000,2211000,4000,2215000,1741000,-435000,1306000,1306000,1306000,1306000,36683000,36683000,18634000,18634000,17856000,8198000,73173000,12493000,122835000,38348000,74335000,10152000,135328000,208501000,34910000,4505000,30405000,15494000,6522000,8972000,50404000,15138000,15138000,15138000,65542000,188415000,-11144000,-34312000,142959000,142959000,208501000,1306000,4467000,-174000,-1181000,4418000,-3453000,-12445000,3374000,3374000,5031000,-2996000,-2996000,-2996000,6678000,0,2479000,0.56849,0.03164,0.01869,0.00914,0.00626,1.89816,1.45173,0.45847,0,0.03876,0.03602,2.07369,4.24231,0.07356,0.00826,0.01568,-5.49311,-16.59114
"14","2014_Q1",42.8590163934426,"Up",74398000,-32370000,42028000,-40598000,-13968000,-4663000,-21967000,1430000,5000,1435000,1435000,-740000,695000,695000,695000,695000,49942000,49942000,19848000,19848000,17984000,7155000,87774000,12766000,120702000,35698000,74335000,10669000,133468000,221242000,40770000,5528000,35242000,15800000,6245000,9555000,56570000,16900000,15752000,16900000,73470000,192569000,-11180000,-33617000,147772000,147772000,221242000,695000,4663000,1988000,6926000,14272000,-2674000,-2674000,786000,822000,1661000,13259000,13259000,13259000,6093000,-1.81898940354586e-12,11085000,0.56491,0.01922,0.00934,0.0047,0.00314,15.94964,1.5516,0.49718,1.0842021724855e-19,0.02042,0.01884,2.18637,4.34265,0.32576,0.00422,0.06732,-8.19662,-34.92448
"15","2014_Q2",40.4646031746032,"Down",78539000,-34437000,44102000,-40031000,-12150000,-4422000,-23459000,4071000,81000,4152000,4152000,-1284000,2868000,2868000,2994000,2994000,52629000,52629000,21976000,21976000,18107000,7278000,92712000,13279000,118913000,33254000,74335000,11324000,132192000,224904000,38339000,6797000,31542000,15157000,6011000,9146000,53496000,18686000,16213000,18686000,72182000,195976000,-12789000,-30623000,152564000,152722000,224904000,2868000,4422000,2883000,-3854000,6319000,-2862000,-2862000,-770000,839000,-770000,2687000,2687000,2687000,8493000,0,3061000,0.56153,0.05183,0.03812,0.0196,0.01331,1.02238,1.73306,0.47264,0,0.08776,0.0819,2.30215,4.47199,0.08972,0.01747,0.01786,-6.19675,-12.92778
"16","2014_Q3",45.78828125,"Up",84829000,-37955000,46874000,-42708000,-12936000,-4615000,-25157000,4166000,1839000,6005000,6005000,-2355000,3650000,3650000,3719000,3719000,64464000,64464000,24857000,24857000,18732000,6660000,108053000,14565000,117770000,31398000,74868000,11504000,132335000,240388000,40411000,6728000,33683000,16712000,6566000,10146000,57123000,19529000,16512000,19529000,76652000,202959000,-12875000,-26904000,163180000,163736000,240388000,3650000,4615000,1168000,2139000,11572000,-3630000,-3630000,690000,776000,3893000,11835000,11835000,11835000,8781000,-5.82076609134674e-11,9645000,0.55257,0.04911,0.04384,0.02271,0.01547,2.59344,1.89158,0.46814,-1.73472347597681e-18,0.10764,0.1008,2.45525,4.723,0.27916,0.02029,0.05263,-7.34131,-15.47384
"17","2014_Q4",46.9921875,"Up",88577000,-39111000,49466000,-43514000,-13428000,-4253000,-25833000,5952000,-11000,5941000,5941000,-2173000,3768000,3768000,3768000,3768000,105899000,105899000,24514000,24514000,19104000,6357000,149517000,16438000,121578000,32210000,77918000,11450000,138016000,287533000,46121000,7537000,38584000,17779000,5958000,11821000,93900000,20343000,16073000,20343000,114243000,209049000,-13179000,-23136000,172734000,173290000,287533000,3768000,4253000,245000,8666000,16932000,-1319000,-2607000,1227000,1531000,27110000,41435000,41435000,41435000,10205000,3e+07,19725000,0.55845,0.0672,0.04254,0.02174,0.0131,5.23487,1.5923,0.65926,0.10434,0.10866,0.10172,2.55432,4.98118,0.56882,0.01685,0.0882,-7.43743,-12.75185
"18","2015_Q1",53.3629508196721,"Up",96803000,-38564000,58239000,-51176000,-15807000,-5361000,-30008000,7063000,-654000,6409000,6409000,-2716000,3693000,3693000,3693000,3693000,209754000,209754000,20345000,20345000,12461000,7242000,242560000,16629000,180169000,58654000,104976000,16539000,196798000,439358000,53116000,4869000,48247000,17114000,5159000,11955000,70230000,21934000,14980000,167137000,237367000,234120000,-13242000,-19443000,201435000,201991000,439358000,3693000,5361000,-5405000,17525000,21174000,-1748000,-60030000,1982000,2045000,142711000,103855000,103855000,103855000,12424000,145203000,30917000,0.60162,0.07296,0.03815,0.01828,0.00841,8.37178,3.45379,1.17514,0.33049,0.10583,0.09977,2.77409,5.77254,0.88599,0.01,0.08376,-5.19567,-9.13932
"19","2015_Q2",48.1214285714286,"Down",96454000,-38695000,57759000,-51077000,-14209000,-5333000,-31535000,6682000,-2203000,4479000,4479000,-1968000,2511000,2511000,2511000,2511000,209914000,209914000,26198000,26198000,24726000,20091000,260838000,17087000,180891000,58514000,104976000,17401000,197978000,458816000,52297000,5151000,47146000,18286000,5702000,12584000,70583000,25162000,13359000,171573000,242156000,252719000,-19683000,-16932000,216104000,216660000,458816000,2511000,5333000,-4741000,-5851000,-2748000,-3190000,-5831000,-2729000,3712000,8739000,160000,160000,160000,12015000,146411000,4942000,0.59882,0.06928,0.02603,0.01159,0.00547,1.96814,3.69548,1.11768,0.31911,0.07144,0.06729,2.7443,6.14857,0.14061,0.00647,0.01273,-5.28531,-9.50359
"20","2015_Q3",36.66109375,"Down",102663000,-42486000,60177000,-53193000,-15512000,-5725000,-31956000,6984000,-2251000,4733000,4215000,-1679000,2536000,2536000,2536000,2536000,198927000,198927000,29232000,29232000,25288000,20653000,253447000,18283000,213898000,67911000,126367000,19620000,232181000,485628000,54853000,6402000,48451000,20547000,7872000,12675000,75400000,25033000,12916000,172660000,248060000,271205000,-19797000,-14396000,237012000,237568000,485628000,2536000,5725000,505000.000000001,-1364000,7402000,-3930000,-24501000,2085000,2199000,6112000,-10987000,-10987000,-10987000,12709000,147627000,9094000,0.58616,0.06803,0.0247,0.01067,0.00522,3.58596,3.36137,1.04416,0.30399,0.07088,0.06728,2.86927,6.62411,0.25416,0.00618,0.02217,-4.03651,-7.34536
"21","2015_Q4",30.80796875,"Down",103367000,-41027000,62340000,-54012000,-15184000,-6157000,-32671000,8328000,-2347000,5981000,5981000,-2679000,3302000,3302000,3302000,3302000,208348000,208348000,25467000,25467000,25349000,20714000,259164000,18461000,220032000,65199000,134814000,20019000,238493000,497657000,58460000,5236000,53224000,16756000,8320000,8436000,75216000,25589000,11764000,174466000,249682000,278725000,-20054000,-11094000,247577000,247975000,497657000,3302000,6157000,862000,10856000,21177000,-3514000,-9234000,1282000,1539000,-2522000,9421000,9421000,9421000,14485000,148877000,24506000,0.60309,0.08057,0.03194,0.01332,0.00664,7.42156,3.4456,1.00688,0.29916,0.09165,0.08762,2.86913,6.87193,0.68021,0.00782,0.05801,-4.1057,-7.14109
"22","2016_Q1",23.4596721311475,"Down",118435000,-39101000,79334000,-82336000,-27995000,-10747000,-43594000,-3002000,-3203000,-6205000,-5687000,1774000,-3913000,-3913000,-3913000,-3913000,51718000,51718000,46756000,46756000,15927000,13239000,114401000,28681000,733167000,292675000,421273000,19219000,761848000,876249000,93831000,10420000,83411000,17626000,15089000,2537000,117521000,34048000,19670000,318801000,436322000,474996000,-20654000,-15007000,439529000,439927000,876249000,-3913000,10747000,17028000,-7658000,16204000,-4082000,-304955000,231000,831000,132121000,-156630000,-156630000,-156630000,7745000,290817000,-5769000,0.66985,-0.02535,-0.03304,-0.00889,-0.00447,1.47432,0.97345,0.99181,0.33189,-0.10021,-0.09578,3.033,11.25588,-0.14774,-0.00512,-0.00754,30.8714,-79.64657
"23","2016_Q2",32.27609375,"Up",131821000,-40158000,91663000,-104423000,-25727000,-16080000,-62616000,-12760000,-3949000,-16709000,-16709000,5716000,-10993000,-10993000,-10993000,-10993000,36550000,36550000,35455000,35455000,22880000,22880000,94885000,27122000,734237000,286174000,426695000,21368000,761359000,856244000,71801000,10441000,61360000,22766000,17576000,5190000,102631000,34844000,19305000,319602000,422233000,486982000,-27725000,-2.6e+07,433613000,434011000,856244000,-10993000,16080000,17191000,-8762000,13516000,-3199000,-22824000,-5860000,1211000,-5860000,-15168000,-15168000,-15168000,3320000,292822000,-14357000,0.69536,-0.0968,-0.08339,-0.02533,-0.01284,1.30601,0.92453,0.97286,0.34198,-0.25862,-0.25862,3.10119,10.20108,-0.33776,-0.01443,-0.01885,77.19036,-20.08401
"24","2016_Q3",37.95671875,"Up",141708000,-44902000,96806000,-103136000,-28372000,-17100000,-57664000,-6330000,-4831000,-11161000,-11161000,3218000,-7943000,-7943000,-7943000,-7943000,38522000,38522000,42549000,42549000,30497000,30497000,111568000,28696000,720683000,273979000,423450000,23254000,749379000,860947000,83154000,15941000,67213000,18035000,15272000,2763000,107253000,37199000,20268000,321967000,429220000,495528000,-30488000,-33943000,431329000,431727000,860947000,-7943000,17100000,9272000,-5820000,12609000,-4678000,-3446999.99999997,-1690000,1073000,-7190000,1971999.99999999,1971999.99999999,1972000,10770000,290832000,-2946000,0.68314,-0.04467,-0.05605,-0.0184,-0.00923,0.37089,1.04023,0.99419,0.3378,-0.18576,-0.18576,3.31408,10.08736,-0.0689,-0.01045,-0.00388,23.42711,-39.8594
"25","2016_Q4",35.8844444444444,"Down",149155000,-47259000,101896000,-103187000,-26150000,-16692000,-60345000,-1291000,-4434000,-5725000,-5725000,1668000,-4057000,-4057000,-4057000,-4057000,50662000,50662000,42451000,42451000,32772000,19811000,125885000,32566000,711499000,262234000,422565000,26700000,744065000,869950000,85106000,10456000,74650000,17308000,15379000,1929000,135591000,41214000,24994000,298907000,434498000,504805000,-31619000,-3.8e+07,435054000,435452000,869950000,-4057000,16692000,-1533000,16123000,27225000,-9179000,-11417000,-244000,887000,-3668000,12140000,12140000,12140000,15401000,290870000,20677000,0.68316,-0.00866,-0.0272,-0.00932,-0.00466,-5.09662,0.92842,0.99781,0.33435,-0.09469,-0.09469,3.48109,10.15361,0.48258,-0.00529,0.02694,15.59691,-186.06352
"26","2017_Q1",36.3733870967742,"Up",155480000,-48271000,107209000,-110272000,-35186000,-14127000,-60959000,-3063000,-3832000,-6895000,-6895000,-25679000,-32574000,-32574000,-32574000,-32574000,52592000,52592000,44268000,44268000,16224000,16224000,113084000,3.3e+07,726317000,265558000,431936000,28823000,759317000,872401000,99243000,11480000,87763000,18785000,16499000,2286000,155954000,50176000,28978000,303160000,459114000,516953000,-33068000,-70574000,412889000,413287000,872401000,-32574000,14127000,27024000,21219000,29796000,-5520000,-20239000,310000,1759000,-5627000,3930000,3930000,3930000,11064000,290910000,52442000,0.68954,-0.0197,-0.20951,-0.07882,-0.03734,-1.60993,0.72511,1.11088,0.33346,-0.75501,-0.75501,3.60377,9.57008,1.21552,-0.04318,0.06952,21.53995,-77.80542
"27","2017_Q2",35.952380952381,"Down",157786000,-49226000,108560000,-111914000,-30547000,-15835000,-65532000,-3354000,-5483000,-8837000,-8837000,-4298000,-13135000,-13135000,-13135000,-13135000,39479000,39479000,44731000,44731000,20156000,20156000,104366000,33540000,716239000,254973000,432339000,28927000,749779000,854145000,91890000,12618000,79272000,22291000,19591000,2700000,174402000,51250000,27841000,275844000,450246000,526617000,-39718000,-83709000,403501000,403899000,854145000,-13135000,15835000,14012000,-8068000,8644000,-6098000,-6098000,-4747000,1903000,-15983000,-13437000,-13437000,-13113000,12481000,284815000,2613000,0.68802,-0.02126,-0.08325,-0.03252,-0.01538,-0.19893,0.59842,1.11475,0.33345,-0.30291,-0.30291,3.63881,9.3054,0.06026,-0.01775,0.00353,19.65676,-73.14729
"28","2017_Q3",42.7373015873016,"Up",167417000,-55735000,111682000,-108939000,-28478000,-15465000,-64996000,2743000,-4369000,-1626000,-1626000,-4844000,-6470000,-6470000,-6470000,-6470000,27730000,27730000,49566000,49566000,18938000,18938000,96234000,34787000,708645000,243902000,432850000,31893000,743432000,839666000,97772000,11542000,86230000,21050000,19055000,1995000,157518000,57901000,30942000,278980000,436498000,535280000,-42718000,-90179000,402770000,403168000,839666000,-6470000,15465000,14410000,3138000,26543000,-8734000,-8734000,-2282000,718000,-29517000,-11708000,-11708000,-11749000,18208000,259775000,17456000,0.66709,0.01638,-0.03865,-0.01605,-0.00771,-2.69799,0.61094,1.08267,0.30938,-0.14818,-0.14818,3.8342,9.22428,0.39978,-0.00898,0.02422,12.74412,84.59533
"29","2017_Q4",51.7587301587302,"Up",175614000,-56070000,119544000,-115196000,-31153000,-15492000,-68551000,4348000,-3986000,362000,362000,-1682000,-1320000,-1320000,-1320000,-1320000,48704000,48704000,49726000,49726000,23999000,23999000,122429000,35274000,704519000,233525000,432746000,38248000,739793000,862222000,116092000,13215000,102877000,20443000,18388000,2055000,136535000,57605000,30935000,316126000,452661000,545179000,-44687000,-91499000,409163000,409561000,862222000,-1320000,15492000,13027000,8860000,36059000,-5810000,-7260000,-118000,1851000,-7712000,21087000,21087000,20974000,19840000,258521000,24572000,0.68072,0.02476,-0.00752,-0.00322,-0.00153,-18.61515,0.89669,1.10523,0.29983,-0.03014,-0.03014,4.01051,9.34408,0.56115,-0.00182,0.03386,10.57545,48.25598
"30","2018_Q1",54.9573770491803,"Up",182862000,-58006000,124856000,-112173000,-30832000,-16028000,-65313000,12683000,-4271000,8412000,8412000,9233000,17645000,17645000,17645000,17645000,60115000,60115000,51522000,51522000,19470000,19470000,131107000,35909000,695036000,222731000,432955000,39350000,730945000,862052000,116994000,11097000,105897000,23361000,21246000,2115000,140355000,44869000,31853000,285027000,425382000,556544000,-47042000,-73854000,436272000,436670000,862052000,17645000,16028000,-2127000,5458000,37004000,-6927000,-6926999.99999999,1129000,3484000,-18871000,11206000,11206000,11411000,28711000,240158000,18009000,0.68279,0.06936,0.09649,0.04041,0.02047,1.02063,0.93411,0.97415,0.27859,0.39999,0.39999,4.14522,9.88965,0.40824,0.02445,0.02495,6.27087,14.1956200000001
"31","2018_Q2",55.56953125,"Up",198011000,-62934000,135077000,-135815000,-32729000,-19546000,-83540000,-738000,-5254000,-5992000,-5992000,13994000,8002000,8002000,8104000,8104000,43965000,43965000,66614000,66614000,24961000,24961000,135540000,40038000,906551000,327162000,530027000,49362000,946589000,1082129000,128665000,18067000,110598000,29666000,27493000,2173000,158331000,45952000,34778000,467758000,626089000,567445000,-56338000,-56533000,454871000,456040000,1082129000,8002000,19546000,-4612000,-23689000,-753000,-9587000,-188170000,-6890000,2406000,173110000,-15813000,-15813000,-15922000,18808000,421806000,-28462000,0.68217,-0.00373,0.04093,0.01777,0.00749,-3.51209,0.85605,1.37288,0.38979,0.18096,0.17189,4.42157,10.15723,-0.63555,0.00877,-0.03081,20.08938,-511.97967
