"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",10.86328125,"Down",1036000,-11933000,-4407000,-7526000,-10897000,43000,-19000,62000,-10854000,-10854000,-10854000,-10854000,-10854000,-10854000,95482000,8053000,87429000,1067000,1067000,96549000,3442000,3442000,99991000,5426000,2081000,3345000,3402000,9165000,1e+06,693000,693000,1693000,10858000,374161000,-285099000,71000,89133000,89133000,99991000,-10854000,314000,84000,-1668000,-12124000,-376000,7200000,6824000,90000,90000,8000,-5292000,-5292000,-5292000,-10583000,1337000,-10.51834,-10.47683,-0.12177,-0.10855,10.53453,0.12182,0.01337,-0.17003,-0.17003,0.01623,1.39628,-0.11906,8.89587,8.63953
"12","2013_Q3",12.83234375,"Up",1036000,-13387000,-6930000,-6457000,-12351000,37000,-18000,55000,-12314000,-12314000,-12314000,-12314000,-12314000,-12314000,157729000,21518000,136211000,1087000,1087000,158816000,4394000,4394000,163210000,5311000,1084000,4227000,2366000,8019000,1e+06,611000,611000,1611000,9630000,450976000,-297413000,17000,153580000,153580000,163210000,-12314000,332000,2016000,-130000,-10096000,-1350000,-48966000,-50316000,73959000,73959000,73877000,13465000,13465000,13465000,-12019000,1342000,-11.92181,-11.8861,-0.08018,-0.07545,19.80496,0.0627,0.00822,-0.19033,-0.19033,0.01601,2.37376,-0.07917,13.01165,12.66189
"13","2013_Q4",11.47171875,"Down",1036000,-12283000,-5301000,-6982000,-11247000,87000,-16000,103000,-11160000,-11160000,-11160000,-11160000,-11160000,-11160000,147841000,9710000,138131000,904000,904000,148745000,6751000,6751000,155496000,6330000,605000,5725000,1825000,8502000,1e+06,904000,904000,1904000,10406000,453545000,-308573000,118000,145090000,145090000,155496000,-11160000,330000,1001000,2079000,-7750000,-2687000,-2007000,-4694000,720000,720000,636000,-11808000,-11808000,-11808000,-10917000,1347000,-10.85618,-10.7722,-0.07692,-0.07177,17.4953,0.07172,0.00866,-0.15817,-0.15817,0.01468,2.05629,-0.07574,13.41889,13.02516
"14","2014_Q1",13.5088524590164,"Up",1036000,-13302000,-6589000,-6713000,-12266000,80000,-16000,96000,-12186000,-12186000,-12186000,-12186000,-12186000,-12186000,133259000,12851000,120408000,2199000,2199000,135458000,11169000,11169000,146627000,6567000,873000,5694000,834000,7752000,1e+06,2559000,2559000,3559000,11311000,455950000,-320759000,125000,135316000,135316000,146627000,-12186000,442000,1235000,197000,-10312000,-4335000,17552000,13217000,321000,321000,236000,3141000,3141000,3141000,-11824000,1351000,-11.83977,-11.76255,-0.09006,-0.08311,17.47394,0.08359,0.00921,-0.17193,-0.17193,0.01462,1.90914,-0.08753,11.15595,10.75395
"15","2014_Q2",13.7687301587302,"Up",294000,-16472000,-9042000,-7430000,-16178000,71000,-15000,86000,-16107000,-16107000,-16107000,-16107000,-16107000,-16107000,116010000,17806000,98204000,2842000,2842000,118852000,15276000,15276000,134128000,8137000,1331000,6806000,540000,9033000,1e+06,2339000,2339000,3339000,12372000,458489000,-336866000,133000,121756000,121756000,134128000,-16107000,656000,1846000,1254000,-12351000,-4763000,22067000,17304000,88000,88000,2000,4955000,4955000,4955000,-15522000,1356000,-55.02721,-54.78571,-0.13229,-0.12009,13.15753,0.10161,0.01011,-0.2269,-0.2269,0.00414,1.71519,-0.12839,7.38655,7.08703
"16","2014_Q3",18.335,"Up",0,-19570000,-12396000,-7174000,-19570000,133000,-13000,146000,-19437000,-19437000,-19437000,-19437000,-19437000,-19437000,234797000,20708000,214089000,3987000,3987000,238784000,17021000,17021000,255805000,8917000,357000,8560000,540000,9818000,1e+06,2117000,2117000,3117000,12935000,599084000,-356303000,89000,242870000,242870000,255805000,-19437000,688000,2708000,-495000,-16536000,-2433000,-116154000,-118587000,138112000,138112000,138025000,2902000,2902000,2902000,-18882000,1361000,-67.7400433543653,-67.4552327659566,-0.08003,-0.07598,24.32104,0.05326,0.00532,-0.2369,-0.2369,0,2.9601,-0.0789,12.36289,11.92826
"17","2014_Q4",24.33546875,"Up",0,-31284000,-22211000,-9073000,-32208000,148000,-12000,160000,-32060000,-32060000,-32060000,-32060000,-32060000,-32060000,211144000,27829000,183315000,2377000,2377000,216240000,18427000,18427000,234667000,15763000,4635000,11128000,540000,16752000,1e+06,1810000,1810000,2810000,19562000,603474000,-388363000,-6000,215105000,215105000,234667000,-32060000,920000,4423000,5607000,-21110000,-2326000,30421000,28095000,225000,225000,136000,7121000,7121000,7121000,-31288000,1449000,-48.0451466399943,-47.8470984166602,-0.14904,-0.13662,12.90831,0.09094,0.00617,-0.38654,-0.38654,0,2.59347,-0.14682,6.70209,6.51065
"18","2015_Q1",25.3685245901639,"Up",1504000,-30686000,-25694000,-4992000,-32583000,139000,-11000,150000,-32444000,-32444000,-32444000,-32444000,-32444000,-32444000,282756000,58131000,224625000,3528000,3528000,291677000,19947000,21147000,312824000,16607000,2647000,13960000,554000,17521000,1e+06,5319000,5319000,6319000,23840000,709906000,-420807000,-115000,288984000,288984000,312824000,-32444000,1446000,3140000,-3603000,-31461000,-2469000,-41633000,-44102000,103555000,103555000,105865000,30302000,30302000,30302000,-31137000,1360000,-21.66423,-21.57181,-0.11227,-0.10371,16.64728,0.0825,0.00435,-0.38191,-0.38191,0.0177,3.40173,-0.10973,9.03735,8.63628
"19","2015_Q2",25.1209523809524,"Down",4266000,-36066000,-29495000,-6571000,-36012000,211000,-11000,222000,-35801000,-35801000,-35801000,-35801000,-35801000,-35801000,245151000,40679000,204472000,3892000,3892000,256047000,21567000,22767000,278814000,13653000,2001000,11652000,554000,14476000,1e+06,5129000,5129000,6129000,20605000,714747000,-456608000,70000,258209000,258209000,278814000,-35801000,1587000,3939000,-5062000,-35337000,-2371000,19971000,17600000,386000,386000,295000,-17442000,-17442000,-17452000,-34425000,1269000,-8.44163,-8.39217,-0.13865,-0.1284,17.68769,0.0798,0.00455,-0.40379,-0.40379,0.04812,2.91228,-0.1353,7.08444,6.77224
"20","2015_Q3",22.97046875,"Down",8119000,-42391000,-34276000,-8115000,-39366000,3e+05,107000,193000,-39066000,-39066000,-39066000,-39066000,-39066000,-39066000,210818000,33765000,177053000,4019000,4019000,223263000,27312000,29754000,253017000,17651000,1345000,16306000,734000,18730000,3488000,5958000,5958000,9446000,28176000,720526000,-495674000,-11000,224841000,224841000,253017000,-39066000,1790000,3690000,2266000,-31320000,-7402000,27035000,19633000,1230999.99999999,1230999.99999999,4795000,-6892000,-6892000,-6914000,-37576000,3833000,-4.84863,-4.81168,-0.17375,-0.1544,11.92007,0.12532,0.01515,-0.43934,-0.43934,0.09131,2.5286,-0.1665,5.50844,5.25796
"21","2015_Q4",9.298125,"Down",12632000,-48374000,-38511000,-9863000,-43270000,325000,-40000,365000,-42945000,-42945000,-42945000,-42945000,-42945000,-42945000,343509000,31522000,311987000,5602000,5602000,359352000,32075000,34637000,393989000,22432000,1503000,20929000,861000,23514000,3535000,5654000,5654000,9189000,32703000,899750000,-538619000,155000,361286000,361286000,393989000,-42945000,2035000,5173000,-1340000,-37077000,-4246000,-135177000,-139423000,174243000,174243000,174166000,-2334000,-2334000,-2243000,-41235000,3756000,-3.42543,-3.3997,-0.11887,-0.109,15.28247,0.09052,0.00953,-0.45471,-0.45471,0.13375,3.8254,-0.11585,8.23943,7.85193
"22","2016_Q1",6.39754098360656,"Down",14420000,-47173000,-37808000,-9365000,-40420000,429000,-62000,491000,-39991000,-39991000,-39991000,-39991000,-39991000,-39991000,306879000,41135000,265744000,7375000,7375000,325864000,34096000,38166000,364030000,25561000,3308000,22253000,996000,26723000,4789000,5662000,5662000,10451000,37174000,905899000,-578610000,-433000,326856000,326856000,364030000,-39991000,2338000,5082000,2288000,-30283000,-7965000,45400000,37435000,1247000,1247000,2509000.00000003,9661000,9661000,9613000,-38082000,4955000,-2.80305,-2.7733,-0.12235,-0.10986,12.19414,0.11373,0.01361,-0.41435,-0.41435,0.14941,3.38658,-0.1185,7.92826,7.46967
"23","2016_Q2",7.531875,"Up",14835000,-53661000,-43535000,-10126000,-47885000,412000,-54000,466000,-47473000,-47473000,-47473000,-47473000,-47473000,-47473000,262592000,52151000,210441000,7722000,7722000,284092000,35046000,39696000,323788000,23318000,2841000,20477000,1191000,24678000,4750000,6027000,6027000,10777000,35455000,914433000,-626083000,-17000,288333000,288333000,323788000,-47473000,2523000,6119000,-3516000,-42347000,-2389000,55562000,53173000,288000,288000,247000,11073000,11073000,11016000,-45362000,4919000,-3.22784,-3.20007,-0.16465,-0.14662,11.51195,0.12297,0.01519,-0.48817,-0.48817,0.15255,2.96499,-0.15862,5.68037,5.38108
"24","2016_Q3",17.6215625,"Up",21185000,-56225000,-47585000,-8640000,-45137000,372000,-53000,425000,-44765000,-44765000,-44765000,-44765000,-44765000,-44765000,224077000,49010000,175067000,7295000,7295000,247217000,36233000,41312000,288529000,26943000,3135000,23808000,1281000,28395000,4711000,6035000,6035000,10746000,39141000,920253000,-670848000,-17000,249388000,249388000,288529000,-44765000,2866000,4459000,1816000,-35624000,-4026000,35324000,31298000,1308000,1308000,1267000,-3059000,-3059000,-3141000,-42271000,4882000,-2.13061,-2.11305,-0.1795,-0.15515,8.70636,0.15695,0.01692,-0.45724,-0.45724,0.21639,2.54732,-0.17197,5.18547,4.85622
"25","2016_Q4",16.1439682539683,"Down",28115000,-54225000,-46600000,-7625000,-38284000,481000,-54000,535000,-37803000,-37803000,-37803000,-37803000,-37803000,-37803000,337830000,63445000,274385000,5673000,5673000,359032000,38473000,44179000,403211000,28439000,2335000,26104000,1450000,30061000,4673000,6148000,6148000,10821000,40882000,1071167000,-708651000,-187000,362329000,362329000,403211000,-37803000,2998000,6035000,3804000,-24966000,-5751000,-99529000,-105280000,144748000,144748000,144706000,14460000,14460000,14435000,-35286000,4845000,-1.36169,-1.34458,-0.10433,-0.09375,11.94345,0.11283,0.01202,-0.36069,-0.36069,0.26825,3.45711,-0.10126,9.43675,8.69776
"26","2017_Q1",19.8156451612903,"Up",35241000,-59086000,-52004000,-7082000,-37710000,540000,-52000,592000,-37170000,-37170000,-37170000,-37170000,-37170000,-37170000,311100000,48921000,262179000,7114000,7114000,333573000,38142000,43467000,377040000,28816000,710000,28106000,1702000,30692000,4633000,6420000,6420000,11053000,41745000,1081534000,-745821000,-418000,335295000,335295000,377040000,-37170000,3122000,7572000,-653000,-27129000,-2685000,11975000,9289999.99999999,3407999.99999997,3407999.99999997,3365999.99999994,-14473000,-14473000,-14524000,-34588000,4807000,-1.07006,-1.05474,-0.11086,-0.09858,10.8684,0.1245,0.01275,-0.33981,-0.33981,0.32217,3.06527,-0.10727,8.85547,8.12233
"27","2017_Q2",30.8663492063492,"Up",48363000,-66873000,-58871000,-8002000,-35491000,545000,-50000,595000,-34946000,-34946000,-34946000,-34946000,-34946000,-34946000,274670000,39206000,235464000,7443000,7443000,306186000,38395000,44075000,350261000,27968000,891000,27077000,1793000,29937000,4592000,6212000,6212000,10804000,40741000,1091114000,-781163000,-431000,309520000,309520000,350261000,-34946000,3297000,5823000,-7812000,-33638000,-2745000,26673000,23928000,47000,47000,3000,-9707000,-9707000,-9715000,-32194000,4768000,-0.73385,-0.72258,-0.1129,-0.09977,10.22768,0.13163,0.01361,-0.31602,-0.31602,0.43735,2.79901,-0.10904,8.38361,7.6048
"28","2017_Q3",40.252380952381,"Up",57646000,-71074000,-61337000,-9737000,-31419000,629000,-54000,683000,-30790000,-30790000,-30790000,-30790000,-30790000,-30790000,484260000,180407000,303853000,6872000,6872000,526133000,42048000,56468000,582601000,29172000,2237000,26935000,1943000,31293000,4552000,6062000,6062000,10614000,41907000,1353026000,-811953000,-379000,540694000,540694000,582601000,-30790000,3749000,5806000,-10637000,-31872000,-14345000,-68446000,-82791000,255817000,255817000,255775000,141112000,141112000,141201000,-27670000,4730000,-0.54503,-0.53412,-0.05695,-0.05285,16.81312,0.07751,0.00812,-0.27282,-0.27282,0.51077,4.79084,-0.05583,17.33032,15.26242
"29","2017_Q4",53.3947619047619,"Up",72574000,-80256000,-68531000,-11725000,-28411000,1283000,-51000,1334000,-27128000,-27128000,-26897000,-26897000,-26897000,-26897000,462521000,50837000,411684000,8551000,8551000,513689000,55706000,73490000,587179000,47164000,8774000,38390000,2345000,49689000,4511000,5835000,5835000,10346000,60035000,1366308000,-838850000,-314000,527144000,527144000,587179000,-26897000,4106000,10340000,7001000,-5450000,-15794000,-107781000,-126596000,2504000,2504000,2460000,-129586000,-129586000,-129570000,-24305000,4691000,-0.39148,-0.37061,-0.05102,-0.04581,10.33808,0.11389,0.00799,-0.22546,-0.22546,0.60835,4.41879,-0.05003,18.83686,16.11453
"30","2018_Q1",48.7813114754098,"Down",87406000,-86900000,-74225000,-12675000,-22989000,1269000,-51000.0000000002,1320000,-21720000,-21720000,-21764000,-21764000,-21764000,-21764000,424715000,77491000,347224000,10055000,10055000,487216000,79986000,111344000,598560000,65261000,16135000,49126000,2681000,68124000,4269000.00000001,5749000,5749000,10018000,78142000,1381782000,-860614000,-750000,520418000,520418000,598560000,-21764000,4403000,12827000,3770000,-764000,-36286000,63969000,24654000,2964000,2964000,2718000,26608000,26608000,26654000.0000001,-18586000,4450999.99999999,-0.26301,-0.249,-0.04182,-0.03636,7.1519,0.15015,0.00744000000000001,-0.18137,-0.18137,0.7284,4.33689,-0.04102,22.61186,18.28109
"31","2018_Q2",53.81640625,"Up",90296000,-103910000,-88975000,-14935000,-36528000,-2837000,-6510000,3673000,-39365000,-39365000,-39424000,-39424000,-39424000,-39424000,1042169000,148695000,893474000,12867000,12867000,1121991000,103448000,134925000,1256916000,70397000,12274000,58123000,2750000,73330000,490925000,5643000,5643000,496568000,569898000,1589392000,-900038000,-2336000,687018000,687018000,1256916000,-39424000,4893000,16589000,-20580000,-38522000,-15328000,-547341000,-562731000,1391000,1391000,672437000,71184000,71184000,71204000,-31635000,491108000,-0.40454,-0.43661,-0.05738,-0.03137,15.30057,0.82952,0.39072,-0.32578,-0.32578,0.74615,5.67708,-0.0333,17.41935,15.08599
"32","2018_Q3",65.2101587301587,"Up",102894000,-108708000,-93996000,-14712000,-32702000,-3686000,-8603000,4917000,-36388000,-36388000,-36387000,-36387000,-36387000,-36387000,1222162000,225662000,996500000,16465000,16465000,1310304000,140467000,172348000,1482652000,75192000,10992000,64200000,3182000,82962000,648801000,6501000,6501000,655302000,738264000,1682691000,-936425000,-1878000,744388000,744388000,1482652000,-36387000,5143000,20826000,-15096000,-25514000,-29036000,-101673000,-130778000,6915000,6915000,233277000,76985000,76985000,76967000,-27559000,653389000,-0.31782,-0.35364,-0.04888,-0.02454,15.79403,0.99177,0.44069,-0.29791,-0.29791,0.84243,6.09455,-0.02591,20.63838,17.39261
"33","2018_Q4",68.6298412698413,"Up",118291000,-129196000,-111565000,-17631000,-40925000,-4412000,-10704000,6292000,-45337000,-45337000,-45364000,-45364000,-45364000,-45364000,1185217000,161705000,1023512000,23832000,23832000,1289582000,188486000,219994000,1509576000,103577000,32738000,70839000,3158000,106735000,673421000,12691000,12691000,686112000,792847000,1699924000,-981789000,-1406000,716729000,716729000,1509576000,-45364000,6160000,23844000,11307000,-4053000,-53623000,-25361000,-78988000,733000,733000,19074000,-63967000,-63967000,-63957000,-34765000,673421000,-0.34597,-0.38349,-0.06329,-0.03005,12.08209,1.1062,0.4461,-0.36977,-0.36977,0.96421,5.84217,-0.03234,14.72159,12.50571
"34","2019_Q1",85.1185245901639,"Up",142981000,-155475000,-132928000,-20007000,-49316000,-4651000,-10972000,6321000,-53967000,-53967000,-53974000,-53974000,-53974000,-53974000,1124182000,160430000,963752000,20498000,20498000,1228067000,245259000,295955000,1524022000,133378000,28141000,105237000,3204000,136590000,688822000,17669000,17669000,706491000,843081000,1718126000,-1035763000,-1422000,680941000,680941000,1524022000,-53974000,4348000,25317000,23458000,-851000,-52106000,60655000,-9802000.00000001,2492000,2492000,9354000,-1299000,-1299000,-1275000,-44968000,688830000,-0.34491,-0.37749,-0.07926,-0.03542,8.9909,1.23811,0.45198,-0.43885,-0.43885,1.16254,5.53656,-0.0389,9.68137,8.8278
"35","2019_Q2",100.759523809524,"Up",162043000,-186985000,-154969000,-32016000,-68194000,-15335000,-21990000,6655000,-83529000,-83529000,-83059000,-83059000,-83059000,-83059000,1282706000,285200000,997506000,24050000,24050000,1407120000,291629000,363428000,1770548000,161747000,17552000,144195000,5889000,167657000,819130000,6821000,6821000,825951000,993608000,1895408000,-1118822000,354000,776940000,776940000,1770548000,-83059000,7134000,34245000,-32727000,-74407000,-10657000,-30272000,-41069000,3650000,3650000,240126000,124650000,124650000,124770000,-61060000,819151000,-0.42084,-0.51257,-0.10691,-0.04691,8.39285,1.27887,0.46265,-0.6579,-0.6579,1.28353,6.15408,-0.05182,7.59179,6.79759
"36","2019_Q3",113.93921875,"Up",199870000,-182127000,-151924000,-30203000,-33820000,-5043000,-12712000,7669000,-38863000,-38863000,-38420000,-38420000,-38420000,-38420000,1239422000,205058000,1034364000,23690000,23690000,1374796000,335499000,407147000,1781943000,173775000,19896000,153879000,6675000,492463000,494024000,29924000,29924000,523948000,1016411000,1921014000,-1157242000,1760000,765532000,765532000,1781943000,-38420000,7880000,29514000,18187000,17161000,-68791000,-33641000,-102672000,5485000,5485000,5451000.00000003,-80060000,-80060000,-80142000,-25940000,806037000,-0.16921,-0.19222,-0.05019,-0.02156,2.79167,1.32772,0.45234,-0.29737,-0.29737,1.54701,5.92526,-0.02399,16.70721,12.81446
"37","2019_Q4",87.91421875,"Down",218805000,-203007000,-166499000,-34252000,-35688000,-4116000,-13209000,9093000,-39804000,-39804000,-40487000,-40487000,-40487000,-40487000,1160545000,1034334000,126211000,23560000,23560000,1319978000,370532000,439290000,1759268000,155158000,19158000,1.36e+08,9290000,480692000,500781000,29511000,29511000,530292000,1010984000,1946345000,-1197701000,-360000,748284000,748284000,1759268000,-40487000,9162000,32804000,-30587000,-29108000,-51522000,909114000,857442000,1391000,1391000,980000,829314000,829314000,829276000,-26526000,817025000,-0.1631,-0.18504,-0.05411,-0.02301,2.746,1.35107,0.46441,-0.31243,-0.31243,1.68849,5.77442,-0.02539,12.95031,9.62564
