"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",17.2953225806452,"Down",71296000,-58462000,-35702000,-1384000,-21376000,12834000,879000,478000,13713000,3841000,17554000,-4987000,12567000,12567000,-2306000,10261000,10261000,153393000,121240000,32153000,61169000,61169000,14234000,228796000,9418000,36261000,1813000,7812000,137120000,365916000,25095000,25095000,32941000,32941000,58036000,58036000,420843000,-97712000,-62907000,887000,261111000,46769000,307880000,365916000,12567000,-1299000,-16535000,-5267000,-798000,2022000,2078000,-7875000,14000,102000,-88000,11554000,3693000,504000,504000,463000,967000,0,0.18001,0.14392,0.03333,0.02804,3.94231,0.1885,0,0.23415,0.23039,1.62695,5.95845,0.1797,0.05891,0.76747,-11.95208
"12","2013_Q1",20.1305,"Up",71095000,-37657000,-29191000,-1344000,-7122000,33438000,503000,762000,33941000,323000,34264000,-12220000,22044000,22044000,-321000,21723000,21723000,128840000,95412000,33428000,44397000,44397000,17617000,190854000,9103000,40203000,1790000,8120000,146461000,337315000,34681000,34681000,32866000,32866000,67547000,67547000,429847000,-97719000,-117889000,2341000,216580000,53188000,269768000,337315000,22044000,5474000,14565000,42083000,-1004000,-182000,-1186000,-73586000,75000,82000,-6999.99999999953,6285000,-67226000,-26329000,-26329000,501000,-25828000,0,0.47033,0.30555,0.08052,0.0644,2.8255,0.25039,0,0.49559,0.48693,1.62195,4.94103,1.67878,0.3533,3.38747,-3.8531
"13","2013_Q2",23.31890625,"Up",72459000,-50984000,-34556000,-1347000,-15081000,21475000,811000,546000,22286000,1350000,23636000,-8135000,15501000,15501000,-360000,15141000,15141000,114368000,80272000,34096000,57249000,57249000,25591000,197208000,9171000,34327000,1768000,6265000,157128000,354336000,21418000,12567000,38945000,38945000,60363000,60363000,437683000,-105517000,-111861000,2984000,223289000,70684000,293973000,354336000,15501000,10040000,-51984000,-26443000,-1416000,1279000,157000,-68620515.5427266,-7664000,134000,-7798000,19088000,11424000,-14862000,-14862000,-278000,-15140000,0,0.29637,0.20896,0.0515,0.04273,3.26703,0.20534,0,0.34305,0.33735,1.64168,5.059,1.56182628463681,0.0515,3.32285832819564,-5.32563
"14","2013_Q3",21.344375,"Down",77796000,-48429000,-37412000,-1340000,-9677000,29367000,-52000,743000,29315000,-10936000,18379000,-9870000,8509000,8509000,6773000,15282000,15282000,129007000,107465000,21542000,45762000,45762000,31561000,206330000,9264000,37969000,1746000,7295000,146871000,353201000,23102000,23102000,23078000,23078000,46180000,46180000,444100000,-105621000,-105670000,1603000,234412000,72609000,307021000,353201000,8509000,15867000,1652000,26028000,-1410000,11013000,9992000,-17703000,12000,116000,-104000,8727000,-8964000,27056000,27056000,137000,27193000,0,0.37749,0.19644,0.04978,0.04327,4.46795,0.15041,0,0.34492,0.33958,1.75588,5.29075,0.39956,0.10744,1.15842,-4.39292
"15","2013_Q4",24.10390625,"Up",74026000,-45531000,-35746000,-1423000,-8362000,28495000,740000,218000,29235000,1787000,31022000,-11205000,19817000,19817000,-1534000,18283000,18283000,181685000,143845000,37840000,52726000,52726000,1838000,236249000,9387000,39968000,1724000,6517000,60862000,297111000,28347000,28347000,17564000,17564000,45911000,45911000,450045000,-105673000,-96483000,3119000,251008000,192000,251200000,297111000,19817000,2434000,19246000,41497000,-1501000,-227000,5335000,-8855000,34000,86000,-52000,-2352000,-11173000,35659000,35659000,721000,36380000,0,0.38493,0.24698,0.07278,0.06154,5.1458,0.18277,0,0.41255,0.40533,1.67037,5.66392,0.19981,0.10803,0.48433,-6.37603
"16","2014_Q1",24.1319672131148,"Up",73432000,-46427000,-33795000,-4505000,-8127000,27005000,876000,773000,27881000,3446000,31327000,-11899000,19428000,19428000,-15000,19413000,19413000,163450000,128277000,35173000,40888000,40888000,2906000,207244000,9824000,42190000,1701000,5673000,67682000,274926000,32789000,32789000,14029000,14029000,46818000,51162000,457615000,-105681000,-131366000,2989000,223557000,207000,223764000,274926000,19428000,4815000,10547000,34790000,-1903000,4440000,2532000,-53137000,64000,72000,-7999.99999999907,30999.9999999991,-53042000,-15720000,-15720000,152000,-15568000,0,0.36776,0.26437,0.08676,0.07061,4.42659,0.22864,0,0.43794,0.42815,1.65656,5.04325,1.19872,0.31805,2.73719,-6.05258
"17","2014_Q2",26.3103174603175,"Up",72835000,-44694000,-35128000,-1262000,-8304000,28141000,1122000,239000,29263000,1514000,30777000,-11177000,19600000,19600000,-155000,19445000,19445000,158314000,125745000,32569000,49489000,49489000,2681000,210484000,9274000,36618000,1679000,5211000,63747000,274231000,23735000,13887000,17291000,17291000,41026000,41026000,466492000,-116274000,-121936000,3080000,231362000,1843000,233205000,274231000,19600000,11865000,-31560000,-95000,-705000,4510000,3827000,0,-10454000,139000,-10593000,4117000,-6337000,-2605000,-2605000,73000,-2532000,0,0.38637,0.26697,0.08338,0.07091,5.1305,0.17592,0,0.43566,0.42752,1.63186,5.18365,0,0.0833800000000001,0,-5.62574
"18","2014_Q3",27.4640625,"Up",78412000,-49289000,-37941000,-2092000,-9256000,29123000,2176000,592000,31299000,3359000,34658000,-11734000,22924000,22924000,-741000,22183000,22183000,146290000,112328000,33962000,42352000,42352000,4071000,192713000,9674000,40921000,1657000,7626000,100417000,293130000,15247000,15247000,14775000,14775000,30022000,35852000,473400000,-117268000,-109853000,3593000,249872000,7406000,257278000,293130000,22924000,574000,-20565000,2933000,-1456000,176000,-848000,-19704000,-838000,156000,-993999.999999996,4893000,-15649000,-13564000,-13564000,147000,-13417000,0,0.37141,0.2829,0.08622,0.07568,6.41906,0.13935,0,0.49488,0.48722,1.74929,5.57439,0.43958,0.1592,0.88825,-5.02318
"19","2014_Q4",27.43109375,"Down",80845000,-48518000,-37992000,-1478000,-9048000,32327000,-2420000,610000,29907000,-1137000,28770000,-10733000,18037000,18037000,147000,18184000,18184000,159728000,137807000,21921000,50950000,50950000,5063000,215741000,11319000,40898000,1635000,6231000,111593000,327334000,24478000,24478000,15309000,15309000,39787000,45565000,480321000,-117366000,-101783000,831000,262003000,19766000,281769000,327334000,18037000,11071000,-13025000,16083000,-2728000,232000,7944000,-9858000,12000,110000,-98000,12546000,2700000,26727000,26727000,-1248000,25479000,0,0.39986,0.22492,0.06454,0.05555,5.4224,0.16171,0,0.40554,0.398,1.80301,5.84319,0.21985,0.09752,0.54212,-4.94101
"20","2015_Q1",28.4860655737705,"Up",81842000,-49492000,-39008000,-1622000,-8862000,32350000,-1279000,617000,31071000,-3262000,27809000,-12636000,15173000,15173000,525000,15698000,15698000,174757000,124938000,49819000,43392000,43392000,1805000,219954000,11189000,40069000,20732000,4229000,60767000,280721000,32441000,32441000,6969000,6969000,39410000,52133000,489752000,-117403000,-142786000,-1582000,227981000,607000,228588000,280721000,15173000,9873000,10615000,35661000,-1027000,-48000,-1088000,-54675000,49000.0000000009,86000,-37000.0000000009,8297000,-46329000,-11756000,-11756000,-1113000,-12869000,0,0.39527,0.19181,0.06867,0.05592,5.58117,0.22807,0,0.34997,0.34223,1.82459,5.08262,1.21893,0.29163,3.48293,-5.40207
