"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.0153125,"Down",93043000,-50741000,42302000,-43034000,-32876000,-10158000,-732000,-5537000,-5071000,-5071000,-76000,-390000,-6269000,-2030000,-1805000,-3835000,-3835000,-36000,-3871000,-3871000,120538000,47359000,47359000,44218000,72802000,17870000,54932000,284917000,438408000,69951000,171594000,95275000,74884000,679953000,964870000,63176000,21988000,41188000,28851000,13907000,13907000,105934000,286091000,14534000,14534000,300625000,406559000,855296000,-304685000,3747000,554358000,3953000,558311000,964870000,-3835000,10158000,3820000,-27075000,-16932000,-21608000,18740000,-2862000,-6087000,178000,178000,-5909000,-25703000,-25703000,-247000,-25950000,9426000,314942000,-37452000,0.45465,-0.00787,-0.0416,-0.00693,-0.00401,9.67502,2.68957,0.72819,0.32641,-0.04156,-0.04156,0.99904,5.95236,-0.40214,-0.00436,-0.04219,20.62423,-265.57923
"12","2013_Q3",12.8528125,"Down",88116000,-61941000,26175000,-45964000,-35187000,-10777000,-19789000,-7385000,-6282000,-6282000,-1.45519152283669e-11,-1103000,-27174000,-11715000,-293000,-12008000,-12008000,65000,-11943000,-11943000,148258000,50535000,50535000,35950000,54658000,16041000,38617000,289401000,456144000,70010000,206900000,84436000,89086000,733054000,1022455000,65237000,22931000,42306000,28439000,14800000,14800000,108476000,339691000,15576000,15576000,355267000,463743000,871452000,-316628000,2245379.65768879,554824000,3888000,558712000,1022455000,-12008000,10777000,-10239000,21420000,9950000,-18666000,-31895000,-59970000,53529000,241000,241000,53770000,3749999.99999999,3749999.99999999,-302000,3448000.00000001,-9012000,368130000,-5965000,0.29705,-0.22458,-0.13554,-0.02138,-0.01168,0.499459999999999,2.66788,0.83002,0.36005,-0.12707,-0.12707,0.9375,5.903,-0.06346,-0.01267,-0.00633,-24.39769,-11.11082
"13","2013_Q4",12.199375,"Down",86321000,-54807000,31514000,-44435000,-33511000,-10924000,-12921000,-6682000,-7418000,-7418000,0,736000,-19603000,-18237000,-558000,-18795000,-18795000,-41000,-18836000,-18836000,406443000,56259000,56259000,39720000,55719000,17402000,38317000,558141000,468224000,75918000,174301000,83706000,90031000,718443000,1276584000,80818000,30861000,49957000,25797000,13501000,13501000,120116000,594424000,14061000,14061000,608485000,728601000,877360000,-335464000,2158000,544054000,3929000,547983000,1276584000,-18795000,10924000,5128000,7300000,4557000,-19766000,29527000,17031000,251426000,231000,231000,244157000,265745000,265745000,371000,266116000,-1997000,620221000,-13905000,0.36508,-0.14969,-0.21821,-0.03437,-0.01476,0.73821,4.64668,1.32961,0.48584,-0.19965,-0.19965,0.91493,5.76652,-0.14738,-0.01593,-0.01176,-107.04957,-16.545
"14","2014_Q1",10.3918032786885,"Down",84995000,-57273000,27722000,-46909000,-36450000,-10459000,-19187000,-10729000,-10516000,-10516000,0,-213000,-29916000,-31222000,-1059000,-32281000,-32281000,-37000,-32318000,-32318000,378273000,53473000,53473000,33822000,55528000,20840000,34688000,521096000,487854000,73697000,168318000,79770000,88548000,729869000,1250965000,80286000,33541000,46745000,23401000,16419000,16419000,120106000,597017000,15304000,15304000,612321000,732427000,883054000,-367782000,-7e+05,514572000,3966000,518538000,1250965000,-32281000,10459000,9264000,10289000,-2269000,-26690000,2021999.99999999,-109181000,304000.00000003,27000,27000.0000000001,-1298999.99999997,-112749000,-112749000,646000,-112103000,-8728000,620418000,-24070000,0.32616,-0.22574,-0.38023,-0.06233,-0.02583,0.74479,4.33863,1.41248,0.49595,-0.34248,-0.34248,0.9007,5.45298,-0.25507,-0.028,-0.02085,-27.74347,-12.62026
"15","2014_Q2",9.91825396825397,"Down",95275000,-71631000,23644000,-45005000,-33490000,-11515000,-21361000,-10796000,-9510000,-9510000,156672.947312155,-1286000,-32157000,-27702000,-962000,-28664000,-28664000,71000,-28593000,-28593000,318810000,60144000,60144000,38292000,51670000,20481000,31189000,468916000,520984000,72582000,162512000,75643000,86869000,756078000,1224994000,77969000,35394000,42575000,14543000,18563000,18563000,111075000,608320000,11350000,11350000,619670000,730745000,890889000,-396375000,-4160000,490354000,3895000,494249000,1224994000,-28664000,11515000,360000,2261000,-14528000,-46851000,-4007000,-78033000,6485000,665000,665000,6236000,-86325000,-86325000,620000,-85705000,-9846000,622863000,-53474000,0.24817,-0.2242,-0.30011,-0.05785,-0.02334,1.87018,4.22162,1.4785,0.50846,-0.30201,-0.30201,1.00632,5.17927,-0.56481,-0.02534,-0.04739,-30.88087,-14.23402
"16","2014_Q3",9.7796875,"Down",98133000,-73255000,24878000,-46008000,-34400000,-11608000,-21130000,-9009000,-10130000,-10130000,259170.557283228,1121000,-30139000,-32425000,-147000,-32572000,-32572000,266000,-32306000,-32306000,276813000,70245000,70245000,39204000,51043000,20918000,30125000,437305000,532574000,71260000,164340000,75934000,88406000,768174000,1205479000,82604000,34256000,48348000,17724000,15997000,15997000,116325000,608416000,13093000,13093000,621509000,737834000,893885000,-428681000,-1188000,464016000,3629000,467645000,1205479000,-32572000,11608000,5755000,-13550000,-28759000,-14989000,106000,-3432000,2872999.99999999,18999.9999999998,19000.0000000001,2892000,-29299000,-29299000,-329000,-29628000,-9522000,626140000,-37914000,0.25351,-0.21532,-0.32921,-0.06908,-0.0268,1.17359,3.75934,1.57777,0.51941,-0.34056,-0.34056,1.0345,4.89156,-0.39968,-0.02919,-0.03425,-36.68631,-16.53228
"17","2014_Q4",6.03796875,"Down",103420000,-83974000,19446000,-40565000,-28240000,-12325000,-21119000,-11556000,-10676000,-10676000,0,-880000,-32675000,-29420000,-811000,-30231000,-30231000,138000,-30093000,-30093000,248063000,77075000,77075000,35509000,63737000,25186000,38551000,424384000,528341000,73140000,157768000,71451000,86317000,759249000,1183633000,87376000,39093000,48283000,15865000,23224000,23224000,126465000,603781000,9720000,9720000,613501000,739966000,894911000,-458774000,-590000,435547000,8120000,443667000,1183633000,-30231000,12325000,379000,4410000,-13117000,-13274000,-4833000,1631000,-6182000,719000,719000,1529000,-9957000,-9957000,-53999.9999999999,-10011000,-8794000,619646000,-16847000,0.18803,-0.20421,-0.29098,-0.06783,-0.02542,0.55983,3.35574,1.66784,0.52351,-0.31994,-0.31994,1.09953,4.6306,-0.17911,-0.02804,-0.0157,-42.25415,-17.59473
"18","2015_Q1",4.96901639344262,"Down",132112000,-79927000,52185000,-43915000,-30305000,-13610000,8270000,-16057000,-14041000,-14404000,-490000,-1526000,-7787000,-237000.000000004,845000,608000,608000,725000,1333000,1333000,214927000,81970000,81970000,34696000,82046000,19811000,62235000,413639000,514269000,78414000,154087000,55361000,98726000,746770000,1160409000,100682000,43922000,56760000,4846000,14683000,14683000,120211000,565824000,9339000,9339000,575163000,695374000,898115000,-457441000,-3248000,437426000,27609000,465035000,1160409000,608000,13610000,-2279000,-31540000,-19601000,-13514000,42367000,32945000,-37181000,897000,897000,-36442000,-23098000,-23098000,790000,-22308000,21880000,570670000,-24019000,0.39501,0.0625999999999999,0.01009,0.00287,0.00115000000000001,-18.01875,3.44094,1.49532,0.49178,0.0146299999999999,0.01463,1.4499,4.80064,-0.2636,0.00128,-0.02298,16.25882,43.01608
"19","2015_Q2",7.50634920634921,"Up",85848000,-64733000,21115000,-43119000,-30233000,-12886000,-22004000,-9552000,-9895000,-9895000,-204000,547000,-31556000,-30673000,-854000,-31527000,-31527000,380000,-31147000,-31147000,220420000,79056000,79056000,32795000,45915000,15854000,30061000,378186000,519315000,78122000,145369000,50062000,95307000,742806000,1120992000,98728000,41577000,57151000,5712000,11738000,11738000,116178000,568869000,8373000,8373000,577242000,693420000,901139000,-488572000,-12224000,400343000,27229000,427572000,1120992000,-31527000,12886000,3560000,35937000,20856000,-12506000,-25000,-3941000,-1481000,334000,334000,-1147000,15768000,15768000,-1286000,14482000,-9118000,574581000,15167000,0.24596,-0.25631,-0.36282,-0.07285,-0.02779,-0.48695,3.25523,1.62176,0.51256,-0.34109,-0.34109,0.94011,4.3841,0.16609,-0.03082,0.01501,-38.84196,-16.0953
"20","2015_Q3",5.185,"Down",86868000,-63786000,23082000,-42396000,-28994000,-13402000,-19314000,-10001000,-9973000,-9973000,-345000,317000,-29315000,-29615000,-740000,-30355000,-30355000,393000,-29962000,-29962000,181892000,78537000,78537000,31347000,38297000,15172000,23125000,330073000,520424000,75323000,145141000,49310000,95831000,740888000,1070961000,80186000,28859000,51327000,5977000,5566000,5566000,91729000,569769000,7971000,7971000,577740000,669469000,904067000,-518533000,-10878000,374656000,26836000,401492000,1070961000,-30355000,13402000,4803000,-11564000,-23714000,-13730000,-50000.0000000075,-29248000,-1024000,265000,265000,-759000,-53721000,-53721000,154000,-53567000,-5912000,575746000,-30466000,0.26571,-0.22234,-0.34491,-0.07463,-0.02798,1.01682,3.59835,1.66745,0.5376,-0.32752,-0.32752,0.94957,4.09545,-0.33303,-0.03041,-0.03092,-66.61942,-20.39215
"21","2015_Q4",4.793125,"Down",92257000,-66723000,25534000,-41800000,-27800000,-1.4e+07,-16266000,-7658000,-10152000,-10152000,-154000,2648000,-23924000,-23422000,241000,-23181000,-23181000,62000,-23119000,-23119000,165982000,76171000,76171000,30725000,39783000,15791000,23992000,312661000,518322000,75199000,138459000,45228000,93231000,731980000,1044641000,81159000,25679000,55480000,150836000,7856000,7856000,239851000,423380000,8035000,8035000,431415000,671266000,905931000,-541652000,-17678000,346601000,26774000,373375000,1044641000,-23181000,1.4e+07,3689000,7339000,1847000,-13994000,446000,591000,-1583000,3000,3000,-2375000,63000,63000,-1516000,-1453000,-2266000,574216000,-9162000,0.27677,-0.17631,-0.25059,-0.06192,-0.02213,0.3963,1.30356,1.79783,0.54968,-0.2525,-0.2525,1.00759,3.78544,-0.10006,-0.02419,-0.00959,-180.15622,-25.09738
"22","2016_Q1",2.81131147540984,"Down",119347000,-63243000,56104000,-40143000,-25212000,-14931000,15961000,-65947000,-64950000,-65793000,-112000,-885000,-49986000,-50134000,-261000,-50395000,-50395000,381000,-50014000,-50014000,146668000,73645000,73645000,29289000,79564000,14657000,64907000,329166000,516324000,20427000,134611000,42644000,91967000,671362000,1000528000,85988000,26906000,59082000,149856000,10549000,10549000,246393000,417294000,7896000,7896000,425190000,671583000,915208000,-591683000,-20973000,302552000,26393000,328945000,1000528000,-50395000,14931000,58613000,-30100000,-6951000,-11185000,-5088000,-5405000,-1819000,6595000,6595000,4688000,-7668000,-7668000,-451000,-8119000,30892000,567150000,-10132000,0.47009,0.13374,-0.41906,-0.15204,-0.04999,0.20258,1.33594,2.04163,0.56685,-0.54321,-0.54321,1.29625,3.28609,-0.11005,-0.05533,-0.01121,13.6113599999999,26.34434
"23","2016_Q2",3.1628125,"Up",95782000,-59255000,36527000,-40556000,-25595000,-14961000,-4029000,-8984000,-9160000,-9301000,-74000,250000,-13013000,2910000,-381000,2529000,2529000,299000,2828000,2828000,162935000,71898000,71898000,30037000,49014000,14194000,34820000,313884000,505940000,23036000,137786000,43579000,94207000,666762000,980646000,77545000,21717000,55828000,139991000,9325000,9325000,226861000,384495000,8077000,8077000,392572000,619433000,9.39e+08,-588855000,-15026000,335119000,26094000,361213000,980646000,2529000,14961000,-17494000,26771000,26767000,-5246000,-28000,21837000,-27587000,22052000,22052000,-6215000,42389000,42389000,1126000,43515000,10932000,524486000,32838000,0.38136,-0.04206,0.02953,0.00783,0.00288,11.61174,1.3836,1.71487,0.53484,0.0291,0.02833,0.98563,3.44848,0.33791,0.00316,0.03674,33.07272,-89.73716
"24","2016_Q3",3.81703125,"Up",108025000,-68728000,39297000,-40181000,-25261000,-14920000,-884000.000000007,-7901000,-7820999.99999999,-8136000,67000,-147000,-8785000,1335000,-432000,903000.000000007,903000.000000007,627000,1530000,1530000,181680000,77681000,77681000,28561000,48080000,12604000,35476000,336002000,495791000,20647000,136697000,42292000,94405000,653135000,989137000,69744000,19766000,49978000,139428000,9299000,9299000,218471000,349361000,8156000,8156000,357517000,575988000,989360000,-587325000,-14353000,387682000,25467000,413149000,989137000,903000.000000007,14920000,-1930000,-13048000,844999.999999996,-6343000,1714000,-8455000,-7942000,30377000,30377000,22394000,14784000,14784000,293000,15077000,14036000,488789000,-4923000,0.36378,-0.00818000000000001,0.01416,0.00369999999999999,0.00155000000000001,-3.21765,1.53797,1.39414,0.49416,0.014,0.01369,0.98858,3.54783,-0.0450499999999999,0.00168,-0.00541,21.88009,-347.40837
"25","2016_Q4",3.77619047619048,"Down",97017000,-61858000,35159000,-40689000,-25888000,-14801000,-5530000,-6405000,-6283000,-6406000,-13000,-109000,-11935000,-12603000,-416000,-13019000,-13019000,391000,-12628000,-12628000,118868000,72949000,72949000,29455000,48384000,15191000,33193000,269656000,487922000,19625000,134151000,40303000,93848000,641698000,911354000,77373000,23106000,54267000,4851000,8544000,8544000,90768000,347769000,8168000,8168000,355937000,446705000,1055224000,-599953000,-15698000,439573000,25076000,464649000,911354000,-13019000,14801000,4303000,10548000,16633000,-5074000,-673000,-3840000,-89230000,16438000,16438000,-73411000,-60618000,-60618000,-143000,-60761000,9271000,352620000,15161000,0.3624,-0.057,-0.13016,-0.02718,-0.01386,-1.20059,2.97083,0.96138,0.38692,-0.09681,-0.09681,0.74379,3.37003,0.11623,-0.0153,0.01837,25.21325,-42.2698
"26","2017_Q1",2.63241935483871,"Down",101832000,-65709000,36123000,-43317000,-28737000,-14580000,-7194000,-5806000,-5504000,-5752000,-2000,-3e+05,-1.3e+07,-4027000,-110000,-4137000,-4137000,254000,-3883000,-3883000,109837000,79432000,79432000,29544000,42951000,14021000,28930000,261764000,483923000,19852000,131718000,38700000,93018000,635493000,897257000,76238000,23637000,52601000,5943000,7041000,7041000,89222000,306433000,7915000,7915000,314348000,403570000,1090376000,-603836000,-17675000,468865000,24822000,493687000,897257000,-4137000,14580000,-5234000,86999.9999999963,5296000,-6977000,-6069000,-11949000,-32172000,34724000,34724000,1609000,-5044000,-5044000,-392000,-5436000,7386000,312376000,606000.000000004,0.35473,-0.07065,-0.03813,-0.00787,-0.00433,-0.156060000000001,2.93385,0.81746,0.34815,-0.0276,-0.02864,0.72378,3.33252,0.00431000000000004,-0.00477,0.000740000000000001,27.42201,-28.15388
"27","2017_Q2",2.47730158730159,"Down",89491000,-60861000,28630000,-39090000,-23773000,-15317000,-10460000,-4922000,-4719000,-4911000,-36000,-167000,-15382000,58461000,2263000,60724000,60724000,335000,61059000,61059000,97928000,68123000,68123000,28711000,156257000,12656000,143601000,351019000,433317000,17850000,104273000,37496000,66777000,555440000,906459000,70914000,17220000,53694000,4132000,7212000,7212000,82258000,251251000,5338000,5338000,256589000,338847000,1103139000,-543273000,-16741000,543125000,24487000,567612000,906459000,60724000,15317000,-71248000,-3393000,1400000,-7579000,23127000,36417000,-44459000,10767000,10767000,-33738000,4079000,4079000,184000,4263000,4857000,255383000,-8378000,0.31992,-0.11688,0.68229,0.10757,0.06736,-0.13721,4.26729,0.59697,0.28174,0.41021,0.39915,0.60123,3.64887,-0.05629,0.07371,-0.01011,32.41816,-15.05306
