"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",18.2453125,"Up",11546000,-8729000,2817000,-4222000,-3338000,-66000,-1405000,22000,22000,-1383000,-2387000,-2419000,-2419000,-2419000,-2419000,25763000,15536000,5818000,5818000,4868000,1036000,1036000,37485000,4557000,702000,518000,184000,5259000,42744000,4758000,1898000,2860000,3610000,3610000,8368000,257000,257000,257000,8625000,156785000,-2106000,-120537000,34119000,34119000,42744000,-2419000,493000,-4501000,579000,-5848000,-189000,1861000,0,-20000,9000,-3978000,-3978000,-3978000,-912000,0,0.24398,-0.12169,-0.20951,-0.0709,-0.05659,4.47957,0.25279,0,-1.25194,-1.25194,5.97557,17.65811,-0.07037,28.2489,18.33665
"12","2013_Q3",18.975,"Up",12890000,-9097000,3793000,-3815000,-3580000,-57000,-22000,12000,12000,-10000,-620000,-616000,-616000,-616000,-616000,22178000,12948000,6412000,6412000,4693000,840000,840000,34123000,4469000,727000,461000,184000,5196000,39319000,4555000,1816000,2739000,3640000,3640000,8195000,295000,295000,295000,8490000,157144000,-5121000,-121153000,30829000,30829000,39319000,-616000,479000,193000,-451000,-395000,-316000,605000,-37000,-3014000,-2798000,-2588000,-2588000,-2588000,457000,1.77635683940025e-15,0.29426,-0.00171,-0.04779,-0.01998,-0.01567,4.16388,0.27539,0,-0.32367,-0.32367,6.7728,16.19851,-0.01979,-48.52954,1008.09091
"13","2013_Q4",26.65515625,"Up",12413000,-8595000,3818000,-2875000,-2796000,-55000,943000,8000,8000,951000,2440000,2512000,2512000,2512000,2512000,25939000,17638000,6077000,6077000,4413000,763000,763000,37192000,4111000,680000,406000,184000,4791000,41983000,5307000,1720000,3587000,3102000,3102000,8409000,264000,264000,264000,8673000,157697000,-5728000,-118641000,33310000,33310000,41983000,2512000,475000,-1606000,1002000,2383000,1564000,2467000,-32000,-606000,-160000,4690000,4690000,4690000,1418000,0,0.30758,0.07597,0.20237,0.07541,0.05983,4.42288,0.26037,0,1.37058,1.37148,6.7727,18.17438,0.07482,-18.29267,-27.50689
"14","2014_Q1",26.7690163934426,"Up",12527000,-8839000,3688000,-2873000,-2815000,-53000,815000,6000,6000,821000,786000,787000,787000,787000,787000,26417000,18744000,5430000,5430000,3881000,941000,941000,36669000,4153000,629000,353000,184000,4782000,41451000,4220000,611000,3609000,3405000,3405000,7625000,440000,440000,440000,8065000,156970000,-5728000,-117854000,33386000,33386000,41451000,787000,466000,-4000,133000,1382000,-87999.9999999998,512000,-20000,-2000,-788000,1106000,1106000,1106000,1281000,0,0.2944,0.06506,0.06282,0.02357,0.01899,4.80905,0.24157,-4.2351647362715e-22,0.426,0.39417,6.78088,18.07188,0.05061,-20.62217,-32.4134999999999
"15","2014_Q2",26.5657142857143,"Down",12997000,-9555000,3442000,-3156000,-3090000,-66000,286000,9000,9000,295000,-146000,-148000,-148000,-148000,-148000,19420000,9549000,7308000,7308000,3755000,1174000,1174000,31657000,4514000,4388000,2867000,1459000,8902000,40559000,4063000,1293000,2770000,3484000,3484000,7547000,667000,667000,667000,8214000,156095000,-5728000,-118002000,32345000,32345000,40559000,-148000,453000,-2490000,-1988000,-4173000,-571000,-3924000,-173000,-130864.241831836,-1098000,-9195000,-9195000,-9195000,739000,0,0.26483,0.02201,-0.01139,-0.00458,-0.00365,4.19465,0.25395,0,-0.07992,-0.07992,7.01858,17.46679,0.02354,-26.27876,-67.9021
"16","2014_Q3",28.18890625,"Up",14587000,-10082000,4505000,-3542000,-3438000,-104000,963000,6000,6000,969000,831000,823000,823000,823000,823000,21404000,11579000,6219000,6219000,3495000,899000,899000,32017000,4586000,4172000,2763000,1337000,8758000,40775000,4188000,1478000,2710000,3346000,3346000,7534000,774000,774000,774000,8308000,155386000,-5728000,-117179000,32467000,32467000,40775000,823000,491000,181000.000000001,1524000,3019000,-172000,-172000,-47000,-100975.132879445,-817000,2030000,2030000,2030000,1454000,-4.54747350886464e-13,0.30884,0.06602,0.05642,0.02535,0.02018,4.24967,0.25589,3.3881317890172e-21,0.44357,0.43686,7.86192,17.49865,0.05268,-14.72077,-22.22638
"17","2014_Q4",31.275,"Up",13881000,-9472000,4409000,-3297000,-3204000,-93000,1112000,4000,4000,1116000,1036000,1028000,1028000,1028000,1028000,21815000,12793000,6594000,6594000,3543000,1237000,1237000,33189000,4902000,4077000,2670000,1337000,8979000,42168000,5146000,1760000,3386000,3466000,3466000,8612000,889000,889000,889000,9501000,154567000,-5728000,-116151000,32667000,32667000,42168000,1028000,497000,259000,-35000,1749000,-323000,445000,-65000,-21098.4574873307,-980000,1214000,1214000,1214000,1609000,0,0.31763,0.08011,0.07406,0.03147,0.02438,3.85381,0.29084,0,0.55266,0.54406,7.4625,17.56196,0.05835,-13.55811,-19.61781
"18","2015_Q1",35.1862295081967,"Up",14143000,-9859000,4284000,-3435000,-3342000,-93000,849000,0,-2000,849000,816000,772000,772000,772000,772000,21986000,14051000,5989000,5989000,3644000,1333000,1333000,32952000,4766000,4183000,2577000,1337000,8949000,41901000,4860000,1423000,3437000,3433000,3433000,8293000,963000,963000,963000,9256000,153771000,-5728000,-115379000,32645000,32645000,41901000,772000,494000,212000,-177000,1301000,-89000,956000,-84000,3.49245965480804e-10,-999000,1258000,1258000,1258000,1343000,0,0.30291,0.06003,0.05459,0.02365,0.01842,3.97347,0.28353,0,0.41481,0.40083,7.59927,17.5407,0.05064,-16.37081,-25.89635
"19","2015_Q2",34.0214285714286,"Down",13839000,-10191000,3648000,-3483000,-3378000,-105000,165000,0,0,165000,165000,745000,745000,745000,745000,20924000,13876000,7060000,7060000,3657000,1375000,1375000,33016000,5197000,6657000,3479000,2889000,11854000,44870000,4988000,2242000,2746000,3567000,3567000,8555000,966000,966000,966000,9521000,155716000,-5728000,-114634000,35349000,35349000,44870000,745000,488000,2e+05,-1311000,122000,-194000,674000,-88000,0,-971000,-175000,-175000,-175000,653000,0,0.2636,0.01192,0.05383,0.02108,0.0166,3.85926,0.26934,0,0.39621,0.38619,7.36,18.79966,0.04615,-32.04288,-126.81212
"20","2015_Q3",33.17921875,"Down",15548000,-10781000,4767000,-3604000,-3471000,-133000,1163000,-1000,-1000,1162000,1162000,1097000,1097000,1097000,1097000,21666000,14886000,7252000,7252000,4016000,901000,901000,33835000,6034000,6555000,3346000,2897000,12589000,46424000,5261000,2752000,2509000,4042000,4042000,9303000,1114000,1114000,1114000,10417000,155278000,-5728000,-113537000,36007000,36007000,46424000,1097000,598000,261999.999999999,-77000,1880000,-668000,-433000,-102000,244000,-437000,1010000,1010000,1010000,1761000,5.82076609134674e-11,0.3066,0.0748,0.0705599999999999,0.03047,0.02363,3.637,0.2893,8.67361737988404e-19,0.56949,0.55612,8.07143,18.69231,0.05549,-12.30324,-18.62941
"21","2015_Q4",45.80859375,"Up",15862000,-11060000,4802000,-3854000,-3720000,-134000,948000,-11000,-11000,937000,937000,19120000,19120000,19120000,19120000,19881000,13895000,8313000,8313000,4325000,2226000,2226000,34745000,6614000,24199000,3213000,2897000,30813000,65558000,5883000,2797000,3086000,4021000,4021000,9904000,1327000,1327000,1327000,11231000,154474000,-5728000,-94416000,54327000,54327000,65558000,19120000,665000,-18912000,-1154000,-281000,-301000,468000,-210000,0,-1178000,-991000,-991000,-991000,1613000,0,0.30274,0.05977,1.2054,0.35194,0.29165,3.50818,0.20673,0,9.87807,9.65754,8.19487,28.06727,0.36094,-12.32548,-20.97152
"22","2016_Q1",42.2685245901639,"Down",15577000,-10885000,4692000,-4194000,-4060000,-134000,498000,-245000,-115565.577822796,253000,253000,678000,678000,678000,678000,19095000,15868000,7274000,7274000,4381000,997000,997000,31747000,6252000,26114000,3079000,2897000,32366000,64113000,4035000,1369000,2666000,4671000,4671000,8706000,1252000,1252000,1252000,9958000,153862000,-5728000,-93739000,54155000,54155000,64113000,677999.999999996,690000,1148000,-761000,1755000,-243000,1734000,-192999.999999998,-544000,-1516000,1973000,1973000,1973000,1188000,9.31322574615479e-10,0.30121,0.03197,0.0435299999999998,0.01252,0.01058,3.64657,0.18388,0,0.349160000000001,0.339930000000001,8.02194,27.88907,0.0297600000000001,-16.07323,-38.34337
"23","2016_Q2",44.96296875,"Up",31157000,-22092000,9065000,-9618000,-9039000,-579000,-553000,-299000,-299000,-852000,-852000,11609000,11609000,11609000,11609000,9720000,7202000,13829000,13829000,4808000,3880000,3880000,32237000,31967000,52231000,13361000,7205000,84198000,116435000,9764000,5120000,4644000,8315000,8315000,23164000,2129000,2129000,28256000,51420000,153113000,-5728000,-82130000,65015000,65015000,116435000,11609000,2465000,-11336000,-2002000,736000,-1016000,-29928000,22021000,-620000,20526000,-8666000,-8666000,-8666000,1912000,31212000,0.29095,-0.01775,0.3726,0.17856,0.0997,1.39169,0.79089,0.26806,5.96925,5.82109,16.02067,33.43017,0.12791,11.24059,-38.86438
"24","2016_Q3",45.22265625,"Up",32090000,-22325000,9765000,-8293000,-7715000,-578000,1472000,-437000,-451000,1035000,1035000,997999.999999998,998000,998000,997999.999999998,5543000,3284000,14067000,14067000,5806000,3674000,3674000,29090000,32019000,49429000,12783000,6819000,81448000,110538000,10550000,5480000,5070000,8001000,8001000,23909000,2038000,2038000,21278000,45187000,152474000,-5728000,-81132000,65351000,65351000,110538000,997999.999999996,2383000,610000,-928000,3063000,-1787000,807000,-6883000,-8000,-7788000,-3918000,-3918000,-3918000,3855000,24598000,0.3043,0.04587,0.0311000000000001,0.01527,0.00903000000000002,1.2167,0.69145,0.22253,0.511030000000002,0.49805,16.43197,33.46357,0.02146,4.94293,12.94497
"25","2016_Q4",40.8314285714286,"Down",31086000,-22785000,8301000,-7612000,-7034000,-578000,689000,-770000,-342000,-81000,-81000,-283000,-283000,-283000,-283000,3666000,2353000,13637000,13637000,5909000,3882000,3882000,27094000,31119000,48873000,12206000,6819000,79992000,107086000,10851000,6466000,4385000,7554000,7554000,23763000,1163000,1163000,18503000,42266000,151963000,-5728000,-81415000,64820000,64820000,107086000,-283000,2489000,906000,-95000,3017000,-988000,-1001000,-2163000,0,-2947000,-931000,-931000,-931000,3178000,22698000,0.26703,0.02216,-0.0091,-0.00437,-0.00264,1.14018,0.65205,0.21196,-0.14426,-0.14426,15.84565,33.04108,0.00785,5.98867,27.62264
"26","2017_Q1",45.1840322580645,"Up",31134000,-22492000,8642000,-6827000,-6249000,-578000,1815000,306000,-170711.472131621,2121000,1783000,1978000,1978000,1978000,1978000,3120000,2203000,14503000,14503000,5987000,3469000,3469000,27079000,31407000,47777000,11628000,6237000,79184000,106263000,10672000,6514000,4158000,6643000,6643000,22673000,1039000,1039000,17109000,39782000,151698000,-5728000,-79437000,66481000,66481000,106263000,1978000,2552000,-27000,-485000,4018000,-2128000,1011000,-1501000,-3143000,-5179000,-150000,-150000,-150000,4367000,21428000,0.27757,0.0583,0.06353,0.02975,0.01861,1.19433,0.5984,0.20165,0.99995,0.95699,15.73935,33.60851,0.03332,4.19235,10.08705
"27","2017_Q2",38.8619047619048,"Down",25840000,-20238000,5602000,-7053000,-6679000,-374000,-1451000,-193000,-193000,-1644000,-1644000,-2251000,-2076000,-2076000,-2076000,1930000,1913000,13633000,13633000,5942000,5054000,5054000,26559000,31250000,45017000,11050000,6237000,76267000,102826000,10200000,6110000,4090000,6384000,6384000,21942000,2036000,2036000,16829000,38771000,150775000,-5728000,-80978000,64055000,64055000,102826000,-2076000,2579000,1034000,370000,1907000,-485000,432000,-1536000,-192000,-2722000,-383000,-383000,-383000,1128000,20151000,0.2168,-0.05615,-0.08034,-0.03241,-0.02019,1.21042,0.60528,0.19597,-1.04149,-1.04149,12.96343,32.13515,-0.01255,16.15337,-12.55755
"28","2017_Q3",33.7253968253968,"Down",33026000,-24488000,8538000,-9813000,-9031000,-782000,-1275000,-425000,-425000,-1700000,-2409000,-2597000,-2772000,-2772000,-2772000,1969000,1782000,13643000,13643000,5908000,2238000,2238000,23758000,29839000,44697000,10472000,6237000,74536000,98294000,10775000,5661000,5114000,7300000,7300000,18075000,2230000,2230000,19708000,37783000,150072000,-5728000,-83750000,60511000,60511000,98294000,-2772000,2588000,858000,913000,1587000,-130000,-147000,-3360000,-137000,-4496000,-3056000,-3056000,-3056000,1313000,17478000,0.25852,-0.03861,-0.08393,-0.04581,-0.0282,1.31441,0.6244,0.17781,-1.38746,-1.38746,16.53036,30.2873,-0.0221,11.81188,-12.16392
"29","2017_Q4",21.9720634920635,"Down",28555000,-21915000,6640000,-6448000,-5870000,-578000,192000,-461000,-224000,-269000,-2849000,-8899000,-8899000,-8899000,-8899000,1182000,1103000,14002000,14002000,5903000,2233000,2233000,23320000,29048000,35250000,9894000,3657000,64298000,87618000,9304000,5571000,3733000,6939000,6939000,16243000,2009000,2009000,20509000,36752000,149243000,-5728000,-92649000,50866000,50866000,87618000,-8899000,2495000,9224000,-2213000,607000,-778000,-778000,753000,-161000,-507000,-678000,-678000,-678000,2687000,18500000,0.23253,0.00672,-0.31164,-0.17495,-0.10157,1.4357,0.72253,0.21114,-4.4475,-4.4475,14.27108,25.42156,-0.10928,6.44511,90.19792
"30","2018_Q1",20.7818032786885,"Down",17211000,-16795000,416000,-3015000,-3255000,240000,-2599000,38000.0000000001,112000,-2561000,-147000,-21289000,-21983000,-21983000,-21983000,1974000,1877000,15887000,15887000,5501000,2214000,2214000,25576000,28365000,12762000,7830000,2393000,41127000,66703000,10918000,5207000,5711000,6052000,6052000,16970000,2434000,2180000,21934000,38904000,148165000,-5728000,-114633000,27799000,27799000,66703000,-21983000,3402000,21157000,-608000,1968000,-971000,-972000,763000,-3000,-338000,658000,658000,658000,803000,19500000,0.02417,-0.15101,-1.27726,-0.79078,-0.32957,1.50713,1.39947,0.29234,-10.95917,-10.95917,8.58019,13.85862,-0.41984,21.82565,-6.74335999999998
"31","2018_Q2",15.3734375,"Down",25465000,-20858000,4607000,-6216000,-5859000,-357000,-1609000,-234000,-217000,-1843000,-1843000,-1388000,4106000,4106000,4106000,1149000,1033000,12752000,12752000,5755000,2530000,2530000,22186000,27176000,10600000,7473000,2392000,37776000,59962000,9102000,5712000,3390000,4588000,4588000,13690000,2340000,1979000,15341000,29031000,147191000,-5728000,-110510000,30931000,30931000,59962000,4106000,2280000,-5879000,-101000,406000,-161000,6683000,-6753000,-74000,-7932000,-843000,-843000,-843000,671000,13001000,0.18091,-0.06318,0.16124,0.13275,0.06848,1.6206,0.93857,0.21682,2.0436,2.0436,12.6742,15.39468,0.11262,17.66319,-7.36607
"32","2018_Q3",16.4404761904762,"Up",27080000,-21513000,5567000,-5339000,-4983000,-356000,228000,-165000,-146000,63000,-456000,-349999.999999998,-350000.000000004,-350000.000000004,-350000.000000004,1506000,1410000,12581000,12581000,5992000,2417000,2417000,22496000,25664000,9715000,7116000,1916000,35379000,57875000,9592000,5313000,4279000,3988000,3988000,13580000,2156000,1784000,14656000,28236000,146249000,-5728000,-110860000,29639000,29639000,57875000,-349999.999999996,2289000,529000,167000,2635000,-433000,-447000.000000002,-697000.000000001,-7000,-1811000,377000,377000,377000,2517000,12500000,0.20558,0.00841999999999998,-0.0129199999999998,-0.0118100000000001,-0.00604999999999999,1.65655,0.95266,0.21598,-0.173959999999999,-0.173960000000002,13.45991,14.73185,0.01709,4.3679,48.2193
"33","2018_Q4",10.3996825396825,"Down",25707000,-21349000,4358000,-5141000,-4785000,-356000,-783000,-276000,-2e+05,-1059000,-1566000,-1187000,-1426000,-1426000,-1426000,1053000,963000,13455000,13455000,5884000,2154000,2154000,22546000,23404000,9239000,6760000,1916000,32643000,55189000,8053000,4645000,3408000,4253000,4253000,12306000,1986000,1795000,15578000,27884000,145341000,-5728000,-112286000,27305000,27305000,55189000,-1426000,2164000,296000,-1857000,-823000,455000,455000,928000,0,-155000,-523000,-523000,-523000,1381000,13592000,0.16953,-0.03046,-0.05547,-0.05222,-0.02584,1.83211,1.0212,0.24628,-0.70678,-0.70678,12.74138,13.53341,-0.00739,9.07965,-16.01405
"34","2019_Q1",7.65245901639344,"Down",25928000,-22189000,3739000,-5137000,-4829000,-308000,-1398000,-137000,-188000,-1535000,-1535000,-914000,-1594000,-1594000,-1594000,1698000,1545000,12642000,12642000,5402000,1452000,1452000,21194000,21645000,7755000,5228000,1745000,29400000,50594000,9265000,5206000,4059000,3952000,3952000,13217000,2077000,1956000,11577000,24794000,145430000,-5728000,-113880000,25800000,25800000,50594000,-1594000,1988000,6000.00000000047,2446000,2846000,71000,1994000,-4289000,31000,-4258000,582000,582000,582000,590000,9500000,0.14421,-0.05392,-0.06148,-0.06178,-0.03151,1.60354,0.96101,0.18777,-0.78735,-0.78735,12.80711,12.74389,-0.04265,13.22373,-5.58083000000001
"35","2019_Q2",6.96269841269841,"Down",23912000,-19931000,3981000,-5116000,-4833000,-283000,-1135000,-379000,-181000,-1514000,-1665000,-1657000,-1657000,-1657000,-1657000,814000,797000,13361000,13361000,5483000,1690000,1690000,21348000,20575000,12670000,4944000,1745000,33245000,54593000,8284000,4808000,3476000,5139000,5139000,13423000,4400000,4279000,16917000,30340000,145518000,-5728000,-115537000,24253000,24253000,54593000,-1657000,1809000,536000,-2873000,-2185000,-130000,-990000,2833000,-405000,2428000,-747000,-747000,-747000,674000,12517000,0.16649,-0.04747,-0.0693,-0.06832,-0.03035,1.5904,1.25098,0.22928,-0.81714,-0.81714,11.79209,11.96025,-0.04025,17.3635,-10.31101
