"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",60.1701612903226,"Up",81405000,-40710000,40695000,-23165000,-20177000,-2988000,17530000,158000,158000,17688000,17688000,-5500000,12188000,12188000,12188000,12188000,204292000,127524000,76768000,53010000,53010000,37587000,17719000,5931000,7568000,312608000,83641000,16658000,10423000,1478000,4757000,100299000,412907000,28910000,12165000,16745000,28910000,10964000,10964000,0,10964000,39874000,0,63741000,-17009000,329815000,-3514000,373033000,373033000,412907000,12188000,4729000,2061000,-9519000,9459000,-5317000,-5178000,-10495000,5020000,5020000,6264000,5228000,5228000,736000,5964000,22259000,0,12923000,0.49991,0.21534,0.14972,0.03267,0.02952,1.06031,10.81314,0.10689,0,0.85088,0.81793,5.68312,26.04252,0.90219,5,0.03174,0.03365,-9.17795,-11.65385
"12","2013_Q1",59.9655,"Down",82672000,-40904000,41768000,-22951000,-20731000,-2220000,18817000,125000,125000,18942000,18942000,-6599000,12343000,12343000,12343000,12343000,226159000,146900000,79259000,49127000,49127000,36333000,13884000,7271000,2320000,325503000,85937000,17072000,9952000,1478000,5642000,103009000,428512000,29118000,11308000,17810000,29118000,8537000,8537000,0,8537000,37655000,0,65256000,-15128000,342158000,-1429000,390857000,390857000,428512000,12343000,4739000,2133000,6125000,25340000,-6146000,-2996000,-9142000,1630000,1630000,2195000,18393000,18393000,983000,19376000,23556000,-1.73472347597681e-18,30134000,0.50523,0.22761,0.1493,0.03158,0.0288,2.44138,11.17876,0.09634,8.07793566946316e-28,0.85519,0.81953,5.72798,27.08079,2.08785,5,0.0309,0.07545,-9.60091,-12.01887
"13","2013_Q2",66.1309375,"Up",74299000,-37505000,36794000,-24769000,-22866000,-1903000,12025000,168000,168000,12193000,12193000,-3508000,8685000,8685000,8685000,8685000,233560000,154631000,78929000,52943000,52943000,36540000,11084000,6007000,289000,334127000,86994000,16761000,9647000,1478000,5636000,103755000,437882000,25567000,11040000,14527000,25567000,8829000,8829000,0,8829000,34396000,0,67222000,-10780000,350843000,-3799000,403486000,403486000,437882000,8685000,4712000,1868000,-4501000,10764000,-6186000,-814000,-7e+06,4171000,4171000,5205000,8969000,8969000,-1238000,7731000,16737000,0,9558000,0.49522,0.16185,0.11689,0.02152,0.01983,1.10052,13.06868,0.08525,0,0.59868,0.57696,5.1216,27.81319,0.65885,5,0.02106,0.02318,-13.95471,-19.42287
"14","2013_Q3",71.386875,"Up",78661000,-40623000,38038000,-27088000,-23182000,-3906000,10950000,212000,212000,11162000,11162000,-3795000,7367000,7367000,7367000,7367000,243983000,170588000,73395000,49551000,49551000,36281000,16370000,6384000,5431000,346185000,88989000,16388000,9272000,1478000,5638000,105377000,451562000,28030000,11732000,16298000,28030000,8975000,8975000,0,8975000,37005000,6.46234853557053e-27,69534000,-10537000,358210000,-2650000,414557000,414557000,451562000,7367000,4877000,2328000,619999.999999998,15192000,-6208000,5096000,-1112000,-775000,1017000,1275000,15355000,15355000,602000,15957000,15827000,2.77555756156289e-17,14034000,0.48357,0.1392,0.09366,0.01777,0.01631,1.90498,12.35052,0.08926,2.58493941422821e-26,0.504,0.51979,5.38147,28.36129,0.96011,5,0.01739,0.03314,-15.41562,-22.28155
"15","2013_Q4",64.35640625,"Down",82815000,-41860000,40955000,-25539000,-22399000,-3140000,15416000,190000,190000,15606000,15606000,-4572000,11034000,11034000,11034000,11034000,260845000,188030000,72815000,51791000,51791000,34153000,17029000,5531000,7680000,363818000,88897000,15966000,8843000,1478000,5645000,104863000,468681000,27071000,10827000,16244000,27071000,9050000,9050000,0,9050000,36121000,0,71691000,-8948000,369244000,573000,432560000,432560000,468681000,11034000,4862000,2126000,-1734000,16288000,-3647000,480000,-3167000,1044000,2285000,2527000,15648000,15648000,1794000,17442000,20278000,0,19469000,0.49454,0.18615,0.13324,0.02551,0.02354,1.76446,13.4394,0.08351,0,0.75138,0.68149,5.63943,29.45591,1.32577,4,0.02499,0.04409,-12.86345,-16.92041
"16","2014_Q1",61.6070491803279,"Down",77941000,-38996000,38945000,-24017000,-20559000,-3458000,14928000,195000,195000,15123000,13753000,-421000,13332000,13332000,13332000,13332000,296891000,226022000,70869000,45318000,45318000,34451000,17636000,7319000,5966000,394296000,87861000,17486000,8490000,1478000,7518000,105347000,499643000,26886000,11335000,15551000,26886000,8032000,8032000,-1.4210854715202e-14,8032000,34918000,0,80005000,-49000,382576000,2193000,464725000,464725000,499643000,13332000,5055000,2647000,2448000,23482000,-3405000,1564000,-1841000,12988000,12988000,15387000,37028000,37028000,964000,37992000,19983000,4.44089209850063e-16,19447000,0.49967,0.19153,0.17105,0.02869,0.02668,1.45867,14.66548,0.07514,0,0.89219,0.85031,5.21589,31.09985,1.30141,4,0.0282,0.04114,-14.85718,-19.8882
"17","2014_Q2",59.0311111111111,"Down",73230000,-37203000,36027000,-26150000,-22519000,-3631000,9877000,210000,210000,10087000,10087000,-3430000,6657000,6657000,6657000,6657000,303847000,227623000,76224000,43323000,43323000,36687000,16876000,8065000,4440000,400733000,90379000,15320000,8013000,1478000,5829000,105699000,506432000,25501000,11714000,13787000,25501000,6724000,6724000,0,6724000,32225000,0,84563000,-1706000,389233000,2117000,474207000,474207000,506432000,6657000,4765000,2162000,-870000,12714000,-6023000,-5972000,-11995000,-249000,5586000,929000,1648000,1648000,-47000,1601000,14642000,0,11179000,0.49197,0.13488,0.09091,0.01404,0.01314,1.67928,15.7144,0.06796,0,0.44095,0.43241,4.85063,31.41068,0.74048,4,0.01384,0.02324,-20.75174,-30.76309
"18","2014_Q3",61.26078125,"Up",78677000,-41135000,37542000,-28844000,-24278000,-4566000,8698000,207000,207000,8905000,8905000,-3027000,5878000,5878000,5878000,5878000,315847000,235951000,79896000,41022000,41022000,37819000,17957000,6729000,6651000,412645000,91899000,14973000,7668000,1478000,5827000,106872000,519517000,27126000,11328000,15798000,27126000,6924000,6924000,4.54747350886464e-13,6924000,34050000,-1.65436122510606e-24,90154000,-1188000,395111000,1390000,485467000,485467000,519517000,5878000,4901000,2765000,3017000,16561000,-7078000,-4255000,-11333000,2814000,2814000,3621000,8849000,8849000,-521000,8328000,13599000,7.105427357601e-15,12565000,0.47717,0.11055,0.07471,0.01211,0.01131,2.13763,15.21216,0.07014,3.30872245021211e-24,0.38564,0.38263,5.16186,31.85061,0.82437,4,0.01194,0.02552,-23.22575,-36.3126
"19","2014_Q4",76.65921875,"Up",77457000,-39310000,38147000,-26898000,-21843000,-5055000,11249000,155000,155000,11404000,8564000,-2136000,6428000,6428000,6428000,6428000,329744000,252241000,77503000,35354000,35354000,38248000,21157000,5372000,9381000,424503000,88532000,14681000,7394000,1478000,5809000,103213000,527716000,29250000,11932000,17318000,29250000,7038000,7038000,0,7038000,36288000,0,95436000,-1000,401539000,-5546000,491428000,491428000,527716000,6428000,4976000,3185000,4483000,19072000,-2527000,704000,-1823000,3189000,3190000,3938000,21187000,21187000,-4897000,16290000,16225000,0,20317000,0.49249,0.14523,0.08299,0.01308,0.01218,3.1607,14.51292,0.07384,0,0.41961,0.41503,5.05627,32.07964,1.32626,5,0.0129,0.04076,-20.3232,-29.31318
"20","2015_Q1",87.4675409836066,"Up",79896000,-40211000,39685000,-25379000,-20299000,-5080000,14306000,183000,183000,14489000,12236000,-4864000,7372000,7372000,7372000,7372000,346764000,275812000,70952000,39051000,39051000,36933000,9781000,5818000,3963000,432529000,86091000,22482000,7063000,1478000,13941000,108573000,541102000,28728000,11378000,17350000,28728000,4122000,4122000,-3.63797880709171e-12,4122000,32850000,0,108895000,-771039.966009804,408911000,-9554000,508252000,508252000,541102000,7372000,4805000,3350000,2466000,17993000,-1960000,5361000,3401000,7893000,7893000,5159000,26553000,26553000,-2982000,23571000,19111000,0,24481000,0.49671,0.17906,0.09227,0.0145,0.01362,3.32081,15.05601,0.06463,0,0.47654,0.45108,5.16458,32.85404,1.58248,4,0.01439,0.04778,-18.14473,-24.23906
"21","2015_Q2",93.4469841269841,"Up",81484000,-38970000,42514000,-24482000,-20174000,-4308000,18032000,526000,526000,18558000,11499000,-1813000,9686000,9686000,9686000,9686000,354787000,308533000,46254000,42595000,42595000,37660000,18968000,6634000,4941000,454010000,82288000,18046000,6657000,1478000,9911000,100334000,554344000,32897000,12548000,20349000,32897000,3345000,3345000,0,3345000,36242000,0,119945000,-795000,418597000,-19645000,518102000,518102000,554344000,9686000,4629000,3789000,-4853000,13251000,-2565000,22580000,20015000,4383000,5818000,7442000,40708000,40708000,-7987000,32721000,22661000,0,17056000,0.52175,0.22129,0.11887,0.0187,0.01747,1.76089,13.80095,0.06995,0,0.61722,0.59665,5.19238,33.01485,1.08685,5,0.01858,0.03271,-15.65628,-19.67541
"22","2015_Q3",106.97203125,"Up",83781000,-40020000,43761000,-23440000,-20318000,-3122000,20321000,240000,240000,20561000,20561000,-6991000,13570000,13570000,13570000,13570000,367315000,331092000,36223000,43428000,43428000,38231000,22078000,6930000,8263000,471052000,81376000,17809000,6415000,1478000,9916000,99185000,570237000,28677000,12587000,16090000,28677000,3500000,3500000,0,3500000,32177000,-2.11758236813575e-22,123670000,2153532.88958865,432167000,-17777000,538060000,538060000,570237000,13570000,4397000,3439000,-5482000,15924000,-2846000,9883000,7037000,1020000,1020000,-2039000,20922000,20922000,1637000,22559000,24718000,0,23381000,0.52233,0.24255,0.16197,0.02522,0.0238,1.72299,16.42613,0.0598,8.470329472543e-22,0.85989,0.82987,5.30898,34.09543,1.48159,6,0.02506,0.04317,-14.86022,-18.07564
"23","2015_Q4",110.5121875,"Up",86016000,-39751000,46265000,-24433000,-20206000,-4227000,21832000,230000,230000,22062000,24998000,-8732000,16266000,16266000,16266000,16266000,394063000,355368000,38695000,49242000,49242000,40681000,29711000,14379000,8798000,513697000,78768000,17763000,6365000,1478000,9920000,96531000,610228000,37203000,14732000,22471000,37203000,5857000,4291000,1566000,5857000,43060000,0,136008000,4213035.36355317,448433000,-17273000,567168000,567168000,610228000,16266000,4240000,2517000,-3568000,19455000,496000,-2387000,-1891000,6210000,6298000,6210000,23774000,23774000,502000,24276000,26072000,0,31732000,0.53787,0.25381,0.1891,0.02868,0.02666,1.95082,13.80795,0.07592,0,1.02341,0.98136,5.41185,35.68441,1.99648,5,0.02839,0.05538,-15.11441,-18.04979
"24","2016_Q1",95.6106557377049,"Down",90387000,-42130000,48257000,-26575000,-22518000,-4057000,21682000,138000,177000,21820000,12641000,-7178000,5463000,5463000,5463000,5463000,377397000,336164000,41233000,57847000,57847000,43632000,26131000,7631000,14366000,505007000,74320000,47498000,23936000,6463000,17099000,121818000,626825000,42618000,13670000,28948000,42618000,4336000,2860000,1476000,4336000,46954000,-3.3881317890172e-21,146733000,2.09547579288483e-09,453896000,-20758000,579871000,579871000,626825000,5463000,4807000,7891000,-2596000,15565000,-5428000,-3159000,-36403000,4068000,4068000,4068000,-16770000,-16770000,-2434000,-19204000,26489000,-1.45519152283669e-11,25643000,0.53389,0.23988,0.06044,0.00942,0.00872,4.69394,11.84962,0.08097,0,0.34093,0.32473,5.64073,36.18766,1.60029,5,0.00935,0.04389,-14.24731,-17.406
"25","2016_Q2",103.78734375,"Up",89855000,-40622000,49233000,-25288000,-21975000,-3313000,23945000,147000,147000,24092000,24092000,-5932000,18160000,18160000,18160000,18160000,383721000,347370000,36351000,55674000,55674000,49240000,26799000,11198000,11297000,515434000,74635000,45888000,23476000,6463000,15949000,120523000,635957000,34006000,12678000,21328000,34006000,6038000,4658000,1380000,6038000,40044000,0,151708000,-8933000,469797000,-16659000,595913000,595913000,635957000,18160000,4801000,4374000,-10040000,17295000,-4181000,4741000,560000,-10279000,6618000,-10279000,7576000,7576000,3630000,11206000,28746000,0,20457000,0.54792,0.26648,0.2021,0.03047,0.02856,1.12649,15.15715,0.0672,0,1.13203,1.13203,5.60123,37.14705,1.27522,6,0.03017,0.03398,-13.34867,-16.0251
"26","2016_Q3",120.60109375,"Up",96721000,-46589000,50132000,-25829000,-22491000,-3338000,24303000,77000,154000,24380000,23957000,-7351000,16606000,16606000,16606000,16606000,400615000,372895000,27720000,60487000,60487000,49919000,24373000,8092000,12072000,535394000,79704000,48281000,23183000,6245000,18853000,127985000,663379000,40612000,18853000,21759000,40612000,6540000,5252000,1288000,6540000,47152000,0,150962000,-4471000,488662000,-18926000,616227000,616227000,663379000,16606000,4847000,2217000,809999.999999998,24480000,-5443000,8918000.00000001,869000,2361000,2375000,2361000,27710000,27710000,-2185000,25525000,29150000,2.3283064365387e-10,31868000,0.51832,0.25127,0.17169,0.02695,0.02503,1.91907,13.18315,0.07652,1.0842021724855e-19,1.03201,0.97682,6.01088,38.29638,1.98049,5,0.02666,0.05117,-13.74322,-16.48418
"27","2016_Q4",144.725555555556,"Up",97108000,-45835000,51273000,-26012000,-22362000,-3650000,25261000,225000,283000,25486000,23026000,-4220000,18806000,18806000,18806000,18806000,372438000,322963000,49475000,53638000,53638000,50953000,26020000,6569000,15202000,503049000,80588000,47900000,22832000,5577000,19491000,185650000,688699000,32516000,12555000,19961000,32516000,7707000,6510000,1197000,7707000,40223000,0,159234000,-636098.10119732,507468000,-18226000,648476000,648476000,688699000,18806000,4703000,4530000,-1107000,26932000,-6254000,-79805000,-86037000,8954000,9198000,8954000,-50151000,-50151000,219000,-49932000,29964000,0,26823000,0.528,0.26013,0.19366,0.029,0.02731,1.4263,15.47081,0.06203,0,1.16086,1.08793,5.99432,40.02938,1.65574,5,0.02866,0.04088,-12.42952,-14.7436
"28","2017_Q1",146.156935483871,"Up",95688000,-44928000,50760000,-25252000,-22598000,-2654000,25508000,318000,301000,25826000,14089000,-4577000,9512000,9512000,9512000,9512000,445082000,445082000,0,56161000,56161000,49264000,18590000,7355000,11235000,569097000,85696000,49895000,22383000,5577000,21935000,135591000,704688000,40537000,14641000,25896000,40537000,3996000,2889000,1107000,3995999.99999999,44533000,0,164461000,-14000,516980000,-21272000,660155000,660155000,704688000,9512000,4699000,5441000,1582000,21234000,-5407000,106296000,100889000,1436000,1516000,1436000,123559000,123559000,-1440000,122119000,30207000,1.86264514923096e-09,30959000,0.53047,0.26657,0.09941,0.01441,0.0135,3.25473,14.03895,0.06746,0,0.58217,0.50899,5.85642,40.40364,1.89479,5,0.01432,0.04661,-14.7344,-17.44872
"29","2017_Q2",160.425396825397,"Up",247739000,-158794000,88945000,-76527000,-64886000,-11641000,12418000,-406000,107000,12012000,45848000,10015000,55863000,55863000,55863000,55863000,201862000,201862000,-21842604.0678818,137699000,137699000,445684000,101298000,86594000,12196000,886543000,377756000,208737000,159135000,6583000,11196000,586493000,1473036000,160679000,37427000,123252000,160679000,95565000,7733000,87832000,170565000,331244000,0,588192000,0,572843000,-19243000,1141792000,1141792000,1473036000,55863000,11594000,-57914000,-86152000,-76609000,-16806000,0,-173903000,6600000,10318000,6600000,-243912000,-243912000,692000,-243220000,24012000,7.5e+07,-88961000,0.35903,0.05013,0.22549,0.04893,0.03792,-1.59249,5.51748,0.29011,0.05092,3.02961,2.85759,13.4356,61.92266,-4.82461,3,0.04257,-0.06779,-5.28328,-10.21598
"30","2017_Q3",174.384920634921,"Up",331514000,-243452000,88062000,-98073000,-85106000,-12967000,-10011000,-3245000,-2720000,-13256000,-39177000,2117000,-37060000,-37060000,-37060000,-37060000,240923000,240923000,-7650610.8851815,124934000,124934000,401312000,137264000,121358000,13398000,904433000,374590000,208274000,160346000,6652000,11597000,582864000,1487297000,189093000,40443000,148650000,189093000,101886000,5947000,95939000,176886000,365979000,1.38777878078145e-17,594937000,-15000,535783000,-9387000,1121318000,1121318000,1487297000,-37060000,18312000,18252000,48241000,47745000,-12396000,0,-12396000,1931000,1952000,1931000,37279999.9999999,37279999.9999999,1781000,39061000,8301000,7.5e+07,42029000,0.26564,-0.0302,-0.11179,-0.03305,-0.02492,-1.13407999999999,4.78301,0.32638,0.05043,-1.86973,-1.86973,16.72539,56.57222,2.12043,3,-0.02855,0.03237,-19.98831,16.57407
