"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",16.8404761904762,"Up",68539000,-50133000,18406000,-6581000,-6036000,-1574000,-4462000,-545000,11825000,-1209000,-1249000,40000,10616000,10616000,-4109000,6507000,6507000,-731000,5776000,5776000,19068000,19068000,16503000,16503000,24046000,3644000,3135000,63261000,17905000,128542000,12676000,12347000,102497000,1022000,146447000,209708000,32143000,18648000,296000,13199000,43112000,95561000,94577000,161561000,204673000,179000,34237000,-31869000,503000,4532000,5035000,209708000,6507000,1378000,3060000,-2222000,8723000,-1821000,-1821000,-1500000,-422000,-2729000,4173000,4173000,4151000,13203000,7.4e+07,13269000,0.26855,0.17253,0.08427,1.14717,0.02754,2.29726,1.46736,40.65005,0.35287,0.32132,0.32036,3.81287,0.01802,0.73816,0.03308,0.076,4.16057,4.64541
"12","2017_Q1",20.2283870967742,"Up",66680000,-48855000,17825000,-1e+07,-9452000,-1477000,-7975000,-548000,7825000,-945000,-957000,12000,6880000,6880000,-2790000,4090000,4090000,-486000,3604000,3604000,25921000,25921000,14690000,14690000,20431000,3672000,2707000,64714000,17813000,139799000,12470000,11703000,115594000,32000,157612000,222326000,35640000,16158000,427000,19055000,47829000,91382000,90697000,154468000,202297000,176000,45947000,-28302000,15350000,4679000,20029000,222326000,4090000,1438000,6250000,1530000,13308000,-638000,-638000,-2e+06,-630000,-5804000,6866000,6866000,6853000,9263000,71086000,12945000,0.26732,0.11735,0.05405,0.17994,0.01621,3.59184,1.35303,10.1002,0.31974,0.20209,0.20163,3.73893,0.85085,0.72586,0.01975,0.07093,4.87585,5.77188
"13","2017_Q2",23.5853968253968,"Up",62021000,-46198000,15823000,-9037000,-8487000,-2423000,-6064000,-550000,6786000,-413000,-430000,17000,6373000,6373000,-2147000,4226000,4226000,-446000,3780000,3780000,16293000,16293000,15593000,15593000,24293000,2661000,2269000,58840000,17776000,136799000,12646000,11231000,112892000,30000,154575000,213415000,38951000,18332000,523000,20096000,44257000,91134000,90456000,146164000,190421000,176000,44571000,-24522000,18111000,4883000,22994000,213415000,4226000,1518000,1254000,-341000,6657000,-844000,-844000,-1.5e+07,-449000,-15449000,-9636000,-9636000,-9628000,8304000,56147000,9266000,0.25512,0.10941,0.06095,0.16439,0.01771,2.45132,1.32951,8.28133,0.26309,0.21283,0.21215,3.49212,1.00984,0.52173,0.0222,0.05442,4.79937,5.87297
"14","2017_Q3",27.6452380952381,"Up",67661000,-49848000,17813000,-6152000,-5603000,-2150000,-3453000,-549000,11661000,21000,-37000,58000,11682000,11682000,-3945000,7737000,7737000,-836000,6901000,6901000,25909000,25909000,8110000,8110000,23412000,2263000,2227000,59694000,21665000,134421000,12253000,10516000,111622000,30000,156086000,215780000,35468000,14242000,1254000,19972000,39657000,90819000,90198000,145911000,185568000,178000,46168000,-17659000,25727000,4485000,30212000,215780000,7737000,1575000,288000,5990000,15590000,-4583000,-4583000,-1117000,-339000,-1456000,9551000,9551000,9616000,13236000,55092000,18588000,0.26327,0.17234,0.10199,0.22842,0.03198,2.69352,1.50526,6.1422,0.25532,0.38856,0.38731,3.80969,1.43855,1.04661,0.03918,0.10554,2.20482,2.50262
"15","2017_Q4",30.4980952380952,"Up",77149000,-55787000,21362000,-8336000,-7786000,-1789000,-5997000,-550000,13026000,-375000,-416000,41000.0000000005,12651000,12651000,-3805000,8846000,8846000,-833000,8013000,8013000,32295000,32295000,14724000,14724000,27365000,2311000,2311000,76695000,21954000,136375000,12654000,10133000,113480000,108000,158329000,235024000,42196000,18979000,1803000,21414000,46556000,91496000,90887000,146648000,193204000,179000,50545000,-9585000,39046000,2774000,41820000,235024000,8846000,1600000,1493000,-3538000,8401000,-1540000,-1540000,0,-408000,-408000,6453000,6453000,6386000,14626000,55152000,13353000,0.27689,0.16884,0.10386,0.19161,0.03409,1.66642,1.64737,4.61989,0.23467,0.44823,0.44452,4.31551,2.17412,0.74693,0.04252,0.07085,1.56276,1.75472
"16","2018_Q1",32.5449180327869,"Up",75106000,-55066000,20040000,-12075000,-11526000,-2257000,-9269000,-549000,7965000,9997000,-676000,10673000,17962000,17962000,-7696000,10266000,10266000,-602000,9664000,9664000,32822000,32822000,9846000,9846000,23835000,3581000,2470000,70084000,24123000,129456000,12692000,9597000,107088000,79000,153579000,223663000,34853000,12722000,515000,21616000,39185000,78839000,78287000,132242000,171427000,179000,48328000,151000,47295000,4941000,52236000,223663000,10266000,2055000,-1458000,-5655000,5208000,-2279000,-2279000.00000001,-883000,-1523000,-2406000,523000,523000,526999.999999999,10020000,53403000,9782000,0.26682,0.10605,0.12867,0.18501,0.04321,1.01221,1.78854,3.28178,0.23877,0.53719,0.53264,4.1749,2.61902,0.54375,0.05239,0.05303,2.05399,2.58393
"17","2018_Q2",39.891875,"Up",103541000,-80618000,22923000,-11971000,-10663000,-3589000,-7074000,-1308000,10952000,-4796000,-2199000,-2597000,6156000,6156000,258000,6414000,6414000,-529000,5885000,5885000,18424000,18424000,17357000,17357000,42751000,4963000,4937000,83495000,37608000,240378000,32614000,98241000,109410000,113000,277986000,361481000,52807000,24314000,1152000,27341000,57139000,81628000,81087000,189835000,246974000,202000,106719000,6003000,111222000,3285000,114507000,361481000,6414000,3038000,1758000,-6194000,5016000,-1830000,-127382000,5.5e+07,-2374000,107943000,-14423000,-14423000,-14398000,13990000,108207000,5708000,0.22139,0.10577,0.05684,0.05139,0.01628,0.96992,1.46126,2.15685,0.29934,0.32975,0.32783,5.80163,6.22069,0.31983,0.01934,0.01876,6.41766,8.19786
"18","2018_Q3",44.4373015873016,"Up",114373000,-86857000,27516000,-11861000,-10557000,-3122000,-7435000,-1304000,15655000,29319000,-1014000,30333000,44974000,44974000,-50558000,-5584000,-5584000,-799000,-6383000,-6383000,36731000,36731000,9943000,9943000,44273000,5604000,4539000,96551000,39232000,192600000,32591000,96926000,62801000,282000,231832000,328383000,52497000,21264000,534000,30699000,56820000,52677000,52155000,160978000,217798000,204000,106996000,-380000.000000001,105691000,4894000,110585000,328383000,-5584000,2991000,19396000,5206000,22009000,-3093000,-3093000,1.49011611938477e-08,-603000,-603000,18313000,18313000,18307000,18646000,108301000,71317000,0.24058,0.13688,-0.05581,-0.05772,-0.01944,-11.17296,1.69924,1.96951,0.3298,-0.31631,-0.31472,5.66782,5.22746,3.53415,-0.0235,0.26262,3.83836,4.5717
"19","2018_Q4",43.9401587301587,"Down",140429000,-104066000,36363000,-12416000,-11125000,-3263000,-7862000,-1291000,23947000,-906000,-923000,17000.0000000075,23041000,23041000,-6245000,16796000,16796000,-1124000,15672000,15672000,53156000,53156000,22553000,22553000,43761000,4584000,4448000,124054000,40741000,189771000,32478000,95598000,61275000,420000,230512000,354566000,61891000,26142000,2748000,33001000,66214000,52860000,52418000,161253000,227467000,204000,107692000,15350000,121849000,5250000,127099000,354566000,16796000,2976000,2401000,-2228000,19945000,-3223000,-3223000,0,-304000,-304000,16418000,16418000,16425000,26923000,108393000,27717000,0.25894,0.17053,0.1116,0.12331,0.0442,1.76857,1.87353,1.78968,0.30571,0.77663,0.77273,6.95903,6.02818,1.37353,0.05435,0.09612,2.05167,2.30664
"20","2019_Q1",41.37,"Down",138659000,-105119000,33540000,-14027000,-12732000,-3744000,-8988000,-1295000,19513000,-4297000,-1249000,-3048000,15216000,15216000,-1873000,13343000,13343000,-904000,12439000,12439000,61623000,61623000,24625000,24625000,44268000,3398000,3298000,133914000,40845000,191009000,32230000,94221000,64105000,453000,231854000,365768000,61454000,24349000,1420000,35685000,65386000,52024000,51683000,160511000,225897000,204000,108360000,27789000,134369000,5502000,139871000,365768000,13343000,3849000,1201000,-6908000,11485000,-2158000,-2158000,0,-834000,-834000,8493000,8493000,8467000,23362000,108487000,16169000,0.24189,0.14073,0.08971,0.08893,0.03401,1.29986,2.04805,1.61504,0.2966,0.61642,0.61333,6.87132,6.64862,0.80126,0.04141,0.05383,2.00599,2.40168
"21","2019_Q2",39.7192063492064,"Down",123483000,-92982000,30501000,-13749000,-12469000,-3498000,-8971000,-1280000,16752000,-1154000,-1171000,17000,15598000,15598000,-3583000,12015000,12015000,-717000,11298000,11298000,72169000,72169000,22704000,22704000,52784000,3927000,3718000,151584000,41527000,191556000,32061000,92888000,66164000,443000,233083000,384667000,65196000,28574000,2563000,34059000,69128000,54565000,54266000,163146000,232274000,206000,110685000,39087000,147590000,4803000,152393000,384667000,12015000,3143000,1573000,-3547000,13184000,-2190000,-2190000,29284634.5269806,-1082000,-410000,10584000,10584000,10546000,19895000,108581000,17741000,0.24701,0.13566,0.09149,0.07414,0.02937,1.57028,2.1928,1.52418,0.28227,0.55988,0.55707,6.11927,7.30369,0.87916,0.03581,0.05622,1.83021,2.17359
"22","2019_Q3",30.843125,"Down",165793000,-127478000,38315000,-17371000,-15833000,-4601000,-11232000,-1538000,20944000,-1827000,-1844000,17000,19117000,19117000,-4119000,14998000,14998000,-741000,14257000,14257000,23903000,23903000,13545000,13545000,68465000,7342000,5979000,113255000,60193000,265495000,51410000,149206000,64566000,313000,325688000,438943000,69389000,25996000,335000,43058000,73321000,54641000,54371000,198317000,271638000,207000,111347000,53346000,162145000,5160000,167305000,438943000,14998000,4033000,2813000,584000,22428000,-4647000,-104720000,3.5e+07,-1013000,34064000,-48228000,-48228000,-48266000,24977000,143676000,25033000,0.2311,0.12633,0.08599,0.08522,0.03248,1.75584,1.54465,1.62361,0.32732,0.68437,0.67999,7.9584,7.77336,1.20164,0.03899,0.06847,4.79533,5.71873
"23","2019_Q4",36.145625,"Up",199918000,-150196000,49722000,-19160000,-17597000,-5273000,-12324000,-1563000,30562000,-1038000,-1750000,712000,29524000,29524000,-7321000,22203000,22203000,-1104000,21099000,21099000,15489000,15489000,38811000,38811000,74043000,5116000,4979000,133459000,61515000,261458000,51474000,147655000,62078000,251000,322973000,456432000,79114000,31815000,1067000,46232000,83046000,54719000,54487000,183488000,266534000,207000,112286000,74441000,184278000,5620000,189898000,456432000,22203000,4307000,3027000,-18738000,10799000,-3891000,-3891000,-1.5e+07,-323000,-15323000,-8415000,-8415000,-8414000,34869000,128769000,19561000,0.24871,0.15287,0.10554,0.11111,0.04623,0.92711,1.60705,1.40356,0.28212,1.0128,1.00632,9.59647,8.83578,0.93897,0.05651,0.05239,3.24873,3.70656
"24","2020_Q1",39.6829032258065,"Up",194822000,-147090000,47732000,-17878000,-16303000,-4574000,-11729000,-1575000,29854000,-2296000,-1699000,-597000,27558000,27558000,-7073000,20485000,20485000,-1073000,19412000,19412000,27392000,27392000,27961000,27961000,67768000,4530000,4530000,127651000,65756000,257907000,51404000,146061000,60407000,35000,323663000,451314000,71740000,21174000,1469000,49097000,75332000,51996000,51851000,165629000,240961000,207000,113004000,93852000,204235000,6118000,210353000,451314000,20485000,4477000,3478000,6649000,35089000,-7210000,-7210000.00000001,-1.5e+07,-956000,-15956000,11923000,11923000,11903000,34331000,113633000,40843000,0.245,0.15324,0.09964,0.09228,0.04301,2.10401,1.69451,1.14551,0.25178,0.93182,0.92586,9.35185,9.79376,1.96055,0.05163,0.10863,2.51204,2.88876
"25","2020_Q2",39.9531746031746,"Up",172080000,-132079000,40001000,-17318000,-15734000,-5066000,-10668000,-1584000,22683000,-1157000,-1167000,9999.99999999977,21526000,21526000,-4844000,16682000,16682000,-823000,15859000,15859000,32345000,32345000,22962000,22962000,75286000,6075000,6075000,136668000,72978000,270159000,51160000,144415000,58926000,15658000,343137000,479805000,81427000,29240000,3280000,48907000,85019000,67374000,67261000,181109000,266128000,203000,102400000,108008000,207160000,6517000,213677000,479805000,16682000,4681000,3034000,3316000,27713000,-10704000,-10704000,-58444563.3775055,-807000,-11930000,5079000,5079000,4953000,27364000,113735000,24820000,0.23246,0.13182,0.09216,0.07422,0.03305,1.56504,1.6075,1.24547,0.23704,0.76126,0.7564,8.26019,9.93436,1.19141,0.04017,0.06287,2.97435,3.58815
"26","2020_Q3",54.3475,"Up",180112000,-140244000,39868000,-16281000,-14744000,-4666000,-10078000,-1537000,23587000,-948000,-957000,9000,22639000,22639000,-5041000,17598000,17598000,-876000,16722000,16722000,27707000,27707000,15637000,15637000,76783000,5989000,5989000,126116000,81368000,267221000,51396000,142934000,57586000,15305000,348589000,474705000,77864000,24774000,494000,52596000,81456000,67051000,66934000,160888000,242344000,204000,103291000,124730000,225389000,6972000,232361000,474705000,17598000,4542000,2699000,-43000,24796000,-8609000,-8609000,-2e+07,-973000,-20973000,-4786000,-4786000,-4637999.99999999,28129000,93837000,24518000,0.22135,0.13096,0.09284,0.07197,0.03523,1.46621,1.54827,1.04296,0.19767,0.80845,0.80286,8.70778,10.8869,1.18536,0.04252,0.06235,2.35095,2.80366
"27","2020_Q4",57.7103125,"Up",182310000,-136461000,45849000,-15716000,-14215000,-4572000,-9643000,-1501000,30133000,720000,-940000,1660000,30853000,30853000,-6987000,23866000,23866000,-1088000,22778000,22778000,134162000,134162000,21722000,21722000,88865000,6018000,6018000,250767000,88320000,259577000,50605000,141249000,53016000,14707000,347897000,598664000,85147000,31507000,639000,53001000,88624000,65009000,64968000,257747000,346371000,204000,102284000,147508000,245082000,7211000,252293000,598664000,23866000,4439000,5151000,-11784000,21672000,-10830000,-10830000,98800000,-466000,96001000,106843000,106843000,106455000,34572000,192738000,18945000,0.25149,0.16528,0.12494,0.09028,0.03805,0.83172,2.82956,1.37289,0.32195,1.10124,1.09363,8.81404,11.83899,0.91592,0.04466,0.03714,1.69432,1.94392
"28","2021_Q1",77.1116393442623,"Up",118661000,-95109000,23552000,-14645000,-13136000,-3613000,-9523000,-1509000,8907000,-193000,-824000,631000,8714000,8714000,-2204000,6510000,6510000,-307000,6203000,6203000,33787000,33787000,13767000,13767000,72946000,3954000,3954000,124454000,94310000,258582000,51273000,139892000,52935000,14482000,352892000,477346000,66574000,15846000,243000,50485000,70163000,62817000,62803000,145656000,215819000,204000,103797000,153711000,254580000,6947000,261527000,477346000,6510000,4718000,2241000,6491000,19960000,-10251000,-10251000,-1.1e+08,-421000,-110421000,-100712000,-100712000,-100375000,13625000,82839000,12069000,0.19848,0.07506,0.05227,0.02372,0.01299,1.94567,1.77378,0.82523,0.17354,0.29989,0.29782,5.73684,12.29818,0.58349,0.01523,0.02964,3.60015,5.50713
"29","2021_Q2",79.5909523809524,"Up",180984000,-135243000,45741000,-16790000,-15266000,-3612000,-11654000,-1524000,28951000,-546000,-556000,10000.0000000001,28405000,28405000,-6367000,22038000,22038000,-945000,21093000,21093000,52438000,52438000,31031000,31031000,80053000,5925000,5925000,169447000,95741000,255030000,51511000,138421000,51075000,14023000,350771000,520218000,93696000,31292000,4088000,58316000,97285000,63857000,63857000,137998000,235283000,204000,105228000,174804000,277734000,7201000,284935000,520218000,22038000,5010000,3785000,1929000,32762000,-5432000,-5432000,-8800000,-252000,-8752000,18578000,18578000,18651000,33961000,74141000,36825000,0.25274,0.15996,0.11655,0.07403,0.04055,1.74584,1.74176,0.82574,0.14252,1.02136,1.01094,8.76354,13.43845,1.78313,0.04987,0.08707,0.63906,0.74965
"30","2021_Q3",75.10875,"Down",195647000,-146158000,49489000,-20561000,-19037000,-4001000,-15036000,-1524000,28928000,-433000,-445000,12000,28495000,28495000,-6348000,22147000,22147000,-922000,21225000,21225000,23729000,23729000,14361000,14361000,96001000,5908000,5908000,139999000,120888000,409461000,101215000,239606000,50618000,18022000,530349000,670348000,97444000,28655000,3072000,65717000,102283000,96224000,67655000,258581000,360864000,206000,106771000,196029000,301926000,7558000,309484000,670348000,22147000,5123000,2866000,9703000,39839000,-6093000,-156520000,9e+07,-2110000,87890000,-28791000,-28791000,-28709000,34051000,163607000,44009000,0.25295,0.14786,0.10849,0.06858,0.03166,2.07345,1.36874,1.16602,0.24406,1.0245,1.00932,9.44363,14.56363,2.12426,0.03728,0.0773,4.1079,4.83538
