"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","finished_goods","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.5633870967742,"Up",237558000,-154980000,82578000,-48996000,-48996000,33582000,-1937000,-2366000,429000,31645000,-984000,30661000,-8653000,22008000,22008000,-140000,21868000,21868000,95717000,95717000,118795000,118795000,198273000,72005000,19025000,107243000,38309000,25046000,451094000,154703000,332777000,-178074000,359046000,150391000,200560000,8095000,513749000,964843000,128031000,58721000,7129000,62181000,17743000,145774000,150801000,147794000,62708000,45097000,39989000,298595000,444369000,166611000,393765000,-47493000,512883000,7591000,520474000,964843000,22008000,6593000,3519000,13131000,45251000,-7787000,-24510000,-32297000,-3854000,-5339000,-583000,7214000,-7797000,-7659000,5295000,5295000,4172000,9467000,40175000,168544000,54172000,0.34761,0.14136,0.09205,0.04202,0.02266,2.47723,3.09448,0.85378,0.17469,0.46627,0.45653,5.0652,10.93567,1.15505,0.08217,0.03074,0.06474,0.17624,1.81274,2.16863
"12","2013_Q1",29.6561666666667,"Up",205168000,-136695000,68473000,-47369000,-47369000,21104000,-2406000,-2891000,485000,18698000,-258000,18440000,-5111000,13329000,13329000,-184000,13145000,13145000,103338000,103338000,102918000,102918000,191848000,72536000,18295000,101017000,30813000,22901000,428917000,171975000,355411000,-183436000,375487000,158117000,208141000,6689000,547462000,976379000,129290000,68660000,215000,60415000,15176000,145639000,150729000,157762000,78967000,40136000,38659000,308491000,454130000,175602000,395950000,-57146000,514406000,7843000,522249000,976379000,13329000,8857000,-528000,22463000,44121000,-18932000,-10285000,-29691000,-3408000,-2657000,-1569000,3636000,-5205000,-6150000,8280000,8280000,-659000.000000002,7621000,29961000,165905000,38603000,0.33374,0.10286,0.06407,0.02517,0.01346,2.93671,2.94507,0.86957,0.16992,0.27909,0.27791,4.35601,10.92157,0.8196,0.07236,0.01957,0.04563,0.25926,2.08828,2.9647
"13","2013_Q2",29.683125,"Up",222524000,-148583000,73941000,-50065000,-50065000,23876000,-2143000,-2590000,447000,21733000,-881000,20852000,-5237000,15615000,15615000,-159000,15456000,15456000,74666000,74666000,130884000,130884000,205358000,77695000,18223000,109440000,33272000,21886000,444180000,180993000,366891000,-185898000,371284000,155393000,206861000,6372000,552277000,996457000,112678000,63978000,713000,47987000,15945000,129796000,174854000,156804000,76144000,41329000,39331000,331658000,461454000,183865000,405481000,-61907000,527439000,7564000,535003000,996457000,15615000,7367000,-2358000,-51403000,-30779000,-16412000,1.86264514923096e-09,-16412000,-3417000,25016000,1624000,4128000,-2504000,19731000,-27460000,-27460000,-1212000,-28672000,31243000,190799000,-31335000,0.33228,0.1073,0.06946,0.02889,0.01551,-2.02737,3.42214,0.86253,0.19148,0.32677,0.322,4.70452,11.15093,-0.66247,0.07224,0.02138,-0.0355,0.22108,3.71709,4.86401
"14","2013_Q3",34.083125,"Up",263443000,-168852000,94591000,-53188000,-53188000,41403000,-2192000,-2556000,364000,39211000,-1238000,37973000,-9534000,28439000,28439000,-304000,28135000,28135000,77088000,77088000,147945000,147945000,204307000,78831000,18639000,106837000,27947000,19109000,457287000,193278000,383711000,-190433000,365569000,151756000,205845000,5711000,558847000,1016134000,118531000,60322000,1816000,56393000,17517000,137221000,174772000,151972000,73657000,41013000,37302000,326744000,463965000,192275000,423071000,-71522000,543824000,8345000,552169000,1016134000,28439000,7510000,2766000,-13542000,25173000,-20541000,0,-20215000,-3696000,2215000,-1218000,5654000,-6872000,-1087000,3871000,3871000,-1449000,2422000.00000001,48913000,192289000,24364000,0.35906,0.15716,0.1068,0.05095,0.02769,0.86597,3.33249,0.84026,0.18924,0.59232,0.58493,5.54617,11.44893,0.51293,0.07781,0.03551,0.02718,0.13137,2.35522,2.78243
"15","2013_Q4",37.02984375,"Up",249844000,-162873000,86971000,-48415000,-48415000,38556000,-2369000,-2665000,296000,36187000,-1294000,34893000,-9596000,25297000,25297000,-236000,25061000,25061000,118065000,118065000,130813000,130813000,199873000,74119000,17106000,108648000,28347000,19671000,477098000,203004000,400098000,-197094000,364700000,150684000,206987000,4976000,567704000,1044802000,121034000,60106000,2305000,58623000,16440000,138647000,174241000,152578000,71470000,43006000,38102000,326819000,465466000,197267000,441602000,-67218000,571651000,7685000,579336000,1044802000,25297000,7929000,2863000,24528000,60617000,-13766000,-2236000,-16021000,-4477000,-1220000,374000,3173000,-2799000,-4532000,40064000,40064000,913000,40977000,46485000,190681000,66843000,0.3481,0.15432,0.10031,0.04326,0.02399,2.66721,3.4411,0.80345,0.1825,0.52871,0.51994,5.27097,12.06015,1.41019,0.09445,0.03202,0.07245,0.17864,1.56214,1.88339
"16","2014_Q1",38.2819672131148,"Up",229651000,-153640000,76011000,-52346000,-52346000,23665000,-2197000,-2786000,589000,21468000,-3637000,17831000,-4484000,13347000,13347000,-41000,13306000,13306000,134553000,134553000,115127000,115127000,191561000,71909000,17978000,101674000,31113000,21041000,472354000,208596000,407623000,-199027000,370923000,148663000,207220000,12071000,579519000,1051873000,121884000,57755000,2048000,62081000,15363000,138474000,174166000,135846000,41685000,54618000,39543000,310012000,448486000,199581000,450855000,-54729000,595707000,7680000,603387000,1051873000,13347000,8550000,3028000,18338000,43263000,-16700000,-6977000,-23804000,-3704000,-966000,924000,1113000,-189000,-3059000,16400000,16400000,88000,16488000,32215000,189529000,38337000,0.33098,0.10305,0.05794,0.02205,0.01265,2.88118,3.41114,0.74328,0.18018,0.27837,0.27663,4.80441,12.46249,0.80203,0.07749,0.01831,0.04128,0.27837,1.70653,2.32309
"17","2014_Q2",36.0912698412698,"Down",231421000,-153310000,78111000,-52015000,-52015000,26096000,-2459000,-2784000,325000,23637000,-556000,23081000,-5660000,17421000,17421000,-464000,16957000,16957000,102137000,102137000,147101000,147101000,223133000,86501000,19552000,117080000,36933000,27172000,509304000,210330000,414618000,-204288000,370106000,146973000,207730000,12708000,580436000,1089740000,130448000,81133000,1939000,47376000,30607000,162282000,173654000,132339000,38457000,54347000,39535000,305993000,468275000,202858000,462526000,-51925000,613459000,8006000,621465000,1089740000,17421000,8847000,155000,-61803000,-35380000,-6580000,-2449000,-9029000,-3709000,14641000,-946000,635000,-1581000,11434000,-32975000,-32975000,559000,-32416000,34943000,204261000,-27780000,0.33753,0.11276,0.07327,0.02729,0.01556,-1.63826,3.13839,0.7535,0.18744,0.35549,0.35108,4.85159,12.86078,-0.58239,0.07776,0.02157,-0.029,0.21873,2.92259,3.9134
"18","2014_Q3",34.39109375,"Down",284466000,-185072000,99394000,-59971000,-59971000,39423000,-1639000,-2510000,871000,37784000,33000,37817000,-10359000,27458000,27458000,-384000,27074000,27074000,87680000,87680000,176110000,176110000,239534000,91269000,22584000,125681000,35254000,27060000,538578000,215752000,426464000,-210712000,412047000,172257000,213349000,22145000,627799000,1166377000,136170000,75778000,2001000,58391000,69766000,207163000,175405000,140326000,36825000,54674000,48827000,315731000,522894000,207294000,480175000,-49072000,638397000,5086000,643483000,1166377000,27458000,9326000,2585000,-30232000,9137000.00000001,-9744000,-34080000,-46099000,-5108000,35301000,-4345000,549000,-4894000,23203000,-13759000,-13759000,-698000,-14457000,48749000,245171000,19132000,0.34941,0.13859,0.09517,0.04207,0.02321,0.70666,2.59978,0.8126,0.2102,0.56878,0.5617,5.97618,13.4117,0.40193,0.10731,0.03128,0.01859,0.18867,3.23065,3.9949
"19","2014_Q4",33.76671875,"Down",278053000,-188902000,89151000,-55635000,-55635000,33516000,-2389000,-2744000,355000,31127000,-1596000,29531000,-6726000,22805000,22805000,-132000,22673000,22673000,77420000,77420000,167849000,167849000,243225000,89455000,21105000,132665000,38216000,30155000,526710000,212131000,423108000,-210977000,406557000,166561000,211228000,24288000,618688000,1145398000,160488000,75921000,2496000,82071000,82656000,244404000,144666000,114212000,34164000,57253000,22795000,258878000,503282000,208813000,4.96e+08,-71048000,633765000,8351000,642116000,1145398000,22805000,9618000,4500000,-7199000,29724000,-7178000,-6090000.00000001,-13237000,-4302000,-17017000,-2e+06,167000,-2167000,-23197000,-6710000,-6710000,-3550000,-10260000,43134000,227322000,35483000,0.32063,0.12054,0.08154,0.03531,0.01979,1.56499,2.15508,0.78379,0.19847,0.47632,0.47137,5.84145,13.31439,0.74544,0.09038,0.02742,0.03607,0.18974,3.47526,4.47255
"20","2015_Q1",32.8819672131148,"Down",253837000,-176083000,77754000,-60090000,-60090000,17664000,-2899000,-2697000,-202000,14765000,-15491000,-725999.999999996,3894000,3168000,3168000,-66000,3102000,3102000,59141000,59141000,143787000,143787000,220528000,88961000,19148000,112419000,46083000,37719000,469539000,209786000,421939000,-212153000,396562000,160314000,208828000,23521000,606348000,1075887000,166376000,70806000,788000,94782000,34092000,201105000,143695000,125684000,58709000,45568000,21407000,269379000,470484000,212205000,492548000,-107913000,596840000,8563000,605403000,1075887000,3168000,9419000,-2297000,33578000,43868000,-10415000,304000,-9357000,-4302000,-51748000,-390000,1578000,-1968000,-55777000,-21266000,-21266000,2987000,-18279000,27083000,177787000,46352000,0.30631,0.06959,0.01222,0.00512,0.00288,14.94262,2.3348,0.77714,0.16525,0.06476,0.06436,5.29931,12.46013,0.96768,0.08981,0.00815,0.051,1.38685,4.38083,6.71683
"21","2015_Q2",33.0104761904762,"Up",225728000,-154238000,71490000,-55160000,-55160000,16330000,311000,-2708000,3019000,16641000,-47000,16594000,3382000,19976000,19976000,-181000,19795000,19795000,69593000,69593000,155087000,155087000,221496000,94767000,19319000,107410000,53442000,38387000,499618000,198179000,409451000,-211272000,382960000,153533000,204108000,22006000,581139000,1080757000,117675000,59143000,1096000,57436000,103237000,221549000,143189000,120688000,55989000,43915000,20784000,263877000,485426000,215950000,505697000,-134790000,586857000,8474000,595331000,1080757000,19976000,8840000,-7794000,-42838000,-21816000,-4197000,-3616000,-7813000,-4283000,68813000,-1405000,883000,-2288000,43440000,13811000,13811000,-3359000,10452000,25170000,246426000,-25247000,0.31671,0.07234,0.08769,0.03325,0.01832,-1.27542,2.25511,0.81539,0.22801,0.41586,0.41154,4.74218,12.32893,-0.5304,0.08998,0.02502,-0.02623,0.21637,7.02555,10.82872
"22","2015_Q3",26.4521875,"Down",247427000,-167219000,80208000,-56278000,-56278000,23930000,-1015000,-2405000,1390000,22915000,-1117000,21798000,-5360000,16438000,16438000,-274000,16164000,16164000,63034000,63034000,154133000,154133000,219928000,94942000,18505000,106481000,52364000,37068000,489459000,197173000,414989000,-217816000,383233000,151986000,204781000,24131000,580406000,1069865000,122481000,58629000,1376000,62476000,37509000,160627000,187841000,117085000,52088000,44146000,20851000,304926000,465553000,217570000,513190000,-134399000,596361000,7951000,604312000,1069865000,16438000,9204000,1751000,1454999.99999999,28848000,-5159000,-145000,-5397000,-5500000,-21036000,-3573000,357000,-3930000,-29813000,-6362000.00000001,-6362000.00000001,-197000,-6559000,33134000,225350000,34790000,0.32417,0.09672,0.06533,0.02675,0.01511,2.15231,3.04718,0.77039,0.21063,0.33958,0.33605,5.19805,12.52859,0.73088,0.11555,0.02288,0.03675,0.34026,4.89877,6.78295
"23","2015_Q4",27.9278125,"Up",232485000,-155693000,76792000,-47722000,-47722000,29070000,-988000,-2604000,1616000,28082000,-1400000,26682000,-5656000,21026000,21026000,-201000,20825000,20825000,84898000,84898000,131767000,131767000,209191000,87893000,18481000,102817000,50373000,35179000,476229000,188034000,409505000,-221471000,371926000,143920000,201943000,23500000,559960000,1036189000,121574000,59865000,2278000,59431000,55088000,177298000,188150000,110797000,50363000,43719000,16715000,298947000,476245000,219421000,492208000,-159801000,551828000,8116000,559944000,1036189000,21026000,8760000,1752000,21771000,53309000,-5213000,4.65661287307739e-10,-5148000,-4610000,18010000,-37112000,0,-37112000,-23704000,24457000,24457000,-2593000,21864000,37830000,243238000,60044000,0.33031,0.12504,0.08958,0.03719,0.0201,2.88327,2.68604,0.85052,0.23474,0.44403,0.44027,4.95704,11.76606,1.28026,0.09829,0.02783,0.0657,0.22137,4.18557,5.44685
"24","2016_Q1",26.3693442622951,"Down",219283000,-150165000,69118000,-45090000,-45090000,24028000,-1484000,-2322000,838000,22544000,-1302000,21242000,-4991000,16251000,16251000,-90000,16161000,16161000,81561000,81561000,127251000,127251000,194594000,82223000,18384000,93987000,34715000,34715000,438121000,190039000,411071000,-221032000,367951000,141357000,199847000,23286000,557990000,996111000,111725000,57822000,1794000,52109000,32946000,144671000,187806000,97313000,47398000,33404000,16511000,285119000,429790000,221094000,498214000,-161608000,557700000,8621000,566321000,996111000,16251000,8672000,1871000,12468000,39262000,-11400000,0,-11225000,-4533000,-22211000,-4439000,810000,-5249000,-31070000,-3033000,-3033000,-304000,-3337000,32700000,220752000,38759000,0.3152,0.10958,0.0737,0.02854,0.01622,2.3983,3.0284,0.75892,0.22161,0.34905,0.34458,4.73613,12.04536,0.83713,0.0979,0.0234,0.04383,0.28049,4.25661,5.79287
"25","2016_Q2",30.4196875,"Up",218430000,-144194000,74236000,-52345000,-52345000,21891000,-2459000,-2427000,-32000,19432000,-897000,18535000,-4955000,13580000,13580000,-123000,13457000,13457000,74642000,74642000,151173000,151173000,207741000,87817000,18145000,101779000,30617000,30617000,464173000,194756000,422702000,-227946000,373594000,141490000,201580000,25440000,568350000,1032523000,111790000,62568000,2628000,46594000,45337000,157127000,187257000,100480000,46799000,36025000,17656000,287737000,444864000,224017000,502512000,-148192000,578337000,9322000,587659000,1032523000,13580000,8752000,4248000,-27017000,-437000,-10968000,938532.614263015,-10968000,-4506000,11789000,-3764000,411000,-4175000,3572000,-7833000,-7833000,914000,-6919000,30643000,232594000,-2387000,0.33986,0.10022,0.06161,0.0229,0.01303,-0.17738,2.95413,0.75701,0.22527,0.29191,0.29002,4.73818,12.54527,-0.05178,0.09774,0.01951,-0.00259000000000001,0.33484,5.15459,7.21539
"26","2016_Q3",35.41046875,"Up",252081000,-161403000,90678000,-57954000,-57954000,32724000,-848000,-2221000,1373000,31876000,270000,32146000,-7959000,24187000,24187000,-205000,23982000,23982000,71582000,71582000,161972000,161972000,210642000,85986000,17682000,106974000,29531000,29531000,473727000,195916000,426358000,-230442000,371320000,140850000,201365000,24266000,567236000,1040963000,118619000,56983000,2950000,58686000,55673000,174292000,157203000,100286000,42337000,39289000,18660000,257489000,431781000,225842000,521008000,-146756000,600094000,9088000,609182000,1040963000,24187000,8881000,4311000,-7631000,29748000,-6356000,0,-6178000,-5315000,-19640000,-362000,199000,-561000,-25370000,-1800000,-1800000,-1260000,-3060000,41605000,212876000,35577000,0.35972,0.12982,0.09514,0.03937,0.02304,1.48349,2.71801,0.70879,0.2045,0.51909,0.51353,5.4563,12.98905,0.77006,0.11504,0.03176,0.03857,0.22162,3.39608,4.31775
