"","YQ","p","d","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2019_Q4",37.8040625,"Down",-19484609,-19010939,-473670,-7470083,-2031698,-2031698,-9501781,-8871781,-8871781,-8871781,-8871781,-8871781,6723038,6723038,77461447,30988990,37462467,114923914,11841485,66642819,2165202,1655202,21885315,88528134,90750219,26395780,26395780,114923914,74521447,-0.33611,-0.0772,1.16234,3.35387,0.64844,-7.64868,-7.64868,22.75673,-0.08606,-9.07599
"12","2020_Q1",9.34548387096774,"Down",-22668822,-22165729,-503093,-13673953,-1835915,-1835915,-15509868,-15027368,-15027368,-15027368,-15027368,-15027368,49659.9999999991,49659.9999999991,73800744,33164673,39592347,113393091,13170399,73694959,4749601,4722101,26810563,100505522,92269375,12887569,12887569,113393091,82585522,-1.16604,-0.13252,1.00144,7.79864,0.72831,-12.92753,-12.92753,11.08673,-0.14994,-6.03599
"13","2020_Q2",7.96412698412698,"Down",-18579421,-18056426,-522995,-8154521,-2216757,-2216757,-10371278,-22038342,-22038342,-22038342,-22038342,-22038342,2484169,2484169,73006695,32784539,38957425,111964120,11419095,75375563,5106419,4968931,31189125,106564688,106819580,5399432,5399432,111964120,90039174,-4.0816,-0.19683,0.96857,19.73628,0.80418,-10.7692,-10.7692,2.63847,-0.21919,-10.73699
"14","2020_Q3",24.76296875,"Up",-23421023,-11174288,-508322,-14964288,-1482409,-1482409,-16446697,1044472,1044472,1044472,1044472,1044472,3061091,3061091,56010482,30517245,36490905,92501387,10874231,52689229,3470617,3470617,32651863,85341092,107535971,7160295,7160295,92501387,70996244,0.14587,0.01129,1.06303,11.91866,0.76752,0.47171,0.47171,3.23375,0.0128,-4.53982
"15","2020_Q4",34.65203125,"Up",-8199556,-13279286,-535683,8603809,-1487834,-1487834,7115975,1486870,1486870,1486870,1486870,1486870,3412772,3412772,34232268,32987413,39482353,73714621,11527987,30128751,5420061,5399716,34076105,64204856,108398526,9509765,9509765,73714621,47256808,0.15635,0.02017,1.1362,6.75147,0.64108,0.66531,0.66531,4.25524,0.02391,5.09589
"16","2021_Q1",40.0375409836066,"Up",13000,-11149000,-576000,7693000,-1263000,-1263000,6430000,-5492000,-5492000,-5492000,-5492000,-5492000,1467000,1467000,37730000,32728000,39249000,76979000,30375000,35445000,5107000,5090000,36964000,72409000,108951000,4570000,4570000,76979000,36927000,-1.20175,-0.07134,1.06447,15.84442,0.4797,-2.44931,-2.44931,2.03812,-0.11784,4.60939
"17","2021_Q2",38.5504761904762,"Down",-1.4e+07,-13401000,-599000,-2822000,-1609000,-1609000,-4431000,-4452000,-4452000,-4452000,-4452000,-4452000,80049,80049,51557531,43414192,49731359,101288890,18351802,51700369,15471275,15433929,47735426,99435795,110685462,1853095,1853095,101288890,65612718,-2.40247,-0.04395,0.99724,53.65931,0.64778,-2.03805,-2.05619,0.84832,-0.05368,-23.22207
"18","2021_Q3",36.43921875,"Down",-18746000,-18114000,-632000,764999.999999998,-1920000,-1920000,-1155000,-3390000,-3390000,-3390000,-3390000,-3390000,24972223,24972223,78711225,43065880,49361563,128072788,14428704,42094968,17245308,17196508,50015973,92110941,148184143,35961847,35961847,128072788,60436929,-0.0942700000000003,-0.02647,1.86985,2.56135,0.4719,-0.81121,-0.81121,8.60551,-0.02983,46.35909
"19","2021_Q4",39.86171875,"Up",-60089000,-61507000,-1717000,-22702000,-4577000,-4577000,-27279000,-33225000,-22544000,-22544000,-22544000,-22544000,68268000,68268000,289634000,663289000,722218000,1011852000,160559000,166989000,153941000,134362000,435933000,602922000,548015000,408930000,408930000,1011852000,288422000,-0.05513,-0.02228,1.73445,1.47439,0.28504,-5.39468,-5.39468,97.85515,-0.02648,-9.69756
"20","2022_Q1",33.681935483871,"Down",-74210000,-71055000,-3155000,15891000,-8299000,-8299000,7592000.00000001,9677000,20661000,20661000,20661000,20661000,48974000,48974000,300141000,706191000,727608000,1027749000,154346000,179071000,134203000,126617000,417033000,596104000,550070000,431645000,431645000,1027749000,287306000,0.04787,0.0201,1.6761,1.38101,0.27955,9.45825,9.45825,197.59975,0.02422,14.99792
"21","2022_Q2",19.5503225806452,"Down",-82550000,-78076000,-4474000,22663000,-11181000,-11181000,11482000,11521000,9141000,9141000,9141000,9141000,59362000,59362000,356775000,804189000,864032000,1220807000,204887000,230706000,145189000,139569000,520925000,751631000,578444000,469176000,469176000,1220807000,401555000,0.01948,0.00749,1.54645,1.60202,0.32893,0.60717,0.59887,31.16289,0.009,15.09919
"22","2022_Q3",20.17375,"Up",-106034000,-100155000,-5879000,31929000,-13026000,-13275000,18903000,18903000,14033000,14033000,14033000,14033000,68182000,68182000,384075000,809792000,887482000,1271557000,83310000,563581000,177854000,166246000,222013000,785594000,581198000,485963000,485963000,1271557000,524430000,0.02888,0.01104,0.68149,1.61657,0.41243,0.873819999999998,0.871840000000001,30.25956,0.01181,14.28945
