"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2013_Q3",15.35703125,"Up",29090000,-21938000,-2756000,-921000,-18261000,-282000,84000,-9000,-198000,-198000,58000,-140000,-140000,-125000,-265000,-265000,2180000,1223000,10670000,17681000,1017000,4813000,5985000,5866000,42742000,53412000,11772000,615000,7095000,7710000,21950000,20493000,42443000,3259000,45702000,53412000,-140000,921000,-21000,1456000,2216000,-716000,-4138000,-4779000,2651000,-404000,1436000,-1127000,-1127000,-1127000,639000,4688000,1321000,-0.00969,-0.00911,-0.0058,-0.00496,-4.98491,17.34959,0.1687,0.08777,-0.08166,-0.08365,8.96456,13.07951,0.40709,0.00995,0.02408
"12","2013_Q4",15.75296875,"Up",36473000,-23127000,-2398000,-1082000,-19647000,4387000,14000,-24000,4401000,4401000,-1112000,3289000,3289000,-660000,2629000,2629000,1330000,473000,10627000,17410000,1133629.66135509,4813000,5615000,6982000,43246000,53873000,10830000,-415999.999999999,6498000,6082000,22720000,22310000,45030000,2761000,47791000,53873000,3289000,1082000,368000,-670000,4069000,-1855000,32000,-1823000,-605000,-467000,-1884000,362000,362000,362000,5469000,4083000,4056000,0.12028,0.07208,0.05501,0.0488,1.54279,-25.54567,0.12726,0.07579,0.81017,0.73109,11.23975,13.87673,1.24992,0.06116,0.07209
"13","2014_Q1",16.2413114754098,"Up",33699000,-22831000,-2228000,-1124000,-19479000,2219000,269000,-29000,2488000,2488000,-773000,1715000,1715000,-262000,1453000,1453000,10925000,9320000,15216000,16225000,734000,9911000,4806000,774000,41242000,56458000,12847000,14910000,6200000,21110000,23024000,22950000,32754000,2594000,35348000,56458000,1715000,1124000,1165000,1142000,5146000,-303000,23000,-280000,-426000,-385000,-689000,4177000,4177000,4177000,3343000,3657000,4955000,0.06585,0.04312,0.04111,0.02574,3.41019,1.02052,0.5972,0.06477,0.44721,0.4276,10.37211,10.08126,1.52508,0.03329,0.11362
"14","2014_Q2",16.3879365079365,"Up",32138000,-23083000,-2850000,-1147000,-19086000,1201000,54000,-12000,1255000,1255000,-399000,856000,856000,-293000,563000,563000,2943000,2735000,12014000,42889000,732000,4813000,4808000,32536000,42889000,54903000,10114000,13957000,5676000,19633000,23150000,22699000,32629000,2641000,35270000,54903000,856000,1147000,-19000.0000000002,-76000.0000000002,1908000,-782000,79999.9999999999,-1666000,-516000,-238000,-1530000,-1288000,-1288000,-1288000,2348000,3141000,1889000,0.03737,0.01752,0.01596,0.01025,3.35524,0.860790000000004,0.55665,0.05721,0.17291,0.16559,9.87039,10.02119,0.58016,0.03208,0.04401
"15","2014_Q3",16.8528125,"Up",31037000,-22515000,-2374000,-1106000,-19035000,149000,82000,-33000,231000,231000,-81000,150000,150000,-324000,-174000,-174000,3843000,3843000,9410000,51742000,3918000,36057000,5473000,6294000,51742000,61152000,13735000,16060000,10747000,26807000,23361000,21707000,31894000,2451000,34345000,61152000,150000,1106000,-18000,131000,1369000,-694000,276000,-1628000,-484000,-488000,-1634000,-1893000,-1893000,-1893000,1255000,8657000,773000,0.0048,-0.00561,-0.00507,-0.00285,-4.44253,0.58593,0.78052,0.14157,-0.05334,-0.05103,9.51471,9.77744,0.23697,0.01354,0.0163
"16","2014_Q4",16.7003125,"Down",39109.9999999925,-24998,-2567,-1130,-21301,3374.00000000023,26,-95,3399.99999999977,3400.00000000023,-702,2698.00000000023,2698.00000000023,-459,2238.99999999977,2238.99999999977,2415000,2415000,4397000,50006000,1230000,6813000.00000001,4957000,37006000,58445000,62842000,10758000,15586000,10111000,25697000,24759000,23117000,34656000,2489000,37145000,62842000,-1002297,-2249616,36804.9999999999,-54088,-3269196,1473290,-356990,3288126,998195,724864,3160060,3178990,3178990,3178990,-2246242,7852000,-826338,0.08627,0.05725,6.00000000000236e-05,4.00000000000036e-05,-369.06565,0.28211,0.6918,0.12495,0.000679999999999958,0.00065000000000006,0.0118799999999979,10.52734,-0.25101,-0.0329600000000001,-0.0167599999999999
"17","2015_Q1",18.84,"Up",76142890,-49015002,-5175433,-2364870,-41474699,6274626,195974,-110905,6470600,6470600,-1294298,5176302,5176302,-652541,4523761,4523761,1516000,25000,15425000,20691000,1316000,6813000,5214000,7348000,49938000,65363000,14934000,16728000,9743000,26471000,25214000,24554000,36548000,2344000,38892000,65363000,6181297,4615616,-656805,1496088,11636196,-3709290,-544010,-6425126,-2337195,-1298864,-5295060,-83990,-83990,-83990,10890242,7318000,9971338,0.08241,0.05941,0.11632,0.06921,2.20421,0.92211,0.68063,0.11196,1.34077,1.29956,22.56754,10.83225,2.95535,0.15472,0.19773
"18","2015_Q2",19.5188888888889,"Up",33359000,-23393000,-3e+06,-1105000,-19288000,1219000,2.91038304567337e-11,-57000,1219000,1219000,-342000,877000,877000,-155000,721999.999999999,721999.999999999,3897000,3897000,14067000,20781000,1297000,14164000,5214000,106000,49456000,63523000,4547000,15484000,9234000,24718000,25370000,24431000,36581000,2224000,38805000,63523000,877000.000000001,1105000,-8000,-266000,1708000,-742000,172000,-570000.000000002,-447000,-267000,-1515000,-377000,-377000,-377000,2324000,16057000,1658000,0.03654,0.02164,0.0186099999999989,0.0113699999999999,2.29640000000002,0.90849,0.63698,0.25277,0.21374,0.20741,9.87537,10.82919,0.490819999999999,0.0265500000000001,0.0281099999999999
"19","2015_Q3",19.48765625,"Down",31548000,-23011000,-2431000,-1098000,-19482000,-634000,19000,-45000,-615000,-615000,173000,-442000,-442000,-141000,-583000,-583000,39339000,33136000,41086000,20799000,1329000,6813000,5217000,7440000,20799000,61885000,11458000,15487000,8723000,24210000,25694000,23002000,35476000,2199000,37675000,61885000,-441000,1098000,2000,-966000,-307000,-619000,173000,-446000,-539000,-120000,-1329000,-2082000,-2082000,-2082000,464000,8744000,-1294000,-0.0201,-0.01848,-0.01547,-0.00942,2.21955,2.65293,0.6426,0.14129,-0.17238,-0.16662,9.32821,10.48965,-0.38261,0.0052,-0.02566
"20","2015_Q4",18.48046875,"Down",40375000,-25101000,-2769000,-1104000,-21228000,4701000,-27000,-69000,4674000,4674000,-1051000,3623000,3623000,-382000,3241000,3241000,4053.00000000745,2271,15330,20536.0000000037,1324,6813,4771,7627.99999999814,48861,64191,11390.9999999963,13007.9999999981,8212,21220.0000000037,25976.9999999963,25392,40775.0000000075,2196,42971,64191,3623000,1105000,444000,-40000.0000000001,5132000,-1261000,-68000,-1440000,-404000,-345000,-2309000,1383000,1383000,1383000,5806000,5928,5556000,0.11643,0.08027,75.42296,50.48994,1.71429,1.17851,0.49382,0.09235,0.95212,0.92074,11.86105,0.0119799999999994,1.6322,93.54167,105.22727
"21","2016_Q1",17.1686885245902,"Down",40581000,-25982000,-2685000,-1108000,-22189000,3655000,55000,-20000,3710000,3710000,-1376000,2334000,2334000,-324000,2010000,2010000,485000,485000,43610000,21001000,1720000,6813000,4453000,8015000,22957000,66567000,12809000,17633000,7703000,25336000,25730000,26548000,39058000,2173000,41231000,66567000,2333000,1107000,-335000,1663000,4768000,-982000,-110000,-1203000,-404000,-328000,-1416000,2149000,2149000,2149000,4762000,5524000,6819000,0.09007,0.04953,0.04875,0.0302,3.39254,2.4732,0.61449,0.08298,0.58979,0.56844,11.90757,11.46068,2.00088,0.05664,0.13489
"22","2016_Q2",16.76125,"Down",36991000,-36358000,-3328000,-1138000,-31892000,633000,-18000,-79000,615000,615000,-139000,476000,476000,-155000,321000,321000,506000,506000.000000001,12492000,22450000,840000,7875000,4448000,9287000,55748000,68240000,14170000,16741000,10938000,27679000,25835000,26014000,38629000,1932000,40561000,68240000,476000,1138000,16000.0000000001,-2591000,-961000.000000001,-204000,-21000,-942000,-571000,-527000,-1952000,-3855000,-3855000,-3855000,1771000,9831000,-884999.999999999,0.01711,0.00868,0.00790999999999713,0.00470000000000614,-2.75701,0.74619,0.6824,0.14407,0.0939099999999999,0.09127,10.82241,11.30164,-0.258919999999999,0.0217499999999815,-0.0163699999999935
"23","2016_Q3",19.0396875,"Up",34272000,-25704000,-2712000,-1136000,-21856000,-623000,62000,-98000,-561000,-561000,103000,-458000,-458000,-188000,-646000,-646000,3106000,478000,14191000,52752000,2186000,38060000,4451000,8055000,52752000,66943000,14894000,17465000,6617000,24082000,16349000,24514000,40863000,1998000,42861000,66943000,-457000,1137000,64000,1134000,1878000,-346000,143000,-203000,-654000,-122000,-1631000,44000,44000,44000,514000,9188000,1199000,-0.01818,-0.01885,-0.01507,-0.00965,-1.85604,0.81254,0.56186,0.13725,-0.189,-0.19464,10.02692,11.95524,0.35079,0.00402,0.02304
"24","2016_Q4",18.2449206349206,"Down",41233000,-25268000,-2956000,-1109000,-21203000,5309000,113000,-104000,5422000,5422000,-1362000,4060000,4060000,-693000,3367000,3367000,2821000,394452.672192641,17079000,22525000,568000,7894999.99999999,3913000,10149000,52520000,69599000,12045000,14616000,5975000,20591000,19507000,27026000,46533000,2475000,49008000,69599000,4060000,1109000,604000,-563000,5210000,-932000,42000,-890000,-654000,-216000,-1725000,2595000,2595000,2595000,6418000,8546000,6285000,0.12876,0.08166,0.0687000000000003,0.04838,1.86665,1.16851,0.42016,0.12279,0.98508,0.91594,12.06349,13.6141,1.83879,0.0733600000000004,0.1092
"25","2017_Q1",20.8495161290323,"Up",38086000,-15883000,-2712000,-1170000,-12001000,2505000,-393000,45000,2112000,2112000,-7e+05,1412000,1412000,-424000,988000,988000,3115000,631000,12246000,22713000,2137000,7895000,3416000,9265000,56009000,68255000,3482000,16654000,8897000,25551000,12976000,27158000,40134000,2570000,42704000,68255000,1411000,1169000,575000,-1867000,1288000,-678000,-134000,-812000,-654000,-329000,-1756000,-1280000,-1280000,-1280000,3674000,7938000,1829000,0.06577,0.02594,0.02314,0.01448,1.85121,0.73532,0.59833,0.1163,0.28906,0.281,11.14277,11.74195,0.53511,0.03399,0.03373
"26","2017_Q2",21.5422222222222,"Up",38420000,-27337000,-3300000,-1483000,-22554000,1333000,-5000,-5000,1328000,2965000,-880000,2085000,2085000,-351000,1734000,1734000,2242000,2358430.04157377,13225000,18353000,2799000,9995000,3032000,2527000,61943000,75168000,13443000,17659000,11071000,28730000,12579000,28036000,44139000,2299000,46438000,75168000,2085000,1483000,-1691000,-53000,1824000,-4759000,25000,-2260000,-663000,-622000,-2141000,-2577000,-2577000,-2577000,2816000,15287000,-1116000,0.0347,0.04513,0.03734,0.02307,-0.643600000000001,0.74891,0.61867,0.20337,0.50657,0.49444,11.22407,12.89483,-0.32603,0.04196,-0.01808
"27","2017_Q3",20.202380952381,"Down",34640000,-25057000,-2444000,-1053000,-21560000,-253000,-161000,-161000,-414000,-414000,127000,-287000,-287000,-106000,-393000,-393000,2884000,2884000,10453000,63719000,3759000,47705000,2990000,9265000,63719000,74172000,14854000,19070000,13585000,32655000,12622000,26787000,39409000,2108000,41517000,74172000,-287000,769000,396000,453000,1331000,-2849000,-166000,-3015000,-1046000,-297000,-2163000,-3847000,-3847000,-3847000,516000,14236000,-2007000,-0.0073,-0.01135,-0.00947,-0.0053,5.10687,0.54814,0.78655,0.19193,-0.11481,-0.10993,10.11978,11.513,-0.58633,0.00781,-0.03383
"28","2017_Q4",21.634126984127,"Up",41350000,-27676000,-2955000,-1006000,-23715000,2447000,-178000,-178000,2269000,2269000,-585000,1684000,1684000,-298000,1386000,1386000,2499000,2499000,8789000,69990000,3749000,53987000,2949000,9305000,69990000,78779000,16092000,20132000,12898000,33030000,16229000,27316000,43545000,2204000,45749000,78779000,1684000,1006000,53000.0000000002,2372000,5115000,-7278000,53000,-7225000,2674000,-202000,1615000,-495000,-495000,-495000,3453000,16938000,-868000,0.05918,0.03352,0.0303,0.01759,-0.626259999999996,0.43657,0.72198,0.21501,0.40455,0.39442,12.06947,12.71016,-0.25336,0.03578,-0.01385
"29","2018_Q1",22.2070491803279,"Up",39467000,-26839000,-2805000,-999000,-23035000,1844000,-239000,-239000,1605000,1605000,-330000,1275000,1275000,37000,1312000,1312000,9814000,7378000,62362000,16299000,3740000,12559000,2807514.98538831,8945872.91043214,17705000,80067000,11033000,19957000,14022000,33979000,16321000,27771000,44092000,1996000,46088000,80067000,1275000,874000,1620000,-1810000,1959000,-2061000,41000,-2020000,1282000,-171000,1147000,1086000,1086000,1086000,2718000,18196000,-823000,0.04672,0.03324,0.02847,0.01639,-0.62729,3.12482,0.73726,0.22726,0.38318,0.37188,11.52658,12.87734,-0.24036,0.02041,-0.0128
"30","2018_Q2",22.37921875,"Up",39340000,-28240000,-3079000,-1303000,-23858000,882000,-219000,-219000,663000,663000,1078000,1741000,1741000,-114000,1627000,1627000,3007000,1207000,5187999.99999999,25962000,3716000,9880000,2694000,9672000,75808000,80996000,5041000,18256000,19541000,37797000,12833000,28539000,41372000,1827000,43199000,80996000,1741000,1303000,-1277000,-602000,1165000,-2541000,25000,-2516000,1949000,-283000,98000,-1253000,-1253000,-1253000,2185000,20151000,-2036000,0.02242,0.04136,0.03766,0.02009,-1.25138000000002,0.28418,0.87495,0.24879,0.47407,0.45844,11.4627,12.05478,-0.59324,0.04996,-0.03042
"31","2018_Q3",20.6963492063492,"Down",35276,-26109,-2525,-1278,-22306,-562,-273,-273,-835,-835,145,-690,-690,53,-637,-637,2687000,982000,5990000,26002000,3703000,9880000,2696000,9723000,75875000,81865000,4557000,12232000,28076000,40308000,12856000,27043000,39899000,1658000,41557000,81865000,-1739949,-1300418,1275646,601955,-1162766,2537334,-24953,2512381,-1945254,282601,-97058,1252557,1252557,1252557,-1300980,25443000,1838164,-0.01593,-0.01806,-2e-05,-1e-05,-2885.65777,0.4897,0.96994,0.31079,-0.00019,-0.00018,0.01027,11.61881,0.53528,-0.02217,0.02378
"32","2018_Q4",20.1790476190476,"Down",44800000,-29140000,-2859000,-1255000,-25026000,3786000,-299000,-299000,3487000,3487000,-562000,2925000,2925000,-268000,2657000,2657000,890000,890000,9553000,25976000,3692000,9880000,2693000,9711000,75613000,85166000,5452000,6703000,31068000,37771000,16808000,28833000,45641000,1754000,47395000,85166000,3975949,3834418,-1347646,1110045,7572766,-4698334,63953,-4634381,3326254,-695601,662058,3600443,3600443,3600443,7620418,21414000,4594129,0.08451,0.05931,0.05606,0.0312,1.72906999999987,1.42518,0.79694,0.25144,0.77193,0.74677,13.01569,13.26002,1.33473,0.0656,0.0576299999999999
"33","2019_Q1",17.7198360655738,"Down",75814724,-54515891,-5273475,-2514722,-46727694,364562,-587727,-587727,-223165,-223165,630855,407690,407690,-36053,371637,371637,1107000,386000,53464000,26261000,3680000,9880000,2988000,9713000,31273000,84737000,11570000,17840000,19860000,37700000,16233000,29364000,45597000,1440000,47037000,84737000,1096000,1237000,-484000,15000,1864000,-361000,85000,-276000,-311000,-403000,-1582000,6000,6000,6000,1601562,21111000,624707,0.00481,0.0049,0.0079,0.00439,1.68096,2.99686,0.8015,0.24914,0.10778,0.10516,21.98803,13.22419,0.18118,0.01819,0.00917
"34","2019_Q2",18.6592063492064,"Up",40548000,-28700000,-3409000,-1206000,-24085000,1372000,-297000,-297000,1075000,8000,-23000,-15000.0000000002,-15000,-47000,-61999.9999999998,-61999.9999999998,7073000,6646000,55086000,25476000,2947000,9880000,2962000,9687000,25476000,80562000,9264000,15005000,19565000,34570000,16168000,28434000,44602000,1390000,45992000,80562000,-15000.0000000005,1206000,927000,-1278000,840000,-553999.999999999,-65000,-619000,-311000,-97000,-2050000,-1829000,-1829000,-1829000,2578000,20808000,769000,0.03384,-0.00153,-0.0013500000000002,-0.000770000000000498,-12.4032300000001,3.67118,0.75165,0.25829,-0.0178499999999999,-0.0178500000000001,11.67185,12.8388,0.22136,0.0250599999999999,0.0115100000000011
"35","2019_Q3",18.99015625,"Up",35311000,-25403000,-2193000,-1187000,-22023000,117000,-331000,-331000,-214000,-253000,-423000,-676000,-676000,7000,-669000,-669000,44459,44459,51083,25667,2936,9880,2898,9953,28682,79765,11983228.233737,11083,24403,35486,16084,26895,42979,1300,44279,79765,-676000,1187000,-26000,677000,1162000,-915000,22000,-893000,340000,-83000,-613000,-344000,-344000,-344000,1304000,25646,1489000,0.00331,-0.01895,-15.10874,-8.38714,-2.22571,4.60913,0.80142,0.32152,-0.19246,-0.19246,10.15852,0.01236,0.42837,2.87451,21.29424
"36","2019_Q4",19.78765625,"Up",44807000,-28362000,-3238000,-1174000,-23950000,4731000,-354000,-354000,4377000,4377000,-283000,4094000,4094000,-132000,3962000,3962000,448000,448000,52045000,32196000,4034000,15570000,2866000,9726000,37772000,89817000,11724000,17823000,24451000,42274000,16240000,29982000,46222000,1321000,47543000,89817000,4094000,1175000,4000,-523000,4750000,-1019000,-19000,-1063000,-962000,-162000,-950000,2737000,2737000,2737000,5906000,27152000,4647000,0.10559,0.08842,0.0833399999999997,0.0441099999999999,1.17289,2.9201,0.88917,0.3023,1.13818,1.08757,12.87188,13.27837,1.33496,0.0530400000000002,0.0622100000000003
"37","2020_Q1",18.7595161290323,"Down",41688000,44843000,-3171000,-1666000,49680000,989000,-394000,-394000,595000,-2262000,1320000,-942000,-942000,387000,-555000,-555000,1275000,254000,11088000,33162000,4023000,15570000,4106000,9463000,83564000,94652000,4709000,18082000,10077000,28159000,37098000,28552000,65650000,843000,66493000,94652000,-942000,1665000,1488000,1652000,3863000,-931000,310000,-621000,-675000,-91000,-1641000,1601000,1601000,1601000,2654000,13373000,2055000,0.02372,-0.01331,-0.00835,-0.00586,-3.7027,0.61321,0.42349,0.14129,-0.15925,-0.15718,11.96212,18.83788,0.58967,0.00356,0.02285
"38","2020_Q2",11.5044444444444,"Down",43514000,-24699000,-3054000,-1195000,-20450000,2436000,-446000,-446000,1990000,1990000,-319000,1671000,1671000,-158000,1513000,1513000,960000,254000,14258000,86951000,291000,15570000,3981000,67109000,132892000,147150000,15425000,24344000,79363000,103707000,13324000,29190000,42514000,929000,43443000,147150000,1671000,1195000,36000,-450000,2452000,-777000,-19000,-796000,-675000,-72000,-1622000,34000,34000,34000,3631000,32040000,2723000,0.05598,0.03477,0.03483,0.0102799999999998,1.79974,0.58569,2.3872,0.21774,0.43241,0.42728,12.43612,12.15033,0.77822,0.01813,0.0206699999999999
