"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"12","2013_Q3",16.159375,"Up",69938000,-55310000,14628000,-12212000,-9298000,-2914000,2416000,-460000,-56000,-404000,1956000,-269000.000000001,1687000,-581000,1106000,1106000,1106000,1106000,90111000,90111000,45434000,45434000,70636000,27926000,27926000,234107000,149241000,12525000,122301000,25965000,96336000,284067000,518174000,23953000,15299000,8654000,56957000,56957000,80910000,247165000,96407000,150758000,247165000,328075000,135483000,137162000,-82546000,190099000,190099000,518174000,11879000,-2174000,-2168000,-2168000,-59000,-2233000,-1793000,7853000,7853000,93000,7946000,0,0.20916,0.03454,0.01581,0.00582,0.00213,2.89342,1.72581,-3.30872245021211e-24,0.1068,0.10627,6.75338,18.35641,0.00679,-37.2976
"13","2013_Q4",15.91234375,"Down",64433000,-48177000,16256000,-11819000,-8979000,-2840000,4437000,-565000,-33000,-532000,3872000,15890000,19762000,-7057000,12705000,12705000,12705000,12705000,92275000,92275000,43171000,43171000,73029000,26735000,26735000,235210000,151731000,12170000,126576000,18508000,108068000,290477000,525687000,26809000,17381000,9428000,55035000,55035000,81844000,237839000,93029000,144810000,237839000,319683000,135775000,148002000,-77773000,206004000,206004000,525687000,6986000,-3534000,-3534000,-3534000,-50000,-3578000,-1866000,1542000,1542000,622000,2164000,0,0.25229,0.06886,0.19718,0.06167,0.02417,2.87388,1.55183,0,1.226,1.22093,6.2176,19.8788,0.03283,-20.79671
"14","2014_Q1",16.5060655737705,"Up",77055000,-58765000,18290000,-14164000,-11547000,-2617000,4126000,-118000,-26000,-91999.9999999999,4008000,-7653000,-3645000,2145000,-1500000,-1500000,-1500000,-1500000,97910000,97910000,50279000,50279000,64129000,34468000,34468000,246786000,151288000,5010000,99589000,6832000,92757000,255887000,502673000,24643000,15768000,8875000,62031000,62031000,86674000,181004000,49146000,131858000,181004000,267678000,136225000,144635000,-45865000,234995000,234995000,502673000,8817000,-1541000,-1541000,-1541000,-7000,-1536000,-1715000,5566000,5566000,69000.0000000001,5635000,1.4210854715202e-14,0.23736,0.05355,-0.01947,-0.00637999999999998,-0.00298,2.84729,1.13908,-5.29395592033938e-23,-0.14469,-0.14404,7.43272,22.6676,0.000880000000000006,-23.73
"15","2014_Q2",18.7026984126984,"Up",62913000,-50063000,12850000,-12064000,-9006000,-3058000,786000,118000,-10000,128000,904000,-450000,454000,-376000,78000,78000,78000,78000,92594000,92594000,47262000,47262000,69175000,31900000,31900000,240931000,151251000,4676000,98541000,6404000,92137000,254468000,495399000,26969000,19069000,7900000,57951000,57951000,84920000,175754000,49580000,126174000,175754000,260674000,136526000,142844000,-44645000,234725000,234725000,495399000,-707000,-2840000,-2840000,-2840000,-27000,-2867000,-1867000,-5441000,-5441000,125000,-5316000,0,0.20425,0.01249,0.00124,0.00033,0.00016,2.83715,1.11055,0,0.00752,0.00748,6.06507,22.62846,0.00474,-117.80407
"16","2014_Q3",18.95609375,"Up",69949000,-55408000,14541000,-12477000,-9469000,-3008000,2064000,-88000,-11000,-77000,1976000,-280000,1696000,-575000,1121000,1121000,1121000,1121000,90131000,90131000,53267000,53267000,66845000,31707000,31707000,241950000,152265000,4180000,90582000,1812000,88770000,247027000,488977000,25144000,16409000,8735000,55945000,55945000,81089000,166266000,42187000,124079000,166266000,247355000,137305000,142091000,-37774000,241622000,241622000,488977000,2304000,-3291000,-3291000,-3291000,-33000,-3312000,-1484000,-2492000,-2492000,28999.9999999999,-2463000,2.27373675443232e-13,0.20788,0.02951,0.01603,0.00464,0.00229,2.98376,1.02373,-4.2351647362715e-22,0.10784,0.10728,6.7291,23.24406,0.00733,-43.66812
"17","2014_Q4",17.34546875,"Down",65408000,-53244000,12164000,-11890000,-8949000,-2941000,274000,-418000,-23000,-395000,-144000,-377000,-521000,178000,-343000,-343000,-343000,-343000,91973000,91973000,53241000,53241000,63195000,31192000,31192000,239601000,151398000,4052000,86862000,1764000,85098000,242312000,481913000,27897000,18428000,9469000,55812000,55812000,83709000,160658000,41484000,119174000,160658000,244367000,137809000,139869000,-40132000,237546000,237546000,481913000,8097000,-4086000,-4086000,-4086000,-4000,-3917000,-1621000,2559000,2559000,-717000,1842000,0,0.18597,0.00419,-0.00524,-0.00144,-0.00071,2.86231,1.02871,0,-0.0329,-0.03275,6.27355,22.784,0.00385,-335.66788
"18","2015_Q1",16.5627868852459,"Down",74588000,-59882000,14706000,-12767000,-9956000,-2811000,1939000,-584000,-21000,-563000,1355000,-4937000,-3582000,1539000,-2043000,-2043000,-2043000,-2043000,97098000,97098000,54863000,54863000,54713000,20105000,20105000,226779000,149839000,3914000,155877000,25532000,130345000,309630000,536409000,24971000,16721000,8250000,56519000,56519000,81490000,249771000,81216000,168555000,249771000,331261000,137952000,135949000,-68753000,205148000,205148000,536409000,10281000,-3092000,-3092000,-3092000,-31000,-3123000,-1876000,5282000,5282000,-157000,5125000,3.63797880709171e-12,0.19716,0.026,-0.02739,-0.00996,-0.00381,2.78291,1.61474,-6.7762635780344e-21,-0.19595,-0.19883,7.15404,19.67658,-0.00037,-50.07633
"19","2015_Q2",14.9171428571429,"Down",65087000,-52044000,13043000,-12538000,-9396000,-3142000,505000,-380000,-14000,-366000,125000,-13000,112000,-40000,72000,72000,72000,72000,93999000,93999000,47359000,47359000,62669000,28979000,28979000,233006000,148123000,3800000,142644000,16090000,126554000,294567000,527573000,27355000,18522000,8833000,55957000,55957000,83312000,237074000,73636000,163438000,237074000,320386000,138176000,134144000,-65133000,207187000,207187000,527573000,2080000,-2493000,-2493000,-2493000,-19000,-2512000,-1877000,-2309000,-2309000,-790000,-3099000,0,0.20039,0.00776,0.00111,0.00035,0.00014,2.79679,1.54636,0,0.00691,0.00688,6.24276,19.87215,0.00439,-186.13663
"20","2015_Q3",11.84859375,"Down",59973000,-48197000,11776000,-12264000,-9175000,-3089000,-488000,171000,-10000,181000,-317000,-435999.999999999,-753000,233000,-520000,-520000,-520000,-520000,93098000,93098000,45601000,45601000,64869000,28165000,28165000,231733000,148799000,3690000,139616000,16150000,123466000,292105000,523838000,26547000,16481000,10066000,54888000,54888000,81435000,233894000,74091000,159803000,233894000,315329000,138589000,131744000,-61824000,208509000,208509000,523838000,3272000,-2797000,-2797000,-2797000,-73000,-2870000,-1876000,-1474000,-1474000,573000,-901000,-5.82076609134674e-11,0.19636,-0.00814,-0.00866999999999999,-0.00249,-0.000989999999999999,2.84562,1.5123,0,-0.04984,-0.05002,5.74784,19.98361,0.00307,190.77459
"21","2015_Q4",10.75859375,"Down",58094000,-48655000,9439000,-11787000,-8743000,-3044000,-2348000,-2000,-6000,4000,-2350000,-120000,-2470000,959000,-1511000,-1511000,-1511000,-1511000,87427000,87427000,46662000,46662000,62267000,26871000,26871000,223227000,148084000,3582000,138182000,17891000,120291000,289848000,513075000,25076000,15605000,9471000,55633000,55633000,80709000,227662000,73172000,154490000,227662000,308371000,138961000,128306000,-62563000,204704000,204704000,513075000,3142000,-1862000,-1880000,-1880000,142000,-6720000,-1879000,-5457000,-5457000,-214000,-5671000,0,0.16248,-0.04042,-0.02601,-0.00738,-0.00294,2.76583,1.50642,0,-0.14475,-0.14475,5.56509,19.60954,0.00085,37.23467
