"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",63.2714754098361,"Down",1521111000,-1069201000,451910000,-266081000,-138081000,185829000,-18350000,-24214000,5864000,167479000,-8678000,158801000,-51020000,2000,107783000,107783000,-3418000,104365000,104365000,9.77e+08,9.77e+08,1.166e+09,1.166e+09,2.69e+08,5.1e+07,3.4e+07,8.3e+07,2.412e+09,1.88e+08,8.5e+07,1.241e+09,7.2e+08,3.68e+08,4.3e+07,1.1e+08,1.514e+09,3.926e+09,9.41e+08,1.45e+08,3.5e+07,4.9e+07,6.04e+08,5.85e+08,1.9e+07,1.594e+09,2.419e+09,2.49e+08,6.6e+07,1.83e+08,2.668e+09,4.262e+09,9e+06,-4.62e+08,-1.11e+08,-5.64e+08,-3.36e+08,3.926e+09,107783000,34776000,6889000,57176000,206624000,-21308000,-6161000,-130000,-27599000,-12289000,-2.65e+08,6561000,-270728000,-91703000,-91703000,-12743000,-104446000,220605000,2.468e+09,307493000,0.29709,0.12217,0.06861,-0.31061,0.02658,2.94632,1.51317,-12.68452,0.62863,0.86385,0.84801,12.59052,-4.66833,2.54518,0.04383,0.12914,6.75869,8.02351
"12","2016_Q2",67.0103125,"Up",1.49e+09,-1.076e+09,4.14e+08,-2.32e+08,-2e+08,1.82e+08,-3e+07,-2.5e+07,-5e+06,1.52e+08,-3e+06,1.49e+08,-4.3e+07,3e+06,1.09e+08,1.09e+08,-2e+06,1.07e+08,1.07e+08,1089923000,1053212000,1175597000,1175597000,171636000,55845000,22302000,93489000,2437156000,189011000,85544000,1271228000,719651000,362260000,94850000,94467000,1545783000,3982939000,881856000,852315000,29541000,48517000,647765000,618928000,28837000,1578138000,2408555000,202187000,14849000,187338000,2610742000,4188880000,25915000,-354967000,-105758000,-434810000,-205941000,3982939000,1.09e+08,3.2e+07,1.8e+07,-4.7e+07,1.12e+08,-2.6e+07,-2e+06,1e+06,-6.4e+07,9e+06,-339846851.411061,7e+06,1.6e+07,6.4e+07,6.4e+07,1.2e+07,76000000.0000001,2.14e+08,2457072000,1.84e+08,0.27785,0.12215,0.07181,-0.51957,0.02686,1.71963,1.54432,-20.34019,0.6169,0.89615,0.88138,12.47906,-3.64162,1.54104,0.04361,0.075,6.38855,7.51181
"13","2016_Q3",75.72546875,"Up",1.553e+09,-1.121e+09,4.32e+08,-2.48e+08,-2.16e+08,1.84e+08,-1.9e+07,-2.2e+07,3e+06,1.65e+08,-3.4e+07,1.31e+08,-3.6e+07,-4e+06,9.1e+07,9.1e+07,-5e+06,8.6e+07,8.6e+07,993471000,955684000,1257427000,1257427000,185700000,66443000,21059000,98198000,2436598000,189630000,65192000,1271378000,716640000,352755000,104858000,97125000,1526200000,3962798000,895504000,865151000,30353000,48503000,656281000,608742000,47539000,1600288000,2397834000,193377000,12687000,180690000,2591211000,4191499000,1193000,-320385000,-139094000,-458286000,-228701000,3962798000,9.1e+07,3.2e+07,5e+06,-8.7e+07,4.1e+07,-3.1e+07,1.8e+07,-2e+06,-1.7e+07,-1.3e+07,-9.8e+07,1.3e+07,-9.8e+07,-7.4e+07,-7.4e+07,-2.4e+07,-9.8e+07,2.16e+08,2446337000,1.34e+08,0.27817,0.11848,0.05538,-0.37604,0.0217,1.55814,1.5226,-18.32742,0.61733,0.71967,0.70782,12.99582,-3.83503,1.12134,0.03567,0.05558,6.72623,7.89601
"14","2016_Q4",76.6826984126984,"Up",1.497e+09,-1.056e+09,4.41e+08,-2.41e+08,-2.07e+08,2e+08,-2.5e+07,-2.4e+07,-1e+06,1.75e+08,-3.2e+07,1.43e+08,-3.9e+07,0,1.04e+08,1.04e+08,-4e+06,1e+08,1e+08,1249555000,1209677000,1207503000,1207503000,186074000,57318000,26568000,102188000,2643132000,184189000,68386000,1233095000,691441000,346816000,95818000,99020000,1485670000,4128802000,920048000,904095000,15953000,48500000,651400000,624079000,27321000,1619948000,2387114000,203667000,13101999.9999999,190565000,2590781000,4210729000,48761999.9999995,-221218000,-140976000,-313432000,-81927000,4128802000,1.04e+08,3.4e+07,3.4e+07,8.8e+07,2.6e+08,-2.1e+07,-3e+06,2e+06,-2.2e+07,-1.2e+07,0,3.7e+07,2.5e+07,2.63e+08,2.63e+08,-8e+06,2.55e+08,2.34e+08,2435614000,3.4e+08,0.29459,0.1336,0.0668,-1.2206,0.02422,3.4,1.63162,-51.39611,0.58991,0.84104,0.82508,12.59041,-2.6361,2.85955,0.0391,0.13295,5.06863,5.9303
"15","2017_Q1",78.0403225806452,"Up",2.275e+09,-1.495e+09,7.8e+08,-5.84e+08,-3.93e+08,1.96e+08,-5.5e+07,-6.9e+07,1.4e+07,1.41e+08,-1.48e+08,-7e+06,-2.07e+08,-3e+06,-2.17e+08,-2.17e+08,-4e+06,-2.21e+08,-2.21e+08,1.238e+09,1.198e+09,1.707e+09,1.707e+09,3.92e+08,1.23e+08,3.4e+07,2.35e+08,3.337e+09,4.06e+08,8.2e+07,1.7383e+10,1.0727e+10,6.39e+09,8.9e+07,1.77e+08,1.7871e+10,2.1208e+10,1.819e+09,2.5e+08,7.6e+07,9.2e+07,7.94e+08,7.74e+08,2e+07,2.705e+09,7.108e+09,2.535e+09,2.133e+09,4.02e+08,9.643e+09,1.2348e+10,1.0602e+10,-3.99e+08,-5.7e+08,8.633e+09,8.86e+09,2.1208e+10,-2.17e+08,1.91e+08,1.52e+08,3.21e+08,4.47e+08,-8.6e+07,1.817e+09,2e+06,1.813e+09,-1.276e+09,-9.99e+08,6.9e+07,-2.206e+09,5.4e+07,5.4e+07,-6.6e+07,-1.2e+07,3.87e+08,7.2e+09,8.29e+08,0.34286,0.08615,-0.09714,-0.02494,-0.01042,-3.75113,1.23364,1.39368,0.33949,-0.92624,-0.90611,9.53479,36.18189,3.47443,-0.01188,0.04458,15.40568,30.41837
"16","2017_Q2",84.431746031746,"Up",2.36e+09,-1.526e+09,8.34e+08,-6.13e+08,-3.81e+08,2.21e+08,-7.2e+07,-7.3e+07,1e+06,1.49e+08,-2.2e+07,1.27e+08,-2.4e+07,-1e+06,1.02e+08,1.02e+08,-2e+06,1e+08,1e+08,9.05e+08,8.62e+08,1.779e+09,1.779e+09,4.33e+08,1.34e+08,2.8e+07,2.71e+08,3.117e+09,4.1e+08,7.2e+07,1.7584e+10,1.0915e+10,6.398e+09,9.2e+07,1.79e+08,1.8066e+10,2.1183e+10,1.702e+09,1.627e+09,7.5e+07,9.1e+07,8.03e+08,7.91e+08,1.2e+07,2.596e+09,8.254e+09,2.533e+09,2.14e+09,3.93e+08,1.0787e+10,1.3383e+10,1.0656e+10,-3.25e+08,-4.44e+08,7.571e+09,7.8e+09,2.1183e+10,1.02e+08,2.32e+08,-9999999.99999997,-2.68e+08,5.6e+07,-7.8e+07,-1.51e+08,-1e+07,-2.4e+08,1.132e+09,-1.316e+09,8000000.00000001,-1.76e+08,-3.6e+08,-3.6e+08,2.4e+07,-3.36e+08,4.53e+08,8.345e+09,1.31e+08,0.35339,0.09364,0.04237,0.01282,0.00472,1.31,1.20069,1.71577,0.39395,0.43459,0.42571,10.25641,32.90309,0.56932,0.00535,0.00701000000000001,16.42384,33.66516
"17","2017_Q3",92.67,"Up",2.355e+09,-1.557e+09,7.98e+08,-6.23e+08,-3.78e+08,1.75e+08,-7.8e+07,-8e+07,2e+06,9.7e+07,-4.9e+07,4.8e+07,1.4e+07,4e+06,6.6e+07,6.6e+07,-4e+06,6.2e+07,6.2e+07,9.45e+08,9.02e+08,1.845e+09,1.845e+09,4.69e+08,1.53e+08,4.1e+07,2.75e+08,3.259e+09,4.3e+08,7e+07,1.8023e+10,1.1258e+10,6.493e+09,9.4e+07,1.78e+08,1.8523e+10,2.1782e+10,1.751e+09,1.678e+09,7.3e+07,9.4e+07,8.15e+08,8.01e+08,1.4e+07,2.66e+09,8.858e+09,2.49e+09,2.069e+09,4.21e+08,1.1348e+10,1.4008e+10,1.0721e+10,-2.55e+08,-2.33e+08,7.539e+09,7.774e+09,2.1782e+10,6.6e+07,2.45e+08,-8.1e+07,1.5e+07,2.45e+08,-1e+08,-1.11e+08,1e+07,-2e+08,3.14e+08,-3.78e+08,3e+07,-3.4e+07,1.1e+07,1.1e+07,2.9e+07,4e+07,4.2e+08,8.952e+09,3.21e+08,0.33885,0.07431,0.02633,0.00798,0.00285,5.17742,1.22519,1.8019,0.41098,0.28493,0.2789,10.82261,34.64614,1.47518,0.00323,0.0167,19.06429,45.75429
"18","2017_Q4",101.8,"Up",2.466e+09,-1.611e+09,8.55e+08,-6.5e+08,-3.94e+08,2.05e+08,-9.1e+07,-9.1e+07,0,1.14e+08,-2.8e+07,8.6e+07,3000000.00000003,4e+06,9.3e+07,9.3e+07,-5e+06,87999999.9999999,87999999.9999999,1.147e+09,1.103e+09,1.859e+09,1.859e+09,4.86e+08,1.46e+08,5.6e+07,2.84e+08,3.492e+09,4.28e+08,7.5e+07,1.845e+10,1.1598e+10,6.567e+09,9.3e+07,1.92e+08,1.8953e+10,2.2445e+10,1.954e+09,1.894e+09,6e+07,1.03e+08,7.96e+08,7.82e+08,1.4e+07,2.853e+09,9.651e+09,2.434e+09,2.014e+09,4.2e+08,1.2085e+10,1.4938e+10,1.0761e+10,-1.66e+08,-7.9e+07,7.264e+09,7.507e+09,2.2445e+10,9.3e+07,2.56e+08,89000000.0000001,-2000000.00000006,4.36e+08,-8.9e+07,-2.46e+08,1e+06,-3.34e+08,6.63e+08,-5.58e+08,-1.2e+07,9.3e+07,1.95e+08,1.95e+08,6e+06,2.01e+08,4.61e+08,9.754e+09,3.67e+08,0.34672,0.08313,0.03569,0.01172,0.00392,4.17045,1.22397,1.98988,0.43457,0.41064,0.40183,11.50723,33.89641,1.71255,0.00447,0.01863,18.67028,41.98537
"19","2018_Q1",101.078032786885,"Down",2.521e+09,-1.607e+09,9.14e+08,-7.47e+08,-4.69e+08,1.67e+08,-1.11e+08,-9.5e+07,-1.6e+07,5.6e+07,-2.3e+07,3.3e+07,9.99e+08,3e+06,1.035e+09,1.035e+09,-8e+06,1.027e+09,1.027e+09,1.005e+09,9.59e+08,2.097e+09,2.097e+09,4.52e+08,1.46e+08,4.7e+07,2.59e+08,3.554e+09,4.4e+08,7.8e+07,1.8785e+10,1.185e+10,6.591e+09,1.09e+08,2.35e+08,1.9303e+10,2.2857e+10,2.058e+09,3.22e+08,7.2e+07,1.03e+08,9.95e+08,9.85e+08,1e+07,3.156e+09,1.0122e+10,1.335e+09,8.95e+08,4.4e+08,1.1457e+10,1.4613e+10,1.0782e+10,5.38e+08,4.9e+07,7.995e+09,8.244e+09,2.2857e+10,1.035e+09,2.78e+08,-1.08e+09,0,2.33e+08,-1.02e+08,-3.17e+08,3e+06,-4.16e+08,4.02e+08,-3.68e+08,1.1e+07,4.5e+07,-1.38e+08,-1.38e+08,-6e+06,-1.44e+08,4.45e+08,1.0225e+10,-6.56e+08,0.36255,0.06624,0.40738,0.12458,0.04493,-0.63875,1.12611,1.77256,0.44735,4.90918,4.79458,12.05067,38.21702,-3.13576,0.05186,-0.03312,20.7191,55.20958
"20","2018_Q2",99.91078125,"Down",2.563e+09,-1.652e+09,9.11e+08,-7.02e+08,-4.2e+08,2.09e+08,-9.8e+07,-9.4e+07,-4e+06,1.11e+08,-2.6e+07,8.5e+07,-1.9e+07,7e+06,7.3e+07,7.3e+07,-4e+06,6.9e+07,6.9e+07,1.007e+09,9.6e+08,2.25e+09,2.25e+09,4.67e+08,1.48e+08,4.5e+07,2.74e+08,3.724e+09,4.32e+08,1.01e+08,1.8978e+10,1.2041e+10,6.58e+09,1.13e+08,2.44e+08,1.9511e+10,2.3235e+10,2.151e+09,2.045e+09,1.06e+08,1.04e+08,9.44e+08,9.34e+08,1e+07,3.199e+09,1.0342e+10,1.241e+09,8.28e+08,4.13e+08,1.1583e+10,1.4782e+10,1.0797e+10,6.05e+08,2.54e+08,8.196e+09,8.453e+09,2.3235e+10,7.3e+07,2.82e+08,-7999999.99999976,-1.65e+08,1.82e+08,-8.8e+07,-1.6e+07,-1.5e+07,-1.2e+08,7.9e+07,-9.5e+07,-2.5e+07,-4.1e+07,21000000.0000001,21000000.0000001,-2e+07,1e+06,4.91e+08,1.0446e+10,2.57e+08,0.35544,0.08155,0.0269199999999999,0.00816000000000003,0.00297000000000001,3.72464,1.16411,1.74873,0.44958,0.33253,0.32547,12.35181,39.4988,1.23855,0.00343,0.01276,19.22403,45.16268
"21","2018_Q3",120.082222222222,"Up",2.567e+09,-1.674e+09,8.93e+08,-7.06e+08,-4.24e+08,1.87e+08,-8e+07,-1.06e+08,2.6e+07,1.07e+08,-1.9e+07,8.8e+07,-2.4e+07,4e+06,6.8e+07,6.8e+07,-7e+06,6.1e+07,6.1e+07,9.28e+08,8.79e+08,2.172e+09,2.172e+09,4.87e+08,1.58e+08,5.2e+07,2.77e+08,3.587e+09,4.15e+08,1.1e+08,1.8514e+10,1.1844e+10,6.297e+09,1.08e+08,2.65e+08,1.9039e+10,2.2626e+10,2.118e+09,1.997e+09,1.21e+08,1.01e+08,9.47e+08,9.4e+08,7e+06,3.166e+09,1.0627e+10,1.219e+09,8.13e+08,4.06e+08,1.1846e+10,1.5012e+10,1.0836e+10,6.65e+08,-1.04e+08,7.364e+09,7.614e+09,2.2626e+10,6.8e+07,2.82e+08,-6.8e+07,2.9e+07,3.11e+08,-1.1e+08,-2.16e+08,1.5e+07,-3.3e+08,5.51e+08,-5.73e+08,-3e+07,-5.2e+07,-7.1e+07,-7.1e+07,-1e+07,-8.1e+07,4.69e+08,1.0728e+10,4.12e+08,0.34788,0.07285,0.02376,0.00801,0.0027,6.7541,1.13298,1.97163,0.47414,0.29655,0.29061,12.47934,35.79971,2.00292,0.00312,0.02106,20.89552,52.40642
