"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",51.9061666666667,"Up",674087000,-217421000,456666000,-234474000,-58631000,-175843000,222192000,-171588000,-170154000,-1434000,50604000,-130872000,-80268000,70624000,-9644000,-9643999.99999999,-19505000,-19505000,441364000,441364000,192833000,192833000,947127000,103808000,649899000,1581324000,6917531000,7589854000,3119957000,289136000,4146847000,14507385000,16088709000,168591000,115999000,52592000,688056000,381211000,241127000,1237858000,10923186000,10923186000,976401000,910571000,11899587000,13137445000,5626527000,2932000,5623595000,-2625990000,-61791000,2938746000,2951264000,16088709000,-9644000,175843000,93503000,-11603000,248099000,-157997000,-2523237000,17999.9999999999,-2681216000,5.82076609134674e-11,3102538000,-39999.9999999963,-346682000,2755816000,322699000,322699000,-238000,322461000,398035000,11611242000,157811000,0.67746,0.32962,-0.02894,-0.00661,-0.00121,-8.0908,1.27747,4.45146,0.7217,-0.06707,-0.06591,2.31792,10.10521,0.54265,0,3,-0.00126,0.01016,8.67361737988404e-19,28.06255,50.27129
"13","2013_Q2",53.50734375,"Up",740060000,-254983000,485077000,-244705000,-58246000,-186459000,240372000,-164701000,-164072000,-629000,75671000,-41226000,34445000,-17708000,16737000,16737000,15462000,15462000,160865000,160865000,212732000,212732000,491818000,102315000,208686000,865415000,6882411000,7624679000,3180510000,2861315000,1551238000,14507090000,15372505000,177044000,96874000,80170000,94839000,365743000,230792000,637626000,10741317000,10741317000,1028931000,978595000,11770248000,12407874000,5612977000,2938000,5610039000,-2610528000,-52036000,2950413000,2964631000,15372505000,16737000,186459000,102078000,-18648000,286626000,-116353000,-12810000,147000,-129016000,0,-834755000,-23579000,421847000,-436487000,-278877000,-278877000,-1622000,-280499000,426831000,10836156000,309538000,0.65546,0.3248,0.02089,0.00522,0.00101,20.01927,1.35725,4.1853,0.70491,0.05312,0.05285,2.54227,10.13532,1.06333,0,4,0.00104,0.02087,0,25.01058,44.41154
"14","2013_Q3",52.14515625,"Down",734928000,-249214000,485714000,-245440000,-54789000,-190651000,240274000,-139421000,-139928000,507000,100853000,-10889000,89964000,-36587000,53377000,53377000,52359000,52359000,126886000,126886000,201028000,201028000,552152000,124395000,245704000,880066000,6892277000,7620242000,3138018000,2852434000,1603731000,14512519000,15392585000,199314000,112160000,87154000,97013000.0000001,347871000,242420000,644198000,10691509000,10691509000,1131986000,1021230000,11823495000,12467693000,5547132000,2927000,5544205000,-2558169000,-77491000,2911472000,2924892000,15392585000,53377000,190651000,69597000,-40224000,273401000,-138467000,-14470000.0000002,6497000,-146440000,2.3283064365387e-10,-67868999.9999995,-75288000.0000001,-16453000.0000001,-159610000,-32649000,-32648999.9999999,-1330000,-33979000,430925000,10788522000,288821000,0.6609,0.32694,0.07124,0.0179,0.0034,5.51617,1.36614,4.26262,0.70089,0.17979,0.17888,2.52357,9.99733,0.99175,0,4,0.00353,0.01946,0,24.74128,44.37282
"15","2013_Q4",53.956875,"Up",748977000,-263964000,485013000,-253912000,-58504000,-195408000,231101000,-142411000,-141780000,-631000,88690000,-8263000,80427000,-33959000,46468000,46468000,45836000,45836000,218649000,218649000,236211000,236211000,544943000,117866000,237199000,999803000,6904346000,7663423000,3140308000,2821812000,1679992000,14567769000,15567572000,184260000,119689000,64571000,115378000,380080000,248807000,679718000,10660076000,10660076000,1230488000,1076521000,11890564000,12570282000,5556644000,2927000,5553717000,-2512333000,-61339000,2982972000,2997290000,15567572000,46468000,195408000,66258000,-29295000,278839000,-130662000,-27851000,957000,-157556000,0,-17902000,-350000,-10649000,-28901000,92382000,92382000,-619000,91763000,426509000,10775454000,300511000,0.64757,0.30856,0.0612,0.01529,0.00294,6.55622,1.47091,4.19388,0.69217,0.15785,0.15731,2.57936,10.2729,1.03491,0,5,0.00306,0.02003,0,24.75166,45.68048
"16","2014_Q1",53.5088524590164,"Down",641786000,-222856000,418930000,-210804000,-41980000,-168824000,208126000,-146043000,-142894000,-3149000,62083000,-15918000,46165000,-102746000,-56581000,-22681000,-23546000,-34909000,223394000,223394000,249925000,249925000,419364000,132003000,260647000,892683000,8947677000,10754548000,4916426000,407522000,5411592000,19702225000,20594908000,210972000,145390000,65582000,103586000,441829000,260114000,756387000,11490914000,11490914000,1406432000,1349919000,12897346000,13653733000,9486110000,3341000,9482769000,-2535879000,-23612000,6926717000,6941175000,20594908000,-56581000,168824000,128307000,91643000,332193000,-149327000,-4876621000,-325000,-5026273000,3.72529029846191e-09,795664000,3931231000,-38764000,4688131000,-5949000,-1036000.00000001,5781000,4745000,376950000,11594500000,422012000,0.65276,0.32429,-0.05439,-0.00503,-0.0017,-12.08892,1.18019,1.96706,0.56298,-0.10922,-0.10891,2.00789,21.67061,1.32031,-1.38777878078145e-17,3,-0.00175,0.02116,1.0842021724855e-19,30.16609,54.63568
"17","2014_Q2",54.9522222222222,"Up",875950000,-300950000,5.75e+08,-315040000,-64849000,-250191000,259960000,-148963000,-146227000,-2736000,110997000,-8392000,102605000,188000,102793000,102793000,101497000,90500000,200537000,200537000,245556000,245556000,406175000,132026000,247177000,852268000,8927218000,10790180000,4934148000,3997518000,1843768000,19717398000,20569666000,191614000,127053000,64561000,105467000,411191000,255323000,708272000,11467859000,11467859000,1458868000,1406734000,12926727000,13634999000,9476649000,3338000,9473311000,-2562541000,4059000,6918265000,6934667000,20569666000,102793000,250191000,32464000,-23165000,362283000,-142943000,-62228000,952000,-204219000,-128192000,-33739000,-21417000,8889000,-174459000,-16395000,-16395000,-6462000,-22857000,510151000,11573326000,343855000,0.65643,0.29677,0.10332,0.01305,0.0044,3.7995,1.20331,1.96621,0.56264,0.27256,0.27174,2.63813,20.83572,1.0356,0.38608,6,0.01095,0.01722,1.41649,22.29299,43.74823
"18","2014_Q3",56.89625,"Up",844055000,-318427000,525628000,-298678000,-57110000,-241568000,226950000,-150405000,-144485000,-5920000,76545000,-66762000,9782999.99999999,5952999.99999999,15736000,35357000,34009000,23012000,227479000,227479000,304015000,304015000,416252000,150873000,2.32e+08,947746000,8888426000,10835887000,4939755000,3922063000,1960786000,19724313000,20672059000,199377000,132529000,66848000,105624000,490877000,320134000,795878000,11464627000,11464627000,1532118000,1477995000,12996745000,13792623000,9491753000,3339000,9488414000,-2656718000,26205000,6861338000,6879436000,20672059000,15736000,241568000,75414000,27935000,360653000,-156355000,-23560000,1426000,-178489000,-127852000,-52795000,-313000.000000477,-337000,-181297000,867000,26511000,430999.999999998,26942000,468518000,11570251000,334145000,0.62274,0.26888,0.02726,0.00335,0.00111,14.52047,1.19082,2.00491,0.5597,0.0692399999999999,0.06909,2.5397,20.64499,1.00542,0.3847,4,0.00755,0.01672,5.55588,24.2099,49.97917
"19","2014_Q4",59.326875,"Up",892883000,-332412000,560471000,-312418000,-65212000,-247206000,248053000,-141874000,-141180000,-694000,106179000,-9e+06,97179000,1977000,99156000,108037000,106937000,95940000,238550000,238550000,311798000,311798000,428447000,154240000,234006000,978795000,8870817000,10935248000,5091800000,3795426000,2037167000,19806065000,20784860000,243154000,175110000,68044000,106673000,495740000,327265000,845567000,11467005000,11467005000,1609543000,1552425000,13076548000,13922115000,9503829000,3339000,9500490000,-2677959000,19006000,6844974000,6862745000,20784860000,99156000,247206000,31687000,49941000,427990000,-199662000,-88568000,409000,-287821000,-127848000,-10812000,-48000,15431000,-123277000,16892000,12398000,-1327000,11071000,495259000,11573678000,343561000,0.62771,0.27781,0.10745,0.01398,0.00462,3.581,1.15756,2.02865,0.55683,0.28862,0.2879,2.68607,20.59148,1.03354,0.38461,5,0.01116,0.01714,1.33258,22.88727,45.6964
"20","2015_Q1",63.7503278688525,"Up",925868000,-354817000,571051000,-316941000,-70125000,-246816000,254110000,-119741000,-141084000,21343000,134369000,-8866000.00000001,125503000,3126000,128629000,152587000,148070000,137073000,151312000,151312000,313308000,313308000,818376000,138873000,266720000,1282996000,8982783000,10877497000,5196485000,394407000,5286605000,19860280000,21143276000,229340000,162397000,66943000,113335000,589456000,279882000,932131000,11807526000,11807526000,1666391000,1666391000,13473917000,14406048000,9515735000,3339000,9512396000,-2815428000,15820000,6716225000,6737228000,21143276000,128629000,246816000,4123000,69703000,449271000,-259575000,-287295000,690000,-546180000,-284759000,310771000,-93999.9999999702,-9872000,16045999.9999999,-80863000,-62276000,-654000,-62930000,500926000,11920861000,307928000,0.61677,0.27446,0.14805,0.02035,0.00648,2.24645,1.37641,2.13828,0.56381,0.41235,0.41078,2.78526,20.20392,0.92633,0.85663,6,0.02075,0.01515,2.07743,23.49558,46.31675
"21","2015_Q2",63.0331746031746,"Down",900471000,-319131000,581340000,-325862000,-74056000,-251806000,255478000,-134608000,-134383000,-225000,120870000,-10571000,110299000,1435000,111734000,125112000,122787000,111790000,240153000,240153000,292565000,292565000,394796000,144334000,220357000,927514000,9139703000,11038260000,5215348000,3650945000,2153347000,20177963000,21105477000,215591000,146894000,68697000,115998000,490366000,327270000,821955000,11954093000,11954093000,1770636000,1732484000,13724729000,14546684000,9506674000,3339000,9503335000,-2978356000,8304000,6536720000,6558793000,21105477000,111734000,251806000,31271000,58247000,453058000,-201653000,-17493000,-514000,-219660000,-284682000,133503000,-29372000,8310000,-172241000,61157000,65793000,-1260000,64533000,507284000,12070091000,362443000,0.6456,0.28372,0.12415,0.01704,0.0053,3.24218,1.12842,2.21789,0.57189,0.336,0.33522,2.70646,19.64649,1.08936,0.85564,4,0.01944,0.01777,2.54658,23.32015,46.30511
"22","2015_Q3",62.03609375,"Down",899437000,-326431000,573006000,-326278000,-73125000,-253153000,246728000,-74192000,-134141000,59949000,172536000,-10154000,162382000,4144000,166526000,1154378000,1153360000,1142363000,338609000,338609000,253342000,253342000,525609000,138355000,357412000,1117560000,9042284000,10851785000,5160106000,3631987000,2059692000,19894069000,21011629000,220976000,153909000,67067000,94702000,464566000,313355000,780244000,11036602000,11036602000,1790547000,1755430000,12827149000,13607393000,9521442000,3339000,9518103000,-2110438000,-6866000,7404236000,7404236000,21011629000,166526000,253153000,-31977000,78118000,465820000,-219230000,-47232000,46909000,-219553000,-284683000,-951558000,-117999.999999993,-15565000,-1251924000,-1005657000,98165000,291000,98456000,499881000,11131304000,354625000,0.63707,0.27431,1.27009,0.15429,0.05437,0.31043,1.43232,1.83778,0.52977,3.42958,3.42298,2.70027,22.22857,1.06465,0.85467,6,0.07021,0.01745,0.24921,21.59053,43.74329
"23","2015_Q4",65.4521875,"Up",918107000,-333859000,584248000,-338361000,-76699000,-261662000,245887000,-130302000,-129088000,-1214000,115585000,-15085000,100500000,3801000,104301000,103779000,103779000,92782000,184116000,184116000,324566000,324566000,515689000,143675000,338904000,1024371000,9498568000,11472705000,5527134000,3837360000,2108211000,20971273000,21995644000,226208000,157024000,69184000,102188000,496146000,314648000,824542000,12039178000,12039178000,1891621000,1859304000,13930799000,14755341000,9535936000,3339000,9532597000,-2291977000,-3754000,7240303000,7240303000,21995644000,104301000,261662000,23706000,-17671000,371998000,-237357000,-1018594000,6519000,-1249432000,-284682000,990669000,-86000,18275000,724176000,-153258000,-153780000,-713000,-154493000,507549000,12141366000,248720000,0.63636,0.26782,0.10106,0.01281,0.00422,2.68069,1.24235,2.03795,0.55199,0.27858,0.27803,2.75667,21.73916,0.7468,0.85478,6,0.01774,0.01169,3.06829,23.55881,48.62905
"24","2016_Q1",66.062131147541,"Up",945836000,-342005000,603831000,-356598000,-87041000,-269557000,247233000,-129092000,-127610000,-1482000,118141000,-17493000,100648000,42077000,142725000,141066000,141066000,130069000,178810000,178810000,313296000,313296000,489139000,133194000,355945000,981245000,9580057000,11375664000,5513551000,358735000,5503378000,20955721000,21936966000,226604000,159629000,66975000,106219000,522546000,322623000,855369000,12043740000,12043740000,1948636000,1948636000,13992376000,14847745000,9551918000,3338000,9548580000,-2458397000,-4398000,7089221000,7089221000,21936966000,142725000,269557000,-11484000,102351000,503149000,-250652000,-18860000.0000001,-1577000,-271089000,-306385000,85183000,-81000.0000000149,-14204000,-235487000,-3427000,-5086000,-220000,-5306000.00000006,516790000,12149959000,326412000,0.63841,0.26139,0.13752,0.01835,0.00593,2.50953,1.14716,2.09441,0.55386,0.39041,0.3879,2.83902,21.27869,0.97976,0.91964,5,0.0206,0.01541,2.35556,23.16444,48.42051
"25","2016_Q2",71.45328125,"Up",934384000,-333592000,600792000,-375456000,-97581000,-277875000,225336000,-129477000,-126204000,-3273000,95859000,-44147000,51712000,-3872000,47840000,47840000,47840000,36843000,175702000,175702000,254669000,254669000,390511000,141529000,248982000,820882000,9559397000,11337972000,5531064000,3707129000,2099779000,20897369000,21718251000,219247000,141574000,77673000,87823000,504876000,332711000,811946000,11778176000,11778176000,1975135000,1975135000,13753311000,14565257000,9878237000,3375000,9874862000,-2720364000,-4977000,7152994000,7152994000,21718251000,47840000,277875000,66641000,45300000,437656000,-193489000,-22029000,7772000,-207746000,-310087000,-308641000,299444000,-26308000,-345592000,-115682000,-2532000,-576000,-3108000,503211000,11865999000,358894000,0.64298,0.24116,0.03943,0.00515,0.0017,9.74117,1.01101,2.03625,0.54636,0.11026,0.11,2.79626,21.40592,1.07403,0.92797,5,0.01653,0.01709,8.41644,23.2314,51.8794
