"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",25.05328125,"Up",49619000,-34336000,15283000,-10679000,-10679000,4604000,-92000,-24000,4000,-72000,4512000,4512000,-1329000,3183000,3183000,3183000,3183000,43277000,43277000,33602000,33602000,90044000,8751000,367000,8180000,175674000,11728000,29539000,-17811000,12130000,3885000,8245000,23858000,199532000,44493000,32899000,11594000,1177000,1177000,48914000,2291000,1371000,2291000,51205000,54563000,96023000,-2259000,148327000,148327000,199532000,3183000,798000,834000,-81000,4734000,-241000,-222000,-463000,999.999999999884,4272000,4272000,-103000,4169000,5402000,3244000,6409000,0.30801,0.09279,0.06415,0.02146,0.01595,2.01351,3.59149,0.34522,0.01626,0.49334,0.48999,7.69048,22.98931,0.99334,0.02069,0.04165,-7.41077,-8.69526
"12","2013_Q4",22.21234375,"Down",45158000,-33443000,11715000,-10012000,-10012000,1703000,-586000,-60000,4000,-530000,1117000,1117000,-263000,854000,854000,854000,854000,44612000,44612000,30356000,30356000,96161000,9312000,284000,9008000,180441000,12450000,30659000,-18209000,16621000,8168000,8453000,29071000,209512000,49405000,36019000,13386000,1909000,1909000,57051000,4050000,3132000,4050000,61101000,55115000,96554000,-3258000,148411000,148411000,209512000,854000,791000,925000,2051000,4621000,-375000,-241000,-996000,-2215000,1410000,1410000,-75000,1335000,2494000,5737000,4433000,0.25942,0.03771,0.01891,0.00575,0.00408,5.19087,3.1628,0.4117,0.02738,0.13224,0.13124,6.99257,22.98095,0.68644,0.00744,0.02802,-15.58741,-22.82736
"13","2014_Q1",22.48,"Up",53942000,-38800000,15142000,-11802000,-11802000,3340000,-454000,-73000,2000,-383000,2886000,3114000,-1215000,1899000,1899000,1899000,1899000,42804000,42804000,36145000,36145000,95260000,8713000,699000,1430000,182922000,12299000,30801000,-18502000,16014000,5869000,7338000,28313000,211235000,50809000,34262000,16547000,1212000,1212000,55686000,4058000,3315000,4058000,59744000,55345000,98130000,-1984000,151491000,151491000,211235000,1899000,886000,-226000,-1618000,941000,-275000,-414000,-689000,-2398000,-2146000,-2146000,338000,-1808000,4226000,3665000,3548000,0.28071,0.06192,0.0352,0.01254,0.00899,1.86835,3.28488,0.39437,0.01735,0.29383,0.29211,8.34628,23.43973,0.54897,0.01396,0.02228,-9.26148,-11.71826
"14","2014_Q2",24.2926984126984,"Up",50970000,-37051000,13919000,-10600000,-10600000,3319000,-46000.0000000001,-61000,31000,-16000,3273000,3273000,-904000,2369000,2369000,2369000,2369000,47993000,47993000,34579000,34579000,93708000,9828000,736000,9089000,186108000,11946000,30555000,-18609000,16190000,5738000,7663000,28136000,214244000,52488000,39093000,13395000,1447000,1447000,57236000,4124000,3380000,4124000,61360000,55591000,100175000,-2882000,152884000,152884000,214244000,2369000,735000,223000,3450000,6777000,-210000,-388000,-598000,-708000,5471000,5471000,-282000,5189000,4054000,3301000,8198000,0.27308,0.06512,0.04648,0.0155,0.01106,3.46053,3.25159,0.40135,0.01541,0.36576,0.36368,7.86938,23.60414,1.26571,0.0168,0.05114,-11.02417,-13.4655
"15","2014_Q3",29.56921875,"Up",53731000,-37102000,16629000,-11206000,-11206000,5423000,-302000,-38000,5000,-269000,5121000,5121000,-1585000,3536000,3536000,3536000,3536000,46674000,46674000,37739000,37739000,95599000,9232000,53000,9176000,189244000,12047000,31092000,-19045000,16637000,5596000,8180000,28684000,217928000,51628000,36964000,14664000,1737000,1737000,56560000,4276000,3529000,4276000,60836000,56037000,103255000,-2200000,157092000,157092000,217928000,3536000,816000,-333000,-4735000,-716000,-615000,-250000,-865000,-158000,-1739000,-1739000,420000,-1319000,6239000,3195000,2474000,0.30949,0.10093,0.06581,0.02251,0.01623,0.69966,3.3459,0.38726,0.01466,0.54417,0.54142,8.26885,24.17544,0.38073,0.02426,0.01503,-6.96891,-8.01752
"16","2014_Q4",31.31546875,"Up",55379000,-37367000,18012000,-11869000,-11869000,6143000,-84000,-42000,4000,-46000.0000000001,6059000,6059000,-1684000,4375000,4375000,4375000,4375000,51345000,51345000,37620000,37620000,99338000,11359000,1189000,1479000,199662000,11987000,31477000,-19490000,16049000,5436000,7842000,28036000,227698000,58206000,41819000,16387000,668000,668000,62113000,4333000,3529000,4333000,66446000,56302000,107174000,-2224000,161252000,161252000,227698000,4375000,808000,973000,-102000.000000001,6054000,-476000,-138000,-614000,-456000,4984000,4984000,-313000,4671000,6951000,3239000,8057000,0.32525,0.11093,0.079,0.02713,0.01921,1.8416,3.2145,0.41206,0.01422,0.67256,0.66814,8.5133,24.78893,1.23859,0.02862,0.04772,-6.92073,-7.83103
"17","2015_Q1",30.4711475409836,"Down",62223000,-42171000,20052000,-12940000,-12940000,7112000,-648000,-45000,2000,-605000,6464000,6908000,-2045000,4863000,4863000,4863000,4863000,53846000,53846000,45435000,45435000,95992000,13419000,3127000,1365000,208692000,11505000,31051000,-19546000,16734000,5154000,8974000,28239000,236931000,62826000,40464000,22362000,705000,705000,66803000,5483000,4490000,5483000,72286000,56625000,111580000,-3560000,164645000,164645000,236931000,4863000,950000,1546000,-3139000,4220000,-254000,-255000,-509000,-391000,3320000,3320000,-819000,2501000,8062000,3272000,6714000,0.32226,0.1143,0.07815,0.02954,0.02052,1.38063,3.12399,0.43904,0.01381,0.74723,0.74142,9.561,25.29886,1.03165,0.03068,0.03872,-6.27313,-7.11108
"18","2015_Q2",30.0890476190476,"Down",50972000,-34425000,16547000,-10454000,-10454000,6093000,-290000,-48000,65000,-307000,5803000,5803000,-2037000,3766000,3766000,3766000,3766000,59855000,59855000,37234000,37234000,91104000,19112000,7455000,1282000,207305000,10995000,30131000,-19136000,15024000,4886000,7765000,26019000,233324000,58041000,40853000,17188000,1269000,1269000,62508000,5551000,4357000,5551000,68059000,57072000,114889000,-6696000,165265000,165265000,233324000,3766000,726000,20000.0000000002,3973000,8485000,-270000,-358000,-628000,-266000,7591000,7591000,-1582000,6009000,6819000,3198000,12559000,0.32463,0.11954,0.07388,0.02279,0.01614,3.33484,3.31646,0.41182,0.01371,0.57734,0.5733,7.8142,25.33574,1.92534,0.02427,0.07217,-8.3087,-9.2987
"19","2015_Q3",27.64984375,"Down",50183000,-33624000,16559000,-10850000,-10850000,5709000,130000,-35000,6000,159000,5839000,5839000,-1878000,3961000,3961000,3961000,3961000,64720000,64720000,35460000,35460000,92446000,15423000,3518000,1593000,208049000,11345000,31078000,-19733000,15002000,5029000,7613000,26347000,234396000,54038000,37775000,16263000,1116000,1116000,58380000,5612000,4391000,5612000,63992000,57451000,118325000,-5372000,170404000,170404000,234396000,3961000,721000,3473000,-2157000,5998000,-733000,-370000,-1103000,-459000,4436000,4436000,429000,4865000,6430000,3226000,5418000,0.32997,0.11376,0.07893,0.02324,0.0169,1.36784,3.5637,0.37553,0.01376,0.60501,0.60134,7.66504,26.0278,0.82755,0.02503,0.03023,-9.56361,-10.77141
"20","2015_Q4",23.96015625,"Down",52535000,-35905000,16630000,-11351000,-11351000,5279000,-23000,-16000,4000.00000000001,-11000,5256000,5256000,-1573000,3683000,3683000,3683000,3683000,49998000,49998000,36354000,36354000,111978000,14061000,2399000,1521000,212391000,12290000,34416000,-22126000,15224000,5148000,7761000,27514000,239905000,59485000,43032000,16453000,1340000,1340000,62436000,5790000,4679000,5790000,68226000,57763000,121482000,-7566000,171679000,171679000,239905000,3683000,809000,-42000,1918000,6368000,-455000,-335000,-18440000,-2139000,-14211000,-14211000,-511000,-14722000,6088000,1611000,9124000,0.31655,0.10049,0.07011,0.02145,0.01535,2.47733,3.40174,0.3974,0.00672,0.56229,0.55837,8.02061,26.21053,1.39298,0.0235,0.05095,-7.94793,-9.16594
"21","2016_Q1",24.6655737704918,"Up",65693000,-46338000,19355000,-12632000,-12632000,6723000,-542000,-23000,3000,-522000,6181000,6655000,-1851000,4804000,4804000,4804000,4804000,55237000,55237000,41766000,41766000,106308000,12801000,1228000,1804000,216112000,13142000,35504000,-22362000,19323000,5194000,11810000,32465000,248577000,62432000,41678000,20754000,1071000,1071000,65086000,8923000,4925000,8923000,74009000,58194000,125760000,-9386000,174568000,174568000,248577000,4804000,966000,-514000,2437000,7693000,-1607000,-35000,-1642000,-399000,5652000,5652000,-413000,5239000,7689000,1583000,10370000,0.29463,0.10234,0.07313,0.02752,0.01933,2.15862,3.32041,0.42396,0.00637,0.73321,0.72175,10.0264,26.64347,1.58272,0.0288,0.05603,-6.97802,-7.98066
"22","2016_Q2",28.47234375,"Up",56503000,-38805000,17698000,-11961000,-11961000,5737000,-133000,-9000,102000,-226000,5604000,5604000,-1709000,3895000,3895000,3895000,3895000,51786000,51786000,38402000,38402000,109294000,13937000,1596000,2008000,213419000,13019000,35574000,-22555000,19582000,5299000,11997000,32601000,246020000,59315000,43543000,15772000,1631000,1631000,62467000,8450000,4850000,8450000,70917000,58529000,129130000,-12556000,175103000,175103000,246020000,3895000,962000,977000,-6568000,-734000,-631000,-477000,-1108000,-524000,-2366000,-2366000,-1085000,-3451000,6699000,1521000,1209000,0.31322,0.10153,0.06893,0.02224,0.01583,0.3104,3.41651,0.405,0.00618,0.59393,0.5881,8.61589,26.70067,0.18435,0.02388,0.00653,-7.50336,-8.76155
"23","2016_Q3",25.6184375,"Down",52029000,-35419000,16610000,-11943000,-11943000,4667000,232000,-18000,4000,246000,4899000,4899000,-1225000,3674000,3674000,3674000,3674000,45325000,45325000,40302000,40302000,122736000,12882000,588000,1695000,221245000,12904000,35712000,-22808000,20359000,5660000,12296000,33263000,254508000,62031000,46073000,15958000,2258000,2258000,65834000,7927000,5079000,7927000,73761000,58953000,132209000,-10415000,180747000,180747000,254508000,3674000,972000,-268000,-10564000,-6186000,-278000,-645000,-923000,-596000,-7705000,-7705000,1244000,-6461000,5639000,1545000,-3978000,0.31925,0.0897,0.07061,0.02033,0.01444,-1.08274,3.36065,0.40809,0.00607,0.55921,0.55323,7.91918,27.51096,-0.60548,0.02244,-0.02091,-7.76379,-9.38076
"24","2016_Q4",27.1261904761905,"Up",52403000,-36268000,16135000,-12042000,-12042000,4093000,-253000,-11000,3999.99999999999,-246000,3840000,3840000,-1120000,2720000,2720000,2720000,2720000,42201000,42201000,37099000,37099000,126170000,13844000,2019000,1793000,219314000,12627000,35334000,-22707000,19880000,5851000,11678000,32507000,251821000,58879000,42873000,16006000,776000,776000,61158000,7744000,4188000,7744000,68902000,59377000,134337000,-10795000,182919000,182919000,251821000,2720000,962000,21000,-4766000,-1063000,-428000,-527000,-955000,-592000,-2610000,-2610000,-514000,-3124000,5055000,1503000,981000.000000001,0.3079,0.07811,0.05191,0.01487,0.0108,0.36066,3.58602,0.37668,0.00597,0.41381,0.40933,7.97246,27.82885,0.14925,0.01724,0.0051,-8.05104,-9.94332
"25","2017_Q1",27.1229032258064,"Down",66354000,-46357000,19997000,-14878000,-14878000,5119000,-1043000,6000,39000,-1088000,4076000,4542000,-1539000,3003000,3003000,3003000,3003000,41217000,41217000,48631000,48631000,117025000,11508000,1725000,1576000,218381000,12297000,35195000,-22898000,21271000,6076000,12881000,33568000,251949000,55954000,37200000,18754000,538000,538000,57968000,8506000,4212000,8506000,66474000,59776000,136742000,-11043000,185475000,185475000,251949000,3003000,972000,2354000,-5063000,1266000,-371000,-556000,-927000,-744000,-405000,-405000,-579000,-984000,6091000,1476000,2196000,0.30137,0.07715,0.04526,0.01619,0.01192,0.73127,3.76727,0.3584,0.00586,0.45673,0.45097,10.09186,28.20913,0.33399,0.01842,0.01124,-6.52454,-7.76343
"26","2017_Q2",27.8168253968254,"Up",48744000,-36158000,12586000,-11167000,-11167000,1419000,2999.99999999988,-10000,64000,-51000,1422000,1422000,-543000,879000,879000,879000,879000,55140000,55140000,31848000,31848000,117762000,13238000,2021000,1957000,217988000,12423000,35918000,-23495000,21416000,6228000,12909000,33839000,251827000,54275000,40266000,14009000,489000,489000,56217000,9062000,4444000,9062000,65279000,60127000,137029000,-10608000,186548000,186548000,251827000,879000,959000,484000,13674000,15996000,-798000,-482000,-1280000,-1065000,13651000,13651000,272000,13923000,2378000,1453000,15797000,0.25821,0.02911,0.01803,0.00471,0.00349,17.97156,3.87762,0.34993,0.00577,0.13353,0.13182,7.40453,28.33784,2.39967,0.00746,0.08016,-22.57653,-37.83439
"27","2017_Q3",32.452380952381,"Up",58222000,-41154000,17068000,-11714000,-11714000,5354000,-241000,-17000,16000,-240000,5113000,5113000,-1467000,3646000,3646000,3646000,3646000,60614000,60614000,35831000,35831000,118853000,11802000,1227000,2056000,227100000,12139000,36514000,-24375000,22130000,6607000,13225000,34269000,261369000,58189000,43957000,14232000,517000,517000,60157000,9078000,4586000,9078000,69235000,60691000,140014000,-8571000,192134000,192134000,261369000,3646000,823000,722000,1023000,6214000,-2e+05,-626000,-826000,-392000,4996000,4996000,478000,5474000,6177000,1451000,8467000,0.29315,0.09196,0.06262,0.01898,0.01395,2.32227,3.77512,0.36035,0.00555,0.551,0.54654,8.79885,29.03642,1.27958,0.02125,0.04178,-9.57795,-11.05024
"28","2017_Q4",40.0093650793651,"Up",60770000,-43229000,17541000,-12395000,-12395000,5146000,96000,-7000,5000,98000,5242000,5242000,-1353000,3889000,3889000,3889000,3889000,61145000,61145000,39258000,39258000,128231000,10834000,382000,2445000,239468000,12345000,37457000,-25112000,22664000,7006000,13181000,35009000,274477000,63211000,48560000,14651000,4698000,4698000,69396000,8113000,4860000,8113000,77509000,61133000,143236000,-7401000,196968000,196968000,274477000,3889000,936000,-1485000,-1388000,1952000,-668000,-593000,-1261000,-667000,24000.0000000009,24000.0000000009,507000,531000,6082000,1487000,5379000,0.28865,0.08468,0.064,0.01974,0.01417,1.38313,3.45075,0.39351,0.00542,0.58711,0.58088,9.17421,29.73551,0.81205,0.02206,0.02604,-9.80894,-11.59308
"29","2018_Q1",41.3245901639344,"Up",75931000,-52562000,23369000,-14385000,-14385000,8984000,-550000,-16000,53000,-587000,8434000,8939000,-2238000,6701000,6701000,6701000,6701000,66307000,66307000,50094000,50094000,119948000,10066000,596000,1557000,246415000,12181000,37348000,-25167000,19212000,7302000,9470000,31393000,277808000,65288000,45127000,20161000,1732000,1732000,68527000,6196000,6196000,6196000,74723000,62008000,149267000,-8190000,203085000,203085000,277808000,6701000,898000,1293000,-2682000,6210000,-515000,-146000,-661000,-227000,5322000,5322000,-160000,5162000,9882000,1507000,8923000,0.30777,0.11832,0.08825,0.033,0.02412,1.33159,3.59588,0.36794,0.00542,1.0098,1.00224,11.44228,30.60353,1.34464,0.03497,0.04233,-6.55738,-7.21282
"30","2018_Q2",42.52203125,"Up",68444000,-48323000,20121000,-12966000,-12966000,7155000,282000,-2000,116000,168000,7437000,7437000,-4500000,2937000,2937000,2937000,2937000,80236000,80236000,41614000,41614000,131526000,12195000,1364000,2726000,265571000,12720000,38970000,-26250000,22502000,7687000,12229000,35222000,300793000,76654000,57603000,19051000,4156000,4156000,82400000,8297000,6355000,8297000,90697000,63049000,151536000,-4489000,210096000,210096000,300793000,2937000,888000,1079000,9558000,14462000,-797000,-625000,-1422000,-678000,12362000,12362000,1567000,13929000,8043000,1590000,21304000,0.29398,0.10454,0.04291,0.01398,0.00976,7.25366,3.22295,0.43169,0.00529,0.44106,0.43543,10.27842,31.55068,3.19928,0.01639,0.09684,-9.77819,-10.99175
"31","2018_Q3",40.7333333333333,"Down",70424000,-51111000,19313000,-13320000,-13320000,5993000,-586000,-13000,6000,-579000,5407000,5407000,-1656000,3751000,3751000,3751000,3751000,76376000,76376000,42308000,42308000,134850000,13049000,959000,3324000,266583000,12773000,38948000,-26175000,22244000,7869000,11853000,35017000,301600000,77435000,59002000,18433000,1877000,1877000,80891000,8404000,6186000,8404000,89295000,63740000,154545000,-5980000,212305000,212305000,301600000,3751000,1023000,623000,-6402000,-1005000,-791000,-597000,-1388000,-723000,-3116000,-3116000,-744000,-3860000,7016000,1579000,1479000,0.27424,0.0851,0.05326,0.01767,0.01244,0.39429,3.29558,0.4206,0.00524,0.55943,0.55316,10.50321,31.66368,0.22058,0.02021,0.00665,-10.66092,-12.48073
