"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2019_Q1",60.5813114754098,"Up",174360000,-62532000,111828000,-59166000,-30002000,-9313000,-19851000,52662000,-18657000,-12820000,-5837000,34005000,80000,34085000,-5307000,28778000,28778000,-3983000,24795000,24795000,289431000,289431000,5122000,55027000,50080000,388540000,114367000,850509000,234330000,199513000,414841000,1825000.00000001,964876000,1353416000,87577000,30428000,57149000,1.2e+07,31826000,23488000,8338000,131403000,1170210000,434592000,26374000,405915000,1604802000,1736205000,19742000,-394410000,94000,-374574000,-8215000,-382789000,1353416000,28778000,9313000,12703000,-10281000,40513000,-22259000,-22259000,-3012000.00000006,-303166000,-306151000,-287897000,-287897000,-610000,-288507000,61975000,1182210000,34742000,0.64136,0.30203,0.14221,-0.06477,0.01832,1.40117,2.95686,-4.53567,0.8735,0.28913,0.28662,2.03316,-4.36779,0.40512,0.02015,0.02815,14.40547,16.953
"15","2019_Q2",75.3480952380952,"Up",148817000,-34486000,114331000,-60778000,-29966000,-9907000,-20905000,53553000,-16269000,-12951000,-3318000,37284000,-368000,36916000,-5277000,31639000,31639000,-4230000,27409000,27409000,335961000,335961000,3445000,59111000,51857000,417436000,114676000,977480000,228663000,199513000,431947000,117357000,1092156000,1509592000,71504000,23060000,48444000,1.2e+07,50971000,25920000,25051000,134475000,1272953000,456206000,27652000,426756000,1729159000,1863634000,22586000,-368714000,148000,-345980000,-8062000,-354042000,1509592000,31639000,9907000,8432000,7956000,57934000,-7450000,-7450000,-3012000,-1842000,-4267000,46217000,46217000,250000,46467000,63460000,1284953000,69243000,0.76827,0.35986,0.18418,-0.07742,0.01816,2.52629,3.10419,-5.26388,0.85119,0.32705,0.32466,1.77574,-4.12837,0.82623,0.01977,0.04992,14.95418,17.72061
"16","2019_Q3",70.46875,"Down",181661000,-54391000,127270000,-62126000,-31386000,-10577000,-20163000,65144000,-14101000,-12657000,-1444000,51043000,122000,51165000,-11338000,39827000,39827000,-4983000,34844000,34844000,330550000,330550000,2513000,64494000,54426000,424123000,118517000,980827000,231425000,206752000,425647000,117003000,1099344000,1523467000,64341000,16277000,48064000,1.2e+07,49083000,27076000,22007000,125424000,1270540000,441875000,29648000,410353000,1712415000,1837839000,24504000,-333870000,251000,-309115000,-5257000,-314372000,1523467000,39827000,10577000,10321000,-36155000,24570000,-11421000,-26222000,-3015000,-1900000,-4120000,-5771999.99999994,-5771999.99999994,292000,-5480000.00000006,75721000,1282540000,39483000,0.70059,0.3586,0.19181,-0.11084,0.02287,1.13314,3.38151,-5.84606,0.84186,0.4141,0.41064,2.15892,-3.67362,0.46923,0.02479,0.028,12.57234,14.61363
"17","2019_Q4",67.38734375,"Down",166814000,-46194000,120620000,-67705000,-33578000,-11832000,-22295000,52915000,-13061000,-12999000,-62000,39854000,147000,40001000,-10309000,29692000,29692000,-3915000,25777000,25777000,219752000,219752000,2612000,54508000,45859000,306270000,131454000,982508000,227575000,206752000,418745000,129436000,1113962000,1420232000,74280000,23037000,51243000,1.2e+07,49641000,24638000,25003000,135921000,1282695000,443733000,31532000,410134000,1726428000,1862349000,27249000,-466032000,189000,-438594000,-3523000,-442117000,1420232000,29692000,11832000,8893000,19816000,70233000,-18183000,-18483000,-3032000,-159702000,-162453000,-110703000,-110703000,-172000,-110875000,64747000,1294695000,76689000,0.72308,0.31721,0.15453,-0.0583,0.01815,2.97509,2.25329,-4.21234,0.91161,0.31001,0.30766,2.00618,-5.27473,0.9223,0.01996,0.05916,16.60221,20.31452
"18","2020_Q1",69.73,"Up",191511000,-59378000,132133000,-68816000,-34041000,-12030000,-22745000,63317000,-16475000,-15192000,-1283000,46842000,-1747000,45095000,-10840000,34255000,34255000,-4590000,29665000,29665000,436256000,436256000,877000,60737000,51765000,540138000,145481000,1031571000,233921000,227821000,412293000,157536000,1177052000,1717190000,79358000,21267000,58091000,17500000,48620000,27596000,21024000,145478000,1687505000,591961000,34458000,556387000,2279466000,2424944000,29829000,-736587000,303000,-706455000,-1299000,-707754000,1717190000,34255000,12030000,11728000,-6439000,51574000,-21027000,-58539000,546966000,145431000,235188000,228223000,228223000,321000,228544000,75347000,1705005000,58721000,0.68995,0.33062,0.1549,-0.04191,0.01728,1.97947,3.71285,-3.42625,0.9929,0.3671,0.36437,2.36995,-8.74239,0.72667,0.01868,0.03695,16.83875,20.03805
"19","2020_Q2",60.0366666666667,"Down",127231000,-21846000,105385000,-71107000,-32158000,-12792000,-26157000,34278000,-1.9e+07,-18313000,-687000,15278000,-11000,15267000,-4884000,10383000,10383000,-1776000,8607000,8607000,547494000,547494000,2820000,93074000,85811000,664470000,145114000,1066052000,229709000,227821000,456322000,152200000,1211166000,1875636000,85171000,37640000,47531000,17500000,77493000,53593000,23900000,180164000,1907733000,479908000,34193000,444576000,2387641000,2567805000,36469000,-727946000,-306000,-691783000,-386000,-692169000,1875636000,10383000,12792000,7125000,42822000,73122000,-8975000,-8975000,70584000,-1600000,69418000,133565000,133565000,-1640000,131925000,47070000,1925233000,85801000,0.8283,0.26942,0.06765,-0.01243,0.00459,9.96875,3.68814,-3.70979,1.02644,0.10881,0.10796,1.60852,-8.7459,1.08474,0.00506,0.05009,29.27,40.1931
"20","2020_Q3",57.4984375,"Down",40233000,-8476999.99999999,31756000,-54462000,-26773000,-13008000,-14681000,-22706000,-20182000,-20109000,-73000,-42888000,-15000,-42903000,10918000,-31985000,-31985000,2808000,-29177000,-29177000,423553000,423553000,2778000,139899000,127739000,581481000,149624000,1068932000,225498000,227821000,458196000,157417000,1218556000,1800037000,62140000,11461000,50679000,17500000,54938000,32147000,22791000,134578000,1911454000,475705000,33585000,440558000,2387159000,2521737000,38909000,-757139000,-57000,-718287000,-3413000,-721700000,1800037000,-31985000,13008000,-5221000,-61908000,-86106000,-12017000,-12017000,-4418000,2.98023223876953e-08,-3443000,-101566000,-101566000,806000,-100760000,-9698000,1928954000,-94541000,0.7893,-0.56436,-0.7252,0.04043,-0.01621,3.24026,4.32077,-3.49416,1.07162,-0.36487,-0.36774,0.50313,-8.98241,-1.18226,-0.01727,-0.05618,-155.22799,-66.2997
"21","2020_Q4",69.935,"Up",105383000,-15302000,90081000,-73459000,-38452000,-13636000,-21371000,16622000,-20361000,-20337000,-24000,-3739000,-580000,-4319000,1035000,-3284000,-3284000,173000,-3111000,-3111000,419658000,419658000,1806000,127767000,102457000,561130000,159053000,1081369000,221286000,227821000,467229000,165033000,1240422000,1801552000,53479000,19783000,33696000,17500000,49386000,23921000,25465000,120365000,1919563000,484543000,33002000,450347000,2404106000,2524471000,40680000,-760268000,-38000,-719626000,-3293000,-722919000,1801552000,-3284000,13636000,-1637000,2154000,10869000,-15445000,-15445000,-4409000,-58000,-4222000,-8798000,-8798000,440000,-8358000,30258000,1937063000,15932000,0.8548,0.15773,-0.02952,0.0043,-0.00173,-5.12118,4.6619,-3.49205,1.07522,-0.03878,-0.03878,1.31359,-8.9701,0.19859,-0.0018,0.00938,50.14889,91.28895
"22","2021_Q1",79.3781967213115,"Up",133771000,-25330000,108441000,-72441000,-32457000,-14396000,-25588000,3.6e+07,-14734000,-20421000,5687000,21266000,-3828000,17438000,-7756000,9682000,9682000,-992000,8690000,8690000,439478000,439478000,473000,110418000,93076000,566816000,160677000,1122244000,217075000,227821000,511200000,166148000,1282921000,1849737000,41430000,19388000,22042000,17500000,52965000,26691000,26274000,111895000,1751426000,692089000,32587000,658621000,2443515000,2555410000,45682000,-751578000,27000,-705869000,196000,-705673000,1849737000,9682000,14396000,11567000,-2392000,33253000,-15841000,-15841000,-4422000,-163999.999999998,-3903000,13509000,13509000,689000,14198000,50396000,1768926000,39919000,0.81065,0.26912,0.0649600000000001,-0.01231,0.0047,4.59367,5.06561,-3.62124,0.95631,0.10608,0.10608,1.63289,-8.61625,0.48727,0.00495,0.02274,26.38003,36.92911
"23","2021_Q2",79.5860317460318,"Up",111877000,-7985000,103892000,-76624000,-35243000,-15474000,-25907000,27268000,-19862000,-20027000,165000,7406000,2138000,9544000,-3354000,6190000,6190000,-609000,5581000,5581000,445606000,445606000,468000,103096000,85101000,556194000,161731000,1122059000,212916000,227821000,517867000,163455000,1308790000,1864984000,39706000,14561000,25145000,17500000,57983000,35909000,22074000,115189000,1748622000,697851000,32203000,664827000,2446473000,2561662000,48284000,-745997000,38000,-697675000,997000,-696678000,1864984000,6190000,15474000,5389000,-3530000,23523000,-6359000,-31359000,-4428000,1399498.49756917,-4084000,-11920000,-11920000,53000,-11867000,42742000,1766122000,36207000,0.92863,0.24373,0.04989,-0.00801,0.00299,6.48755,4.82853,-3.67697,0.94699,0.06717,0.06667,1.34655,-8.39722,0.43579,0.00316,0.02049,30.89504,48.42731
"24","2021_Q3",75.99828125,"Down",137251000,-18497000,118754000,-112546000,-69080000,-15036000,-28430000,6208000,-20077000,-19930000,-147000,-13869000,282000,-13587000,-5159000,-18746000,-18746000,-1006000,-19752000,-19752000,469137000,469137000,1197000,95441000,78432000,581255000,160071000,1123273000,208757000,227821000,513354000,173341000,1318344000,1899599000,52681000,18124000,34557000,17500000,64898000,34773000,30125000,135079000,1745831000,698059000,31900000,665392000,2443890000,2578969000,50926000,-731987000,56000,-681005000,1635000,-679370000,1899599000,15016000,15036000,8606000,12085000,50743000,-13035000,-23035000,-4426000,-145000,-4337000,23371000,23371000,67000,23438000,42850513.3354423,1763331000,25649572.204648,0.901505189795801,0.254665446599813,0.0420527385190518,0.0100912464813573,0.00147614842144206,5.62580548069853,4.30307,-3.79612,0.92826,0.0183960241281972,0.0179847776690382,1.46757952784419,-9.40043563776039,0.308530808009033,0.00159118729304383,0.0172929813249128,39.4647018222274,56.8668753967691
"25","2021_Q4",85.315,"Up",154255000,-27097000,127158000,-48792000,-4793000,-16248000,-27751000,78366000,-19440000,-20117000,677000,58926000,-57000,58869000,-6475000,52394000,52394000,-1189000,51205000,51205000,527346000,527346000,4099000,86530000,68743000,629112000,162378000,1122258000,204598000,227821000,510255000,179584000,1320585000,1949697000,67201000,21703000,45498000,17500000,75484000,31120000,44364000,160185000,1743054000,704863000,31641000,672498000,2447917000,2608102000,53979000,-714544000,12000,-660553000,2148000,-658405000,1949697000,18632000,16248000,8520000,31824000,75224000,-12378000,-12378000,-4417000,-525000,-4604000,58242000,58242000,-139000,58103000,52027728.0012654,1760554000,15564163.3227888,0.774479913877481,0.258623867959888,0.020776643111431,0.0195447478888144,0.00140708905286524,5.14833628841912,3.92741,-3.96124,0.90299,0.00823041447691833,0.00799566660142292,1.89216611670652,-9.98859278265624,0.18738208480542,0.0015347123758263,0.0131827887949477,28.4567260933364,38.2690168380615
"26","2022_Q1",86.8170967741935,"Up",183640000,-47414000,136226000,-89536000,-44866000,-16042000,-28628000,46690000,-32235000,-20259000,-11797000,14455000,-17500000,-3044999.99999999,9329000,6284000.00000001,6284000.00000001,-544000,5739999.99999999,5739999.99999999,573166000,545909000,1155000,88093000,71551000,662414000,173687000,1161122000,200937000,228569000,539264000,192352000,1353569000,2015983000,99908000,27892000,72016000,17500000,59202000,28351000,30851000,176610000,1740273000,741945000,33428000,708517000,2482218000,2658828000,63437000,-708804000,12000,-645355000,2510000,-642845000,2015983000,6284000,16042000,22154000,-4681000,39799000,-22256000,-24144000,-4410999.99999999,-79999.9999999995,2778999.99999999,18434000,18434000,33000,18467000,62732000,1757773000,26466000,0.74181,0.25425,0.03126,-0.00893,0.00285,4.6108,3.75072,-4.13603,0.87192,0.06893,0.06843,2.20525,-7.74978,0.31782,0.00309,0.01425,18.88362,25.37175
"27","2022_Q2",73.8937096774194,"Down",186676000,-22361000,164315000,-118591000,-45373000,-25683000,-47535000,45724000,-18570000,-22422000,4090000,27154000,2933000,30087000,-11711000,18376000,18376000,-1912000,16464000,16464000,484062000,471176000,1745000,129828000,107683000,615635000,332935000,2022749000,475419000,696299000,493834000,357197000,2376767000,2992402000,108233000,24147000,84086000,95750000,122020000,64178000,57842000,326003000,1989533000,887804000,32607000,854287000,2877337000,3203340000,479544000,-692340000,97000,-212699000,1761000,-210938000,2992402000,18376000,25683000,11755000,2196000,58010000,-23872000,-449706000,340698000,-17006000,324217000,-67479000,-67479000,206000,-67273000,71407000,2085283000,61442000,0.88021,0.24494,0.0882,-0.07805,0.0055,3.7319,1.88843,-15.18617,0.69686,0.19695,0.19565,2.23307,-2.54437,0.73499,0.00596,0.02224,22.42387,35.01927
"28","2022_Q3",76.48275,"Up",224442000,-32544000,191898000,-135625000,-47091000,-32172000,-56362000,56273000,-21451000,-21505000,148000,34822000,-1181000,33641000,-8570000,25071000,25071000,-2729000,22342000,22342000,406785000,383511000,3040000,113557000,96876000,523382000,334661000,2004857000,441278000,714153000,487694000,361732000,2360704000,2884086000,114199000,22312000,91887000,20750000,128607000,63446000,65161000,263556000,1985730000,863808000,33032000,829890000,2849538000,3113094000,529035000,-714297000,-110000,-185372000,-43636000,-229008000,2884086000,25071000,32172000,11954000,-16944000,52253000,-17491000,-16597000,-80268000,-1210000,-125626000,-89970000,-89970000,-425000,-90395000,88445000,2006480000,62580000,0.855,0.25072,0.09954,-0.09756,0.00775,2.801,1.98585,-13.59382,0.69571,0.26344,0.26224,2.64641,-2.18573,0.73788,0.00846,0.02369,18.08689,28.4274
