"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2014_Q2",13.5601587301587,"Down",468583000,-269039000,199544000,-198115000,-44433000,-23831000,-129851000,1429000,-3947000,-4491000,544000,-2518000,-2518000,383000,-136000,-136000,-136000,-136000,203686000,203686000,20278000,20278000,149224000,112989000,57510000,486177000,302400000,591705000,461740000,21287000,64347000,894105000,1380282000,194581000,65651000,128930000,369033000,15000,153129000,153129000,153144000,522177000,338195000,496319000,23591000,858105000,858105000,1380282000,-136000,22157000,3899000,-10164000,15756000,-11456000,-8488000,-5103000,2165000,2165000,1033000,3198000,23586000,174467000,1583000,0.42585,0.00305,-0.00029,-0.000160000000000006,-0.000100000000000004,-11.63971,1.31744,0.60852,0.1264,-0.00241,-0.00241,8.30924,15.21652,0.02807,0.00275,0.00134000000000001,-1.23883,-20.44717
"18","2014_Q3",15.01234375,"Up",468367000,-273874000,194493000,-194214000,-40205000,-24641000,-129368000,279000,-4827000,-5166000,339000,-4548000,-39487000,-72338000,-109085000,-109085000,-109085000,-109085000,339418000,339418000,24584000,24584000,147188000,77338000,57189000,588528000,290378000,555160000,425332000,20642000,64219000,845538000,1434066000,195443000,54348000,141095000,369586000,120010000,200832000,200832000,320842000,690428000,338214000,383885000,21539000,743638000,743638000,1434066000,-109085000,19962000,108875000,13721000,33473000,-12464000,-10376000,112916000,136013000,136013000,-281000,135732000,20241000,294153000,93836000,0.41526,0.000599999999999999,-0.2329,-0.14669,-0.07607,-0.86021,1.5924,0.92845,0.20512,-1.93286,-1.93286,8.29894,13.17643,1.66267,-0.08533,0.07576,-2.2363,-162.24014
"19","2014_Q4",16.3996875,"Up",471561000,-272490000,199071000,-202292000,-43120000,-28343000,-130829000,-3221000,-6038000,-6299000,261000,-9259000,-9259000,-857000,-10093000,-9484000,-9484000,-9484000,360800000,360800000,24312000,24312000,143742000,75474000,55973000,604328000,273168000,549843000,423704000,19959000,61185000,823011000,1427339000,200465000,62400000,138065000,374293000,120005000,199814000,199814000,319819000,694112000,339479000,374417000,19331000,733227000,733227000,1427339000,-9484000,19421000,13304000,11244000,34485000,-11058000,-11058000,-1782000,21645000,21645000,-263000,21382000,16200000,293833000,17243000,0.42215,-0.00683,-0.02011,-0.01293,-0.00664000000000001,-1.81811,1.61459,0.94665,0.20586,-0.16794,-0.16794,8.3502,12.98367,0.30533,-0.00773,0.01405,-4.13377,20.79075
"20","2015_Q1",16.3154098360656,"Down",483926000,-278815000,205111000,-203617000,-45035000,-22918000,-135664000,1494000,-5526000,-6334000,808000,-4032000,-4032000,-143000.000000007,-20560000,-19816000,-19816000,-19816000,378627000,378627000,25808000,25808000,137151000,71680000,65219000,613266000,266538000,536145000,425264000,19812000,62458000,802683000,1415949000,213035000,68491000,144544000,386536000,120002000,195419000,195419000,315421000,701957000,340670000,350671000,22651000,713992000,713992000,1415949000,-19816000,19866000,25076000,7915000,33041000,-14447000,-14462000,-1824999.99999999,16754000,16754000,425000,17179000,21360000,293503000,14971000,0.42385,0.00309,-0.04095,-0.02775,-0.01399,-0.7555,1.58657,0.98314,0.20728,-0.34995,-0.34995,8.54615,12.60913,0.26439,-0.01647,0.01245,-3.98521,-56.97724
"21","2015_Q2",16.6992063492063,"Up",464551000,-268664000,195887000,-196641000,-45185000,-22188000,-129268000,-754000,-3225000,-3098000,-127000,-3979000,-3979000,-6256000,-9843000,-9843000,-9843000,-9843000,186257000,186257000,22085000,22085000,143328000,69990000,69990000,421660000,253072000,535196000,423278000,19004000,63575000,788268000,1209928000,208777000,71280000,137497000,208791000,1.2e+08,194292000,194292000,314292000,523083000,320396000,348420000,18029000,686845000,686845000,1209928000,-9843000,18122000,11035000,-3281000,16033000,-11625000,-11625000,-195269000,-190861000,-190861000,-1509000,-192370000,17368000,120014000,8718000,0.42167,-0.00162,-0.02119,-0.01433,-0.00814,-0.88571,2.01953,0.76157,0.09919,-0.17658,-0.17658,8.3338,12.32164,0.1564,-0.00983,0.00871,-3.81408,87.85544
"22","2015_Q3",13.69390625,"Down",455887000,-268049000,187838000,-188509000,-46667000,-19583000,-122259000,-671000,-1428000,-2472000,1044000,-2099000,-2099000,-2592000,-16663000,-16663000,-16663000,-16663000,195820000,195820000,27253000,27253000,138073000,66345000,66345000,427491000,241493000,521452000,421632000,18271000,64223000,762945000,1190436000,210542000,63284000,147258000,210551000,1.2e+08,195168000,195168000,315168000,525719000,321610000,329301000,13806000,664717000,664717000,1190436000,-16663000,16697000,19082000,2480000,21596000,-9439000,-9439000,-1366000.00000006,10790999.9999999,10790999.9999999,-1228000,9563000,16026000,120009000,11659000,0.41203,-0.00147,-0.03655,-0.02507,-0.014,-0.69969,2.03034,0.79089,0.10081,-0.30222,-0.30222,8.26856,12.05617,0.21146,-0.017,0.0119,-4.7305,112.98212
"23","2015_Q4",15.1359375,"Up",453960000,-261947000,192013000,-186611000,-44082000,-19044000,-123485000,5402000,-1883000,-2273000,390000,3519000,3519000,-7997000,-4763000,-4763000,-4763000,-4763000,212951000,212951000,23993000,23993000,131883000,63972000,63972000,432799000,228195000,514329000,418158000,17283000,61864000,742524000,1175323000,207078000,63284000,143794000,207082000,1.2e+08,201661000,201661000,321661000,528743000,313993000,325632000,6955000,646580000,646580000,1175323000,-4763000,16659000,11699000,11103000,34698000,-6664000,-6664000,-10004000,18030000,18030000,-899000,17131000,22061000,120004000,34497000,0.42297,0.0119,-0.01049,-0.00737,-0.00405,-7.2427,2.08999,0.81775,0.1021,-0.08686,-0.08686,8.27835,11.79094,0.62908,-0.00492,0.03563,-4.21318,-17.20603
"24","2016_Q1",14.4924590163934,"Down",462889000,-264615000,198274000,-198720000,-50117000,-22048000,-126555000,-446000,-1973000,-2363000,390000,-2419000,-2419000,2240000,-1943000,-2573000,-2573000,-2573000,212279000,212279000,24631000,24631000,128610000,62762000,62762000,428282000,218157000,515576000,418953000,17069000,64233000,733733000,1162015000,216666000,63302000,153364000,216666000,1.2e+08,197905000,197905000,317905000,534571000,301079000,316859000,9506000,627444000,627444000,1162015000,-2573000,16781000,6987000,1222000,22417000,-7543000,-7855000,-15782000,-1220000,-1220000,548000,-672000,16335000,1.2e+08,7774000,0.42834,-0.000960000000000004,-0.00556,-0.0041,-0.00221,-3.02138,1.97669,0.85198,0.10327,-0.04743,-0.04743,8.53204,11.56515,0.14329,-0.00272,0.00822,-5.64916,206.90359
"25","2016_Q2",13.7428125,"Down",450130000,-260804000,189326000,-185050000,-44548000,-17855000,-122647000,4276000,-1410000,-2354000,944000,2866000,2866000,-2816000,-808000,-808000,-808000,-808000,176780000,176780000,24247000,24247000,140333000,62496000,62496000,403856000,206261000,510256000,416057000,16240000,63506000,716517000,1120373000,220928000,74125000,146803000,220928000,1.2e+08,198906000,198906000,318906000,539834000,259177000,316128000,5234000,580539000,580539000,1120373000,-808000,15205000,7681000,-9569000,12509000,-7927000,-8609000,-39075000,-35175000,-35175000,-324000,-35499000,19481000,1.2e+08,4801000,0.4206,0.0095,-0.0018,-0.00139,-0.000720000000000001,-5.94183,1.828,0.92988,0.10711,-0.01531,-0.01531,8.52632,10.99651,0.09094,-0.000900000000000001,0.00534,-2.91463,-13.27877
"26","2016_Q3",13.10890625,"Down",450467000,-267056000,183411000,-186294000,-47400000,-17030000,-121864000,-2883000,-1385000,-2382000,997000,-4268000,-4268000,4207000,-13986000,-13986000,-13986000,-13986000,130153000,130153000,27705000,27705000,141934000,63497000,63497000,363289000,196714000,494829000,414895000,15677000,63737000,691543000,1054832000,204861000,60515000,144346000,204861000,120060000,197037000,197037000,317097000,521958000,228989000,300986000,2899000,532874000,532874000,1054832000,-13986000,14639000,15645000,-16226000,72000,-6553000,-6814000,-39327000,-46069000,-46069000,-558000,-46627000,11756000,120060000,-15230000,0.40716,-0.00640000000000001,-0.03105,-0.02625,-0.01326,1.08895,1.77334,0.97951,0.11382,-0.29107,-0.29107,9.37496,11.08999,-0.31696,-0.01645,-0.01792,-0.85854,3.50087
"27","2016_Q4",13.4404761904762,"Up",442565000,-260046000,182519000,-176898000,-42606000,-16992000,-117300000,5621000,-1388000,-2405000,1017000,4233000,4233000,-6317000,-2084000,-2084000,-2084000,-2084000,141131000,141131000,23699000,23699000,139614000,56986000,56986000,361430000,186644000,486328000,417273000,15600000,52930000,672972000,1034402000,199663000,54229000,145434000,199663000,120248000,199320000,199320000,319568000,519231000,211517000,298949000,4705000,515171000,515171000,1034402000,-2084000,14417000,10789000,3887000,27009000,-6737000,4139000,-20015000,11133000,11133000,-155000,10978000,20038000,120248000,23505000,0.41241,0.0127,-0.00471,-0.00405,-0.00201,-11.27879,1.8102,1.00788,0.11625,-0.04435,-0.04435,9.41808,10.96318,0.5002,-0.0025,0.02816,-1.04217,-3.71518
"28","2017_Q1",13.0311290322581,"Down",-51229000,48926000,-2303000,19053000,-22458000,-1011000,42522000,16750000,-1333000,-2088000,755000,15417000,15417000,-4123000,11291000,5562000,5562000,5562000,147346000,147346000,24691000,24691000,134212000,51765000,51765000,358014000,183321000,494597000,417393000,15185000,62019000,677918000,1035932000,195315000,59884000,135431000,195315000,119606000,201610000,201610000,321216000,516531000,209783000,304550000,5068000,519401000,519401000,1035932000,5562000,12731000,8790000,-10887000,16196000,-8160000,-6103000,-4134000,5959000,5959000,256000,6215000,29481000,119606000,14557000,0.04496,-0.32696,-0.10857,0.01071,0.00537,2.61722,1.83301,0.99447,0.11546,0.12004,0.12004,-1.10565,11.20993,0.31418,0.00662,0.01732,-0.94095,-1.65612
"29","2017_Q2",10.2768253968254,"Down",318831000,-181612000,137219000,-126903000,-35916000,-12109000,-78878000,10316000,-1836000,-2163000,327000,8480000,8480000,-2740000,5740000,3281000,3281000,3281000,148531000,148531000,23068000,23068000,134584000,49916000,49916000,356099000,174769000,495045000,416780000,14685000,63580000,669814000,1025913000,181788000,59965000,121823000,181788000,119855000,203252000,203252000,323107000,504895000,210595000,307871000,2552000,521018000,521018000,1025913000,3281000,14040000,6076000,-11067000,12330000,-10770000,-9637000,-1054000,1639000,1639000,-454000,1185000,24356000,119855000,5259000,0.43038,0.03236,0.01029,0.0063,0.0032,1.60286,1.95887,0.96905,0.11683,0.07098,0.07037,6.89707,11.27086,0.11376,0.00389,0.00623,-1.17737,-2.77976
"30","2017_Q3",11.5173015873016,"Up",315249000,-185777000,129472000,-127070000,-36695000,-12646000,-77729000,2402000,-701000,-2153000,1452000,1701000,1701000,-719000,982000.000000001,-2219000,-2219000,-2219000,155642000,155642000,30742000,30742000,131386000,53093000,53093000,370863000,165644000,493720000,415900000,14309000,63511000,659364000,1030227000,186973000,59629000,127344000,186973000,120103000,204083000,204083000,324186000,511159000,213282000,305556000,230000,519068000,519068000,1030227000,-2219000,13549000,6653000,-2708000,15275000,-7298000,-7693000,-58999.9999999999,7523000,7523000,-412000,7111000,15951000,120103000,6664000,0.4107,0.00761999999999996,-0.00703999999999998,-0.00427,-0.00215,-3.00315,1.98351,0.98476,0.11658,-0.0479,-0.0479,6.80487,11.20444,0.14385,-0.00263,0.0079,-2.22801,-14.79559
