"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",88.1451612903226,"Up",1601558000,-796065000,805493000,-542175000,-542175000,263318000,-9336000,-9886000,-10451000,565000,550000,253982000,253982000,-94650000,159332000,159332000,159332000,159332000,422705000,422705000,222746000,152532000,2207454000,29945000,29945000,2882850000,2174084000,3190321000,-1016237000,792422000,744153000,48269000,2966506000,5849356000,1919403000,1863353000,56050000,275653000,262672000,2195409000,1095672000,299752000,107987000,191765000,1395424000,3590833000,1089963000,1088802000,1168560000,2258523000,2258523000,5849356000,159332000,44266000,15061000,5685000,14037000,-4661000,123009000,-1946000,-62115000,163535000,23535000,341668000,-65485000,529000,529000,-66014000,-66014000,1015000,-64470000,-524933000,14135000,-539068000,3842000,-222210000,54988000,54988000,54988000,307584000,1096025000,459758000,0.50294,0.16441,0.09949,0.07055,0.02724,2.88553,1.31313,1.5899,0.18738,1.34453,1.32239,13.5148,19.05862,3.87968,0.0436,0.12581,2.18906,2.55706
"12","2013_Q1",97.63,"Up",1488385000,-738001000,750384000,-527413000,-527413000,222971000,-10294000,-10887000,-11478000,591000,593000,212677000,212677000,-79875000,132802000,132802000,132802000,132802000,248128000,248128000,181174000,122989000,2276331000,27315000,27315000,2732948000,2211590000,3269570000,-1057980000,804649000,758410000,46239000,3016239000,5749187000,1983302000,1929112000,54190000,289341000,263937000,2272865000,1095734000,272281000,79544000,192737000,1368015000,3640880000,1085040000,1083910000,1023267000,2108307000,2108307000,5749187000,132802000,44610000,-10738000,5450000,-10250000,-5938000,51755000,27152000,-55198000,61617000,18184000,218429000,-82934000,444000,444000,-83378000,-83378000,-22847000,-105781000,-295378000,16391000,-311769000,8153000,-287225000,-174577000,-174577000,-174577000,267581000,1095956000,316277000,0.50416,0.14981,0.08923,0.06299,0.0231,2.38157,1.20242,1.72692,0.19063,1.16102,1.14242,13.01218,18.43183,2.76505,0.0382,0.09097,3.16849,3.80241
"13","2013_Q2",107.91125,"Up",1585009000,-786346000,798663000,-547579000,-547579000,251084000,-10455000,-10923000,-11400000,477000,468000,240629000,240629000,-86300000,154329000,154329000,154329000,154329000,205410000,205410000,204884000,153189000,2295846000,35048000,35048000,2741188000,2244074000,3342371000,-1098297000,804279000,758578000,45701000,3048353000,5789541000,2023052000,1.967e+09,56052000,325887000,256687000,2349022000,1095852000,272142000,83130000,189012000,1367994000,3717016000,1099038000,1097928000,973487000,2072525000,2072525000,5789541000,154329000,44179000,-5924000,5597000,-2691000,-8830000,33760000,-31844000,-19515000,37888000,47231000,226344000,-73129000,355000,355000,-73484000,-73484000,1029000,-72100000,-207605000,20325000,-227930000,10643000,-196962000,-42718000,-42718000,-42718000,295263000,1095935000,342194000,0.50389,0.15841,0.09737,0.07446,0.02666,2.2173,1.16695,1.79347,0.1893,1.38341,1.36097,14.20806,18.57817,3.06744,0.04486,0.09946,3.01604,3.54672
"14","2013_Q3",122.635625,"Up",1714969000,-843094000,871875000,-575614000,-575614000,296261000,-10134000,-10998000,-11467000,469000,864000,286127000,286127000,-1.09e+08,177127000,177127000,177127000,177127000,365930000,365930000,258112000,175877000,2345377000,35738000,35738000,3005157000,2302271000,3431756000,-1129485000,816218000,758537000,57681000,3118489000,6123646000,2115585000,2058859000,56726000,314644000,291487000,2430298000,1395922000,291283000,86854000,204429000,1687205000,4117503000,1103989000,1102900000,902154000,2006143000,2006143000,6123646000,177127000,45503000,2454000,5577000,2611000,-5734000,-12016000,-24837000,-49531000,91859000,-29507000,213068000,-102770000,323000,323000,-103093000,-103093000,1137000,-101633000,-256861000,17123000,-273984000,5970000,49085000,160520000,160520000,160520000,341764000,1395991000,335978000,0.50839,0.17275,0.10328,0.08829,0.02893,1.89682,1.23654,2.05245,0.22797,1.60619,1.58042,15.55132,18.19169,3.04665,0.04796,0.09097,3.01395,3.47687
"15","2013_Q4",126.46828125,"Up",1728025000,-848862000,879163000,-578783000,-578783000,300380000,-12091000,-12781000,-13295000,514000,690000,288289000,288289000,-101800000,186489000,186489000,186489000,186489000,363008000,363008000,214294000,141928000,2364538000,33933000,33933000,2975773000,2378398000,3524762000,-1146364000,813005000,758523000,54482000,3191403000,6167176000,2132555000,2075525000,57030000,306433000,295465000,2439056000,1396031000,296202000,96549000,199653000,1692233000,4131289000,1116787000,1115710000,919100000,2035887000,2035887000,6167176000,186489000,46389000,9422000,5311000,8581000,-4470000,38136000,32192000,-19160000,16666000,8438000,280436000,-122511000,423000,423000,-122934000,-122934000,1739000,-120772000,-167994000,17254000,-185248000,5408000,-162586000,-2922000,-2922000,-2922000,346769000,1396099000,364194000,0.50877,0.17383,0.10792,0.0916,0.03024,1.9529,1.22005,2.02923,0.22638,1.72186,1.69254,15.95488,18.79737,3.36261,0.05002,0.09769,2.97919,3.43928
"16","2014_Q1",143.118196721311,"Up",1621234000,-801934000,819300000,-563540000,-563540000,255760000,-11863000,-12380000,-12912000,532000,517000,243897000,243897000,-91550000,152347000,152347000,152347000,152347000,231318000,231318000,198123000,131504000,2375047000,30713000,30713000,2835201000,2425103000,3606837000,-1181734000,806904000,756225000,50679000,3232007000,6067208000,2114221000,2056521000,57700000,308722000,288500000,2423010000,1396141000,281736000,80713000,201023000,1677877000,4100887000,1119988000,1118929000,846333000,1966321000,1966321000,6067208000,152347000,47109000,-3663000,5237000,-6582000,-2318000,-7614999.99999997,7552000.00000001,-8670000,-19235000,12738000,188178000,-95740000,630000,630000,-96370000,-96370000,1491000,-94249000,-231218000,14648000,-245866000,5599000,-225619000,-131690000,-131690000,-131690000,302869000,1396208000,291064000,0.50536,0.15776,0.09397,0.07748,0.02511,1.91053,1.17012,2.08556,0.23012,1.42602,1.4009,15.17526,18.40539,2.72445,0.0418,0.07987,3.84618,4.55462
"17","2014_Q2",147.986031746032,"Up",1727943000,-850227000,877716000,-590596000,-590596000,287120000,-12160000,-12778000,-13409000,631000,618000,274960000,274960000,-101100000,173860000,173860000,173860000,173860000,511831000,511831000,211737000,142703000,2397042000,40663000,40663000,3161273000,2463099000,3676061000,-1212962000,805401000,756225000,49176000,3268500000,6429773000,2229522000,2160897000,68625000,368254000,294306000,2597850000,1396242000,272457000,75162000,197295000,1668699000,4266549000,1163476000,1162413000,999748000,2163224000,2163224000,6429773000,173860000,47477000,-14504000,5096000,-3796000,-15804000,138716000,-13016000,-21994000,104376000,69350000,345549000,-82798000,287000,287000,-83085000,-83085000,9e+05,-81898000,-970000,21097000,-22067000,17832000,16862000,280513000,280513000,280513000,334597000,1396316000,491615000,0.50795,0.16616,0.10062,0.08037,0.02704,2.82765,1.21688,1.97231,0.21716,1.63724,1.60877,16.27203,20.37107,4.62954,0.04537,0.12829,2.64343,3.08054
"18","2014_Q3",153.12734375,"Up",1847088000,-896211000,950877000,-614403000,-614403000,336474000,-11676000,-12313000,-12819000,506000,637000,324798000,324798000,-119151000,205647000,205647000,205647000,205647000,453431000,453431000,217220000,156605000,2462781000,38535000,38535000,3171967000,2528936000,3784741000,-1255805000,806973000,756349000,50624000,3335909000,6507876000,2369905000,2302282000,67623000,357150000,319506000,2727117000,1396362000,266816000,66065000,200751000,1663178000,4390295000,1169063000,1168016000,948518000,2117581000,2117581000,6507876000,205647000,47527000,-6135000,7041000,-8890000,-4286000,62937000,-15406000,-65740000,141385000,2698000,309976000,-111342000,502000,502000,-111844000,-111844000,935000,-110407000,-263950000,13638000,-277588000,5981000,-257969000,-58400000.0000001,-58400000.0000001,-58400000,384001000,1396424000,454747000,0.5148,0.18216,0.11134,0.09711,0.0316,2.2113,1.16312,2.07326,0.21457,1.94425,1.912,17.46292,20.02024,4.29931,0.05439,0.12028,2.4557,2.80257
"19","2014_Q4",175.78375,"Up",1876872000,-908671000,968201000,-624433000,-624433000,343768000,-11450000,-12432000,-12983000,551000,982000,332318000,332318000,-115321000,216997000,216997000,216997000,216997000,298283000,298283000,219852000,152779000,2517927000,34689000,34689000,3070751000,2601112000,3895165000,-1294053000,803313000,756335000,46978000,3404425000,6475176000,2474686000,2409054000,65632000,371212000,331528000,2845942000,1396488000,256340000,61789000,194551000,1652828000,4498770000,1169765000,1168741000,806641000,1976406000,1976406000,6475176000,216997000,48511000,-6977000,5287000,-5422000,-6842000,68898000,2255000,-55146000,106772000,15017000,327429000,-120713000,1515000,1515000,-122228000,-122228000,935000,-119778000,-371228000,16271000,-387499000,8429000,-362799000,-155148000,-155148000,-155148000,392279000,1396532000,455785000,0.51586,0.18316,0.11562,0.10979,0.03351,2.10042,1.07899,2.27624,0.21567,2.09663,2.06228,18.13438,19.09608,4.4038,0.05979,0.12559,2.79966,3.19474
"20","2015_Q1",201.569180327869,"Up",1764178000,-852071000,912107000,-609095000,-609095000,303012000,-12906000,-13466000,-14079000,613000,560000,290106000,290106000,-108428000,181678000,181678000,181678000,181678000,250560000,250560000,213211000,143900000,2554789000,46820000,46820000,3065380000,2658560000,3993509000,-1334949000,808143000,756384000,51759000,3466703000,6532083000,2482049000,2417167000,64882000,331224000,331224000,2813298000,1388397000,311970000,102422000,209548000,1700367000,4513665000,1195945000,1194929000,822473000,2018418000,2018418000,6532083000,181678000,50690000,10726000,5671000,19595000,-14540000,-35618000,6896000,-36862000,8113000.00000001,-13765000,207476000,-112254000,576000,576000,-112830000,-112830000,935000,-111319000,-160716000,18614000,-179330000,16836000,-143880000,-47723000,-47723000,-47723000,353702000,1388422000,314258000,0.51702,0.17176,0.10298,0.09001,0.02781,1.72975,1.0896,2.23624,0.21255,1.7884,1.75847,17.36618,19.86886,3.09349,0.04885,0.0845,3.21701,3.75517
"21","2015_Q2",222.437301587302,"Up",1901903000,-914944000,986959000,-636586000,-636586000,350373000,-12709000,-13822000,-14402000,580000,1113000,337664000,337664000,-124800000,212864000,212864000,212864000,212864000,473646000,473646000,231565000,162020000,2527982000,40928000,40928000,3274121000,2698848000,4080350000,-1381502000,812741000,756384000,56357000,3511589000,6785710000,2538425000,2470749000,67676000,413950000,318360000,2952381000,1396741000,293088000,81330000,211758000,1689829000,4642210000,1235146000,1234133000,908354000,2143500000,2143500000,6785710000,212864000,54950000,-17859000,5890000,-4441000,-19308000,156070000,-19867000,26807000,53582000,95548000,406025000,-90482000,658000,658000,-91140000,-91140000,935000,-89547000,-114561000,20252000,-134813000,21169000,-93392000,223086000,223086000,223086000,405323000,1396747000,595711000,0.51893,0.18422,0.11192,0.09931,0.03137,2.79855,1.10898,2.16571,0.20584,2.09487,2.0615,18.71731,21.09495,5.8626,0.05553,0.1554,2.27745,2.63462
"22","2015_Q3",242.20125,"Up",2035518000,-976727000,1058791000,-673023000,-673023000,385768000,-13560000,-13742000,-14319000,577000,182000,372208000,372208000,-138700000,233508000,233508000,233508000,233508000,260042000,260042000,250306000,175289000,2560975000,37710000,37710000,3109033000,2743816000,4166557000,-1422741000,815298000,756852000,58446000,3559114000,6668147000,2601863000,2535971000,65892000,405006000,366059000,3006869000,1396868000,294425000,77279000,217146000,1691293000,4698162000,1243806000,1242810000,726179000,1969985000,1969985000,6668147000,233508000,51057000,-15465000,5414000,-10885000,-9994000,23328000,-14332000,-32993000,65222000,5431000,292428000,-94441000,950000,950000,-95391000,-95391000,1046000,-93395000,-424390000,15769000,-440159000,11753000,-412637000,-213604000,-213604000,-213604000,436825000,1396868000,504412000,0.52016,0.18952,0.11472,0.11853,0.03502,2.16015,1.03398,2.38487,0.20948,2.32238,2.28685,20.24444,19.59268,5.01668,0.06378,0.13777,2.60247,2.94692
"23","2015_Q4",260.1328125,"Up",2080201000,-990947000,1089254000,-673994000,-673994000,415260000,-14392000,-13745000,-14296000,551000,-647000,400868000,400868000,-134600000,266268000,266268000,266268000,266268000,276916000,276916000,240750000,163889000,2606813000,33085000,33085000,3157564000,2805150000,4275349000,-1470199000,812552000,757093000,55459000,3617702000,6775266000,2695377000,2626126000,69251000,408535000,383516000,3103912000,1396995000,272273000,72197000,200076000,1669268000,4773180000,1269344000,1268357000,732742000,2002086000,2002086000,6775266000,266268000,52058000,-17787000,5352000,-7454000,-15685000,63730000,9688000,-45838000,90155000,9725000,364269000,-109354000,589000,589000,-109943000,-109943000,1047000,-108307000,-256900000,17330000,-274230000,17812000,-239088000,16874000,16874000,16874000,467318000,1396995000,556294000,0.52363,0.19962,0.128,0.133,0.0393,2.08923,1.01729,2.3841,0.20619,2.68226,2.64233,20.95498,20.16809,5.60385,0.07253,0.15152,2.39682,2.6973
"24","2016_Q1",256.129016393443,"Down",1949052000,-921413000,1027639000,-665019000,-665019000,362620000,-12994000,-13480000,-14112000,632000,486000,349626000,349626000,-131050000,218576000,218576000,218576000,218576000,116301000,116301000,233687000,161078000,2631015000,29023000,29023000,3010026000,2861556000,4372250000,-1510694000,805102000,757142000,47960000,3666658000,6676684000,2680972000,2608231000,72741000,365426000,363982000,3046398000,1390018000,278954000,79772000,199182000,1668972000,4715370000,1282474000,1281497000,678840000,1961314000,1961314000,6676684000,218576000,52191000,-3773000,5243000,130000,-9146000,-48240000,653000,-24202000,-17895000,-6796000,218754000,-116985000,561000,561000,-117546000,-117546000,1046000,-115939000,-275749000,11262000,-287011000,12319000,-263430000,-160615000,-160615000,-160615000,414811000,1390018000,380636000,0.52725,0.18605,0.11214,0.11144,0.03274,1.74144,0.98806,2.40419,0.20819,2.2206,2.18751,19.8012,19.92578,3.86703,0.06021,0.10485,3.0706,3.51254
"25","2016_Q2",265.2171875,"Up",2096150000,-998571000,1097579000,-678953000,-678953000,418626000,-13052000,-14069000,-14821000,752000,1017000,405574000,405574000,-150200000,255374000,255374000,255374000,255374000,716008000,716008000,246768000,178282000,2701760000,36927000,36927000,3701463000,2913927000,4473747000,-1559820000,804383000,757130000,47253000,3718310000,7419773000,2853678000,2782609000,71069000,461999000,347678000,3315677000,1885877000,278378000,76450000,201928000,2164255000,5479932000,1302024000,1301057000,637817000,1939841000,1939841000,7419773000,255374000,52778000,3883000,5178000,-3322000,2027000,191086000,-19206000,-70745000,174378000,106659000,503121000,-103110000,864000,864000,-103974000,-103974000,1047000,-102063000,-296582000,16074000,-312656000,-3929000,198649000,599707000,599707000,599707000,471404000,1885877000,709580000,0.52362,0.19971,0.12183,0.13165,0.03442,2.77859,1.11635,2.82494,0.25417,2.62893,2.59166,21.57865,19.96954,7.30471,0.06222,0.1729,2.48167,2.79454
