"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"35","2019_Q2",6.53126984126984,"Down",80150000,-54760000,25390000,-33031000,-33031000,-7641000,-89000,-132000,-7730000,-7730000,-7802000,-7802000,-7802000,-7802000,3822000,3822000,88487000,5719000,4769000,102628000,7673000,40721000,37339000,48394000,151022000,34668000,28925000,5743000,6128000,53047000,41964000,41964000,41964000,95011000,344936000,-230166000,-58029000,-730000,56011000,56011000,151022000,12251000,0.31678,-0.09533,-0.09734,-0.13929,-0.05166,1.93466,1.69629,0.08112,-4.29602,-4.29602,44.13303,30.84136,-0.07078,-1.10313
"36","2019_Q3",4.7746875,"Down",76004000,-50888000,25116000,-32517000,-32517000,-7401000,-656000,-194000,-8057000,-8056999.99999999,-8128000.00000001,-8128000,-8128000,-8128000,3635000,3635000,89785000,5592000,4642000,104293000,7605000,38275000,35179000,45880000,150173000,34661000,29044000,5617000,5974000,61987000,40221000,40221000,40221000,102208000,345015000,-230168000,-66157000,-725000,47965000,47965000,150173000,21352000,0.33046,-0.09738,-0.10694,-0.16946,-0.05412,1.6825,2.13089,0.14218,-0.114759999999999,-0.114760000000002,1.07308,0.677199999999999,-0.0742,-2.39387
"37","2019_Q4",2.83453125,"Down",-58146000,16224000,-41922000,46300000,46300000,4378000,237000,-182000,4615000,4615000,4732000,-23155000,-23155000,-23155000,3073000,3073000,22522000,96093000,857000,123870000,2102000,15508000,12698000,17610000,141480000,11886000,10169000,1717000,54661000,94318000,22287000,22287000,22287000,116605000,345075000,-230168000,-89312000,-720000,24875000,24875000,141480000,27771000,0.72098,-0.07529,0.39822,-0.93085,-0.16366,1.31332,4.68764,0.19629,-0.63749,-0.63749,-1.60085,0.68485,-0.30901,5.64139
"38","2020_Q1",3.52483870967742,"Up",35208000,-32941000,2267000,-5833999.99999999,-5833999.99999999,-3567000,1155000,1155000,-2412000,-3177000,-3195000,-19659000,-19659000,-19659000,2977000,2977000,17836000,55113000,2974000,80065000,2190000,15551000,13791000,17741000,97806000,17968000,14447000,3521000,39944000,71061000,22230000,22230000,22230000,93291000,345134000,-230169000,-108971000,-1479000,4515000,4515000,97806000,13149000,0.06439,-0.10131,-0.55837,-4.35415,-0.201,1.12671,20.66246,0.13444,-10.82544,-10.82544,19.38767,2.48623,-0.49278,-2.8517
"39","2020_Q2",4.89492063492064,"Up",31589000,-23671000,7918000,-13096000,-13096000,-5178000,-228000,-228000,-5406000,-5406000,-5406000,-5406000,-5406000,-5406000,7078000,7078000,17157000,1589000,639000,28468000,2256000,14516000,13013000,16772000,45240000,10984000,5938000,5046000,551000,16066000,24552000,24552000,28722000,44788000,346474000,-230169000,-114377000,-1476000,452000,452000,45240000,8701000,0.25066,-0.16392,-0.17114,-11.96018,-0.1195,1.77194,99.0885,0.19233,-2.97033,-2.97033,17.35659,0.24835,-0.16039,-0.31344
"40","2020_Q3",7.75671875,"Up",42296000,-31612000,10684000,-11178000,-11178000,-494000,-406000,-406000,-9e+05,-9e+05,-9e+05,-9e+05,-9e+05,-9e+05,3337000,3337000,20576000,2035000,1085000,28187000,2285000,14085000,12839000,16370000,44557000,13669000,9857000,3812000,571000,17408000,22177000,22177000,27579000,44987000,346489000,-230169000,-115277000,-1473000,-430000,-430000,44557000,8570000,0.2526,-0.01168,-0.02128,2.09302,-0.0202,1.6192,-104.62093,0.19234,-0.49288,-0.492879999999999,23.1632,-0.23549,-0.02969,-10.59312
"41","2020_Q4",11.57765625,"Up",38914000,-45890000,-6976000,6365000,6365000,-611000,-381000,-381000,-992000,-992000,2553000,2553000,2553000,2553000,2396000,2396000,27204000,1786000,836000,33851000,2343000,13183000,12194000,15526000,49377000,13304000,8559000,4745000,583000,23726000,18269000,18269000,23512000,47238000,346502000,-230169000,-112724000,-1470000,2139000,2139000,49377000,15082000,-0.17927,-0.0157,0.06561,1.19355,0.0517,1.42675,22.08415,0.30545,1.40044,1.40044,21.34613,1.17334,0.07194,-20.76268
"42","2021_Q1",31.0459016393443,"Up",45546000,-17756000,27790000,-27232000,-27232000,558000,-694000,-694000,-136000,-136000,-139000,-139000,-139000,-139000,1809000,1809000,24515000,1748000,564000,30790000,2268000,12234000,11502000,14502000,45292000,11406000,8894000,2512000,596000,20028000,18445000,18445000,23775000,43803000,346528000,-230169000,-112863000,-2007000,1489000,1489000,45292000,13356000,0.61015,0.01225,-0.00305,-0.0933500000000009,-0.00307,1.53735,29.41773,0.29489,-0.0721299999999998,-0.0721300000000002,23.6357,0.7727,-0.00418,20.69355
"43","2021_Q2",22.9150793650794,"Down",40617000,-30821000,9796000,-10657000,-10657000,-861000,-555000,-555000,-1416000,-1416000,-1416000,-1416000,-1416000,-1416000,5030000,5030000,22567000,1776000,592000,32486000,2366000,11745000,11270000,14111000,46597000,8322000,5682000,2640000,609000,10949000,18055000,18055000,23316000,34265000,358788000,-230170000,-114279000,-2007000,12332000,12332000,46597000,7279000,0.24118,-0.0212,-0.03486,-0.11482,-0.03039,2.96703,2.77854,0.15621,-0.61114,-0.61114,17.53,5.3224,-0.03759,-2.61208
"44","2021_Q3",19.90109375,"Down",34890000,-26055000,8835000,-10210000,-10210000,-1375000,1503000,-460000,128000,128000,82000,82000,82000,82000,2570000,2570000,25024000,2240000,1056000,32639000,2301000,11091000,10873000,13392000,46031000,9540000,7599000,1941000,622000,10162000,17663000,17663000,23189000,33351000,359055000,-230170000,-114198000,-2007000,12680000,12680000,46031000,5526000,0.25322,-0.03941,0.00235,0.00647,0.00178,3.21187,2.63021,0.12005,0.03292,0.03292,14.00642,5.09033,0.00229,-2.14982
"45","2021_Q4",13.790625,"Down",32172000,-24168000,8004000,-10018000,-10018000,-2014000,1128000,-439000,-886000,-886000,-886000,-886000,-886000,-886000,1754000,1754000,30248000,1918000,760000,36486000,2251000,10503000,10503000,12754000,49240000,9428000,6743000,2685000,636000,15922000,17279000,17279000,21440000,37362000,359139000,-230170000,-115084000,-2007000,11878000,11878000,49240000,10019000,0.24879,-0.0626,-0.02754,-0.07459,-0.01799,2.29155,3.14548,0.20347,-0.36855,-0.36855,13.3827,4.94093,-0.02262,-4.10377
"46","2022_Q1",8.06241935483871,"Down",36034000,-29896000,6138000,-11506000,-11506000,-5368000,-462000,-413000,-5830000,-5830000,-5811000,-5811000,-5811000,-5811000,1218000,1218000,29277000,1807000,649000,34637000,2335000,9710000,9710000,12045000,46682000,8633000,6271000,2362000,649000,19248000,15793000,15793000,20149000,39397000,359259000,-230170000,-120894000,-910000,7285000,7285000,46682000,14322000,0.17034,-0.14897,-0.16126,-0.79767,-0.12448,1.79951,5.40796,0.3068,-3.14278,-3.14278,19.48837,3.93997,-0.15537,-2.44113
"47","2022_Q2",4.61677419354839,"Down",31791000,-24940000,6851000,-10517000,-10517000,-3666000,-762000,-762000,-4428000,-4428000,-4428000,-4428000,-4428000,-4428000,828000,828000,32254000,1716000,558000,37525000,2441000,8822000,8822000,11263000,48788000,9872000,7664000,2208000,663000,21043000,15426000,15426000,23370000,44413000,360777000,-230170000,-125322000,-910000,4375000,4375000,48788000,18452000,0.2155,-0.11532,-0.13928,-1.01211,-0.09076,1.78325,10.15154,0.37821,-1.77617,-1.77617,12.75211,1.75491,-0.11576,-4.80742
"48","2022_Q3",2.90421875,"Down",33907000,-27178000,6729000,-10201000,-10201000,-3472000,-901000,-901000,-4373000,-4373000,-4416000,-4416000,-4416000,-4416000,1309000,1309000,29363000,1776000,618000,34530000,2357000,8241000,8241000,10598000,45128000,9765000,7702000,2063000,550000,14170000,15204000,15204000,23752000,37922000,263762000,-125906000,-129740000,-910000,7206000,7206000,45128000,12403000,0.19845,-0.1024,-0.13024,-0.61282,-0.09785,2.43684,5.26256,0.27484,-1.69001,-1.69001,12.97627,2.75775,-0.12685,-3.19528
