"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",6.22451612903226,"Down",221376000,-147068000,74308000,-53195000,-53195000,21113000,-3270000,-3270000,17843000,17843000,-7303000,10540000,10540000,10540000,10540000,1911000,1911000,411000,411000,246289000,7313000,7313000,255924000,83109000,7215000,2118000,90324000,346248000,82114000,31549000,49586000,3150000,3150000,147219000,35307000,35307000,169028000,316247000,80568000,-50567000,30001000,30001000,346248000,10540000,3812000,1287000,14986000,30625000,-8660000,522000,-32102000,0,-31927000,-780000,-780000,-780000,24925000,195676000,38554000,0.33566,0.09537,0.04761,0.35132,0.03044,3.65787,1.73839,10.54122,0.56513,0.24945,0.24774,5.2393,0.71003,0.91246,0.04039,0.14773,7.77392,9.17752
"12","2017_Q2",5.03603174603175,"Down",156898000,-108283000,48615000,-52382000,-52382000,-3767000,-3150000,-3150000,-6917000,-6917000,2410000,-4507000,-4507000,-4507000,-4507000,2269000,2269000,382000,382000,288308000,13857000,11494000,304816000,94940000,5878000,1666000,100818000,405634000,128546000,74176000,54370000,3407000,3407000,211003000,35673000,35673000,169128000,380131000,80579000,-55076000,25503000,25503000,405634000,-4507000,3942000,1682000,-9969000,-8851999.99999999,-13204000,-13204000,23053000,-639000,22414000,358000,358000,358000,175000,212505000,-25408000,0.30985,-0.02401,-0.02873,-0.17672,-0.01111,5.63745,1.44461,14.90534,0.52388,-0.10661,-0.10661,3.71119,0.60324,-0.60099,-0.01647,-0.0928400000000001,1201.34857,-55.80993
"13","2017_Q3",4.43238095238095,"Down",191493000,-122875000,68618000,-54384000,-54384000,14234000,-3436000,-3436000,10798000,10798000,-4245000,6553000,6553000,6553000,6553000,1821000,1821000,441000,441000,302229000,7818000,7101000,312309000,103848000,5565000,1215000,109413000,421722000,113414000,60761000,52653000,3864000,3864000,219918000,36131000,36131000,169062000,388980000,81265000,-48523000,32742000,32742000,421722000,6553000,4392000,933000,-21149000,-9271000,-18646000,-18143000,27024000,-341000,26966000,-448000,-448000,-448000,18626000,235571000,-16924000,0.35833,0.07433,0.03422,0.20014,0.01554,-2.58263,1.42012,11.88015,0.55859,0.15406,0.15369,4.50201,0.76977,-0.39788,0.02152,-0.05559,12.54966,16.42195
"14","2017_Q4",4.79269841269841,"Up",218115000,-141152000,76963000,-57441000,-57441000,19522000,-3495000,-3495000,16027000,16027000,-6218000,9809000,9809000,9809000,9809000,2155000,2155000,404000,404000,318323000,4005000,4005000,324887000,98890000,5248000,763000,104138000,429025000,127304000,69453000,54641000,3949000,3949000,210642000,42793000,42793000,175449000,386091000,81650000,-38716000,42934000,42934000,429025000,9809000,4572000,6801000,4518000,25700000,-7356000,-1729000,-23638000,1000,-23637000,334000,334000,334000,24094000,212045000,27474000,0.35286,0.0895,0.04497,0.22847,0.02286,2.8009,1.54237,8.99266,0.49425,0.23037,0.23032,5.12248,1.00831,0.64523,0.03294,0.09227,8.71130000000015,10.75146
"15","2018_Q1",4.96868852459016,"Up",243165000,-163501000,79664000,-63085000,-63085000,16579000,-3657000,-3657000,12922000,12922000,-7035000,5887000,5887000,5887000,5887000,1769000,1769000,319000,319000,270594000,8073000,8073000,280755000,94035000,4871000,276000,98906000,379661000,89976000,36788000,50602000,4593000,4593000,155551000,41963000,41963000,174312000,329863000,82623000,-32825000,49798000,49798000,379661000,5887000,4800000,408000,12103000,23198000,-1952000,940000,-24430000,-207000,-24524000,-386000,-386000,-386000,21379000,193331000,38565000,0.32761,0.06818,0.02421,0.11822,0.01551,6.55087,1.80491,6.62402,0.50922,0.13822,0.13824,5.70917,1.16919,0.90545,0.02065,0.13527,8.96029,11.5545
"16","2018_Q2",5.044375,"Up",180059000,-124493000,55566000,-59216000,-59216000,-3650000,-3557000,-3557000,-7207000,-7207000,1379000,-5828000,-5828000,-5828000,-5828000,2379000,2379000,382000,382000,306201000,9183000,9183000,318145000,94809000,3474000,96620.477680989,98283000,416428000,123068000,64012000,58089000,4703000,4703000,195605000,41204000,41204000,173346000,368951000,83496000,-36019000,47477000,47477000,416428000,-5828000,4663000,-220000,-7664000,-9049000,-4474000,-4474000,14832000,-699000,14133000,610000,610000,610000,1013000,199976000,-12504000,0.3086,-0.02027,-0.03237,-0.12275,-0.014,2.1455,1.62647,7.77115,0.48022,-0.1364,-0.1364,4.21417,1.11117,-0.29265,-0.02019,-0.04332,195.0612,-54.13616
"17","2018_Q3",5.43984126984127,"Up",203288000,-131011000,72277000,-59089000,-59089000,13188000,-4334000,-4334000,8854000,8854000,-2304000,6550000,6550000,6550000,6550000,2734000,2734000,388000,388000,329068000,14552000,13462000,346742000,95849000,3591000,157079.429275189,99440000,446182000,132369000,74271000,58098000,4750000,4750000,318855000,40942000,40942000,72617000,391472000,84179000,-29469000,54710000,54710000,446182000,6550000,4500000,1368000,-14553000,-2135000,-6111000,-6111000,9730000,-1331000,8601000,355000,355000,355000,17688000,213411000,-672000,0.35554,0.06487,0.03222,0.11972,0.01468,-0.1026,1.08746,7.1554,0.4783,0.15269,0.15251,4.73898,1.27538,-0.01567,0.02119,-0.00217,11.91073,15.9749
"18","2018_Q4",4.86031746031746,"Down",223100000,-145518000,77582000,-60069000,-60069000,17513000,-2633000,-2633000,14880000,14880000,-2481000,12399000,12399000,12399000,12399000,1892000,1892000,419000,419000,369057000,13709000,12092000,385077000,93273000,1769000,252000,95042000,480119000,147175000,91511000,55664000,5033000,5033000,341689000,41244000,41244000,70940000,412629000,84560000,-17070000,67490000,67490000,480119000,12399000,4437000,2755000,-22828000,-3237000,-4631000,-2914000,5309000,0,5309000,-842000,-842000,-842000,21950000,219177000,-3028000,0.34775,0.0785,0.05558,0.18372,0.02582,-0.24421,1.12698,6.11393,0.45651,0.28877,0.28743,5.19586,1.5718,-0.07052,0.03781,-0.00923000000000001,9.89909,12.40707
"19","2019_Q1",5.38655737704918,"Up",242682000,-163177000,79505000,-62537000,-62537000,16968000,-2682000,-2682000,14286000,14286000,-3657000,10629000,10629000,10629000,10629000,1547000,1547000,249000,249000,276600000,15174000,15174000,293570000,92084000,3243000,246000,95327000,388897000,83175000,24953000,56384000,5270000,5270000,240666000,41854000,41854000,69571000,310237000,85101000,-6441000,78660000,78660000,388897000,10629000,4650000,-548000,31863000,46594000,-2753000,-2753000,-44331000,-4000,-44186000,-345000,-345000,-345000,21618000,179938000,54385000,0.32761,0.06992,0.0438,0.13513,0.02733,5.11666,1.21982,3.94402,0.46269,0.24747,0.24658,5.65034,1.83143,1.26624,0.03538,0.18101,8.25197,10.51338
"20","2019_Q2",4.25460317460317,"Down",174017000,-119844000,54173000,-59530000,-59530000,-5357000,-2105000,-2105000,-7462000,-7462000,2003000,-5459000,-5459000,-5459000,-5459000,1715000,1715000,289000,289000,291462000,10163000,9566000,303629000,91049000,189670000,239000,280719000,584348000,106510000,49982000,56528000,31967000,31967000,287964000,188105000,187570000,213844000,501808000,85185000,-2645000,82540000,82540000,584348000,-5459000,4613000,7814000,-3525000.00000001,3443000,-3091000,-3091000,184999.999999993,-369000,-184000.000000007,168000,168000,168000,-744000,175226000,-9363000.00000001,0.31131,-0.03078,-0.03137,-0.06614,-0.00934000000000001,1.71515,1.0544,6.07957,0.29987,-0.12694,-0.12694,4.04662,1.9194,-0.21773,-0.01224,-0.021,-233.21371,-32.38958
