"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",28.9308064516129,"Up",1.035e+09,8.89e+08,1.32e+08,1.4e+07,1e+06,1e+07,3e+06,-5.71e+08,-2.96e+08,-2e+06,1.66e+08,-1.4e+07,-1.4e+07,1.52e+08,1.52e+08,-4.1e+07,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.2533e+10,9.116e+09,3.349e+09,6.8e+07,4.16e+08,1.247e+09,4.91e+08,1.792e+09,1.6479e+10,8.447e+09,1.04e+08,4.53e+08,8.28e+08,1.288e+09,1.112e+10,1.513e+09,3.94e+08,1.119e+09,-1.221e+09,3.896e+09,1.171e+09,5.359e+09,5.359e+09,1.6479e+10,1.11e+08,1e+07,1.4e+07,4e+06,7e+06,3e+06,3.3e+07,1.68e+08,1.21e+08,-3.11e+08,4.32e+08,-7.4e+07,4.7e+07,-6.3e+07,3e+06,2e+06,-4e+06,-6.2e+07,1.53e+08,1.53e+08,1.53e+08,1.76e+08,9.32e+08,0.16039,0.10725,0.02071,0.00674,2.07501,0.05656,0.68285,0.67742,6.36708,32.9673,0.38756,0.01086,0.56757,2.93182,3.10843
"12","2013_Q1",32.6126666666667,"Up",1.07e+09,9.17e+08,1.36e+08,1.7e+07,2e+06,1.3e+07,2e+06,-4.82e+08,-2.98e+08,-4e+06,2.86e+08,-1.3e+07,-1.3e+07,2.73e+08,2.73e+08,-8.1e+07,1.92e+08,1.92e+08,1.92e+08,1.92e+08,1.2534e+10,9.093e+09,3.373e+09,6.8e+07,4.87e+08,1.214e+09,4.7e+08,1.843e+09,1.6548e+10,8.317e+09,1.04e+08,4.53e+08,8.27e+08,1.394e+09,1.1095e+10,1.528e+09,3.94e+08,1.134e+09,-1.225e+09,4.021e+09,1.129e+09,5.453e+09,5.453e+09,1.6548e+10,1.92e+08,1.2e+07,-4.4e+07,4e+06,2.2e+07,-7e+07,4.5e+07,2.05e+08,-1e+06,-2.52e+08,2.51e+08,-4.6e+07,-4.7e+07,-6.5e+07,4e+06,-2.3e+07,-3e+06,-8.7e+07,7.1e+07,7.1e+07,7.1e+07,2.98e+08,9.31e+08,0.26729,0.17944,0.03521,0.0116,2.03466,0.05626,1.17977,1.16869,6.57478,33.50682,0.3994,0.01597,0.33854,1.48993,1.55245
"13","2013_Q2",35.61578125,"Up",1.103e+09,9.31e+08,1.28e+08,4.4e+07,1e+06,4.1e+07,2e+06,-5.68e+08,-3e+08,-5e+06,2.3e+08,-1.3e+07,-1.3e+07,2.17e+08,2.17e+08,-6.3e+07,1.54e+08,1.54e+08,1.54e+08,1.54e+08,1.3037e+10,9.169e+09,3.801e+09,6.7e+07,3.8e+08,1.291e+09,4.91e+08,1.838e+09,1.7037e+10,8.425e+09,1.04e+08,5.88e+08,8.31e+08,1.304e+09,1.1252e+10,1.541e+09,3.95e+08,1.146e+09,-1.227e+09,4.109e+09,1.362e+09,5.785e+09,5.785e+09,1.7037e+10,1.54e+08,9e+06,-1.6e+07,5e+06,9e+06,-3e+07,-9e+07,5.7e+07,-9.2e+07,-3.25e+08,2.33e+08,-1e+07,-1.02e+08,-6.5e+07,6e+06,-7e+06,4e+06,-6.2e+07,-1.07e+08,-1.07e+08,-1.07e+08,2.39e+08,9.35e+08,0.20852,0.13962,0.02662,0.00904,1.94503,0.05488,0.94421,0.9339,6.76272,35.46904,0.39853,0.01331,0.42208,2.32218,2.41304
"14","2013_Q3",35.97,"Up",1.104e+09,9.54e+08,1.31e+08,1.9e+07,3e+06,1.4e+07,2e+06,-6.31e+08,-3.07e+08,-4e+06,1.62e+08,-1.4e+07,-1.4e+07,1.48e+08,1.48e+08,-3.8e+07,1.1e+08,1.1e+08,1.1e+08,1.1e+08,1.2933e+10,8.992e+09,3.875e+09,6.6e+07,3.82e+08,1.35e+09,5.46e+08,1.823e+09,1.7034e+10,8.576e+09,1.04e+08,5.12e+08,8.33e+08,1.31e+09,1.1335e+10,1.558e+09,3.96e+08,1.162e+09,-1.232e+09,4.152e+09,1.221e+09,5.699e+09,5.699e+09,1.7034e+10,1.1e+08,1.1e+07,3.2e+07,5e+06,999999.999999999,2.6e+07,4.1e+07,1.94e+08,-1.01e+08,-3.41e+08,2.4e+08,-2.7e+07,-1.28e+08,-6.5e+07,6e+06,-3e+06,-2e+06,-6.4e+07,2000000.00000003,2000000.00000003,2000000.00000003,1.73e+08,9.37e+08,0.14674,0.09964,0.0193,0.00646,1.98895,0.05501,0.67278,0.66465,6.75229,34.85627,0.39755,0.01059,0.59091,3.20809,3.42593
"15","2013_Q4",38.4453125,"Up",1.152e+09,9.92e+08,1.33e+08,2.7e+07,2e+06,2.2e+07,3e+06,-6.42e+08,-3.12e+08,-3e+06,1.95e+08,-1.3e+07,-1.3e+07,1.82e+08,1.82e+08,-5.1e+07,1.31e+08,1.31e+08,1.31e+08,1.31e+08,1.309e+10,9.038e+09,3.984e+09,6.8e+07,5.11e+08,1.393e+09,5.76e+08,1.769e+09,1.7339e+10,8.706e+09,1.04e+08,5.42e+08,8.32e+08,1.339e+09,1.1523e+10,1.573e+09,3.96e+08,1.177e+09,-1.238e+09,4.214e+09,1.267e+09,5.816e+09,5.816e+09,1.7339e+10,1.31e+08,1e+07,8.7e+07,4e+06,5e+06,7.8e+07,5.9e+07,2.87e+08,-8.4e+07,-3.5e+08,2.66e+08,-6e+06,-9e+07,-6.5e+07,5e+06,-4e+06,-4e+06,-6.8e+07,1.29e+08,1.29e+08,1.29e+08,2.05e+08,9.36e+08,0.16927,0.11372,0.02252,0.00756,1.98126,0.05398,0.80024,0.79154,7.03726,35.52841,0.39707,0.01167,0.49618,2.07317,2.17949
"16","2014_Q1",36.9613114754098,"Down",1.172e+09,1.025e+09,1.37e+08,1e+07,2e+06,6e+06,2e+06,-6.64e+08,-3.24e+08,-3e+06,1.81e+08,-1.4e+07,-1.4e+07,1.67e+08,1.67e+08,-4.5e+07,1.22e+08,1.22e+08,1.22e+08,1.22e+08,1.3564e+10,9.121e+09,4.375e+09,6.8e+07,4.33e+08,1.346e+09,5.65e+08,1.754e+09,1.7662e+10,8.677e+09,1.04e+08,6.73e+08,8.35e+08,1.303e+09,1.1592e+10,1.588e+09,3.97e+08,1.191e+09,-1.29e+09,4.268e+09,1.504e+09,6.07e+09,6.07e+09,1.7662e+10,1.22e+08,2e+07,8.1e+07,4e+06,4e+06,7.3e+07,3.5e+07,2.58e+08,-1.34e+08,-3.65e+08,2.31e+08,-5.5e+07,-1.89e+08,-6.8e+07,-4.4e+07,-2.8e+07,-7e+06,-1.47e+08,-78000000.0000001,-78000000.0000001,-78000000.0000001,2.01e+08,9.39e+08,0.15444,0.1041,0.0201,0.00691,1.90972,0.05316,0.74527,0.73627,7.15944,37.08002,0.41539,0.01118,0.55738,2.51741,2.79558
"17","2014_Q2",37.6065079365079,"Up",1.189e+09,1.027e+09,1.35e+08,2.7e+07,3e+06,2.2e+07,2e+06,-7.32e+08,-3.2e+08,-4e+06,1.33e+08,-1.4e+07,-1.4e+07,1.19e+08,1.19e+08,-2.8e+07,9.1e+07,9.1e+07,9.1e+07,9.1e+07,1.3678e+10,9.18e+09,4.426e+09,7.2e+07,5.21e+08,1.396e+09,5.64e+08,1.783e+09,1.7942e+10,8.845e+09,1.04e+08,7.21e+08,8.34e+08,1.27e+09,1.1774e+10,1.588e+09,3.97e+08,1.191e+09,-1.285e+09,4.287e+09,1.578e+09,6.168e+09,6.168e+09,1.7942e+10,9.1e+07,1.3e+07,1.32e+08,6e+06,8e+06,1.18e+08,-1.07e+08,1.29e+08,4e+07,-2.36e+08,2.76e+08,-1e+06,3.9e+07,-6.7e+07,1e+06,-1.2e+07,-2e+06,-8e+07,8.8e+07,8.8e+07,8.8e+07,1.46e+08,9.38e+08,0.11186,0.07653,0.01475,0.00507,1.90888,0.05228,0.55692,0.55152,7.27662,37.74786,0.41004,0.00917,0.73626,2.85616,3.13534
"18","2014_Q3",37.32390625,"Down",1.214e+09,1.059e+09,1.36e+08,1.9e+07,3e+06,1.4e+07,2e+06,-7.63e+08,-3.28e+08,-3e+06,1.2e+08,-1.3e+07,-1.3e+07,1.07e+08,1.07e+08,-2.3e+07,8.4e+07,8.4e+07,8.4e+07,8.4e+07,1.406e+10,9.383e+09,4.605e+09,7.2e+07,4.62e+08,1.462e+09,5.71e+08,1.78e+09,1.8335e+10,9.008e+09,4.9e+07,8.1e+08,8.31e+08,1.294e+09,1.1992e+10,1.595e+09,3.97e+08,1.198e+09,-1.283e+09,4.299e+09,1.732e+09,6.343e+09,6.343e+09,1.8335e+10,8.4e+07,1.2e+07,9.6e+07,4e+06,5e+06,8.7e+07,3e+07,2.22e+08,-1.19e+08,-3.48e+08,2.29e+08,-1.7e+07,-1.36e+08,-7.1e+07,2999999.99999999,-1.8e+07,-4e+06,-1.45e+08,-5.9e+07,-5.9e+07,-5.9e+07,1.32e+08,8.8e+08,0.09885,0.06919,0.01324,0.00458,1.89059,0.048,0.51376,0.50878,7.42508,38.79511,0.43425,0.00884,0.84524,3.16667,3.48333
"19","2014_Q4",39.42078125,"Up",1.28e+09,1.071e+09,1.38e+08,7.1e+07,3e+06,6.5e+07,3e+06,-6.86e+08,-3.19e+08,-3e+06,2.72e+08,-1.3e+07,-1.3e+07,2.59e+08,2.59e+08,-7.6e+07,1.83e+08,1.83e+08,1.83e+08,1.83e+08,1.4255e+10,9.522e+09,4.666e+09,6.7e+07,4.12e+08,1.447e+09,5.9e+08,1.77e+09,1.8474e+10,9.047e+09,4.9e+07,7.77e+08,8.29e+08,1.396e+09,1.2098e+10,1.602e+09,3.97e+08,1.205e+09,-1.293e+09,4.409e+09,1.658e+09,6.376e+09,6.376e+09,1.8474e+10,1.83e+08,1.3e+07,3.9e+07,5e+06,8e+06,2.6e+07,4.7e+07,2.82e+08,-1.94e+08,-3.9e+08,1.96e+08,-4e+07,-2.34e+08,-7e+07,-1.1e+07,-1.2e+07,-5e+06,-9.8e+07,-5e+07,-5e+07,-5e+07,2.85e+08,8.78e+08,0.2125,0.14297,0.0287,0.00991,1.89743,0.04753,1.11927,1.10909,7.82875,38.99694,0.42813,0.0143,0.38251,1.63509,1.71324
"20","2015_Q1",41.633606557377,"Up",1.262e+09,1.086e+09,1.4e+08,3.6e+07,3e+06,3.2e+07,1e+06,-6.75e+08,-3.34e+08,-4e+06,2.49e+08,-1.3e+07,-1.3e+07,2.36e+08,2.36e+08,-6.9e+07,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.4386e+10,9.46e+09,4.858e+09,6.8e+07,5.91e+08,1.405e+09,5.78e+08,1.788e+09,1.8748e+10,9.064e+09,4.9e+07,8.4e+08,8.22e+08,1.4e+09,1.2175e+10,1.611e+09,3.97e+08,1.214e+09,-1.287e+09,4.505e+09,1.744e+09,6.573e+09,6.573e+09,1.8748e+10,1.67e+08,1.3e+07,2.2e+07,4e+06,1.6e+07,2e+06,3.8e+07,2.4e+08,6e+06,-3.38e+08,3.44e+08,1.4e+07,2e+07,-7e+07,8e+06,-1.5e+07,-4e+06,-8.1e+07,1.79e+08,1.79e+08,1.79e+08,2.62e+08,8.71e+08,0.19731,0.13233,0.02541,0.00891,1.85227,0.04646,1.02078,1.01028,7.71394,40.17726,0.42787,0.01323,0.41916,1.0687,1.1245
"21","2015_Q2",41.3536507936508,"Down",1.285e+09,1.094e+09,1.39e+08,5.2e+07,3e+06,4.7e+07,2e+06,-7.49e+08,-3.45e+08,-4e+06,1.87e+08,-1.3e+07,-1.3e+07,1.74e+08,1.74e+08,-4.6e+07,1.28e+08,1.28e+08,1.28e+08,1.28e+08,1.4476e+10,9.596e+09,4.789e+09,9.1e+07,6.4e+08,1.433e+09,5.71e+08,1.777e+09,1.8897e+10,9.246e+09,4.9e+07,8.24e+08,8.25e+08,1.345e+09,1.2289e+10,1.607e+09,3.97e+08,1.21e+09,-1.272e+09,4.557e+09,1.716e+09,6.608e+09,6.608e+09,1.8897e+10,1.28e+08,1.4e+07,1.69e+08,7e+06,0,1.62e+08,-9.6e+07,2.15e+08,-6.8e+07,-3.48e+08,2.8e+08,-2e+07,-8.8e+07,-7.1e+07,7e+06,-1.3e+07,-1e+06,-7.8e+07,4.9e+07,4.9e+07,4.9e+07,2.01e+08,8.74e+08,0.14553,0.09961,0.01937,0.00677,1.85972,0.04625,0.78049,0.77295,7.83537,40.29268,0.43293,0.01101,0.55469,1.16418,1.25134
