"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2015_Q2",27.7122222222222,"Up",738388000,-692429000,45959000,-41855000,-18976000,4104000,-9869000,-8938000,-931000,-5765000,-5765000,2447000,-3318000,-3318000,-3318000,-3318000,405899000,405899000,101692000,101692000,269127000,63520000,10853000,36261000,14647000,840238000,819734000,90683000,49806000,910417000,1750655000,130733000,99141000,31592000,301570000,3683000,435986000,398623000,122877000,4922000,521500000,957486000,570302000,-65808000,292751000,-4076000,793169000,793169000,1750655000,-3318000,-3318000,15847000,10374000,-68681000,-45778000,-14332000,-14666000,28770000,15095000,40833000,-19611000,-19611000,-19611000,19951000,700193000,-65509000,0.06224,0.00556,-0.00449,-0.00418,-0.0019,19.74352,1.92721,1.20717,0.39996,-0.08777,-0.08777,19.53252,20.98164,-1.7329,-0.00018,-0.04053,14.75084,71.70906
"20","2015_Q3",19.94359375,"Down",744490000,-676595000,67895000,-43493000,-20225000,24402000,-11388000,-10354000,-1034000,13014000,13014000,-5222000,7792000,7792000,7792000,7792000,399488000,399488000,116051000,116051000,215847000,81453000,13672000,37772000,17468000,812839000,819555000,93834000,52957000,913389000,1726228000,130815000,98377000,32438000,208880000,9891000,349586000,443555000,125874000,4865000,569429000,919015000,573677000,-65808000,297498000,1846000,807213000,807213000,1726228000,7792000,7791999.99999999,16165000,7934000,37091000,68982000,-14358000,-17333000,-52195000,-2820000,-58060000,-6411000,-6411000,-6411000,40567000,652435000,68522000,0.0912,0.03278,0.01047,0.00965,0.00451,8.79389,2.32515,1.1385,0.37795,0.2049,0.18855,19.5769,21.22625,1.80184,0.00683,0.04322,6.23529,10.36583
"21","2015_Q4",19.2846875,"Down",742797000,-679355000,63442000,-43609000,-19272000,19833000,-10396000,-9877000,-519000,9437000,9437000,604000,10041000,10041000,6179000,6179000,495863000,495863000,141020000,141020000,263012000,67870000,12184000,33792000,16658000,967765000,820600000,92504000,51627000,913104000,1880869000,183029000,140595000,42434000,204231000,2854000,390114000,443396000,76169000,5942000,519565000,909679000,575960000,-69811000,299108000,4625000,809882000,971190000,1880869000,10041000,10041000,16622000,-46208000,-11139000,-30684000,-15774000,-15774000,150595000,810000,142833000,96375000,96375000,96375000,36455000,647627000,8938000,0.08541,0.0267,0.00832,0.00636,0.00329,1.44651,2.48072,0.93666,0.34432,0.16232,0.1598,19.5134,21.27573,0.2348,0.00634,0.00527,4.16305,7.65209
"22","2016_Q1",14.7245901639344,"Down",739914000,-680988000,58926000,-46188000,-21121000,12738000,-7959000,-9986000,2027000,4779000,4779000,-4066000,713000,713000,-3589000,-3589000,384867000,384867000,96150000,96150000,353957000,77603000,10941000,30540000,27018000,912577000,922070000,83273000,42396000,1005343000,1917920000,198989000,166963000,32026000,231435000,8245000,438669000,432139000,88203000,6406000,520342000,959011000,577832000,-69811000,290974000,-1165000,797830000,958909000,1917920000,713000,713000,17316000,18511000,-15190000,21350000,-18886000,-135428000,26235000,-14004000,3082000,-110996000,-110996000,-110996000,30054000,663574000,44000,0.07964,0.01722,-0.00485,-0.00374,-0.00187,-0.0122599999999999,2.08033,1.00011,0.34599,-0.09472,-0.09367,19.52795,21.05648,0.00115999999999994,0.00325,2.99999999999988e-05,9.27354,21.87997
"23","2016_Q2",16.218125,"Up",749204000,-724687000,24517000,-47163000,-20373000,-22646000,-12063000,-10388000,-1675000,-34709000,-34709000,14893000,-19816000,-19816000,-24138000,-24138000,383442000,383442000,106083000,106083000,363519000,65123000,9748000,32485000,17263000,918167000,920451000,80794000,39917000,1001245000,1919412000,155766000,104513000,51253000,281868000,15955084.528368,437634000,484004000,67952000,6493000,551956000,989590000,577725000,-69811000,262221000,-1066000,769069000,929822000,1919412000,-19816000,-19816000,18145000,-12681000,-65455000,-79807000,-18571000,-18311000,98301000,7640000,96693000,-1425000,-1425000,-1425000,-4501000,765872000,-103420000,0.03272,-0.03023,-0.03222,-0.02596,-0.01258,4.28453,2.09802,1.06428,0.39901,-0.63193,-0.63193,19.61421,20.13428,-2.70754,-0.00844,-0.05864,-84.96556,-16.88731
"24","2016_Q3",21.6675,"Up",887727000,-809524000,78203000,-50794000,-23589000,27409000,-8953000,-10131000,1178000,18456000,18456000,-5471000,12985000,12985000,8191000,8191000,386920000,386920000,140597000,140597000,280700000,92382000,29482000,38972000,18785000,900599000,915726000,82580000,41703000,998306000,1898905000,148574000,111465000,37109000,252240000,21179000,421993000,478489000,68503000,6511000,546992000,968985000,601133000,-75816000,265800000,-4123000,786994000,929920000,1898905000,12985000,12985000,23288000,-41000.0000000075,48509000,84741000,-10513000,-29714000,-34698000,-1574000,-51549000,3478000,3478000,3478000,50697000,730729000,94164000,0.08809,0.03088,0.00923,0.00881,0.00431,11.49603,2.13416,1.04201,0.38482,0.21317,0.21317,23.10285,20.4813,2.45059,0.0101,0.05446,6.78164000000002,12.54365
"25","2016_Q4",24.8193650793651,"Up",841852000,-758883000,82969000,-52114000,-24264000,30855000,-12888000,-11335000,-1553000,17967000,17967000,-5083000,12884000,12884000,7928000,7928000,407359000,407359000,132574000,132574000,324287000,88802000,11200000,38577000,34219000,953022000,1139592000,84344000,43467000,1223936000,2176958000,179786000,129317000,50469000,242330000,20831000,442947000,681182000,87290000,6358000,768472000,1211419000,656568000,-75816000,269135000,-54000,849833000,965539000,2176958000,12884000,12884000,14699000,13064000,17606000,58253000,-6574000,-241509000,228484000,-15472000,203695000,20439000,20439000,20439000,45554000,923512000,61669000,0.09856,0.03665,0.00942,0.00821,0.00364,7.77863,2.15155,1.25466,0.42422,0.2071,0.2071,21.99138,22.19986,1.61096,0.00873,0.0312,11.33057,16.72834
"26","2017_Q1",22.2991935483871,"Down",932098000,-802985000,129113000,-73043000,-36451000,56070000,-19433000,-18456000,-977000,36637000,36637000,-12199000,24438000,24438000,18682000,18682000,304211000,304211000,147495000,147495000,422181000,126689000,17095000,47236000,51979000,1000576000,1178706000,327210000,143514000,1505916000,2506492000,259748000,192275000,67473000,326282000,8916000,594946000,782610000,149745000,9483000,932355000,1527301000,659246000,-75816000,283214000,-4137000,862507000,979191000,2506492000,24438000,24438000,28094000,28602000,-59128000,22006000,-22455000,-283064000,178792000,-11441000,157910000,-103148000,-103148000,-103148000,84164000,1108892000,14780000,0.13852,0.06015,0.02004,0.01908,0.00745,0.79114,1.68179,1.55976,0.44241,0.4869,0.47429,24.293,22.47927,0.38521,0.01257,0.0066,9.56087,14.35136
"27","2017_Q2",21.461746031746,"Down",887684000,-811896000,75788000,-58396000,-23782000,17392000,-18122000,-18132000,10000,-730000,-730000,2381000,1651000,1651000,-3597000,-3597000,256468000,256468000,96986000,96986000,464994000,101430000,18337000,33918000,38974000,919878000,1171728000,329540000,145844000,1501268000,2421146000,175247000,129100000,46147000,341866000,7131000,524244000,782957000,145296000,8848000,928253000,1452497000,657947000,-75816000,275110000,-5629000,851612000,968649000,2421146000,1651000,1651000,26083000,3620000,-91505000,-60151000,-14902000,-21375000,12317000,-3801000,-945000,-82471000,-82471000,-82471000,43475000,1124823000,-65313000,0.08538,0.01959,-0.00405,-0.00371,-0.00149,18.15763,1.75468,1.49951,0.46458,-0.09362,-0.09362,23.10474,22.16585,-1.69997,0.00262,-0.02917,19.97366,49.92842
"28","2017_Q3",18.0825396825397,"Down",886263000,-830019000,56244000,-60030000,-25575000,-3786000,-17759000,-19116000,1357000,-21545000,-21545000,9749000,-11796000,-11796000,-16366000,-16366000,195442000,195442000,134885000,134885000,444738000,91161000,17144000,32784000,29592000,866226000,1199080000,331317000,147621000,1530397000,2396623000,184665000,139732000,44933000,347641000,8165000,540471000,733780000,131405000,8595000,865185000,1405656000,679199000,-48460000,254030000,-10400000,874369000,990967000,2396623000,-11796000,-11796000,26188000,-3131000,11147000,22408000,-13083000,-77186000,-4983000,9.31322574615479e-10,-14766000,-69544000,-69544000,-69544000,22402000,1081421000,10717000,0.06346,-0.00427,-0.01847,-0.01652,-0.00683,-0.654830000000004,1.60272,1.41847,0.45123,-0.40679,-0.40679,22.02881,21.73317,0.26638,-0.00299,0.00486000000000001,39.5491,-234.01453
"29","2017_Q4",16.7787301587302,"Down",901235000,-815787000,85448000,-64732000,-28589000,20716000,-30062000,-31506000,1444000,-9346000,-9346000,48775000,39429000,39429000,34394000,34394000,261588000,261588000,114978000,114978000,612447000,111376000,14895000,51563000,30773000,1100389000,1188270000,339878000,156999000,1528148000,2628537000,223288000,174788000,48500000,464250000,12004000,699542000,829923000,84679000,35892000,914602000,1614144000,682119000,-54193000,283592000,-13607000,897911000,1014393000,2628537000,39429000,39429000,27834000,-60639000,-83116000,-76492000,-8490000,-11674000,198985000,-3185000,180044000,91878000,91878000,91878000,48550000,1294173000,-91831000,0.09481,0.02299,0.03816,0.03391,0.01308,-2.66997,1.57301,1.59124,0.49235,0.83134,0.46841,21.78369,21.70335,-2.21964,0.01856,-0.03837,21.26849,49.84481
"30","2018_Q1",17.2816393442623,"Up",920984000,-843885000,77099000,-69675000,-34078000,7424000,-18954000,-19809000,855000,-11530000,-11530000,63877000,52347000,52347000,46630000,46630000,266651000,266651000,151122000,151122000,711878000,76820000,17808000,6890000,45709000,1206471000,1176707000,401472000,218593000,1578179000,2784650000,279274000,205479000,73795000,594103000,12884000,886261000,767396000,71857000,15056000,839253000,1725514000,685065000,-55184000,325411000,-13110000,942182000,1059136000,2784650000,52347000,52347000,27256000,13767000,-138955000,-45585000,-9992000,-18245000,63380000,34134000,86407000,22577000,22577000,22577000,34680000,1361499000,-178144000,0.08371,0.00806,0.05063,0.04403,0.01675,-3.82037,1.3613,1.62917,0.48893,1.2615,0.95395,24.9157,25.48918,-4.81939,0.02277,-0.07147,31.57001,147.47414
