"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",59.50828125,"Down",119063000,-94552000,-7684000,-57096000,-29772000,24511000,-9841000,-10274000,433000,14670000,-342754000,-328084000,-211352000,-211352000,-212287000,-212287000,44678000,44678000,2658000,80647000,4205000,28532000,170362000,2946397000,3768640000,-822243000,54699000,54699000,3001096000,3171458000,108526000,23309000,85217000,34113000,19108000,142639000,7.18e+08,67200000,11851000,785200000,927839000,2020258000,-10170000,2010088000,2243619000,3171458000,-211352000,57096000,239422000,15477000,100643000,-531728000,6993000,-526410000,106421000,-2159000,438802000,13035000,13035000,13035000,81607000,7.18e+08,0.20587,-1.78298,-0.09462,-0.06694,1.19436,0.41355,0.22639,-3.45356,-3.45356,1.93696,32.70084,-0.07009,8.25079,27.4702
"12","2015_Q4",65.1559375,"Up",111946000,-92744000,-7526000,-52375000,-32843000,19202000,-10333000,-10633000,3e+05,8869000,-246372000,-237503000,-156042000,-156042000,-156781000,-156781000,43827000,43827000,2602000,84789000,3259000,41521000,173439000,2758217000,3906153000,-1147936000,59898000,54257000,2818115000,2991554000,167355000,32010000,135345000,32817000,20421000,200172000,4.89e+08,12662000,12662000,501662000,701834000,2223362000,-166951000,2056411000,2289720000,2991554000,-156042000,52375000,223227000,20258000,139818000,-74562000,-32310000,-107899000,-2.29e+08,-2326000,-32770000.0000001,-851000,-851000,-851000,71577000,4.89e+08,0.17153,-1.40051,-0.06847,-0.05241,0.86645,0.30652,0.16346,-2.40274,-2.40274,1.71562,31.51539,-0.05617,6.2195,23.18368
"13","2016_Q1",61.7911475409836,"Down",114323000,-84281000,-8522000,-48549000,-27210000,30042000,-10626000,-10106000,-520000,19416000,-212738000,-193322000,-186835000,-186835000,-187409000,-187409000,20115000,20115000,1728000,50898000,2875000,43400000,108745000,2597625000,4011168000,-1413543000,44349000,44349000,2641974000,2750719000,124455000,20008000,104447000,16966000,16966000,141421000,487807000,12518000,12518000,500325000,641746000,2230332000,-354360000,1875972000,2108973000,2750719000,-186835000,48549000,252798000,-37615000,76897000,-95325000,-11861000,-107186000,6500000,-2078000,6577000,-23712000,-23712000,-23712000,78591000,487807000,0.26278,-1.63929,-0.08886,-0.06813,0.76895,0.30429,0.17734,-2.7984,-2.80847,1.70708,28.01212,-0.07182,5.95096,15.56794
"14","2016_Q2",75.71140625,"Up",87481000,-84022000,-12979000,-42069000,-28974000,3459000,-9450000,-10013000,563000,-5991000,-29636000,-35627000,-35627000,-35627000,-32912000,-32912000,235810000,235810000,1591000,21374000,3278000,17275000,291064000,2607446000,4093377000,-1485931000,44449000,44338000,2651895000,2942959000,93702000,7131000,86571000,12998000,12998000,106700000,485641000,13562000,13562000,499203000,605903000,2495184000,-387272000,2107912000,2337056000,2942959000,-35627000,42069000,43771000,22547000,72760000,-104111000,-2246000,-107157000,-2500000,-2298000,250092000,215695000,215695000,215695000,45528000,485641000,0.03954,-0.37622,-0.01408,-0.01118,2.72787,0.25926,0.16502,-0.46338,-0.46338,1.23168,29.67803,-0.0116,5.48741,72.22637
"15","2016_Q3",80.6684375,"Up",112483000,-78663000,-9524000,-39871000,-29268000,33820000,-9842000,-10019000,177000,23978000,-180731000,-156753000,-157121000,-157121000,-155490000,-155490000,218794000,218794000,1494000,35947000,2248000,33699000,297950000,2496373000,4190164000,-1693791000,46032000,46032000,2542405000,2840355000,122240000,28216000,94024000,19465000,12641000,141705000,494475000,17623000,13787000,512098000,653803000,2502226000,-542762000,1959464000,2186552000,2840355000,-157121000,39871000,186852000,-20581000,49021000,-63677000,-9542000,-73219000,8500000,-1444000,7182000,-17016000,-17016000,-17016000,73691000,494475000,0.30067,-1.38234,-0.07111,-0.05474,2.10261,0.29901,0.17409,-2.16804,-2.16804,1.56838,27.32141,-0.05762,3.74104,8.15142
"16","2016_Q4",87.4565079365079,"Up",142131000,-88800000,-9908000,-44746000,-34146000,53331000,-9327000,-10234000,907000,44004000,-44604000.0000001,-599999.99999997,-600000.00000006,-600000.00000006,-2230000,-2230000,167269000,167269000,1969000,36561000,3018000,33543000,258270000,3223980000,5008760000,-1784780000,43430000,43430000,3267410000,3525680000,151036000,38834000,112202000,23989000,17561000,175025000,497813000,17547000,15740000,515360000,690385000,3059861000,-544992000,2514869000,2835295000,3525680000,-599999.99999997,44746000,51179000,9240000.00000001,104565000,-675033000,-126631000,-801664000,3000000.00000003,-3583000,645574000,-51525000,-51525000,-51525000,98077000,497813000,0.37522,-0.01569,-0.000789999999999999,-0.000629999999999999,1.47562,0.2435,0.1412,-0.0289000000000001,-0.0289000000000001,1.84186,32.58995,-0.000669999999999983,3.37025,6.19797
"17","2017_Q1",90.4133870967742,"Up",185012000,-97639000,-10208000,-51329000,-36102000,87373000,-9001000,-10418000,1417000,78372000,-50108000,28264000,28440000,28440000,25598000,25598000,1666574000,1666574000,1983000,53260000,2987000,50273000,1792166000,3390857000,5226913000,-1836056000,166657000,165948000,3557514000,5349680000,163329000,47648000,115681000,46013000,23405000,209342000,1105912000,16134000,16134000,1122046000,1331388000,4216856000,-519394000,3697462000,4018292000,5349680000,28440000,51329000,52887000,-26922000,105734000,-137327000,-189330000,-328202000,6.16e+08,-45055000,1721773000,1499305000,1499305000,1499305000,138702000,1105912000,0.47226,0.13836,0.00637,0.00478,8.56095,0.33133,0.20672,0.3184,0.3184,2.30126,45.99062,0.00498,-4.04221,-6.41688
"18","2017_Q2",85.0225396825397,"Down",235230000,-117643000,-13744000,-58929000,-44970000,116733000,-11080000,-12225000,1145000,105653000,37378000,143031000,141074000,141074000,136273000,136273000,37440000,37440000,3027000,74882000,4457000,56051000,198774000,6103097000,7997994000,-1894897000,67829000,64604000,6170926000,6369700000,195262000,19689000,175573000,48807000,48807000,244069000,985786000,20487000,18939000,1006273000,1250342000,5034988000,-383121000,4651867000,5119358000,6369700000,141074000,58929000,-29227000,5151000,175927000,-1887723000,62432000,-1825479000,-120500000,-7164999.99999999,20418000,-1629134000,-1629134000,-1629134000,175662000,985786000,0.49625,0.57932,0.02662,0.02139,0.814420000000002,0.24424,0.15476,1.46277,1.45959,2.52498,49.93363,0.02225,5.3987,8.12406
"19","2017_Q3",80.5944444444444,"Down",269434000,-134948000,-11892000,-75173000,-47883000,132658000,79000,-8245000,8324000,132737000,32970000,165707000,164128000,164128000,158405000,158405000,16588000,16588000,4925000,116874000,3457000,71685000,221337000,6508747000,8478563000,-1969816000,53725000,49025000,6562472000,6783809000,271118000,27764000,243354000,52048000,52048000,323166000,1151515000,22194000,19539000,1173709000,1496875000,5042340000,-224716000,4817624000,5286934000,6783809000,164128000,75173000,-20457000,-340000,218504000,-281998000,-113999000,-395997000,165500000,-8859000,156641000,-20852000,-20852000,-20852000,207831000,1151515000,0.49236,0.58792,0.02996,0.02335,0.6849,0.28313,0.16974,1.61404,1.61056,2.74535,49.0883,0.02452,5.46082,8.55529
"20","2017_Q4",94.9731746031746,"Up",301253000,-153812000,-11888000,-87579000,-54345000,142996000,-9189000,-9192000,2999.99999999907,133807000,-51002000,82805000,81948000,81948000,73024000,73024000,30205000,30205000,4834000,54852000,3509000,49729000,193854000,7048607000,9105403000,-2056796000,45107000,45107000,7093714000,7287568000,354552000,74700000,279852000,63065000,53062000,417617000,1256388000,27440000,19982000,1283828000,1701445000,5050192000,-151692000,4898500000,5586123000,7287568000,81948000,87579000,66713000,7347000,243587000,-295073000,-248176000,-543249000,104500000,-13840000,313279000,13617000.0000002,13617000.0000002,13617000.0000002,230575000,1256388000,0.47467,0.2424,0.01307,0.01002,0.46419,0.30458,0.1724,0.74405,0.74235,3.0695,49.91135,0.01063,5.31794,8.57495
"21","2018_Q1",110.361639344262,"Up",399083000,-182597000,-10476000,-105319000,-66802000,213613000,-9810000,-11338000,1528000,203803000,-98346000,105457000,129850000,129850000,114298000,114298000,112446000,112446000,9108000,78472000,4903000,73038000,358601000,7343617000,9504989000,-2161372000,68767000,68767000,7412384000,7770985000,408358000,94590000,313768000,169070000,68703000,577428000,1477347000,134473000,20122000,1611820000,2189248000,5291993000,-37133000,5254860000,5581737000,7770985000,129607000,105078000,76903000,-60981000,250607000,-313658000,-53899000,-367557000,220500000,-21309000,199191000,82241000,82241000,82241000,318691000,1477347000,0.53526,0.2864,0.02048,0.01471,0.62103,0.39222,0.19011,1.1386,1.13543,3.97552,52.34706,0.01589,4.28284,6.3896
"22","2018_Q2",108.71578125,"Down",4.79e+08,-2e+08,-1.6e+07,-1.15e+08,-6.9e+07,2.68e+08,-1.1e+07,-1.4e+07,3e+06,2.57e+08,-3.2e+07,2.25e+08,1.78e+08,1.78e+08,1.63e+08,1.63e+08,72487000,72487000,8963000,77754000,6737000,71017000,324467000,7751172000,10026081000,-2274909000,40146000,40146000,7900421000,8224888000,425928000,63129000,362799000,181740000,82055000,607668000,1701912000,180126000,21265000,1882038000,2489706000,5300797000,116286000,5417083000,5735182000,8224888000,1.78e+08,1.15e+08,5.3e+07,-6999999.99999999,3.39e+08,-3.36e+08,-2.49e+08,-5.85e+08,2.28e+08,-2.2e+07,2.06e+08,-4e+07,-4e+07,-4e+07,3.83e+08,1701912000,0.5595,0.34029,0.02842,0.01982,0.53395,0.43411,0.20692,1.6539,1.65032,4.86023,54.96508,0.0214,4.25437,6.07994
"23","2018_Q3",111.93380952381,"Up",5.27e+08,-2.28e+08,-1.5e+07,-1.3e+08,-8.3e+07,2.81e+08,6.8e+07,-1.6e+07,8.4e+07,3.49e+08,-5.5e+07,2.94e+08,3.01e+08,3.01e+08,2.19e+08,2.19e+08,113927000,113927000,13264000,98302000,7266000,91036000,393347000,8343044000,10744284000,-2401240000,109440000,37391000,8561048000,8954395000,538197000,73974000,464223000,188880000,77550000,727077000,1967074000,247777000,21787000,2214851000,2941928000,5308344000,323105000,5631449000,6012467000,8954395000,301318000,130083000,13691000,-19739000,425353000,-509876000,-103593000,-613594000,2.65e+08,-22951000,229722000,41481000,41481000,41481000,411083000,1967074000,0.53321,0.41556,0.03642,0.02446,0.541,0.4893,0.21968,2.22078,2.21667,5.34407,57.10598,0.02812,4.50796,6.59483
"24","2018_Q4",98.1426984126984,"Down",5.37e+08,-2.49e+08,-1.4e+07,-1.46e+08,-8.9e+07,2.68e+08,-1.7e+07,-1.9e+07,1999999.99999999,2.51e+08,-4.8e+07,2.03e+08,1.6e+08,1.6e+08,1.57e+08,1.57e+08,508446000,508446000,14815000,90066000,8111000,81955000,795689000,8714606000,11260018000,-2545412000,189444000,93893000,9010884000,9806573000,522361000,85869000,436492000,199426000,75600000,721787000,2332359000,322630000,23904000,2654989000,3376776000,5465529000,467830000,5933359000,6429797000,9806573000,159417000,146318000,58255000,23373000,387363000,-475205000,-144680000,-620364000,3.75e+08,-40924000,627520000,394519000,394519000,394519000,414318000,2332359000,0.49907,0.29236,0.02442,0.01601,1.10239,0.52518,0.23784,1.59168,1.58878,5.44415,60.15287,0.01864,4.40221,6.80565
"25","2019_Q1",90.0549180327869,"Down",6.33e+08,-3.78e+08,-2e+07,-2.32e+08,-1.26e+08,2.32e+08,-3.8e+07,-3.8e+07,0,1.94e+08,1.97e+08,3.91e+08,3.06e+08,3.06e+08,3.07e+08,3.07e+08,2.15e+08,2.15e+08,3.7e+07,3.77e+08,5e+07,9.6e+07,9.25e+08,2.0372e+10,2.3146e+10,-2.774e+09,1.82e+08,8.5e+07,2.0671e+10,2.1596e+10,8.76e+08,1.28e+08,7.48e+08,1.43e+08,1.43e+08,1.019e+09,4.464e+09,1.946e+09,1.46e+08,6.41e+09,7.429e+09,1.2938e+10,7.62e+08,1.37e+10,1.4167e+10,2.1596e+10,306265000,231599000,-133946000,9366000,413284000,-161919000,288273000,-1684042000,1.35e+09,-54125000,977758000,-2.93e+08,-2.93e+08,-2.93e+08,463599000,4.464e+09,0.36651,0.48499,0.02167,0.01422,0.90775,0.52439,0.2067,2.50242,2.48922,5.15972,111.67173,0.01552,9.16525,18.31466
"26","2019_Q2",91.9092063492063,"Up",8.64e+08,-5.26e+08,-2.7e+07,-3.22e+08,-1.77e+08,3.21e+08,-4.5e+07,-4.6e+07,1e+06,2.76e+08,-2.66e+08,1e+07,42999999.9999999,42999999.9999999,1e+07,1e+07,1.26e+08,1.26e+08,3.9e+07,1.72e+08,6e+07,1.07e+08,6.93e+08,2.1047e+10,2.4142e+10,-3.095e+09,2.64e+08,1.14e+08,2.1575e+10,2.2268e+10,9.03e+08,1.8e+08,7.23e+08,2.09e+08,1.51e+08,1.112e+09,4.67e+09,1.972e+09,1.54e+08,6.642e+09,7.754e+09,1.3021e+10,7.52e+08,1.3773e+10,1.4514e+10,2.2268e+10,43000000.0000001,3.22e+08,2.65e+08,-2.53e+08,3.77e+08,-7.06e+08,-8.2e+07,-9.37e+08,1.7e+08,-4.2e+07,4.71e+08,-8.9e+07,-8.9e+07,-8.9e+07,6.43e+08,4.67e+09,0.37153,0.01157,0.00069,0.000450000000000001,0.6232,0.53424,0.20972,0.0606599999999999,0.0605799999999994,5.24106,83.54767,0.00147,7.06687,14.15576
"27","2019_Q3",87.68671875,"Down",1.021e+09,-5.9e+08,-2.2e+07,-3.59e+08,-2.09e+08,4.14e+08,-4.7e+07,-4.9e+07,2e+06,3.67e+08,9.1e+07,4.58e+08,3.56e+08,3.56e+08,3.49e+08,3.49e+08,3.26e+08,3.26e+08,4.4e+07,2.53e+08,5.6e+07,1.68e+08,9.72e+08,2.1603e+10,2.5054e+10,-3.451e+09,2.97e+08,1.24e+08,2.2199e+10,2.3171e+10,1.016e+09,2.04e+08,8.12e+08,1.64e+08,1.39e+08,1.18e+09,4.472e+09,2.069e+09,1.52e+08,6.541e+09,7.721e+09,1.2935e+10,1.069e+09,1.4004e+10,1.545e+10,2.3171e+10,3.56e+08,3.59e+08,2.7e+07,-7.6e+07,6.66e+08,4.14e+08,-1.212e+09,-8.35e+08,-1.75e+08,-1.74e+08,3.69e+08,2e+08,2e+08,2e+08,7.73e+08,4.472e+09,0.40548,0.34182,0.02259,0.01506,0.82373,0.49974,0.193,2.1172,2.10946,6.19388,84.95511,0.01723,5.36352,10.01449
"28","2019_Q4",73.40765625,"Down",9.75e+08,-5.99e+08,-1.9e+07,-3.65e+08,-2.15e+08,3.5e+08,-3.6e+07,-3.8e+07,2e+06,3.14e+08,1.76e+08,4.9e+08,3.88e+08,3.88e+08,3.68e+08,3.68e+08,1e+08,1e+08,4.5e+07,3.33e+08,2.2e+07,1.71e+08,8.45e+08,2.2043e+10,2.5858e+10,-3.815e+09,3.29e+08,1.13e+08,2.2708e+10,2.3553e+10,9.64e+08,2.33e+08,7.31e+08,2.17e+08,2.07e+08,1.181e+09,4.761e+09,2.122e+09,1.01e+08,6.883e+09,8.064e+09,1.2643e+10,1.407e+09,1.405e+10,1.5489e+10,2.3553e+10,3.88e+08,3.65e+08,-5.7e+07,1.13e+08,8.09e+08,-24000000.0000001,-9.09e+08,-9.72e+08,2.88e+08,-3.14e+08,-62999999.9999999,-2.26e+08,-2.26e+08,-2.26e+08,7.15e+08,4.761e+09,0.35897,0.37744,0.02376,0.01562,0.7155,0.52063,0.20214,2.26436,2.25917,5.99934,86.45196,0.01783,6.51888,13.31714
"29","2020_Q1",55.8243548387097,"Down",1.104e+09,-6.73e+08,-3.6e+07,-4.08e+08,-2.29e+08,4e+08,-4.1e+07,-3.9e+07,4e+06,3.59e+08,-9.55e+08,-5.96e+08,-4.72e+08,-4.72e+08,-4.87e+08,-4.87e+08,1.23e+08,1.23e+08,3.7e+07,2.8e+08,2.4e+07,1.91e+08,8.69e+08,2.1835e+10,2.6838e+10,-5.003e+09,2.39e+08,9e+07,2.2662e+10,2.3531e+10,9.58e+08,1.79e+08,7.79e+08,3.05e+08,2.78e+08,1.263e+09,5.371e+09,1.991e+09,1.05e+08,7.362e+09,8.625e+09,1.2359e+10,8.9e+08,1.3249e+10,1.4906e+10,2.3531e+10,-4.72e+08,4.08e+08,9.02e+08,4.9e+07,8.87e+08,-4.04e+08,-9.65e+08,-1.144e+09,5.63e+08,-2.48e+08,2.85e+08,2.8e+07,2.8e+07,2.8e+07,8.08e+08,5.371e+09,0.36232,-0.44112,-0.03267,-0.0207,0.68804,0.57863,0.22825,-3.0106,-3.00666,6.82484,81.90428,-0.02052,6.49505,13.12
"30","2020_Q2",36.5703174603175,"Down",8.99e+08,-6.33e+08,-2.4e+07,-4.09e+08,-2e+08,2.07e+08,-4.7e+07,-4.8e+07,1e+06,1.6e+08,-4.77e+08,-3.17e+08,-4e+08,-4e+08,-2.72e+08,-2.72e+08,1.49e+08,1.49e+08,3.6e+07,8.58e+08,1.4e+08,1.84e+08,1.268e+09,2.142e+10,2.7836e+10,-6.416e+09,8.9e+07,5.9e+07,2.2118e+10,2.3386e+10,1.022e+09,2.45e+08,7.77e+08,3.08e+08,2.92e+08,1.33e+09,5.677e+09,2.063e+09,1.09e+08,7.74e+09,9.07e+09,1.2267e+10,5.59e+08,1.2826e+10,1.4316e+10,2.3386e+10,-4e+08,4.09e+08,7.2e+08,1.2e+08,8.49e+08,-561767403.77818,-8.18e+08,-9.23e+08,3.06e+08,-1.46e+08,1.01e+08,27000000.0000001,27000000.0000001,27000000.0000001,6.16e+08,5.677e+09,0.23026,-0.30256,-0.019,-0.01163,0.95338,0.63356,0.24275,-1.71835,-1.71615,5.67941,81.02798,-0.00965999999999999,8.97403,26.70531
