"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",4.64125,"Up",36986000,-36515000,471000,-5861000,-5861000,-5390000,25000,25000,-5365000,-5365000,0,-5365000,-5365000,-5365000,-5365000,16258000,10258000,13714000,13714000,10340000,3229000,3229000,43541000,19039000,7808000,7808000,26847000,70388000,16804000,3560000,13244000,16804000,7978000,7978000,7978000,24782000,5240000,106110000,45606000,45606000,70388000,-5365000,491000,-3102000,-7976000,-23000,7964000,-12000,-12000,-12000,-4899000,0,-8024000,0.01273,-0.14573,-0.14505,-0.11764,-0.07622,1.49562,2.59111,0.54339,2.71050543121376e-20,-0.63936,-0.63936,4.40769,5.43495,-0.95623,-0.10012,-0.14975,3.31864,3.01633
"12","2014_Q1",5.79213114754098,"Up",48832000,-43573000,5259000,-5471000,-5471000,-211999.999999999,27000,27000,-185000,45000,6.93889390390723e-18,44999.9999999991,45000,45000,45000,16438000,12438000,13472000,13472000,8732000,2995000,2995000,41637000,18342000,7948000,7948000,26290000,67927000,14207000,3675000,10532000,14207000,8069000,8069000,8069000,22276000,5240000,106155000,45651000,45651000,67927000,45000,479000,-567000,-272999.999999998,445000,2453000,2180000,2180000,2180000,267000,0,145000.000000002,0.1077,-0.00434000000000004,0.000920000000000032,0.00099,0.00066,3.22222,2.93074,0.48796,0,0.00536000000000003,0.00535999999999992,5.8194,5.44031,0.01728,0.00084,0.0027,-61.56554,77.53774
"13","2014_Q2",4.81507936507936,"Down",48994000,-44665000,4329000,-5733000,-5733000,-1404000,25000,25000,-1379000,-1379000,0,-1379000,-1379000,-1379000,-1379000,16732000,9732000,12993000,12993000,9851000,3108000,3108000,42684000,17772000,7945000,7945000,25717000,68401000,16257000,3721000,12536000,16257000,7872000,7872000,7872000,24129000,5240000,104776000,44272000,44272000,68401000,-1379000,490000,1064000,175000,-4000,-2881000,-2706000,-2706000,-2706000,-914000,0,146000,0.08836,-0.02866,-0.02815,-0.03115,-0.02016,-0.10587,2.62558,0.54502,0,-0.16434,-0.16434,5.83871,5.27598,0.0174,-0.02645,0.00280000000000002,18.30635,11.91738
"14","2014_Q3",3.726875,"Down",27877000,-24796000,3081000,-3618000,-3618000,-537000,25000,25000,-512000,-350000,0,-350000,-2213000,-2213000,-2213000,15239000,10239000,12114000,12114000,9965000,3277000,3277000,40595000,17434000,7953000,7953000,25387000,65982000,16182000,2094000,14088000,16182000,7741000,7741000,7741000,23923000,5240000,102563000,42059000,42059000,65982000,-2213000,397000,322000,-1656000,34000,2163000,507000,507000,507000,-140000,5.82076609134674e-11,216000,0.11052,-0.01926,-0.07938,-0.05262,-0.03354,-0.0976100000000005,2.50865,0.5688,0,-0.26373,-0.26373,3.32215,5.01225,0.02574,-0.04444,0.00434,108.85,28.37803
"15","2014_Q4",3.6534375,"Down",30169000,-29390000,779000,-5010000,-5010000,-4231000,25000,25000,-4206000,-3906000,0,-3906000,-5712000,-5712000,-5712000,7275000,5275000,15195000,15195000,11234000,3029000,3029000,36733000,17015000,7982000,7982000,24997000,61730000,17725000,3793000,13932000,17725000,7658000,7658000,7658000,25383000,5240000,96851000,36347000,36347000,61730000,-5712000,417000,-2651000,-7646000,279000,3282000,-4364000,-4364000,-4364000,-3814000,0,-6186000,0.02582,-0.14024,-0.18933,-0.15715,-0.09253,1.08298,2.07238,0.69835,-3.46944695195361e-18,-0.68071,-0.68071,3.5953,4.33154,-0.7372,-0.1298,-0.14057,1.90745,1.71945
"16","2015_Q1",3.55459016393443,"Down",46040000,-43160000,2880000,-4750000,-4750000,-1870000,-46000,-46000,-1916000,-1672000,0,-1672000,-2560000,-2560000,-2560000,6031000,6031000,16259000,16259000,8627000,10753000,3280000,41670000,14042000,10042000,8131000,24084000,65754000,15223000,3050000,12173000,18247000,7386000,7386000,13720000,31967000,5240000,94291000,33787000,33787000,65754000,-2560000,412000,-6077000,-8469000,879000,2891000,756000,756000,756000,-1458000,6334000,-6656000,0.06255,-0.04062,-0.0556,-0.07577,-0.03893,2.6,2.28366,0.94613,0.09633,-0.30508,-0.30508,5.48667,4.02646,-0.79321,-0.05389,-0.14011,-0.20782,-0.16203
"17","2015_Q2",3.29825396825397,"Down",49604000,-45563000,4041000,-5180000,-5180000,-1139000,-70000,-70000,-1209000,-1209000,0,-1209000,-3773000,-3773000,-3773000,2995000,2995000,17172000,17172000,12952000,3635000,3635000,36754000,15580000,8128000,8128000,23708000,60462000,16793000,3856000,12937000,16793000,7321000,7321000,13655000,30448000,5240000,90518000,30014000,30014000,60462000,-3773000,394000,360000,-3019000,-26000,-17000,-3036000,-3036000,-3036000,-745000,6334000,-411000,0.08147,-0.02296,-0.07606,-0.12571,-0.0624,0.10893,2.18865,1.01446,0.10476,-0.44964,-0.44964,5.9114,3.57682,-0.04898,-0.0864,-0.00941,-4.48188,-2.93152
"18","2015_Q3",3.095,"Down",49667000,-44509000,5158000,-5008000,-5008000,150000,-69000,-69000,81000,80999.9999999998,-1.4210854715202e-14,80999.9999999998,-3444000,-3444000,-3444000,4824000,4824000,13590000,13590000,9155000,5534000,3162000,33103000,13555000,8410000,8410000,21965000,55068000,14576000,2034000,12542000,14915000,7249000,7249000,13583000,28498000,5240000,87074000,26570000,26570000,55068000,-3444000,332000,2344000,-537000,2194000,2366000,1829000,1829000,1829000,482000,6334000,5020000,0.10385,0.00302000000000002,-0.06934,-0.12962,-0.06254,-1.45761,2.21944,1.07256,0.11502,-0.41043,-0.41043,5.91891,3.1664,0.59824,-0.08577,0.12502,3.13278,10.06667
"19","2015_Q4",3.1590625,"Up",38109000,-35771000,2338000,-5159000,-5159000,-2821000,-90000,-90000,-2911000,-2911000,0,-2911000,-2997000,-2997000,-2997000,4933000,4933000,13089000,13089000,9307000,3382000,2890000,30711000,13263000,6892000,6892000,20155000,50866000,13450000,1640000,11810000,13788000,7171000,7171000,13505000,27293000,5240000,84077000,23573000,23573000,50866000,-2997000,308000,1231000,-1458000,-15000,1567000,109000,109000,109000,-2513000,6334000,-1297000,0.06135,-0.07402,-0.07864,-0.12714,-0.05892,0.43277,2.22737,1.15781,0.12452,-0.35716,-0.35716,4.54152,2.80924,-0.15457,-0.08083,-0.03498,-0.557500000000001,-0.49663
"20","2016_Q1",4.69377049180328,"Up",49605000,-44048000,5557000,-5847000,-5847000,-290000,-102000,-102000,-392000,-149000,-2.27373675443232e-13,-149000,-2e+05,-2e+05,-2e+05,4995000,4995000,15288000,15288000,9119000,2179000,2179000,31581000,11569000,7289000,7289000,18858000,50439000,14620000,3033000,11587000,15117000,7637000,2400000,11949000,27066000,5240000,83877000,23373000,23373000,50439000,-2e+05,286000,278000,679000,1646000,1639000,62000,62000,62000,-4000,4312000,1920000,0.11202,-0.00585000000000001,-0.00403000000000001,-0.00856,-0.00397,-9.6,2.0891,1.158,0.08549,-0.0238300000000001,-0.02383,5.91152,2.7854,0.22881,-0.00566,0.05436,170.75,2.35517
