"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2017_Q4",206.452380952381,"Up",1108000,-11439000,-5559000,-5880000,-12436000,-1638000,-1717000,79000,-14074000,-14074000,-14074000,-14074000,-14074000,-14074000,52897000,52897000,754000,754000,55347000,13854000,478000,478000,14332000,69679000,6506000,993000,5513000,2323000,2323000,10245000,1218000,1218000,41307000,51552000,266050000,-247923000,18127000,18127000,69679000,-14074000,762000,1939000,-289000,-11662000,-133000,-133000,4000,4000,18558000,6763000,6763000,6763000,-11674000,41505000,-11.22383,-12.70217,-0.77641,-0.20198,5.40234,2.84393,0.59566,-22.39605,-22.39605,1.76317,28.84561,-0.23129,0.97584,0.91605
"14","2018_Q1",269.245901639344,"Up",1661000,-9721000,-5565000,-4156000,-14366000,-3828000,-3899000,71000,-18194000,-18194000,-18194000,-18194000,-18194000,-18194000,41799000,41799000,708000,708000,44318000,10015000,528000,528000,10543000,54861000,6866000,648000,6218000,1982000,1982000,49544000,2969000,731000,3977000,53521000,267457000,-266117000,1340000,1340000,54861000,-18194000,746000,6381000,-10000,-11077000,125000,125000,342000,342000,-146000.000000004,-11098000,-11098000,-11098000,-13620000,41704000,-8.64901,-10.95364,-13.57761,-0.33164,0.894520000000001,39.94104,0.76018,-25.3307,-25.3307,2.31254,1.86562,-0.39541,0.00697999999999999,0.00661
"15","2018_Q2",379.5078125,"Up",2311000,-10473000,-5755000,-4718000,-11435000,-1478000,-1568000,90000,-12913000,-12913000,-12913000,-12913000,-12913000,-12913000,29733000,29733000,626000,626000,33023000,8710000,386000,386000,9096000,42119000,6385000,779000,5606000,3234000,1138000,50922000,675000,675000,1284000,52206000,268843000,-278930000,-10087000,-10087000,42119000,-12913000,629000,1747000,-1205000,-11742000,-56000,-56000,4000,4000,-348000,-12146000,-12146000,-12146000,-10806000,41912000,-4.94807,-5.58762,1.28016,-0.30658,0.6485,-5.17557,0.99509,-17.94554,-17.94554,3.21166,-14.01817,-0.39732,-1.12706,-1.06506
"16","2018_Q3",329.34126984127,"Down",3931000,-11360000,-7611000,-3749000,-10887000,-1437000,-1506000,69000,-12324000,-12324000,-12324000,-12324000,-12324000,-12324000,70710000,70710000,864000,864000,75325000,8503000,386000,386000,8889000,84214000,5362000,1152000,4210000,1182000,1182000,10315000,3572000,1576000,41916000,52231000,323238000,-291255000,31983000,31983000,84214000,-12324000,595000,4367000,-1252000,-8614000,-543000,-543000,1119000,1119000,50134000,40977000,40977000,40977000,-10292000,42115000,-2.76952,-3.13508,-0.385330000000002,-0.14634,7.30247,1.63309,0.50009,-16.10413,-16.10413,5.13675,41.79311,-0.15867,2.77837,2.62653
"17","2018_Q4",234.90873015873,"Down",2466000,-8598000,-5872000,-2726000,-9174000,-1593000,-1836000,243000,-10767000,-10767000,-10767000,-10767000,-10767000,-10767000,60225000,60225000,2024000,2024000,67320000,8190000,386000,386000,8576000,75896000,4978000,551000,4427000,1024000,1024000,9401000,3864000,1710000,42733000,52134000,325784000,-302022000,23762000,23762000,75896000,-10767000,638000,2885000,-2850000,-10094000,-351000,-351000,481000,481000,-40000,-10485000,-10485000,-10485000,-8536000,42268000,-3.72019,-4.36618,-0.45312,-0.14187,7.16094,2.19401,0.55692,-12.30161,-12.30161,2.81748,27.14878,-0.15405,2.10368,1.95738
"18","2019_Q1",170.147540983607,"Down",1792000,-9755000,-6459000,-3296000,-13594000,-1555000,-1772000,217000,-15149000,-15149000,-15149000,-15149000,-15149000,-15149000,50805000,50805000,1340000,1340000,56608000,7315000,386000,386000,7701000,64309000,6817000,744000,6073000,965000,965000,50155000,2767000,492000,2767000,52922000,328558000,-317171000,11387000,11387000,64309000,-15149000,587000,3510000,1364000,-9688000,357000,357000,363000,363000,-88999.9999999925,-9420000.00000001,-9420000.00000001,-9420000.00000001,-13007000,42373000,-7.58594,-8.45368,-1.33038,-0.23557,1.12866,4.64758,0.6589,-17.12488,-17.12488,2.02573,12.87221,-0.268,0.64827,0.62027
"19","2019_Q2",117.142857142857,"Down",1785000,-10956000,-7055000,-3901000,-13559000,-1588000,-1782000,194000,-15147000,-15147000,-15147000,-15147000,-15147000,-15147000,37400000,37400000,1741000,1741000,43578000,7128000,4849000,4849000,11977000,55555000,8402000,618000,7784000,2883000,658000,53735000,3400000,3259000,3400000,57135000,330738000,-332318000,-1580000,-1580000,55555000,-15147000,557000,3026000,-1303000,-12867000,-194000,-194000,147095.50389306,147095.50389306,-344000,-13405000,-13405000,-13405000,-13002000,42450000,-7.59608,-8.48571,9.58671,-0.27265,0.81098,-36.16139,0.76411,-17.10275,-17.10275,2.01548,-1.78401,-0.34215,-0.3884,-0.37245
"20","2019_Q3",80.265625,"Down",1804000,-10769000,-6721000,-4048000,-13785000,-1862000,-2e+06,138000,-15647000,-15647000,-15647000,-15647000,-15647000,-15647000,28422000,28422000,713000,713000,33414000,7262000,4494000,4494000,11756000,45170000,11734000,2911000,8823000,3180000,677000,57799000,2991000,2893000,2991000,60790000,332345000,-347965000,-15620000,-15620000,45170000,-15647000,615000,2493000,3699000,-8840000,-250000,-250000,330000,330000,112000,-8978000,-8978000,-8978000,-13170000,42885000,-7.64135,-8.6735,1.00173,-0.3464,0.57811,-3.89180999999999,0.94941,-17.60971,-17.60971,2.03029,-17.57932,-0.51715,-1.09818,-1.04918
"21","2019_Q4",94.5234375,"Up",1677000,-10078000,-5980000,-4098000,-12346000,-1825000,-1876000,51000,-14171000,-14171000,-14171000,-14171000,-14171000,-14171000,16213000,16213000,1917000,1917000,23813000,6314000,4126000,4126000,10440000,34253000,12227000,3427000,8800000,3213000,610000,57698000,2467000,2390000,2467000,60165000,336224000,-362136000,-25912000,-25912000,34253000,-14171000,522000,2242000,-2128000,-13535000,-291000,-291000,53000,53000,1617000,-12209000,-12209000,-12209000,-11824000,42258000,-7.36196,-8.45021,0.54689,-0.41372,0.41272,-2.3219,1.2337,-15.59829,-15.59829,1.84591,-28.52184,-0.75326,-2.20272,-2.10959
"22","2020_Q1",41.5625806451613,"Down",3069000,-11827000,-7548000,-4279000,-12368000,-1673000,-1690000,17000,-14041000,-14041000,-14041000,-14041000,-14041000,-14041000,11033000,11033000,1438000,1438000,18895000,5845000,3746000,3746000,9591000,28486000,14960000,3753000,11207000,2710000,285000,60572000,1919000,1873000,1919000,62491000,342172000,-376177000,-34005000,-34005000,28486000,-14041000,503000,1829000,1590000,-10119000,-26000,-26000,6849000,6849000,4965000,-5180000,-5180000,-5180000,-11865000,42902000,-4.02998,-4.57511,0.41291,-0.49291,0.31194,-1.8377,1.50607,-14.65761,-14.65761,3.20377,-35.49832,-1.29817,-2.68597,-2.57673
"23","2020_Q2",42.4738095238095,"Up",2545000,-11435000,-6655000,-4780000,-13561000,-1388000,-1417000,29000,-14949000,-14949000,-14949000,-14949000,-14949000,-14949000,36323000,36323000,1716000,1716000,43768000,4232000,3352000,3352000,7584000,51352000,11715000,1686000,10029000,2552000,238000,57667000,1382000,1350000,1382000,59049000,383429000,-391126000,-7697000,-7697000,51352000,-14949000,503000,2693000,-2987000,-14740000,-67000,-67000,40097000,40097000,40097000,25290000,25290000,25290000,-13058000,43400000,-5.32849,-5.87387,1.94219,-0.29111,0.75898,-7.67169,0.84515,-10.88985,-10.88985,1.85395,-5.60701,-0.4031,-0.54197,-0.52186
"24","2020_Q3",74.11328125,"Up",2552000,-9091000,-5305000,-3786000,-8839000,-1846000,-1843000,-3000,-10685000,-10685000,-10685000,-10685000,-10685000,-10685000,35796000,26549000,6165000,6165000,47372000,3900000,2442000,2442000,6342000,53714000,7750000,1779000,5971000,199000,199000,7949000.00000001,6153000,3745000,50153000,58102000,397423000,-401811000,-4388000,-4388000,53714000,-10685000,402000,2860000,-6068000,-13491000,-56000,-9303000,1.3e+07,1.3e+07,1.3e+07,-9794000.00000001,-9794000.00000001,-9794000.00000001,-8437000,4.4e+07,-3.46356,-4.18691,2.43505,-0.19892,5.95949,-13.24111,0.81915,-4.44126,-4.44126,1.06075,-1.82389,-0.23348,-0.97238,-0.92816
"25","2020_Q4",61.203125,"Down",5245000,-9048000,-5266000,-3782000,-10636000,-619000,-646000,27000,-11255000,-11255000,-11255000,-11255000,-11255000,-11255000,41049000,19059000,2969000,2969000,51447000,3585000,2413000,2413000,26184000,77631000,10061000,2407000,7654000,290000,290000,10351000,5094000,3559000,49706000,60057000,430676000,-413066000,17574000,17574000,77631000,-11255000,418000,917000,3686000,-6234000,-298000,-33263000,32398000,32398000,32398000,-7099000,-7099000,-7099000,-10218000,44612000,-2.02784,-2.14585,-0.64043,-0.14498,4.97024,3.41738,0.57467,-3.79767,-3.79767,1.76977,5.92982,-0.16729,-0.3487,-0.33499
"26","2021_Q1",105.897540983607,"Up",7788000,-8632000,-4868000,-3764000,-8320000,-1589000,-1598000,9000,-9909000,-9909000,-9909000,-9909000,-9909000,-9909000,42189000,16793000,2660000,2660000,53584000,3771000,11721000,11721000,25494000,79078000,9570000,2058000,7512000,230000,230000,9800000,15317000,13883000,60552000,70352000,431692000,-422975000,8726000,8726000,79078000,-9909000,387000,1941000,-1169000,-8750000,-379000,6372000.00000001,112000,112000,112000,-2266000,-2266000,-2266000,-7933000,45235000,-1.06831,-1.27234,-1.13557,-0.12531,5.46776,8.06233999999999,0.57203,-3.34283,-3.34283,2.6273,2.94374,-0.14303,-0.38397,-0.36611
"27","2021_Q2",64.5634920634921,"Down",6956000,-10868000,-6203000,-4665000,-9702000,-958000,-1007000,49000,-10660000,-10660000,-10660000,-10660000,-10660000,-10660000,33308000,10691000,2720000,2720000,44587000,4202000,11261000,11261000,25465000,70052000,10001000,3907000,6094000,4e+05,4e+05,10401000,14362000,13900000,60217000,70618000,433053000,-433635000,-566000,-566000,70052000,-10660000,383000,1858000,-289000,-8708000,-197000,2553000,53000,53000,53000,-6102000,-6102000,-6102000,-9319000,45855000,-1.39477,-1.53249,18.83392,-0.15217,4.2868,-124.76678,0.65459,-3.59573,-3.59573,2.34633,-0.19092,-0.17871,-1.34639,-1.29324
"28","2021_Q3",50.3359375,"Down",6694000,-12643000,-7244000,-5399000,-10780000,-2705000,-2704000,-1000.00000000001,-13485000,-12475000,-12475000,-12475000,-12475000,-12475000,52788000,32708000,2308000,2308000,63859000,4078000,10961000,10961000,15039000,78898000,8907000,2890000,6017000,438000,438000,9345000,14057000,13911000,60544000,69889000,455115000,-446110000,9009000,9009000,78898000,-12475000,313000,2896000,-1331000,-10597000,-106000,12395000,20219000,20219000,20219000,22017000,22017000,22017000,-10467000,46487000,-1.6104,-1.86361,-1.38473,-0.15812,6.83349,7.75769000000004,0.5892,-4.02622,-4.02622,2.16044,2.9076,-0.17936,0.60199,0.58451
"29","2021_Q4",34.77328125,"Down",7428000,-14920000,-8536000,-6384000,-12212000,-1750000,-1913000,163000,-13962000,-13962000,-13962000,-13962000,-13962000,-13962000,42089000,22047000,3327000,3327000,54460000,3813000,11764000,11764000,15577000,70037000,10785000,2616000,8169000,613000,613000,11398000,13970000,13920000,61102000,72500000,457605000,-460072000,-2463000,-2463000,70037000,-13962000,304000,3738000,193000,-9727000,42000,42000,24000,24000,24000,-9661000,-9661000,-9661000,-11908000,47132000,-1.64405,-1.87964,5.6687,-0.19935,4.77803,-29.43565,0.67296,-4.20442,-4.20442,2.23682,-0.74169,-0.2381,-0.4235,-0.41295
"30","2022_Q1",21.2293548387097,"Down",6980000,-11897000,-6544000,-5353000,-10279000,-855000,-850000,-5000,-11134000,-12144000,-12144000,-12144000,-12144000,-12144000,32241000,22245000,3110000,3110000,44394000,4675000,11470000,11470000,16145000,60539000,11170000,2832000,8338000,518000,518000,11688000,13964000,13936000,61754000,73442000,459317000,-472216000,-12903000,-12903000,60539000,-12144000,270000,2776000,-744000,-9842000,-199000,9801000,239000.000000002,239000.000000002,238999.999999998,197999.999999996,197999.999999996,197999.999999996,-10009000,47790000,-1.47264,-1.73983,0.94118,-0.2006,3.79825,-5.69185000000001,0.78941,-3.65227,-3.65227,2.09921,-3.88053,-0.24859,-1.5535,-1.5127
"31","2022_Q2",14.82,"Down",7234000,-15886000,-9230000,-6656000,-14857000,-1638000,-1647000,9000,-16495000,-16495000,-16495000,-16495000,-16495000,-16495000,19386000,9397000,4584000,4584000,33503000,4778000,10758000,10758000,15536000,49039000,12335000,3385000,8950000,338000,338000,12673000,13760000,13713000,62017000,74690000,463071000,-488711000,-25651000,-25651000,49039000,-16495000,286000,3389000,-1621000,-14441000,-29000,-29000,1432000,1432000,1202000,-13268000,-13268000,-13268000,-14571000,48257000,-2.05377,-2.2802,0.64305,-0.33636,2.64365,-2.91178,0.98405,-4.96321,-4.96321,2.17665,-7.71818,-0.45358,-1.9814,-1.94326
"32","2022_Q3",6.5765625,"Down",5911000,-15849000,-7824000,-8025000,-15019000,-1340000,-1344000,4000,-16359000,-18034000,-18034000,-18034000,-18034000,-18034000,13212000,13212000,3096000,3096000,24702000,4447000,10456000,10456000,14903000,39605000,13050000,5231000,7819000,142000,142000,61904000,15220000,13457000,15220000,77124000,469226000,-506745000,-37519000,-37519000,39605000,-18034000,246000,4025000,3807000,-9956000,-148000,9608000,3933000,3933000,4163000,3815000,3815000,3815000,-14773000,48712000,-2.54086,-3.05092,0.48066,-0.45535,0.39904,-2.0556,1.22995,-5.42629,-5.42629,1.77857,-11.28917,-0.68277,-2.40303,-2.36367
