"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","prepaid_expense","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",36.1146031746032,"Down",166269000,-58620000,107649000,-80508000,-9863000,-52923000,27141000,833000,833000,27974000,3058000,31032000,33840000,33840000,-1245000,32595000,-624000,31971000,6387000,6387000,26756000,26756000,37763000,37763000,70906000,3961362000,5059854000,-1098492000,443542000,28581000,18697000,396264000,4404904000,4475810000,258638000,258638000,258638000,2159704000,28920000,2780443000,-659212000,2150151000,165955000,2316106000,4475810000,33840000,52923000,-1408000,9225000,94580000,-184169000,-190160000,235438000,51269000,-41956000,-180717000,84360000,84360000,-3593000,-141906000,3943000,3943000,3943000,80064000,1901066000,0.64744,0.16324,0.19228,0.0138,0.00714,0.27415,0.93247,0.42474,0.32298,0.31359,1.67971,21.42939,0.42385,0.01753,1.31231,23.66456,69.80874
"12","2017_Q1",38.4093548387097,"Up",167646000,-57370000,110276000,-84263000,-8826000,-58406000,26013000,454000,454000,26467000,-214000,26253000,27036000,27036000,14564000,41600000,-624000,40976000,49490000,49490000,17372000,17372000,29141000,29141000,96003000,4010602000,5144705000,-1134103000,454445000,40437000,18846000,395162000,4465047000,4561050000,313885000,313885000,313885000,2261932000,28920000,2850881000,-743446000,2136355000,162763000,2299118000,4561050000,27036000,58406000,627000.00000003,-13062000,73007000,-108325000,-111702000,19916000,-88409000.0000001,-46826000,46462000,70251000,70251000,990000,70877000.0000001,55475000,55475000,55475000,84419000,1948047000,0.65779,0.15517,0.24442,0.01782,0.00898,0.30585,0.98383,0.4271,0.40671,0.3953,1.664,20.91768,0.46478,0.02067,1.14277,22.48969,72.98493
"13","2017_Q2",38.8801587301587,"Up",169408000,-57396000,112012000,-84658000,-11490000,-56145000,27354000,684000,684000,28038000,4492000,32530000,33485000,33485000,-1188000,32297000,-623000,31674000,4918000.00000001,4918000.00000001,15814000,15814000,29241000,29241000,49973000,4045868000,5212733000,-1166865000,452975000,41353000,14822000,396800000,4498843000,4548816000,207144000,207144000,207144000,2249630000,28905000,2868869000,-755750000,2142024000,157162000,2299186000,4548816000,33485000,56145000,8462000,-29173000,68919000,-89719000,-101251000,6094000,-83625000,-126122000,96740000,13191000,13191000,-13575000,-29766000,-44472000,-44472000,-44472000,83499000,2042486000,0.6612,0.16147,0.18697,0.01378,0.00696,0.24125,0.97845,0.44901,0.31133,0.30263,1.66514,20.7702,1.23967,0.03634,3.98188,24.4023,74.48885
"14","2017_Q3",39.3042857142857,"Up",177283000,-58854000,118429000,-80211000,-9050000,-55816000,38218000,564000.000000001,564000,38782000,17000,38799000,39554000,39554000,-1342000,38212000,-623000,37589000,13346000,13346000,15701000,15701000,20612000,20612000,49659000,4008469000,5172247000,-1163778000,502371000,34947000,15243000,452181000,4510840000,4560499000,200981000,200981000,200981000,2207141000,28905000,2926128000,-763023000,2192010000,161348000,2353358000,4560499000,39554000,55816000,796000,7029999.99999999,103196000,-81034000,-81034000,-497000,-81531000,-45035000,-36418000,61796000,61796000,-2209000,-21866000,-201000,-201000,-201000,94034000,2005038000,0.66802,0.21558,0.21203,0.01597,0.00824,0.24708,0.93787,0.43965,0.36679,0.35666,1.72993,21.10758,0.43945,0.01895,1.19809,21.18055,52.11398
"15","2017_Q4",39.9393650793651,"Up",180185000,-61234000,118951000,-82615000,-9247000,-56973000,36336000,558000,558000,36894000,17608000,54502000,59549000,59549000,-1886000,57663000,-623000,57040000,4864000,4864000,18027000,18027000,47761000,47761000,70652000,4031979000,5228621000,-1196642000,457835000,30070000,23523000,404242000,4489814000,4560466000,227575000,227575000,227575000,2193973000,28892000,2924048000,-751542000,2201398000,165095000,2366493000,4560466000,59549000,56973000,-19439000,1013000,98096000,14371000,-59635000,-7160000,7211000,-45423000,-39435000,530000,530000,-2312000,-86640000,18667000,18667000,18667000,93309000,1966398000,0.66016,0.20166,0.31656,0.0241,0.01251,0.31046,0.9271,0.43118,0.55245,0.53733,1.74515,21.04142,0.43994,0.02365,0.79634,21.02192,53.98321
"16","2018_Q1",35.3973770491803,"Down",175861000,-59404000,116457000,-19996000,-9861000,-58898000,96461000,-68628000,477000,27833000,30595000,58428000,59075000,59075000,3177000,62252000,-623000,61629000,3272000,3272000,24397000,24397000,85061000,85061000,112730000,4037239000,5239663000,-1202424000,473822000,28572000,23897000,421353000,4511061000,4623791000,228215000,228215000,228215000,2242548000,28892000,2929399000,-738473000,2219818000,161425000,2381243000,4623791000,59075000,58898000,-25962000,-9690000,82321000,-40421000,-84386000,-1936000,-42357000,-51641000,47561000,751000,751000.000000015,-927000.000000001,-4255999.99999999,35708000,35708000,35708000,155359000,2014333000,0.66221,0.54851,0.35044,0.02588,0.01333,0.49396,0.94176,0.43565,0.59683,0.58047,1.70307,21.21736,0.5001,0.02577,0.83793,12.94461,20.84844
"17","2018_Q2",36.42578125,"Up",180438000,-59432000,121006000,-69346000,-11778000,-57568000,51660000,-17936000,455000,33724000,31162606.3545184,33724000,34246000,34246000,-1174000,33072000,-623000,32449000,31034000,31034000,22943000,22943000,36848000,36848000,90825000,4121088000,5360471000,-1239383000,483542000,37272000,23095000,423175000,4604630000,4695455000,206258000,206258000,206258000,2318842000,28887000,2953148000,-745999000,2236036000,140577000,2376613000,4695455000,34246000,57568000,12373000,-25659000,78528000,-145451000,-145451000,-102000,-145553000,-47747000,100419000,561000,561000,-6659000,46574000,-20451000,-20451000,-20451000,109228000,2112584000,0.67062,0.2863,0.17983,0.01365,0.00691,0.44035,0.97569,0.44992,0.31405,0.30565,1.74633,21.36144,0.46211,0.01786,1.47145,19.05693,40.29326
"18","2018_Q3",39.4074603174603,"Up",178792000,-59663000,119129000,-66234000,-9540000,-56694000,52895000,-17415000,462000,35480000,16972000,52452000,52998000,52998000,-1689000,51309000,-623000,50686000,4232000,4232000,19350000,19350000,5686000,5686000,29268000,4148657000,5397300000,-1248643000,475046000,37729000,23212000,414105000,4623703000,4652971000,215451000,215451000,215451000,2270455000,28887000,2936636000,-742797000,2222726000,159790000,2382516000,4652971000,52998000,56694000,-15535000,11273000,105430000,-54104000,-54104000,-2182000,-56286000,-47832000,-58448000,1491000,1491000,-2319000,-107108000,-57964000,-57964000,-57964000,109589000,2055004000,0.6663,0.29585,0.28349,0.02127,0.01089,0.13585,0.95297,0.44165,0.49006,0.47697,1.72866,21.21127,0.46247,0.0222,0.94369,18.7133,38.77062
"19","2018_Q4",34.8885714285714,"Down",179417000,-61153000,118264000,-67212000,-9551000,-57661000,51052000,-16619000,818000,34433000,3000,34436000,35009000,35009000,-1226000,33783000,-623000,33160000,5324000,5324000,24187000,24187000,6955000,6955000,36466000,4176542000,5457452000,-1280910000,475403000,34466000,23371000,417566000,4651945000,4688411000,229912000,229912000,229912000,2317333000,28887000,2948320000,-755960000,2221247000,149831000,2371078000,4688411000,35009000,57661000,1203000,15127000,1.09e+08,-87920000,-87920000,-1145000,-89065000,-47856000,31547000,1190000,1190000,-2455000,-17574000,2361000,2361000,2361000,108713000,2087421000,0.65916,0.28454,0.18482,0.01399,0.00707,0.15861,0.97733,0.44523,0.32047,0.31184,1.73397,21.18795,0.4625,0.01817,1.44318,19.15224,40.78385
"20","2019_Q1",36.3385245901639,"Up",181388000,-62167000,119221000,-67169000,-9137000,-58032000,52052000,-17512000,205000,34540000,20240000,54780000,55377000,55377000,-1706000,53671000,-623000,53048000,3769000,3769000,25952000,25952000,6374000,6374000,36095000,4165526000,5462088000,-1296562000,473388000,28843000,23585000,420960000,4638914000,4675009000,218922000,218922000,218922000,2304753000,28877000,2976197000,-758354000,2246720000,123536000,2370256000,4675009000,55377000,58032000,-19670000,-28069000,65670000,18260000,18260000,-122918000,-15845000,-47867000,-2458000,3e+05,3e+05,-1936000,-51961000,-2136000.00000001,-2136000.00000001,-2136000.00000001,110084000,2085831000,0.65727,0.28696,0.29246,0.02238,0.01135,0.16488,0.97236,0.44617,0.51238,0.49902,1.752,21.42181,0.46234,0.02265,0.90233,18.91339,39.99965
