"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",5.31444444444444,"Down",93442000,-49304000,44138000,-42161000,1977000,-178000,-178000,1799000,1799000,-792000,1007000,1011000,1011000,1011000,6102000,6102000,5086000,5086000,112381000,14604000,9146000,138173000,72294000,46848000,5715000,2021000,119142000,257315000,26728000,26728000,72800000,22107000,22107000,22107000,94907000,294731000,-87977000,-38811000,-5535000,162408000,162408000,257315000,1011000,4170000,587000,-11388000,-5620000,-8028000,-8028000,11588000,-2060000,-2060000,-2060000,6147000,11588000,-12477000,0.47236,0.02116,0.01082,0.00623,0.00393,-12.34125,1.89798,0.58437,0.04503,0.02094,0.02081,1.93498,3.36311,-0.25837,0.00516,-0.06362,0.89247,2.77491
"12","2014_Q3",5.176875,"Down",97355000,-52410000,44945000,-47378000,-2433000,-241000,-241000,-2674000,-2674000,995000,-1679000,-1587000,-1587000,-1587000,5146000,5146000,6652000,6652000,107859000,14781000,8715000,134438000,83817000,47012000,5191000,2394000,130829000,265267000,26756000,26756000,66594000,36943000,36943000,36943000,103537000,295645000,-87977000,-40398000,-5540000,161730000,161730000,265267000,-1587000,4513000,-782000,9206000,11350000,-13059000,-13059000,753000,-956000,-956000,-956000,2080000,12336000,-2768000,0.46166,-0.02499,-0.0163,-0.00981,-0.00598,1.74417,2.01877,0.64018,0.0465,-0.03274,-0.03294,2.00819,3.33608,-0.0570999999999998,-0.00752,-0.01312,3.45673,-2.9552
"13","2014_Q4",5.0440625,"Down",88009000,-48996000,39013000,-45589000,-6576000,-280000,-280000,-6856000,-6856000,2905000,-3951000,-4063000,-4063000,-4063000,5232000,5232000,7960000,7960000,119550000,15248000,9307000,147990000,97805000,50499000,4792000,3202000,148304000,296294000,30968000,30968000,88444000,38689000,38689000,49011000,137455000,296646000,-87977000,-44461000,-5369000,158839000,158839000,296294000,-4063000,4867000,-2318000,-9714000,-11228000,-17092000,-17092000,28406000,86000,86000,86000,-1709000,40846000,-31420000,0.44328,-0.07472,-0.04617,-0.02558,-0.01371,7.7332,1.67326,0.86537,0.13786,-0.08368,-0.08368,1.81264,3.27146,-0.64713,-0.01704,-0.13181,-20.83909,-5.41575
"14","2015_Q1",4.93524590163934,"Down",135214000,-73296000,61918000,-63688000,-1770000,-1433000,-1433000,-3203000,-3203000,-3351000,-6554000,-7656000,-7656000,-7656000,4544000,4544000,8347000,8347000,105556000,7994000,7994000,126441000,102939000,8000999.99999999,4393000,3608000,110940000,237381000,32945000,32945000,76227000,44038000,44038000,56183000,132410000,297116000,-87977000,-99608000,-4560000,104971000,104971000,237381000,-7656000,10452000,4599000,11908000,19303000,-2748000,-2748000,-13583000,2972000,2972000,2972000,8682000,25735000,21193000,0.45793,-0.01309,-0.05662,-0.07293,-0.03225,-2.76816,1.65874,1.2614,0.10841,-0.15763,-0.15763,2.78396,2.16128,0.43635,-0.04381,0.12128,2.4408,-11.97232
"15","2015_Q2",4.96698412698413,"Up",96659000,-52721000,43938000,-46877000,-2939000,-411000,-411000,-3350000,-3350000,-47000,-3397000,-3536000,-3536000,-3536000,5640000,5640000,7396000,7396000,114154000,9584000,9584000,136774000,107106000,7412000,4082000,3330000,114518000,251292000,28341000,28341000,88756000,43584000,43571000,60072000,148828000,297914000,-87977000,-103144000,-4329000,102464000,102464000,251292000,-3536000,5430000,482000,-16274000,-13898000,-11086000,-11086000,26080000,1096000,1096000,1096000,2491000,51842000,-24822000,0.45457,-0.03041,-0.03658,-0.03451,-0.01407,7.0198,1.54101,1.45249,0.2063,-0.07267,-0.07267,1.98658,2.10589,-0.51015,-0.01787,-0.12543,18.54757,-15.72031
"16","2015_Q3",5.32125,"Up",104162000,-55925000,48237000,-50799000,-2562000,-451000,-451000,-3013000,-3013000,-63000.0000000005,-3076000,-4032000,-4032000,-4032000,5567000,5567000,6428000,6428000,116028000,8947000,8947000,136970000,111866000,7106000,3778000,3328000,118972000,255942000,33921000,33921000,95467000,44884000,44846000,61038000,156505000,298766000,-87977000,-107176000,-4176000,99437000,99437000,255942000,-4032000,5698000,470000,9090000,11226000,-7844000,-7844000,-3455000,-73000,-73000,-73000,3136000,48306000,4444999.99999999,0.4631,-0.0246,-0.03871,-0.04055,-0.01575,-1.10243,1.43474,1.57391,0.18874,-0.08272,-0.08272,2.13696,2.04003,0.09119,-0.02093,0.02308,13.62851,-16.68189
"17","2015_Q4",5.4228125,"Up",117356000,-62545000,54811000,-53854000,957000,-1428000,-1428000,-471000,-471000,-81000,-552000,543000,543000,543000,6066000,6066000,7514000,7514000,126403000,9523000,9523000,149506000,122370000,8076000,3549000,4527000,130446000,279952000,28545000,28545000,110169000,47273000,47208000,75789000,185958000,299601000,-87977000,-113457000,-4173000,93994000,93994000,279952000,543000,9398000,223000,-12543000,-2379000,-6422000,-6422000,8792000,-9000,-9000,-9000,10355000,73943000,-8529000,0.46705,0.00815,0.00463,0.00578,0.00194,-15.70718,1.35706,1.9784,0.26413,0.01113,0.01113,2.40617,1.92717,-0.17487,0.00252,-0.03963,6.555,70.92685
"18","2016_Q1",4.64213114754098,"Down",124044000,-67191000,56853000,-57399000,-546000,-768000,-768000,-1314000,-1314000,-69000,-1383000,-1383000,-1383000,-1383000,5170000,5170000,4721000,4721000,125014000,8254000,8254000,143159000,124962000,6226000,2669000,3557000,131188000,274347000,30684000,30684000,115066000,51874000,51678000,70877000,185943000,303344000,-87977000,-120311000,-6652000,88404000,88404000,274347000,-1383000,7833000,479000,16512000,23441000,-8095000,-8095000,-15776000,-430000,-430000,-430000,7287000,68142000,15773000,0.45833,-0.0044,-0.01115,-0.01564,-0.00504,-11.40492,1.24415,2.10333,0.24838,-0.02835,-0.02835,2.54251,1.812,0.3233,-0.00664,0.07568,8.64169,-115.33333
"19","2016_Q2",4.965,"Up",107891000,-58125000,49766000,-48711000,1055000,-784000,-784000,271000,271000,-57000,214000,214000,214000,214000,6553000,6553000,5659000,5659000,123772000,10515000,10515000,146499000,123888000,6987000,3139000,3848000,130875000,277374000,34844000,34844000,108866000,51354000,51236000,75644000,184510000,301297000,-87977000,-112477000,-7979000,92864000,92864000,277374000,214000,7342000,162000,-12681000,-4963000,-6132000,-6132000,11778000,683000,683000,683000,8397000,71818000,-10359000,0.46126,0.00978,0.00198,0.0023,0.00077,-48.40654,1.34568,1.98688,0.25892,0.00437,0.00437,2.201,1.89445,-0.21133,0.00099,-0.04795,7.77242,61.86256
"20","2016_Q3",4.8746875,"Down",117875000,-63032000,54843000,-53826000,1017000,-783000,-783000,234000,234000,-35000,199000,199000,199000,199000,5798000,5798000,4815000,4815000,123568000,10073000,10073000,144254000,124034000,6702000,2966000,3736000,130736000,274990000,36220000,36220000,108459000,51308000,51164000,73705000,182164000,301922000,-87977000,-113456000,-7663000,92826000,92826000,274990000,199000,7527000,381000,16001000,24108000,-7709000,-7709000,-16488000,-88999.9999999999,-88999.9999999999,-88999.9999999999,8544000,63922000,16871000,0.46526,0.00863,0.00169,0.00214,0.00072,84.77889,1.33003,1.96242,0.23245,0.00405,0.00405,2.40164,1.89128,0.34374,0.000960000000000001,0.08109,6.8029,57.15241
"21","2016_Q4",4.26952380952381,"Down",101871000,-56633000,45238000,-48877000,-3639000,-779000,-779000,-4418000,-4418000,-34000,-4452000,-4452000,-4452000,-4452000,5600000,5600000,6082000,6082000,133312000,9485000,9485000,154479000,126768000,6873000,2823000,4050000,133641000,288120000,30327000,30327000,127428000,51791000,51621000,72443000,199871000,302593000,-87977000,-118928000,-7439000,88249000,88249000,288120000,-4452000,7494000,30000,-14165000,-11093000,-7958000,-7958000,19631000,580000,580000,580000,3855000,83850000,-18234000,0.44407,-0.03572,-0.0437,-0.05045,-0.01545,4.09569,1.21228,2.26485,0.29102,-0.09064,-0.09064,2.07409,1.79675,-0.37124,-0.01988,-0.08144,20.29831,-21.50316
"22","2017_Q1",3.08225806451613,"Down",122646000,-67612000,55034000,-52114000,2920000,-721000,-721000,2199000,1823000,-40000,1783000,1783000,1783000,1783000,5572000,5572000,7114000,7114000,117446000,8817000,8817000,138949000,124347000,6032000,2228000,3804000,130379000,269328000,31258000,31258000,115699000,53048000,52826000,65109000,180808000,305082000,-87977000,-122567000,-6018000,88520000,88520000,269328000,1783000,7882000,377000,16866000,26908000,-7440000,-7440000,-20240000,-772000,-772000,-772000,10802000,63099000,20268000,0.44872,0.02381,0.01454,0.02014,0.00662000000000001,11.36736,1.20095,2.04257,0.23428,0.03628,0.03628,2.49585,1.80138,0.41245,0.00871,0.09903,5.32559,19.70103
"23","2017_Q2",2.45174603174603,"Down",107629000,-58941000,48688000,-53922000,-5234000,-802000,-802000,-6036000,-6036000,-29000,-6065000,-6065000,-6065000,-6065000,5853000,5853000,4328000,4328000,125788000,9440000,9440000,145409000,124070000,6270000,2552000,3718000,130340000,275749000,28456000,28456000,117856000,51928000,51706000,68583000,186439000,303778000,-87977000,-120097000,-6394000,89310000,89310000,275749000,-6065000,7754000,141000,-6387000,-4557000,-6934000,-6934000,13847000,2356000,2356000,2356000,2520000,79988000,-10772000,0.45237,-0.04863,-0.05635,-0.06791,-0.02199,1.77609,1.23379,2.08755,0.29008,-0.12249,-0.12159,2.17375,1.80377,-0.21756,-0.02742,-0.04869,29.41865,-14.16412
"24","2017_Q3",1.91206349206349,"Down",121125000,-65308000,55817000,-56971000,-1154000,-824000,-824000,-1978000,-3696000,-35000,-3731000,-3731000,-3731000,-3731000,5764000,5764000,7113000,7113000,121307000,8656000,8656000,142840000,125084000,6102000,2431000,3671000,131186000,274026000,36052000,36052000,116610000,52284000,52062000,67157000,183767000,304455000,-87977000,-119898000,-6321000,90259000,90259000,274026000,-3731000,7903000,2109000,12625000,18906000,-6841000,-6841000,-13446000,-1381000,-1381000,-1381000,6749000,63571000,12568000,0.46082,-0.00952999999999999,-0.0308,-0.04134,-0.01362,-3.36853,1.22494,2.036,0.23199,-0.07533,-0.07469,2.44544,1.82227,0.25374,-0.0181,0.06098,8.56527,-50.09272
"25","2017_Q4",2.03142857142857,"Up",103700000,-58887000,44813000,-49648000,-4835000,-871000,-871000,-5706000,-5706000,0,-5706000,-5706000,-5706000,-5706000,5791000,5791000,4232000,4232000,119878000,11747000,11747000,141648000,116126000,5878000,1923000,3955000,122004000,263652000,32750000,32750000,129325000,51656000,51434000,62548000,191873000,307729000,-92658000,-138069000,-5223000,71779000,71779000,263652000,-5706000,7680000,302000,-11377000,-9101000,-4654000,-4654000,12999000,-756000,-756000,-756000,2845000,81386000,-13186000,0.43214,-0.04662,-0.05502,-0.07949,-0.02164,2.3109,1.09529,2.67311,0.30869,-0.11739,-0.11739,2.13344,1.47672,-0.27128,-0.02786,-0.06438,26.57118,-15.63495
"26","2018_Q1",2.38491803278689,"Up",135522000,-74483000,61039000,-63762000,-2723000,-860000,-860000,-3583000,-5960000,2636000,-3324000,-3324000,-3324000,-3324000,5362000,5362000,3046000,3046000,103332000,9927000,9927000,121667000,111032000,7706000,1821000,5885000,118738000,240405000,33987000,33987000,109814000,49936000,49936000,60605000,170419000,308172000,-92658000,-139285000,-6243000,69986000,69986000,240405000,-3324000,7736000,155000,21144000,25711000,-4136000,-4136000,-22004000,-429000,-429000,-429000,5013000,59446000,19385000,0.4504,-0.02009,-0.02453,-0.0475,-0.01383,-5.83183,1.10794,2.43504,0.24727,-0.06939,-0.07056,2.82921,1.46106,0.40469,-0.01853,0.10807,10.78875,-19.86192
"27","2018_Q2",1.7371875,"Down",113331000,-62643000,50688000,-52914000,-2226000,-886000,-886000,-3112000,-3112000,2000,-3110000,-3110000,-3110000,-3110000,6994000,6994000,2673000,2673000,106219000,12226000,12226000,128112000,106478000,7558000,1720000,5838000,114036000,242148000,28699000,28699000,115251000,48644000,48644000,59090000,174341000,309100000,-92658000,-142395000,-6240000,67807000,67807000,242148000,-3110000,7324000,240000,-10295000,-5841000,-3308000,-3308000,10781000,1632000,1632000,1632000,5098000,70286000,-8507000,0.44726,-0.01964,-0.02744,-0.04587,-0.01284,2.73537,1.11159,2.57114,0.29026,-0.06374,-0.06374,2.32278,1.38974,-0.17436,-0.01665,-0.04556,12.41506,-28.43306
"28","2018_Q3",2.29571428571429,"Up",122206000,-65681000,56525000,-55177000,1348000,-958000,-958000,390000,-1180000,-5000.00000000047,-1185000,-1185000,-1185000,-1185000,6216000,6216000,2264000,2264000,102912000,11584000,11584000,122976000,103877000,7387000,1637000,5750000,111264000,234240000,32426000,32426000,105178000,47144000,47144000,61873000,167051000,309626000,-92658000,-143580000,-6199000,67189000,67189000,234240000,-1185000,7382000,387000,6050000,12634000,-4057000,-4057000,-9355000,-778000,-778000,-778000,8730000,61159000,10728000,0.46254,0.01103,-0.0097,-0.01764,-0.00506,-9.05316,1.16922,2.48628,0.2611,-0.02415,-0.02415,2.49095,1.36953,0.21867,-0.00675,0.0611300000000001,6.29359,40.7589
"29","2018_Q4",2.67412698412698,"Up",107069000,-60009000,47060000,-47407000,-347000,-798000,-798000,-1145000,-2027000,22000,-2005000,-2005000,-2005000,-2005000,6376000,6376000,1438000,1438000,116371000,11275000,11275000,135460000,98286000,7289000,1573000,5716000,105575000,241035000,29717000,29717000,115326000,45335000,45335000,60078000,175404000,309960000,-92658000,-145585000,-6086000,65631000,65631000,241035000,-2005000,7161000,139000,-13361000,-8066000,-2477000,-2477000,10703000,160000,160000,160000,6814000,72033000,-9046000,0.43953,-0.00324,-0.01873,-0.03055,-0.00832,4.51172,1.17458,2.67258,0.29885,-0.04063,-0.04063,2.1695,1.32985,-0.1833,-0.01096,-0.04943,9.6356,-189.21326
"30","2019_Q1",2.50360655737705,"Down",131150000,-74134000,57016000,-57023000,-6999.99999999953,-820000,-820000,-827000,-7262000,31000,-7231000,-7231000,-7231000,-7231000,4868000,4868000,4420000,4420000,106837000,11535000,11535000,127660000,92525000,5891000,1150000,4741000,98416000,226076000,34418000,34418000,107931000,44748000,44748000,59505000,167436000,311015000,-92658000,-153534000,-6183000,58640000,58640000,226076000,-7231000,6786000,5303000,12156000,17014000,-3119000,-3119000,-15403000,-1508000,-1508000,-1508000,6779000,56665000,15785000,0.43474,-5.00000000000032e-05,-0.05514,-0.12331,-0.03198,-2.18296,1.18279,2.85532,0.25065,-0.14623,-0.14623,2.65223,1.18587,0.31922,-0.04518,0.09862,7.6408,-7399.57143
"31","2019_Q2",1.94015873015873,"Down",112973000,-63560000,49413000,-50949000,-1536000,-864000,-864000,-2400000,-3102000,21000,-3081000,-3081000,-3081000,-3081000,6783000,6783000,3819000,3819000,112346000,11677000,11677000,134625000,89477000,213759000,1150000,212609000,303236000,437861000,23409000,23409000,149931000,211530000,211530000,226301000,376232000,311683000,-92658000,-151339000,-6057000,61629000,61629000,437861000,-3081000,6338000,591000,-20343000,-16495000,-3734000,-3734000,22144000,1915000,1915000,1915000,4802000,79036000,-19296000,0.43739,-0.0136,-0.02727,-0.04999,-0.00704,6.2629,0.89791,6.10479,0.1805,-0.06211,-0.06211,2.27759,1.24247,-0.38902,-0.00875,-0.05479,15.04644,-47.03971
"32","2019_Q3",1.68859375,"Down",123245000,-68676000,54569000,-53688000,881000,-851000,-851000,30000,30000,8000,38000,37999.9999999991,37999.9999999991,37999.9999999991,5493000,5493000,4397000,4397000,110374000,12424000,12424000,132688000,85953000,205083000,1150000,203933000,291036000,423724000,36929000,36929000,145251000,201269000,201269000,216054000,361305000,312333000,-92658000,-151301000,-5955000,62419000,62419000,423724000,37999.9999999991,6210000,690000.000000001,10475000,17413000,-3863000,-3863000,-14840000,-1290000,-1290000,-1290000,7091000,64236000,13695000,0.44277,0.00714999999999999,0.000310000000000001,0.000610000000000006,9.00000000000007e-05,360.39474,0.91351,5.78838,0.1516,0.000760000000000011,0.000760000000000011,2.47152,1.25173,0.27464,0.000120000000000002,0.04176,8.28416,66.6776399999999
"33","2019_Q4",1.4109375,"Down",106581000,-62776000,43805000,-48437000,-4632000,-870000,-870000,-5502000,-7239000,49000,-7190000,-7190000,-7190000,-7190000,5462000,5462000,3876000,3876000,120211000,11635000,11635000,141184000,83371000,200485000,1150000,199335000,283856000,425040000,27038000,27038000,157522000,195980000,195980000,210779000,368301000,312923000,-92658000,-158491000,-5035000,56739000,56739000,425040000,-7190000,6329000,1463000,-15924000,-15322000,-3376000,-3376000,18667000,-31000,-31000,-31000,1697000,82984000,-17652000,0.411,-0.04346,-0.06746,-0.12672,-0.01692,2.45508,0.89628,6.49114,0.19524,-0.14354,-0.14354,2.12775,1.13272,-0.3524,-0.02142,-0.05258,45.68179,-16.73618
"34","2020_Q1",0.877741935483871,"Down",131239000,-74825000,56414000,-52152000,4262000,-712000,-712000,3550000,2620000,-183000,2437000,2437000,2437000,2437000,4338000,4338000,6219000,6219000,102420000,10883000,10883000,123860000,78279000,188778000,1150000,187628000,267057000,390917000,31763000,31763000,130363000,187318000,187318000,202131000,332494000,313566000,-92658000,-156054000,-6431000,58423000,58423000,390917000,2437000,5686000,1567000,20517000,30207000,-2426000,-2426000,-28905000,-1124000,-1124000,-1124000,9948000,54114000,28222000,0.42986,0.03248,0.01857,0.0417100000000001,0.00623,11.58063,0.95012,5.69115,0.13843,0.04834,0.04834,2.60348,1.15898,0.55986,0.00813,0.09412,5.00362,11.67902
