"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda"
"12","2017_Q2",17.0350793650794,"Down",6.31e+08,-5.17e+08,1.14e+08,-1.35e+08,-1.35e+08,-2.1e+07,-2e+06,-2e+06,-2.3e+07,-2.3e+07,-16456474.1721901,-2.3e+07,-2.3e+07,-2.3e+07,-2.3e+07,1.02e+08,1.02e+08,4.12e+08,4.12e+08,4.91e+08,2e+07,2e+07,1.025e+09,1.36e+08,5.02e+08,4e+06,6.38e+08,1.663e+09,3.99e+08,3.05e+08,9.4e+07,3.99e+08,7e+06,1e+06,8.9e+07,4.88e+08,-1.32e+08,1.175e+09,1.175e+09,1.663e+09,-2.3e+07,1.3e+07,8e+06,-1.9e+07,-2.1e+07,-1e+06,-2e+06,1.6e+07,-7000000.00000001,-7000000.00000001,3e+06,-4e+06,-8e+06,8.2e+07,9101145.5211577,0.18067,-0.03328,-0.03645,-0.01957,-0.01383,1.10636546504936,2.56892,0.41532,0.04931,-0.21385,-0.21385,5.86699,10.92507,0.0802863498954856,-0.0182,2.5
"13","2017_Q3",13.63,"Down",6.51e+08,-5.27e+08,1.24e+08,-1.38e+08,-1.38e+08,-1.4e+07,-3e+06,-3e+06,-1.7e+07,-1.7e+07,-7.45058059692383e-09,-1.7e+07,-1.7e+07,-1.7e+07,-1.7e+07,9.7e+07,9.7e+07,4.18e+08,4.18e+08,5.29e+08,2.1e+07,2.1e+07,1.065e+09,1.3e+08,5.03e+08,3e+06,6.33e+08,1.698e+09,3.86e+08,2.85e+08,1.01e+08,3.86e+08,8e+06,1e+06,1.36e+08,5.22e+08,-1.2e+08,1.176e+09,1.176e+09,1.698e+09,-1.7e+07,1.3e+07,1.2e+07,-6.1e+07,-5.3e+07,0,0,4.7e+07,-6e+06,-6e+06,1e+06,-5e+06,-1e+06,1.28e+08,-6.2e+07,0.19048,-0.02151,-0.02611,-0.01446,-0.01001,3.64706,2.75907,0.44388,0.07538,-0.15786,-0.15786,6.04515,10.92028,-0.57573,-0.01296,-31
"14","2017_Q4",11.4252380952381,"Down",6.97e+08,-5.62e+08,1.35e+08,-1.41e+08,-1.41e+08,-6e+06,-3e+06,-3e+06,-9e+06,-9e+06,0,-9e+06,-9e+06,-9e+06,-9e+06,9.9e+07,9.9e+07,4.66e+08,4.66e+08,5.62e+08,2.2e+07,2.2e+07,1.149e+09,1.26e+08,5.05e+08,4e+06,6.31e+08,1.78e+09,4.21e+08,3.1e+08,1.11e+08,4.22e+08,8e+06,1e+06,1.71e+08,5.93e+08,-1.04e+08,1.187e+09,1.187e+09,1.78e+09,-9e+06,1.2e+07,8e+06,-4.4e+07,-3.3e+07,-2e+06,-1e+06,3.4e+07,0,0,2e+06,2e+06,6e+06,1.63e+08,-4e+07,0.19369,-0.00861,-0.01291,-0.00758,-0.00506,4.44444,2.72275,0.49958,0.09157,-0.08352,-0.08352,6.46853,11.01599,-0.37122,-0.00663,10.66667
"15","2018_Q1",10.9081967213115,"Down",6.69e+08,-5.41e+08,1.28e+08,-1.28e+08,-1.28e+08,0,-3e+06,-3e+06,-3e+06,-3e+06,-2.3283064365387e-10,-3e+06,-3e+06,-3e+06,-3e+06,9.8e+07,9.8e+07,4.23e+08,4.23e+08,5.9e+08,1.8e+07,1.8e+07,1.129e+09,1.19e+08,5.01e+08,5e+06,6.2e+08,1.749e+09,3.93e+08,2.9e+08,1.03e+08,3.94e+08,8e+06,1e+06,1.7e+08,5.64e+08,-1.05e+08,1.185e+09,1.185e+09,1.749e+09,-3e+06,1.2e+07,-6e+06,-1.1e+07,-8e+06,-1e+06,1.1e+07,-3e+06,0,0,-1e+06,-1e+06,1.2e+07,1.62e+08,0,0.19133,0,-0.00448,-0.00253,-0.00172,0,2.86548,0.47595,0.09262,-0.02778,-0.02778,6.19513,10.97343,1.11022302462516e-16,-0.00221,5.33333
"16","2018_Q2",13.1871875,"Up",7.64e+08,-6.16e+08,1.48e+08,-1.41e+08,-1.41e+08,7e+06,-4e+06,-4e+06,3e+06,3e+06,-1e+06,2e+06,2e+06,2e+06,2e+06,8e+07,8e+07,4.96e+08,4.96e+08,6.09e+08,2.1e+07,2.1e+07,1.206e+09,1.14e+08,4.98e+08,5e+06,6.12e+08,1.818e+09,4.41e+08,3.31e+08,1.1e+08,4.43e+08,8e+06,1e+06,1.83e+08,6.26e+08,-1.04e+08,1.192e+09,1.192e+09,1.818e+09,2e+06,1.1e+07,7e+06,-5e+07,-3e+07,-1e+06,-1e+06,1.3e+07,-1.8e+07,-1.8e+07,-6237690.44795498,-1.8e+07,1.8e+07,1.75e+08,-3.2e+07,0.19372,0.00916,0.00262,0.00168,0.0011,-16,2.72235,0.52517,0.09626,0.01851,0.01849,7.06918,11.02941,-0.29609,0.00145,5.27778
"17","2018_Q3",15.8609523809524,"Up",7.77e+08,-6.2e+08,1.57e+08,-1.39e+08,-1.39e+08,1.8e+07,-3e+06,-3e+06,1.5e+07,1.5e+07,-1e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,9.1e+07,9.1e+07,4.95e+08,4.95e+08,6.04e+08,2.3e+07,2.3e+07,1.213e+09,1.09e+08,4.89e+08,1.1e+07,5.98e+08,1.811e+09,4.18e+08,3.15e+08,1.03e+08,4.2e+08,7e+06,1e+06,2.02e+08,6.22e+08,-1.24e+08,1.189e+09,1.189e+09,1.811e+09,1.4e+07,1.1e+07,7e+06,-2.7e+07,5e+06,-2e+06,-1e+06,1.2e+07,1.6e+07,1.6e+07,-5e+06,1.1e+07,2.9e+07,1.95e+08,999999.999999993,0.20206,0.02317,0.01802,0.01177,0.00773,0.0714299999999994,2.8881,0.52313,0.10768,0.1293,0.12906,7.17595,10.98096,0.00924000000000008,0.01006,3.58621
"18","2018_Q4",13.9844444444444,"Down",8.22e+08,-6.54e+08,1.68e+08,-1.42e+08,-1.42e+08,2.6e+07,-4e+06,-4e+06,2.2e+07,2.2e+07,-2e+06,2e+07,2e+07,2e+07,2e+07,9.1e+07,9.1e+07,5.59e+08,5.59e+08,5.99e+08,2.3e+07,2.3e+07,1.272e+09,1.05e+08,4.84e+08,1e+07,5.89e+08,1.861e+09,4.64e+08,3.56e+08,1.08e+08,4.67e+08,7e+06,1e+06,1.77e+08,6.44e+08,-1.2e+08,1.217e+09,1.217e+09,1.861e+09,2e+07,9e+06,9e+06,-1.5e+07,2.3e+07,-2e+06,-1e+06,-2.4e+07,-1999999.99999999,-1999999.99999999,2e+06,-3.72529029846191e-09,3.5e+07,1.7e+08,2e+07,0.20438,0.03163,0.02433,0.01643,0.01075,1,2.72377,0.52917,0.09135,0.1845,0.18341,7.58288,11.22672,0.1845,0.01435,2.25714
"19","2019_Q1",13.8967213114754,"Down",7.64e+08,-6.07e+08,1.57e+08,-1.35e+08,-1.35e+08,2.2e+07,-4e+06,-4e+06,1.8e+07,1.8e+07,-2e+06,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.16e+08,1.16e+08,4.82e+08,4.82e+08,6.02e+08,1.9e+07,1.9e+07,1.219e+09,1.06e+08,4.7e+08,1e+07,5.76e+08,1.795e+09,4.39e+08,3.29e+08,1.1e+08,4.41e+08,8e+06,2e+06,1.4e+08,5.81e+08,-1.43e+08,1.214e+09,1.214e+09,1.795e+09,1.6e+07,1e+07,2e+06,4.7e+07,7.5e+07,-6e+06,-6e+06,-3.8e+07,3.1e+07,3.1e+07,-6e+06,2.5e+07,3.2e+07,1.32e+08,7.5e+07,0.2055,0.0288,0.02094,0.01318,0.00891,4.6875,2.76417,0.47858,0.07354,0.14756,0.14698,7.04606,11.19622,0.69169,0.01182,0.5
"20","2019_Q2",14.3009523809524,"Up",7.85e+08,-6.27e+08,1.58e+08,-1.35e+08,-1.35e+08,2.3e+07,-4e+06,-4e+06,1.9e+07,1.9e+07,-1e+06,1.8e+07,1.8e+07,1.8e+07,1.8e+07,8.7e+07,8.7e+07,5.13e+08,5.13e+08,6.34e+08,1.8e+07,1.8e+07,1.252e+09,1.1e+08,5.34e+08,7.4e+07,6.44e+08,1.896e+09,4.69e+08,3.39e+08,1.3e+08,4.75e+08,1.2e+07,7e+06,1.76e+08,6.51e+08,-1.33e+08,1.245e+09,1.245e+09,1.896e+09,1.8e+07,1e+07,1.3e+07,-6.1e+07,-2e+07,-5349726.56668372,-15031511.6246561,-1e+07,-3e+07,-3e+07,1e+06,-2.9e+07,3.3e+07,1.64e+08,68419525.820556,0.20127,0.0293,0.02293,0.01446,0.00949,3.57785345887944,2.63579,0.52289,0.0865,0.16581,0.16505,7.23127,11.4687,0.628681161556546,0.01267,2.33333
"21","2019_Q3",12.34796875,"Down",7.76e+08,-6.23e+08,1.53e+08,-1.36e+08,-1.36e+08,1.7e+07,-2e+06,-2e+06,1.5e+07,1.5e+07,-1e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,8e+07,8e+07,4.96e+08,4.96e+08,5.98e+08,2.1e+07,2.1e+07,1.195e+09,1.15e+08,5.39e+08,7.4e+07,6.54e+08,1.849e+09,4.61e+08,3.36e+08,1.25e+08,4.68e+08,1.5e+07,1e+07,1.17e+08,5.85e+08,-1.32e+08,1.264e+09,1.264e+09,1.849e+09,1.4e+07,1e+07,1.7e+07,2.8e+07,6.9e+07,-3e+06,-1.4e+07,-6.2e+07,-7e+06,-7e+06,-9.31322574615479e-10,-7e+06,2.7e+07,1.02e+08,5.3e+07,0.19716,0.02191,0.01804,0.01108,0.00757,3.78571,2.55342,0.46282,0.05516,0.12792,0.12851,7.09041,11.54932,0.48427,0.01014,0.81481
"22","2019_Q4",11.15546875,"Down",7.51e+08,-6.01e+08,1.5e+08,-1.36e+08,-1.36e+08,1.4e+07,-2e+06,-2e+06,1.2e+07,1.2e+07,-2e+06,1e+07,1e+07,1e+07,1e+07,1.13e+08,1.13e+08,4.66e+08,4.66e+08,5.48e+08,2.1e+07,2.1e+07,1.148e+09,1.17e+08,5.25e+08,7e+07,6.42e+08,1.79e+09,4.62e+08,3.26e+08,1.36e+08,4.7e+08,1.7e+07,1.2e+07,5.3e+07,5.23e+08,-1.43e+08,1.267e+09,1.267e+09,1.79e+09,1e+07,1e+07,1.5e+07,6.6e+07,1.01e+08,-4e+06,-3e+06,-6.4e+07,3.4e+07,3.4e+07,-1e+06,3.3e+07,2.4e+07,3.6e+07,8.8e+07,0.19973,0.01864,0.01332,0.00789,0.00559,8.8,2.44255,0.41279,0.02011,0.09174,0.09174,6.88991,11.62385,0.80734,0.00758,-3.20833
"23","2020_Q1",9.00483870967742,"Down",6.39e+08,-5.14e+08,1.25e+08,-1.34e+08,-1.34e+08,-9e+06,-2e+06,-2e+06,-1.1e+07,-1.39e+08,0,-1.39e+08,-1.39e+08,-1.39e+08,-1.39e+08,1.83e+08,1.83e+08,3.7e+08,3.7e+08,4.65e+08,4.9e+07,1.5e+07,1.067e+09,1.2e+08,4.04e+08,6.7e+07,5.24e+08,1.591e+09,3.82e+08,2.55e+08,1.27e+08,3.96e+08,1.7e+07,1.3e+07,5.1e+07,4.47e+08,-1.28e+08,1.144e+09,1.144e+09,1.591e+09,-1.39e+08,1.1e+07,1.37e+08,6.5e+07,7.4e+07,-5e+06,-1.1e+07,4e+06,6.7e+07,6.7e+07,3e+06,7e+07,2e+06,3.4e+07,6.2e+07,0.19562,-0.01408,-0.21753,-0.1215,-0.08737,-0.44604,2.69444,0.39073,0.02137,-1.27523,-1.27523,5.86239,10.49541,0.56881,-0.11632,-74.5
"24","2020_Q2",6.86698412698413,"Down",6.04e+08,-4.87e+08,1.17e+08,-1.3e+08,-1.3e+08,-1.3e+07,-3101146.76208122,-3101146.76208122,-1.3e+07,-3.33e+08,2e+06,-3.31e+08,-3.31e+08,-3.31e+08,-3.31e+08,2.02e+08,2.02e+08,3.66e+08,3.66e+08,4.34e+08,1.8e+07,1.8e+07,1.02e+09,1.12e+08,6.4e+07,6.2e+07,1.76e+08,1.196e+09,3.77e+08,2.58e+08,1.19e+08,3.85e+08,1.2e+07,1.2e+07,4.3e+07,4.28e+08,-1.67e+08,7.68e+08,7.68e+08,1.196e+09,-3.31e+08,1e+07,3.36e+08,-9e+06,6e+06,-3e+06,2e+07,-2e+06,2.4e+07,2.4e+07,-7e+06,1.7e+07,-3e+06,3.1e+07,-1.7e+07,0.19371,-0.02152,-0.54801,-0.43099,-0.27676,0.05136,2.64935,0.55729,0.02592,-3.0367,-3.0367,5.54128,7.04587,-0.15596,-0.40814,57
"25","2020_Q3",7.59203125,"Up",3.7e+08,-3.02e+08,6.8e+07,-9.7e+07,-9.7e+07,-2.9e+07,-2e+06,-2e+06,-3.1e+07,-3.1e+07,1e+06,-3e+07,-3e+07,-3e+07,-3e+07,2.69e+08,2.69e+08,2.42e+08,2.42e+08,3.7e+08,1.7e+07,1.7e+07,8.98e+08,1.09e+08,6.2e+07,5.9e+07,1.71e+08,1.069e+09,2.7e+08,1.66e+08,1.04e+08,2.78e+08,1.4e+07,1.4e+07,4.4e+07,3.22e+08,-1.59e+08,7.47e+08,7.47e+08,1.069e+09,-3e+07,7e+06,2.1e+07,7e+07,6.8e+07,-2e+06,0,-2e+06,6.6e+07,6.6e+07,3e+06,6.9e+07,-2.2e+07,3e+07,4.5e+07,0.18378,-0.07838,-0.08108,-0.04016,-0.02806,-1.5,3.23022,0.43106,0.02806,-0.27523,-0.27523,3.3945,6.85321,0.41284,-0.03793,10.86364
"26","2020_Q4",5.625,"Down",3.26e+08,-2.64e+08,6.2e+07,-8.3e+07,-8.3e+07,-2.1e+07,0,0,-2.1e+07,-2.1e+07,-1e+06,-2.2e+07,-2.2e+07,-2.2e+07,-2.2e+07,3.25e+08,3.25e+08,2.13e+08,2.13e+08,3.18e+08,2.2e+07,1.6e+07,8.78e+08,1.01e+08,6e+07,5.8e+07,1.61e+08,1.039e+09,2.57e+08,1.63e+08,9.4e+07,2.64e+08,1.5e+07,1.5e+07,4.4e+07,3.08e+08,-1.56e+08,7.31e+08,7.31e+08,1.039e+09,-2.2e+07,6e+06,2e+07,5.5e+07,5.9e+07,-2e+06,-1e+06,-2e+06,5.6e+07,5.6e+07,0,5.6e+07,-1.5e+07,2.9e+07,3.9e+07,0.19018,-0.06442,-0.06748,-0.0301,-0.02117,-1.77273,3.32576,0.42134,0.02791,-0.20183,-0.20183,2.99083,6.70642,0.3578,-0.02839,19.73333
