"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"15","2013_Q4",121.85515625,"Up",505066000,-220850000,284216000,-255158000,-202238000,-52920000,29058000,-34274000,-31611000,-3330000,667000,-5216000,-5216000,-1883000,-7099000,-7099000,-7099000,-7099000,561820000,291793000,270027000,383471000,383471000,523503000,205749000,74392000,1674543000,425076000,1065684000,-640608000,826056000,276054000,513705000,36297000,1605865000,3280408000,317401000,131899000,185502000,145484000,143779000,462885000,435541000,257742000,257742000,693283000,1156168000,232034000,1575981000,316326000,2124240000,2124240000,3280408000,54832000,54832000,-20176000,197733000,174930000,-300055000,2817000,2817000,-12091000,-309329000,-79567000,-79567000,4361000,-75206000,435541000,0.56273,0.05753,-0.01406,-0.00334,-0.00216,3.61762,0.54427,0.13277,-0.24819,-0.24819,17.6578,74.26634,-0.00252,-4.34576
"16","2014_Q1",128.181967213115,"Up",602635000,-279886000,322749000,-270432000,-214584000,-55848000,52317000,-7807000,-7019000.00000001,-2843000,2055000,44510000,44510000,-14374000,30136000,30136000,30136000,30136000,608920000,331551000,277369000,422660000,422660000,516245000,209654000,79017000,1757479000,414401000,1059828000,-645427000,839040000,266188000,517770000,55082000,1631311000,3388790000,342723000,148510000,194213000,144749000,116573000,487472000,435615000,278981000,116871000,714596000,1202068000,239989000,1606117000,340717000,2186722000,2186722000,3388790000,70550000,70550000,-27958000,-7943000,-39445000,16000,1840000,1840000,1912000,3768000.00000006,34873000,34873000,4885000,39758000,435615000,0.53556,0.08681,0.05001,0.01378,0.00889,3.60529,0.54971,0.12855,1.04971,1.02727,20.99115,76.16852,0.01039,-3.31259
"17","2014_Q2",122.103015873016,"Down",509344000,-234055000,275289000,-254818000,-202275000,-52543000,20471000,-5933000,-3857000,-2737000,661000,14538000,14538000,-7870000,6668000,6668000,6668000,6668000,641333000,364507000,276826000,383928000,383928000,513852000,227697000,227697000,1766810000,430876000,1105803000,-674927000,823451000,256444000,520525000,46482000,1674568000,3441378000,296508000,130864000,165644000,184743000,183011000,481251000,435611000,291913000,291913000,727524000,1208775000,247321000,1612785000,372598000,2232603000,2232603000,3441378000,65570000,65570000,-34825000,619000,-35570000,-116000,3424000,3424000,182000,3490000,33490000,33490000,-534000,32956000,435611000,0.54048,0.04019,0.01309,0.00299,0.00194,3.67129,0.54142,0.12658,0.2316,0.22946,17.69108,77.54517,0.00225,-10.04944
"18","2014_Q3",118.48875,"Down",536832000,-239590000,297242000,-251555000,-195838000,-55717000,45687000,3110000,-5564000,286000,8388000,48797000,48797000,-17166000,31631000,31631000,31631000,31631000,647578000,384670000,262908000,378891000,378891000,520642000,220383000,220383000,1767494000,440326000,1130388000,-690062000,877018000,292547000,535223000,49248000,1700257000,3467751000,279090000,125461000,134905000,187403000,185678000,466493000,435607000,315707000,301952000,751314000,1217807000,254344000,1644416000,351285000,2249944000,2249944000,3467751000,76872000,76872000,-33729000,15389000,-58986000,-64000,3049000,3049000,-177000.000000001,2807999.99999999,20694000,20694000,-531000,20163000,435607000,0.5537,0.0851,0.05892,0.01406,0.00912,3.7889,0.54126,0.12562,1.09731,1.08727,18.62319,78.05259,0.01054,-4.63963
"19","2014_Q4",115.07765625,"Down",530644000,-242068000,288576000,-255336000,-202550000,-52786000,33240000,-10764000,-7710000,-3667000,613000,22476000,22476000,-10967000,11509000,11509000,11509000,11509000,702578000,424593000,277985000,354401000,354401000,516047000,191419000,191419000,1764445000,420897000,1088124000,-667227000,836553000,273527000,513454000,49572000,1621579000,3386024000,348772000,126640000,222132000,155011000,153540000,503783000,435739000,269772000,269772000,705511000,1209294000,259868000,1655925000,261038000,2176730000,2176730000,3386024000,90654000,90654000,-27418000,-17458000,-46511000,-363000,1892000,1892000,237000,1766000,45909000,45909000,-5986000,39923000,435739000,0.54382,0.06264,0.02169,0.00529,0.0034,3.50239,0.55556,0.12869,0.39846,0.39494,18.37156,75.3611,0.00399,-8.02765
"20","2015_Q1",123.954754098361,"Up",598224000,-280814000,317410000,-266824000,-207537000,-59287000,50586000,-4840000,-5e+06,-3187000,3347000,45746000,45746000,-6709000,39037000,39037000,39037000,39037000,697635000,413251000,284384000,377640000,377640000,470997000,170095000,61747000,1716367000,428836000,1089098000,-660262000,806766000,254228000,500441000,52097000,1624911000,3341278000,317199000,128608000,188591000,129562000,102581000,446761000,435710000,273652000,118735000,709362000,1156123000,271349000,1694962000,218945000,2185155000,2185155000,3341278000,40216000,40216000,-40281000,-8181000,-49444000,-1270000,6686000,6686000,-1791000,3625000,-5603000,-5603000,-5739000,-11342000,435710000,0.53059,0.08456,0.06525,0.01786,0.01168,3.8418,0.52908,0.1304,1.34596,1.33505,20.62628,75.34238,0.01349,-5.17782
"21","2015_Q2",143.065873015873,"Up",472821000,-202715000,270106000,-235757000,-188555000,-47202000,34349000,-7655000,-5002000,-3806000,1153000,26694000,26694000,-8876000,17818000,17818000,17818000,17818000,710686000,425728000,284958000,342223000,342223000,478375000,170560000,170560000,1701844000,428300000,1076843000,-648543000,795790000,242970000,503422000,49398000,1624352000,3326196000,282739000,250813000,31926000,134143000,133879000,416882000,435661000,275140000,275140000,710801000,1127683000,278388000,1712780000,207446000,2198513000,2198513000,3326196000,29446000,29446000,-28383000,1287000,-27991000,-66000,1506000,1506000,-1771000,-331000,1124000,1124000,11353000,12477000,435661000,0.57126,0.07265,0.03768,0.0081,0.00536,4.08232,0.51293,0.13098,0.61247,0.60835,16.25261,75.57105,0.00612,-8.00678
"22","2015_Q3",143.92484375,"Up",506102000,-226505000,279597000,-239392000,-192845000,-46547000,40205000,-664999.999999998,-4834000,-2938000,7107000,39540000,39540000,-11117000,28423000,28423000,28423000,28423000,727646000,450133000,277513000,354161000,354161000,500975000,159146000,159146000,1741928000,439644000,1109122000,-669478000,802039000,237706000,514078000,50255000,1783415000,3525343000,265085000,239847000,25238000,138809000,138541000,403894000,435660000,326892000,114933000,762552000,1166446000,285748000,1741203000,332047000,2358897000,2358897000,3525343000,38533000,38533000,-32178000,6007000,-27865000,-65000,3080000,3080000,46000,3061000,13729000,13729000,10676000,24405000,435660000,0.55245,0.07944,0.05616,0.01205,0.00806,4.31283,0.49449,0.12358,0.97553,0.96739,17.37033,80.96159,0.00911,-7.26243
"23","2015_Q4",138.6090625,"Down",469961000,-206509000,263452000,-230781000,-187445000,-43336000,32671000,-7256000,-5822000,-2166000,732000,25415000,25415000,-8045000,17370000,17370000,17370000,17370000,786078000,507329000,278749000,341548000,341548000,512736000,154054000,154054000,1794416000,433822000,1105833000,-672011000,774625000,225020000,503588000,46017000,1871980000,3666396000,290849000,268228000,22621000,144386000,144007000,435235000,435728000,365704000,111060000,801432000,1236667000,291877000,1758573000,379380000,2429729000,2429729000,3666396000,82279000,82279000,-24786000,-1548000,-27235000,-1000,140000,140000,1984000,2123000,57167000,57167000,29000,57196000,435728000,0.56058,0.06952,0.03696,0.00715,0.00474,4.12287,0.50897,0.11884,0.59496,0.59003,16.09731,83.22415,0.00538,-10.72358
"24","2016_Q1",131.278360655738,"Down",570557000,-262042000,308515000,-249032000,-193145000,-55887000,59483000,-5285000,-6034000,-1339000,2088000,54198000,54198000,-8570000,45628000,45628000,45628000,45628000,786267000,457549000,328718000,391485000,391485000,490224000,109620000,15251000,1777596000,437690000,1117086000,-679396000,774592000,214026000,495948000,64618000,1932122000,3709718000,309587000,122391000,187196000,131764000,101783000,441351000,433883000,343981000,110506000,777864000,1219215000,300411000,1808055000,382138000,2490503000,2490503000,3709718000,35952000,35952000,-27946000,-50756000,-83778000,-150000,3510000,3510000,368000,3728000,-44098000,-44098000,-5682000,-49780000,433883000,0.54073,0.10425,0.07997,0.01832,0.0123,4.02762,0.48955,0.11696,1.55615,1.5453,19.45899,84.93922,0.01396,-5.92411
"25","2016_Q2",142.6353125,"Up",471197000,-207168000,264029000,-238302000,-189716000,-48586000,25727000,-5532000,-5580000,-1129000,1177000,20195000,20195000,-7919000,12276000,12276000,12276000,12276000,748660000,403615000,345045000,381100000,381100000,533312000,112192000,112192000,1775264000,449226000,1159054000,-709828000,817486000,242264000,509582000,65640000,1978149000,3753413000,268974000,241249000,27725000,131914000,131618000,400888000,433980000,374096000,374096000,808076000,1208964000,308879000,1820331000,415340000,2544449000,2544449000,3753413000,-7448000,-7448000,-25295000,-15929000,-50858000,-77000,3768000,3768000,-3433000,258000,-58048000,-58048000,4114000,-53934000,433980000,0.56034,0.0546,0.02605,0.00482,0.00327,4.42833,0.47514,0.11562,0.41806,0.41605,16.04676,86.65199,0.00366,-12.23151
"26","2016_Q3",151.775,"Up",516777000,-236545000,280232000,-255347000,-205536000,-49811000,24885000,4339000,-5632000,-1237000,11208000,29224000,26864000,-8850000,18014000,18014000,18014000,18014000,791595000,418651000,372944000,366281000,366281000,541514000,106298000,106298000,1805688000,457685000,1179109000,-721424000,800799000,230709000,505311000,64779000,2068947000,3874635000,277968000,256112000,21856000,132437000,132143000,410405000,434057000,415612000,415612000,849669000,1260074000,316757000,1838345000,459560000,2614561000,2614561000,3874635000,77155000,77155000,-31549000,-26072000,-59470000,-79000,3107000,3107000,7999.99999999907,3036000,20721000,20721000,-5685000,15036000,434057000,0.54227,0.04815,0.03486,0.00689,0.00465,4.39977,0.48194,0.11203,0.61276,0.60881,17.57864,88.9367,0.0052,-14.36761
"27","2016_Q4",170.481904761905,"Up",508745000,-229276000,279469000,-251376000,-201452000,-49924000,28093000,-5405000,-5634000,-1210000,1439000,22688000,22688000,-4283000,18405000,18405000,18405000,18405000,806116000,417939000,388177000,367662000,367662000,556358000,119967000,119967000,1850103000,474667000,1217176000,-742509000,791298000,220904000,506573000,63821000,2169623000,4019726000,302727000,280453000,22274000,139991000,139694000,442718000,434137000,440180000,140535000,874317000,1317035000,324639000,1856750000,521403000,2702691000,2702691000,4019726000,51607000,51607000,-39101000,-14020000,-53429000,-75000,1953000,1953000,1019000,2897000,1075000,1075000,-1787000,-712000,434137000,0.54933,0.05522,0.03618,0.00681,0.00458,4.17896,0.48731,0.108,0.62508,0.6203,17.27839,91.79089,0.00515,-13.24099
"28","2017_Q1",192.612741935484,"Up",571453000,-256755000,314698000,-275380000,-217993000,-57387000,39318000,-7560000,-6534000,-966000,-59999.9999999991,31758000,-28187000,5492000,-22695000,-22695000,-22695000,-22695000,839440000,456264000,383176000,372348000,372348000,524961000,107775000,16761000,1844524000,488614000,1227388000,-738774000,686576000,161609000,477115000,47852000,2005980000,3850504000,324597000,133109000,191488000,146725000,115388000,471322000,434186000,365836000,140537000,800022000,1271344000,332914000,1828581000,417766000,2579160000,2579160000,3850504000,94752000,94752000,-45228000,-2171000,-50123000,-35000,2452000,2452000,412000,2829000,47458000,47458000,-9500000,37958000,434186000,0.5507,0.0688,-0.03971,-0.0088,-0.00589,3.91351,0.49293,0.11276,-0.76792,-0.76112,19.33589,87.26941,-0.00672,-10.30709
"29","2017_Q2",217.910317460317,"Up",500051000,-229988000,270063000,-243854000,-194402000,-49452000,26209000,-6062000,-5316000,-1789000,1043000,20147000,20147000,-7734000,12413000,12413000,12413000,12413000,674075000,291663000,382412000,373443000,373443000,559819000,125234000,125234000,1732571000,505104000,1261505000,-756401000,759474000,190614000,516191000,52669000,2220198000,3952769000,264527000,231485000,33042000,142977000,142511000,407504000,434289000,403510000,403510000,837799000,1245303000,342587000,1848337000,516643000,2707466000,2707466000,3952769000,-56203000,-56203000,-39317000,2466000,-110392000,-112000,3890000,3890000,-3105000,673000,-165922000,-165922000,1338000,-164584000,434289000,0.54007,0.05241,0.02482,0.00457999999999999,0.00314,4.25167,0.45995,0.10987,0.41964,0.415,16.90504,91.53029,0.0035,-9.14898999999998
"30","2017_Q3",225.031746031746,"Up",504666000,-231291000,273375000,-275076000,-212489000,-62587000,-1701000,2821000,-6045000,-2516000,11382000,1120000,1119999.99999999,3915000,5035000,5035000,5035000,5035000,712852000,321584000,391268000,392842000,392842000,580581000,140253000,14598000,1826528000,503329000,1277970000,-774641000,772643000,184819000,530287000,57537000,2316931000,4143459000,310874000,277566000,33308000,144236000,143731000,455110000,434386000,442966000,148123000,877352000,1332462000,347661000,1853372000,610948000,2810997000,2810997000,4143459000,62500000,62500000,-25613000,-7718000,-37283000,-73000,-995000,-112000,0,-1068000,24149000,24149000,5852000,30001000,434386000,0.54169,-0.00337,0.00998000000000001,0.00179,0.00122,4.01338,0.47402,0.10484,0.17003,0.1678,17.04204,94.92443,0.00137,163.70723
"31","2017_Q4",242.320317460317,"Up",534141000,-235133000,299008000,-260246000,-198169000,-62077000,38762000,-8174000,-5872000,-3363000,1061000,30588000,30588000,-8521000,22067000,22067000,22067000,22067000,716457000,328894000,387563000,419708000,419708000,601571000,154715000,13487000,1892451000,500687000,1297243000,-796556000,759789000,181133000,520706000,57950000,2293277000,4185728000,304941000,273958000,30983000,161515000,161063000,466456000,434475000,436350000,147779000,870825000,1337281000,350737000,1880765000,617162000,2848447000,2848447000,4185728000,28475000,28475000,-20272000,6629000,-14814000,-71000,-2193000,-156000,-576000,-2840000,10821000,10821000,-3367000,7454000,434475000,0.55979,0.07257,0.04131,0.00775,0.00527,4.05708,0.46948,0.1038,0.744,0.73429,18.0088,96.03665,0.00593,-7.2747
