"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",32.0503125,"Down",5.021e+09,-3.827e+09,1.194e+09,-1.224e+09,-5.18e+08,-4.79e+08,-3e+07,2.84e+08,-6e+07,2.54e+08,-1.27e+08,1.27e+08,-3.7e+07,9e+07,9e+07,-8e+06,8.2e+07,8.2e+07,2.56e+09,2.56e+09,4.619e+09,4.619e+09,1.004e+09,6.6e+08,3.44e+08,8.183e+09,5.115e+09,1.6301e+10,6.14e+09,6.003e+09,3.72e+08,3.786e+09,2.1416e+10,2.9599e+10,5.636e+09,1.576e+09,4.06e+09,1.581e+09,1.567e+09,1.567e+09,8.784e+09,7.315e+09,4.399e+09,4.399e+09,1.1714e+10,2.0498e+10,1.0704e+10,-1.51e+08,-1.628e+09,-1.76e+08,8.749e+09,3.52e+08,9.101e+09,2.9599e+10,9e+07,4.83e+08,4.52e+08,-5.48e+08,4.77e+08,7.3e+07,-7.6e+07,-7.2e+07,-7.5e+07,-6.31e+08,6.51e+08,1e+06,6.5e+08,-7.51e+08,-7.85e+08,-3.83e+08,-3.83e+08,6.3e+07,-3.2e+08,4.53e+08,8.896e+09,1.5e+07,0.2378,-0.00597,0.01633,0.00901,0.00277,0.18293,0.93158,2.25228,0.30055,0.32149,0.32149,19.68556,34.30173,0.05881,0.00607,0.00067,13.98675,-211.2
"12","2020_Q1",26.1012903225806,"Down",4.815e+09,-3.773e+09,1.042e+09,-1.062e+09,-5.36e+08,-5.26e+08,-2e+07,3.16e+08,-6e+07,2.96e+08,-3.858e+09,-3.562e+09,6.1e+07,-3.501e+09,-3.501e+09,6e+06,-3.495e+09,-3.495e+09,3.679e+09,3.679e+09,4.392e+09,4.392e+09,9.16e+08,6.46e+08,2.7e+08,8.987e+09,3.547e+09,1.3472e+10,7.159e+09,2.017e+09,2.65e+08,4.031e+09,1.7019e+10,2.6006e+10,5.116e+09,1.598e+09,3.518e+09,1.276e+09,1.503e+09,1.503e+09,7.895e+09,8.672e+09,4.31e+09,3.549e+09,1.2982e+10,2.0877e+10,1.0717e+10,-1.52e+08,-5.177e+09,-6.03e+08,4.785e+09,3.44e+08,5.129e+09,2.6006e+10,-3.501e+09,5.31e+08,3.812e+09,-3.96e+08,4.46e+08,-1.49e+08,0,-2.4e+07,-1.73e+08,1.017e+09,-7.36e+08,0,-7.36e+08,7.34e+08,9.62e+08,1.235e+09,1.235e+09,-1.16e+08,1.119e+09,5.11e+08,9.948e+09,-95000000.0000001,0.21641,-0.00415,-0.72586,-0.68142,-0.13439,0.0271800000000002,1.13832,4.07038,0.38253,-13.78372,-13.78372,18.98959,18.87127,-0.37466,-0.17754,-0.0049,12.2681,-313.45
"13","2020_Q2",15.9039682539683,"Down",4.502e+09,-3.629e+09,8.73e+08,-1.031e+09,-5.39e+08,-4.92e+08,-1.58e+08,5e+06,-8.3e+07,-1.53e+08,-7.2e+07,-2.25e+08,2.6e+07,-1.99e+08,-1.99e+08,-6e+06,-2.05e+08,-2.05e+08,5.509e+09,5.509e+09,4.271e+09,4.271e+09,9.28e+08,6.67e+08,2.61e+08,1.0708e+10,5.105e+09,1.2081e+10,5.54e+09,2.057e+09,2.85e+08,4.199e+09,1.7186e+10,2.7894e+10,5.125e+09,1.522e+09,3.603e+09,1.682e+09,1.518e+09,1.518e+09,8.325e+09,1.0334e+10,4.293e+09,4.293e+09,1.4627e+10,2.2952e+10,1.0732e+10,-1.54e+08,-5.386e+09,-5.99e+08,4.593e+09,3.49e+08,4.942e+09,2.7894e+10,-1.99e+08,4.96e+08,2.09e+08,-3.87e+08,1.19e+08,-1.37e+08,-1e+07,8.6e+07,-6.1e+07,1.845e+09,-1220489512.53345,980296.002840267,-1703859912.82462,-6e+06,1.786e+09,1.844e+09,1.844e+09,-1.4e+07,1.83e+09,3.38e+08,1.2016e+10,-2.12e+08,0.19391,-0.0351,-0.04554,-0.04148,-0.00735,1.03415,1.28625,4.64427,0.43077,-0.80826,-0.80826,17.75027,18.10906,-0.83586,-0.00715,-0.00998,19.25148,-41.18354
"14","2020_Q3",18.2434375,"Up",4.554e+09,-3.563e+09,9.91e+08,-1.064e+09,-5.39e+08,-5.25e+08,-7.3e+07,3.2e+07,-7.1e+07,-40999999.9999999,-2.65e+08,-3.06e+08,6e+07,-2.46e+08,-2.46e+08,2e+06,-2.44e+08,-2.44e+08,3.079e+09,3.079e+09,4.194e+09,4.194e+09,1.064e+09,6.04e+08,3.35e+08,8.337e+09,4.972e+09,1.2361e+10,4.146e+09,7.25e+08,2.92e+08,4.36e+09,1.7333e+10,2.567e+10,5.415e+09,1.345e+09,4.07e+09,1.622e+09,1.619e+09,1.619e+09,8.656e+09,8.046e+09,4.217e+09,4.217e+09,1.2263e+10,2.0919e+10,1.0749e+10,-1.55e+08,-5.631e+09,-5.62e+08,4.401e+09,3.5e+08,4.751e+09,2.567e+10,-2.46e+08,5.29e+08,1.89e+08,-5.96046447753906e-08,4.72e+08,-1.13e+08,2.38418579101562e-07,-60000000.0000001,-1.73e+08,-2.743e+09,-627550053.670661,2206778.06878837,-1709552902.52551,-6e+06,-2.749e+09,-2.45e+09,-2.453e+09,2.3e+07,-2.43e+09,4.56e+08,9.668e+09,2.83e+08,0.21761,-0.01603,-0.05358,-0.0513600000000001,-0.00951000000000001,-1.15984,0.96315,4.40307,0.37663,-0.96014,-0.960140000000002,17.91996,17.31791,1.1136,-0.01309,0.01519,14.44956,-90.26027
"15","2020_Q4",21.344375,"Up",4.288e+09,-3.333e+09,9.55e+08,-9.92e+08,-5.17e+08,-4.75e+08,-3.7e+07,7.3e+07,-5.4e+07,3.6e+07,1.942e+09,1.978e+09,-8.75e+08,1.103e+09,1.103e+09,-5e+06,1.098e+09,1.098e+09,3.919e+09,3.919e+09,4.13e+09,4.13e+09,1.056e+09,5.86e+08,4.7e+08,9.105e+09,4.78e+09,9.749e+09,4.019e+09,7.36e+08,3.15e+08,4.679e+09,1.4529e+10,2.3634e+10,5.923e+09,8.52e+08,5.071e+09,7.95e+08,1.552e+09,1.552e+09,8.27e+09,5.444e+09,3.925e+09,3.925e+09,9.369e+09,1.7639e+10,1.0751e+10,-1.56e+08,-4.533e+09,-4.07e+08,5.655e+09,3.4e+08,5.995e+09,2.3634e+10,1.103e+09,4.81e+08,-2.175e+09,4.04e+08,-1.87e+08,-1.47e+08,4.942e+09,-6.1e+07,4.734e+09,-3.702e+09,999999.999998808,1e+06,-1162515935.81408,-7e+06,-3.708e+09,8.39e+08,8.29e+08,1.1e+07,8.4e+08,4.44e+08,6.239e+09,1.576e+09,0.22271,-0.00863,0.25606,0.18315,0.04646,1.43534,1.10097,2.94229,0.26398,4.31723,4.31723,16.85999,22.23489,6.19667,0.06795,0.09753,5.22523,-62.7027
"16","2021_Q1",27.4290163934426,"Up",4.385e+09,-3.561e+09,8.24e+08,-9.49e+08,-4.71e+08,-4.78e+08,-1.25e+08,-4.75e+08,-5.5e+07,-6e+08,-1.93e+08,-7.93e+08,-1.1e+07,-8.04e+08,-8.04e+08,6e+06,-7.98e+08,-7.98e+08,2.968e+09,2.968e+09,4.156e+09,4.156e+09,1.084e+09,5.67e+08,3.57e+08,8.208e+09,2.946e+09,1.0884e+10,4.043e+09,2.007e+09,2.89e+08,4.192e+09,1.383e+10,2.2038e+10,5.368e+09,9.14e+08,4.454e+09,1.167e+09,1.615e+09,1.615e+09,8.15e+09,4.345e+09,4.235e+09,3.442e+09,8.58e+09,1.673e+10,1.0764e+10,-1.58e+08,-5.331e+09,-3.02e+08,4.973e+09,3.35e+08,5.308e+09,2.2038e+10,-8.04e+08,4.82e+08,9.19e+08,-8.08e+08,-2.11e+08,4.6e+07,1.99e+08,-1.49e+08,9.6e+07,-7.96e+08,0,0,-472185979.401772,-8999999.99999999,-8.05e+08,-9.2e+08,-9.7e+08,1.9e+07,-9.51e+08,3.57e+08,5.512e+09,-3.94e+08,0.18791,-0.02851,-0.18198,-0.15034,-0.03621,0.49373,1.00712,3.15185,0.25011,-3.13593,-3.13593,17.23189,19.54258,-1.54832,-0.05301,-0.02617,7.12605,-20.352
"17","2021_Q2",35.6887301587302,"Up",4.141e+09,-3.255e+09,8.86e+08,-8.05e+08,-3.83e+08,-4.22e+08,8.1e+07,6.1e+07,-4.2e+07,1.42e+08,2.82e+08,4.24e+08,-1.42e+08,2.82e+08,2.82e+08,-4e+06,2.78e+08,2.78e+08,2.46e+09,2.46e+09,4.081e+09,4.081e+09,1e+09,6.59e+08,3.41e+08,7.541e+09,2.841e+09,1.0485e+10,5.187e+09,6.39e+08,2.38e+08,4.421e+09,1.3326e+10,2.0867e+10,5.144e+09,8.57e+08,4.287e+09,8.17e+08,1.445e+09,1.445e+09,7.406e+09,4.116e+09,3.959e+09,3.959e+09,8.075e+09,1.5481e+10,1.0716e+10,-1.68e+08,-5.045e+09,-4.26e+08,5.077e+09,3.09e+08,5.386e+09,2.0867e+10,2.82e+08,4.27e+08,-2.64e+08,-4.74e+08,-2.9e+07,-1.53e+08,5.13e+08,-4.9e+07,3.11e+08,-8.33e+08,-3.9e+07,9e+06,-4.8e+07,6e+06,-8.66e+08,-5.84e+08,-5.21e+08,1.3e+07,-5.08e+08,5.08e+08,4.933e+09,2.3e+07,0.21396,0.01956,0.06713,0.05162,0.01332,0.08273,1.01823,2.8743,0.2364,1.09389,1.09389,16.29417,19.97718,0.0905,0.01947,0.00161,4.86811,30.53086
"18","2021_Q3",37.85546875,"Up",4.027e+09,-3.088e+09,9.39e+08,-8.18e+08,-3.7e+08,-4.48e+08,1.21e+08,56999999.9999999,-4.5e+07,1.78e+08,-4.26e+08,-2.48e+08,61000000.0000001,-1.87e+08,-1.87e+08,-1e+06,-1.88e+08,-1.88e+08,2.699e+09,2.699e+09,3.821e+09,3.821e+09,8.64e+08,5.34e+08,3.3e+08,7.384e+09,2.691e+09,1.004e+10,3.691e+09,1.805e+09,2.55e+08,4.289e+09,1.2731e+10,2.0115e+10,4.749e+09,7.24e+08,4.025e+09,7.45e+08,1.325e+09,1.325e+09,6.819e+09,4.363e+09,3.85e+09,3.85e+09,8.213e+09,1.5032e+10,1.0649e+10,-1.7e+08,-5.225e+09,-4.82e+08,4.772e+09,3.11e+08,5.083e+09,2.0115e+10,-1.87e+08,4.52e+08,4.21e+08,-1.23e+08,5.63e+08,-8.7e+07,0,-2.5e+07,-1.12e+08,-92000000.0000001,-9.9e+07,3e+06,-1.02e+08,-5999999.99999999,-1.97e+08,2.54e+08,2.54e+08,-1.5e+07,2.39e+08,5.73e+08,5.108e+09,3.02e+08,0.23318,0.03005,-0.04668,-0.03699,-0.00935,-1.60638,1.08286,2.95731,0.25394,-0.744850000000001,-0.74485,15.95483,18.9065,1.19651,-0.01339,0.02151,4.20419,19.90909
"19","2021_Q4",32.5821875,"Down",4.089e+09,-3.179e+09,9.1e+08,-7.64e+08,-3.4e+08,-4.24e+08,1.46e+08,6.2e+07,-2.3e+07,2.08e+08,-4.2e+07,1.66e+08,-6.4e+07,1.02e+08,1.02e+08,-4e+06,9.8e+07,9.8e+07,2.919e+09,2.919e+09,3.67e+09,3.67e+09,9.14e+08,6e+08,3.14e+08,7.503e+09,2.555e+09,9.895e+09,3.575e+09,1.751e+09,2.59e+08,4.31e+09,1.245e+10,1.9953e+10,4.635e+09,7.59e+08,3.876e+09,7.06e+08,1.387e+09,1.387e+09,6.728e+09,4.236e+09,3.902e+09,3.902e+09,8.138e+09,1.4866e+10,1.0386e+10,-1.71e+08,-5.058e+09,-3.85e+08,4.772e+09,3.15e+08,5.087e+09,1.9953e+10,1.02e+08,4.3e+08,2.27e+08,-6.3e+07,6.96e+08,-9.3e+07,6e+06,-1.9e+07,-1.06e+08,1.54e+08,-2.02e+08,9.31322574615479e-10,-2.02e+08,-3.49e+08,-3.97e+08,1.93e+08,1.93e+08,2.7e+07,2.2e+08,5.76e+08,4.942e+09,4.84e+08,0.22255,0.03571,0.02397,0.01926,0.00491,4.93878,1.11519,2.92235,0.24768,0.38827,0.38827,16.20048,18.9065,1.91759,0.00703,0.03474,3.51215,13.85616
"20","2022_Q1",33.073064516129,"Up",4.008e+09,-3.161e+09,8.47e+08,-7.38e+08,-3.15e+08,-4.23e+08,1.09e+08,7.62e+08,-2.9e+07,8.71e+08,-71999999.9999999,7.99e+08,-2.6e+08,5.39e+08,5.39e+08,-9e+06,5.3e+08,5.3e+08,2.672e+09,2.672e+09,3.854e+09,3.854e+09,9.2e+08,6.17e+08,2.68e+08,7.446e+09,2.412e+09,1.0281e+10,3.378e+09,6.17e+08,2.21e+08,6.065e+09,1.2693e+10,2.0139e+10,4.489e+09,8.4e+08,3.452e+09,9e+08,1.464e+09,4.11e+08,6.853e+09,4.065e+09,3.846e+09,2.984e+09,7.911e+09,1.4764e+10,1.006e+10,-1.73e+08,-4.45e+09,-3.85e+08,5.052e+09,3.23e+08,5.375e+09,2.0139e+10,5.39e+08,4.33e+08,-2.79e+08,-6.68e+08,2.5e+07,-1.16e+08,1.4e+07,1.95e+08,9.3e+07,-3.35e+08,-2.75e+08,1e+06,-2.76e+08,2.52e+08,-3.58e+08,-2.4e+08,-2.51e+08,4e+06,-2.47e+08,5.42e+08,4.965e+09,1.8e+07,0.21133,0.0272,0.13224,0.0986,0.02632,0.0339600000000004,1.08653,2.74679,0.24654,2.08546,2.08546,15.77083,19.87881,0.0708299999999997,0.03736,0.00127,4.23063,21.0367
"21","2022_Q2",31.0293548387097,"Down",3.707e+09,-2.93e+09,7.77e+08,-7.38e+08,-3.49e+08,-3.89e+08,3.9e+07,8.7e+07,-1.7e+07,1.26e+08,-4e+06,1.22e+08,-1.9e+07,1.03e+08,1.03e+08,-1e+06,1.02e+08,1.02e+08,2.209e+09,2.209e+09,3.693e+09,3.693e+09,9.46e+08,6.66e+08,2.7e+08,6.848e+09,2.212e+09,9.587e+09,3.117e+09,1.607e+09,2.1e+08,4.602e+09,1.1799e+10,1.8647e+10,4.065e+09,7.95e+08,3.27e+09,9.04e+08,1.288e+09,1.288e+09,6.257e+09,3.874e+09,3.467e+09,3.467e+09,7.341e+09,1.3598e+10,9.71e+09,-1.83e+08,-4.239e+09,-5.63e+08,4.725e+09,3.24e+08,5.049e+09,1.8647e+10,1.03e+08,3.98e+08,8.5e+07,-4.23e+08,1.63e+08,-1.04e+08,-3.6e+07,-5.2e+07,-1.92e+08,-1.06e+08,-2.71e+08,1e+06,-2.72e+08,-1.7e+07,-3.94e+08,-4.23e+08,-4.13e+08,-5e+07,-4.63e+08,4.37e+08,4.778e+09,-7.1e+07,0.2096,0.01052,0.02752,0.0202,0.00547,-0.69608,1.09445,2.69321,0.25623,0.43875,0.42969,15.94546,20.32433,-0.3054,0.00767,-0.00534,5.87872,65.87179
"22","2022_Q3",27.49375,"Down",3.566e+09,-2.775e+09,7.91e+08,-7.04e+08,-3.24e+08,-3.8e+08,8.7e+07,5.2e+07,-1.6e+07,1.39e+08,-8.5e+07,5.4e+07,-2.6e+07,2.8e+07,2.8e+07,-1e+06,2.7e+07,2.7e+07,2.26e+09,2.26e+09,3.467e+09,3.467e+09,9.51e+08,6.62e+08,2.89e+08,6.678e+09,2.039e+09,9.02e+09,2.884e+09,5.62e+08,2.05e+08,5.369e+09,1.1059e+10,1.7737e+10,3.846e+09,8.57e+08,2.858e+09,8.34e+08,1.185e+09,3.18e+08,5.865e+09,3.695e+09,3.241e+09,2.452e+09,6.936e+09,1.2801e+10,9.735e+09,-1.85e+08,-4.211e+09,-7.24e+08,4.615e+09,3.21e+08,4.936e+09,1.7737e+10,2.8e+07,3.88e+08,1.37e+08,-3.41e+08,2.12e+08,-4.3e+07,8.7e+07,-4.5e+07,-1e+06,-1.16e+08,0,0,0,-2999999.99999994,-1.19e+08,9.2e+07,9.2e+07,-4.1e+07,5.1e+07,4.75e+08,4.529e+09,1.17e+08,0.22182,0.0244,0.00757,0.00547000000000001,0.00152,4.33333,1.13862,2.5934,0.25534,0.11741,0.1158,15.50704,20.06871,0.50878,0.00212,0.00921,4.77684,26.08046
