"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.686935483871,"Up",610769000,-565989000,44780000,-22453000,-22453000,22327000,61000,-117000,178000,22388000,2555000,24943000,-5629000,19314000,19314000,19314000,19314000,325778000,325778000,455333000,455333000,375458000,47016000,33479000,9385000,1203585000,174583000,105175000,37912000,33239000,34024000,293757000,1497342000,273838000,269823000,4015000,478000,60286000,60286000,334602000,10231000,20903000,20903000,31134000,365736000,664617000,480107000,-12846000,1131606000,1131606000,1497342000,19314000,9016000,5288000,19034000,52652000,-14002000,11795000,-207000,-110000,-6890000,1205000,-8095000,-864000,-7864000,44581000,44581000,385000,44966000,31343000,10709000,42004000,0.07332,0.03656,0.03162,0.01707,0.0129,2.1748,3.59706,0.3232,0.00715,0.34611,0.34421,10.94509,20.27859,0.75272,0.0166,0.03611,-10.05229,-14.11157
"12","2013_Q1",15.545,"Up",633933000,-588474000,45459000,-22218000,-22218000,23241000,-60999.9999999999,-119000,58000.0000000001,23180000,1343000,24523000,-6408000,18115000,18115000,18115000,18115000,384579000,384579000,459081000,459081000,324041000,46490000,29539000,8062000,1214191000,176104000,100858000,37912000,29535000,33411000,287286000,1501477000,264450000,260622000,3828000,497000,65568000,65568000,330515000,10103000,21334000,19578000,31437000,361952000,656667000,493666000,-10536000,1139525000,1139525000,1501477000,18115000,9254000,2659000,50853000,80881000,-13335000,946999.999999998,-7588000,-109000,-14523000,1196000,-15719000,-13000,-14645000,58648000,58648000,153000,58801000,32495000,10600000,76421000,0.07171,0.03666,0.02858,0.0159,0.01206,4.21866,3.67363,0.31763,0.00706,0.32918,0.32714,11.51977,20.70734,1.38872,0.01546,0.06524,-11.50882,-16.09135
"13","2013_Q2",16.43640625,"Up",542444000,-505610000,36834000,-22399000,-22399000,14435000,271000,-45000,316000,14706000,-442000,14264000,-2777000,11487000,11487000,11487000,11487000,416854000,416854000,418633000,418633000,320605000,43542000,23535000,12034000,1199634000,173351000,99501000,37912000,28656000,32933000,283143000,1482777000,254849000,251072000,3777000,517000,52333000,52333000,307699000,9971000,22027000,20271000,31998000,339697000,654072000,500461000,-11181000,1143080000,1143080000,1482777000,11487000,9626000,3195000,24340000,48648000,-6681000,-217000,-6873000,-112000,-8757000,3321000,-12078000,114000,-8755000,33020000,33020000,-745000,32275000,24061000,10488000,44497000,0.0679,0.02661,0.02118,0.01005,0.00775,3.87368,3.89873,0.29718,0.00707,0.20963,0.20829,9.89934,20.86065,0.81205,0.00977,0.03785,-16.88899,-28.15144
"14","2013_Q3",19.5525,"Up",607522000,-563155000,44367000,-23311000,-23311000,21056000,-673000,-172000,-501000,20383000,-8273000,12110000,-3653000,8457000,8457000,8457000,8457000,398902000,398902000,464491000,464491000,350416000,44712000,25192000,10517000,1258521000,173954000,95768000,37912000,28716000,29140000,280297000,1538818000,296862000,294222000,2640000,538000,62837000,62837000,360237000,9822000,22482000,20673000,32304000,392541000,652414000,505403000,-11268000,1146277000,1146277000,1538818000,8457000,9949000,7007000,-12843000,12570000,-3529000,-1224000,-24023000,-128000,-6723000,2446000,-9169000,70000,-6781000,-18234000,-18234000,282000,-17952000,31005000,10360000,18286000,0.07303,0.03466,0.01392,0.00738,0.0055,2.16223,3.49359,0.34245,0.00673,0.15601,0.15517,11.20745,21.14629,0.33734,0.00717,0.01551,-12.53159,-18.45279
"15","2013_Q4",20.05796875,"Up",599658000,-554218000,45440000,-24501000,-24501000,20939000,556000,-189000,745000,21495000,8534000,30029000,-6303000,23726000,23726000,23726000,23726000,426560000,426560000,423564000,423564000,394977000,43225000,26058000,9665000,1288326000,173336000,91289000,37912000,25476000,27901000,275242000,1563568000,304530000,300973000,3557000,560000,58584000,58584000,363674000,9672000,22469000,20660000,32141000,395815000,653599000,524399000,-9973000,1167753000,1167753000,1563568000,23726000,10060000,7389000,-2462000,38713000,-6262000,-438000,-6700000,-128000,-4788000,4638000,-9426000,101000,-4815000,27198000,27198000,460000,27658000,30999000,10232000,28578000,0.07578,0.03492,0.03957,0.02032,0.01517,1.2045,3.54253,0.33895,0.00654,0.43866,0.43445,11.08692,21.59027,0.52837,0.01976,0.02381,-13.43037,-19.8829
"16","2014_Q1",20.613606557377,"Up",756843000,-6.97e+08,59843000,-29120000,-29120000,30723000,-715000,160000,-875000,30008000,29552000,59560000,7715000,67275000,67275000,67275000,67275000,345555000,345555000,559763000,559763000,396699000,40816000,26283000,3231000,1342833000,185319000,119298000,44691000,33856000,40751000,314538000,1657371000,330523000,320953000,9570000,582000,67272000,67272000,398377000,9521000,22440000,20369000,31961000,430338000,649977000,586422000,-9094000,1227033000,1227033000,1657371000,67275000,11307000,-23083000,-56567000,-1068000.00000001,-8449000,11533000,-71121000,-129000,-9697000,798000,-10495000,69000,-9757000,-81946000,-81946000,941000,-81005000,42030000,10103000,-30701000,0.07907,0.04059,0.08889,0.05483,0.04059,-0.45635,3.37076,0.35071,0.0061,1.25135,1.22642,14.07766,22.82343,-0.57105,0.05341,-0.02437,-7.98125,-10.9186
"17","2014_Q2",20.7812698412698,"Up",639344000,-588221000,51123000,-28153000,-28153000,22970000,65000,39000,26000,23035000,-538000,22497000,-3372000,19125000,19125000,19125000,19125000,394194000,394194000,464999000,464999000,443203000,40222000,28160000,2803000,1342618000,187689000,117678000,45970000,33071000,38637000,315273000,1657891000,307930000,299715000,8215000,605000,67646000,67646000,376181000,9366000,23670000,21599000,33036000,409217000,654937000,603147000,-9138000,1248674000,1248674000,1657891000,19125000,10798000,4142000,26669000,60734000,-14406000,809000,-13591000,-132000,1274000,5811000,-4537000,426000,1568000,48711000,48711000,-72000,48639000,33768000,9971000,49403000,0.07996,0.03593,0.02991,0.01532,0.01154,2.58316,3.56907,0.32772,0.00601,0.35648,0.35236,11.91694,23.27445,0.92084,0.01491,0.03853,-11.37832,-16.72717
"18","2014_Q3",21.4146875,"Up",716868000,-659117000,57751000,-28700000,-28700000,29051000,294000,195000,99000,29345000,-1907000,27438000,-5288000,22150000,22150000,22150000,22150000,401869000,401869000,499479000,499479000,421216000,42667000,33134000,2631000,1365231000,190686000,115850000,45970000,32042000,37838000,316246000,1681477000,304315000,298762000,5553000,628000,72731000,72731000,377674000,9194000,23751000,21680000,32945000,410619000,659249000,621377000,-9496000,1270858000,1270858000,1681477000,22150000,11401000,5665000,-14256000,24960000,-14834000,-755000,-14788000,-149000,-2401000,4957000,-7358000,112000,-2438000,7734000,7734000,-59000,7675000.00000001,40452000,9822000,16650000,0.08056,0.04052,0.0309,0.01743,0.01317,0.75169,3.61484,0.3231,0.00584,0.41151,0.40713,13.31825,23.61049,0.30933,0.01698,0.01276,-9.69166,-13.49513
"19","2014_Q4",20.7459375,"Down",731302000,-676008000,55294000,-31219000,-31219000,24075000,-1601000,41000,-1642000,22474000,-2160000,20314000,-3686000,16628000,16628000,16628000,16628000,420236000,420236000,534002000,534002000,434166000,36382000,30901000,234000,1424786000,190158000,111840000,45970000,29623000,36247000,303205000,1727991000,345216000,341508000,3708000,651000,73452000,73452000,419319000,9021000,23197000,21126000,32218000,451537000,655821000,631353000,-10720000,1276454000,1276454000,1727991000,16628000,11786000,6132000,-6872000,27674000,-6214000,-12000,3773000,-150000,-12170000,980000,-13150000,20000,-12300000,19147000,19147000,-780000,18367000,35861000,9672000,26461000,0.07561,0.03292,0.02274,0.01303,0.00962,1.59135,3.39786,0.35374,0.0056,0.30988,0.30642,13.62844,23.78781,0.49312,0.0127,0.02021,-11.44876,-17.05354
"20","2015_Q1",21.0906557377049,"Up",709547000,-653399000,56148000,-28087000,-24306000,28061000,-273000,-117000,-156000,27788000,592000,28380000,-5042000,23338000,23338000,23338000,23338000,427376000,427376000,520389000,520389000,401261000,29590000,29018000,572000,1378616000,190180000,106552000,45970000,31413000,29169000,296732000,1675348000,295236000,289786000,5450000,676000,63166000,63166000,359078000,8845000,17800000,17800000,26645000,385723000,655015000,644085000,-9475000,1289625000,1289625000,1675348000,23338000,12464000,508000.000000001,-14238000,22072000,-8305000,-303000,-2870000,-151000,-11636000,7119000,-18755000,76000,-11711000,7491000,7491000,-351000,7140000,40525000,9521000,23024000,0.07913,0.03955,0.03289,0.0181,0.01393,0.98655,3.83932,0.2991,0.00568,0.44021,0.43266,13.38364,24.3252,0.43428,0.01772,0.01748,-10.31104,-14.89095
"21","2015_Q2",20.9250793650794,"Down",620925000,-569146000,51779000,-28202000,-28202000,23577000,-1060000,-3000,-1057000,22517000,-4869000,17648000,-3443000,14205000,14205000,14205000,14205000,383596000,383596000,490686000,490686000,426837000,41369000,34571000,152000,1342488000,187049000,98858000,45970000,25054000,27834000,286919000,1629407000,253640000,248563000,5077000,701000,58287000,58287000,312628000,8665000,19512000,17406000,28177000,340805000,650314000,651224000,-12936000,1288602000,1288602000,1629407000,14205000,12138000,3500000,-40748000,-10905000,-15900000,-460000,-16359000,-155000,-14957000,821000,-15778000,328000,-14784000,-42048000,-42048000,-1732000,-43780000,35715000,9366000,-17490000,0.08339,0.03797,0.02288,0.01102,0.00872,-1.23126,4.2942,0.26448,0.00575,0.27076,0.26779,11.83548,24.56211,-0.33338,0.01078,-0.01328,-10.47823,-15.87267
"22","2015_Q3",18.88,"Down",664038000,-608322000,55716000,-27920000,-27920000,27796000,392000,-204000,596000,28188000,-1588000,26600000,-5390000,21210000,21210000,21210000,21210000,409315000,409315000,500713000,500713000,444652000,44876000,40313000,4000,1399556000,185535000,96486000,45970000,23955000,26561000,282945000,1682501000,291104000,286379000,4725000,724000,68284000,68284000,360112000,8470000,19593000,17487000,28063000,388175000,644149000,662456000,-12279000,1294326000,1294326000,1682501000,21210000,12342000,5249000,13217000,52018000,-7988000,-219000,-8158000,-171999.999999996,-18130000,649999.999999999,-18780000,12000,-18290000,25570000,25570000,149000,25719000,40138000,9194000,50757000,0.0839,0.04186,0.03194,0.01639,0.01261,2.39307,3.88645,0.29991,0.00546,0.40649,0.40229,12.72615,24.8055,0.97275,0.01603,0.03836,-9.96863,-14.39491
"23","2015_Q4",18.70546875,"Down",630191000,-575341000,54850000,-27606000,-24567000,27244000,-1370000,-249000,-1121000,25874000,-1096000,24778000,-4213000,20565000,20565000,20565000,20565000,462094000,462094000,467241000,467241000,421532000,41294000,37313000,30000,1392161000,181187000,92821000,45970000,22078000,24773000,274943000,1667104000,276426000,272274000,4152000,751000,63982000,63982000,341159000,8270000.00000001,19372000,17266000,27642000,368801000,637157000,673040000,-11894000,1298303000,1298303000,1667104000,20565000,12010000,4436000,40598000,77609000,-7615000,-36000,-7651000,-173000,-17553000,212000,-17765000,5000,-17721000,52237000,52237000,542000,52779000,39254000,9021000,76450000,0.08704,0.04323,0.03263,0.01584,0.01234,3.71748,4.08068,0.28406,0.00541,0.40183,0.39873,12.31371,25.36838,1.49381,0.0155,0.05762,-11.54208,-16.63019
"24","2016_Q1",18.6539344262295,"Down",625719000,-568810000,56909000,-28696000,-26773000,28213000,-892000,-1333000,441000,27321000,-6308000,21013000,18408000,39421000,39421000,39421000,39421000,465995000,465995000,479140000,479140000,411986000,31507000,31351000,156000,1388628000,178170000,327080000,199290000,14088000,113702000,505250000,1893878000,256232000,251163000,5069000,12284000,64578000,64578000,333094000,222909000,15971000,15971000,238880000,571974000,630015000,704905000,-13016000,1321904000,1321904000,1893878000,39421000,13182000,-17622000,-6328000.00000001,28653000,-5020000,-31000,-234633000,229824000,-15749000,293000,-16042000,-4214000,209861000,3881000,3881000,20000,3901000,41395000,235193000,11639000,0.09095,0.04509,0.063,0.02982,0.02081,0.29525,4.16888,0.43269,0.12419,0.78105,0.77284,12.39735,26.19084,0.2306,0.02506,0.0074,-5.5756,-8.1807
"25","2016_Q2",18.46015625,"Down",549225000,-498908000,50317000,-31260000,-28456000,19057000,-2293000,-2070000,-223000,16764000,-2789000,13975000,-2923000,11052000,11052000,11052000,11052000,519167000,519167000,414184000,414184000,389919000,37094000,37058000,36000,1360364000,173969000,324881000,199469000,14841000,110571000,498850000,1859214000,223251000,218237000,5014000,12306000,66113000,66113000,301670000,219998000,17135000,17135000,237133000,538803000,624960000,709357000,-13906000,1320411000,1320411000,1859214000,11052000,13907000,2625000,49497000,77081000,-7570000,-75000,-7645000,-3078000,-13442000,763000,-14205000,-419000,-16939000,52497000,52497000,675000,53172000,32964000,232304000,77814000,0.09161,0.0347,0.02012,0.00837,0.00594,7.04072,4.50944,0.40806,0.12495,0.22171,0.21978,11.01799,26.48875,1.56103,0.00704,0.04957,-8.70231,-15.05289
"26","2016_Q3",20.9290625,"Up",579342000,-526488000,52854000,-31512000,-28541000,21342000,-1899000,-1970000,71000,19443000,-3602000,15841000,-3156000,12685000,12685000,12685000,12685000,573248000,573248000,421939000,421939000,375085000,37826000,37207000,619000,1408098000,170602000,321449000,200035000,13046000,108368000,492051000,1900149000,277174000,272970000,4204000,12336000,57832000,57832000,347342000,217086000,17604000,17604000,234690000,582032000,618305000,715195000,-15383000,1318117000,1318117000,1900149000,12685000,13993000,3868000,50507000,81053000,-7391000,-1062000,-8252999.99999997,-3071000,-15050000,59999.9999999999,-15110000,5000,-18116000,54684000,54684000,-603000,54081000,35335000,229422000,81607000,0.09123,0.03684,0.0219,0.00962,0.00668,6.43335,4.05392,0.44156,0.12074,0.25718,0.2554,11.74588,26.72419,1.65454,0.0081,0.05214,-9.73047,-16.1103
"27","2016_Q4",24.1704761904762,"Up",574341000,-521519000,52822000,-31255000,-28085000,21567000,-2108000,-1725000,-383000,19459000,-3485000,15974000,5768000,21742000,21742000,21742000,21742000,635683000,635683000,417325000,417325000,395948000,31755000,31375000,380000,1480711000,168806000,309551000,191616000,12590000,105345000,478357000,1959068000,313971000,308859000,5112000,12365000,74796000,74796000,401132000,214171000,9448000,9448000,223619000,624751000,617911000,730725000,-14319000,1334317000,1334317000,1959068000,21742000,14102000,89000,34517000,70450000,-8928000,-359000,1463000,-3075000,-6826000,4721000,-11547000,159000,-9742000,62171000,62171000,264000,62435000,35669000,226536000,55490000,0.09197,0.03755,0.03786,0.01629,0.0111,2.5522,3.69133,0.46822,0.11563,0.44403,0.44,11.72962,27.25042,1.13326,0.01385,0.03534,-11.47066,-18.97097
"28","2017_Q1",27.6864516129032,"Up",607507000,-550037000,57470000,-31259000,-28366000,26211000,-1150000,-1403000,253000,25061000,-2663000,22398000,-3830000,18568000,18568000,18568000,18568000,681433000,681433000,440692000,440692000,381334000,28203000,28057000,146000,1531662000,166148000,300858000,191616000,6572000,102670000,467006000,1998668000,329783000,326249000,3534000,12396000,70202000,70202000,412381000,211252000,9570000,9570000,220822000,633203000,631239000,748402000,-14176000,1365465000,1365465000,1998668000,18568000,13137000,5050000,7749000,44504000,-6232000,-578000,-6810000.00000001,-3077000,12214000,13281000,-1067000,350000,9487000,47181000,47181000,-1431000,45750000,39348000,223648000,44695000,0.0946,0.04315,0.03056,0.0136,0.00929,2.4071,3.71419,0.46373,0.1119,0.37851,0.37187,12.38395,27.83482,0.9111,0.01161,0.02796,-11.63426,-17.46538
