"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",9.82936507936508,"Up",16443000,-16374000,69000,-18286000,-13897000,-3394000,-10503000,-4389000,-18217000,-3773000,-1916000,-1918000,2000,-1857000,-21990000,-21990000,-21990000,-21990000,-21990000,-21990000,66143000,66143000,13563000,13563000,28570000,28484000,5259000,23225000,136760000,13587000,2166000,2098000,15753000,152513000,15224000,7574000,7650000,25820000,15540000,10280000,41044000,44599000,28904000,4393000,24511000,73503000,114547000,387351000,-349385000,37966000,37966000,152513000,-21990000,928000,3766000,5912000,-11384000,-1783000,-1783000,615000,615000,-6000,432000,-12735000,-12735000,-12735000,-17289000,44599000,0.0042,-1.10789,-1.33735,-0.5792,-0.14418,3.33203,3.01709,0.29243,-0.29473,-0.29473,0.22039,0.50886,-0.19727,1.24611,1.18263
"12","2018_Q4",7.49349206349206,"Down",17666000,-17302000,364000,-24452000,-20105000,-3384000,-16721000,-4347000,-24088000,-8764000,-1972000,-1974000,2000,-6792000,-32852000,-32852000,-32852000,-32852000,-32852000,-32852000,201543000,201543000,22677000,22677000,40547000,22648000,6174000,16474000,287415000,13452000,2566000,2566000,16018000,303433000,20844000,6964000,13880000,23558000,11315000,12243000,44402000,44649000,37022000,5206000,31816000,81671000,126073000,559597000,-382237000,177360000,177360000,303433000,-32852000,975000,15012000,-11726000,-28591000,-534000,-534000,2856000,2856000,0,164725000,135600000,135600000,135600000,-23113000,44649000,0.0206,-1.36352,-1.85962,-0.185229999999999,-0.10827,6.47302,0.71083,0.14715,-0.38648,-0.38648,0.20783,2.08653,-0.12683,6.78813,6.51337
"13","2019_Q1",7.71147540983607,"Up",20663000,-20063000,6e+05,-22095000,-18081000,-5038000,-13043000,-4014000,-21495000,4755000,-1941000,-1943000,2000,6696000,-16740000,-16740000,-16740000,-16740000,-16740000,-16740000,167432000,167432000,36867000,36867000,49462000,23923000,6045000,17878000,277684000,13958000,3328000,3328000,17286000,294970000,20190000,10207000,9983000,33699000,13731000,19968000,53889000,55364000,18408000,5744000,12664000,73772000,127661000,566286000,-398977000,167309000,167309000,294970000,-16740000,938000,-1456000,-27507000,-44765000,-871000,-871000,1714000,1714000,-468000,12077000,-33559000,-33559000,-33559000,-20557000,55364000,0.02904,-1.04027,-0.81014,-0.10005,-0.05675,5.15289,0.76303,0.18769,-0.17449,-0.17449,0.21538,1.74396,-0.06944,5.45157,5.21368
"14","2019_Q2",8.11888888888889,"Up",20284000,-25648000,-5364000,-25025000,-19994000,-4885000,-15109000,-5031000,-30389000,-2972000,-539000,-759000,220000,-2433000,-33361000,-33361000,-33361000,-33361000,-33361000,-33361000,145797000,145797000,27432000,27432000,65140000,21044000,9060000,11984000,259413000,15279000,14933000,14933000,30212000,289625000,34098000,17891000,16207000,26476000,10287000,16189000,60574000,55402000,32173000,5507000,26666000,87575000,148149000,573814000,-432338000,141476000,141476000,289625000,-33361000,946000,13421000,-4659000,-23653000,-1249000,-1249000,2884000,2884000,-168000,2715999.99999999,-22186000,-22186000,-22186000,-29443000,55402000,-0.26444,-1.49818,-1.6447,-0.23581,-0.11519,4.28258,1.04717,0.19129,-0.34485,-0.34485,0.20967,1.46242,-0.14565,3.07017,2.9746
"15","2019_Q3",5.9246875,"Down",30167000,-26921000,3246000,-29524000,-23061000,-7663000,-15398000,-6463000,-26278000,-4520000,-387000,-1074000,687000,-4133000,-30798000,-30798000,-30798000,-30798000,-30798000,-30798000,122053000,122053000,35475000,35475000,57963000,16536000,5153000,11383000,232027000,21975000,15939000,15939000,37914000,269941000,38151000,19241000,18910000,19770000,8232000,11538000,57921000,55445000,33658000,4913000,28745000,89103000,147024000,586053000,-463136000,122917000,122917000,269941000,-30798000,1087000,8694000,-4882000,-25899000,-3104000,-3104000,5319000,5319000,-5.82076609134674e-11,5319000,-23684000,-23684000,-23684000,-25191000,55445000,0.1076,-0.87108,-1.02092,-0.25056,-0.11409,4.00592,1.19612,0.2054,-0.31582,-0.31582,0.30935,1.26046,-0.14526,2.64412,2.53474
"16","2019_Q4",3.231875,"Down",20862000,-20288000,573999.999999999,-32319000,-26678000,-7297000,-19381000,-5641000,-31745000,10914000,-585000,-1069000,484000,11499000,-20831000,-20831000,-20831000,-20831000,-20831000,-20831000,90756000,90756000,33301000,33301000,59622000,12611000,4672000,7939000,196290000,23437000,16008000,15951000,39445000,235735000,30483000,11648000,18835000,22529000,9644000,12885000,53012000,55489000,19339000,4516000,14823000,74828000,127840000,591862000,-483967000,107895000,107895000,235735000,-20831000,1123000,-7495000,123000,-27080000,-3245000,-3245000,1438000.00000001,1438000.00000001,-2410000,-971999.999999993,-31297000,-31297000,-31297000,-30622000,55489000,0.02751,-1.52167,-0.99851,-0.19307,-0.08837,3.70275,1.18486,0.23539,-0.21034,-0.21034,0.21066,1.08948,-0.114,1.15169,1.11095
"17","2020_Q1",2.83064516129032,"Down",16469000,-20403000,-3934000,-28449000,-21790000,-5961000,-15829000,-6659000,-32383000,-2826000,-1095000,-1425000,330000,-1731000,-35209000,-35209000,-35209000,-35209000,-35209000,-35209000,226783000,226783000,16817000,16817000,55031000,13233000,3310000,9923000,311864000,23399000,14756000,14701000,38155000,350019000,35129000,13739000,21390000,22383000,10457000,11926000,59068000,53995000,20782000,3553000,17229000,74777000,133845000,735350000,-519176000,216174000,216174000,350019000,-35209000,1499000,6872000,23903000,-2935000,-162000,-219000,149559000,149559000,-10416000,139143000,135989000,135989000,135989000,-30884000,55551000,-0.23887,-1.9663,-2.1379,-0.16287,-0.10059,5.27975,0.61915,0.15871,-0.30692,-0.30692,0.14356,1.88443,-0.12037,5.54436,5.28771
"18","2020_Q2",2.13412698412698,"Down",14250000,-16357000,-2107000,-27948000,-21611000,-5823000,-15788000,-6337000,-30055000,2523000,-343000,-1038000,695000,2866000,-27532000,-27532000,-27532000,-27532000,-27532000,-27532000,190208000,190208000,21490000,21490000,55031000,13638000,5849000,7789000,280367000,23570000,14806000,14752000,38376000,318743000,23542000,7232000,16310000,28500000,9861000,18639000,58264000,49375000,17090000,3193000,13897000,66465000,124729000,740722000,-546708000,194014000,194014000,318743000,-27532000,1463000,1581000,-10511000,-34999000,-451000,-451000,1999.9999999702,1999.9999999702,-132000,-669000.00000003,-36119000,-36119000,-36119000,-28592000,55597000,-0.14786,-2.10912,-1.93207,-0.14191,-0.08638,4.81201,0.64289,0.17443,-0.18665,-0.18665,0.09661,1.31529,-0.10323,4.708,4.47882
"19","2020_Q3",2.7834375,"Up",14224000,-15266000,-1042000,-24531000,-18320000,-3093000,-15227000,-6211000,-25573000,-579000,-984000,-1071000,87000,405000,-26152000,-26152000,-26152000,-26152000,-26152000,-26152000,179514000,179514000,22089000,22089000,48197000,16484000,5568000,10916000,266284000,22718000,14176000,14123000,36894000,303178000,22213000,4852000,17361000,35182000,16788000,18394000,68284000,44756000,16114000,3069000,13045000,60870000,129154000,746884000,-572860000,174024000,174024000,303178000,-26152000,1494000,5722000,8917000,-10019000,-844000,-844000,169000,169000,9.31322574615479e-10,169000,-10694000,-10694000,-10694000,-24079000,55645000,-0.07326,-1.79788,-1.83858,-0.15028,-0.08626,3.89965,0.74216,0.18354,-0.17729,-0.17729,0.09643,1.17977,-0.1064,5.14428,4.84374
"20","2020_Q4",3.53671875,"Up",10086000,-11150000,-1064000,-23945000,-18700000,-2669000,-16031000,-5245000,-25009000,-3116000,-1069000,-1074000,5000,-2047000,-28125000,-28125000,-28125000,-28125000,-28125000,-28125000,163881000,163881000,26548000,26548000,46456000,17618000,4659000,12959000,254503000,22533000,13051000,1.3e+07,35584000,290087000,25573000,7607000,17966000,40169000,21838000,18331000,81298000,40134000,17619000,2884000,14735000,57753000,139051000,752021000,-600985000,151036000,151036000,290087000,-28125000,1415000,8079000,3969000,-14662000,-906000,-906000,157000.000000007,157000.000000007,-1161000,-465000,-16033000,-16033000,-16033000,-23594000,55690000,-0.10549,-2.47958,-2.78852,-0.18621,-0.09695,3.1305,0.92065,0.19198,-0.18999,-0.18999,0.06813,1.02025,-0.12536,4.58553,4.32608
"21","2021_Q1",4.85622950819672,"Up",18457000,-18303000,154000,-25494000,-18279000,-3596000,-14683000,-7215000,-25340000,-759000,-120000,-124000,4000,-639000,-26099000,-26099000,-26099000,-26099000,-26099000,-26099000,156720000,156720000,11769000,11769000,46641000,9295000,5257000,4038000,224425000,24062000,13065000,13015000,37127000,261552000,29265000,9984000,19281000,27646000,10094000,17552000,56911000,56940000,17435000,2572000,14863000,74375000,131286000,757350000,-627084000,130266000,130266000,261552000,-26099000,2047000,5701000,14557000,-3794000,-3982000,-3982000,52000,52000,-1437000,615000,-7161000,-7161000,-7161000,-23293000,56940000,0.00834,-1.37292,-1.41404,-0.20035,-0.09979,3.94344,1.00783,0.2177,-0.17571,-0.17571,0.12426,0.87702,-0.12754,4.28369,3.93765
"22","2021_Q2",5.33095238095238,"Up",15525000,-15203000,322000,-24997000,-18487000,-2848000,-15639000,-6510000,-24675000,-2068000,-1056000,-1058000,2000,-1012000,-26743000,-26743000,-26743000,-26743000,-26743000,-26743000,182019000,182019000,16569000,16569000,43858000,10133000,5273000,4860000,252579000,22822000,12489000,12441000,35311000,287890000,21755000,7591000,14164000,27443000,10022000,17421000,49198000,57022000,17265000,2089000,15176000,74287000,123485000,818232000,-653827000,164405000,164405000,287890000,-26743000,1648000,10313000,-11525000,-26307000,-336000,-336000.000000001,57404000,57404000,-5464000,51942000,25299000,25299000,25299000,-23027000,57022000,0.02074,-1.58937,-1.72258,-0.16267,-0.09289,5.13393,0.7511,0.19807,-0.18082,-0.18082,0.10497,1.11163,-0.11204,5.42828,5.06573
"23","2021_Q3",6.315,"Up",15030000,-16702000,-1672000,-24813000,-16910000,-3052000,-13858000,-7903000,-26485000,-4491000,-1057000,-1060000,3000,-3434000,-30976000,-30976000,-30976000,-30976000,-30976000,-30976000,166925000,166925000,15416000,15416000,41878000,9979000,5101000,4878000,234198000,21754000,17917000,17870000,39671000,273869000,25829000,7525000,18304000,27162000,11041000,16121000,52991000,57101000,24726000,4962000,19764000,81827000,134818000,823854000,-684803000,139051000,139051000,273869000,-30976000,1523000,10869000,4579000,-14005000,-232000,-232000,429000,429000,-1286000,-857000,-15094000,-15094000,-15094000,-24962000,57101000,-0.11124,-1.76214,-2.06094,-0.22277,-0.11311,4.41958,0.96956,0.2085,-0.19214,-0.19214,0.09323,0.86251,-0.14024,4.39965,4.14665
"24","2021_Q4",6.09140625,"Down",19177000,-17283000,1894000,-25185000,-16815000,-4172768.04476675,-12525058.4378,-8370000,-23291000,-1970000,-1057000,-1060926.55026761,-9735.00080052519,-913000,-25261000,-25261000,-25261000,-25261000,-25261000,-25261000,149900000,149900000,21978000,21978000,37875000,10398000,4334000,6064000,220151000,20337000,19605000,19560000,39942000,260093000,27448000,8125000,19323000,31717000,12468000,19249000,59165000,57177000,26003000,4670000,21333000,83180000,142345000,827812000,-710064000,117748000,117748000,260093000,-25261000,1473000,6172000,1539000,-16077000,-271000,-271000,427000,427000,-1104000,-677000,-17025000,-17025000,-17025000,-21818000,57177000,0.09876,-1.21453,-1.31726,-0.21453,-0.09712,3.72097,1.2089,0.21983,-0.15365,-0.15365,0.11665,0.71622,-0.12572,4.24984,3.98107
"25","2022_Q1",4.25645161290323,"Down",20387000,-20596000,-209000,-28989000,-19923000,-5603734.21030611,-12411128.0967818,-9066000,-29198000,2130000,-1058000,-1213262.3501703,-17549.5459639706,3188000,-27068000,-27068000,-27068000,-27068000,-27068000,-27068000,218348000,218348000,21659000,21659000,29617000,13923000,5803000,8120000,283547000,20242000,18018000,17974000,38260000,321807000,35754000,9199000,26555000,37265000,13920000,23345000,76241000,54031000,21740000,4232000,17508000,75771000,152012000,906927000,-737132000,169795000,169795000,321807000,-27068000,1340000,1708000,18318000,-5702000,-720000,-720000,80949000,80949000,-6080000,74870000,68448000,68448000,68448000,-27858000,57253000,-0.01025,-1.43219,-1.32771,-0.15942,-0.08411,3.71909,0.89527,0.17791,-0.15909,-0.15909,0.11982,0.99795,-0.1088,5.78272,5.51733
"26","2022_Q2",3.00951612903226,"Down",18876000,-18782000,94000,-27568000,-19698000,-6884000,-12814000,-7870000,-27474000,1700000,-1059000,-1064000,5000,2759000,-25774000,-25774000,-25774000,-25774000,-25774000,-25774000,180061000,180061000,28002000,28002000,26080000,17877000,5285000,12592000,252020000,20357000,25710000,25667000,46067000,298087000,27679000,9252000,18427000,43889000,13879000,30010000,79624000,49282000,21676000,7507000,14169000,70958000,150582000,910411000,-762906000,147505000,147505000,298087000,-25774000,1244000,2471000,-10326000,-32385000,-1218000,-1218000,55999.9999999851,55999.9999999851,-1604000,-1548000,-35151000,-35151000,-35151000,-26230000,57338000,0.00497999999999998,-1.4555,-1.36544,-0.17473,-0.08646,3.16513,1.02086,0.19235,-0.15053,-0.15053,0.11024,0.86148,-0.11378,4.67873,4.46688
"27","2022_Q3",3.35515625,"Up",22149000,-21058000,1091000,-29065000,-20654000,-7545000,-13109000,-8411000,-27974000,2157000,-109000,-192000,83000,2266000,-25817000,-27633000,-27633000,-27633000,-27633000,-27633000,157594000,157594000,33014000,33014000,29380000,13422000,5294000,8128000,233410000,20233000,23401000,23360000,43634000,277044000,32790000,16853000,15937000,43942000,16284000,27658000,76732000,58507000,16987000,6376000,10611000,75494000,152226000,915357000,-790539000,124818000,124818000,277044000,-27633000,1399000,3516000,770000,-21948000,-1448000,-1448000,333000,333000,-1404000,929000,-22467000,-22467000,-22467000,-26575000,58507000,0.04926,-1.26299,-1.2476,-0.22139,-0.09974,3.04189,1.21958,0.21118,-0.15305,-0.15305,0.12267,0.69132,-0.13795,3.72858,3.54211
