"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",10.8525,"Down",650136000,-608965000,41171000,-39096000,-7614000,-11411000,-20071000,2075000,-3376000,-4743000,1367000,-1301000,422000,-879000,907000,28000,28000,28000,28000,4590000,4590000,30121000,30121000,22115000,20021000,75076000,478824000,183878000,84106000,83084000,16688000,662702000,737778000,65878000,47710000,18168000,8260000,85988000,266026000,83317000,37956000,349343000,435331000,302539000,302539000,302447000,737778000,28000,11411000,-5884000,5555000,-2768000,53000,-423000,-13639000,-130272000,-5405000,-273000,-273000,-273000,13486000,274286000,0.06333,0.00319,4e-05,9e-05,4e-05,0.8731,1.43936,0.37177,0.00112,0.00111,25.89423,12.04981,0.54323,0.02071,487.10714,19.99822,129.97398
"12","2015_Q4",10.96078125,"Up",627802000,-576833000,50969000,-42244000,-8443000,-13431000,-20370000,8725000,-582000,-4867000,4285000,8143000,1907000,10050000,134000,10184000,10184000,10184000,10184000,1860000,1860000,30347000,30347000,21066000,17214000,70646000,632246000,179893000,83870000,80187000,15836000,812139000,882785000,66869000,47692000,19177000,8276000,86218000,428394000,83199000,38251000,511593000,597811000,285080000,285080000,284974000,882785000,10184000,13431000,8824000,32439000,481000,1315000,-184770000,-18282000,162384000,149601000,-2730000,-2730000,-2730000,22156000,436670000,0.08119,0.0139,0.01622,0.03574,0.01154,0.81939,2.09777,0.49465,0.3082,0.30773,18.99904,8.62732,0.55326,0.03537,1.79516999999993,19.62493,49.83496
"13","2016_Q1",10.0508196721311,"Down",467876000,-428279000,39597000,-36066000,-9735000,-11883000,-14448000,3531000,-490000,-4605000,4115000,3041000,360000,3401000,820000,4221000,4221000,4221000,4221000,1192000,1192000,21953000,21953000,19235000,15947000,58119000,628564000,174761000,82315000,80821000,11625000,803325000,861444000,57472000,32577000,24895000,7608000,74898000,403714000,113976000,70367000,517690000,592588000,374458000,268991000,268856000,861444000,4221000,11883000,-517000,15587000,-605000,27000,-577000,-20595000,7710000,-15678000,-668000,-668000,-668000,15414000,411322000,0.08463,0.00755,0.00902,0.0157,0.0049,0.77598,2.20411,0.47748,0.12661,0.12595,14.03377,11.23173,0.61774,0.03125,4.87918,26.60763,116.15123
"14","2016_Q2",11.1271875,"Up",367740000,-330550000,37190000,-35316000,-7005000,-12900000,-15411000,1874000,-896000,-5065000,4169000,978000,-4000,974000,795000,1769000,1769000,1769000,1769000,1975000,1975000,23405000,23405000,17088000,14684000,57136000,656311000,188684000,86319000,88183000,14182000,844995000,902131000,50494000,33504000,16990000,8411000,69167000,496143000,87098000,44383000,583241000,652408000,249893000,249893000,249723000,902131000,1769000,12900000,3900000,18569000,-3451000,18000.0000000005,-58595000,-20377000,63988000,40809000,783000,783000,783000,14774000,504554000,0.10113,0.0051,0.00481,0.00708,0.00196,0.82606,2.61253,0.55929,0.05343,0.05332,11.10791,7.54824,0.61551,0.02632,11.51894,34.0178,268.18517
"15","2016_Q3",11.9496875,"Up",512644000,-472129000,40515000,-35302000,-4921000,-14262000,-16119000,5213000,-1143000,-5704000,4561000,4070000,-102000,3968000,-338000,3630000,3630000,3630000,3630000,3255000,3255000,26134000,26134000,19884000,17613000,62439000,648513000,186510000,81999000,89109000,15402000,835023000,897462000,56440000,35189000,21251000,2785000,70370000,481850000,111223000,68535000,593073000,663443000,234209000,234209000,234019000,897462000,3630000,14262000,580000,18472000,-1975000,174000,-1889000,-20730000,5962000,-15303000,1280000,1280000,1280000,19475000,484635000,0.07903,0.01017,0.00708,0.01551,0.00404,0.8873,2.835,0.54001,0.10906,0.10904,15.40235,7.03679,0.62283,0.02935,5.71074,24.71784,92.34222
"16","2016_Q4",12.707619047619,"Up",487950000,-448812000,39138000,-33798000,-6142000,-13432000,-14224000,5340000,-1671000,-5634000,3963000,3669000,631000,4300000,-1308000,2992000,2992000,2992000,2992000,2897000,2897000,22483000,22483000,24328000,20546000,62349000,677730000,193867000,84678000,89109000,20080000,871597000,933946000,57564000,34777000,22787000,2852000,71351000,505976000,120054000,76376000,626030000,697381000,236776000,236776000,236565000,933946000,2992000,13432000,10233000,26657000,-5531000,17550000,-29804000,-21002000,23825000,2789000,-358000,-358000,-358000,18772000,508828000,0.08021,0.01094,0.00613,0.01265,0.0032,0.87383,2.94795,0.54482,0.08967,0.0896,14.624,7.09624,0.62944,0.02772,7.01939,26.95136,94.74363
"17","2017_Q1",13.0941935483871,"Up",501472000,-462748000,38724000,-35226000,-6088000,-13818000,-15320000,3498000,-2151000,-6354000,4203000,1347000,-327000,1020000,1304000,2324000,2324000,2324000,2324000,1350000,1350000,29251000,29251000,21642000,19531000,65407000,677329000,189253000,80760000,89109000,19384000,866582000,931989000,60566000,34903000,25663000,2100000,75133000,465119000,170926000,128003000,636045000,711178000,221044000,221044000,220811000,931989000,2324000,13818000,-735000,15742000,-7137000,-2320000,-6618000,-21295000,11353000,-10671000,-1547000,-1547000,-1547000,17316000,467219000,0.07722,0.00698,0.00463,0.01052,0.00249,0.87055,3.22075,0.50131,0.0694,0.06915,14.97553,6.60107,0.63594,0.0275,9.16308,26.90396,133.18153
"18","2017_Q2",12.9180952380952,"Down",469286000,-431840000,37446000,-35425000,-5817000,-14348000,-15260000,2021000,-2981000,-6702000,3721000,-960000,-44000,-1004000,2701000,1697000,1697000,1697000,1697000,5758000,5758000,22234000,22234000,19941000,18566000,60723000,670968000,185653000,76793000,89109000,19751000,856621000,917344000,56870000,32058000,24812000,2123000,71435000,472793000,166913000,127172000,639706000,711141000,206459000,206459000,206203000,917344000,1697000,14348000,5727000,21772000,-2175000,64000,-2111000,-21526000,6304000,-15253000,4408000,4408000,4408000,16369000,474916000,0.07979,0.00431,0.00362,0.00823,0.00185,0.85005,3.44874,0.51771,0.05052,0.05047,13.97177,6.14678,0.64088,0.02738,12.68474,28.66137,232.14151
"19","2017_Q3",14.2096825396825,"Up",528789000,-487167000,41622000,-42420000,-11920000,-14278000,-16222000,-798000,-2838000,-6795000,3957000,-3636000,-314000,-3950000,-49000,-3999000,-3999000,-3999000,-3999000,3429000,3429000,21199000,21199000,25410000,19240000,61945000,661271000,182443000,72905000,89109000,20429000,843714000,905659000,69302000,36122000,33180000,2117000,84336000,470663000,166999000,126969000,637662000,721998000,183941000,183941000,183661000,905659000,-3999000,14278000,17336000,27615000,-5440000,116000,-5324000,-21881000,-2710000,-24620000,-2329000,-2329000,-2329000,13480000,472780000,0.07871,-0.00151,-0.00756,-0.02177,-0.00442,0.7345,3.93114,0.52203,-0.11832,-0.11829,15.64515,5.44222,0.64739,0.02172,-5.47162,34.81832,-588.15915
"20","2017_Q4",13.5211111111111,"Down",544092000,-502517000,41575000,-35414000,-5994000,-14049000,-15371000,6161000,-3229000,-7102000,3873000,2932000,2371000,5303000,-966000.000000001,4337000,4337000,4337000,4337000,1566000,1566000,23930000,23930000,24658000,22162000,62174000,634718000,180597000,68989000,89109000,22499000,815315000,877489000,73284000,37785000,35499000,2884000,88249000,454773000,165192000,125240000,619965000,708214000,169569000,169569000,169275000,877489000,4337000,14049000,-1335000,17051000,21340000,165000,18726000,-22194000,-15754000,-37640000,-1863000,-1863000,-1863000,20210000,457657000,0.07641,0.01132,0.00797,0.02562,0.00494,0.70453,4.18381,0.52155,0.12782,0.12779,16.03522,4.99746,0.65409,0.03349,5.11736,22.56759,74.0287299999999
"21","2018_Q1",12.8272131147541,"Down",552660000,-512537000,40123000,-33395000,-4156000,-14795000,-14444000,6728000,-3526000,-7320000,3794000,3202000,1388000,4590000,16551000,21141000,21141000,21141000,21141000,3897000,3897000,27792000,27792000,33695000,21987000,80506000,6.81e+08,185730000,76063000,89109000,20558000,866730000,947236000,78316000,35789000,42527000,2916000,93473000,529147000,153597000,129528000,682744000,776217000,171337000,171337000,171019000,947236000,21141000,14795000,-13414000,22522000,1339000,105000,-71404000,-22500000,73763000,51213000,2331000,2331000,2331000,21523000,532063000,0.0726,0.01217,0.03825,0.12362,0.02232,0.86128,4.53878,0.5617,0.62068,0.62081,16.22552,5.03027,0.66058,0.05094,1.06428,24.53961,78.50268
"22","2018_Q2",10.70234375,"Down",554570000,-514619000,39951000,-36562000,-4720000,-15500000,-16342000,3389000,-4153000,-8052000,3899000,-764000,230000,-534000,-273000,-807000,-807000.000000004,-807000.000000004,-806999.999999996,1680000,1680000,25487000,25487000,32766000,21963000,75166000,671871000,182317000,72159000,89109000,21049000,854188000,929354000,77974000,35726000,42248000,2919000,92708000,533865000,151964000,128545000,685829000,778537000,151155000,151155000,150817000,929354000,-807000.000000004,15500000,3447000,18140000,-2078000,71000,-2007000,-22585000,4263000.00000001,-18350000,-2217000,-2217000,-2217000,18889000,536784000,0.07204,0.00611,-0.00146,-0.00535000000000001,-0.000870000000000003,0.81078,5.16213,0.57759,-0.0236299999999999,-0.0236199999999999,16.23587,4.42529,0.66121,0.02594,-27.98637,28.32887,157.89436
"23","2018_Q3",10.5839682539683,"Down",673295000,-629323000,43972000,-42433000,-4810000,-21932000,-15691000,1539000,-4328000,-8157000,3829000,-2789000,-6847000,-9636000,2698000,-6938000,-6938000,-6938000,-6938000,2475000,2475000,33116000,33116000,28249000,23027000,80245000,664382000,175749000,67052000,88764000,19933000,840131000,920376000,88877000,43103000,45774000,2948000,103812000,538384000,148550000,127792000,686934000,790746000,129971000,129971000,129630000,920376000,-6938000,21932000,4095000,19089000,-4065000,85000,-3980000,-18129000,4708000,-14314000,795000,795000,795000,23471000,541332000,0.06531,0.00229,-0.0103,-0.05352,-0.00754,0.77298,6.10002,0.58816,-0.20206,-0.202,19.60879,3.78523,0.52798,0.01366,-2.613,22.95842,350.1345
"24","2018_Q4",9.75063492063492,"Down",670810000,-627012000,43798000,-33564000,-4310000,-13993000,-15261000,10234000,-4562000,-8145000,3583000,5672000,-61000,5611000,-302999.999999999,5308000,5308000,5308000,5308000,3791000,3791000,26488000,26488000,21755000,21183000,67396000,658514000,172573000,63418000,88764000,20391000,831087000,898483000,81393000,38947000,42446000,2254000,94744000,538075000,148752000,127807000,686827000,781571000,116912000,116912000,116912000,898483000,5308000,13993000,740000,20041000,969000,77000,1046000,-18211000,-1540000,-19771000,1316000,1316000,1316000,24227000,540329000,0.06529,0.01526,0.00791,0.0454,0.00591,0.71135,6.68512,0.60138,0.15413,0.15413,19.47797,3.39471,0.52878,0.02918,3.43086,22.14628,52.42701
"25","2019_Q1",10.7552459016393,"Up",547242000,-502168000,45074000,-33875000,-4126000,-15124000,-14625000,11199000,-4508000,-8518000,4010000,6691000,381000,7072000,611000,7683000,7683000,7683000,7683000,3191000,3191000,16160000,16160000,17428000,15210000,50862000,647413000,168647000,59063000,88764000,20820000,816060000,866922000,75548000,32632000,42916000,2296000,88448000,519276000,148265000,128336000,667541000,755989000,110933000,110933000,110933000,866922000,7683000,15124000,9675000,32482000,-1901000,62000,-1839000,-18216000,-19316000,-31243000,-6e+05,-6e+05,-6e+05,26323000,521572000,0.08237,0.02046,0.01404,0.06926,0.00886,0.57505,6.81483,0.60164,0.22303,0.22314,15.88589,3.22027,0.52879,0.03317,2.37095,19.69308,46.28815
"26","2019_Q2",10.8339682539683,"Up",471786000,-434709000,37077000,-32832000,-4418000,-13061000,-15353000,4245000,-3825000,-7337000,3512000,420000.000000001,-59000,361000,-149000,211999.999999999,212000,212000,212000.000000001,6299000,6299000,19189000,19189000,19860000,17216000,60418000,602382000,293860000,55061000,88764000,150035000,896242000,956660000,78216000,35470000,42746000,2339000,115152000,536859000,182840000,158401000,719699000,834851000,121809000,121809000,121809000,956660000,212000,13061000,-2275000,10998000,-7078000,85000.0000000002,-6993000,-18216000,17948000,-897000,3108000,3108000,3108000,17306000,539198000,0.07859,0.009,0.000450000000000001,0.00174000000000001,0.00022,0.52468,6.85377,0.56363,0.00614999999999996,0.00614999999999999,13.69714,3.53642,0.52886,0.02184,85.92453,30.79273,125.53569
"27","2019_Q3",11.28125,"Up",605528000,-564158000,41370000,-30815000,-4109000,-12496000,-14210000,10555000,-3404000,-7236000,3832000,7151000,-369000,6782000,-341000,6441000,6441000,6441000,6441000,2273000,2273000,20097000,20097000,18301000,16037000,53435000,590882000,284405000,50187000,88764000,145454000,875287000,928722000,84514000,37522000,46992000,2382000,121588000,527470000,175999000,156263000,703469000,825057000,103665000,103665000,103665000,928722000,6441000,12496000,4235000,23172000,-2730000,3364000,634000,-18217000,-6772000,-27832000,-4026000,-4026000,-4026000,23051000,529852000,0.06832,0.01743,0.01064,0.06213,0.00694,0.43948,7.95888,0.57052,0.187,0.18691,17.57998,3.00965,0.52888,0.03046,2.82829,22.88747,49.9838
"28","2019_Q4",12.18203125,"Up",559736000,-518591000,41145000,-30978000,-3937000,-14063000,-12978000,10167000,-2437000,-6532000,4095000,7730000,-1745000,5985000,1180000,7165000,7165000,7165000,7165000,5385000,5385000,21977000,21977000,23043000,17212000,56246000,582560000,280255000,47578000,88764000,143913000,862815000,919061000,91559000,40379000,51180000,2427000,130080000,520772000,176417000,156518000,697189000,827269000,91792000,91792000,91792000,919061000,7165000,14063000,14104000,35332000,-4442000,-2646000,-7088000,-18216000,-6884000,-25132000,3112000,3112000,3112000,24230000,523199000,0.07351,0.01816,0.0128,0.07806,0.0078,0.4324,9.01243,0.56928,0.20796,0.2079,16.24629,2.66425,0.52872,0.03207,2.54236000000001,21.37078,50.93085
"29","2020_Q1",11.523064516129,"Down",527147000,-477334000,49813000,-29810000,-4385000,-15412000,-10013000,20003000,-16810000,-5895000,-10915000,3193000,524999.999999996,3718000,540000,4258000,4258000,4258000,3725000,1780000,1780000,38051000,38051000,23325000,10094000,69386000,565916000,275845000,44996000,88764000,142085000,841761000,911147000,86680000,57392000,29288000,2471000,112636000,534859000,185255000,165886000,720114000,832750000,78397000,78397000,78397000,911147000,4258000,15412000,-8212000,2825000,-2357000,295000,-2062000,-18225000,14411000,-4368000,-3605000,-3605000,-3605000,35415000,537330000,0.0945,0.03795,0.00707,0.04751,0.00409,0.61602,10.62222,0.58973,0.10805,0.10779,15.29025,2.27396,0.52863,0.0274,4.89262,15.12212,26.77348
"30","2020_Q2",9.65174603174603,"Down",391695000,-355966000,35729000,-32430000,-4480000,-17227000,-10723000,3299000,-2201000,-5540000,3339000,1098000,70931000,72029000,32000,72061000,72061000,72061000,72061000,8907000,8907000,28036000,28036000,23290000,6959000,65178000,574584000,313110000,79331000,88764000,145015000,887694000,952872000,62814000,46921000,15893000,2515000,100529000,526981000,193945000,174712000,720926000,821455000,132214000,131417000,131417000,952872000,72061000,17227000,-71494000,17794000,-350000,16022000,15672000,-18243000,-8095000,-26339000,7127000,7127000,7127000,20526000,529496000,0.09122,0.00842,0.18397,0.54834,0.07563,0.64835,6.25075,0.55568,2.00197,2.00192,10.88194,3.65098,0.50682,0.10564,0.25316,25.36242,157.80206
"31","2020_Q3",11.14640625,"Up",398402000,-340754000,57648000,-46744000,-5597000,-16050000,-25097000,10904000,-4043000,-4121000,78000,6861000,-4575000,2286000,2944000,5230000,5230000,5230000,5230000,2185000,2185000,35743000,35743000,24481000,12342000,82015000,572471000,367174000,95523000,88764000,182887000,939645000,1021660000,121311000,67893000,53418000,2540000,154659000,518614000,229873000,213479000,748487000,903146000,121732000,118514000,118514000,1021660000,5230000,16050000,22569000,43849000,-456000,546000,-22252000,-19880000,-8438000,-28319000,-6722000,-6722000,-6722000,26954000,521154000,0.1447,0.02737,0.01313,0.04413,0.00512,0.5303,7.62058,0.51011,0.13859,0.13859,10.55752,3.14058,0.52681,0.02888,3.80115,19.25388,47.59437
"32","2020_Q4",12.57671875,"Up",591022000,-528750000,62272000,-51461000,-5363000,-18590000,-27508000,10811000,-3379000,-3522000,143000,7432000,12881000,20313000,892000,21205000,21205000,21205000,21205000,1328000,1328000,35302000,35302000,29233000,12140000,88231000,565288000,376694000,97599000,88764000,190331000,941982000,1030213000,118214000,71384000,46830000,2585000,153236000,522050000,234852000,219442000,756902000,910138000,123076000,120075000,120075000,1030213000,21205000,18590000,-14935000,24860000,-9876000,6727000,-9051000.00000001,-19881000,3221000,-16666000,-857000,-857000,-857000,29401000,524635000,0.10536,0.01829,0.03588,0.1766,0.02058,0.57579,7.57975,0.50925,0.55998,0.55996,15.60757,3.17091,0.52501,0.04671,0.93756,17.79895,48.40505
"33","2021_Q1",14.7406557377049,"Up",554406000,-494726000,59680000,-50026000,-5551000,-16875000,-27600000,9654000,-6461000,-3404000,-3057000,3193000,1687000,4880000,4080000,8960000,8960000,8960000,8827000,513000,513000,28519000,28519000,22536000,12638000,74821000,570856000,368665000,92912000,88764000,186989000,939521000,1014342000,112359000,63978000,48381000,34589000,146948000,668679000,89047000,74025000,757726000,904674000,112124000,109668000,109668000,1014342000,8960000,16875000,-27064000,17981000,18403000,-22321000,-3918000,-19880000,5034000,-14878000,-815000,-815000,-815000,26529000,703268000,0.10765,0.01741,0.01592,0.08049,0.0087,0.50917,8.24921,0.69332,0.22138,0.2214,13.90421,2.75042,0.49858,0.03183,2.25218,26.49007,72.79418
