"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",10.988064516129,"Up",5.264e+09,-4.315e+09,9.49e+08,-6.52e+08,-6.52e+08,2.97e+08,-8.5e+07,-8.6e+07,1e+06,2.12e+08,-2.6e+07,1.86e+08,-5.3e+07,1.33e+08,1.33e+08,-1.6e+07,1.17e+08,1.1e+08,2.257e+09,2.257e+09,3.555e+09,3.555e+09,3.596e+09,3.97e+08,3.97e+08,9.805e+09,6.658e+09,1.476e+09,1.54e+08,6.55e+08,1.45e+08,5.22e+08,8.134e+09,1.7939e+10,3.146e+09,3.146e+09,2.73e+08,1.969e+09,1.969e+09,5.388e+09,5.708e+09,4.717e+09,3.454e+09,2.63e+08,1e+09,1.0425e+10,1.5813e+10,3.062e+09,1.37e+09,-3.702e+09,1.23e+09,8.96e+08,2.126e+09,1.7939e+10,1.33e+08,1.76e+08,-2.13e+08,2.6e+07,1.22e+08,-2.93e+08,5e+06,-2.88e+08,2.57e+08,1e+06,4e+06,2.55e+08,8.9e+07,8.9e+07,1.2e+07,1.01e+08,4.73e+08,5.981e+09,2.59e+08,0.18028,0.05642,0.0209,0.05174,0.00613,2.35455,1.81978,7.43791,0.33341,0.44534,0.39146,21.31174,2.95547,1.04858,0.00912,0.0202,7.87315,12.53872
"12","2013_Q1",12.0386666666667,"Up",5.045e+09,-4.1e+09,9.45e+08,-7.07e+08,-7.07e+08,2.38e+08,-9.8e+07,-8.7e+07,-1.1e+07,1.4e+08,-1.08e+08,3.2e+07,-3.9e+07,-7e+06,-7e+06,1.4e+07,7e+06,0,2.281e+09,2.281e+09,2.563e+09,2.563e+09,3.25e+09,4.04e+08,4.04e+08,8.498e+09,6.956e+09,1.519e+09,1.4e+08,6.64e+08,1.86e+08,5.29e+08,8.475e+09,1.6973e+10,3.223e+09,3.223e+09,1.98e+08,1.901e+09,1.901e+09,5.322e+09,4.888e+09,5.604e+09,4.34e+09,2.64e+08,1e+09,1.0492e+10,1.5814e+10,3.06e+09,1.37e+09,-4.56e+09,3.7e+08,7.89e+08,1.159e+09,1.6973e+10,-7e+06,1.74e+08,-6.2e+07,1.262e+09,1.367e+09,-3.37e+08,1.4e+07,-3.23e+08,-9.7e+08,2e+06,-4.9e+07,-1.024e+09,2e+07,2e+07,4e+06,2.4e+07,4.12e+08,5.086e+09,1.376e+09,0.18731,0.04718,3.46944695195361e-18,0,0,-2.94762763239128,1.59677,13.64452,0.29965,0,-5.55111512312578e-17,20.59184,-0.53061,5.61633,0.00059,0.11613,6.80825,11.78571
"13","2013_Q2",12.1503125,"Up",4.853e+09,-3.94e+09,9.13e+08,-6.45e+08,-6.45e+08,2.68e+08,-2.11e+08,-8.5e+07,-1.26e+08,5.7e+07,-7e+06,5e+07,-1.9e+07,3.1e+07,3.1e+07,2e+06,3.3e+07,2.6e+07,2.386e+09,2.386e+09,3.021e+09,3.021e+09,3.168e+09,4.67e+08,4.67e+08,9.042e+09,6.901e+09,1.515e+09,1.39e+08,6.47e+08,1.95e+08,5.34e+08,8.416e+09,1.7458e+10,3.218e+09,3.218e+09,2.74e+08,1.843e+09,1.843e+09,5.335e+09,6.307e+09,4.514e+09,3.239e+09,2.61e+08,1.014e+09,1.0821e+10,1.6156e+10,3.064e+09,1.396e+09,-4.424e+09,5.36e+08,7.66e+08,1.302e+09,1.7458e+10,3.1e+07,1.77e+08,-7.57e+08,-3.88e+08,-9.37e+08,-2.66e+08,-1.7e+07,-2.83e+08,1.486e+09,2e+06,-1.9e+07,1.462e+09,2.42e+08,2.42e+08,-1.37e+08,1.05e+08,4.45e+08,6.581e+09,-1.9e+08,0.18813,0.05522,0.00536,0.01997,0.00149,-7.30769,1.69485,12.4086,0.37696,0.10612,0.10484,19.80816,0.14694,-0.77551,0.00266,-0.01533,9.42697,15.65299
"14","2013_Q3",17.024375,"Up",4.894e+09,-3.846e+09,1.048e+09,-6.91e+08,-6.91e+08,3.57e+08,-8.8e+07,-1.02e+08,1.4e+07,2.69e+08,-1.3e+07,2.56e+08,-6.3e+07,1.93e+08,1.93e+08,-5e+06,1.88e+08,1.8e+08,2.564e+09,2.564e+09,2.88e+09,2.88e+09,3.138e+09,3.87e+08,3.87e+08,8.969e+09,6.919e+09,1.496e+09,1.39e+08,6.43e+08,1.87e+08,5.27e+08,8.415e+09,1.7384e+10,3.213e+09,3.213e+09,2.04e+08,1.758e+09,1.758e+09,5.175e+09,6.325e+09,4.406e+09,3.133e+09,2.62e+08,1.011e+09,1.0731e+10,1.5906e+10,3.07e+09,1.576e+09,-4.431e+09,7.15e+08,7.63e+08,1.478e+09,1.7384e+10,1.93e+08,1.8e+08,-9.3e+07,1.95e+08,4.75e+08,-2.2e+08,1e+06,-2.19e+08,-3.2e+07,3e+06,-5e+06,-4.2e+07,2.14e+08,2.14e+08,-3.6e+07,1.78e+08,5.37e+08,6.529e+09,5.75e+08,0.21414,0.07295,0.03678,0.12179,0.01035,3.19444,1.73314,10.76184,0.37558,0.72874,0.6383,19.81377,0.87045,2.32794,0.01515,0.04632,7.38361,11.10644
"15","2013_Q4",19.710625,"Up",5.002e+09,-3.946e+09,1.056e+09,-6.86e+08,-6.86e+08,3.7e+08,-1e+08,-1e+08,0,2.7e+08,-2.1e+07,2.49e+08,-5.4e+07,1.95e+08,1.95e+08,-2.2e+07,1.73e+08,1.66e+08,2.5e+09,2.5e+09,3.254e+09,3.254e+09,2.944e+09,3.71e+08,3.71e+08,9.069e+09,7.065e+09,1.538e+09,1.38e+08,6.6e+08,1.9e+08,5.5e+08,8.603e+09,1.7672e+10,3.084e+09,3.084e+09,1.76e+08,1.924e+09,1.924e+09,5.184e+09,6.366e+09,4.379e+09,3.111e+09,2.73e+08,9.95e+08,1.0745e+10,1.5929e+10,3.085e+09,1.73e+09,-4.363e+09,9.52e+08,7.91e+08,1.743e+09,1.7672e+10,1.95e+08,1.82e+08,-6.7e+07,-1.46e+08,1.64e+08,-2.4e+08,1.7e+07,-2.23e+08,-2.1e+07,1e+07,-2e+06,-2e+07,-7.9e+07,-7.9e+07,1.5e+07,-6.4e+07,5.52e+08,6.542e+09,2.2e+08,0.21112,0.07397,0.03319,0.09524,0.00939,1.3253,1.74942,9.13884,0.37019,0.6748,0.59712,20.33333,1.8374,0.89431,0.01366,0.01737,7.32246,10.92432
"16","2014_Q1",22.7429508196721,"Up",4.791e+09,-3.69e+09,1.101e+09,-7.36e+08,-7.36e+08,3.65e+08,-9e+07,-1.05e+08,1.5e+07,2.75e+08,-1.7e+07,2.58e+08,-2e+06,2.56e+08,2.56e+08,-2.1e+07,2.35e+08,2.28e+08,2.996e+09,2.996e+09,2.435e+09,2.435e+09,2.816e+09,3.97e+08,2.54e+08,8.644e+09,7.32e+09,1.563e+09,1.38e+08,6.68e+08,1.57e+08,6e+08,8.883e+09,1.7527e+10,3.097e+09,3.097e+09,8.7e+07,1.841e+09,1.841e+09,5.025e+09,6.162e+09,3.895e+09,2.673e+09,2.56e+08,9.66e+08,1.0057e+10,1.5082e+10,3.095e+09,1.958e+09,-3.947e+09,1.606e+09,8.39e+08,2.445e+09,1.7527e+10,2.56e+08,1.83e+08,-1.68e+08,9.65e+08,1.236e+09,-4.17e+08,6e+06,-4.11e+08,-2.9e+08,7e+06,-1.6e+07,-3.18e+08,5.07e+08,5.07e+08,-1.1e+07,4.96e+08,5.48e+08,6.249e+09,1.098e+09,0.22981,0.07618,0.04759,0.09325,0.01301,4.81579,1.7202,6.16851,0.35654,0.92683,0.76,19.47561,4.49593,4.46341,0.01962,0.08722,5.93613,8.91233
"17","2014_Q2",23.3596825396825,"Up",4.469e+09,-3.518e+09,9.51e+08,-6.67e+08,-6.67e+08,2.84e+08,-2.73e+08,-1.05e+08,-1.68e+08,1.1e+07,-4.1e+07,-3e+07,-8e+06,-3.8e+07,-3.8e+07,-1.3e+07,-5.1e+07,-5.8e+07,1.853e+09,1.853e+09,2.913e+09,2.913e+09,3.021e+09,4.19e+08,4.19e+08,8.206e+09,7.313e+09,1.573e+09,1.37e+08,6.68e+08,1.68e+08,6e+08,8.886e+09,1.7092e+10,3.112e+09,3.112e+09,7.3e+07,1.846e+09,1.846e+09,5.031e+09,7.047e+09,2.577e+09,1.376e+09,2.57e+08,9.44e+08,9.624e+09,1.4655e+10,3.088e+09,1.888e+09,-3.883e+09,1.593e+09,8.44e+08,2.437e+09,1.7092e+10,-3.8e+07,1.83e+08,-1.035e+09,-6.53e+08,-1.543e+09,-2.27e+08,1.6e+07,-2.11e+08,8.45e+08,-8e+06,-2.3e+07,7.95e+08,-9.59e+08,-9.59e+08,-1.84e+08,-1.143e+09,4.67e+08,7.12e+09,-4.05e+08,0.2128,0.06355,-0.01298,-0.0238,-0.00339,6.98276,1.63109,6.01354,0.41657,-0.23387,-0.23387,18.02016,4.40726,-1.63306,-0.00321,-0.03338,11.27837,18.54577
"18","2014_Q3",23.02109375,"Down",4.656e+09,-3.532e+09,1.124e+09,-6.98e+08,-6.98e+08,4.26e+08,-1.1e+08,-1.02e+08,-8e+06,3.16e+08,-2.4e+07,2.92e+08,-6e+07,2.32e+08,2.32e+08,-1.9e+07,2.13e+08,2.13e+08,1.637e+09,1.637e+09,2.841e+09,2.841e+09,3.13e+09,4.3e+08,4.3e+08,8.038e+09,7.325e+09,1.579e+09,1.37e+08,6.63e+08,1.31e+08,6.48e+08,8.904e+09,1.6942e+10,3.097e+09,3.097e+09,8.5e+07,1.843e+09,1.843e+09,5.025e+09,6.677e+09,2.558e+09,1.369e+09,2.55e+08,9.34e+08,9.235e+09,1.426e+10,3.568e+09,2.087e+09,-3.83e+09,1.825e+09,8.57e+08,2.682e+09,1.6942e+10,2.32e+08,1.88e+08,-73999999.9999999,6.3e+07,4.09e+08,-2.09e+08,-999999.999999996,-2.1e+08,-3.6e+08,-2.6e+07,-1.1e+07,-4.19e+08,-2.2e+08,-2.2e+08,4000000.00000003,-2.16e+08,6.14e+08,6.762e+09,5.28e+08,0.24141,0.09149,0.04575,0.07942,0.01257,2.47887,1.5996,5.31693,0.39913,0.77174,0.75801,16.86957,6.61232,1.91304,0.01958,0.04399,8.34691,12.03052
"19","2014_Q4",22.2540625,"Down",4.657e+09,-3.516e+09,1.141e+09,-6.53e+08,-6.53e+08,4.88e+08,-1.74e+08,-1.08e+08,-6.6e+07,3.14e+08,-1.5e+07,2.99e+08,-1e+08,1.99e+08,1.99e+08,-3.8e+07,1.61e+08,1.61e+08,1.744e+09,1.744e+09,3.021e+09,3.021e+09,2.924e+09,3.58e+08,3.58e+08,8.047e+09,7.092e+09,1.517e+09,1.35e+08,6.23e+08,1.05e+08,6.54e+08,8.609e+09,1.6656e+10,2.827e+09,2.827e+09,1.36e+08,1.81e+09,1.81e+09,4.773e+09,6.719e+09,2.466e+09,1.307e+09,2.43e+08,9.16e+08,9.185e+09,1.3958e+10,3.55e+09,2.231e+09,-3.919e+09,1.862e+09,8.36e+08,2.698e+09,1.6656e+10,1.99e+08,1.82e+08,-1e+06,-1.85e+08,1.95e+08,-1.92e+08,8e+06,-1.84e+08,2.28e+08,-2.2e+07,-2e+06,1.87e+08,1.98e+08,1.98e+08,-9.1e+07,1.07e+08,6.7e+08,6.855e+09,3.93e+08,0.24501,0.10479,0.03457,0.05967,0.00967000000000001,2.44099,1.68594,5.17346,0.41156,0.58545,0.57706,16.93455,6.77091,1.42909,0.01481,0.0327,7.62836,10.47336
"20","2015_Q1",23.5516393442623,"Up",4.356e+09,-3.34e+09,1.016e+09,-7.02e+08,-7.02e+08,3.14e+08,-1.73e+08,-1.29e+08,-4.4e+07,1.41e+08,-1.5e+07,1.26e+08,2.002e+09,2.128e+09,2.128e+09,1e+06,2.129e+09,2.129e+09,2.161e+09,2.161e+09,2.126e+09,2.126e+09,2.671e+09,2.01e+08,2.01e+08,7.159e+09,7.153e+09,3.732e+09,1.38e+08,6.01e+08,2.253e+09,7.4e+08,1.0885e+10,1.8044e+10,2.878e+09,2.878e+09,1.78e+08,1.674e+09,1.674e+09,4.73e+09,6.216e+09,2.671e+09,1.676e+09,9e+07,9.05e+08,8.887e+09,1.3617e+10,3.41e+09,4.331e+09,-4.131e+09,3.61e+09,8.17e+08,4.427e+09,1.8044e+10,2.128e+09,1.79e+08,-2.079e+09,1.051e+09,1.279e+09,-2.77e+08,3.1e+07,-2.46e+08,-4.04e+08,-1.39e+08,-1.4e+07,-5.74e+08,4.59e+08,4.59e+08,-4.2e+07,4.17e+08,4.93e+08,6.394e+09,-7.35e+08,0.23324,0.07208,0.48875,0.48091,0.11799,-0.34523,1.51353,3.0759,0.35436,7.79853,6.91234,15.95604,13.22344,-2.69231,0.15906,-0.05448,8.58621,13.48089
"21","2015_Q2",26.8457142857143,"Up",4.024e+09,-3.066e+09,9.58e+08,-6.08e+08,-6.08e+08,3.5e+08,2.5e+07,-1.07e+08,1.32e+08,3.75e+08,-1.6e+07,3.59e+08,-1.23e+08,2.36e+08,2.36e+08,-1.2e+07,2.24e+08,2.24e+08,1.613e+09,1.613e+09,2.523e+09,2.523e+09,2.538e+09,7.6e+08,1.92e+08,7.434e+09,6.826e+09,3.076e+09,1.37e+08,5.52e+08,1.682e+09,7.05e+08,9.902e+09,1.7336e+10,2.612e+09,2.612e+09,2.61e+08,1.554e+09,1.554e+09,4.427e+09,5.965e+09,2.386e+09,1.509e+09,1.81e+08,6.96e+08,8.351e+09,1.2778e+10,3.415e+09,4.551e+09,-4.174e+09,3.792e+09,7.66e+08,4.558e+09,1.7336e+10,2.36e+08,1.72e+08,-9.7e+07,-5.73e+08,-2.62e+08,-2.03e+08,2.3e+07,-1.8e+08,-1.8e+07,1e+06,-1e+06,-3.4e+07,-4.76e+08,-4.76e+08,-7.2e+07,-5.48e+08,5.22e+08,6.226e+09,-1.31e+08,0.23807,0.08698,0.05567,0.0491400000000001,0.01292,-0.58482,1.67924,2.80342,0.35914,0.82963,0.81752,14.9037,14.04444,-0.48519,0.01822,-0.00995,8.83716,13.18
"22","2015_Q3",27.1728125,"Up",4.172e+09,-3.027e+09,1.145e+09,-6.48e+08,-6.48e+08,4.97e+08,-1.23e+08,-1.1e+08,-1.3e+07,3.74e+08,-4.6e+07,3.28e+08,-1.2e+08,2.08e+08,2.08e+08,-1.6e+07,1.92e+08,1.92e+08,1.638e+09,1.638e+09,2.476e+09,2.476e+09,2.545e+09,1.036e+09,2.39e+08,7.695e+09,6.81e+09,3.011e+09,1.32e+08,5.63e+08,1.572e+09,7.44e+08,9.821e+09,1.7516e+10,2.602e+09,2.602e+09,3.57e+08,1.782e+09,1.782e+09,4.741e+09,5.746e+09,2.264e+09,1.452e+09,1.86e+08,6.26e+08,8.01e+09,1.2751e+10,3.386e+09,4.727e+09,-4.143e+09,3.97e+09,7.95e+08,4.765e+09,1.7516e+10,2.08e+08,1.77e+08,4.4e+07,1.07e+08,5.36e+08,-2.37e+08,-5.2e+07,-2.89e+08,-1.72e+08,-3.5e+07,-1e+07,-2.33e+08,13999999.9999999,13999999.9999999,1.1e+07,2.5e+07,6.74e+08,6.103e+09,6.64e+08,0.27445,0.11913,0.04602,0.04029,0.01096,3.45833,1.62308,2.67597,0.34842,0.711109999999999,0.70073,15.45185,14.7037,2.45926,0.01584,0.05056,6.62463,8.9839
"23","2015_Q4",29.74359375,"Up",4.184e+09,-3e+09,1.184e+09,-6.33e+08,-6.33e+08,5.51e+08,-1e+08,-1.05e+08,5e+06,4.51e+08,-2e+07,4.31e+08,-1.26e+08,3.05e+08,3.05e+08,-3.4e+07,2.71e+08,2.71e+08,1.69e+09,1.69e+09,2.616e+09,2.616e+09,2.544e+09,1.072e+09,2.55e+08,7.922e+09,6.673e+09,2.92e+09,1.31e+08,5.56e+08,1.485e+09,7.48e+08,9.593e+09,1.7515e+10,2.576e+09,2.576e+09,4.09e+08,1.798e+09,1.798e+09,4.783e+09,5.591e+09,2.189e+09,1.426e+09,1.76e+08,5.87e+08,7.78e+09,1.2563e+10,3.372e+09,4.981e+09,-4.21e+09,4.143e+09,8.09e+08,4.952e+09,1.7515e+10,3.05e+08,1.73e+08,8e+07,-1.97e+08,3.61e+08,-2.03e+08,-2e+06,-2.05e+08,-1e+06,-1.5e+07,-6e+06,-3.9e+07,1.17e+08,1.17e+08,-4.1e+07,7.6e+07,7.24e+08,6e+09,4.5e+08,0.28298,0.13169,0.06477,0.05473,0.01547,1.66052,1.65628,2.53695,0.34256,1.00743,0.98905,15.5539,15.40149,1.67286,0.02192,0.03424,5.95304,7.82214
"24","2016_Q1",27.4040983606557,"Down",4.063e+09,-3.071e+09,9.92e+08,-7.25e+08,-7.25e+08,2.67e+08,-9.9e+07,-1.16e+08,1.7e+07,1.68e+08,-6.78e+08,-5.1e+08,1.37e+08,-3.73e+08,-3.73e+08,-7e+06,-3.8e+08,-3.8e+08,1.476e+09,1.476e+09,2.033e+09,2.033e+09,2.464e+09,1.53e+08,1.53e+08,6.126e+09,6.777e+09,3.488e+09,1.38e+08,5.55e+08,2.141e+09,6.54e+08,1.0265e+10,1.6391e+10,2.769e+09,2.769e+09,6.34e+08,1.552e+09,1.552e+09,4.955e+09,5.074e+09,2.22e+09,1.468e+09,9.1e+07,6.61e+08,7.294e+09,1.2249e+10,3.36e+09,4.57e+09,-4.01e+09,3.92e+09,2.22e+08,4.142e+09,1.6391e+10,-3.73e+08,1.76e+08,5.01e+08,7.89e+08,1.093e+09,-2.78e+08,-3.04e+08,-5.82e+08,-2.86e+08,-7.8e+07,-3.37e+08,-7.2e+08,-2.09e+08,-2.09e+08,-2.3e+07,-2.32e+08,4.43e+08,5.708e+09,8.17e+08,0.24415,0.06571,-0.09353,-0.09174,-0.02318,-2.15,1.23633,2.95727,0.34824,-1.42322,-1.40741,15.21723,14.68165,3.05993,-0.02991,0.06769,9.55305,15.85019
"25","2016_Q2",26.14234375,"Down",3.691e+09,-2.701e+09,9.9e+08,-6.15e+08,-6.15e+08,3.75e+08,-9.7e+07,-9.1e+07,-6e+06,2.78e+08,-1.1e+07,2.67e+08,-7.8e+07,1.89e+08,1.89e+08,-5e+06,1.84e+08,1.84e+08,1.079e+09,1.079e+09,2.482e+09,2.482e+09,2.636e+09,1.78e+08,1.78e+08,6.375e+09,6.94e+09,3.462e+09,1.38e+08,5.74e+08,2.074e+09,6.76e+08,1.0402e+10,1.6777e+10,2.653e+09,2.653e+09,3.9e+08,1.558e+09,1.558e+09,4.601e+09,5.685e+09,2.159e+09,1.437e+09,8.7e+07,6.35e+08,7.844e+09,1.2445e+10,3.319e+09,4.735e+09,-3.95e+09,4.104e+09,2.28e+08,4.332e+09,1.6777e+10,1.89e+08,1.74e+08,1.4e+07,-7.49e+08,-3.72e+08,-2.52e+08,-1.2e+07,-2.64e+08,2.87e+08,-4.8e+07,-1.6e+07,2.04e+08,-4.32e+08,-4.32e+08,2.8e+07,-4.04e+08,5.49e+08,6.075e+09,-3.74e+08,0.26822,0.1016,0.04985,0.04247,0.01097,-2.03261,1.38557,2.87281,0.3621,0.68914,0.67897,13.82397,15.37079,-1.40075,0.01615,-0.02976,9.10018,13.32267
"26","2016_Q3",26.576875,"Up",3.879e+09,-2.813e+09,1.066e+09,-5.93e+08,-5.93e+08,4.73e+08,-1.24e+08,-1.04e+08,-2e+07,3.49e+08,-4.8e+07,3.01e+08,-9.3e+07,2.08e+08,2.08e+08,-6e+06,2.02e+08,2.02e+08,1.138e+09,1.138e+09,2.475e+09,2.475e+09,2.686e+09,1.69e+08,1.69e+08,6.468e+09,6.96e+09,3.432e+09,1.38e+08,5.6e+08,2.028e+09,7.06e+08,1.0392e+10,1.686e+10,2.643e+09,2.643e+09,4.91e+08,1.46e+09,1.46e+09,4.594e+09,5.745e+09,2.113e+09,1.393e+09,9e+07,6.3e+08,7.858e+09,1.2452e+10,3.226e+09,4.918e+09,-3.962e+09,4.182e+09,2.26e+08,4.408e+09,1.686e+10,2.08e+08,1.81e+08,65000000.0000001,-1.49e+08,3.05e+08,-2.13e+08,999999.99999997,-2.12e+08,1.53e+08,-9.9e+07,-6.7e+07,-31999999.9999999,60999999.9999999,60999999.9999999,-6e+06,55000000.0000001,6.54e+08,6.236e+09,3.85e+08,0.27481,0.12194,0.05208,0.04583,0.01198,1.90594,1.40792,2.82486,0.36987,0.76515,0.75373,14.69318,15.84091,1.45833,0.01732,0.03018,7.79511,10.77801
"27","2016_Q4",28.3504761904762,"Up",3.847e+09,-2.736e+09,1.111e+09,-5.99e+08,-5.99e+08,5.12e+08,-6.7e+07,-9e+07,2.3e+07,4.45e+08,-1.35e+08,3.1e+08,1e+07,3.2e+08,3.2e+08,-3e+06,3.17e+08,3.17e+08,9.75e+08,9.75e+08,2.649e+09,2.649e+09,2.754e+09,1.93e+08,1.93e+08,6.571e+09,7.039e+09,3.533e+09,1.38e+08,5.64e+08,2.129e+09,7.02e+08,1.0572e+10,1.7143e+10,2.6e+09,2.6e+09,5.82e+08,1.618e+09,1.618e+09,4.8e+09,5.446e+09,2.193e+09,1.388e+09,8.9e+07,7.16e+08,7.639e+09,1.2439e+10,3.187e+09,5.247e+09,-3.957e+09,4.477e+09,2.27e+08,4.704e+09,1.7143e+10,3.2e+08,1.81e+08,1.6e+07,-1.6e+08,3.57e+08,-2.33e+08,1e+06,-2.32e+08,-2.16e+08,-4.4e+07,-3e+06,-2.81e+08,-1.56e+08,-1.56e+08,3e+06,-1.53e+08,6.93e+08,6.028e+09,2.9e+08,0.2888,0.13309,0.0824,0.06739,0.01849,0.91483,1.36896,2.64435,0.35163,1.20992,1.19173,14.68321,17.08779,1.10687,0.02592,0.02244,7.29149,9.86914
"28","2017_Q1",31.2341935483871,"Up",3.741e+09,-2.685e+09,1.056e+09,-6.02e+08,-6.02e+08,4.54e+08,-1.09e+08,-8.7e+07,-2.2e+07,3.45e+08,-1.6e+07,3.29e+08,2.38e+08,5.67e+08,5.67e+08,-6e+06,5.61e+08,5.61e+08,1.132e+09,1.132e+09,1.769e+09,1.769e+09,2.627e+09,1.9e+08,1.9e+08,5.718e+09,7.04e+09,3.753e+09,1.36e+08,5.35e+08,2.414e+09,6.68e+08,1.0793e+10,1.6511e+10,2.589e+09,2.589e+09,6.81e+08,1.547e+09,1.547e+09,4.817e+09,4.798e+09,2.171e+09,1.46e+09,8.5e+07,6.26e+08,6.969e+09,1.1786e+10,2.897e+09,5.808e+09,-4.198e+09,4.507e+09,2.18e+08,4.725e+09,1.6511e+10,5.67e+08,1.91e+08,-2.74e+08,7.83e+08,1.267e+09,-2.63e+08,-8e+06,-2.71e+08,-4.8e+08,-2.96e+08,3.5e+07,-7.67e+08,2.29e+08,2.29e+08,-4e+07,1.89e+08,6.45e+08,5.479e+09,9.27e+08,0.28228,0.12136,0.14996,0.11873,0.03398,1.65241,1.18705,2.49439,0.33184,2.16602,2.16602,14.44402,17.40154,3.57915,0.04743,0.07491,6.73953,9.57489
"29","2017_Q2",31.7615873015873,"Up",3.699e+09,-2.76e+09,9.39e+08,-5.76e+08,-5.76e+08,3.63e+08,-9.5e+07,-8.7e+07,-8e+06,2.68e+08,-2.9e+07,2.39e+08,-7e+07,1.69e+08,1.69e+08,-3e+06,1.66e+08,1.66e+08,9.61e+08,9.61e+08,2.27e+09,2.27e+09,2.845e+09,2.49e+08,2.49e+08,6.325e+09,7.135e+09,3.734e+09,1.36e+08,5.45e+08,2.371e+09,6.82e+08,1.0869e+10,1.7194e+10,2.631e+09,2.631e+09,6.76e+08,1.608e+09,1.608e+09,4.915e+09,5.257e+09,2.062e+09,1.392e+09,8.6e+07,5.84e+08,7.319e+09,1.2234e+10,2.887e+09,5.949e+09,-4.103e+09,4.733e+09,2.27e+08,4.96e+09,1.7194e+10,1.69e+08,1.85e+08,2.8e+07,-6.68e+08,-2.86e+08,-2.7e+08,0,-2.7e+08,4.38e+08,-1.6e+07,1e+06,3.98e+08,-1.58e+08,-1.58e+08,2e+07,-1.38e+08,5.48e+08,5.933e+09,-3.2e+08,0.25385,0.09813,0.04488,0.03347,0.00965,-1.92771,1.28688,2.46653,0.34506,0.65873,0.64844,14.67857,18.78175,-1.26984,0.01474,-0.0247,9.07299,13.69697
"30","2017_Q3",30.0585714285714,"Down",3.686e+09,-2.785e+09,9.01e+08,-5.79e+08,-5.79e+08,3.22e+08,-1.05e+08,-8.9e+07,-1.6e+07,2.17e+08,-2.7e+07,1.9e+08,-3.6e+07,1.54e+08,1.54e+08,-7e+06,1.47e+08,1.47e+08,9.03e+08,9.03e+08,2.309e+09,2.309e+09,3.184e+09,2.36e+08,2.36e+08,6.632e+09,7.245e+09,3.769e+09,1.37e+08,5.71e+08,2.361e+09,7e+08,1.1014e+10,1.7646e+10,2.774e+09,2.774e+09,6.73e+08,1.622e+09,1.622e+09,5.069e+09,5.403e+09,2.029e+09,1.408e+09,8.6e+07,5.35e+08,7.432e+09,1.2501e+10,2.89e+09,6.071e+09,-4.052e+09,4.909e+09,2.36e+08,5.145e+09,1.7646e+10,1.54e+08,2.02e+08,-2.4e+07,-2.31e+08,1.01e+08,-2.25e+08,-3e+06,-2.28e+08,99999999.9999999,-3e+06,-4.4e+07,28000000.0000002,-99000000.0000001,-99000000.0000001,1.7e+07,-81999999.9999999,5.24e+08,6.076e+09,1.04e+08,0.24444,0.08736,0.03988,0.02857,0.00833,0.70748,1.30834,2.42974,0.34433,0.58333,0.57422,14.62698,19.48016,0.412699999999999,0.01298,0.00785,9.87214,16.06522
