"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","other_adjustments","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.29140625,"Up",5589190000,-5530118000,59072000,-72777000,-25663000,-3774000,-43340000,-13705000,-10486000,-10486000,-24191000,-24191000,1875000,-22316000,-22316000,-22067000,-5e+05,-22567000,12938000,12938000,842401000,842401000,428749000,99392000,51269000,18339000,29784000,1383480000,784724000,261742000,83210000,18951000,1046466000,2429946000,1114298000,947555000,166743000,8417000,4080000,4337000,1237715000,684068000,684068000,752021000,1989736000,417890000,-17431000,400459000,440210000,2429946000,-22316000,16089000,3681000,285324000,282778000,-11858000,-197139000,-130300000,51622000,-78678000,6961000,6961000,6961000,2384000,182953000,273975000,0.01057,-0.00245,-0.00404,-0.05126,-0.00929,-12.14051,1.11777,4.51997,0.07529,-0.73748,-0.73748,182.65327,13.0869,8.95343,-0.01726,0.20958,71.31502,-12.40533
"12","2013_Q3",13.4496875,"Up",4771756000,-4677959000,93797000,-77821000,-25680000,-4774000,-47367000,15976000,-10772000,-10772000,5204000,5204000.00000001,-4.65661287307739e-10,5204000.00000001,5204000.00000001,4824999.99999999,-764000,4061000,9673000,9673000,584577000,584577000,340449000,70555000,45179000,2022000,23354000,1005254000,787717000,256848000,78437000,18832000,1044565000,2049819000,755423000,603615000,151808000,14331000,10045000,4286000,884754000,665716000,665716000,733774000,1618528000,403859000,-14123000,389736000,431291000,2049819000,5204000.00000001,18644000,1484000,19602000,44934000,-15798000,-15768000,-1.5e+07,-17431000,-32431000,-3265000,-3265000,-3265000,34620000,183058000,38424000,0.01966,0.00335,0.00085,0.00942000000000001,0.00198,9.46171,1.1362,3.75275,0.0893,0.13271,0.13271,155.93974,12.73647,1.25569,0.00317000000000001,0.03002,5.00822999999998,10.85284
"13","2013_Q4",13.17921875,"Down",4433426000,-4315333000,118093000,-79375000,-27889000,-4773000,-46713000,38718000,-10855000,-10855000,27863000,27863000,-2727000,25136000,25136000,25815000,-1042000,24773000,15068000,15068000,625829000,625829000,397412000,120782000,41591000,37001000,42190000,1159091000,838424000,209754000,73663000,17701000,1048178000,2207269000,751605000,615093000,136512000,43156000,38885000,4271000,909761000,782105000,782105000,850268000,1760029000,409241000,-13877000,395364000,447240000,2207269000,25136000,20801000,2701000,-122238000,-73600000,-13510000,-13521000,113800000,-21284000,92516000,5395000,5395000,5395000,59519000,183163000,-73502000,0.02664,0.00873,0.00559,0.05539,0.01122,-2.96702,1.27406,3.93531,0.08298,0.80958,0.80958,144.8832,12.92039,-2.40203,0.01754,-0.05204,2.82422,4.34152
"14","2014_Q1",14.5740983606557,"Up",4795236000,-4661642000,133594000,-90447000,-36259000,-5895000,-48293000,43147000,-11424000,-11424000,31723000,32996000,32999.9999999991,33029000,33029000,34042000,-1215000,32827000,9217000,9217000,686392000,686392000,572806000,105896000,36693000,46007000,23196000,1374311000,803636000,249975000,67769000,28128000,1053611000,2427922000,927298000,781119000,146179000,45274000,38197000,7077000.00000001,972572000,843902000,843902000,992170000,1964742000,426547000,-11310000,415237000,463180000,2427922000,33029000,21600000,4413000,-58007000,1035000,-16779000,-16779000,-49600000,64083000,9893000.00000001,-5851000,-5851000,-5851000,64747000,148268000,-10072000,0.02786,0.009,0.00685,0.07087,0.01352,-0.306820000000002,1.41307,4.24185,0.06107,1.07278,1.07278,156.70706,13.56984,-0.32915,0.02256,-0.00692,2.14761,3.22273
"15","2014_Q2",15.8068253968254,"Up",5116928000,-4957904000,159024000,-89778000,-37298000,-4528000,-47952000,69246000,-11107000,-11107000,58139000,57476000,-322000,57154000,57154000,57010000,-1508000,55502000,13064000,13064000,644244000,644244000,460478000,145644000,48325000,80488000,16831000,1263430000,799124000,243949000,63241000,26630000,1043073000,2306503000,736923000,599043000,137880000,271990000,89930000,182060000,1008913000,645752000,645752000,794125000,1803038000,466638000,-11260000,455378000,503465000,2306503000,57154000,19706000,3152000,-26866000,53146000,-11329000,-11329000,-20200000,-17770000,-37970000,3847000,3847000,3847000,88952000,148373000,51079000,0.03108,0.01353,0.01085,0.11024,0.02406,0.92031,1.25227,3.58126,0.06433,1.81379,1.81379,167.21987,14.88163,1.66925,0.04277,0.03936,1.52115,1.95403
"16","2014_Q3",16.7003125,"Up",4569620000,-4481935000,87685000,-87226000,-31673000,-4524000,-51029000,459000,-12246000,-12246000,-11787000,-12184000,-94000,-12278000,-12278000,-12719000,-1033000,-13752000,16744000,16744000,545696000,545696000,490521000,100204000,48541000,29549000,22114000,1153165000,811308000,243409000,58717000,30614000,1054717000,2207882000,663944000,513836000,150108000,218873000,36833000,182040000,882817000,484727000,484727000,852514000,1735331000,434728000,-10705000,424023000,472551000,2207882000,-12278000,21469000,4368000,-17071000,-3512000,-29526000,-29526000,-202144000,240686000,36718000,3680000,3680000,3680000,21928000,367787000,-24575000,0.01919,0.000100000000000001,-0.00301,-0.0291,-0.00623,1.78701,1.30623,3.67226,0.16658,-0.44941,-0.44941,149.33399,13.85696,-0.803100000000001,-0.01038,-0.01855,16.00889,764.79956
"17","2014_Q4",15.80875,"Down",4050458000,-3895023000,155435000,-99245000,-41408000,-4522000,-53315000,56190000,-12324000,-12324000,43866000,43866000,-244000,43622000,43622000,42508000,-1623000,40885000,5545000,5545000,529147000,529147000,455709000,125313000,53989000,57121000,14203000,1115714000,823583000,238397000,54195000,30124000,1061980000,2177694000,691366000,545749000,145617000,172774000,55754000,117020000,864140000,448386000,448386000,816398000,1680538000,456885000,-9371000,447514000,497156000,2177694000,43622000,21578000,3369000,75798000,144367000,-29331000,-29331000,-1.05e+08,-18636000,-126235000,-11199000,-11199000,-11199000,77768000,368012000,124479000,0.03837,0.01387,0.01009,0.08224,0.01877,3.04461,1.29113,3.3803,0.16899,1.33611,1.33611,132.36791,14.62464,4.06794,0.03113,0.09477,4.66088,6.45074
"18","2015_Q1",15.355737704918,"Down",3532948000,-3390305000,142643000,-100649000,-43582000,-5293000,-51774000,41994000,-12087000,-12087000,29907000,28785000,-303000,28482000,28482000,27910000,-1817000,26093000,5238000,5238000,457730000,457730000,336813000,159242000,54315000,83826000,21101000,959023000,825051000,246743000,48902000,43763000,1071794000,2030817000,645183000,456619000,188564000,62308000,58507000,3801000,707491000,327074000,314116000,687170000,1394661000,600194000,-13252000,586942000,636156000,2030817000,28482000,23611000,4279000,94529000,150901000,-20907000,-20907000,-105956000,-20136000,-130301000,-307000.000000002,-307000.000000002,-307000.000000002,65605000,360096000,139530000,0.04038,0.01189,0.00739,0.04102,0.01285,5.34741,1.35553,2.19233,0.17732,0.85271,0.852709999999999,115.45582,19.18111,4.5598,0.01972,0.10544,5.40901,8.45020999999997
"19","2015_Q2",16.0547619047619,"Up",2979116000,-2810558000,168558000,-122783000,-48786000,-5341000,-68656000,45775000,-13963000,-13963000,31812000,31375000,-966000,30409000,30409000,30415000,-2179000,28236000,6345000,6345000,410881000,410881000,371627000,169175000,74123000,57470000,37582000,958028000,1174083000,436673000,80049000,54637000,1610756000,2568784000,458621000,307520000,151101000,176757000,48272000,128485000,635378000,922105000,801397000,1290421000,1925799000,606755000,-12978000,593777000,642985000,2568784000,30409000,28472000,3055000,-175851000,-113915000,-13001000,-418479000,558300000,-22357000,533501000,1107000,1107000,1107000,74247000,368316000,-113639000,0.05658,0.01537,0.00948,0.04391,0.01099,-4.02461,1.50781,2.99509,0.14338,0.92275,0.92275,97.35673,19.40448,-3.71369,0.0146,-0.05878,4.87523,7.90761
"20","2015_Q3",13.6640625,"Down",2680088000,-2535900000,144188000,-120629000,-45391000,-3070000,-72168000,23559000,-16451000,-16451000,7108000,6895000,719000,7614000,7614000,7218000,-2671000,4547000,11187000,11187000,375573000,375573000,429039000,152134000,80716000,47153000,24265000,967933000,1240539000,573238000,79883000,49941000,1813777000,2781710000,487178000,332412000,154766000,167333000,46066000,121267000,654511000,725950000,725950000,1389623000,2044134000,701644000,-11952000,689692000,737576000,2781710000,7614000,26768000,3465000,18836000,56683000,-18911000,-175190000,-147295000,270644000,123349000,4842000,4842000,4842000,50327000,663673000,49533000,0.0538,0.00879,0.0017,0.00616000000000001,0.00163,10.89356,1.47886,2.77142,0.23858,0.14574,0.14574,85.90026,22.10551,1.5876,0.00214,0.02329,12.96493,27.69583
"21","2015_Q4",11.42390625,"Down",2486203000,-2333904000,152299000,-122108000,-42480000,-2319000,-77309000,30191000,-20643000,-20643000,9548000,8868000,-722000,8146000,8146000,8212000,-2832000,5380000,765000,765000,376509000,376509000,383933000,149275000,65407000,52981000,30887000,910482000,1234759000,569501000,78535000,48755000,1804260000,2714742000,467514000,314779000,152735000,136147000,28188000,107959000,603661000,728571000,728571000,1392581000,1996242000,683429000,-12747000,670682000,718500000,2714742000,8146000,30809000,4285000,8600000,51840000,-22059000,-21472000,-13300000,-26040000,-40790000,-10422000,-10422000,-10422000,6.1e+07,664010000,48263000,0.06126,0.01214,0.00216,0.00749,0.00198,8.97082,1.50827,2.77835,0.24459,0.15964,0.15964,73.77457,19.90154,1.43214,0.00255,0.02286,10.87287,21.9683
"22","2016_Q1",6.68180327868852,"Down",2169445000,-2036821000,132624000,-115329000,-40386000,-2769000,-72174000,17295000,-22275000,-22275000,-4980000,-5747000,2842000,-2905000,-2905000,-2282000,15000.0000000005,-2267000,1116000,1116000,311354000,311354000,388952000,165613000,65609000,66099000,33905000,867035000,1242683000,553957000,75694000,42894000,1796640000,2663675000,459373000,303781000,155592000,135361000,31911000,103450000,594734000,718393000,633557000,1374957000,1969691000,655883000,-8094000,647789000,693984000,2663675000,-2905000,29802000,830000,40171000,67898000,-34623000,-34623000,-5800000,-27124000,-32924000,351000,351000,351000,47097000,656564000,49803000,0.06113,0.00797,-0.00104,-0.00327,-0.00085,-21.96868,1.45785,2.83824,0.24649,-0.06709,-0.06709,64.19996,19.16989,1.47381,-0.0011,0.02407,13.91698,37.89812
"23","2016_Q2",6.19125,"Down",1750812000,-1620753000,130059000,-109729000,-34984000,-2509000,-72236000,20330000,-22980000,-22980000,-2650000,-8755000,920000,-7835000,-7835000,-7024000,47000,-6977000,17069000,17069000,308359000,308359000,402872000,159201000,73467000,43397000,42337000,887501000,1217659000,550278000,72871000,42038000,1767937000,2655438000,388387000,255798000,132589000,216468000,25923000,190545000,604855000,721685000,638405000,1378898000,1983753000,634304000,-7765000,626539000,671685000,2655438000,-7835000,28669000,11143000,-85493000,-53516000,-7863000,-7863000,93200000,-15868000,77332000,15953000,15953000,15953000,48999000,657213000,-45277000,0.07428,0.01161,-0.00399,-0.01039,-0.00263,6.48947,1.4673,2.9534,0.2475,-0.20827,-0.20827,52.26304,18.70266,-1.35155,-0.0034,-0.02208,13.06443,31.48765
"24","2016_Q3",7.06234375,"Up",2146199000,-2016857000,129342000,-114890000,-36640000,-2359000,-75891000,14452000,-21015000,-21015000,-6563000,-9093000,550000,-8543000,-8543000,-7310000,49000,-7261000,8594000,8594000,358142000,358142000,443994000,140493000,67678000,29590000,43225000,951223000,1207239000,544507000,70200000,38938000,1751746000,2702969000,431642000,286807000,144835000,248225000,24088000,224137000,679867000,717204000,637466000,1375070000,2054937000,612546000,-6867000,605679000,648032000,2702969000,-8543000,29280000,5783999.99999999,-32988000,-6467000,-19301000,-19301000,34376000,-17083000,17293000,-8475000,-8475000,-8475000,43732000,657866000,-9107000.00000001,0.06027,0.00673,-0.00338,-0.0112,-0.00269,1.25423,1.39913,3.17104,0.24339,-0.21675,-0.21675,64.06564,18.07997,-0.27185,-0.00359,-0.0045,14.84661,44.9261
"25","2016_Q4",8.01111111111111,"Up",2030198000,-1897587000,132611000,-109556000,-36705000,-2260000,-70591000,23055000,-21197000,-21197000,1858000,-153445000,-3138000,-156583000,-156583000,-119551000,801000,-118750000,14943000,14943000,281008000,281008000,438254000,119244000,73665000,24563000,21016000,853449000,1128765000,402306000,67586000,35663000,1531071000,2384520000,378231000,231241000,146990000,197820000,24491000,173329000,576051000,672487000,599580000,1330984000,1907035000,478202000,-6038000,472164000,477485000,2384520000,-156583000,28525000,158428000,43773000,74143000,31343000,31343000,-83400000,-15737000,-99137000,6349000,6349000,6349000,51580000,658497000,129834000,0.06532,0.01136,-0.05849,-0.2487,-0.0498,-1.09334,1.48155,3.99392,0.27615,-3.54478,-3.54478,60.60293,14.09445,3.87564,-0.06566,0.07179,12.47681,27.91386
"26","2017_Q1",10.0846774193548,"Up",2312430000,-2157952000,154478000,-113434000,-41344000,-2261000,-69829000,41044000,-21127000,-21127000,19917000,-67277000,1615000,-65662000,-65662000,-65527000,439000,-65088000,10028000,10028000,421360000,421360000,521878000,122200000,70022000,21382000,30796000,1075466000,1099899000,388655000,65013000,28874000,1488554000,2564020000,491871000,320262000,171609000,307354000,27413000,279941000,799225000,707804000,641750000,1366954000,2166179000,398096000,-5441000,392655000,397841000,2564020000,-65662000,25468000,-8802000,-85050000,-134046000,2267999.99999999,2268000.00000001,142493000,-15630000,126863000,-4915000,-4915000,-4915000,66512000,659150000,-17885000,0.0668,0.01775,-0.02815,-0.1636,-0.02539,0.27478,1.34564,5.44484,0.25708,-1.93714,-1.93714,68.82232,11.68616,-0.532289999999999,-0.03688,-0.01013,9.75947,15.81527
"27","2017_Q2",9.77412698412698,"Down",2270784000,-2130757000,140027000,-106261000,-36787000,-2261000,-67213000,33766000,-23287000,-23287000,10479000,22341000,164000,22505000,22505000,22946000,-154000,22792000,14126000,14126000,312314000,312314000,433952000,95673000,71110000,2720000,21843000,856065000,1074465000,397799000,62443000,42583000,1472264000,2328329000,390251000,232125000,158126000,187225000,4986000,182239000,577476000,685740000,620444000,1345545000,1923021000,405287000,-4724000,400563000,405308000,2328329000,22505000,26364000,-9026000,77722000,117565000,15871000,15871000,-113700000,-15638000,-129338000,4098000,4098000,4098000,60130000,659805000,153559000,0.06166,0.01487,0.01004,0.05623,0.00979,6.73741,1.48243,4.74459,0.28338,0.67833,0.67833,67.58286,11.92152,4.57021,0.01302,0.08771,10.73805,19.12216
"28","2017_Q3",9.2447619047619,"Down",2089530000,-1954168000,135362000,-108108000,-34679000,-2260000,-71169000,27254000,-21923000,-21923000,5331000,2950000,-959000,1991000,1991000,2374000,-16000.0000000001,2358000.00000001,5922000,5922000,260906000,260906000,370364000,93588000,74161000,6168000,13259000,730780000,1054584000,412216000,59965000,60408000,1466800000,2197580000,352380000,195734000,156646000,108584000,4150000,104434000,460964000,683488000,618150000,1343951000,1804915000,392764000,-4275000,388489000,392665000,2197580000,1991000,26549000,5797000,58025000,92362000,-6941000,-6941000,-77800000,-15825000,-93625000,-8204000,-8204000,-8204000,53803000,660463000,105846000,0.06478,0.01304,0.00113,0.00601,0.00107,44.88804,1.58533,4.59658,0.30054,0.06997,0.0699699999999998,62.00386,11.52786,3.14083,0.00136,0.06095,12.16551,24.01633
"29","2017_Q4",9.51761904761905,"Up",2159746000,-2009652000,150094000,-112732000,-40134000,-2260000,-70338000,37362000,-20626000,-20626000,16736000,13737000,723000,14460000,14460000,14878000,-1e+05,14778000,10855000,10855000,330939000,330939000,280510000,100626000,77175000,5350000,18101000,722930000,1038231000,387017000,57670000,37892000,1425248000,2148178000,420964000,241724000,179240000,55638000,11109000,44529000,476602000,618699000,554518000,1279808000,1756410000,392223000,-4213000,388010000,391768000,2148178000,14460000,26510000,5293000,106251000,152514000,-10772000,-10772000,-120600000,-16209000,-136809000,4933000,4933000,4933000,63872000,661109000,158628000,0.0695,0.0173,0.00684,0.03772,0.00688,10.73406,1.51684,4.48329,0.30775,0.43593,0.43593,63.70932,11.44572,4.67929,0.00884,0.0949,10.18058,17.40415
