"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",15.1111111111111,"Down",4106000,-3545000,561000,-5076000,-4305000,-771000,-4515000,-7000,-5.6843418860808e-14,-7000,-4522000,-4522000,-4522000,-4522000,-4522000,-4522000,14970000,14970000,2587000,2587000,8441000,1407000,997000,27405000,1761000,32000,32000,1793000,29198000,2657000,1680000,977000,1054000,3711000,98000,98000,98000,3809000,126844000,-101459000,4000,25389000,25389000,29198000,-4522000,-4522000,177000,-54000,2754000,-1645000,-29000,-29000,30000,-1644000,-1644000,-1659000,-4338000,0,0.13663,-1.09961,-1.10132,-0.17811,-0.15487,7.3848,0.15003,0,-1.92951,-1.92951,1.75201,10.83333,-0.17742,3.4509,3.31561
"12","2017_Q3",10.9314285714286,"Down",6011000,-4510000,1501000,-4601000,-3838000,-763000,-3100000,-14000,0,-14000,-3114000,-3114000,-3114000,-3114000,-3114000,-3114000,13487000,13487000,3460000,3460000,7901000,1414000,1004000,26262000,1507000,33000,33000,1540000,27802000,3888000,3170000,718000,814000,4702000,577000,577000,577000,5279000,127095000,-104573000,1000,22523000,22523000,27802000,-3114000,-3114000,171000,322000,1118000,-1503000,-14000,-14000,26000,-1491000,-1491000,-1483000,-2929000,0,0.24971,-0.51572,-0.51805,-0.13826,-0.11201,5.58528,0.23438,3.3881317890172e-21,-1.3205,-1.3205,2.54898,9.55093,-0.13481,4.60464,4.35065
"13","2017_Q4",13.0180952380952,"Up",5002000,-3865000,1137000,-2925000,-2193000,-732000,-1788000,15000,-1000,16000,-1773000,-1773000,-1773000,-1773000,-1773000,-1773000,11935000,11935000,2983000,2983000,6779000,1456000,1046000,23153000,1352000,30000,30000,1382000,24535000,2968000,2176000,792000,377000,3345000,248000,248000,248000,3593000,127287000,-106346000,1000,20942000,20942000,24535000,-1773000,-1773000,166000,214000,-143000,-1536000,-14000,-14000,0,-1550000,-1550000,-1552000,-1622000,0,0.22731,-0.35746,-0.35446,-0.08466,-0.07226,6.92167,0.17157,0,-0.74772,-0.74772,2.10948,8.83182,-0.08367,7.3582,6.67506
"14","2018_Q1",13.4973770491803,"Up",4727000,-3105000,1622000,-3315000,-2641000,-674000,-1693000,-95000,-1000,-94000,-1788000,-1973000,-1858000,-1858000,-1858000,-1858000,10761000,10761000,3595000,3595000,5718000,821000,596000,20895000,1097000,159000,159000,1256000,22151000,2278000,1630000,648000,349000,2627000,232000,232000,232000,2859000,127494000,-108204000,2000,19292000,19292000,22151000,-1858000,-1858000,167000,249000,252000,-1190000,-8000.00000000001,-8000.00000000001,25000,-1173000,-1173000,-1174000,-1526000,1.81898940354586e-12,0.34314,-0.35816,-0.39306,-0.09631,-0.08388,7.95394,0.1482,-5.42101086242752e-20,-0.78337,-0.78337,1.993,8.13391,-0.09516,7.05177,6.35617
"15","2018_Q2",11.6834375,"Down",4659000,-3843000,816000,-3226000,-2597000,-629000,-2410000,20000,-1000,21000,-2390000,-2390000,-2390000,-2390000,-2390000,-2390000,10172000,10172000,3551000,3551000,5608000,886000,886000,20217000,1004000,144000,144000,1148000,21365000,3839000,3076000,763000,259000,4098000,201000,201000,201000,4299000,127657000,-110594000,3000,17066000,17066000,21365000,-2390000,-2390000,151000,154000,1342000,-743000,187000,187000,-32000,-588000,-588000,-589000,-2259000,0,0.17514,-0.51728,-0.51299,-0.14004,-0.11187,4.93338,0.2519,0,-1.0042,-1.0042,1.95756,7.17059,-0.13841,4.50288,4.22075
"16","2018_Q3",10.8369841269841,"Down",5172000,-3876000,1296000,-3097000,-2424000,-673000,-1801000,-3000,-1000,-1999.99999999999,-1804000,-1804000,-1804000,-1804000,-1804000,-1804000,8619000,8619000,3369000,3369000,5739000,1042000,1042000,18769000,847000,147000,147000,994000,19763000,3778000,3021000,757000,301000,4079000,176000,176000,176000,4255000,127907000,-112398000,-1000,15508000,15508000,19763000,-1804000,-1804000,143000,250000,-146000,-1557000,-4000,-4000,14000,-1547000,-1547000,-1553000,-1658000,1.45519152283669e-11,0.25058,-0.34822,-0.3488,-0.11633,-0.09128,4.60137,0.27437,-8.67361737988404e-19,-0.75487,-0.75487,2.1642,6.48925,-0.11502,5.19843,4.78567
"17","2018_Q4",6.17269841269841,"Down",5158000,-3877000,1281000,-3182000,-2544000,-638000,-1901000,-19000,-2000,-17000,-1920000,-1920000,-1920000,-1920000,-1920000,-1920000,7054000,7054000,2962000,2962000,6434000,1255000,1255000,17705000,713000,147000,147000,860000,18565000,4207000,3002000,1205000,364000,4571000,152000,152000,152000,4723000,128161000,-114318000,-1000,13842000,13842000,18565000,-1920000,-1920000,105000,291000,-22000,-1546000,0,0,-21000,-1567000,-1567000,-1565000,-1796000,0,0.24835,-0.36855,-0.37224,-0.13871,-0.10342,3.87333,0.34121,0,-0.79609,-0.79609,2.13865,5.73928,-0.1372,3.92762,3.71068
"18","2019_Q1",5.07081967213115,"Down",3118000,-3099000,19000,-2992000,-2335000,-657000,-2973000,-13000,-4000,-9000,-2986000,-2986000,-2997000,-2997000,-2997000,-2997000,6335000,6335000,2201000,2201000,8058000,1094000,1094000,17688000,610000,194000,194000,804000,18492000,4577000,3606000,971000,444000,7240000,2e+05,2e+05,2e+05,7440000,128368000,-117315000,-1000,11052000,11052000,18492000,-2997000,-2997000,123000,261000,-336000,-2949000,6000.00000000001,6000.00000000001,2224000,-719000,-719000,-719000,-2850000,2219000,0.00609000000000001,-0.9535,-0.96119,-0.27117,-0.16207,2.44309,0.67318,0.12,-1.24048,-1.24048,1.29056,4.5745,-0.22248,1.44421,1.38446
"19","2019_Q2",2.76206349206349,"Down",3177000,-3079000,98000,-2901000,-2375000,-526000,-2803000,-62000,-43000,-19000,-2865000,-2865000,-2865000,-2865000,-2865000,-2865000,3861000,3861000,2386000,2386000,8251000,573000,573000,15071000,510000,2458000,2458000,2968000,18039000,3073000,2255000,818000,1322000,7815000,1791000,1791000,1791000,9606000,128800000,-120366000,-1000,8433000,8433000,18039000,-2865000,-2865000,105000,689000,-1485000,-3556000,-4000,-4000,1086000,-2474000,-2474000,-2474000,-2698000,3420000,0.03085,-0.88228,-0.90179,-0.33974,-0.15882,1.92847,1.1391,0.18959,-1.18135,-1.18135,1.31,3.47724,-0.20998,0.16345,0.15733
"20","2019_Q3",2.32109375,"Down",3082000,-3191000,-109000,-2040000,-1722000,-318000,-2149000,-105000,-26000,-79000,-2254000,-2254000,-2254000,-2254000,-2254000,-2254000,2207000,2207000,1805000,1805000,7667000,533000,533000,12212000,422000,2235000,2235000,2657000,14869000,2516000,2e+06,516000,1271000,7142000,1575000,1575000,1575000,8717000,128775000,-122620000,-3000,6152000,6152000,14869000,-2254000,-2254000,95000,38000,557000,-1564000,-24000,-24000,-71000,-1659000,-1659000,-1654000,-2054000,3355000,-0.03537,-0.69727,-0.73134,-0.36638,-0.15159,1.70989,1.41694,0.22564,-0.91359,-0.91359,1.24919,2.49351,-0.20339,-0.55891,-0.5342
"21","2019_Q4",2.20671875,"Down",2915000,-1887000,1028000,-1861000,-1670000,-191000,-833000,-113000,-67000,-46000,-946000,-946000,-946000,-946000,-946000,-946000,634000,634000,1782000,1782000,7399000,642000,642000,10457000,375000,1996000,1996000,2371000,12828000,1972000,1228000,744000,1244000,6242000,1346000,1346000,1346000,7588000,128809000,-123566000,-3000,5240000,5240000,12828000,-946000,-946000,77000,44000,-384000,-1209000,-29000,-29000,-329000,-1567000,-1567000,-1573000,-756000,3026000,0.35266,-0.28576,-0.32453,-0.18053,-0.07374,1.67526,1.44809,0.23589,-0.38231,-0.38231,1.17806,2.11769,-0.09842,-3.16402,-2.87155
"22","2020_Q1",2.67290322580645,"Up",3531000,-2574000,957000,-1931000,-1682000,-249000,-974000,-128000,-181000,53000,-1102000,-1298000,-1308000,-1308000,-1308000,-1308000,350000,350000,2337000,2337000,6168000,479000,353000,9334000,389000,2016000,2016000,2405000,11739000,2328000,1340000,988000,1796000,6543000,1200000,1200000,1200000,7743000,128873000,-124874000,-3000,3996000,3996000,11739000,-1308000,-1308000,49000,64000,9e+05,-295000,-72000,-72000,408000,41000,41000,58000,-925000,2419000,0.27103,-0.27584,-0.37043,-0.32733,-0.11142,1.42656,1.93769,0.20607,-0.52733,-0.52733,1.42356,1.61103,-0.17177,-2.23676,-2.12423
"23","2020_Q2",3.65063492063492,"Up",3783000,-2751000,1032000,-2309000,-2027000,-282000,-1277000,-151000,-133000,-18000,-1428000,-541000,-541000,-541000,-541000,-541000,2911000,2911000,1904000,1904000,4700000,666000,666000,10181000,390000,1852000,1852000,2242000,12423000,2104000,1188000,916000,2780000,5674000,865000,865000,865000,6539000,131302000,-125415000,-3000,5884000,5884000,12423000,-541000,-541000,46000,-783000,1782000,504000,-47000,-47000,2104000,2561000,2561000,2561000,-1231000,790000,0.2728,-0.33756,-0.14301,-0.09194,-0.04355,1.79432,1.11132,0.06359,-0.17531,-0.17531,1.22586,1.90668,-0.07176,1.72299,1.66092
"24","2020_Q3",6.94484375,"Up",3335000,-1992000,1343000,-2286000,-1973000,-313000,-943000,-111000,-87000,-24000,-1054000,-4340000,-4340000,-4340000,-4340000,-4340000,2727000,2727000,2518000,2518000,5900000,677000,677000,11822000,415000,1670000,1670000,2085000,13907000,3616000,2617000,999000,5825000,11035000,626000,626000,1158000,12193000,131472000,-129755000,-3000,1714000,1714000,13907000,-4340000,-4340000,46000,3355000,-268000,-1207000,-71000,-71000,1094000,-184000,-184000,-184000,-897000,2126000,0.4027,-0.28276,-1.30135,-2.53209,-0.31207,1.07132,7.11377,0.15287,-1.35965,-1.35965,1.0448,0.53697,-0.97179,0.67001,0.63733
"25","2020_Q4",5.91375,"Down",5964000,-4588000,1376000,-2404000,-2003000,-401000,-1028000,-149000,-124000,-25000,-1177000,-1167000,-1165000,-1165000,-1165000,-1165000,2574000,2574000,3366000,3366000,5259000,1361000,1361000,12560000,420000,1087000,1087000,1507000,14067000,4321000,3089000,1232000,4312000,11020000,475000,475000,908000,11928000,133062000,-130920000,-3000,2139000,2139000,14067000,-1165000,-1165000,48000,32000,205000,-880000,-53000,-53000,780000,-153000,-153000,-153000,-980000,2820000,0.23072,-0.17237,-0.19534,-0.54465,-0.08282,1.13975,5.57644,0.20047,-0.35196,-0.35196,1.80181,0.64622,-0.21439,-0.25102,-0.2393
"26","2021_Q1",4.90409836065574,"Down",3746000,-2312000,1434000,-2316000,-1897000,-419000,-882000,-143000,-137000,-6000,-1025000,62000,65000,65000.0000000005,65000.0000000005,65000.0000000005,1836000,1836000,2021000,2021000,5641000,1578000,782000,11076000,420000,901000,901000,1321000,12397000,3889000,2477000,1412000,841000,4730000,318000,318000,3412000,8142000,135113000,-130855000,-3000,4255000,4255000,12397000,65000,65000,44000,-973000,-4000.00000000012,-868000,-52000,-52000,182000,-738000,-738000,-738000,-838000,3094000,0.38281,-0.23545,0.01735,0.0152799999999998,0.00523999999999997,2.34165,1.91351,0.24958,0.0186100000000001,0.0186100000000001,1.07274,1.2185,0.00848000000000002,-1.50119,-1.4263
"27","2021_Q2",4.11746031746032,"Down",2637000,-2084000,553000,-2871000,-2218000,-653000,-2318000,-144000,-127000,-17000,-2462000,-1642000,-1642000,-1642000,-1642000,-1642000,548000,548000,1492000,1492000,7515000,1562000,778000,11117000,482000,730000,730000,1212000,12329000,4693000,3437000,1256000,4186000,8879000,172000,172000,172000,9051000,135778000,-132497000,-3000,3278000,3278000,12329000,-1642000,-1642000,47000,-605000,-583000,-2783000,-109000,-109000,1604000,-1288000,-1288000,-1288000,-2271000,0,0.20971,-0.87903,-0.62268,-0.50092,-0.13318,1.25206,2.76113,0,-0.4546,-0.4546,0.73007,0.90753,-0.47594,0.2413,0.23641
"28","2021_Q3",3.50765625,"Down",2074000,-1681000,393000,-2638000,-2268000,-370000,-2245000,-231000,-216000,-15000,-2476000,-2473000,-2473000,-2473000,-2473000,-2473000,1327000,1327000,1149000,1149000,8129000,1718000,810000,12323000,531000,548000,548000,1079000,13402000,3958000,2846000,1112000,2221000,7752000,34000,34000,47000,7799000,140576000,-134970000,-3000,5603000,5603000,13402000,-2473000,-2473000,53000,269000,-1171000,-3322000,-102000,-102000,4203000,779000,779000,779000,-2192000,1586000,0.18949,-1.08245,-1.19238,-0.44137,-0.18452,1.58965,1.39193,0.11834,-0.58685,-0.58685,0.49217,1.32962,-0.34238,-0.11816,-0.11537
"29","2021_Q4",3.0425,"Down",2749000,-2186000,563000,-2372000,-1968000,-404000,-1809000,670000,-177000,847000,-1139000,-1140000,-1140000,-1140000,-1140000,-1140000,381000,381000,1628000,1628000,7755000,2334000,1421000,12098000,588000,419000,419000,1007000,13105000,3827000,2606000,1221000,2080000,8573000,30000,30000,30000,8603000,140615000,-136110000,-3000,4502000,4502000,13105000,-1140000,-2797328.52153706,43000,-759000,-459000,-2315000,-1e+05,-1e+05,1127000,-1288000,-1288000,-1288000,-1766000,2666000,0.2048,-0.65806,-0.4147,-0.25322,-0.08699,1.41117,1.91093,0.20343,-0.22349,-0.22349,0.53891,0.88257,-0.15838,-1.29388,-1.26313
"30","2022_Q1",1.77951612903226,"Down",2405000,-2216000,189000,-2545000,-2081000,-464000,-2356000,-1152000,-272000,-880000,-3508000,-2632000,-2631000,-2631000,-2631000,-2631000,3394000,2682000,1240000,1240000,7866000,924000,924000,13424000,675000,292000,292000,967000,14391000,3674000,2235000,1439000,594000,4268000,25999.9999999999,25999.9999999999,3914000,8182000,144953000,-138741000,-3000,6209000,6209000,14391000,-2631000,-2921972.69552358,45000,151000,1090000,-1345000,-132000,-132000,3778000,2301000,2301000,2301000,-2311000,3888000,0.07859,-0.97963,-1.09397,-0.42374,-0.18282,3.14527,1.31776,0.27017,-0.35473,-0.35473,0.32426,0.83713,-0.2599,-0.21376,-0.20968
"31","2022_Q2",1.31774193548387,"Down",2061000,-2087000,-26000,-2630000,-2127000,-503000,-2656000,-165000,-184000,19000,-2821000,-2821000,-2821000,-2821000,-2821000,-2821000,225000,225000,1330000,1330000,7367000,1610000,909000,10532000,631000,1386000,1386000,2017000,12549000,3429000,2230000,1199000,237000,3666000,1181000,1181000,5451000,9117000,144997000,-141562000,-3000,3432000,3432000,12549000,-2821000,-2821000,44000,44000,30000,-2703000,-35000,-35000,281000,-2457000,-2457000,-2457000,-2612000,4270000,-0.01262,-1.28869,-1.36875,-0.82197,-0.2248,2.87289,2.65647,0.34027,-0.53106,-0.53106,0.38799,0.64608,-0.31757,-1.54862,-1.52297
"32","2022_Q3",0.7753125,"Down",1480000,-1371000,109000,-2317000,-1964000,-353000,-2208000,-278000,-260000,-18000.0000000002,-2486000,-2486000,-2486000,-2486000,-2486000,-2486000,938000,938000,1155000,1155000,7168000,1348000,847000,10609000,585000,1316000,1316000,1901000,12510000,2417000,1309000,1108000,180000,2597000,1133000,1133000,5742000,8339000,148221000,-144048000,-2000,4171000,4171000,12510000,-2486000,-2486000,43000,201000,-4e+05,-2642000,-2000,-2000,3357000,713000,713000,713000,-2165000,4609000,0.07365,-1.49189,-1.67973,-0.59602,-0.19872,4.0851,1.99928,0.36843,-0.34692,-0.34692,0.20653,0.58205,-0.25078,-1.69561,-1.66259
