"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2019_Q1",37.2618032786885,"Up",94291000,-55547000,38744000,-27761000,-27761000,10983000,-3867000,-3746000,-166000,7116000,7116000,-2132000,4984000,4984000,4984000,4984000,2617000,2617000,91237000,1.8e+07,1.8e+07,111854000,10589000,216934000,145939000,35339000,35656000,227523000,339377000,29766000,6841000,22925000,63766000,186715000,6273000,886000,192988000,256754000,110662000,-25503000,-2536000,82623000,82623000,339377000,4984000,509000,801000,5822000,12116000,-739000,-739000,-739000,-2721000,-6e+06,54000,54000,0,-6727000,2668000,2668000,2668000,11492000,194715000,18707000,0.4109,0.11648,0.05286,0.06032,0.01469,3.75341,1.75413,3.10754,0.57374,0.25489,0.24911,4.82218,4.22546,0.9567,0.02033,0.06596
"12","2019_Q2",46.9392063492064,"Up",91628000,-51164000,40464000,-28429000,-28429000,12035000,-3701000,-3856000,144000,8334000,8334000,-1774000,6560000,6560000,6560000,6560000,4343000,4343000,90871000,13407000,13407000,108621000,10942000,227979000,145961000,34979000,47039000,238921000,347542000,35489000,15070000,20419000,61489000,180900000,16312000,11048000,197212000,258701000,111285000,-19830000,-2614000,88841000,88841000,347542000,6560000,531000,1056000,5878000,14025000,-886000,-886000,-886000,816000,-1.4e+07,187000,187000,-11999.9999999995,-14705000,136000,136000,136000,12566000,192900000,19332000,0.44161,0.13135,0.07159,0.07384,0.01888,2.94695,1.76651,2.91196,0.55504,0.33539,0.32725,4.68455,4.54207,0.98836,0.02496,0.06486
"13","2019_Q3",37.12359375,"Down",93339000,-52156000,41183000,-21242000,-21242000,19941000,-3607000,-3736000,118000,16334000,16184000,-2979000,13205000,13205000,13205000,13205000,6280000,6280000,94583000,20311000,20311000,121174000,11390000,228731000,147846000,32842000,48043000,240121000,361295000,39910000,19768000,20142000,67910000,173602000,17782000,12737000,191384000,259294000,112563000,-7522000,-3040000,102001000,102001000,361295000,13205000,632000,1620000,-7784000,7673000,-1078000,-1078000,-1078000,-1103000,-5489000,423000,423000,-260000,-6208000,362000,362000,362000,20573000,186602000,14690000,0.44122,0.21364,0.14147,0.12946,0.03655,1.11246,1.78433,2.54207,0.51648,0.67297,0.66874,4.75685,5.19829,0.74865,0.04598,0.04795
"14","2019_Q4",24.47265625,"Down",96800000,-53984000,42816000,-29784000,-29784000,13032000,-3364000,-3641000,265000,9668000,8510000,-2236000,6274000,6274000,6274000,6274000,6998000,6998000,98719000,96844000,96844000,202561000,12905000,238789000,154479000,32488000,49580000,251694000,454255000,29017000,8531000,20486000,43257000,299479000,16180000,13084000,315659000,358916000,100473000,-2145000,-2989000,95339000,95339000,454255000,6274000,692000,3193000,-11844000,-1685000,-1979000,-2096000,-2096000,16933000,119989000,29000.0000000001,29000,-27349000,91785000,107033000,107033000,107033000,13724000,313719000,2137000,0.44231,0.13463,0.06481,0.06581,0.01381,0.34061,4.68273,3.76463,0.69062,0.31913,0.32109,4.92371,4.8494,0.1087,0.01683,0.00503000000000001
"15","2020_Q1",22.8941935483871,"Down",80222000,-67568000,12654000,-30432000,-30432000,-17778000,-1115000,-3202000,2121000,-18893000,-13932000,4126000,-9806000,-9806000,-9806000,-9806000,6906000,6906000,70979000,111365000,111365000,189250000,13816000,243518000,154282000,33469000,55767000,257334000,446584000,40646000,14126000,26520000,55886000,268951000,15162000,13590000,284113000,339999000,125666000,-15308000,-3773000,106585000,106585000,446584000,-9806000,783000,-7673000,34478000,17782000,-749000,-755000,-755000,-745000,-2e+06,99000,99000,-120000,-2906000,14131000,14131000,14131000,-16995000,284191000,12608000,0.15774,-0.22161,-0.12224,-0.092,-0.02196,-1.28574,3.38636,3.18993,0.63637,-0.49861,-0.47102,4.07906,5.41955,0.64108,-0.02198,0.03106
"16","2020_Q2",22.5277777777778,"Down",90689000,-49258000,41431000,-32394000,-32394000,9037000,-3131000,-3309000,91000,5906000.00000001,5906000,-1407000,4499000,4499000,4499000,4499000,4310000,4310000,69195000,118274000,118274000,191779000,13404000,244137000,154282000,33044000,56811000,257541000,449320000,46102000,17348000,28754000,58102000,267977000,17930000,16435000,285907000,344009000,126348000,-13031000,-5379000,105311000,105311000,449320000,4499000,851000,2451000,6926000.00000001,14727000,-877000,-877000,-877000,-877000,-6240000,-2400000,227000,-167999.999999996,-9693999.99999999,4155999.99999997,4155999.99999997,4156000.00000001,9888000,279977000,17344000,0.45685,0.09965,0.04961,0.04272,0.01001,3.85508,3.30073,3.2666,0.62311,0.2285,0.22376,4.60597,5.3486,0.88088,0.01336,0.04301
"17","2020_Q3",28.89515625,"Up",104963000,-57027000,47936000,-30756000,-30756000,17180000,-3157000,-3295000,34000,14023000,14023000,-3728000,10295000,10295000,10295000,10295000,5112000,5112000,75556000,80893000,80893000,161561000,13343000,292314000,154282000,80414000,57618000,305657000,467218000,39954000,14361000,25593000,51954000,284624000,18898000,16476000,303522000,355476000,127125000,-4795000,-5299000,111742000,111742000,467218000,10295000,822000,3248000,-11558000,2807000,-1079000,-1079000,-1079000,-38851000,4485000,-2643000,19000,-26000,830000,-35214000,-35214000,-35214000,18002000,296624000,9093000,0.45669,0.16368,0.09808,0.09213,0.02203,0.88324,3.10969,3.18122,0.63487,0.52774,0.52422,5.38055,5.72805,0.46612,0.0264,0.02128
"18","2020_Q4",37.19453125,"Up",104174000,-55867000,48307000,-32286000,-32286000,16021000,-4724000,-3539000,3000,11297000,11297000,-2277000,9020000,9020000,9020000,9020000,8783000,8783000,73343000,88346000,88346000,170472000,14003000,294756000,154282000,79900000,60574000,308759000,479231000,42967000,10958000,32009000,54967000,283792000,23138000,21263000,306930000,361897000,127953000,290999.999999999,-3245000,117334000,117334000,479231000,9020000,809000,3072000,2764000,15665000,-1461000,-1464000,-1464000,-1423999.99999999,-3e+06,-2319000,57000,-1737000,-8030000,6211000.00000001,6211000.00000001,6211000.00000001,16830000,295792000,20410000,0.46371,0.15379,0.08659,0.07687,0.01882,2.26275,3.10135,3.08433,0.61722,0.46887,0.45485,5.41513,6.09921,1.06094,0.02291,0.04678
"19","2021_Q1",49.13,"Up",105285000,-52969000,52316000,-30127000,-30127000,22189000,-2277000,-3344000,70000,19912000,18923000,-4545000,14378000,14378000,14378000,14378000,9331000,9331000,85856000,26451000,26451000,163403000,15524000,317122000,159621000,79422000,77469000,332646000,496049000,44426000,9201000,35225000,56629000,302112000,19821000,19821000,321933000,378562000,102618000,23645000,-2635000,113437000,117487000,496049000,14378000,755000,4366000,-9020000,10479000,-2715000,-2715000,-2715000,-23671000,-8e+06,-1967000,559000,-1523000,-12446000,-25638000,-25638000,-25638000,22944000,314112000,15754000,0.4969,0.21075,0.13656,0.12238,0.02899,1.0957,2.8855,3.22216,0.63323,0.75046,0.74257,5.49533,5.92082,0.82228,0.03397,0.0349
"20","2021_Q2",45.6239682539683,"Down",107641000,-54380000,53261000,-28912000,-28912000,24349000,-4461000,-4486000,25000,19888000,14182000,-2654000,11528000,11528000,11783000,11783000,6606000,6606000,98351000,24866000,24866000,297184000,15648000,314473000,159808000,78945000,75720000,330121000,627305000,56011000,24166000,31845000,61216000,424802000,16305000,15570000,441107000,502323000,103075000,34357000,-480000,121028000,124982000,627305000,11528000,788000,8828000,3097000,24241000,-840000,-840000,-840000,-15760000,1.2e+08,-5308000,425000,-11653000,102081000,110562000,110562000,110663000,25137000,429802000,30048000,0.4948,0.22621,0.10947,0.09428,0.01878,2.55011,4.85468,4.01916,0.68516,0.61711,0.51987,5.63744,6.33855,1.57369,0.02231,0.05262
"21","2021_Q3",47.35671875,"Up",122643000,-62670000,59973000,-35094000,-35094000,24879000,-5412000,-5522000,110000,19467000,19467000,-4424000,15043000,15043000,15355000,15355000,5814000,5814000,99010000,25809000,25809000,288107000,16291000,325001000,162768000,78468000,83765000,341292000,629399000,48654000,11159000,37495000,61243000,417935000,15953000,14788000,433888000,495131000,105656000,48647000,279000,130305000,134268000,629399000,15042000,758000,4318000,-6944000,13174000,-1328000,-1330000,-1330000,-18631000,0,-7892000,461000,-952000,-9892000,-15349000,-15349000,-15135000,25637000,430420000,21789000,0.489,0.20286,0.1252,0.11436,0.0244,1.41902,4.70433,3.68763,0.68386,0.80418,0.67747,6.42313,6.82441,1.14115,0.02825,0.03753
"22","2021_Q4",40.14234375,"Down",109904000,-55635000,54269000,-31894000,-31894000,22375000,-5240000,-5397000,157000,17135000,17510000,-4073000,13437000,13437000,13468000,13468000,8507000,8507000,98605000,27113000,27113000,264776000,17596000,341349000,162415000,87962000,90972000,358945000,623721000,46500000,13151000,33349000,54056000,413553000,15855000,14201000,429408000,483464000,107466000,61052000,-123000,137723000,140257000,623721000,13437000,2198000,1428000,-4913000,12150000,-2221000,-2194614.77207961,-2194614.77207961,-17854000,-9625000.00000001,-5210000,1185000,0,-15885000,-21589000,-21589000,-21904000,24573000,421038000,21512000,0.49379,0.20359,0.12254,0.09602,0.02159,1.59727,4.89818,3.44699,0.67504,0.70927,0.59952,5.78794,7.25299,1.1329,0.02515,0.03727
"23","2022_Q1",33.6006451612903,"Down",105283000,-54952000,50331000,-31613000,-31613000,18718000,-12060000,-5095000,-6965000,6658000,14143000,-2889000,11254000,11254000,11453000,11453000,6496000,6496000,87607000,26746000,26746000,249169000,18650000,333741000,162333000,87485000,82560000,352391000,601560000,40298000,7361000,32937000,40336000,414172000,13336000,13336000,427508000,467844000,109008000,71460000,-195000,131404000,133716000,601560000,11255000,-639000,416000,7620000,18652000,-1713000,-2604827.58223248,-2604827.58223248,-6594000,0,-18197000,0,0,-19237000,-7179000,-7179000,-6988000,18079000,414172000,26875000,0.47805,0.17779,0.10878,0.08565,0.01904,2.34655,6.17734,3.49879,0.6885,0.61487,0.51904,5.6523,7.05465,1.44283,0.02226,0.04789
"24","2022_Q2",29.0990322580645,"Down",100894000,-49100000,51794000,-32565000,-32565000,19229000,-5118000,-5196000,78000,14111000,14111000,-3340000,10771000,10771000,10998000,10998000,9450000,9450000,105858000,25663000,25663000,267016000,20567000,331120000,162323000,87022000,80021000,351687000,618703000,59385000,29464000,29921000,59423000,414791000,12625000,12625000,427416000,486839000,109271000,81327000,-1326000,129781000,131864000,618703000,10771000,871000,2215000,-816999.999999998,13040000,-2786000,-2786000,-2786000,-11254000,-101124291.139723,-10377000,245000,-1141000,-12540000,-10754000,-10754000,-10757000,20100000,414791000,19837000,0.51335,0.19059,0.10901,0.0834,0.01778,1.80369,4.49348,3.69198,0.67042,0.5879,0.49643,5.3933,6.93746,1.06039,0.02149,0.03547
"25","2022_Q3",24.6621875,"Down",102925000,-51456000,51469000,-33323000,-33323000,18146000,-11371000,-5144000,-6227000,6775000,6775000,-1569000,5206000,5206000,5424000,5424000,9177000,9177000,115129000,27353000,27353000,259088000,22376000,322845000,162385000,86566000,71783000,345221000,604309000,48996000,14436000,34560000,49034000,415410000,11934000,11934000,427344000,476378000,110761000,85641000,-2064000,126051000,127931000,604309000,5206000,879000,8754000,-20730000,-5891000,-2845000,-2908000,-2908000,-4455000,-404122873.419169,-8566000,230000,-242000,-9967000,-20313000,-20313000,-20254000,19025000,415410000,-2981000,0.50006,0.1763,0.0527,0.0424,0.00898,-0.54959,5.28384,3.72371,0.68741,0.30028,0.25295,5.69803,6.97831,-0.16503,0.01186,-0.00537
