"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",114.372698412698,"Down",320766000,-179665000,141101000,-196266000,-107988000,-88278000,-55165000,398000,-863000,1261000,-54767000,-54767000,155000,-54612000,-54612000,-54612000,-54612000,588294000,588294000,295361000,295361000,43978000,40971000,39432000,968604000,148064000,425041000,72913000,73058000,279070000,573105000,1541709000,328873000,328873000,38457000,38457000,372080000,331090000,14795000,316295000,493716000,865796000,1045395000,-369511000,675913000,675913000,1541709000,-54612000,8448000,49515000,42590000,45941000,-45317000,-44259000,2743000,2743000,70818000,72500000,72500000,72500000,-46717000,167376000,-49599000,0.43989,-0.17198,-0.17025,-0.0808,-0.03542,0.90821,2.60321,1.28093,0.10857,-0.45442,-0.45442,2.66905,5.62417,-0.41271,-0.0465,-0.04223,9.00995,7.63016
"12","2020_Q3",158.11859375,"Up",356073000,-209237000,146836000,-189045000,-104658000,-84387000,-42209000,-477000,-1034000,557000,-42686000,-42686000,-462000,-43148000,-43148000,-43148000,-43148000,885825000,885825000,306719000,306719000,45001000,38741000,37202000,1276286000,152747000,417389000,69292000,73058000,275039000,570136000,1846422000,363816000,363816000,43940000,43940000,412626000,325938000,17243000,308695000,418243000,830869000,1428183000,-412659000,1015553000,1015553000,1846422000,-43148000,8800000,42861000,25642000,34155000,-18792000,-18792000,3134000,3134000,282168000,297531000,297531000,297531000,-33409000,97175000,-26097000,0.41238,-0.11854,-0.12118,-0.04249,-0.02337,0.60483,3.09308,0.81814,0.05263,-0.3519,-0.3519,2.90402,8.28252,-0.21284,-0.02999,-0.01814,23.60591,18.6844
"13","2020_Q4",262.32484375,"Up",451663000,-236839000,214824000,-202854000,-114466000,-88388000,11970000,429000,-773000,1202000,12399000,12399000,548000,12947000,12947000,12947000,12947000,1047478000,1047478000,391277000,391277000,62609000,31731000,30985000,1533095000,158634000,412281000,65737000,73058000,273486000,570915000,2104010000,412798000,412798000,48004000,48004000,465674000,330874000,18134000,312740000,421961000,887635000,1616058000,-399712000,1216375000,1216375000,2104010000,12947000,9319000,45967000,-47182000,21051000,-11903000,-11903000,5329000,5329000,151712000,160860000,160860000,160860000,21289000,95959000,-38344000,0.47563,0.0265,0.02867,0.01064,0.00615,-2.96161,3.29221,0.72974,0.04561,0.10299,0.10299,3.5927,9.6755,-0.305,0.00788,-0.02333,-44.69534,-79.49198
"14","2021_Q1",391.946721311475,"Up",3458528000,-1092562000,2365966000,-240307000,-145576000,-94731000,2125659000,8315000,6102000,2213000,2133974000,2133974000,704000,2134678000,2134678000,2134678000,2134678000,1092815000,1092815000,523852000,523852000,53895000,27078000,27078000,1697640000,155197000,417705000,62181000,73058000,282466000,572902000,2270542000,459982000,347668000,55465000,55465000,520321000,332338000,21283000,311055000,422206000,942527000,1660392000,-332406000,1328015000,1328015000,2270542000,67306000,32031000,28801000,-81093000,47045000,-6370000,-6370000,5599999.99999997,5599999.99999997,4349999.99999994,45025000,45025000,45025000,70586529.9214797,94742000,17915608.2804834,0.535020102929584,0.111665999685078,0.112792710999762,0.0308306746518927,0.0202857376476831,-1.93292494945129,3.26268,0.70973,0.04173,0.449383142600311,0.427095119898959,4.34947626327322,10.4239,0.133149377549269,0.0252638057608357,0.000328231898109835,-52.9193381387095,-78.4257826439275
"15","2021_Q2",353.723015873016,"Down",574183000,-247412000,326771000,-250965000,-149384000,-101581000,75806000,-301000,-742000,441000,75505000,75505000,791000,76296000,76296000,76296000,76296000,2077514000,2077514000,496173000,496173000,41246000,134458000,134375000,2749391000,155001000,582753000,79255000,125684000,377814000,737754000,3487145000,573870000,477402000,48121000,48121000,628116000,330319000,22618000,307701000,417717000,1045833000,2697393000,-256110000,2441312000,2441312000,3487145000,76296000,9605000,56790000,-46892000,95799000,-3717000,-106521000,996320000,996320000,995070000,984348000,984348000,984348000,85411000,93523000,34011000,0.56911,0.13202,0.13288,0.03125,0.02188,0.445780000000001,4.3772,0.42839,0.02682,0.58837,0.5437,4.4279,18.82653,0.26228,0.02663,0.01187,-23.22875,-26.17195
"16","2021_Q3",376.8284375,"Up",645119000,-306853000,338266000,-269182000,-155906000,-113276000,69084000.0000002,774000,-745999.999999999,1520000,69858000,69858000,3609000,73467000,73467000,73467000,73467000,2083273000,2083273000,587481000,587481000,47996000,80482000,80482000,2799232000,160544000,678782000,97218000,146784000,434780000,839326000,3638558000,555736000,423253000,48235000,48235000,611348000,381254000,23149000,358105000,466182000,1077530000,2743642000,-182643000,2561028000,2561028000,3638558000,73467000,10807000,67258000,-102571000,48961000,-10181000,-44155000,3579999.99999988,3579999.99999988,2329999.99999988,7136000.00000024,7136000.00000024,7135999.99999976,79891000,92305000,-36470000,0.52435,0.10709,0.11388,0.02869,0.02019,-0.49641,4.57879,0.42074,0.02537,0.56655,0.52354,4.97493,19.74974,-0.28124,0.02421,-0.01202,-24.92105,-28.81952
"17","2021_Q4",269.73015625,"Down",1359906000,-995987000,363919000,-295073000,-174766000,-120307000,68846000,-243000,-743000,5e+05,68603000,68603000,332000,68935000,68935000,68935000,68935000,2179745000,2179745000,595911000,595911000,75945000,110180000,110180000,2961781000,170606000,779916000,92534000,146784000,540598000,950522000,3912303000,613875000,482057000,45559000,45559000,668064000,478151000,23420000,454731000,560608000,1228672000,2797310000,-113708000,2683631000,2683631000,3912303000,68935000,67472000,29241000,-56900000,108748000,-14122000,-14122000,3148000,3148000,1898000,96524000,96524000,96524000,136318000,91087000,64964000,0.26761,0.05063,0.05069,0.02569,0.01762,0.9424,4.43338,0.45784,0.02328,0.51565,0.48448,10.17247,20.07429,0.48595,0.02119,0.01997,-15.32195,-30.33812
"18","2022_Q1",146.745806451613,"Down",4268130000,-1252146000,3015984000,-358280000,-231842000,-126438000,2657704000,7217000,5211000,2006000,2664921000,2664921000,1066000,2665987000,2665987000,2665987000,2665987000,2146043000,2146043000,752393000,752393000,50276000,105795000,105795000,3054507000,177567000,850071000,84126000,161519000,604426000,1027638000,4082145000,673976000,549055000,45760000,45760000,729619000,505935000,28726000,477209000,585920000,1315539000,2856586000,-90021000,2766606000,2766606000,4082145000,23687000,50307000,64262000,-163683000,-25427000,-12021000,-12021000,-984516000,-984516000,3849000,-33599000,-33599000,-33599000,96417022.5106738,89868000,90385000.3084782,0.310739126329713,0.0148186669799801,0.0106102405719601,0.0132321231614042,0.00885162384413869,1.40211242526663,4.18644,0.47551,0.02201,0.265834144047965,0.257812317898543,9.37028367595437,20.6915451976933,0.673424614805364,0.0106255939896525,0.027447454208522,99.9814614462861,36.807722954685
"19","2022_Q2",96.8875806451613,"Down",733699000,-368892000,364807000,-388297000,-224299000,-163998000,-23490000,-648000,-1057000,409000,-24138000,-24138000,-2168000,-26306000,-26306000,-26306000,-26306000,2235092000,2235092000,675705000,675705000,72863000,119127000,119127000,3102787000,186308000,937153000,79659000,161519000,695975000,1123461000,4226248000,712398000,574848000,54408000,54408000,855454000,557629000,25647000,531982000,557629000,1413083000,2929533000,-116327000,2813165000,2813165000,4226248000,-26306000,11486000,125924000,-9306000,101798000,-14764000,-14764000,3352000,3352000,2102000,89136000,89136000,89054000,-12004000,88648000,-33906000.0000001,0.49722,-0.03202,-0.03585,-0.00935,-0.00622,1.28891,3.62706,0.50231,0.02098,-0.19528,-0.18542,5.44647,20.88296,-0.25169,-0.0076,-0.0098,178.81073,91.37693
"20","2022_Q3",76.1184375,"Down",764406000,-409257000,355149000,-465662000,-269025000,-196637000,-110513000,770000,-1059000,1829000,-109743000,-109743000,-2578000,-112321000,-112321000,-112321000,-112321000,2050412000,2050412000,714606000,714606000,76077000,121720000,121720000,2962815000,217558000,1133161000,75193000,161519000,896449000,1350719000,4313534000,689045000,575277000,50641000,50641000,824614000,693028000,27452000,665576000,693028000,1517642000,3024911000,-228648000,2795892000,2795892000,4313534000,-112321000,11416000,156544000,-167384000,-111745000,-37445000,-77445000,8341000,8341000,4591000,-184599000,-184599000,-184584000,-99097000,84928000,-301348000,0.46461,-0.14457,-0.14694,-0.04017,-0.02604,2.68292,3.59297,0.54281,0.01969,-0.82077,-0.82077,5.58576,20.43049,-2.20205,-0.03143,-0.08432,19.83394,17.78509
