"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",6.42765625,"Up",107880000,-66020000,41860000,-19842000,-19842000,22018000,-251000,-251000,21767000,21767000,-198000,21569000,21569000,21569000,21569000,1902000,1902000,117385000,117385000,15034000,5689000,1338000,140010000,102246000,11518000,970000,113764000,253774000,33886000,13035000,20851000,105886000,30856000,7161000,23695000,30856000,136742000,100285000,16747000,117032000,117032000,253774000,21569000,4164000,591000,-92277000,-65953000,-1843000,-1812000,6.7e+07,581000,2577000,-1996000,67508000,-257000,-257000,-257000,26182000,0,-67740000,0.38802,0.2041,0.19994,0.1843,0.08499,-3.14062,1.32227,1.16842,0,0.15969,0.15602,0.79873,0.86649,-0.50154,0.14585,-0.45805,-0.07265,-0.08638
"12","2013_Q3",5.81953125,"Down",98550000,-61629000,36921000,-23392000,-23392000,13529000,-210000,-210000,13319000,13319000,-95000.0000000001,13224000,13224000,13224000,13224000,15583000,15583000,50959000,50959000,14963000,6373000,1706000,87878000,100955000,11741000,1195000,112696000,200574000,42546000,15020000,27526000,42546000,27222000,7073000,20149000,27222000,69768000,100835000,29971000,130806000,130806000,200574000,13224000,4177000,743000,70949000,89093000,-3093000,-3061000,-7.2e+07,-351000,806000,-1157000,-72351000,13681000,13681000,13681000,17706000,0,85657000,0.37464,0.13728,0.13419,0.1011,0.06593,6.47739,2.06548,0.53337,0,0.09716,0.09504,0.72409,0.96109,0.62936,0.08368,0.54204,-0.8801,-1.15182
"13","2013_Q4",8.184375,"Up",72250000,-72098000,152000,-15375000,-15375000,-15223000,-70000,-70000,-15293000,-15293000,-5000,-15298000,-15298000,-15298000,-15298000,19583000,19583000,24024000,24024000,11177000,6621000,1741000,61405000,100425000,11625000,1081000,112050000,173455000,38724000,6673000,32051000,38724000,40920000,4444000,36476000,40920000,79644000,104138000,14673000,93811000,93811000,173455000,-15298000,4103000,-3861000,45581000,30525000,-3859000,-3844000,0,-25248000,44000,-25292000,-22681000,4e+06,4e+06,4e+06,-11120000,0,30607000,0.0021,-0.2107,-0.21174,-0.16307,-0.0882,-2.00072,1.58571,0.84898,0,-0.11407,-0.11191,0.53875,0.69953,0.22823,-0.11354,0.22717,1.76106,1.28641
"14","2014_Q1",8.95,"Up",63831000,-44146000,19685000,-15358000,-15358000,4327000,-71000,-71000,4256000,4256000,10847000,15103000,15103000,15103000,15103000,3772000,3772000,37338000,37338000,22428000,12642000,3145000,76180000,100783000,11194000,652000,111977000,188157000,47186000,14891000,32295000,47186000,34355000,360000,33995000,34355000,81541000,101840000,29776000,106616000,106616000,188157000,15103000,3811000,-7576000,-19795000,-8457000.00000001,-4089000,-3980000,0,-2227000,605000,-2832000,-3374000,-15811000,-15811000,-15811000,8138000,0,-26593000,0.30839,0.06779,0.23661,0.14166,0.0802700000000001,-1.76078,1.61446,0.76481,0,0.11428,0.11246,0.48297,0.8067,-0.20121,0.10714,-0.18864,-0.4635,-0.87174
"15","2014_Q2",8.47507936507936,"Down",100645000,-62478000,38167000,-18222000,-18222000,19945000,-323000,-323000,19622000,19622000,-7327000,12295000,12295000,12295000,12295000,3729000,3729000,116470000,116470000,30213000,12114000,2969000,162526000,100278000,11191000,652000,111469000,273995000,36477000,10999000,25478000,116477000,32296000,360000,31936000,32296000,148773000,108151000,42071000,125222000,125222000,273995000,12295000,3797000,-5022000,-93095000,-82025000,-3151000,-3176000,8e+07,-1349000,84000,-1433000,85158000,-43000,-43000,-43000,23742000,0,-65177000,0.37922,0.19817,0.12216,0.09819,0.04487,-5.3011,1.39535,1.18807,0,0.09278,0.09148,0.7595,0.94497,-0.49185,0.07805,-0.41377,-0.15706,-0.18696
"16","2014_Q3",8.38328125,"Down",121311000,-76286000,45025000,-20344000,-20344000,24681000,-3e+05,-3e+05,24381000,24381000,-9220000,15161000,15161000,15161000,15161000,5572000,5572000,60093000,60093000,21055000,15368000,5871000,102088000,98257000,11435000,897000,109692000,211780000,48643000,19474000,29169000,83643000,31399000,360000,31039000,31399000,115042000,114506000,57232000,96738000,96738000,211780000,15161000,3863000,-5349000,79808000,93483000,-1728000,-1708000,-4.5e+07,-50958000,501000,-51459000,-89932000,1843000,1843000,1843000,28544000,-3.63797880709171e-12,115844000,0.37115,0.20345,0.12498,0.15672,0.07159,7.64092,1.22052,1.18921,-1.35525271560688e-20,0.11522,0.1138,0.9219,0.73516,0.88035,0.11832,0.90406,-0.19521,-0.22576
"17","2014_Q4",9.95796875,"Up",95502000,-65133000,30369000,-15902000,-15902000,14467000,-168000,-168000,14299000,14299000,-5387000,8912000,8912000,8912000,8912000,3841000,3841000,44977000,44977000,14639000,12776000,3279000,76233000,98199000,11433000,897000,109632000,185865000,45639000,12864000,32775000,48639000,30111000,360000,29751000,30111000,78750000,115971000,66144000,107115000,107115000,185865000,8912000,3789000,1290000,19876000,33867000,-3867000,-3847000,-3.2e+07,105000,105000,0,-31751000,-1731000,-1731000,-1731000,18256000,0,39652000,0.31799,0.15148,0.09332,0.0832,0.04795,4.44928,1.56732,0.73519,0,0.07053,0.06964,0.75577,0.84768,0.31379,0.06494,0.28895,-0.2104,-0.2655
"18","2015_Q1",11.5377049180328,"Up",74202000,-47567000,26635000,-17902000,-17902000,8733000,-87000,-87000,8646000,8646000,-3493000,5153000,5153000,5153000,5153000,9544000,9544000,36391000,36391000,23747000,15559000,6288000,85241000,98716000,11867000,1333000,110583000,195824000,49454000,20050000,29404000,49454000,32985000,3708000,29277000,32985000,82439000,117088000,71297000,113385000,113385000,195824000,5153000,3755000,4477000,-68000,13317000,-4162000,-4142000,-3e+06,-240000,56999.9999999999,-297000.000000007,-3472000,5703000,5703000,5703000,12488000,-2.27373675443232e-13,11751000,0.35895,0.11769,0.06945,0.04545,0.02631,2.28042,1.72364,0.72707,0,0.04069,0.04013,0.58589,0.89527,0.09278,0.03521,0.0802800000000001,-0.76425,-1.09287
"19","2015_Q2",12.8185714285714,"Up",120800000,-72553000,48247000,-20593000,-20593000,27654000,-137000,-137000,27517000,27517000,-9964000,17553000,17553000,17553000,17553000,2556000,2556000,136993000,136993000,22920000,11408000,2137000,173877000,104163000,11843000,1311000,116006000,289883000,42474000,12785000,29689000,126474000,31870000,3708000,28162000,31870000,158344000,117689000,88850000,131539000,131539000,289883000,17553000,3636000,419000,-102652000,-81044000,-9060000,-9091000,8.4e+07,-1888000,127000,-2015000,83147000,-6988000,-6988000,-6988000,31290000,0,-70458000,0.3994,0.22892,0.14531,0.13344,0.06055,-4.01401,1.3748,1.20378,0,0.1385,0.13673,0.95317,1.03791,-0.55595,0.10742,-0.43118,-0.08169,-0.09243
"20","2015_Q3",10.273125,"Down",136779000,-84255000,52524000,-22471000,-22471000,30053000,-188000,-188000,29865000,29865000,-11150000,18715000,18715000,18715000,18715000,4149000,4149000,124465000,124465000,18626000,11905000,2045000,159145000,105530000,12089000,1559000,117619000,276764000,56596000,19946000,36650000,94096000,31178000,3708000,27470000,31178000,125274000,118925000,107565000,151490000,151490000,276764000,18715000,3686000,-335000,31078000,53144000,-5025000,-5025000,-46500000,-761999.999999998,70000,-832000,-46526000,1593000,1593000,1593000,33739000,0,70942000,0.38401,0.21972,0.13683,0.12354,0.06762,3.79065,1.6913,0.82695,5.29395592033938e-23,0.14743,0.14556,1.07749,1.19338,0.55885,0.10245,0.38837,-0.12297,-0.13806
"21","2015_Q4",10.0225,"Down",94023000,-71880000,22143000,-15699000,-15699000,6444000,-157000,-157000,6287000,6287000,-2543000,3744000,3744000,3744000,3744000,2532000,2532000,80396000,80396000,16955000,14739000,4879000,114622000,105944000,12065000,1537000,118009000,232631000,40438000,10146000,30292000,88938000,35693000,3708000,31985000,35693000,124631000,116919000,111309000,1.08e+08,1.08e+08,232631000,3744000,3598000,810000,31899000,40051000,-4159000,-4160000,1.1e+07,-49174000,60000,-49234000,-37508000,-1617000,-1617000,-1617000,10042000,0,40325000,0.23551,0.06854,0.03982,0.03467,0.01609,10.77057,1.28879,1.15399,0,0.02998,0.02968,0.75285,0.86477,0.32289,0.02606,0.28063,-0.25214,-0.39292
"22","2016_Q1",9.73934426229508,"Down",89202000,-57247000,31955000,-18700000,-18700000,13255000,-137000,-137000,13118000,13118000,-5032000,8086000,8086000,8086000,8086000,5995000,5995000,47386000,47386000,23104000,22545000,13409000,99030000,100924000,12044000,1518000,112968000,211998000,53449000,17733000,35716000,60449000,35086000,4597000,30489000,35086000,95535000,117295000,119395000,116463000,116463000,211998000,8086000,3464000,2222000,36711000,50483000,-5054000,-5053000,-41500000,-1174000,58000,-1232000.00000001,-41967000,3463000,3463000,3463000,16719000,-1.77635683940025e-15,53408000,0.35823,0.1486,0.09065,0.06943,0.03814,6.605,1.63824,0.8203,0,0.06572,0.06529,0.72497,0.94653,0.43406,0.05336,0.35241,-0.35857,-0.45228
"23","2016_Q2",11.28296875,"Up",131676000,-74049000,57627000,-20612000,-20612000,37015000,-572000,-572000,36443000,36443000,-12737000,23706000,23706000,23706000,23706000,3804000,3804000,156325000,156325000,25660000,14842000,5706000,200631000,99756000,12308000,1784000,112064000,312695000,49669000,17067000,32602000,191169000,33978000,4597000,29381000,33978000,225147000,118264000,142797000,87548000,87548000,312695000,23706000,3829000,1171000,-112826000,-84120000,1810000,1810000,134500000,-53896000,72000,-53968000,80119000,-2191000,-2191000,-2191000,40844000,0,-57435000,0.43764,0.28111,0.18003,0.27078,0.07581,-2.4228,1.0495,2.5717,0,0.19956,0.19847,1.10847,0.73699,-0.4835,0.19507,-0.47261,-0.09313,-0.10277
"24","2016_Q3",13.945,"Up",146450000,-85040000,61410000,-24795000,-24795000,36615000,-458000,-458000,36157000,36157000,-12433000,23724000,23724000,23724000,23724000,2553000,2553000,95654000,95654000,18756000,13333000,4197000,130296000,98943000,12560000,2037000,111503000,241799000,53863000,17573000,36290000,96863000,32664000,4597000,28067000,32664000,129527000,119709000,166076000,112272000,112272000,241799000,23724000,3588000,1285000,71965000.0000001,100562000,-2643000,-2643000,-98500000,-670000,65000,-735000,-99170000,-1251000,-1251000,-1251000,40203000,0,121958000,0.41932,0.25002,0.16199,0.21131,0.09811,5.1407,1.34516,1.15369,0,0.20267,0.20157,1.2511,0.95912,1.04186,0.16369,0.84146,-0.0635,-0.06973
"25","2016_Q4",15.6193650793651,"Up",106168000,-76223000,29945000,-19379000,-19379000,10566000,-78000,-78000,10488000,10488000,-2701000,7787000,7787000,7787000,7787000,22937000,22937000,45806000,45806000,16507000,14037000,4901000,99287000,98836000,12528000,2005000,111364000,210651000,48928000,10974000,37954000,48928000,41204000,4597000,36607000,41204000,90132000,121059000,172973000,120519000,120519000,210651000,7787000,3476000,876000,54998000,67137000,-3352000,-3352000,-4.3e+07,-401000,81000,-482000,-43401000,20384000,20384000,20384000,14042000,0,68389000,0.28205,0.09952,0.07335,0.06461,0.03697,8.78246,2.02925,0.74787,0,0.06645,0.06572,0.90594,1.0284,0.58357,0.04815,0.42288,-1.63346,-2.17083
"26","2017_Q1",17.2346774193548,"Up",95322000,-57209000,38113000,-18354000,-18354000,19759000,-17000,-17000,19742000,19742000,-7112000,12630000,12630000,12630000,12630000,18664000,18664000,48039000,48039000,28546000,10400000,10400000,105649000,103286000,12495000,1972000,115781000,221430000,51385000,10767000,40618000,51385000,35884000,894000,34990000,35884000,87269000,120431000,187242000,134161000,134161000,221430000,12630000,3605000,6420000,-20941000,1714000,-6017000,-6017000,0,30000,61000,-30999.9999999981,29999.9999999851,-4273000,-4273000,-4273000,23364000,0,3518000,0.39983,0.20729,0.1325,0.09414,0.05704,0.27854,2.05603,0.65048,0,0.1077,0.10688,0.81282,1.144,0.0299999999999999,0.07427,0.02069,-0.79884,-0.94458
"27","2017_Q2",16.877619047619,"Down",144806000,-79637000,65169000,-23269000,-23269000,41900000,-204000,-204000,41696000,41696000,-13747000,27949000,27949000,27949000,27949000,1767000,1767000,171288000,171288000,30109000,4071000,4071000,207235000,103608000,12463000,1940000,116071000,323306000,50676000,13643000,37033000,127676000,34696000,894000,33802000,34696000,162372000,119255000,215191000,160934000,160934000,323306000,27949000,3764000,2223000,-120380000,-86444000,-4312000,-4312000,7.7e+07,-3141000,103000,-3244000,73859000,-16897000,-16897000,-16897000,45664000,0,-65281000,0.45004,0.28935,0.19301,0.17367,0.08645,-2.33572,1.62313,1.00894,0,0.23796,0.23636,1.23289,1.3702,-0.55581,0.14287,-0.3337,-0.0387,-0.04217
"28","2017_Q3",19.0590476190476,"Up",157941000,-85926000,72015000,-27221000,-27221000,44794000,-252000,-252000,44542000,44542000,-15759000,28783000,28783000,28783000,28783000,8576000,8576000,129881000,129881000,26941000,2675000,2675000,168073000,101620000,12836000,2313000,114456000,282529000,57333000,15137000,42196000,57333000,34509000,894000,33615000,34509000,91842000,120225000,243974000,190687000,190687000,282529000,28783000,3749000,1591000,52440000,86563000,-2813000,-2813000,-7.7e+07,59000.0000000009,86000,-27000.0000000009,-76941000,6809000,6809000,6809000,48543000,-5.55111512312578e-17,113929000,0.45596,0.28361,0.18224,0.15094,0.10188,3.9582,2.93152,0.48164,5.16987882845642e-26,0.24484,0.24351,1.34351,1.62206,0.96913,0.12781,0.50591,-0.17667,-0.19145
"29","2017_Q4",25.454126984127,"Up",140194000,-84910000,55284000,-24919000,-24919000,30365000,-59000,-59000,30306000,30306000,-10209000,20097000,20097000,20097000,20097000,25541000,25541000,70802000,70802000,26029000,10511000,3912000,132883000,102788000,75525000,2981000,178313000,311196000,64012000,15960000,48052000,66318000,33303000,894000,32409000,33303000,99621000,121016000,264071000,211575000,211575000,311196000,20097000,4552000,1414000,66655000,92718000,-3983000,-75506000,0,-247000,99000,-346000,-247000,16965000,16965000,16965000,34917000,0,107798000,0.39434,0.21659,0.14335,0.09499,0.06458,5.36389,2.00372,0.47085,0,0.17087,0.16986,1.19195,1.79884,0.91651,0.08207,0.44021,-0.73148,-0.84113
"30","2018_Q1",27.5373770491803,"Up",122212000,-71307000,50905000,-25584000,-25584000,25321000,54000,54000,25375000,25375000,-7076000,18299000,18299000,18299000,18299000,30514000,30514000,66882000,66882000,34524000,16878000,16878000,148798000,103110000,74319000,3e+06,177429000,326227000,62509000,9953000,52556000,62509000,32468000,1286000,31182000,32468000,94977000,122392000,282370000,231250000,231250000,326227000,18299000,4795000,1485000,-15551000,9028000,-3877000,-4158000,-7.45058059692383e-09,102999.999999999,103000,-4.65661287307739e-10,102999.999999985,4973000,4973000,4973000,30116000,0,17764000,0.41653,0.20719,0.14973,0.07913,0.05609,0.97076,2.38043,0.41071,8.27180612553028e-25,0.15553,0.15449,1.03876,1.96554,0.15099,0.06939,0.06736,-1.01322,-1.20509
"31","2018_Q2",28.9759375,"Up",171207000,-94494000,76713000,-28959000,-28959000,47754000,-229000,-229000,47525000,47525000,-10415000,37110000,37110000,37110000,37110000,2699000,2699000,206525000,206525000,42453000,15610000,15610000,267287000,105035000,73062000,2968000,178097000,445384000,67045000,23723000,43322000,151545000,31981000,1286000,30695000,31981000,183526000,121101000,319480000,261858000,261858000,445384000,37110000,4765000,2273000,-142256000,-98108000,-5411000,-5411000,84500000,-8796000,197000,-8993000,75704000,-27815000,-27815000,-27815000,52519000,0,-84733000,0.44807,0.27893,0.21676,0.14172,0.08332,-2.28329,1.76375,0.70086,0,0.31527,0.31343,1.45448,2.2246,-0.71984,0.12629,-0.28837,-0.05139,-0.05652
"32","2018_Q3",38.4663492063492,"Up",206692000,-115577000,91115000,-33513000,-33513000,57602000,-369000,-369000,57233000,57233000,-14413000,42820000,42820000,42820000,42820000,2900999.99999999,2900999.99999999,171131000,171131000,36188000,18136000,18136000,228356000,107652000,78437000,3316000,186089000,414445000,77208000,24817000,52391000,85708000,30738000,1286000,29452000,30738000,116446000,122241000,362299000,297999000,297999000,414445000,42820000,4598000,937000,48079000,96434000,-12203000,-12203000,-7.6e+07,-8029000,208000,-8237000,-84029000,202000,202000,202000,62200000,7.105427357601e-15,112489000,0.44082,0.27869,0.20717,0.14369,0.10332,2.62702,2.66435,0.39076,-1.32348898008484e-23,0.36436,0.36257,1.75877,2.53572,0.95719,0.13026,0.34219,-0.04664,-0.0503600000000001
