"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.6925,"Up",111814000,-69975000,41839000,-34120000,-17654000,-14253000,-2213000,7719000,-203000,-203000,7516000,7516000,-690000,6826000,6826000,6826000,6826000,182271000,169728000,12543000,96738000,96738000,79522000,30887000,8338000,389418000,37139000,124972000,59885000,13956000,7417000,162111000,551529000,63492000,42521000,4430000,16541000,18887000,3519000,15368000,82379000,64348000,20967000,43381000,64348000,146727000,225744000,152174000,26884000,404802000,404802000,551529000,6826000,5286000,6440000,-18091000,461000,-1417000,-1417000,-1417000,11675000,-973000,11128000,23264000,23264000,-1e+05,23164000,13005000,0,-5813000,0.37418,0.06903,0.06105,0.01686,0.01238,-0.8516,4.72715,0.36247,0,0.17604,0.17238,2.88366,10.43977,-0.14992,0.01455,-0.01239,-14.01546,-23.61329
"12","2013_Q3",19.4946875,"Up",139711000,-86452000,53259000,-40625000,-22910000,-15740000,-1975000,12634000,-330000,-330000,12304000,-11902000,2120000,-9782000,-9782000,-9782000,-9782000,99127000,87062000,12065000,132608000,132608000,102182000,39959000,14389000,373876000,40773000,200205000,144658000,13941000,7635000,240978000,614854000,93223000,66402000,2883000,23938000,44043000,5454000,38589000,137266000,76086000,16954000,59132000,76086000,213352000,232913000,142394000,26195000,401502000,401502000,614854000,-9782000,5306000,27399000,-33396000,-10473000,-2408000,-2408000,-2408000,-79154000,243000,6634000,-82993000,-82993000,327000,-82666000,17940000,0,-19984000,0.38121,0.09043,-0.07002,-0.02436,-0.01591,2.04294,2.72373,0.53138,-2.16840434497101e-19,-0.24794,-0.24364,3.5412,10.17672,-0.50653,-0.02048,-0.04184,-5.52547,-7.84605
"13","2013_Q4",21.215625,"Up",142899000,-86688000,56211000,-37869000,-22138000,-15105000,-626000,18342000,164000,164000,18506000,-1378000,2065000,687000,687000,687000,687000,104726000,92449000,12277000,130311000,130311000,123152000,42622000,13908000,400811000,36348000,190520000,148432000,13953000,7641000,226868000,627679000,93003000,67563000,2017000,23423000,37231000,3849000,33382000,130234000,82604000,18095000,64509000,82604000,212838000,240197000,143079000,31565000,414841000,414841000,627679000,687000,3895000,19969000,-19185000,5366000,-2764000,-2764000,-2764000,-1128000,57000,675000,4913000,4913000,474000,5387000,22237000,0,-1777000,0.39336,0.12836,0.00481,0.00166,0.00109,-2.58661,3.07762,0.51306,0,0.01723,0.01688,3.58439,10.40562,-0.04457,0.00138,-0.00357,-4.70954,-5.70963
"14","2014_Q1",25.8373770491803,"Up",-95043000,89327000,-5715999.99999999,19047000,5368000,9715000,3964000,13331000,844000,446000,14175000,54086000,7893000,61979000,34355000,34355000,34355000,149693000,138125000,11568000,125782000,125782000,109771000,31723000,10950000,416969000,34888000,201120000,157800000,21488000,2421000,236008000,652977000,81037000,55623000,2324000,23090000,27659000,6955000,20704000,122357000,66158000,1500000,21487000,66158000,188515000,251591000,179414000,33457000,464462000,464462000,652977000,61979000,-7499000,-35482000,59120000,39962000,4001000,4001000,4001000,-2318999.99999999,-374000,7876000,45519000,45519000,157000,45676000,5832000,13661000,61060000,0.06014,-0.14026,-0.36147,0.07397,0.05261,1.77732,3.40781,0.40588,0.02092,0.85263,0.81375,-2.3588,11.52711,1.5154,0.06312,0.11218,-23.3251,-10.20419
"15","2014_Q2",20.2433333333333,"Down",140948000,-88287000,52661000,-35748000,-19731000,-14142000,-1875000,16913000,-96000,-96000,16817000,16817000,-2102000,14715000,14715000,14715000,14715000,122721000,110227000,12494000,137032000,137032000,109656000,32605000,11760000,402014000,33041000,231153000,173034000,21486000,2457000,264194000,666208000,84781000,64163000,2067000,18551000,22470000,4405000,18065000,122319000,67770000,2309000,20401000,67770000,190089000,250195000,194129000,31795000,476119000,476119000,666208000,14715000,4871000,2082000,-14869000,6799000,-1581000,-1581000,-1581000,-32843000,-10528000,-1782000,-27826000,-27826000,-72000,-27898000,21784000,15068000,7436000,0.37362,0.11999,0.1044,0.03091,0.02209,0.50533,3.2866,0.39925,0.02262,0.36054,0.35144,3.45342,11.66558,0.18219,0.02633,0.0133,-4.94184,-6.3651
"16","2014_Q3",18.231875,"Down",146285000,-93739000,52546000,-40790000,-22828000,-15736000,-2226000,11756000,25000,25000.0000000001,11781000,11537000,-890999.999999998,10646000,10646000,10646000,10646000,130182000,117549000,12633000,121262000,121262000,118187000,28599000,13084000,398230000,32821000,273096000,206863000,1.9e+07,2478000,305917000,704147000,101375000,72210000,1299000,27866000,33673000,8131000,25542000,139695000,99490000,3956000,49812000,99490000,239185000,228390000,204775000,31797000,464962000,464962000,704147000,10646000,5455000,4530999.99999999,19642000,40274000,-1872000,-1872000,-1872000,1365000,142999.999999998,-33727000,7912000,7912000,-590000,7321999.99999999,17211000,4647000,35872000,0.3592,0.08036,0.07278,0.0229,0.01512,3.36953,2.85071,0.51442,0.0066,0.2626,0.25873,3.60841,11.46922,0.88485,0.01871,0.06303,-7.29388,-10.67838
"17","2014_Q4",20.180625,"Up",143147000,-95204000,47943000,-37535000,-20223000,-15074000,-2238000,10408000,-618000,-618000,9790000,8607000,3695000,12302000,12302000,12302000,12302000,105766000,103041000,2725000,112785000,112785000,118875000,35856000,11740000,373282000,31089000,293019000,217764000,21660000,3025000,324108000,697390000,88990000,62178000,113000,26699000,37460000,9646000,27814000,126450000,104879000,11735000,47016000,104879000,231329000,231555000,217077000,17429000,466061000,466061000,697390000,12302000,5387000,-1280000,-6162000,10247000,-1364000,-1364000,-1364000,-21670000,365000,-2929000,-14352000,-14352000,-156000,-14508000,15795000,0,4574000,0.33492,0.07271,0.08594,0.0264,0.01764,0.37181,2.95201,0.49635,0,0.30757,0.30398,3.57885,11.65211,0.11436,0.02155,0.00801,-6.69617,-10.16199
"18","2015_Q1",25.1918032786885,"Up",-63047000,97957000,34910000,13611000,4233000,8037000,1341000,48521000,603000,603000,49124000,49044000,-17212000,31832000,9319000,9319000,9319000,124484000,121401000,3083000,79053000,79053000,46092000,127124000,6146000,376753000,9759000,298056000,43875000,35997000,1666000,307815000,684568000,38143000,24540000,1495000,12108000,74425000,4067000,70358000,112568000,97035000,1439000,29676000,97035000,209603000,237793000,226396000,10776000,474965000,474965000,684568000,31832000,-5252000,-22680000,2559000,19842000,1212000,1368000,1368000,-1848000,-1180000,4382000,22376000,22376000,-132000,22244000,43269000,0,64252000,-0.55371,-0.7696,-0.14781,0.01962,0.01361,6.89473,3.34689,0.4413,-2.16840434497101e-19,0.23108,0.22926,-1.56336,11.77755,1.59324,0.01629,0.11233,-2.87698,-2.56557
"19","2015_Q2",26.861746031746,"Up",109510000,-50411000,59099000,-27565000,-16707000,-9760000,-1098000,31534000,868000,868000,32402000,32404000,-6749000,25655000,21276000,21276000,21276000,155912000,152827000,3085000,121746000,121746000,98052000,34491000,10458000,410201000,25964000,259058000,188843000,25668000,1667000,285022000,695223000,89717000,60568000,2146000,27003000,25614000,9004000,16610000,115331000,95624000,1722000,49279000,95624000,210955000,240700000,247672000,-4104000,484268000,484268000,695223000,25655000,2341000,469000,10358000,28641000,-392000,-392000,-392000,-421000,288000,2303000,30523000,30523000,-2981000,27542000,33875000,0,50590000,0.53967,0.28796,0.19428,0.04393,0.0306,2.3778,3.55673,0.43562,0,0.52224,0.5173,2.68802,11.88679,1.24178,0.03669,0.08724,-4.60257,-4.94425
"20","2015_Q3",25.54296875,"Down",108654000,-52105000,56549000,-27770000,-16684000,-9984000,-1102000,28779000,301000,301000,29080000,29080000,-6056000,23024000,-232459000,-232459000,-232459000,183201000,169663000,13538000,91432000,91432000,78056000,37170000,11356000,389859000,12250000,109947000,43538000,26271000,1620000,122197000,512056000,81738000,49451000,7273000,25014000,72425000,4146000,22453000,154163000,97441000,2185000,49951000,97441000,251604000,242800000,15213000,2439000,260452000,260452000,512056000,23024000,2291000,692999.999999996,20680000,25153000,-1231000,-1231000,-1231000,-11686000,219000,1246000,14713000,14713000,2123000,16836000,31070000,1.45519152283669e-11,56575000,0.52045,0.26487,-2.13944,-0.89252,-0.45397,-0.243380000000001,2.52888,0.96603,-2.71050543121376e-20,-5.67721,-5.63496,2.65359,6.36087,1.3817,-0.64952,0.15808,-5.8964,-6.36579
"21","2015_Q4",28.20296875,"Up",109756000,-51218000,58538000,-28053000,-16585000,-10370000,-1098000,30485000,-722000,-722000,29763000,29446000,-6133000,23313000,16432000,16432000,16432000,199004000,184296000,14708000,90755000,90755000,71712000,31946000,12224000,393417000,12519000,107725000,43479000,26107000,1540000,120244000,513661000,73385000,50117000,1144000,22124000,69354000,2742000,27747000,142739000,95553000,2322000,47760000,95553000,238292000,243772000,31645000,-48000,275369000,275369000,513661000,23313000,2147000,734000,-2188000,18261000,-1522000,-1522000,-1522000,-2867000,76000,523000,15917000,15917000,-1284000,14633000,32632000,0,35055000,0.53335,0.27775,0.14971,0.05967,0.03199,2.13334,2.7562,0.86536,0,0.40052,0.39769,2.67521,6.7119,0.85444,0.0443,0.09451,-6.09843,-6.52793
"22","2016_Q1",28.9652459016393,"Up",86891000,-44207000,42684000,-26628000,-16121000,-9437000,-1070000,16056000,-1661000,-1661000,14395000,14512000,-3022000,11490000,36265000,36265000,36265000,170429000,158443000,11986000,54959000,54959000,52573000,44516000,7868000,322477000,9645000,130381000,42729000,36217000,1729000,140026000,462503000,50393000,27246000,13972000,9175000,53577000,3205000,50372000,103970000,94953000,1110000,20957000,94953000,198923000,195136000,67910000,534000,263580000,263580000,462503000,11490000,2053000,9360000,-8298000,32654000,-869000,-869000,-869000,1709000,3889000,-49614000,-15251000,-15251000,675000,-14576000,18109000,0,11964000,0.49124,0.18478,0.41736,0.13759,0.07841,0.3299,3.10164,0.7547,0,0.900520000000001,0.89307,2.15766,6.54516,0.29709,0.10115,0.03337,-9.41129,-10.61466
"23","2016_Q2",35.4128125,"Up",103044000,-49584000,53460000,-29839000,-18016000,-10765000,-1058000,23621000,357000,357000,23978000,23978000,-3758000,20220000,22281000,22281000,22281000,183964000,176300000,7664000,67091000,67091000,57592000,49035000,9207000,357682000,10675000,109930000,43908000,30355000,1716000,120605000,478287000,51230000,35886000,6584000,8760000,47691000,8210000,39481000,98921000,90141000,1233000,21716000,90141000,189062000,197901000,90191000,1133000,289225000,289225000,478287000,20220000,2043000,1642000,-11307000,11857000,-1338000,-1338000,-1338000,3019000,1127000,1103000,15979000,15979000,-489000,15490000,25664000,0,16777000,0.51881,0.22923,0.21623,0.07704,0.04659,0.75297,3.61583,0.65368,0,0.55963,0.55564,2.58813,7.2644,0.42138,0.05873,0.04422,-7.16817,-7.78815
"24","2016_Q3",42.08515625,"Up",118765000,-56719000,62046000,-31717000,-19377000,-11266000,-1074000,30329000,836000,836000,31165000,31165000,-3911000,27254000,30531000,30531000,30531000,215057000,209273000,5784000,66162000,66162000,57227000,48397000,8978000,386843000,11167000,106944000,43342000,30231000,1678000,118111000,504954000,53851000,36951000,8611000,8289000,44817000,6472000,38345000,98668000,84474000,1213000,21602000,84474000,183142000,200307000,120722000,783000,321812000,321812000,504954000,27254000,2002000,1569000,4661000,31664000,-1527000,-1527000,-1527000,292000,492000,492000,32448000,32448000,-240000,32208000,32331000,0,39376000,0.52243,0.25537,0.25707,0.09487,0.06046,1.28971,3.92065,0.5691,0,0.76959,0.76387,2.99367,8.11182,0.99254,0.07515,0.09692,-6.65173,-7.0908
"25","2016_Q4",50.7190476190476,"Up",126552000,-60429000,66123000,-31762000,-19421000,-11293000,-1048000,34361000,-55000,-55000,34306000,34306000,-5268000,29038000,30361000,30361000,30361000,249830000,244292000,5538000,69410000,69410000,56025000,45603000,8166000,420868000,11988000,105816000,43596000,30184000,1673000,117804000,538672000,58211000,37180000,10312000,10719000,37271000,6890000,30381000,95482000,88403000,1225000,21423000,88403000,183885000,201812000,151083000,1892000,354787000,354787000,538672000,29038000,1893000,1347000,2303000,34606000,-1659000,-1659000,-1659000,-1419000,131000,131000,33318000,33318000,179000,33497000,36254000,0,42166000,0.5225,0.27152,0.23991,0.08558,0.05636,1.38882,4.40783,0.5183,0,0.76509,0.75948,3.18907,8.94053,1.06257,0.06851,0.09514,-6.8911,-7.27074
"26","2017_Q1",61.1756451612903,"Up",135343000,-63825000,71518000,-32972000,-20864000,-11121000,-987000,38546000,81000.0000000002,80999.9999999998,38627000,38627000,1809000,40436000,44281000,44281000,44281000,286690000,281953000,4737000,75667000,75667000,55770000,20207000,9324000,438334000,13337000,119858000,42125000,32197000,1835000,133195000,571529000,61263000,46255000,1778000,13230000,33783000,5774000,28009000,95046000,84409000,1008000,23074000,84409000,179455000,203643000,195364000,-6933000,392074000,392074000,571529000,40436000,1875000,5663000,-3495000,41160000,-2297000,-2297000,-2297000,-1592000,421000,416000,39984000,39984000,-1382000,38602000,40421000,0,32820000,0.52842,0.2848,0.32718,0.11294,0.07748,0.74118,4.61181,0.45771,0,1.11508,1.10484,3.4082,9.87318,0.82647,0.09293,0.06888,-7.0926,-7.43761
"27","2017_Q2",72.3714285714286,"Up",149351000,-70520000,78831000,-35563000,-22098000,-12503000,-962000,43268000,-3208000,-3208000,40060000,40060000,-4619000,35441000,37535000,37535000,37535000,322710000,317949000,4761000,76844000,76844000,64626000,18631000,9359000,482811000,13795000,119905000,42544000,32280000,2056000,133700000,616511000,64660000,50192000,4684000,9784000,34451000,6643000,27808000,99111000,83074000,1026000,24067000,83074000,182185000,205348000,232899000,-3921000,434326000,434326000,616511000,35441000,1987000,6952000,-1721000,40206000,-1391000,-1391000,-1391000,-4880000,-1688000,-1688000,33638000,33638000,1133000,34771000,45255000,0,46762000,0.52782,0.28971,0.25132,0.08642,0.06088,1.24582,4.87142,0.41947,0,0.94456,0.93419,3.75839,10.92974,1.17676,0.07255,0.09038,-7.13092,-7.4584
"28","2017_Q3",71.7839682539683,"Down",165872000,-78731000,87141000,-39374000,-23790000,-14610000,-974000,47767000,-83000.0000000005,-83000,47684000,47684000,-1811000,45873000,46052000,46052000,46052000,363033000,358937000,4096000,60791000,60791000,75557000,37767000,27662000,537148000,14537000,121410000,44006000,32328000,2046000,135947000,673095000,67776000,49430000,4369000,13977000,36654000,5916000,30738000,104430000,83277000,1076000,26218000,83277000,187707000,209019000,278951000,-2582000,485388000,485388000,673095000,45873000,2232000,3856000,11993000,60011000,-2017000,-2017000,-2017000,-19045000,-186000,-186000,40780000,40780000,83000,40863000,49999000,2.27373675443232e-13,61786000,0.52535,0.28798,0.27764,0.09488,0.06842,1.34166,5.14362,0.38672,0,1.15566,1.14415,4.16251,12.18068,1.5505,0.08098,0.10865,-7.26081,-7.60008
"29","2017_Q4",79.755873015873,"Up",176575000,-84341000,92234000,-40561000,-24692000,-14629000,-1240000,51673000,153000,153000,51826000,51826000,31968000,83794000,83864000,83864000,83864000,369618000,366572000,3046000,74993000,74993000,73520000,22828000,8678000,540959000,15736000,164596000,53509000,58590000,2432000,180332000,721291000,57525000,41275000,9000,16241000,33471000,5410000,28061000,90996000,81909000,2049000,27045000,81909000,172905000,187447000,362815000,-1876000,548386000,548386000,721291000,83794000,2573000,-22691000,-29982000,32797000,-2238000,-2238000,-2238000,-760000,-28000,-25026000,7011000,7011000,-78000,6933000,54246000,0,-9942000,0.52235,0.29264,0.47495,0.15293,0.11627,-0.11855,5.94487,0.3153,0,2.10788,2.08762,4.43812,13.78339,-0.24989,0.13306,-0.01577,-6.81374,-7.15302
