"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",19.2796875,"Up",509362000,-338585000,170777000,-112083000,-112623000,540000,58694000,-5034000,-4805000,53660000,53660000,-21223000,32437000,32437000,32437000,32437000,244214000,244214000,10773000,10773000,226329000,35212000,35212000,516528000,296020000,650899000,-354879000,224315000,207507000,520335000,1036863000,253719000,158394000,95325000,22117000,22117000,275836000,154497000,154497000,353420000,629256000,111628000,-68429000,364358000,407607000,407607000,1036863000,32437000,17442000,-41914000,-2603000,5362000,-16853000,-16853000,-15000,-718000,-12209000,-12209000,-12083000,76136000,198923000,77903000,0.33528,0.11523,0.06368,0.07958,0.03128,2.40167,1.87259,1.54378,0.19185,0.38119,0.37942,5.9858,4.79002,0.91548,0.04262,0.10237,-0.59487,-0.77165
"12","2013_Q3",22.07265625,"Up",490075000,-337528000,152547000,-119132000,-119176000,44000,33415000,-5352000,-4776000,28063000,28063000,-11154000,16909000,16909000,16909000,16909000,234250000,234250000,13510000,13510000,241933000,58202000,58202000,547895000,322201000,686777000,-364576000,223695000,206887000,545896000,1093791000,282140000,197050000,85090000,19459000,19459000,301599000,174928000,174928000,373931000,675530000,119198000,-82400000,381267000,418261000,418261000,1093791000,16909000,17376000,27927000,-30977000,31235000,-28754000,-28754000,-14000.0000000001,-12239000,-9758000,-9758000,-9963999.99999997,50791000,199003000,2214000,0.31127,0.06818,0.0345,0.04043,0.01546,0.130939999999999,1.81663,1.61509,0.18194,0.19893,0.1976,5.76552,4.92066,0.0260500000000002,0.02134,0.00278999999999997,-0.69396,-1.05483
"13","2013_Q4",22.00546875,"Down",503808000,-338543000,165265000,-128535000,-128366000,-169000,36730000,-5029000,-4876000,31701000,31701000,-12434000,19267000,19267000,19267000,19267000,181553000,181553000,17433000,17433000,343020000,50932000,50932000,592938000,355288000,730157000,-374869000,220500000,206225000,575788000,1168726000,331393000,244906000,86487000,19725000,19725000,351118000,196339000,196339000,395425000,746543000,125975000,-104548000,400534000,422183000,422183000,1168726000,19267000,17383000,50141000,-85547000,1244000,-33234000,-33234000,-16000,-20567000,-52557000,-52557000,-52697000,54113000,199086000,-52234000,0.32803,0.0729,0.03824,0.04564,0.01649,-2.71106,1.68871,1.76829,0.17034,0.22956,0.22774,6.00279,5.03024,-0.62236,0.02357,-0.06389,0.32401,0.47735
"14","2014_Q1",17.536393442623,"Down",715880000,-486762000,229118000,-143698000,-144112000,414000,85420000,-5678000,-5065000,79742000,79742000,-31816000,47926000,47926000,47926000,47926000,311884000,311884000,17384000,17384000,212510000,41683000,41683000,583461000,376122000,767661000,-391539000,223087000,205529000,599209000,1182670000,270771000,154736000,116035000,28436000,28436000,299207000,209724000,209724000,408894000,708101000,131410000,-104573000,448460000,474569000,474569000,1182670000,47926000,17819000,-54513000,146212000,157444000,-26621000,-26621000,-268000,-17000,130806000,130806000,130331000,103239000,199170000,254646000,0.32005,0.11932,0.06695,0.10099,0.04052,5.31332,1.95002,1.49209,0.16841,0.57164,0.56644,8.53875,5.66048,3.03732,0.05425,0.28824,-1.09178,-1.31953
"15","2014_Q2",14.9298412698413,"Down",460652000,-323279000,137373000,-122382000,-122860000,478000,14991000,-5872000,-5897000,9119000,9119000,-4036000,5083000,5083000,5083000,5083000,250208000,250208000,20326000,20326000,235033000,48691000,48691000,554258000,395363000,795619000,-400256000,222523000,204965000,617886000,1172144000,241432000,151861000,89571000,23278000,23278000,264710000,225082000,225082000,424339000,689049000,137745000,-107847000,453543000,483095000,483095000,1172144000,5083000,19494000,-29232000,-26532000,-31187000,-26937000,-26937000,-402000,-3676000,-61800000,-61800000,-61676000,34485000,199257000,-14948000,0.29821,0.03254,0.01103,0.01052,0.00434,-2.94078,2.09383,1.42632,0.16999,0.06051,0.06021,5.48363,5.75079,-0.17794,0.0056,-0.01647,-1.47748,-3.39877
"16","2014_Q3",15.92796875,"Up",481420000,-345395000,136025000,-121417000,-121923000,506000,14608000,-5963000,-5941000,8645000,8644999.99999999,-1778000,6867000,6867000,6867000,6867000,253327000,253327000,20129000,20129000,239898000,53829000,53829000,567183000,409857000,820187000,-410330000,221882000,204402000,631739000,1198922000,256722000,168818000,87904000,20609000,20609000,277331000,228343000,228343000,427688000,705019000,141653000,-107916000,460410000,493903000,493903000,1198922000,6867000,19586000,15174000,-5602999.99999999,36024000,-32539000,-32539000,-350000,-419000,3066000,3066000,3119000,34194000,199345000,-2170000.00000003,0.28255,0.03034,0.01426,0.0139,0.00573,-0.316,2.04515,1.42744,0.16627,0.08158,0.08132,5.71948,5.86778,-0.0257800000000006,0.00745,-0.00235,-1.5787,-3.69537
"17","2014_Q4",14.41984375,"Down",497608000,-340050000,157558000,-127034000,-126526000,-508000,30524000,-6202000,-6042000,24322000,24322000,-9737000,14585000,14585000,14585000,14585000,217814000,217814000,20468000,20468000,350269000,51498000,51498000,640049000,415780000,840452000,-424672000,222241000,204807000,638021000,1278070000,312645000,226291000,86354000,20248000,20248000,332893000,233963000,233963000,433398000,766291000,145682000,-108054000,474995000,511779000,511779000,1278070000,14585000,18932000,59607000,-99907000,-6783000,-28105000,-28105000,-353000,-491000,-35379000,-35379000,-35513000,49456000,199435000,-68819000,0.31663,0.06134,0.02931,0.0285,0.01141,-4.71848,1.92269,1.49731,0.15604,0.17324,0.17239,5.91061,6.07893,-0.81743,0.01543,-0.07281,-0.37162,-0.60212
"18","2015_Q1",14.4693442622951,"Up",725801000,-495803000,229998000,-153524000,-152732000,-792000,76474000,-7004000,-6016000,69470000,69470000,-27680000,41790000,41790000,41790000,41790000,346159000,346159000,23272000,23272000,241063000,43742000,43742000,654236000,407607000,840340000,-432733000,216307000,203936000,623914000,1278150000,258884000,153745000,105139000,28575000,28575000,287459000,234825000,234825000,434352000,721811000,150693000,-108082000,516785000,556339000,556339000,1278150000,41790000,18474000,-20179000,118480000,158565000,-28517000,-28517000,-373000,-401000.000000007,129647000,129647000,128345000,94948000,199527000,212591000,0.31689,0.10536,0.05758,0.07512,0.0327,5.08713,2.27593,1.29743,0.15611,0.49626,0.49311,8.61894,6.60657,2.52453,0.04218,0.21459,-1.54434,-1.91741
"19","2015_Q2",17.4695238095238,"Up",502378000,-335934000,166444000,-132496000,-133176000,680000,33948000,-11964000,-12313000,21984000,21984000,-8922000,13062000,13062000,13062000,13062000,127698000,127698000,18221000,18221000,265908000,44686000,44686000,456513000,414036000,864305000,-450269000,212199000,199851000,626235000,1082748000,253033000,157737000,95296000,24482000,24482000,277515000,234166000,234166000,234166000,511681000,154551000,-110995000,529847000,571067000,571067000,1082748000,13062000,18925000,-9360000,-17143000,5484000,-23148000,-23148000,-198421000,-201333000,-218997000,-218997000,-218461000,52873000,0,21504000,0.33131,0.06757,0.026,0.02287,0.01206,1.6463,1.645,0.89601,0,0.15468,0.15371,5.94931,6.76275,0.25466,0.01622,0.02671,-2.41518,-3.76158
"20","2015_Q3",18.79375,"Up",535582000,-358392000,177190000,-141325000,-140573000,-752000,35865000,-1650000,-1231000,34215000,34215000,-13187000,21028000,21028000,21028000,21028000,155645000,155645000,22073000,22073000,272011000,57489000,57489000,507218000,427016000,894246000,-467230000,213042000,200694000,640058000,1147276000,289674000,179120000,110554000,22151000,22151000,311825000,237720000,237720000,237720000,549545000,162142000,-111773000,550875000,597731000,597731000,1147276000,21028000,18422000,31345000,-12534000,58261000,-27791000,-27791000,-390000,-1659000,28811000,28811000,27946999.9999999,54287000,0,27149000,0.33084,0.06696,0.03926,0.03518,0.01833,1.29109,1.62661,0.91939,-1.38777878078145e-17,0.24833,0.2468,6.325,7.05895,0.32062,0.02517,0.0325,-2.86708,-4.33975
"21","2015_Q4",18.0225,"Down",546616000,-355527000,191089000,-146556000,-146585000,29000,44533000,-1277000,-1207000,43256000,43256000,-16949000,26307000,26307000,26307000,26307000,91215000,91215000,25810000,25810000,364662000,59448000,59448000,541135000,443505000,928434000,-484929000,212305000,200587000,655810000,1196945000,316799000,209874000,106925000,22302000,22302000,339101000,251721000,251721000,251721000,590822000,167091000,-134503000,577182000,606123000,606123000,1196945000,26307000,19090000,23111000,-76286000,-7778000,-34109000,-34109000,-395000,-22375000,-64262000,-64262000,-64430000,63623000,0,-29823000,0.34959,0.08147,0.04813,0.0434,0.02198,-1.13365,1.59579,0.97476,0,0.31229,0.31004,6.48879,7.19519,-0.35402,0.03067,-0.03477,-1.43368,-2.04826
"22","2016_Q1",17.9516393442623,"Down",765553000,-504999000,260554000,-167662000,-167413000,-249000,92892000,-1663000,-1131000,91229000,91229000,-35113000,56116000,56116000,56116000,56116000,186903000,186903000,22130000,22130000,255350000,49036000,49036000,513419000,444397000,948608000,-504211000,220828000,199601000,665225000,1178644000,276508000,149884000,126624000,30895000,30895000,307403000,253288000,253288000,253288000,560691000,170426000,-181106000,633298000,617953000,617953000,1178644000,56116000,18814000,-26010000,125063000,173983000,-30330000,-30330000,-383999.999999993,-46977000,96676000.0000001,96676000.0000001,95688000,111706000,0,241552000,0.34035,0.12134,0.0733,0.09081,0.04761,4.30451,1.67018,0.90734,-8.67361737988404e-19,0.6797,0.67337,9.27269,7.4849,2.92578,0.06441,0.27725,-1.67317,-2.01205
"23","2016_Q2",16.7903125,"Down",502909000,-335161000,167748000,-135927000,-135762000,-165000,31821000,-11041000,-11731000,20780000,20780000,-7898000,12882000,12882000,12882000,12882000,111033000,111033000,16538000,16538000,281348000,50540000,50540000,459459000,447274000,958626000,-511352000,220967000,199506000,668241000,1127700000,315279000,146019000,169260000,27773000,27773000,343052000,191077000,191077000,191077000,534129000,177498000,-226973000,646180000,593571000,593571000,1127700000,12882000,16783000,-28895000,-16431000,-15661000,-18247000,-18247000,-389000,-43553000,-77461000,-77461000,-75870000,48604000,0,21824000,0.33356,0.06327,0.02561,0.0217,0.01142,1.69415,1.33933,0.89986,0,0.16293,0.1612,6.36086,7.50757,0.27603,0.01642,0.02781,-2.28444,-3.4893
"24","2016_Q3",13.5509375,"Down",504767000,-353848000,150919000,-133032000,-133152000,120000,17887000,-743000,-546999.999999998,17144000,17144000,-7e+06,10144000,10144000,10144000,10144000,119564000,119564000,15527000,15527000,256602000,58095000,58095000,449788000,461665000,991377000,-529712000,231093000,209583000,692758000,1142546000,328157000,162457000,165700000,23462000,23462000,351619000,194623000,194623000,194623000,546242000,180710000,-237047000,656324000,596304000,596304000,1142546000,10144000,19582000,6689000,25395000,61810000,-32129000,-42262000,-395999.999999999,-10470000,9078000,9078000,8531000,37469000,2.3283064365387e-10,37735000,0.29899,0.03544,0.0201,0.01701,0.00888,3.71993,1.27919,0.91605,1.0842021724855e-19,0.12873,0.12849,6.40584,7.5675,0.47888,0.01283,0.04771,-3.19101,-6.68441
"25","2016_Q4",12.2749206349206,"Down",506090000,-354373000,151717000,-136616000,-136633000,17000,15101000,-657000,-567000,14444000,14444000,-2827000,11617000,11617000,11617000,11617000,101855000,101855000,16274000,16274000,341936000,53220000,53220000,513285000,466534000,1017259000,-550725000,231926000,210314000,698460000,1211745000,389771000,222818000,166953000,25322000,25322000,415093000,185958000,185958000,185958000,601051000,183945000,-237142000,667941000,610694000,610694000,1211745000,11617000,22595000,66098000,-86595000,13715000,-30545000,-30545000,-401000,-464000,-17294000,-17294000,-17709000,37696000,0,-76617000,0.29978,0.02984,0.02295,0.01902,0.00959,-6.59525,1.23655,0.98421,0,0.14817,0.14781,6.45515,7.78936,-0.97725,0.01458,-0.09617,-2.70201,-6.74492
"26","2017_Q1",10.3322580645161,"Down",678781000,-485961000,192820000,-154028000,-153994000,-33999.9999999999,38792000,-543000,-623000,38249000,38249000,-15475000,22774000,22774000,22774000,22774000,207373000,207373000,15787000,15787000,241424000,49549000,49549000,514133000,451286000,1029176000,-577890000,219770000,211844000,671056000,1185189000,252969000,172668000,80301000,29428000,29428000,282397000,267105000,267105000,267105000,549502000,186018000,-237243000,690715000,635687000,635687000,1185189000,22774000,23184000,-20702000,101588000,126844000,-17812000,-17812000,-3683000,-3784000,105248000,105248000,105518000,61976000,0,161227000,0.28407,0.05715,0.03355,0.03583,0.01922,7.07943,1.8206,0.86442,6.7762635780344e-21,0.29043,0.28922,8.65638,8.1068,2.0561,0.02523,0.17859,-3.34602,-5.34577
"27","2017_Q2",7.76238095238095,"Down",474192000,-341911000,132281000,-139011000,-132339000,-6672000,-6730000,-785000,-797000,-7515000,-7515000,4847000,-2668000,-2668000,-2668000,-2668000,190992000,190992000,16218000,16218000,287496000,52894000,52894000,547600000,440341000,1039467000,-599126000,218828000,211031000,659169000,1206769000,310095000,197751000,112344000,25179000,25179000,335274000,238223000,238223000,238223000,573497000,190037000,-238777000,686184000,633272000,633272000,1206769000,-2668000,22893000,26517000,-45791000,951000,-14623000,-14623000,-717000,-2251000,-15923000,-15923000,-16381000,16163000,0,-49098000,0.27896,-0.01419,-0.00563,-0.00421,-0.00221,18.40255,1.63329,0.90561,0,-0.03401,-0.03401,6.04482,8.07271,-0.62588,-0.00306,-0.05634,-11.81662,28.3792
"28","2017_Q3",6.31174603174603,"Down",481209000,-347452000,133757000,-149785000,-134169000,-15616000,-16028000,-171000,-696000,-16199000,-16199000,4308000,-11891000,-11891000,-11891000,-11891000,173314000,173314000,14948000,14948000,261222000,61682000,61682000,511166000,431640000,1029902000,-598262000,218515000,210718000,650155000,1161321000,279258000,166479000,112779000,22801000,22801000,302059000,230206000,230206000,230206000,532265000,193478000,-238804000,674382000,629056000,629056000,1161321000,-11891000,22365000,-14983000,13759000,9249999.99999999,-15531000,-24763000,-2158000,-2186000,-17699000,-17699000,-17678000,6337000,0,257000,0.27796,-0.03331,-0.02471,-0.0189,-0.01024,-0.021609999999999,1.69227,0.84613,0,-0.15093,-0.15093,6.1078,7.98436,0.00326000000000004,-0.01384,0.000299999999999995,-27.34953,10.8132
"29","2017_Q4",8.20190476190476,"Up",503419000,-352227000,151192000,-140410000,-140493000,83000,10782000,-577000,-577000,10205000,10205000,-4174000,6031000,6031000,6031000,6031000,198294000,198294000,16023000,16023000,342696000,60197000,60197000,617210000,421239000,1039197000,-617958000,218528000,210779000,639767000,1256977000,347114000,229339000,117775000,21579000,21579000,368693000,249320000,249320000,249320000,618013000,197127000,-238816000,680653000,638964000,638964000,1256977000,6031000,22594000,67936000,-59088000,37473000,-12053000,-12053000,-427000,-439000,24981000,24981000,24980000,33376000,0,-33591000,0.30033,0.02142,0.01198,0.00944,0.0048,-5.56972,1.67405,0.96721,0,0.07653,0.07645,6.38816,8.10817,-0.42625,0.00679,-0.03782,-5.94122,-18.39121
"30","2018_Q1",7.36967213114754,"Down",679210000,-481207000,198003000,-156287000,-155087000,-1200000,41716000,-172000,-172000,41544000,41544000,-13650000,27894000,27894000,27894000,27894000,236222000,236222000,12084000,12084000,260728000,55098000,55098000,564132000,405013000,1047447000,-642434000,217779000,210433000,622792000,1186924000,256152000,145589000,110563000,41240000,41240000,297392000,241218000,241218000,241218000,538610000,200025000,-256106000,704395000,648314000,648314000,1186924000,27894000,22369000,-69506000,90136000,70893000,-15228000,-15228000,-448000,-17737000,37928000,37928000,37928000,64085000,2.91038304567337e-11,152643000,0.29152,0.06142,0.04107,0.04303,0.0235,5.47225,1.89693,0.83079,-1.35525271560688e-20,0.3561,0.3515,8.67102,8.2766,1.94869,0.03136,0.1716,-3.68607,-5.66261999999999
"31","2018_Q2",8.67015625,"Up",479352000,-336190000,143162000,-140387000,-140634000,247000,2775000,-174000,-174000,2601000,2601000,-2084000,517000,517000,517000,517000,184521000,184521000,11248000,11248000,277513000,56102000,56102000,529384000,393756000,1051508000,-657752000,217849000,210491000,611605000,1140989000,232088000,125502000,106586000,37811000,37811000,269899000,236690000,236690000,236690000,506589000,203839000,-274351000,704912000,634400000,634400000,1140989000,517000,21162000,-28470000,-17988000,-24779000,-7920000,-7920000,-757000,-19002000,-51701000,-51701000,-51701000,23937000,0,113000,0.29866,0.00579,0.00108,0.00081,0.00045,0.21857,1.96142,0.79853,0,0.00686,0.00679,6.35686,8.41301,0.0015,0.00059,0.00013,-7.70861,-66.49405
"32","2018_Q3",10.2209523809524,"Up",493605000,-353202000,140403000,-137726000,-137655000,-71000,2677000,538000,38000,3215000,3215000,-981000,2234000,2234000,2234000,2234000,190845000,190845000,11278000,11278000,270445000,54732000,54732000,527300000,380560000,1058171000,-677611000,218397000,211025000,598957000,1126257000,230095000,143727000,86368000,38946000,38946000,269041000,233526000,233526000,233526000,502567000,207291000,-290747000,707146000,623690000,623690000,1126257000,2234000,21272000,-836999.999999993,9983000,32652000,-9469000,-9469000,-462000,-16859000,6324000,6324000,6324000.00000001,23949000,0,25444000,0.28444,0.00542,0.00453,0.00358,0.00198,11.38944,1.95992,0.8058,2.16840434497101e-19,0.03021,0.02992,6.67413,8.43303,0.34403,0.00261,0.02968,-7.96881,-71.29062
