"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.6135483870968,"Down",371799000,-53277000,318522000,-312212000,-90627000,-56718000,-164867000,6310000,-14774000,-16410000,1636000,-8464000,-8464000,4050000,-4414000,-4414000,109000,-4305000,-4305000,22079000,22079000,151748000,151748000,118713000,82908000,5605000,30200000,292540000,3299630000,5028131000,-1728501000,679079000,57276000,621803000,3978709000,4271249000,147846000,90567000,57279000,5110000,312197000,189244000,465153000,1256002000,1285236000,597049000,688187000,2541238000,3006391000,875357000,435746000,-44851000,1266252000,-1394000,1264858000,4271249000,-4414000,56718000,-2023000,18580000,68861000,-99588000,-4716000,-104304000,-13610000,38420000,147000,147000,24957000,-10486000,-10486000,-10486000,63028000,1261112000,-22030000,0.8567,0.01697,-0.01158,-0.0034,-0.00101,5.11731,0.62891,2.37686,0.29526,-0.09331,-0.09239,8.05876,27.44607,-0.4775,0.295,0.00244,-0.00578,-3.16144,19.65845,196.36022
"12","2013_Q1",33.7901666666667,"Up",488566000,-91619000,396947000,-281736000,-91618000,-57004000,-133114000,115211000,-16362000,-16199000,-163000.000000001,98849000,98849000,-36743000,62106000,62106000,287000,62393000,62393000,25530000,25530000,196913000,196913000,188886000,107910000,2945000,78031000,411329000,3343794000,5094589000,-1750795000,732934000,47088000,685846000,4076728000,4488057000,209391000,155667000,53724000,50137000,275601000,176644000,535129000,1268373000,1376057000,616184000,759873000,2644430000,3179559000,876555000,484369000,-50745000,1310179000,-1681000,1308498000,4488057000,62106000,57004000,-80184000,17082000,56008000,-119742000,23381000,-96361000,-13612000,57294000,122000,122000,43804000,3450999.99999997,3450999.99999997,3451000,172215000,1318510000,106298000,0.81247,0.23581,0.12771,0.04768,0.0139,1.70368,0.76865,2.42993,0.29378,1.3522,1.33839,10.58831,28.3945,2.30371,0.295,0.01899,0.02655,0.21817,7.50794,11.22271
"13","2013_Q2",36.7075,"Up",613505000,-200608000,412897000,-274503000,-97087000,-58933000,-118483000,138394000,-11809000,-15878000,4069000,126585000,126585000,-45911000,80674000,80674000,99000,80773000,80773000,33081000,33081000,208317000,208317000,116524000,71423000,1174155.7998559,45101000,357922000,3348644000,5129059000,-1780415000,697948000,12303000,685645000,4046592000,4404514000,191567000,120266000,71301000,5165000,219175000,174461000,415907000,1250829000,1358934000,622357000,736577000,2609763000,3025670000,880544000,549656000,-49576000,1380624000,-1780000,1378844000,4404514000,80674000,58933000,73896000,-79902000,133601000,-53237000,2506000,-50731000,-13658000,-62836000,1175000,1175000,-75319000,7551000,7551000,7551000,197327000,1255994000,110099000,0.67301,0.22558,0.13166,0.05858,0.01834,1.36307,0.86058,2.19435,0.28516,1.74641,1.73147,13.26469,29.85068,2.38047,0.2953,0.02364,0.02757,0.16909,6.19739,8.83646000000001
"14","2013_Q3",36.79109375,"Up",411574000,-69388000,342186000,-313278000,-94935000,-58570000,-159773000,28908000,-13838000,-15290000,1452000,15070000,15070000,-5003000,10067000,10067000,41000,10108000,10108000,17720000,17720000,160264000,160264000,117384000,85110000,1863000,30411000,295368000,3386967000,5196481000,-1809514000,699719000,10476000,689243000,4086686000,4382054000,154819000,105199000,49620000,1.1e+07,208882000,180321000,374701000,1256338000,1374849000,626786000,748063000,2631187000,3005888000,882094000,544300000,-48407000,1377987000,-1821000,1376166000,4382054000,10067000,58570000,-27685000,40668000,81620000,-98640000,5526000,-93114000,-15289000,11240000,182000,182000,-3867000.00000001,-15361000,-15361000,-15361000,87478000,1267338000,34509000,0.83141,0.07024,0.02456,0.00735,0.00231,3.41403,0.78828,2.18425,0.28921,0.21817,0.21618,8.88334,29.74222,0.74484,0.33,0.00632,0.00859,1.51256,14.28494,43.22741
"15","2013_Q4",40.37125,"Up",387346000,-47746000,339600000,-333459000,-95981000,-58744000,-178734000,6141000,-12429000,-15097000,2668000,-6288000,-6288000,3231000,-3057000,-3057000,193000,-2864000,-2864000,13853000,13853000,155603000,155603000,130374000,91676000,4700000,33998000,299830000,3428390000,5268482000,-1840092000,736835000,48365000,688470000,4165225000,4465055000,156561000,101135000,55426000,44052000,205780000,188865000,406393000,1280392000,1417606000,663315000,754291000,2697998000,3104391000,883945000,525971000,-47238000,1362678000,-2014000,1360664000,4465055000,-3057000,58744000,-11509000,9139000,53317000,-102560000,3578000,-98982000,-15291000,5.7e+07,89000,89000,41798000,-3867000,-3867000,-3867000,64885000,1324444000,-31767000,0.87674,0.01585,-0.00739,-0.00209999999999999,-0.000640000000000001,11.09183,0.73778,2.28153,0.29662,-0.06181,-0.06121,8.3595,29.40862,-0.68558,0.33,0.00303,-0.00774,-5.33904,20.19867,213.41654
"16","2014_Q1",41.2329508196721,"Up",538357000,-118259000,420098000,-319326000,-96911000,-60570000,-161845000,100772000,-13324000,-17435000,4111000,87448000,87448000,-30259000,57189000,57189000,114000,57303000,57303000,41077000,41077000,219469000,219469000,202996000,108289000,3790000,90917000,463542000,3486108000,5354612000,-1868504000,615524000,31130000,566584000,4101632000,4565174000,241112000,183511000,57601000,11105000,181947000,181947000,434164000,1381327000,1337288000,674411000,662877000,2718615000,3152779000,888507000,567714000,-41698000,1414523000,-2128000,1412395000,4565174000,57189000,60570000,-69051000,28963000,77671000,-109839000,4628000,-105211000,-15297000,69872000,189000,189000,54764000,27224000,27224000,27224000,161342000,1392432000,110725000,0.78033,0.18718,0.10644,0.04057,0.01255,1.93227,1.06767,2.23222,0.30501,1.2362,1.22348,11.61404,30.51566,2.38868,0.33,0.01753,0.02673,0.266950000000002,8.37572,13.41002
"17","2014_Q2",40.9942857142857,"Down",608396000,-191377000,417019000,-289954000,-102408000,-62891000,-124655000,127065000,-15907000,-17519000,1612000,111158000,111158000,-40461000,70697000,70697000,86000,70783000,70783000,85366000,85366000,205511000,205511000,203957000,84661000,111804.393713767,119296000,494834000,3512660000,5412704000,-1900044000,593313000,4979000,588334000,4105973000,4600807000,200518000,122212000,78306000,11158000,205398000,190810000,417074000,1368632000,1345091000,662583000,682508000,2713723000,3130797000,891588000,621304000,-40668000,1472224000,-2214000,1470010000,4600807000,70697000,62891000,55567000,-47160000,141995000,-76892000,7698000,-69194000,-15343000,-12756000,107000,107000,-28512000,44289000,44289000,44289000,189956000,1379790000,106365000,0.68544,0.20885,0.11634,0.04815,0.01538,1.50269,1.18644,2.12978,0.2999,1.52418,1.51017,13.10069,31.70164,2.29037,0.33038,0.02053,0.02536,0.21676,6.81434,10.1871
"18","2014_Q3",39.76625,"Down",453153000,-97985000,355168000,-328413000,-97620000,-62186000,-168607000,26755000,-14442000,-17305000,2863000,12313000,12313000,-2686000,9626999.99999999,9626999.99999999,0,9627000,9627000,26890000,26890000,183472000,183472000,216778000,83805000,4283000,128690000,427140000,3545275000,5474253000,-1928978000,589874000,-5967736.234525,589874000,4135149000,4562289000,148244000,94400000,53844000,23741000,210627000,205061000,382612000,1365926000,1348859000,663470000,685389000,2714785000,3097397000,892984000,613760000,-39638000,1467106000,-2214000,1464892000,4562289000,9626999.99999999,62186000,-11132000,-5229000,55452000,-98552000,-8340000,-106892000,-16973000,9759000,130000,130000,-7036000,-58476000,-58476000,-58476000,88941000,1389667000,-12154000,0.78377,0.05904,0.02124,0.00657,0.00211,-1.26249,1.11638,2.11442,0.3046,0.20702,0.20505,9.74481,31.54931,-0.26137,0.365,0.00633,-0.00289,1.76306,15.32226,50.93541
"19","2014_Q4",44.47921875,"Up",432475000,-72987000,359488000,-341198000,-93389000,-62037000,-185772000,18290000,-16981000,-17421000,440000,1309000,1309000,618000,1927000,1927000,43000,1970000,1970000,39165000,39165000,184790000,184790000,226561000,95845000,20398000,110318000,450516000,3608316000,5562869000,-1954553000,582829000,-4968466.769229,582829000,4191145000,4641661000,162013000,98991000,63022000,11265000,220720000,209416000,393998000,1437706000,1357995000,671560000,686435000,2795701000,3189699000,894275000,598552000,-38608000,1454219000,-2257000,1451962000,4641661000,1927000,62037000,-414000,907000,64457000,-117832000,23546000,-94286000,-16979000,59188000,182000,182000,42104000,12275000,12275000,12275000,80327000,1448971000,-37216000,0.83123,0.04229,0.00456,0.00136,0.000419999999999998,-18.89137,1.14345,2.19682,0.31217,0.04235,0.04195,9.29794,31.26479,-0.80012,0.36504,0.00445,-0.00874,8.61878,17.55084,77.0807
"20","2015_Q1",46.5891803278689,"Up",627683000,-143007000,484676000,-372303000,-90315000,-65913000,-216075000,112373000,-17632000,-19824000,2192000,94741000,94741000,-35844000,58897000,58897000,-151000,58746000,58746000,39566000,39566000,281824000,281824000,283933000,99803000,21853000,162277000,605323000,3658383000,5631481000,-1973098000,944591000,2109000,799322000,4602974000,5208297000,228795000,167988000,60807000,24192000,217130000,217130000,470117000,1631374000,1600498000,723688000,876810000,3231872000,3701989000,899534000,639164000,-50175000,1488523000,17785000,1506308000,5208297000,58897000,65913000,-38643000,-1648000,84519000,-103622000,8903000,-285216000,-16980000,218882000,-14000,-14000,200956000,259000,259000,401000,178286000,1655566000,108860000,0.77217,0.17903,0.09359,0.039,0.01128,1.85306,1.2876,2.45766,0.31787,1.26278,1.25013,13.49247,31.9968,2.34002,0.365,0.0159,0.02286,0.28904,9.06409,14.38068
"21","2015_Q2",43.6169841269841,"Down",734220000,-253762000,480458000,-350902000,-95510000,-67467000,-187925000,129556000,-15705000,-17977000,2272000,113851000,113851000,-41972000,71879000,71879000,104000,71983000,71983000,38013000,38013000,314682000,314682000,166876000,89317000,3881000,73678000,519571000,3697008000,5699891000,-2002883000,937818000,9847000,792282000,4634826000,5154397000,203576000,119425000,84151000,18266000,255740000,224710000,477582000,1506527000,1599457000,721924000,877533000,3105984000,3583566000,911425000,692603000,-50177000,1553851000,16980000,1570831000,5154397000,71879000,67467000,176773000,-93879000,222240000,-90391000,8281000,-91371000,-17023000,-122787000,8791000,8791000,-131734000,-865000,-865000,-1553000,197023000,1524793000,54725000,0.65438,0.17645,0.09804,0.04582,0.01397,0.76025,1.08792,2.28132,0.29582,1.5443,1.53038,15.75174,33.33586,1.17405,0.36521,0.01896,0.01166,0.23649,7.54623,11.47596
"22","2015_Q3",44.23796875,"Up",538604000,-109015000,429589000,-404542000,-99344000,-66955000,-238243000,25047000,-17555000,-17717000,162000,7492000,7492000,-2429000.00000001,5063000,5063000,-114000,4949000.00000001,4949000.00000001,48909000,48909000,273447000,273447000,147993000,98445000,13997000,35551000,470349000,3732461000,5761783000,-2029322000,944052000,11965000,793830000,4676513000,5146862000,186306000,130363000,55943000,20050000,259834000,211969000,466190000,1521683000,1590055000,721352000,868703000,3111738000,3577928000,922294000,678288000,-48750000,1551832000,17102000,1568934000,5146862000,5062999.99999999,66955000,-8030000,48008000,111996000,-113249000,7085000,-106164000,-18978000,12543000.0000001,11922000,11922000,4945999.99999994,10778000,10778000,10896000,92002000,1541733000,29190000,0.7976,0.0465,0.00919,0.00315,0.00096,5.89816,1.00892,2.28048,0.29955,0.10559,0.10465,11.49144,33.10928,0.62279,0.40491,0.00509,0.00621,3.83471,16.226,59.60091
"23","2015_Q4",45.9965625,"Up",505396000,-64268000,441128000,-424985000,-100102000,-66476000,-258407000,16143000,-22061000,-18401000,-3660000,-5918000,-5918000,1708000,-4210000,-4210000,-524000,-4734000,-4734000,32959000,32959000,269058000,269058000,176263000,105438000,37810000,33015000,478280000,3793374000,5853776000,-2060402000,912012000,1979000,780149000,4705386000,5183666000,193237000,129258000,63979000,19865000,281578000,216150000,494680000,1540364000,1586987000,722718000,864269000,3127351000,3622031000,943630000,654492000,-48013000,1550109000,11526000,1561635000,5183666000,-4210000,66476000,13419000,2477000,78162000,-132929000,11312000,-121617000,-19059000,32735000,14706000,14706000,28038000,-15417000,-15417000,-15950000,82619000,1560229000,-49541000,0.87284,0.03194,-0.00937,-0.00303,-0.000910000000000002,10.46493,0.96685,2.31938,0.30099,-0.10049,-0.09976,10.72868,32.90613,-1.05167,0.40459,0.00304,-0.01052,-4.02598,18.4857,94.60881
"24","2016_Q1",48.9354098360656,"Up",685405000,-136764000,548641000,-431055000,-98243000,-69213000,-263599000,117586000,-13679000,-17784000,4105000,103907000,103907000,-37209000,66698000,66698000,-579000,66119000,66119000,35997000,35997000,314512000,314512000,207665000,95199000,34175000,78291000,558174000,3891085000,5975092000,-2084007000,909426000,428000,782853000,4800511000,5358685000,228367000,164857000,63510000,37475000,269203000,222662000,535045000,1551204000,1664003000,769445000,894558000,3215207000,3750252000,945455000,699221000,-50268000,1594408000,14025000,1608433000,5358685000,66698000,69213000,5096000.00000001,-6258000.00000001,134749000,-151431000,761000,-150670000,-19188000,38352000,-23000.0000000019,-23000.0000000019,19263000,3342000.00000001,3342000.00000001,3038000,186799000,1588679000,66319000,0.80046,0.17156,0.09647,0.04111,0.01234,1.00302,1.04323,2.33162,0.29647,1.39553,1.38472,14.46643,33.65221,1.39976,0.40499,0.01755,0.01364,0.2902,8.31205,13.20465
"25","2016_Q2",56.49015625,"Up",731248000,-213600000,517648000,-383552000,-100797000,-75360000,-207395000,134096000,-1.6e+07,-17721000,1721000,118096000,118096000,-42741000,75355000,75355000,91000,75446000,75446000,60809000,60809000,271314000,271314000,138105000,81079000,11926000,45100000,470228000,3928953000,6039191000,-2110238000,916827000,598000,783455000,4845780000,5316008000,217931000,133884000,84047000,48596000,311540000,210545000,578067000,1388968000,1682830000,789961000,892869000,3071798000,3649865000,947563000,753105000,-48386000,1652282000,13861000,1666143000,5316008000,75355000,75360000,152541000,11295000,314551000,-112561000,4787000,-107774000,-19220000,-160937000,401000,401000,-181924000,24853000,24853000,24812000,209456000,1437564000,150931000,0.7079,0.18338,0.10317,0.04528,0.01419,2.00052,0.81345,2.19061,0.27042,1.59045,1.57959,15.41514,34.83108,3.18171,0.40517,0.01978,0.03153,0.25475,6.573,10.26694
