"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","dividend_payout_ratio"
"11","2013_Q2",4.48109375,"Up",67455000,65409000,12000,2034000,8673000,-8163000,-8163000,1524000,-26483000,-21210000,19762000,19762000,19762000,-7803000,11959000,11959000,11959000,11959000,13968000,482876000,53101000,9128000,17377000,387673000,964123000,580570000,191556000,19853000,791979000,39048000,-3101000,136196000,172144000,172144000,964123000,66807000,-409000,70682000,70273000,-5000,-368000,-19322727.9837432,-1223000,-1596000,135484000,135484000,135484000,19853000,0.29297,0.17729,4.60068,0.02059,0.2996,0.29027,1.68988,4.31252,0.00013,0.00042
"12","2013_Q3",5.38359375,"Up",77756000,66867000,137000,10752000,9089000,22000.0000000009,22000.0000000009,1641000,-25199000,-22869000,29688000,29688000,29688000,-12659000,17029000,17029000,17029000,17029000,342895000,180857000,61018000,9309000,17241000,390479000,1001799000,586947000,221348000,37476000,845771000,39405000,-31179000,150409000,156028000,156028000,1001799000,22648000,-434000,-308301000,-308735000,-6085000,19633000,-28077000,-1403000,-15932000,-302019000,-302019000,-302019000,37476000,0.38181,0.21901,5.42064,0.03741,0.46836,0.44438,2.13856,4.29129,0.16736,0.35733
"13","2013_Q4",6.816875,"Up",78368000,68926000,381000,9061000,7412000,71000,71000,1578000,-28336000,-24919000,25113000,25113000,25113000,-10706000,14407000,14407000,14407000,14407000,369366000,137286000,55845000,9300000,16953000,383594000,972344000,564817000,203769000,37356000,805942000,41065000,-35467000,161291000,166402000,166402000,972344000,-8296000,-238000,-26829000,-27067000,-3501000,-368000,-4288000,-51000,-8208000,-43571000,-43571000,-43571000,37356000,0.32045,0.18384,4.84334,0.03842,0.42804,0.40457,2.32836,4.94388,0.10402,0.24301
"14","2014_Q1",9.1755737704918,"Up",77580000,66453000,1398000,9729000,7102000,1180000,1180000,1447000,-28597000,-22990000,25993000,25993000,25993000,-10411000,15582000,15582000,15582000,15582000,354440000,117275000,49048000,9289000,15899000,374139000,920090000,542710000,164531000,37240000,744481000,42718000,-35467000,168734000,175609000,175609000,920090000,-26861000,-261000,15768000,15507000,-8163000,-368000,-1000,-125000,-8657000,-20011000,-20011000,-20011000,37240000,0.33505,0.20085,4.23942,0.04047,0.46472,0.43316,2.31375,5.23737,0.24345,0.52387
"15","2014_Q2",9.53619047619048,"Up",74305000,63807000,518000,9980000,7601000,902000,902000,1477000,-26825000,-24363000,23117000,23117000,23117000,-9568000,13549000,13549000,13549000,13549000,360498000,122771000,51366000,9749000,15893000,341155000,901432000,535318000,158008000,37122000,730448000,42638000,-50204000,178814000,170984000,170984000,901432000,29857000,-734000,-3288000,-4022000,-3468000,-368000,-14737000,-1766000,-20339000,5496000,5496000,5496000,37122000,0.31111,0.18234,4.27203,0.04118,0.40539,0.38015,2.22324,5.11591,0.10376,0.25596
"16","2014_Q3",9.53203125,"Down",86989000,73362000,412000,13215000,7569000,3950000,3950000,1696000,-27679000,-28901000,30409000,30409000,30409000,-13283000,17126000,17126000,17126000,17126000,335565000,201357000,58345000,9815000,28077000,317243000,950402000,557334000,183984000,30984000,772302000,41988000,-55701000,192436000,178100000,178100000,950402000,68339000,-344000,26136000,25792000,-3999.99999999953,-6367000,-5e+06,-4174000,-15545000,78586000,78586000,78586000,30984000,0.34957,0.19688,4.33634,0.0326,0.50418,0.48689,2.56091,5.24317,0.000119999999999995,0.000230000000000008
"17","2014_Q4",12.9015625,"Up",103500000,94288000,644000,8568000,6539000,501000,501000,1528000,-34181000,-32167000,37152000,37152000,37152000,-15811000,21341000,21341000,21341000,21341000,385870000,170352000,57843000,9961000,27832000,288407000,940265000,548790000,171540000,30796000,751126000,45545000,-65203000,210344000,189139000,189139000,940265000,35708000,-470000,-52372000,-52842000,-3505000,-368000,-9999000,1000,-13871000,-31005000,-31005000,-31005000,30796000,0.35896,0.20619,3.97129,0.03275,0.63834,0.61304,3.09584,5.65742,0.10484,0.16424
"18","2015_Q1",17.5616393442623,"Up",104482000,95420000,801000,8261000,6478000,274000,274000,1509000,-34590000,-32966000,36926000,36926000,36926000,-15954000,20972000,20972000,20972000,20972000,423581000,115397000,53750000,17254000,25660000,276132000,911774000,530101000,132147000,30610000,692858000,41435000,-62153000,222469000,218916000,218916000,911774000,-10558000,-7635000,-38481000,-46116000,-12276000,-368000,19073000,-4710000,1719000,-54955000,-54955000,-54955000,30610000,0.35342,0.20072,3.16495,0.03357,0.62689,0.59966,3.12315,6.54379,0.36695,0.58535
"19","2015_Q2",19.1104761904762,"Up",103810000,94360000,862000,8588000,7e+06,171000,171000,1417000,-33590000,-32197000,38023000,38023000,38023000,-15693000,22330000,22330000,22330000,22330000,406814000,182311000,58317000,21153000,26195000,272367000,967157000,535844000,157579000,31813000,725236000,64152000,-62153000,240560000,241921000,241921000,967157000,60662000,-7563000,18456000,9893000,-4239000,-368000,503000,463000,-3641000,66914000,66914000,66914000,31813000,0.36627,0.2151,2.99782,0.03289,0.64579,0.61889,3.0022,6.99638,0.12259,0.18983
"20","2015_Q3",20.3390625,"Up",123591000,112888000,1207000,9496000,7826000,110000,110000,1560000,-39704000,-42667000,41220000,41220000,41220000,-16516000,24704000,24704000,24704000,24704000,503978000,213330000,63695000,23818000,62181000,180365000,1047367000,567999000,199440000,24600000,792039000,63301000,-67229000,260977000,255328000,255328000,1047367000,146885000,2e+05,-99317000,-99117000,-3000.00000000093,-5977000,-5332000,-5437000,-16749000,31019000,31019000,31019000,24600000,0.33352,0.19989,3.10205,0.02349,0.70545,0.68618,3.52926,7.29113,9.00000000000067e-05,0.000120000000000037
"21","2015_Q4",20.876875,"Up",157042000,146153000,1307000,9582000,7934000,11000,11000,1637000,-53854000,-55288000,47900000,47900000,47900000,-17602000,30298000,30298000,30298000,30298000,545239000,201774000,61812000,26302000,63003000,180236000,1078366000,564710000,206378000,24324000,795412000,68301000,-69818000,286986000,282954000,282954000,1078366000,33635000,-2892000,-35084000,-37976000,-4285000,-368000,-2582000,20000,-7215000,-11556000,-11556000,-11556000,24324000,0.30501,0.19293,2.8111,0.02256,0.86786,0.84163,4.49835,8.10501,0.12274,0.14143
"22","2016_Q1",14.2518032786885,"Down",162101000,150598000,1779000,9724000,7550000,768000,768000,1406000,-60591000,-53630000,47880000,47880000,47880000,-18728000,29152000,29152000,29152000,29152000,489435000,197014000,55959000,27065000,60019000,164056000,993548000,541206000,135200000,24050000,700456000,71244000,-80802000,306656000,293092000,293092000,993548000,-21911000,-1528000,45676000,44148000,-13770000,-367000,-10983000,-1877000,-26997000,-4760000,-4760000,-4760000,24050000,0.29537,0.17984,2.38988,0.02421,0.84041,0.82225,4.67311,8.44938,0.39697,0.47235
"23","2016_Q2",13.97046875,"Down",164446000,152448000,1605000,10393000,8227000,667000,667000,1499000,-66117000,-57230000,41099000,41099000,41099000,-15873000,25226000,25226000,25226000,25226000,541094000,160034000,76473000,28070000,61158000,162167000,1028996000,534061000,157561000,23077000,714699000,70733000,-82676000,326965000,314297000,314297000,1028996000,43737000,-1728000,-65722000,-67450000,-4918000,-1068000,-1874000,-5407000,-13267000,-36980000,-36980000,-36980000,23077000,0.24992,0.1534,2.27396,0.02243,0.73062,0.70871,4.76282,9.10293,0.14244,0.19496
"24","2016_Q3",17.4696875,"Up",169802000,156461000,2142000,11199000,8963000,576000,576000,1660000,-60083000,-54825000,54894000,54894000,54894000,-21247000,33647000,33647000,33647000,33647000,626459000,215283000,67636000,29706000,67190000,143235000,1149509000,554333000,228050000,15763000,798146000,78949000,-85399000,355697000,351363000,351363000,1149509000,108902000,-1909000,-48080000,-49989000,-2000,-332000,-2088000,-1242000,-3664000,55249000,55249000,55249000,15763000,0.32328,0.19815,2.27157,0.01371,0.95964,0.94384,4.84291,10.02119,6.00000000000045e-05,5.99999999999767e-05
"25","2016_Q4",18.698253968254,"Up",172437000,159534000,2304000,10599000,8830000,101000,101000,1668000,-73549000,-54725000,44163000,44163000,44163000,-17280000,26883000,26883000,26883000,26883000,643901000,205241000,66433000,30845000,68300000,219502000,1234222000,555786000,289776000,15396000,860958000,80852000,-86887000,377674000,373264000,373264000,1234222000,25998000,-2373000,-27077000,-29450000,-4915000,-368000,-1488000,181000,-6590000,-10042000,-10042000,-10042000,15396000,0.25611,0.1559,2.30657,0.01247,0.76717,0.75254,4.92087,10.6519,0.14026,0.18283
"26","2017_Q1",20.7412903225806,"Up",178604000,163973000,3489000,11142000,8593000,950000,950000,1599000,-101480000,-54397000,22727000,22727000,22727000,-9073000,13654000,13654000,13654000,13654000,651601000,105730000,53833000,32162000,64912000,151769000,1060007000,534250000,139539000,15028000,688817000,82716000,-86982000,381864000,371190000,371190000,1060007000,-57241000,-2177000,41443000,-27422000,-14367000,-368000,24000,-137000,-14848000,-99511000,-99511000,-99511000,15028000,0.12725,0.07645,1.8557,0.01418,0.38961,0.38317,5.09642,10.59181,0.40996,1.05222
"27","2017_Q2",19.5606349206349,"Down",174874000,161559000,2704000,10611000,9081000,-63000,-63000,1593000,-70570000,-56933000,47371000,47371000,47371000,-16172000,31199000,31199000,31199000,31199000,666066000,160364000,61612000,32507000,66524000,73366000,1060439000,516259000,131444000,13971000,661674000,84111000,-89530000,408128000,398765000,398765000,1060439000,71998000,-1247000,-6238000,-7485000,-4927000,-1067000,-2548000,-1337000,-9879000,54634000,54634000,54634000,13971000,0.27089,0.17841,1.65931,0.01317,0.88785,0.86233,4.97649,11.34789,0.14021,0.15792
"28","2017_Q3",18.1546031746032,"Down",185487000,169009000,3223000,13255000,9894000,1710000,1710000,1651000,-80184000,-57380000,47923000,47923000,47923000,-18547000,29376000,29376000,29376000,29376000,634940000,245495000,71834000,33066000,73591000,311133000,1370059000,559008000,376380000,13603000,948991000,86812000,-95901000,432615000,421068000,421068000,1370059000,68967000,-1495000,29309000,27814000,-4881000,-368000,-6371000,-29999.9999999998,-11650000,85131000,85131000,85131000,13603000,0.25836,0.15837,2.25377,0.00993,0.8403,0.81695,5.30584,12.04462,0.13962,0.16616
"29","2017_Q4",20.2830158730159,"Up",190243000,174517000,3085000,12641000,10165000,803000,803000,1673000,-116375000,-57269000,16599000,16599000,16599000,-6635000,9964000,9964000,9964000,9964000,651578000,366176000,66687000,32959000,75934000,663727000,1857061000,996742000,426527000,13235000,1436504000,89884000,-104866000,437746000,420557000,420557000,1857061000,145230000,-896000,-14317000,-15213000,-3000,-368000,-8965000,0,-9336000,120681000,120681000,120681000,13235000,0.08725,0.05238,3.41572,0.00713,0.28726,0.27977,5.48472,12.12469,9e-05,3e-04
"30","2018_Q1",24.4775409836066,"Up",201312000,183708000,4448000,13156000,10951000,120000,120000,2085000,-83299000,-59422000,58591000,58591000,58591000,-22195000,36396000,36396000,36396000,36396000,730023000,213486000,56500000,32866000,73059000,349065000,1454999000,780869000,221274000,12868000,1015011000,86644000,-105123000,464748000,439988000,439988000,1454999000,-41185000,-957000,-566000.000000007,-90825000,-14200000,-367000,-257000,-5856000,-20680000,-152690000,-152690000,-152690000,12868000,0.29105,0.18079,2.30691,0.00884,1.05255,1.02573,5.8218,12.72414,0.41065,0.39015
"31","2018_Q2",27.87203125,"Up",191500000,182577000,4785000,4138000,10046000,-7750000,-7750000,1842000,-75926000,-63875000,51699000,51699000,51699000,-11644000,40055000,40055000,40055000,40055000,729687000,244673000,57455000,33169000,78007000,152716000,1295707000,669804000,148309000,12500000,830613000,84755000,-107869000,495520000,465094000,465094000,1295707000,52326000,-1302000,-7015000,-8317000,-4915000,-368000,-2746000,-4793000,-12822000,31187000,31187000,31187000,12500000,0.26997,0.20916,1.7859,0.00965,1.14972,1.12325,5.49671,13.34981,0.14108,0.12271
"32","2018_Q3",35.4,"Up",209788000,192272000,5786000,11730000,11473000,-1376000,-1376000,1633000,-89842000,-58698000,61248000,61248000,61248000,-15164000,46084000,46084000,46084000,46084000,747167000,311088000,67186000,34792000,88756000,462288000,1711277000,760837000,446235000,12132000,1219204000,86388000,-116239000,531085000,492073000,492073000,1711277000,105755000,-2705000,-21269000,-23974000,-4911000,-368000,-8297000,-1790000,-15366000,66415000,66415000,66415000,12132000,0.29195,0.21967,2.47769,0.00709,1.32012,1.29489,6.00957,14.09588,0.14068,0.10657
"33","2018_Q4",35.9330158730159,"Up",206155000,188938000,6642000,10575000,10862000,-2070000,-2070000,1783000,-85947000,-69041000,51167000,51167000,51167000,-13787000,37380000,37380000,37380000,37380000,853236000,252289000,66017000,35632000,90643000,425452000,1723269000,788360000,392120000,11765000,1192245000,88694000,-116239000,568467000,531024000,531024000,1723269000,66373000,-2104000,-116180000,-118284000,-5582000,-367000,29000,-968000,-6888000,-58799000,-58799000,-58799000,11765000,0.2482,0.18132,2.24518,0.00683,1.07226,1.04067,5.91363,15.23261,0.16012,0.14933
"34","2019_Q1",29.7772131147541,"Down",216373000,204595000,7603000,4175000,10332000,-8062000,-8062000,1905000,-162740000,-64874000,-11241000,-11241000,-11241000,4773000,-6467999.99999999,-6467999.99999999,-6467999.99999999,-6467999.99999999,908154000,166428000,59858000,34991000,84686000,604273000,1858390000,1074508000,270852000,11397000,1356757000,86818000,-130399000,553224000,501633000,501633000,1858390000,5651000,-585000,-61126000,-61711000,-10110000,-368000,-14160000,-5163000,-29801000,-85861000,-85861000,-85861000,11397000,-0.05195,-0.02989,2.70468,0.00613,-0.18578,-0.17979,6.21494,14.40853,0.29039,-1.56308
"35","2019_Q2",24.4830158730159,"Down",236586000,209727000,8142000,18717000,10526000,6507000,6507000,1684000,-113094000,-69748000,53744000,53744000,53744000,-13596000,40148000,40148000,40148000,40148000,918273000,185061000,58346000,40102000,83284000,412803000,1697869000,961892000,185898000,11029000,1158819000,87795000,-140516000,587797000,539050000,539050000,1697869000,31451000,-6360000,11813000,5453000,-5623000,-368000,-9878000,-2402000,-18271000,18633000,18633000,18633000,11029000,0.22716,0.1697,2.14974,0.0065,1.15564,1.14037,6.80999,15.51625,0.16185,0.14006
"36","2019_Q3",23.010625,"Down",233722000,210357000,7410000,15955000,12045000,2154000,2154000,1756000,-113296000,-69496000,50930000,50930000,50930000,-13637000,37293000,37293000,37293000,37293000,942253000,181614000,66756000,40498000,90530000,742472000,2064123000,938684000,548711000,10662000,1498057000,90693000,-154623000,614067000,566066000,566066000,2064123000,24537000,-1652000,-5910000,-7562000.00000001,-5535000,-367000,-14107000,-413000,-20422000,-3446999.99999999,-3446999.99999999,-3446999.99999999,10662000,0.21791,0.15956,2.64644,0.00517,1.08697,1.07783,6.81227,16.49905,0.16133,0.14842
"37","2019_Q4",24.41953125,"Up",229641000,206599000,7613000,15429000,12949000,551000,551000,1929000,-132571000,-69174000,27896000,27896000,27896000,-7750000,20146000,20146000,20146000,20146000,937396000,159638000,70388000,41016000,94820000,526020000,1829278000,846537000,403466000,10294000,1260297000,94013000,-180331000,634210000,568981000,568981000,1829278000,601000,-1684000,10914000,9230000,-5468000,-368000,-25708000,-263000,-31807000,-21976000,-21976000,-21976000,10294000,0.12148,0.08773,2.21501,0.00563,0.59887,0.59447,6.82643,16.91382,0.16254,0.27142
"38","2020_Q1",19.5553225806452,"Down",239402000,215819000,7578000,16005000,12141000,1261000,1261000,2603000,-244445000,-64010000,-69053000,-69053000,-69053000,17980000,-51073000,-51073000,-51073000,-51073000,914586000,182109000,66410756.1546007,41351000,91882000,489924000,1719852000,929039000,286986000,9926000,1225951000,96503000,-196585000,573619000,493901000,493901000,1719852000,28009000,-1618000,13131000,21205000,-9490000,-368000,-16254000,-631000,-26743000,22471000,22471000,22471000,9926000,-0.28844,-0.21334,2.48218,0.00577,-1.55322,-1.53663,7.28064,15.02041,0.28861,-0.18581
"39","2020_Q2",15.2512698412698,"Down",235275000,220829000,6834000,7612000,12555000,-7725000,-7725000,2782000,-135048000,-72643000,27584000,27584000,27584000,-7517000,20067000,20067000,20067000,20067000,928568000,180780000,66568000,44859000,94354000,230384000,1545513000,865859000,175807000,9559000,1051225000,97578000,-203172000,587867000,494288000,494288000,1545513000,45643000,-4694000,-29414000,-34108000,-5264000,-367000,-6587000,-646000,-12864000,-1329000,-1329000,-1329000,9559000,0.11724,0.08529,2.12675,0.00619,0.61572,0.61309,7.21902,15.1664,0.16152,0.26232
"40","2020_Q3",15.38171875,"Up",252704000,226370000,6179000,20155000,14304000,4039000,4039000,1812000,-151345000,-73921000,27438000,27438000,27438000,-7556000,19882000,19882000,19882000,19882000,934503000,331716000,76885000,49159000,103527000,551109000,2046899000,884586000,625421000,9191000,1519198000,100236000,-213201000,602583000,527701000,527701000,2046899000,145204000,-5497000,27506000,22009000,-5146000,-368000,-10029000,-424000,-15967000,151246000,151246000,151246000,9191000,0.10858,0.07868,2.8789,0.00449,0.61932,0.61843,7.87166,16.43775,0.1603,0.25883
"41","2020_Q4",12.375625,"Down",311665000,234191000,4557000,72917000,15164000,55818000,55818000,1935000,-238477000,-76980000,-3792000,-3792000,-3792000,623000,-3169000,-3169000,-3169000,-3169000,910554000,405132000,76800000,52300000,111295000,494103000,2050184000,991857000,574741000,8823000,1575421000,101906000,-223086000,594281000,474763000,474763000,2050184000,-17302000,-4248000,128686000,124438000,-5114000,-368000,-9885000,-183000,-15550000,91586000,91586000,91586000,8823000,-0.01217,-0.01017,3.31833,0.0043,-0.10011,-0.09989,9.84599,14.99852,0.16156,-1.61376
"42","2021_Q1",13.3470491803279,"Up",273126000,242173000,2823000,28130000,14913000,11245000,11245000,1972000,-233940000,-66185000,-26999000,-26999000,-26999000,9324000,-17675000,-17675000,-17675000,-17675000,919924000,167156000,66883000,53572000,110614000,440592000,1758741000,1105600000,195423000,8456000,1309479000,103913000,-225506000,567512000,449262000,449262000,1758741000,-144197000,-2777000,-87695000,-90297000,-9033000,-367000,-2420000,-62000,-11882000,-246376000,-246376000,-246376000,8456000,-0.09885,-0.06471,2.91473,0.00481,-0.56672,-0.56502,8.75741,14.40496,0.28963,-0.51106
"43","2021_Q2",12.7103174603175,"Down",262757000,243305000,2986000,16466000,14513000,48000,48000,1905000,-143963000,-82423000,36371000,36351000,36351000,-9943000,26408000,26408000,26408000,26408000,1017304000,90829000,62488000,53178000,111193000,382461000,1717453000,1088623000,166077000,8088000,1262788000,105093000,-225751000,588890000,454665000,454665000,1717453000,61265000,-1195000,-132794000,-131398000,-5086000,-368000,-245000,-495000,-6194000,-76327000,-76327000,-76327000,8088000,0.13842,0.1005,2.7774,0.00471,0.84619,0.84433,8.41954,14.56886,0.16297,0.19259
"44","2021_Q3",12.51265625,"Down",1047361000,1024352000,2858000,20151000,16435000,1725000,1725000,1991000,-167221000,-81866000,798274000,798239000,798239000,-8118000,790121000,790121000,790121000,790121000,1030524000,286493000,74072000,53023000,115971000,781452000,2341535000,1132554000,720418000,7721000,1860693000,106374000,-225751000,605790000,480842000,480842000,2341535000,195855000,-1801000,705000.000000015,-1096000,-5020000,-367000,0,-289000,-5676000,189083000,189083000,189083000,7721000,0.198887099667626,0.143033032640817,3.86966,0.0033,1.2342902512504,1.23128772712923,8.75570526393318,15.7032381148712,0.0827372343432247,0.312690165618943
"45","2021_Q4",13.96984375,"Up",287254000,264654000,2797000,19803000,17277000,560000,1697868.33291595,1966000,-187581000,-73180000,26493000,26464000,26464000,-6281000,20183000,20183000,20183000,20183000,1112443000,224822000,71132000,53222000,113979000,567630000,2143228000,1088747000,552853000,7353000,1648953000,107852000,-227115000,620936000,494275000,494275000,2143228000,16860000,-1884000,-69088000,-62091000,-5006000,-368000,-1364000,0,-6738000,-51969000,-51969000,-51969000,7353000,0.09223,0.07026,3.3361,0.00343,0.64623,0.64478,9.19743,15.82592,0.16028,0.24803
